SA4_CODE_2021,C21_SH_Tot_NPFH_6_mor,C21_SH_Tot_Tot,C21_SDRTHT_0b_s_a_b_NPFH_2,C21_SDRTHT_0b_s_a_b_NPFH_3,C21_SDRTHT_0b_s_a_b_NPFH_4,C21_SDRTHT_0b_s_a_b_NPFH_5,C21_SDRTHT_0b_s_a_b_NPFH_6mor,C21_SDRTHT_0b_s_a_b_Tot,C21_SDRTHT_1b_NPFH_2,C21_SDRTHT_1b_NPFH_3,C21_SDRTHT_1b_NPFH_4,C21_SDRTHT_1b_NPFH_5,C21_SDRTHT_1b_NPFH_6_mor,C21_SDRTHT_1b_Tot,C21_SDRTHT_2b_NPFH_2,C21_SDRTHT_2b_NPFH_3,C21_SDRTHT_2b_NPFH_4,C21_SDRTHT_2b_NPFH_5,C21_SDRTHT_2b_NPFH_6_mor,C21_SDRTHT_2b_Tot,C21_SDRTHT_3b_NPFH_2,C21_SDRTHT_3b_NPFH_3,C21_SDRTHT_3b_NPFH_4,C21_SDRTHT_3b_NPFH_5,C21_SDRTHT_3b_NPFH_6_mor,C21_SDRTHT_3b_Tot,C21_SDRTHT_4mb_NPFH_2,C21_SDRTHT_4mb_NPFH_3,C21_SDRTHT_4mb_NPFH_4,C21_SDRTHT_4mb_NPFH_5,C21_SDRTHT_4mb_NPFH_6_mor,C21_SDRTHT_4mb_Tot,C21_SDRTHT_NB_NS_NPFH_2,C21_SDRTHT_NB_NS_NPFH_3,C21_SDRTHT_NB_NS_NPFH_4,C21_SDRTHT_NB_NS_NPFH_5,C21_SDRTHT_NB_NS_NPFH_6_mor,C21_SDRTHT_NB_NS_Tot,C21_SDRTHT_Tot_NPFH_2,C21_SDRTHT_Tot_NPFH_3,C21_SDRTHT_Tot_NPFH_4,C21_SDRTHT_Tot_NPFH_5,C21_SDRTHT_Tot_NPFH_6_mor,C21_SDRTHT_Tot_Tot,C21_F_a_0b_s_a_b_NPFH_2,C21_F_a_0b_s_a_b_NPFH_3,C21_F_a_0b_s_a_b_NPFH_4,C21_F_a_0b_s_a_b_NPFH_5,C21_F_a_0b_s_a_b_NPFH_6_mor,C21_F_a_0b_s_a_b_Total,C21_F_a_1b_NPFH_2,C21_F_a_1b_NPFH_3,C21_F_a_1b_NPFH_4,C21_F_a_1b_NPFH_5,C21_F_a_1b_NPFH_6_mor,C21_F_a_1b_Tot,C21_F_a_2b_NPFH_2,C21_F_a_2b_NPFH_3,C21_F_a_2b_NPFH_4,C21_F_a_2b_NPFH_5,C21_F_a_2b_NPFH_6_mor,C21_F_a_2b_Tot,C21_F_a_3b_NPFH_2,C21_F_a_3b_NPFH_3,C21_F_a_3b_NPFH_4,C21_F_a_3b_NPFH_5,C21_F_a_3b_NPFH_6_mor,C21_F_a_3b_Tot,C21_F_a_4mb_NPFH_2,C21_F_a_4mb_NPFH_3,C21_F_a_4mb_NPFH_4,C21_F_a_4mb_NPFH_5,C21_F_a_4mb_NPFH_6_mor,C21_F_a_4mb_Tot,C21_F_a_NB_NS_NPFH_2,C21_F_a_NB_NS_NPFH_3,C21_F_a_NB_NS_NPFH_4,C21_F_a_NB_NS_NPFH_5,C21_F_a_NB_NS_NPFH_6_mor,C21_F_a_NB_NS_Tot,C21_F_a_Tot_NPFH_2,C21_F_a_Tot_NPFH_3,C21_F_a_Tot_NPFH_4,C21_F_a_Tot_NPFH_5,C21_F_a_Tot_NPFH_6_mor,C21_F_a_Tot_Tot,C21_OD_0b_s_a_b_NPFH_2,C21_OD_0b_s_a_b_NPFH_3,C21_OD_0b_s_a_b_NPFH_4,C21_OD_0b_s_a_b_NPFH_5,C21_OD_0b_s_a_b_NPFH_6_mor,C21_OD_0b_s_a_b_Tot,C21_OD_1b_NPFH_2,C21_OD_1b_NPFH_3,C21_OD_1b_NPFH_4,C21_OD_1b_NPFH_5,C21_OD_1b_NPFH_6_mor,C21_OD_1b_Tot,C21_OD_2b_NPFH_2,C21_OD_2b_NPFH_3,C21_OD_2b_NPFH_4,C21_OD_2b_NPFH_5,C21_OD_2b_NPFH_6_mor,C21_OD_2b_Tot,C21_OD_3b_NPFH_2,C21_OD_3b_NPFH_3,C21_OD_3b_NPFH_4,C21_OD_3b_NPFH_5,C21_OD_3b_NPFH_6_mor,C21_OD_3b_Tot,C21_OD_4mb_NPFH_2,C21_OD_4mb_NPFH_3,C21_OD_4mb_NPFH_4,C21_OD_4mb_NPFH_5,C21_OD_4mb_NPFH_6_mor,C21_OD_4mb_Tot,C21_OD_NB_NS_NPFH_2,C21_OD_NB_NS_NPFH_3,C21_OD_NB_NS_NPFH_4,C21_OD_NB_NS_NPFH_5,C21_OD_NB_NS_NPFH_6_mor,C21_OD_NB_NS_Tot,C21_OD_Tot_NPFH_2,C21_OD_Tot_NPFH_3,C21_OD_Tot_NPFH_4,C21_OD_Tot_NPFH_5,C21_OD_Tot_NPFH_6_mor,C21_OD_Tot_Tot,C21_DS_NS_NPFH_2,C21_DS_NS_NPFH_3,C21_DS_NS_NPFH_4,C21_DS_NS_NPFH_5,C21_DS_NS_NPFH_6_mor,C21_DS_NS_Tot,C21_Tot_NPFH_2,C21_Tot_NPFH_3,C21_Tot_NPFH_4,C21_Tot_NPFH_5,C21_Tot_NPFH_6_mor,C21_Tot_Tot
101,2420,56896,3,0,0,0,0,3,61,7,3,0,0,71,1023,245,101,29,4,1403,942,425,272,86,30,1750,108,56,60,34,16,278,30,3,4,0,0,41,2162,740,443,146,56,3539,11,0,0,0,0,13,173,28,9,8,0,219,727,280,119,33,15,1175,237,111,63,14,3,430,36,13,15,13,9,82,9,5,3,0,0,27,1195,437,215,66,30,1942,19,5,0,0,5,25,73,3,3,0,0,78,105,15,5,0,0,127,34,17,8,5,0,64,21,11,3,9,3,45,3,0,0,0,0,6,257,51,23,19,10,358,90,29,26,5,8,154,32119,11837,11323,5098,2515,62892
102,3734,78751,0,0,0,0,0,0,94,12,0,0,0,106,1917,259,84,12,5,2272,2672,1067,595,191,46,4572,200,128,114,60,47,546,63,17,6,0,0,92,4950,1477,804,260,99,7588,12,0,0,0,0,11,184,13,0,0,0,194,2014,463,173,24,8,2672,1101,494,263,80,23,1962,119,52,61,39,15,291,35,12,4,4,3,56,3459,1035,498,143,54,5191,12,0,0,0,0,11,43,0,0,0,0,41,128,30,4,0,0,159,61,20,10,7,0,95,5,10,13,3,0,33,9,0,0,0,0,10,251,59,30,15,4,353,58,25,17,8,9,117,41981,19184,18913,8031,3896,92003
103,2364,51385,5,0,0,0,0,6,82,10,0,0,0,87,628,152,51,8,0,841,430,186,112,30,8,767,61,40,43,20,18,181,30,6,4,0,0,45,1230,401,205,62,32,1923,0,0,0,0,0,0,51,0,0,0,0,57,257,63,29,3,0,359,60,19,24,7,0,109,18,10,5,7,0,39,8,0,0,0,0,11,402,90,54,14,5,572,8,0,0,0,0,8,22,0,0,0,0,22,29,8,6,0,0,45,42,16,14,0,0,76,56,19,33,17,11,131,6,0,0,0,0,15,164,47,51,23,17,303,74,35,31,19,6,160,26563,10519,9756,5089,2420,54344
104,1592,33557,0,0,0,0,0,0,31,3,0,0,0,33,677,156,61,21,4,917,653,300,160,54,27,1199,94,43,57,24,22,243,22,3,5,5,0,37,1482,508,279,108,50,2428,3,0,0,0,0,3,70,9,0,0,0,79,639,183,75,30,4,942,305,103,57,28,16,507,31,17,10,7,8,71,9,4,5,0,0,16,1059,318,154,66,29,1618,22,0,0,0,0,25,98,0,0,0,0,106,103,17,8,4,0,133,80,21,20,5,3,131,29,14,16,9,3,67,10,3,0,0,3,21,352,57,49,12,12,480,66,22,19,7,4,118,19754,7365,6444,2950,1691,38194
105,1371,25925,0,0,0,0,0,0,29,0,0,0,0,25,343,82,28,9,3,467,132,52,37,7,3,230,21,16,17,15,11,76,12,5,5,0,0,17,536,153,88,29,16,820,0,0,0,0,0,0,48,6,0,0,0,50,220,95,38,5,0,360,24,15,10,3,0,54,9,8,7,0,4,26,8,0,0,0,0,7,305,124,56,15,4,503,12,0,0,0,0,13,28,4,0,0,0,34,30,13,0,0,0,53,26,11,7,6,0,55,10,0,4,3,4,29,7,0,0,0,0,6,119,34,18,12,0,187,91,50,26,19,11,199,13240,5636,4840,2507,1403,27631
106,3487,72058,0,0,0,0,0,0,81,7,0,0,0,88,1314,224,79,14,0,1639,1432,627,343,97,33,2522,239,118,116,62,28,559,39,11,9,0,0,53,3103,984,544,173,59,4867,3,0,0,0,0,3,63,7,0,0,0,67,353,79,20,5,4,456,213,53,27,7,0,296,40,10,16,15,4,85,6,0,0,0,0,9,675,145,68,25,5,916,16,3,0,0,0,20,81,3,0,0,0,86,108,22,11,4,0,137,55,8,4,3,3,75,8,12,9,4,0,36,6,0,0,0,0,6,265,47,25,13,5,359,66,29,19,9,6,134,35985,16107,15485,7190,3565,78334
107,2991,67020,0,4,0,0,0,5,106,9,0,0,0,120,1787,413,151,22,8,2386,2406,1269,851,232,87,4845,239,163,185,103,62,756,48,26,10,0,0,84,4587,1883,1189,362,166,8188,7,6,0,0,0,10,395,33,6,0,0,429,3196,839,316,81,16,4444,1410,460,324,81,37,2317,104,53,81,41,29,310,50,10,10,0,0,75,5159,1400,738,204,90,7587,8,0,0,0,0,8,45,5,0,0,0,48,165,18,10,6,0,197,40,28,14,5,6,84,15,6,7,5,3,38,4,3,0,0,0,4,267,52,34,11,7,374,48,21,19,9,3,103,37033,17436,18126,7429,3256,83273
108,2284,54335,6,0,0,0,0,6,51,6,0,0,0,56,1240,169,48,10,0,1460,1346,367,215,56,23,2005,137,42,54,33,29,296,40,6,7,0,0,51,2818,584,320,96,46,3873,0,0,0,0,0,5,134,13,0,0,0,143,1144,252,61,18,0,1483,550,141,68,20,11,791,35,16,14,14,8,80,28,4,0,0,0,35,1900,422,147,51,22,2543,27,4,3,0,0,34,113,11,0,0,0,126,164,26,9,0,0,198,52,18,5,11,0,85,20,9,9,5,0,36,15,0,0,0,0,14,389,58,28,15,3,492,91,14,18,10,3,136,34537,10940,9268,4265,2361,61375
109,1157,29566,0,0,0,0,0,0,58,11,0,0,0,71,905,203,73,18,5,1202,295,120,43,10,11,475,38,8,13,5,6,71,24,5,5,0,0,32,1318,348,132,36,22,1858,0,0,0,0,0,0,16,6,0,0,0,12,63,18,10,0,0,97,22,3,3,0,0,19,0,0,0,0,0,9,4,0,0,0,0,4,109,27,11,0,0,147,10,0,0,0,0,10,23,0,0,0,0,27,28,4,3,0,0,32,29,3,4,0,4,42,4,0,8,3,5,19,0,0,0,0,0,0,100,9,9,4,7,131,67,8,16,5,8,102,16560,5846,5534,2666,1193,31800
110,1977,43737,3,0,0,0,0,3,81,7,9,0,0,96,671,184,96,21,0,971,282,116,79,26,9,515,48,34,30,23,15,150,18,7,4,0,0,30,1099,354,214,67,23,1769,0,0,0,0,0,0,24,3,0,0,0,28,167,53,32,7,0,259,44,20,13,5,0,83,7,7,4,3,3,25,0,0,0,0,0,7,246,87,46,10,9,404,20,0,0,0,0,21,30,3,0,0,0,37,22,11,6,0,0,33,23,7,4,3,0,42,21,4,6,4,0,31,0,0,0,0,0,3,114,25,12,15,3,166,79,27,15,12,0,127,23246,8892,8045,4002,2017,46201
