SA4_CODE_2021,C16_P_AdD_DL_15_19,C16_P_AdD_DL_20_24,C16_P_AdD_DL_25_34,C16_P_AdD_DL_35_44,C16_P_AdD_DL_45_54,C16_P_AdD_DL_55_64,C16_P_AdD_DL_65_74,C16_P_AdD_DL_75_84,C16_P_AdD_DL_85over,C16_P_AdD_DL_Tot,C16_P_CL_C_III_IV_15_19,C16_P_CL_C_III_IV_20_24,C16_P_CL_C_III_IV_25_34,C16_P_CL_C_III_IV_35_44,C16_P_CL_C_III_IV_45_54,C16_P_CL_C_III_IV_55_64,C16_P_CL_C_III_IV_65_74,C16_P_CL_C_III_IV_75_84,C16_P_CL_C_III_IV_85over,C16_P_CL_C_III_IV_Tot,C16_P_CL_C_I_II_15_19,C16_P_CL_C_I_II_20_24,C16_P_CL_C_I_II_25_34,C16_P_CL_C_I_II_35_44,C16_P_CL_C_I_II_45_54,C16_P_CL_C_I_II_55_64,C16_P_CL_C_I_II_65_74,C16_P_CL_C_I_II_75_84,C16_P_CL_C_I_II_85over,C16_P_CL_C_I_II_Tot,C16_P_CL_CL_nfd_15_19,C16_P_CL_CL_nfd_20_24,C16_P_CL_CL_nfd_25_34,C16_P_CL_CL_nfd_35_44,C16_P_CL_CL_nfd_45_54,C16_P_CL_CL_nfd_55_64,C16_P_CL_CL_nfd_65_74,C16_P_CL_CL_nfd_75_84,C16_P_CL_CL_nfd_85over,C16_P_CL_CL_nfd_Tot,C16_P_CL_Tot_15_19,C16_P_CL_Tot_20_24,C16_P_CL_Tot_25_34,C16_P_CL_Tot_35_44,C16_P_CL_Tot_45_54,C16_P_CL_Tot_55_64,C16_P_CL_Tot_65_74,C16_P_CL_Tot_75_84,C16_P_CL_Tot_85over,C16_P_CL_Tot_Tot,C16_P_LE_ID_15_19,C16_P_LE_ID_20_24,C16_P_LE_ID_25_34,C16_P_LE_ID_35_44,C16_P_LE_ID_45_54,C16_P_LE_ID_55_64,C16_P_LE_ID_65_74,C16_P_LE_ID_75_84,C16_P_LE_ID_85over,C16_P_LE_ID_Tot,C16_P_LE_NS_15_19,C16_P_LE_NS_20_24,C16_P_LE_NS_25_34,C16_P_LE_NS_35_44,C16_P_LE_NS_45_54,C16_P_LE_NS_55_64,C16_P_LE_NS_65_74,C16_P_LE_NS_75_84,C16_P_LE_NS_85over,C16_P_LE_NS_Tot,C16_P_Tot_15_19_yrs,C16_P_Tot_20_24_yrs,C16_P_Tot_25_34_yrs,C16_P_Tot_35_44_yrs,C16_P_Tot_45_54_yrs,C16_P_Tot_55_64_yrs,C16_P_Tot_65_74_yrs,C16_P_Tot_75_84_yrs,C16_P_Tot_85over,C16_P_Tot_Tot,C21_P_Post_Deg_15_19_yrs,C21_P_Post_Deg_20_24_yrs,C21_P_Post_Deg_25_34_yrs,C21_P_Post_Deg_35_44_yrs,C21_P_Post_Deg_45_54_yrs,C21_P_Post_Deg_55_64_yrs,C21_P_Post_Deg_65_74_yrs,C21_P_Post_Deg_75_84_yrs,C21_P_Post_Deg_85over,C21_P_Post_Deg_Tot,C21_P_GrDip_GrCe_15_19,C21_P_GrDip_GrCe_20_24,C21_P_GrDip_GrCe_25_34,C21_P_GrDip_GrCe_35_44,C21_P_GrDip_GrCe_45_54,C21_P_GrDip_GrCe_55_64,C21_P_GrDip_GrCe_65_74,C21_P_GrDip_GrCe_75_84,C21_P_GrDip_GrCe_85over,C21_P_GrDip_GrCe_Tot,C21_P_BD_15_19,C21_P_BD_20_24,C21_P_BD_25_34,C21_P_BD_35_44,C21_P_BD_45_54,C21_P_BD_55_64,C21_P_BD_65_74,C21_P_BD_75_84,C21_P_BD_85over,C21_P_BD_Tot,C21_P_AdD_DL_15_19,C21_P_AdD_DL_20_24,C21_P_AdD_DL_25_34,C21_P_AdD_DL_35_44,C21_P_AdD_DL_45_54,C21_P_AdD_DL_55_64,C21_P_AdD_DL_65_74,C21_P_AdD_DL_75_84,C21_P_AdD_DL_85over,C21_P_AdD_DL_Tot,C21_P_CL_C_III_IV_15_19,C21_P_CL_C_III_IV_20_24,C21_P_CL_C_III_IV_25_34,C21_P_CL_C_III_IV_35_44,C21_P_CL_C_III_IV_45_54,C21_P_CL_C_III_IV_55_64,C21_P_CL_C_III_IV_65_74,C21_P_CL_C_III_IV_75_84,C21_P_CL_C_III_IV_85over,C21_P_CL_C_III_IV_Tot,C21_P_CL_C_I_II_15_19,C21_P_CL_C_I_II_20_24,C21_P_CL_C_I_II_25_34,C21_P_CL_C_I_II_35_44,C21_P_CL_C_I_II_45_54,C21_P_CL_C_I_II_55_64,C21_P_CL_C_I_II_65_74,C21_P_CL_C_I_II_75_84,C21_P_CL_C_I_II_85over,C21_P_CL_C_I_II_Tot,C21_P_CL_CL_nfd_15_19,C21_P_CL_CL_nfd_20_24,C21_P_CL_CL_nfd_25_34,C21_P_CL_CL_nfd_35_44,C21_P_CL_CL_nfd_45_54,C21_P_CL_CL_nfd_55_64,C21_P_CL_CL_nfd_65_74,C21_P_CL_CL_nfd_75_84,C21_P_CL_CL_nfd_85over,C21_P_CL_CL_nfd_Tot,C21_P_CL_Tot_15_19,C21_P_CL_Tot_20_24,C21_P_CL_Tot_25_34,C21_P_CL_Tot_35_44,C21_P_CL_Tot_45_54,C21_P_CL_Tot_55_64,C21_P_CL_Tot_65_74,C21_P_CL_Tot_75_84,C21_P_CL_Tot_85over,C21_P_CL_Tot_Tot,C21_P_LE_ID_15_19,C21_P_LE_ID_20_24,C21_P_LE_ID_25_34,C21_P_LE_ID_35_44,C21_P_LE_ID_45_54,C21_P_LE_ID_55_64,C21_P_LE_ID_65_74,C21_P_LE_ID_75_84,C21_P_LE_ID_85over,C21_P_LE_ID_Tot,C21_P_LE_NS_15_19,C21_P_LE_NS_20_24,C21_P_LE_NS_25_34,C21_P_LE_NS_35_44,C21_P_LE_NS_45_54,C21_P_LE_NS_55_64,C21_P_LE_NS_65_74,C21_P_LE_NS_75_84,C21_P_LE_NS_85over,C21_P_LE_NS_Tot,C21_P_Tot_15_19_yrs,C21_P_Tot_20_24_yrs,C21_P_Tot_25_34_yrs,C21_P_Tot_35_44_yrs,C21_P_Tot_45_54_yrs,C21_P_Tot_55_64_yrs,C21_P_Tot_65_74_yrs,C21_P_Tot_75_84_yrs,C21_P_Tot_85over,C21_P_Tot_Tot
101,36,516,2059,2868,3552,3401,2283,823,218,15743,477,2363,5876,6027,6950,6360,4033,1685,429,34209,175,331,413,362,455,416,239,57,19,2463,74,187,363,577,842,994,836,310,97,4269,721,2875,6651,6968,8251,7771,5111,2050,548,40937,15,42,131,134,195,293,279,141,52,1289,1528,1032,2231,2466,3114,3362,3536,2713,1494,21479,2317,5239,15818,18499,21323,20945,15202,6900,2621,108862,0,48,1619,2082,2030,1819,1405,489,72,9566,0,53,537,905,1056,1121,960,242,37,4900,0,885,5090,5014,4727,4329,3637,1390,313,25381,35,462,2355,3223,3939,3977,3070,1189,285,18535,505,2535,7135,6608,7256,7555,5076,2045,508,39228,156,248,442,404,400,474,366,112,27,2620,44,163,321,386,720,1054,936,448,119,4199,705,2945,7901,7393,8373,9086,6375,2607,657,46045,14,29,114,121,166,225,299,161,61,1188,1069,872,2328,2192,2511,3101,3079,2253,1195,18593,1824,5287,19943,20933,22801,23656,18814,8331,2616,124206
102,156,1050,3843,5220,5346,4439,2957,1246,415,24671,900,3888,9910,9941,10769,8951,6094,3082,1022,54561,313,459,588,634,648,570,345,88,32,3683,121,323,657,882,1306,1517,1345,538,196,6888,1341,4673,11158,11460,12722,11039,7782,3706,1253,65131,23,62,220,268,406,513,544,281,131,2458,1589,1266,2388,2638,3277,3563,4244,4007,2906,25877,3127,8525,25081,28247,28815,26192,19631,10773,5142,155543,0,73,1738,2487,2012,1794,1380,481,77,10042,0,127,659,972,992,1017,949,261,52,5020,10,1598,7653,8519,6706,4910,4181,1697,412,35685,101,1071,3876,5252,6195,5223,3863,1789,413,27784,921,4021,10468,10705,10991,10807,7001,3745,1005,59670,281,442,623,558,633,659,565,216,34,4010,97,284,534,811,1247,1543,1587,789,210,7110,1304,4744,11624,12070,12876,13013,9150,4757,1258,70788,34,74,187,242,309,371,482,336,88,2125,1108,1067,2436,2579,2684,2884,3538,3692,2802,22785,2554,8749,28176,32117,31770,29219,23537,13011,5094,174231
103,57,423,1763,2236,2591,2536,1618,641,205,12064,593,2852,6538,5992,6301,5036,3137,1311,363,32122,218,363,507,434,482,382,205,68,12,2675,91,208,416,558,798,889,696,241,58,3954,905,3421,7457,6985,7580,6309,4039,1631,441,38757,17,45,118,134,164,253,254,112,54,1152,1738,1484,2575,2565,3112,3165,3486,2577,1147,21850,2726,6179,16510,16716,17397,15989,11677,5659,2052,94906,0,58,1013,1120,985,865,684,237,39,5005,0,58,413,555,616,591,491,150,23,2908,3,821,4407,4233,3570,2685,2258,838,189,19013,38,413,1847,2302,2881,2808,2066,930,245,13528,530,2821,7471,6602,6622,6295,3904,1673,398,36315,152,281,468,420,443,486,327,94,26,2690,55,156,361,387,602,851,821,387,95,3723,744,3258,8297,7415,7672,7625,5053,2147,518,42729,27,32,88,121,140,182,213,151,47,1007,1101,1094,2430,2423,2406,2568,2700,2182,1040,17943,1918,5731,18490,18177,18272,17330,13467,6635,2120,102134
104,24,277,1145,1549,2040,2240,1445,545,148,9417,337,1453,3428,3626,4439,4530,2882,1273,384,22348,163,248,297,273,291,331,196,39,11,1841,52,122,262,359,530,726,587,234,77,2951,551,1825,3991,4257,5260,5588,3658,1543,474,27141,10,33,79,85,138,192,203,96,34,874,913,597,1226,1331,1726,2165,2204,1901,1118,13178,1505,3127,8807,10384,12016,13595,9496,4690,1965,65578,0,11,461,687,713,640,601,210,30,3364,0,19,263,362,464,559,565,131,16,2390,0,363,2495,2895,2734,2295,2189,717,157,13851,15,226,1206,1704,2212,2422,1953,822,209,10769,323,1569,4097,4127,4499,5075,3731,1538,391,25340,150,178,318,267,249,351,278,73,25,1889,43,97,234,298,422,639,692,346,85,2853,510,1842,4648,4699,5165,6072,4697,1953,501,30082,7,21,81,74,100,126,172,137,25,753,707,657,1759,1675,1644,1757,1921,1635,1017,12770,1250,3149,10917,12106,13031,13870,12106,5611,1958,73988
105,29,229,985,1089,1339,1196,593,249,63,5779,282,1500,3473,2997,3182,2784,1596,609,169,16596,95,192,284,246,283,204,99,19,5,1426,47,102,219,276,372,417,270,99,28,1830,421,1793,3976,3520,3833,3411,1962,733,203,19857,11,10,77,53,99,128,102,52,13,545,903,884,1926,1618,1912,2044,1956,1498,751,13492,1372,3347,9744,8567,8993,8359,5381,2746,1112,49616,0,36,823,592,325,276,145,40,11,2245,0,24,247,279,280,279,173,35,4,1315,6,461,2659,2034,1501,1135,812,285,62,8963,6,201,1062,1168,1291,1348,738,318,95,6227,259,1190,3794,3109,3104,3136,1954,771,177,17498,85,149,289,179,205,245,144,42,6,1350,32,69,174,192,299,375,322,168,35,1661,372,1407,4261,3481,3605,3756,2419,984,218,20507,6,15,71,52,62,91,88,54,30,473,910,866,2193,1961,1852,1954,1832,1454,716,13735,1299,3012,11314,9554,8918,8844,6209,3184,1135,53464
106,91,715,2706,3477,3640,3215,1965,713,186,16717,711,4041,10321,9524,9446,7259,4622,1878,468,48268,291,505,750,604,523,431,225,52,3,3377,85,270,578,672,1021,1045,884,338,88,4988,1086,4814,11657,10802,10983,8739,5729,2270,564,56638,18,58,156,182,257,319,283,122,62,1452,1586,1304,2920,2774,3054,3298,3523,2601,1395,22450,2789,7707,22099,22274,22006,19721,14046,6507,2401,119549,0,31,885,1270,1046,1031,754,249,39,5305,5,78,510,615,637,659,622,141,23,3285,5,926,4929,4920,3856,3057,2761,1056,227,21741,81,721,3214,3974,4257,3920,2874,1122,214,20384,889,4183,12482,11208,10644,9659,6020,2647,531,58250,271,481,788,620,568,565,406,117,18,3836,97,233,520,574,880,1148,1044,492,130,5113,1249,4900,13796,12404,12087,11360,7470,3255,674,67198,18,38,120,169,168,228,293,155,64,1249,1090,1170,2840,2603,2568,2644,2823,2420,1220,19370,2450,7865,26287,25946,24623,22903,17601,8395,2456,138529
107,150,1414,3860,4647,4701,3839,2178,749,232,21766,780,4008,9040,8565,9061,7354,4459,2292,705,46268,233,447,533,562,543,448,232,73,26,3089,121,316,571,904,1232,1327,970,422,154,6018,1129,4774,10136,10034,10834,9125,5666,2787,887,55372,38,118,245,288,323,417,390,206,75,2085,1336,1323,2338,2210,2632,2914,3161,2858,1721,20495,2682,10511,27387,27323,26065,23213,14965,7724,3193,143055,0,209,3571,3503,2663,2245,1617,488,66,14356,5,119,1043,1225,1046,1031,932,235,39,5677,10,3034,10123,8248,6407,4631,3487,1262,294,37495,137,1257,3945,4931,5343,4481,3056,1123,319,24594,831,4284,10076,9378,9362,8926,5572,2725,816,51965,260,393,541,515,541,616,388,140,38,3435,99,253,477,646,1099,1465,1282,593,178,6091,1183,4934,11091,10546,11005,11001,7235,3457,1038,61494,27,67,157,211,230,314,349,214,67,1621,968,1181,2274,2070,2035,2124,2271,2442,1754,17120,2333,10803,32199,30721,28721,25832,18944,9221,3575,162354
108,54,370,1421,2232,2933,3389,2513,1037,303,14249,518,2120,4910,5595,6999,7283,5439,2602,756,36232,190,337,453,451,486,504,341,78,26,2867,72,180,389,565,872,1205,1086,480,154,5007,790,2639,5744,6612,8358,8988,6872,3164,934,44103,12,33,57,135,199,347,413,217,76,1479,1411,890,1737,1831,2644,3454,4319,3526,2208,22013,2278,4360,11744,14489,17734,20593,17277,9028,3809,101309,0,19,650,916,894,871,882,311,52,4608,0,32,292,457,608,714,757,222,25,3108,0,519,3086,3432,3435,3362,3353,1358,344,18892,35,376,1481,2433,3152,3782,3523,1479,389,16656,593,2327,5983,6036,7337,8809,7010,3323,852,42276,158,289,477,396,465,594,543,167,40,3118,69,150,258,408,662,1085,1287,637,182,4735,819,2763,6712,6845,8461,10485,8841,4129,1079,50133,23,38,78,104,132,258,376,235,77,1317,1134,912,2019,2017,2163,3011,3590,3221,1880,19947,2023,4661,14327,16204,18852,22486,21327,10950,3844,114657
109,31,299,1260,1291,1500,1490,914,370,99,7258,328,1619,3507,3225,3409,3206,1971,815,242,18312,74,183,276,235,225,202,97,27,8,1323,41,117,205,265,403,401,316,133,31,1910,446,1916,3984,3724,4034,3813,2378,967,283,21550,13,19,59,67,87,117,121,82,33,592,810,674,1187,1198,1480,1907,2006,1686,825,11778,1310,3362,9163,9092,9271,9325,6505,3440,1313,52778,0,32,654,576,446,419,255,87,7,2477,3,36,276,405,413,403,292,74,5,1904,0,468,2476,2636,1896,1519,1174,441,86,10711,19,276,1253,1462,1676,1709,1261,555,131,8331,227,1488,4008,3532,3725,3745,2689,1072,272,20746,74,155,244,191,221,244,148,49,10,1329,26,71,134,217,319,399,371,160,51,1734,325,1713,4383,3934,4265,4390,3200,1276,325,23813,4,19,47,57,54,72,104,79,23,470,683,542,1249,1237,1323,1641,1814,1499,733,10716,1033,3093,10341,10308,10077,10154,8102,4008,1315,58424
110,45,358,1473,1970,2299,2219,1359,522,145,10394,583,2258,5250,4641,4968,4491,2674,1053,225,26144,177,323,409,356,381,333,194,59,10,2248,75,199,371,464,695,711,551,194,58,3319,836,2777,6030,5463,6044,5542,3415,1313,295,31708,25,66,150,100,134,189,215,126,46,1052,1616,1166,2174,2179,2688,3021,3064,2310,1072,19296,2533,5107,13937,13897,14743,14317,10073,4967,1746,81328,0,41,1015,1082,881,773,585,258,58,4696,0,46,361,495,519,480,446,127,17,2486,9,762,3699,3309,2766,2210,1819,717,199,15486,45,302,1485,1878,2287,2331,1693,744,189,10950,524,2162,5687,5231,4977,5101,3349,1446,306,28776,190,283,469,338,364,404,234,97,10,2386,67,141,242,306,535,680,641,309,75,3007,784,2581,6398,5872,5881,6190,4226,1853,390,34170,27,34,97,87,98,139,177,119,32,802,1498,1348,2488,2343,2493,2763,2695,2181,1030,18848,2356,5109,15547,15061,14924,14877,11641,6005,1911,87435
