SA4_CODE_2021,C16_15_19_N_mar_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Mar_RegM_M,C16_20_24_Mar_RegM_F,C16_20_24_Mar_RegM_P,C16_20_24_Mar_DFM_M,C16_20_24_Mar_DFM_F,C16_20_24_Mar_DFM_P,C16_20_24_N_mar_M,C16_20_24_N_mar_F,C16_20_24_N_mar_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Mar_RegM_M,C16_25_29_Mar_RegM_F,C16_25_29_Mar_RegM_P,C16_25_29_Mar_DFM_M,C16_25_29_Mar_DFM_F,C16_25_29_Mar_DFM_P,C16_25_29_N_mar_M,C16_25_29_N_mar_F,C16_25_29_N_mar_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Mar_RegM_M,C16_30_34_Mar_RegM_F,C16_30_34_Mar_RegM_P,C16_30_34_Mar_DFM_M,C16_30_34_Mar_DFM_F,C16_30_34_Mar_DFM_P,C16_30_34_N_mar_M,C16_30_34_N_mar_F,C16_30_34_N_mar_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Mar_RegM_M,C16_35_39_Mar_RegM_F,C16_35_39_Mar_RegM_P,C16_35_39_Mar_DFM_M,C16_35_39_Mar_DFM_F,C16_35_39_Mar_DFM_P,C16_35_39_N_mar_M,C16_35_39_N_mar_F,C16_35_39_N_mar_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Mar_RegM_M,C16_40_44_Mar_RegM_F,C16_40_44_Mar_RegM_P,C16_40_44_Mar_DFM_M,C16_40_44_Mar_DFM_F,C16_40_44_Mar_DFM_P,C16_40_44_N_mar_M,C16_40_44_N_mar_F,C16_40_44_N_mar_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Mar_RegM_M,C16_45_49_Mar_RegM_F,C16_45_49_Mar_RegM_P,C16_45_49_Mar_DFM_M,C16_45_49_Mar_DFM_F,C16_45_49_Mar_DFM_P,C16_45_49_N_mar_M,C16_45_49_N_mar_F,C16_45_49_N_mar_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Mar_RegM_M,C16_50_54_Mar_RegM_F,C16_50_54_Mar_RegM_P,C16_50_54_Mar_DFM_M,C16_50_54_Mar_DFM_F,C16_50_54_Mar_DFM_P,C16_50_54_N_mar_M,C16_50_54_N_mar_F,C16_50_54_N_mar_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Mar_RegM_M,C16_55_59_Mar_RegM_F,C16_55_59_Mar_RegM_P,C16_55_59_Mar_DFM_M,C16_55_59_Mar_DFM_F,C16_55_59_Mar_DFM_P,C16_55_59_N_mar_M,C16_55_59_N_mar_F,C16_55_59_N_mar_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Mar_RegM_M,C16_60_64_Mar_RegM_F,C16_60_64_Mar_RegM_P,C16_60_64_Mar_DFM_M,C16_60_64_Mar_DFM_F,C16_60_64_Mar_DFM_P,C16_60_64_N_mar_M,C16_60_64_N_mar_F,C16_60_64_N_mar_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_69_Mar_RegM_M,C16_65_69_Mar_RegM_F,C16_65_69_Mar_RegM_P,C16_65_69_Mar_DFM_M,C16_65_69_Mar_DFM_F,C16_65_69_Mar_DFM_P,C16_65_69_N_mar_M,C16_65_69_N_mar_F,C16_65_69_N_mar_P,C16_65_69_Tot_M,C16_65_69_Tot_F,C16_65_69_Tot_P,C16_70_74_Mar_RegM_M,C16_70_74_Mar_RegM_F,C16_70_74_Mar_RegM_P,C16_70_74_Mar_DFM_M,C16_70_74_Mar_DFM_F,C16_70_74_Mar_DFM_P,C16_70_74_N_mar_M,C16_70_74_N_mar_F,C16_70_74_N_mar_P,C16_70_74_Tot_M,C16_70_74_Tot_F,C16_70_74_Tot_P,C16_75_79_Mar_RegM_M,C16_75_79_Mar_RegM_F,C16_75_79_Mar_RegM_P,C16_75_79_Mar_DFM_M,C16_75_79_Mar_DFM_F,C16_75_79_Mar_DFM_P,C16_75_79_N_mar_M,C16_75_79_N_mar_F,C16_75_79_N_mar_P,C16_75_79_Tot_M,C16_75_79_Tot_F,C16_75_79_Tot_P,C16_80_84_Mar_RegM_M,C16_80_84_Mar_RegM_F,C16_80_84_Mar_RegM_P,C16_80_84_Mar_DFM_M,C16_80_84_Mar_DFM_F,C16_80_84_Mar_DFM_P,C16_80_84_N_mar_M,C16_80_84_N_mar_F,C16_80_84_N_mar_P,C16_80_84_Tot_M,C16_80_84_Tot_F,C16_80_84_Tot_P,C16_85_over_Mar_RegM_M,C16_85_over_Mar_RegM_F,C16_85_over_Mar_RegM_P,C16_85_over_Mar_DFM_M,C16_85_over_Mar_DFM_F,C16_85_over_Mar_DFM_P,C16_85_over_N_mar_M,C16_85_over_N_mar_F,C16_85_over_N_mar_P,C16_85_over_Tot_M,C16_85_over_Tot_F,C16_85_over_Tot_P,C16_Tot_Marr_reg_marr_M,C16_Tot_Marr_reg_marr_F,C16_Tot_Marr_reg_marr_P,C16_Tot_Mar_de_fa_mar_M,C16_Tot_Mar_de_fa_mar_F,C16_Tot_Mar_de_fa_mar_P,C16_Tot_N_mar_M,C16_Tot_N_mar_F,C16_Tot_N_mar_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_15_19_Mar_RegM_M,C21_15_19_Mar_RegM_F,C21_15_19_Mar_RegM_P,C21_15_19_Mar_DFM_M,C21_15_19_Mar_DFM_F,C21_15_19_Mar_DFM_P,C21_15_19_N_mar_M,C21_15_19_N_mar_F,C21_15_19_N_mar_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Mar_RegM_M,C21_20_24_Mar_RegM_F,C21_20_24_Mar_RegM_P,C21_20_24_Mar_DFM_M
101,10995,5765,5451,11215,127,317,443,695,1019,1715,3535,2876,6417,4356,4212,8566,965,1542,2506,1142,1269,2413,2304,1903,4202,4410,4713,9120,2257,2753,5011,984,1034,2012,1561,1429,2990,4801,5218,10012,2782,3269,6054,811,826,1639,1204,1290,2490,4798,5387,10179,3443,3793,7234,891,916,1803,1553,1643,3198,5887,6349,12236,3707,4246,7954,914,986,1902,1824,1941,3765,6449,7177,13623,4080,4190,8275,895,903,1801,1983,2058,4033,6950,7157,14110,4306,4444,8754,802,776,1574,2146,2131,4276,7252,7357,14611,4264,4320,8586,648,552,1197,1874,2072,3949,6789,6950,13736,4468,3967,8432,526,387,914,1707,1979,3685,6705,6322,13029,3338,2840,6181,253,166,418,1155,1779,2933,4744,4788,9532,2322,1671,3990,149,97,247,854,1616,2467,3325,3378,6705,1315,833,2148,56,38,91,675,1401,2082,2045,2272,4319,762,360,1127,41,16,55,621,1731,2357,1431,2110,3541,38141,38555,76694,8858,9133,17998,28703,31144,59844,75701,78835,154537,0,5,5,73,131,206,6005,5352,11355,6081,5487,11559,107,224,328,773
102,18215,9350,9088,18439,198,398,592,880,1419,2298,7148,6062,13206,8227,7875,16100,1495,2367,3858,1834,2019,3851,4197,3513,7712,7527,7895,15424,3688,4594,8278,1602,1597,3199,2584,2426,5013,7871,8617,16486,4667,5170,9841,1380,1354,2729,2098,2348,4444,8142,8871,17016,5365,5738,11104,1320,1326,2649,2436,3017,5456,9119,10088,19209,5473,5873,11349,1268,1279,2548,2673,3378,6050,9408,10530,19943,5575,5765,11346,1187,1104,2289,2941,3514,6455,9703,10393,20093,5723,5975,11697,907,936,1839,2798,3701,6501,9428,10608,20038,5601,5489,11093,661,607,1274,2378,3537,5918,8639,9641,18284,5545,5381,10923,515,454,975,2250,3658,5909,8313,9493,17806,4689,4123,8810,375,260,635,1858,3332,5193,6924,7714,14638,3577,2817,6395,219,112,334,1380,2993,4373,5173,5930,11100,2228,1521,3746,87,59,149,1018,2849,3865,3324,4433,7758,1579,796,2374,59,51,109,1323,3540,4861,2964,4386,7344,55409,56023,111427,12362,12724,25088,46354,56814,103164,114122,125556,239681,5,7,8,101,170,274,9700,8952,18652,9810,9133,18943,148,278,431,1139
103,10561,5574,5261,10838,173,346,521,844,1207,2048,3509,2901,6409,4527,4454,8975,1159,1666,2827,1266,1327,2593,2232,2001,4233,4657,4993,9650,2325,2863,5189,1016,919,1936,1467,1441,2908,4807,5232,10042,2737,3021,5753,731,753,1480,1167,1330,2492,4627,5099,9725,3078,3450,6523,653,697,1349,1433,1557,2988,5160,5700,10858,3308,3583,6895,709,726,1433,1610,1690,3305,5625,6002,11629,3364,3730,7088,627,644,1268,1850,1789,3639,5841,6155,11997,3700,3750,7445,550,478,1034,1747,1878,3626,5999,6106,12104,3603,3478,7083,365,311,675,1584,1713,3294,5553,5496,11052,3504,3253,6750,322,261,583,1511,1805,3317,5333,5315,10650,2784,2287,5070,200,138,337,1190,1728,2921,4170,4150,8324,1961,1462,3420,110,54,164,882,1680,2564,2954,3191,6140,1199,834,2029,35,22,58,654,1456,2107,1890,2311,4202,720,353,1077,17,13,36,596,1672,2273,1339,2036,3374,33603,34077,67684,7533,7728,15263,26911,29707,56617,68049,71514,139562,0,4,7,79,164,238,5762,5065,10827,5840,5227,11075,143,251,393,925
104,7021,3716,3435,7154,91,178,268,371,552,926,2169,1760,3932,2625,2499,5125,530,826,1359,648,733,1384,1405,1291,2698,2585,2855,5439,1181,1477,2656,557,550,1108,949,953,1902,2688,2977,5665,1377,1649,3023,520,564,1080,814,1002,1810,2705,3209,5916,1810,2021,3835,539,558,1101,1024,1224,2250,3373,3808,7182,1935,2214,4147,529,601,1125,1044,1385,2436,3505,4199,7708,2193,2366,4562,520,556,1077,1298,1535,2838,4015,4461,8475,2376,2686,5065,516,558,1077,1481,1687,3167,4376,4928,9303,2742,2742,5480,461,390,855,1426,1536,2964,4634,4668,9302,2767,2561,5326,378,290,664,1194,1507,2702,4334,4356,8686,2285,1933,4216,192,127,311,802,1269,2070,3277,3324,6599,1592,1277,2868,111,60,173,647,1222,1868,2350,2560,4912,1060,706,1761,51,30,81,468,1086,1552,1576,1821,3396,662,310,973,22,17,42,449,1315,1760,1134,1646,2776,22599,22956,45550,5452,5672,11124,18848,22113,40959,46898,50742,97632,0,3,5,57,86,138,3654,3350,7001,3707,3441,7147,65,145,208,466
105,5350,2809,2670,5475,82,173,256,527,713,1236,1904,1720,3625,2513,2607,5119,638,889,1529,709,822,1535,1361,1395,2751,2709,3107,5815,1169,1482,2645,552,563,1117,935,1000,1926,2652,3041,5689,1326,1488,2813,431,399,834,674,861,1540,2431,2746,5187,1417,1521,2945,409,422,828,811,982,1796,2639,2928,5568,1538,1672,3207,422,428,855,981,1060,2037,2941,3161,6100,1703,1875,3577,385,365,750,1126,1081,2213,3213,3323,6540,1977,2009,3981,323,329,652,1136,1148,2289,3434,3486,6924,1769,1770,3536,244,196,441,1044,1019,2062,3054,2981,6041,1746,1556,3311,171,126,295,968,985,1952,2889,2670,5555,1361,1184,2543,98,79,175,690,924,1608,2148,2181,4332,1012,795,1807,59,34,90,518,907,1423,1588,1733,3325,609,392,1003,25,8,36,350,817,1164,984,1218,2198,390,171,561,9,8,19,327,841,1172,728,1021,1753,16744,16973,33722,4397,4587,8981,15593,17320,32920,36733,38884,75620,0,0,4,61,104,164,2765,2506,5269,2827,2611,5435,44,110,162,503
106,14485,7558,7210,14771,202,448,648,1073,1634,2709,5092,4392,9484,6366,6477,12840,1637,2451,4093,1808,1991,3801,2969,2596,5559,6414,7035,13453,3243,3983,7231,1392,1356,2748,2017,2066,4082,6651,7407,14056,3841,4202,8048,1134,1068,2204,1795,1845,3635,6771,7115,13887,4273,4773,9043,1076,1063,2134,1953,2100,4052,7293,7932,15233,4384,4775,9159,990,1004,1999,2122,2336,4455,7491,8119,15609,4602,4908,9510,831,835,1667,2120,2310,4422,7559,8046,15601,4863,4924,9787,693,630,1322,2035,2315,4349,7587,7879,15463,4693,4652,9344,510,448,959,1772,2133,3905,6972,7234,14209,4635,4247,8880,390,323,705,1626,2212,3845,6652,6778,13431,3709,3094,6808,233,152,385,1179,1864,3041,5122,5113,10235,2437,1835,4276,108,67,173,869,1733,2604,3417,3632,7048,1432,899,2334,41,27,61,590,1568,2156,2059,2491,4556,761,360,1118,38,20,59,605,1763,2376,1401,2145,3550,44713,45558,90275,10398,10814,21211,34201,38245,72440,89308,94623,183931,6,4,12,113,208,321,8257,7548,15809,8369,7763,16136,168,319,488,1329
107,16990,8912,8327,17238,197,442,636,850,1247,2092,8441,7071,15507,9483,8761,18243,1589,2541,4127,1670,1880,3555,4840,3644,8486,8100,8065,16166,3836,4758,8594,1347,1287,2636,2649,2251,4896,7834,8298,16126,4792,5199,9991,1078,1105,2182,1998,2010,4010,7865,8317,16186,5450,5808,11259,1013,1024,2033,2116,2452,4571,8579,9284,17867,5176,5462,10641,933,902,1834,2262,2698,4964,8374,9063,17438,5445,5640,11086,852,858,1713,2529,2761,5292,8830,9262,18086,5425,5512,10942,726,670,1397,2316,2865,5181,8470,9054,17518,4970,4991,9965,497,407,905,1792,2619,4410,7266,8018,15279,4874,4399,9274,323,286,607,1589,2361,3952,6784,7042,13834,3813,3410,7218,205,164,374,1147,2217,3366,5164,5792,10959,2885,2359,5245,135,85,215,933,2246,3177,3954,4692,8643,1955,1248,3203,66,34,105,729,2101,2830,2753,3382,6138,1225,549,1778,28,18,51,824,2565,3388,2086,3134,5223,51641,52320,103960,9805,10143,19945,43004,48028,91028,104451,110491,214942,0,3,3,71,135,211,8826,8374,17204,8902,8514,17419,143,259,401,1117
108,10339,5400,5111,10515,123,232,353,583,804,1389,2874,2508,5387,3581,3548,7129,664,1115,1783,856,964,1820,1914,1806,3717,3436,3886,7320,1532,1962,3490,711,755,1474,1290,1403,2696,3539,4120,7657,2000,2334,4336,669,698,1366,1191,1388,2578,3860,4413,8276,2629,2954,5583,738,810,1547,1449,1756,3197,4813,5511,10328,2789,3162,5956,804,801,1607,1746,2072,3819,5341,6042,11382,3212,3695,6908,771,819,1584,2114,2247,4362,6099,6751,12855,3804,4321,8122,742,803,1543,2219,2571,4790,6763,7696,14456,4277,4470,8753,695,592,1288,2198,2396,4594,7169,7463,14639,5144,4920,10067,556,458,1013,1969,2453,4422,7671,7829,15501,4413,3830,8247,371,265,641,1573,2453,4030,6361,6547,12913,3142,2505,5648,202,137,339,1232,2171,3404,4579,4815,9392,2008,1348,3360,86,57,145,861,1979,2841,2957,3388,6341,1318,624,1937,51,19,72,905,2492,3402,2279,3135,5415,37060,37473,74539,7885,8116,16002,28900,34674,63579,73847,80269,154116,0,5,8,61,145,202,5603,5122,10726,5668,5267,10934,84,152,234,702
109,5784,3040,2909,5955,71,172,238,452,642,1093,2098,1755,3854,2622,2559,5184,558,877,1438,688,722,1415,1214,1100,2311,2464,2705,5163,1300,1579,2878,534,510,1046,809,787,1598,2650,2873,5519,1495,1711,3201,371,393,765,709,752,1454,2574,2853,5426,1756,1895,3648,380,396,778,721,856,1571,2857,3152,6005,1806,1954,3769,377,389,769,903,1005,1911,3096,3356,6444,1876,2091,3963,348,369,723,985,983,1969,3208,3449,6655,2240,2303,4541,312,333,640,1012,1047,2064,3568,3677,7243,2138,2165,4308,287,210,499,963,1019,1976,3395,3397,6785,2207,1995,4197,199,155,353,864,975,1842,3266,3130,6394,1714,1477,3190,98,88,189,644,923,1561,2456,2482,4938,1198,953,2148,66,38,108,516,957,1474,1782,1952,3729,763,502,1265,24,12,33,359,845,1208,1145,1361,2502,482,210,697,8,6,16,405,947,1351,897,1169,2063,19607,19899,39506,4215,4366,8581,15186,16746,31928,39005,41008,80014,0,0,0,43,89,129,3129,2970,6098,3173,3053,6228,46,99,143,504
110,8816,4732,4382,9111,142,281,422,780,1121,1903,3111,2656,5767,4027,4063,8091,944,1456,2401,1111,1173,2280,2074,1889,3966,4131,4517,8651,1877,2282,4155,858,788,1650,1358,1453,2815,4092,4522,8620,2210,2487,4698,632,644,1275,1101,1338,2435,3942,4466,8411,2636,2860,5498,613,616,1232,1247,1431,2671,4495,4905,9399,2764,2983,5748,583,592,1174,1486,1549,3039,4825,5131,9958,2948,3220,6163,581,576,1158,1575,1676,3257,5107,5470,10578,3203,3416,6618,486,473,964,1648,1794,3440,5335,5686,11020,3179,3071,6251,378,290,666,1524,1558,3081,5071,4922,10000,3117,2837,5948,278,213,489,1328,1611,2942,4726,4657,9383,2518,2155,4677,152,104,251,1024,1563,2590,3694,3819,7516,1824,1465,3285,76,43,126,768,1503,2273,2669,3014,5690,1129,634,1765,40,16,53,523,1276,1806,1699,1925,3623,597,265,856,16,12,28,447,1489,1943,1061,1764,2829,29095,29416,58506,6658,6868,13524,23867,26966,50835,59616,63252,122864,6,6,12,104,224,326,4659,4437,9098,4763,4666,9435,102,220,320,884
