SA4_CODE_2021,C21_P_NatPhy_sci_15_19,C21_P_NatPhy_sci_20_24,C21_P_NatPhy_sci_25_34,C21_P_NatPhy_sci_35_44,C21_P_NatPhy_sci_45_54,C21_P_NatPhy_sci_55_64,C21_P_NatPhy_sci_65_74,C21_P_NatPhy_sci_75_84,C21_P_NatPhy_sci_85over,C21_P_NatPhy_sci_Tot,C21_P_InfTec_15_19,C21_P_InfTec_20_24,C21_P_InfTec_25_34,C21_P_InfTec_35_44,C21_P_InfTec_45_54,C21_P_InfTec_55_64,C21_P_InfTec_65_74,C21_P_InfTec_75_84,C21_P_InfTec_85over,C21_P_InfTec_Tot,C21_P_EngRT_15_19,C21_P_EngRT_20_24,C21_P_EngRT_25_34,C21_P_EngRT_35_44,C21_P_EngRT_45_54,C21_P_EngRT_55_64,C21_P_EngRT_65_74,C21_P_EngRT_75_84,C21_P_EngRT_85over,C21_P_EngRT_Tot,C21_P_ArchBuild_15_19,C21_P_ArchBuild_20_24,C21_P_ArchBuild_25_34,C21_P_ArchBuild_35_44,C21_P_ArchBuild_45_54,C21_P_ArchBuild_55_64,C21_P_ArchBuild_65_74,C21_P_ArchBuild_75_84,C21_P_ArchBuild_85over,C21_P_ArchBuild_Tot,C21_P_AgEnv_RS_15_19,C21_P_AgEnv_RS_20_24,C21_P_AgEnv_RS_25_34,C21_P_AgEnv_RS_35_44,C21_P_AgEnv_RS_45_54,C21_P_AgEnv_RS_55_64,C21_P_AgEnv_RS_65_74,C21_P_AgEnv_RS_75_84,C21_P_AgEnv_RS_85over,C21_P_AgEnv_RS_Tot,C21_P_Health_15_19,C21_P_Health_20_24,C21_P_Health_25_34,C21_P_Health_35_44,C21_P_Health_45_54,C21_P_Health_55_64,C21_P_Health_65_74,C21_P_Health_75_84,C21_P_Health_85over,C21_P_Health_Tot,C21_P_Educ_15_19,C21_P_Educ_20_24,C21_P_Educ_25_34,C21_P_Educ_35_44,C21_P_Educ_45_54,C21_P_Educ_55_64,C21_P_Educ_65_74,C21_P_Educ_75_84,C21_P_Educ_85over,C21_P_Educ_Tot,C21_P_MngtCom_15_19,C21_P_MngtCom_20_24,C21_P_MngtCom_25_34,C21_P_MngtCom_35_44,C21_P_MngtCom_45_54,C21_P_MngtCom_55_64,C21_P_MngtCom_65_74,C21_P_MngtCom_75_84,C21_P_MngtCom_85over,C21_P_MngtCom_Tot,C21_P_Soc_cult_15_19,C21_P_Soc_cult_20_24,C21_P_Soc_cult_25_34,C21_P_Soc_cult_35_44,C21_P_Soc_cult_45_54,C21_P_Soc_cult_55_64,C21_P_Soc_cult_65_74,C21_P_Soc_cult_75_84,C21_P_Soc_cult_85over,C21_P_Soc_cult_Tot,C21_P_Creative_art_15_19,C21_P_Creative_art_20_24,C21_P_Creative_art_25_34,C21_P_Creative_art_35_44,C21_P_Creative_art_45_54,C21_P_Creative_art_55_64,C21_P_Creative_art_65_74,C21_P_Creative_art_75_84,C21_P_Creative_art_85over,C21_P_Creative_art_Tot,C21_P_FoodHos_PS_15_19,C21_P_FoodHos_PS_20_24,C21_P_FoodHos_PS_25_34,C21_P_FoodHos_PS_35_44,C21_P_FoodHos_PS_45_54,C21_P_FoodHos_PS_55_64,C21_P_FoodHos_PS_65_74,C21_P_FoodHos_PS_75_84,C21_P_FoodHos_PS_85over,C21_P_FoodHos_PS_Tot,C21_P_MixFld_pr_15_19,C21_P_MixFld_pr_20_24,C21_P_MixFld_pr_25_34,C21_P_MixFld_pr_35_44,C21_P_MixFld_pr_45_54,C21_P_MixFld_pr_55_64,C21_P_MixFld_pr_65_74,C21_P_MixFld_pr_75_84,C21_P_MixFld_pr_85over,C21_P_MixFld_pr_Tot,C21_P_FldStu_ID_15_19,C21_P_FldStu_ID_20_24,C21_P_FldStu_ID_25_34,C21_P_FldStu_ID_35_44,C21_P_FldStu_ID_45_54,C21_P_FldStu_ID_55_64,C21_P_FldStu_ID_65_74,C21_P_FldStu_ID_75_84,C21_P_FldStu_ID_85over,C21_P_FldStu_ID_Tot,C21_P_FldStu_NS_15_19,C21_P_FldStu_NS_20_24,C21_P_FldStu_NS_25_34,C21_P_FldStu_NS_35_44,C21_P_FldStu_NS_45_54,C21_P_FldStu_NS_55_64,C21_P_FldStu_NS_65_74,C21_P_FldStu_NS_75_84,C21_P_FldStu_NS_85over,C21_P_FldStu_NS_Tot,C21_P_Tot_15_19,C21_P_Tot_20_24,C21_P_Tot_25_34,C21_P_Tot_35_44,C21_P_Tot_45_54,C21_P_Tot_55_64,C21_P_Tot_65_74,C21_P_Tot_75_84,C21_P_Tot_85over,C21_P_Tot_Tot
210,14,685,1562,1602,1100,673,416,137,24,6211,31,639,3012,3566,1331,526,211,29,0,9345,117,1274,5858,5657,5027,4763,3019,1616,490,27822,161,1114,3541,2586,1826,1134,655,313,95,11425,34,142,560,556,448,336,154,64,15,2314,93,1411,5577,3919,2651,1983,1132,452,115,17331,44,732,3965,3582,2943,2377,1630,612,116,16002,124,1896,9722,10748,6988,4490,2156,625,171,36930,210,1772,6230,6002,4497,2955,1445,376,61,23544,97,754,2293,1867,931,437,206,116,29,6728,149,828,3061,2920,1663,1094,570,232,52,10572,18,54,58,53,25,33,39,12,5,300,18,185,830,1079,671,457,282,101,38,3673,1462,1803,5116,4502,3414,2709,2113,1938,1214,24273,2573,13299,51388,48644,33526,23969,14040,6615,2428,196473
211,13,678,1685,2028,1993,1442,1064,446,118,9468,40,548,2406,4763,2630,1359,581,86,5,12418,173,1271,5898,7092,7389,7505,5643,3201,934,39103,205,1414,4352,3684,3355,2644,1536,858,243,18291,94,345,1097,1154,1089,764,336,139,50,5067,144,1873,6607,5646,5142,4388,3054,1377,445,28677,49,815,4375,4571,4415,4161,3904,1940,420,24649,131,1938,9824,14210,11627,8335,5196,2034,554,53848,264,1890,5977,6742,6685,5432,3486,1170,265,31912,181,1196,2966,2832,1846,1090,648,302,89,11151,298,963,2827,2739,2378,1633,978,466,116,12396,12,34,74,36,40,29,42,22,6,291,26,202,620,916,1002,732,479,220,74,4266,1029,1267,3238,3311,3219,2766,2640,2822,2244,22532,2652,14434,51943,59727,52816,42279,29598,15079,5554,274087
212,33,1710,3863,3284,2443,1735,1118,525,121,14830,88,1872,7610,9216,3885,1707,551,80,12,25029,290,3001,13045,12578,11085,10128,6797,3655,1134,61721,294,1967,5848,4199,3347,2221,1399,833,246,20358,73,390,1175,1182,923,635,351,133,35,4891,211,3205,11744,8864,6050,4134,2779,1288,450,38712,108,1345,6021,5820,4926,3925,3178,1585,471,27383,307,4717,22388,24329,15850,9765,5178,2076,631,85251,438,3339,11028,10948,9002,6411,3374,1043,240,45825,189,1586,3870,2938,1556,884,566,254,78,11913,375,1947,6277,5919,3518,2112,1158,485,127,21919,50,102,150,109,70,54,55,35,18,657,57,404,1463,1970,1359,941,579,279,99,7152,2634,4008,10412,8267,6311,5136,4401,3931,2540,47634,5157,29596,104904,99626,70313,49792,31472,16206,6201,413270
213,22,1234,3550,3722,2268,1221,754,211,28,13015,70,1540,9221,12364,3563,1203,356,49,3,28371,284,2570,12397,13369,9895,8394,5630,2263,584,55394,289,1906,5649,4603,3108,1867,1094,466,127,19102,21,250,1006,1128,715,445,229,75,10,3876,170,2573,11042,8388,5481,3376,1898,549,179,33661,81,1338,6664,6465,4982,3651,2306,905,163,26557,247,4053,23016,27969,15002,8080,3694,884,164,83106,370,3065,12388,12842,9085,5828,2701,620,97,46998,201,1615,5175,4126,2061,959,407,136,28,14705,341,1979,6940,6783,3352,1787,915,301,57,22462,41,102,141,86,60,66,53,26,8,584,34,380,1910,2589,1451,857,580,181,42,8026,2940,4177,12508,10564,6929,5141,4290,3088,1817,51456,5113,26794,111598,114998,67953,42882,24917,9756,3314,407319
214,4,209,521,634,690,572,520,285,71,3508,15,184,522,870,727,481,269,56,4,3123,130,682,2801,3200,3820,4060,3574,2274,700,21240,130,731,2960,2637,2292,1782,1300,679,186,12698,61,236,675,749,741,561,242,100,38,3396,79,769,3358,3280,3193,3000,2346,1145,388,17547,38,400,2479,2709,2600,2658,2949,1377,288,15490,123,702,3819,5772,5795,4614,3422,1627,442,26321,172,937,3165,3658,3883,3366,2384,904,168,18652,56,486,1372,1399,1032,722,529,272,71,5939,134,583,1930,1811,1639,1206,867,411,78,8644,23,23,33,27,18,17,16,21,10,181,14,97,321,474,586,383,315,157,49,2391,1096,950,2374,2597,2943,2537,2727,2728,1873,19825,2073,6984,26324,29818,29961,25969,21457,12026,4359,158972
215,0,41,213,195,199,174,125,30,5,986,5,43,217,206,91,92,51,14,3,736,85,487,1738,1403,1357,1623,1288,566,135,8681,42,241,788,580,516,632,452,179,45,3479,63,259,816,952,881,857,433,157,40,4451,35,380,1622,1238,1201,1581,1120,434,151,7759,11,199,1129,1003,1050,1017,1067,539,121,6129,59,431,1764,1931,1756,1393,759,209,45,8362,80,462,1543,1306,1611,1484,849,194,36,7576,19,88,334,289,209,153,104,47,17,1259,68,366,1000,835,733,555,372,143,27,4107,6,17,55,26,8,12,9,5,5,141,4,35,130,175,171,164,117,37,17,853,881,750,1876,1783,1853,2039,2144,1741,1074,14145,1362,3801,13237,11938,11642,11781,8885,4287,1722,68654
216,0,73,185,232,194,141,117,25,10,973,9,70,202,180,98,71,36,10,0,677,61,493,1574,1431,1607,1684,1326,646,154,8973,49,239,711,534,591,593,421,201,60,3412,54,151,537,602,576,569,269,122,32,2916,44,414,1555,1292,1220,1264,858,397,100,7136,21,224,964,902,887,905,885,425,88,5307,35,306,1480,1692,1579,1290,825,277,68,7563,92,453,1348,1313,1359,1237,745,189,31,6759,16,104,255,195,141,106,82,33,11,941,81,293,989,776,644,468,335,125,21,3731,4,15,31,14,17,5,7,0,0,99,0,32,116,161,175,148,87,39,15,776,762,623,1564,1468,1558,1637,1725,1598,995,11928,1235,3486,11512,10793,10655,10123,7729,4085,1572,61186
217,4,49,194,223,222,175,175,61,19,1108,3,38,136,144,101,88,66,14,0,599,70,366,1233,1262,1425,1481,1170,488,120,7609,50,246,827,723,594,651,420,190,51,3766,77,253,730,803,835,764,465,159,39,4120,28,293,1430,1283,1269,1581,1194,489,149,7704,17,213,858,974,1010,1118,1280,492,108,6079,47,310,1241,1494,1608,1312,861,234,48,7161,52,293,1128,1165,1375,1456,954,231,36,6691,26,89,322,287,256,204,207,61,15,1461,101,342,921,829,655,467,290,119,30,3765,3,3,18,14,7,9,8,5,0,64,6,32,131,157,180,153,113,53,34,852,640,426,1109,1215,1276,1427,1536,1318,806,9754,1127,2963,10280,10575,10818,10885,8739,3911,1447,60738
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,0,0,29,0,0,6,16,3,15,4,0,0,40
299,0,3,25,12,25,7,5,0,0,78,0,7,36,30,17,10,0,0,0,93,3,23,109,79,80,61,49,22,0,409,6,15,41,40,34,26,21,0,0,177,0,8,26,16,23,9,6,0,0,86,0,24,94,58,41,44,22,0,0,280,0,4,30,28,27,36,19,9,0,151,3,32,136,109,73,69,38,0,0,467,6,30,132,75,61,66,27,5,0,400,0,15,50,45,16,18,9,0,0,153,6,19,59,57,25,25,14,7,0,205,0,4,0,4,0,0,0,0,0,11,5,6,23,11,11,12,4,0,0,72,177,219,709,887,664,409,201,39,15,3334,211,400,1458,1448,1099,779,411,85,18,5907
