SA4_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
101,6160,12284,519,532,1055,7904,8251,16162,903,1765,2664,1202,1349,2551,227,335,565,2332,3449,5776,6846,7510,14363,103576,104662,208244,8662,7546,16202,119084,119718,238810
102,10041,19111,748,1039,1791,11849,13852,25702,1488,2994,4483,1924,2611,4531,518,1012,1532,3930,6617,10545,11653,12703,24360,147199,156226,303427,9120,9691,18807,167972,178620,346596
103,5544,10822,529,529,1059,6965,7518,14480,831,1722,2552,1087,1389,2474,166,308,476,2084,3419,5504,6695,6982,13682,90556,92557,183120,8945,7218,16160,106196,106757,212962
104,4437,8608,341,427,767,5457,6041,11492,675,1385,2061,910,1019,1926,173,317,488,1758,2721,4473,5281,5545,10827,60439,64126,124568,5778,4963,10735,71498,74634,146127
105,2724,5176,421,474,891,3524,3976,7498,406,814,1222,534,655,1191,162,288,460,1102,1757,2866,3622,3625,7245,46282,48040,94318,7413,6585,14003,57317,58250,115566
106,6689,13192,571,564,1131,8601,9130,17724,892,1870,2761,1135,1391,2529,231,402,632,2258,3663,5922,9893,10034,19937,125678,129547,255223,9561,7225,16783,145132,146806,291946
107,7366,14174,545,653,1200,9125,10617,19744,1363,2668,4036,1412,1705,3117,412,660,1068,3187,5033,8227,9769,11303,21069,136947,141121,278068,7353,7348,14698,154069,159772,313842
108,8643,17030,621,694,1315,10909,11652,22565,1338,2614,3956,1799,2073,3869,261,455,713,3398,5142,8536,9880,10356,20240,93368,99899,193265,8084,7440,15525,111332,117695,229035
109,3582,6964,314,387,707,4388,4887,9280,509,1032,1543,722,834,1553,151,166,318,1382,2032,3413,4001,4217,8219,51998,53891,105892,4912,4528,9441,60911,62636,123552
110,5068,9644,561,611,1166,6165,6983,13144,638,1403,2038,913,1152,2068,217,344,563,1768,2899,4669,5777,6084,11868,76305,79269,155584,9176,8941,18117,91258,94294,185560
111,9817,18474,618,788,1404,11543,13782,25316,1753,3689,5445,1894,2524,4416,342,673,1017,3989,6886,10881,12627,14220,26849,169506,176594,346105,8891,8677,17566,191024,199491,390519
112,7548,14520,619,710,1328,9015,10212,19222,1260,2479,3740,1608,2028,3638,346,615,964,3214,5122,8337,8355,9185,17540,106224,113494,219717,9860,9937,19799,124439,132616,257061
113,3883,7527,383,370,752,4775,5321,10095,649,1403,2050,802,1031,1835,145,226,369,1596,2660,4250,4651,5323,9972,69852,71520,141376,6854,5455,12313,81357,82298,163656
114,5825,11571,409,454,863,7271,7727,14997,790,1485,2275,1176,1282,2453,199,332,535,2165,3099,5266,5631,6081,11712,67779,71332,139109,5509,4679,10191,78919,82092,161006
115,5123,10165,292,328,626,6274,6845,13127,803,1627,2437,935,986,1928,261,405,668,1999,3018,5023,4797,5803,10598,121917,123575,245487,4127,4157,8283,130841,133535,264371
116,3972,7890,364,406,765,5841,6709,12543,830,1753,2586,586,697,1277,148,324,473,1564,2774,4339,9935,11247,21177,177131,178011,355144,13038,11636,24675,200104,200894,400997
117,3595,7180,450,444,903,5134,5580,10722,739,1273,2010,662,721,1387,163,304,467,1564,2298,3864,5198,6088,11278,153474,144872,298348,11836,9874,21716,170508,160834,331340
118,5591,10405,483,594,1078,6208,7639,13846,889,1678,2569,1210,1392,2599,464,910,1372,2563,3980,6538,3871,5261,9136,114030,122454,236478,8180,7616,15796,126081,135331,261410
119,9757,19335,1097,1227,2328,14263,16352,30611,2841,4812,7656,2307,2475,4782,814,1547,2361,5962,8834,14802,16905,20611,37518,264849,263567,528418,19858,19328,39190,301612,303506,605118
120,5144,9845,391,436,825,6506,7904,14410,1397,2553,3945,1051,1225,2278,252,519,777,2700,4297,7002,5976,8200,14180,135264,141056,276319,7263,7017,14279,148503,156273,304771
