SA4_CODE_2021,C11_15_19_Mar_RegM_M,C11_15_19_Mar_RegM_F,C11_15_19_Mar_RegM_P,C11_15_19_Mar_DFM_M,C11_15_19_Mar_DFM_F,C11_15_19_Mar_DFM_P,C11_15_19_N_mar_M,C11_15_19_N_mar_F,C11_15_19_N_mar_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Mar_RegM_M,C11_20_24_Mar_RegM_F,C11_20_24_Mar_RegM_P,C11_20_24_Mar_DFM_M,C11_20_24_Mar_DFM_F,C11_20_24_Mar_DFM_P,C11_20_24_N_mar_M,C11_20_24_N_mar_F,C11_20_24_N_mar_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Mar_RegM_M,C11_25_29_Mar_RegM_F,C11_25_29_Mar_RegM_P,C11_25_29_Mar_DFM_M,C11_25_29_Mar_DFM_F,C11_25_29_Mar_DFM_P,C11_25_29_N_mar_M,C11_25_29_N_mar_F,C11_25_29_N_mar_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Mar_RegM_M,C11_30_34_Mar_RegM_F,C11_30_34_Mar_RegM_P,C11_30_34_Mar_DFM_M,C11_30_34_Mar_DFM_F,C11_30_34_Mar_DFM_P,C11_30_34_N_mar_M,C11_30_34_N_mar_F,C11_30_34_N_mar_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Mar_RegM_M,C11_35_39_Mar_RegM_F,C11_35_39_Mar_RegM_P,C11_35_39_Mar_DFM_M,C11_35_39_Mar_DFM_F,C11_35_39_Mar_DFM_P,C11_35_39_N_mar_M,C11_35_39_N_mar_F,C11_35_39_N_mar_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Mar_RegM_M,C11_40_44_Mar_RegM_F,C11_40_44_Mar_RegM_P,C11_40_44_Mar_DFM_M,C11_40_44_Mar_DFM_F,C11_40_44_Mar_DFM_P,C11_40_44_N_mar_M,C11_40_44_N_mar_F,C11_40_44_N_mar_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Mar_RegM_M,C11_45_49_Mar_RegM_F,C11_45_49_Mar_RegM_P,C11_45_49_Mar_DFM_M,C11_45_49_Mar_DFM_F,C11_45_49_Mar_DFM_P,C11_45_49_N_mar_M,C11_45_49_N_mar_F,C11_45_49_N_mar_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Mar_RegM_M,C11_50_54_Mar_RegM_F,C11_50_54_Mar_RegM_P,C11_50_54_Mar_DFM_M,C11_50_54_Mar_DFM_F,C11_50_54_Mar_DFM_P,C11_50_54_N_mar_M,C11_50_54_N_mar_F,C11_50_54_N_mar_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Mar_RegM_M,C11_55_59_Mar_RegM_F,C11_55_59_Mar_RegM_P,C11_55_59_Mar_DFM_M,C11_55_59_Mar_DFM_F,C11_55_59_Mar_DFM_P,C11_55_59_N_mar_M,C11_55_59_N_mar_F,C11_55_59_N_mar_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Mar_RegM_M,C11_60_64_Mar_RegM_F,C11_60_64_Mar_RegM_P,C11_60_64_Mar_DFM_M,C11_60_64_Mar_DFM_F,C11_60_64_Mar_DFM_P,C11_60_64_N_mar_M,C11_60_64_N_mar_F,C11_60_64_N_mar_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_69_Mar_RegM_M,C11_65_69_Mar_RegM_F,C11_65_69_Mar_RegM_P,C11_65_69_Mar_DFM_M,C11_65_69_Mar_DFM_F,C11_65_69_Mar_DFM_P,C11_65_69_N_mar_M,C11_65_69_N_mar_F,C11_65_69_N_mar_P,C11_65_69_Tot_M,C11_65_69_Tot_F,C11_65_69_Tot_P,C11_70_74_Mar_RegM_M,C11_70_74_Mar_RegM_F,C11_70_74_Mar_RegM_P,C11_70_74_Mar_DFM_M,C11_70_74_Mar_DFM_F,C11_70_74_Mar_DFM_P,C11_70_74_N_mar_M,C11_70_74_N_mar_F,C11_70_74_N_mar_P,C11_70_74_Tot_M,C11_70_74_Tot_F,C11_70_74_Tot_P,C11_75_79_Mar_RegM_M,C11_75_79_Mar_RegM_F,C11_75_79_Mar_RegM_P,C11_75_79_Mar_DFM_M,C11_75_79_Mar_DFM_F,C11_75_79_Mar_DFM_P,C11_75_79_N_mar_M,C11_75_79_N_mar_F,C11_75_79_N_mar_P,C11_75_79_Tot_M,C11_75_79_Tot_F,C11_75_79_Tot_P,C11_80_84_Mar_RegM_M,C11_80_84_Mar_RegM_F,C11_80_84_Mar_RegM_P,C11_80_84_Mar_DFM_M,C11_80_84_Mar_DFM_F,C11_80_84_Mar_DFM_P,C11_80_84_N_mar_M,C11_80_84_N_mar_F,C11_80_84_N_mar_P,C11_80_84_Tot_M,C11_80_84_Tot_F,C11_80_84_Tot_P,C11_85_over_Mar_RegM_M,C11_85_over_Mar_RegM_F,C11_85_over_Mar_RegM_P,C11_85_over_Mar_DFM_M,C11_85_over_Mar_DFM_F,C11_85_over_Mar_DFM_P,C11_85_over_N_mar_M,C11_85_over_N_mar_F,C11_85_over_N_mar_P,C11_85_over_Tot_M,C11_85_over_Tot_F,C11_85_over_Tot_P,C11_Tot_Marr_reg_marr_M,C11_Tot_Marr_reg_marr_F,C11_Tot_Marr_reg_marr_P,C11_Tot_Mar_de_fa_mar_M,C11_Tot_Mar_de_fa_mar_F,C11_Tot_Mar_de_fa_mar_P,C11_Tot_N_mar_M,C11_Tot_N_mar_F,C11_Tot_N_mar_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_15_19_Mar_RegM_M,C16_15_19_Mar_RegM_F,C16_15_19_Mar_RegM_P,C16_15_19_Mar_DFM_M,C16_15_19_Mar_DFM_F,C16_15_19_Mar_DFM_P,C16_15_19_N_mar_M,C16_15_19_N_mar_F
308,15,34,47,127,338,467,6450,5616,12067,6592,5988,12585,295,665,964,1278,1848,3127,3934,3000,6932,5503,5519,11021,1805,2661,4475,1689,1831,3516,2518,1934,4447,6017,6423,12439,2908,3590,6502,1275,1127,2406,1614,1429,3040,5800,6147,11944,3763,4275,8032,938,930,1862,1483,1446,2929,6184,6648,12824,3880,4311,8191,885,869,1755,1576,1552,3122,6344,6724,13071,4039,4579,8613,746,768,1517,1685,1528,3214,6470,6878,13347,4139,4329,8465,619,611,1227,1688,1505,3191,6447,6442,12889,3886,3662,7550,411,355,766,1474,1283,2760,5776,5302,11074,3262,2977,6242,281,239,522,1264,1179,2440,4805,4391,9195,2445,2163,4606,168,121,294,921,1102,2021,3532,3391,6924,1825,1489,3316,79,65,141,684,1083,1769,2590,2638,5225,1227,891,2113,46,16,67,558,1051,1603,1832,1956,3790,772,453,1232,16,6,19,400,924,1324,1188,1384,2574,316,134,451,4,6,12,290,867,1151,606,1007,1611,34588,36217,70801,8562,9135,17698,26533,25488,52018,69681,70843,140519,10,15,22,136,301,436,6055,5417
309,12,41,54,164,418,583,14916,14039,28949,15092,14497,29588,448,1031,1481,2073,3391,5464,12011,11159,23171,14531,15578,30113,3107,4782,7895,4048,4493,8544,7683,6697,14375,14839,15971,30817,6592,8232,14823,3350,3007,6359,4816,4739,9555,14759,15980,30740,8983,10323,19311,2665,2452,5120,4513,4701,9215,16168,17483,33651,9800,10695,20492,2211,2108,4319,4066,5066,9131,16078,17869,33948,9463,10090,19554,1810,1671,3474,3927,5250,9179,15203,17011,32210,9061,9414,18478,1290,1426,2723,3771,5309,9074,14120,16151,30271,8428,8597,17027,1090,946,2037,3267,4801,8071,12780,14350,27133,9034,8470,17504,945,687,1625,3047,4601,7647,13023,13749,26772,7361,6473,13837,552,375,926,2375,3974,6346,10287,10826,21111,5600,4523,10124,296,167,463,1707,3425,5132,7603,8117,15719,3860,2720,6579,148,79,228,1332,3077,4406,5336,5877,11216,2594,1695,4289,77,35,116,1097,3137,4239,3766,4877,8644,1566,757,2320,50,11,59,1124,3152,4276,2733,3923,6660,85903,87860,173760,20768,21266,42039,69662,83111,152774,176333,192241,368575,9,23,32,179,341,519,15695,15082
310,19,43,61,160,418,579,9388,8889,18270,9565,9352,18911,498,1050,1548,1540,2142,3684,6148,5356,11504,8195,8553,16741,2569,3846,6419,2122,2305,4430,3712,3289,6993,8407,9433,17842,4268,5046,9317,1676,1564,3239,2532,2536,5067,8475,9144,17623,5034,5629,10662,1453,1404,2858,2343,2782,5133,8830,9816,18647,5407,5814,11218,1217,1064,2280,2339,2752,5090,8962,9625,18585,5398,5487,10879,907,935,1844,2398,2726,5121,8699,9148,17848,5190,5121,10309,658,612,1268,2131,2457,4591,7975,8193,16172,4582,4374,8956,464,396,858,1815,2188,4000,6861,6950,13816,4322,3947,8274,324,233,558,1505,2083,3590,6152,6259,12417,3284,2856,6136,173,117,288,1109,1708,2815,4559,4679,9237,2432,1911,4346,101,69,166,878,1581,2463,3407,3559,6968,1550,1127,2680,40,19,61,600,1406,2007,2195,2558,4747,965,533,1497,18,3,23,457,1289,1747,1438,1827,3267,461,212,674,11,3,9,408,1256,1658,873,1470,2343,45974,46996,92972,10863,11288,22150,37757,42296,80049,94595,100581,195178,9,21,31,128,264,392,10093,9272
311,12,41,53,157,364,515,10615,9710,20327,10783,10109,20893,535,1022,1555,1474,2152,3624,7063,5973,13041,9077,9143,18227,2533,3701,6235,2211,2336,4548,4235,3532,7768,8983,9574,18554,4251,5150,9400,1805,1789,3599,2785,2675,5459,8844,9615,18459,5356,5907,11261,1533,1476,3010,2436,2771,5212,9325,10155,19485,5634,6001,11634,1329,1194,2521,2266,2866,5130,9227,10056,19280,5530,5897,11428,975,963,1936,2247,2744,4990,8759,9602,18356,5604,5720,11327,751,696,1449,2007,2566,4571,8361,8980,17341,5221,5109,10328,535,495,1032,1662,2297,3960,7410,7897,15312,5165,4696,9865,381,298,672,1531,2277,3808,7077,7266,14345,3687,2805,6490,211,121,335,1168,1783,2949,5059,4711,9768,2370,1751,4118,91,55,147,776,1452,2226,3233,3257,6489,1409,941,2346,42,19,51,512,1241,1757,1970,2197,4164,790,448,1241,21,16,34,407,999,1409,1218,1467,2682,375,193,567,8,0,14,341,940,1276,727,1128,1854,48473,49377,97845,11525,11961,23484,40057,43823,83877,100053,105159,205214,3,33,28,143,280,426,10375,9529
312,0,8,13,91,290,382,4890,4209,9102,4988,4510,9495,192,512,703,953,1528,2486,3132,2248,5383,4280,4293,8565,1355,2185,3528,1406,1591,2996,2142,1463,3605,4894,5236,10132,2393,3007,5395,1068,953,2021,1343,1024,2359,4801,4977,9779,2920,3514,6440,905,849,1758,1203,1022,2219,5027,5384,10417,3213,3533,6746,752,788,1535,1350,1082,2438,5316,5404,10723,3278,3684,6957,629,621,1250,1356,1131,2483,5255,5430,10685,3229,3460,6685,530,509,1038,1409,1068,2480,5164,5039,10201,2877,2879,5759,377,319,690,1109,888,2002,4371,4083,8453,2571,2297,4869,210,174,384,909,836,1743,3687,3303,6990,1847,1584,3429,134,103,236,684,730,1408,2662,2413,5077,1310,983,2291,58,38,95,499,737,1236,1861,1759,3622,861,624,1488,28,20,48,353,737,1092,1243,1383,2630,528,311,837,13,3,20,273,667,944,817,984,1805,247,121,367,5,0,4,186,557,744,433,682,1117,26818,28691,55505,7159,7785,14946,20827,18411,39230,54795,54889,109683,3,7,11,80,213,290,4375,3978
313,4,15,20,133,308,440,6941,6376,13316,7077,6705,13777,306,584,886,970,1405,2371,3990,3508,7500,5259,5500,10755,1378,2020,3399,1341,1459,2799,2287,2204,4495,5004,5683,10689,2442,3049,5496,1141,1091,2236,1619,1827,3444,5204,5974,11179,3338,3802,7137,1066,1013,2078,1674,2021,3693,6074,6832,12905,3788,4306,8095,901,870,1770,1710,2244,3958,6401,7414,13816,3926,4216,8138,753,747,1502,1757,2103,3858,6437,7064,13497,3889,4055,7939,546,542,1091,1588,1966,3558,6024,6563,12590,3922,4112,8033,460,420,886,1374,1866,3239,5756,6402,12158,4209,4167,8382,382,315,695,1368,1936,3300,5956,6418,12375,3560,3181,6740,243,189,430,1130,1830,2958,4932,5200,10132,2740,2223,4964,137,93,228,858,1613,2476,3730,3934,7669,1842,1380,3221,63,38,99,700,1509,2210,2606,2930,5530,1235,690,1932,24,16,38,610,1488,2098,1871,2195,4061,597,283,879,18,8,22,554,1370,1920,1166,1662,2823,37185,38095,75276,8173,8515,16684,28151,33866,62019,73501,80479,153980,3,12,17,112,199,315,6905,6476
314,4,17,21,55,157,211,5792,5578,11368,5841,5757,11601,271,519,797,750,1052,1804,3665,3072,6739,4687,4655,9336,1503,2167,3674,1174,1303,2475,1905,1589,3495,4577,5064,9639,2945,3587,6526,988,924,1912,1249,1238,2480,5174,5743,10919,4155,4649,8801,875,832,1711,1158,1295,2449,6181,6781,12959,4518,4716,9240,700,691,1391,1043,1323,2364,6266,6729,12996,4090,4258,8341,529,519,1045,970,1352,2323,5584,6133,11715,3648,3775,7420,401,343,745,891,1170,2066,4939,5282,10221,3298,3110,6410,254,246,503,686,1095,1773,4235,4452,8687,3139,2991,6137,183,145,326,621,1097,1716,3948,4238,8188,2310,1850,4159,84,52,135,423,881,1304,2818,2779,5594,1380,1004,2388,43,13,55,294,680,976,1716,1707,3419,783,534,1316,5,11,15,218,605,820,1005,1148,2154,449,300,758,11,0,12,181,576,758,643,880,1523,240,114,352,0,3,3,183,621,800,424,737,1156,32734,33594,66329,6037,6300,12333,19263,22173,41439,58042,62066,120104,5,8,11,64,141,209,6204,5810
315,3,7,6,78,177,254,2079,1716,3798,2160,1903,4065,79,188,266,586,814,1404,1513,1293,2801,2177,2294,4465,495,740,1229,859,974,1833,1047,1047,2094,2395,2763,5157,835,1019,1852,720,705,1420,689,632,1320,2239,2357,4600,1065,1222,2288,659,612,1278,669,628,1299,2398,2460,4860,1116,1233,2356,515,502,1018,711,623,1330,2349,2357,4703,1210,1251,2468,443,422,867,770,632,1408,2423,2308,4732,1236,1259,2494,327,300,624,768,607,1372,2330,2162,4493,1070,1015,2087,236,192,423,717,543,1264,2028,1748,3776,898,827,1722,156,104,259,688,471,1160,1740,1400,3138,705,582,1293,81,40,126,501,405,913,1293,1035,2330,496,339,836,31,11,50,339,311,653,874,666,1536,287,180,463,13,11,24,221,274,500,523,459,982,173,83,250,3,0,8,164,257,418,338,336,672,77,23,98,3,0,4,98,191,289,172,215,394,9748,9959,19706,4713,4873,9590,10976,9636,20611,25444,24471,49914,4,3,6,55,115,166,1908,1668
316,3,19,23,107,271,378,8977,8443,17420,9090,8733,17816,263,507,774,980,1504,2486,5141,4341,9482,6387,6350,12745,1392,2331,3720,1666,1892,3558,3065,2725,5782,6119,6942,13064,3097,4084,7185,1509,1531,3031,2001,2106,4100,6599,7718,14324,4924,5947,10867,1467,1437,2909,2071,2546,4615,8461,9929,18390,5795,6579,12372,1289,1374,2666,2154,3047,5196,9237,10992,20233,5943,6861,12803,1158,1256,2411,2268,3297,5560,9366,11406,20779,5937,6375,12318,999,1020,2021,2264,3211,5479,9205,10608,19811,5797,6142,11944,811,770,1578,1978,2971,4951,8587,9889,18471,6411,6311,12723,694,547,1243,1829,2817,4646,8938,9680,18619,5656,5288,10938,431,284,715,1436,2550,3982,7518,8118,15638,4572,3823,8393,221,148,367,1066,2322,3388,5858,6294,12152,3398,2486,5885,117,46,166,895,2090,2985,4407,4623,9034,2198,1359,3553,38,29,75,823,2235,3056,3058,3623,6683,1286,607,1892,18,8,24,799,2274,3068,2101,2885,4984,56672,58713,115382,11511,12127,23637,36757,46955,83713,104939,117792,222733,3,13,18,89,176,270,9400,8917
317,0,17,21,80,182,268,4440,4217,8662,4529,4420,8947,263,536,798,735,1015,1755,2707,2497,5206,3709,4048,7759,1265,1786,3053,890,855,1743,1641,1487,3126,3793,4128,7920,1942,2253,4194,571,515,1086,970,1083,2058,3480,3858,7337,2463,2756,5217,461,399,862,891,1141,2029,3815,4292,8108,2605,2957,5565,368,398,768,900,1274,2177,3872,4626,8501,2600,2853,5452,322,369,693,974,1254,2231,3892,4479,8375,2773,2897,5665,268,258,528,915,1288,2208,3948,4447,8393,2464,2453,4921,173,167,336,744,1162,1915,3387,3785,7174,2444,2358,4797,158,102,257,701,1099,1802,3301,3559,6860,1968,1827,3792,71,56,127,521,1056,1577,2558,2936,5492,1566,1275,2842,47,25,69,451,968,1415,2063,2267,4325,1121,865,1983,21,19,39,368,1050,1416,1505,1935,3440,736,470,1209,9,10,23,294,1049,1347,1045,1529,2578,438,196,627,11,3,15,281,1002,1283,728,1203,1927,24642,25497,50131,4192,4368,8560,16799,21642,38443,45627,51505,97134,6,11,22,69,151,226,4421,4002
318,6,23,27,139,359,500,7129,6453,13584,7272,6837,14110,247,594,846,1426,2066,3493,4932,4304,9237,6609,6963,13572,1644,2511,4154,1850,2018,3873,2900,2521,5426,6392,7052,13448,2715,3480,6200,1334,1317,2644,1811,1839,3648,5856,6635,12491,3578,4186,7763,1143,1182,2323,1642,1800,3439,6367,7164,13527,3829,4370,8193,932,915,1851,1740,1876,3613,6493,7162,13651,3817,4261,8079,737,775,1516,1761,1858,3619,6314,6900,13211,3828,4083,7917,632,646,1284,1725,1825,3543,6191,6552,12740,3583,3590,7174,457,394,851,1428,1515,2936,5464,5502,10959,3406,3145,6548,336,242,580,1294,1486,2778,5036,4873,9907,2628,2204,4828,155,123,284,895,1232,2125,3676,3558,7237,1859,1560,3419,91,53,144,748,1144,1896,2703,2757,5460,1253,899,2145,30,17,55,518,1183,1709,1808,2110,3910,803,477,1274,10,7,16,432,1101,1534,1239,1587,2828,399,166,560,6,0,4,298,1004,1305,701,1167,1868,33590,35539,69133,9283,10125,19410,29248,31148,60399,72121,76812,148936,7,11,11,116,291,405,6699,6096
319,14,34,53,189,391,576,7890,7101,14990,8090,7528,15615,306,646,958,1016,1542,2556,3699,3171,6872,5025,5356,10385,1415,2199,3610,1255,1416,2664,2195,2213,4413,4861,5824,10691,2463,3277,5736,1122,1160,2284,1705,1914,3629,5292,6359,11651,3514,4308,7820,1067,1079,2146,1756,2238,3994,6344,7622,13966,4207,5040,9248,952,1016,1962,2033,2584,4615,7195,8637,15835,4661,5432,10092,868,955,1824,2244,2636,4882,7776,9023,16800,5021,5715,10735,792,812,1599,2290,2622,4911,8099,9151,17245,5394,5939,11331,669,613,1287,2130,2411,4548,8194,8959,17160,6407,6459,12863,624,505,1132,2128,2456,4585,9155,9421,18576,5982,5242,11223,441,325,766,1927,2329,4256,8351,7893,16242,4670,3708,8378,241,161,404,1510,2222,3730,6419,6090,12514,3055,2195,5253,99,60,154,1178,1991,3165,4329,4239,8570,1897,1059,2954,61,31,89,853,1906,2759,2806,2994,5800,915,422,1345,16,16,29,750,1724,2474,1677,2167,3850,49923,51671,101592,9402,10082,19484,34288,39525,73815,93612,101273,194892,6,13,18,134,310,442,7462,6818
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,0,10,8,46,110,153,7990,7693,15684,8034,7816,15847,191,490,680,687,1096,1777,8552,8060,16614,9432,9639,19071,1617,2530,4144,1610,1794,3406,4853,4035,8891,8082,8364,16441,3450,4199,7652,1179,1061,2242,2672,2276,4944,7303,7535,14840,4897,5636,10538,940,909,1848,2245,2133,4382,8084,8675,16765,5769,6388,12153,901,921,1822,2088,2394,4485,8760,9709,18466,5819,6050,11871,809,834,1641,2148,2659,4814,8781,9544,18326,5655,5884,11539,760,762,1526,2087,2773,4855,8505,9420,17920,5268,5322,10595,680,618,1299,1786,2583,4375,7734,8529,16267,5262,5141,10401,522,368,896,1538,2481,4019,7315,8001,15322,4086,3696,7781,258,165,424,1060,2162,3219,5401,6024,11427,3255,2736,5991,122,59,181,775,1981,2759,4154,4780,8934,2406,1757,4159,41,26,68,699,2093,2799,3151,3876,7021,1827,1154,2979,35,10,48,663,2325,2991,2529,3488,6017,1035,482,1519,14,4,21,742,2683,3423,1793,3169,4963,50536,51484,102012,8599,8741,17344,39911,48333,88247,99051,108559,207607,3,9,11,57,93,143,8229,7779
402,10,51,66,148,356,500,12899,11961,24862,13056,12369,25427,503,1255,1756,1544,2439,3991,10402,8708,19113,12446,12408,24855,3395,5132,8525,2879,3005,5889,6821,5361,12184,13098,13498,26594,5995,6890,12885,2061,1895,3958,4155,3693,7846,12212,12480,24688,6841,7433,14273,1748,1641,3387,3744,3735,7482,12332,12808,25141,7276,7554,14832,1699,1545,3239,3882,4166,8045,12854,13264,26117,7618,7849,15471,1304,1313,2619,3729,4268,8000,12654,13437,26090,7401,7538,14940,997,868,1862,3366,3919,7291,11773,12324,24093,6934,6971,13903,616,588,1202,2599,3425,6028,10150,10984,21137,6860,6479,13332,480,336,812,2058,3254,5315,9398,10061,19458,5333,4910,10247,213,190,399,1433,2593,4021,6977,7692,14672,4179,3436,7615,122,90,215,1048,2515,3560,5347,6042,11387,3101,2295,5397,63,42,104,940,2408,3349,4105,4738,8844,2001,1220,3219,45,19,68,789,2336,3126,2834,3575,6410,915,401,1316,16,14,27,757,2148,2903,1686,2563,4248,68358,69413,137773,13934,14336,28269,58627,64499,123123,140919,148241,289165,13,30,43,101,230,332,12635,11724
403,5,25,30,73,214,292,10515,9876,20390,10596,10115,20708,254,628,885,1055,1678,2733,8795,7639,16436,10106,9944,20049,2177,3331,5509,2333,2584,4919,5257,4157,9416,9770,10065,19835,4385,5541,9929,1840,1768,3608,3037,2820,5858,9264,10125,19394,6022,6593,12625,1538,1421,2958,2582,2702,5286,10148,10721,20869,6468,7093,13562,1320,1287,2607,2829,3124,5956,10615,11499,22122,6864,7237,14101,1101,1096,2199,2802,3395,6199,10768,11727,22495,7018,7368,14383,947,936,1881,2746,3594,6343,10713,11893,22602,6858,6999,13859,740,663,1402,2399,3394,5790,9997,11055,21053,6986,6517,13500,532,446,976,2029,3284,5315,9542,10246,19790,5147,4641,9790,271,197,472,1297,2513,3811,6723,7356,14076,3756,3303,7055,147,80,226,975,2229,3203,4878,5606,10484,2938,2268,5206,69,44,110,817,2409,3225,3827,4719,8552,2313,1522,3835,36,21,59,837,2751,3584,3185,4297,7482,1319,705,2027,22,8,29,943,3139,4079,2282,3851,6133,62520,63765,126287,12036,12442,24477,47868,57020,104887,122422,133220,255645,5,13,20,67,143,204,10074,9663
404,0,17,17,35,93,130,6129,5666,11794,6163,5780,11940,209,511,716,629,968,1599,6401,5352,11756,7243,6832,14076,1458,2412,3867,1279,1530,2810,4483,3351,7830,7216,7294,14514,3023,3580,6605,1132,1071,2198,2658,2151,4816,6815,6802,13620,3669,3966,7636,906,898,1805,2249,2134,4382,6825,6995,13814,3935,4177,8109,813,824,1632,2434,2471,4901,7179,7466,14647,3900,3921,7818,716,672,1391,2435,2528,4964,7056,7117,14175,3888,3875,7764,590,598,1192,2452,2732,5185,6928,7211,14141,3312,3461,6767,440,400,834,1948,2455,4407,5699,6316,12010,3462,3356,6816,299,231,530,1603,2218,3821,5363,5803,11169,2736,2616,5353,167,128,294,1078,1750,2826,3977,4492,8473,2358,2277,4638,87,53,135,825,1865,2693,3270,4195,7471,2228,1664,3891,35,35,76,678,1932,2606,2939,3630,6567,1654,1024,2679,34,16,53,755,2206,2959,2443,3246,5690,1007,470,1476,12,14,27,807,2381,3184,1828,2863,4685,36840,37314,74156,7169,7535,14712,36936,41194,78130,80950,86038,166987,3,14,18,42,86,129,6014,5719
405,0,0,0,41,95,139,3052,2642,5693,3093,2743,5836,86,178,267,369,613,979,1649,1121,2778,2108,1918,4024,557,905,1465,559,540,1105,970,768,1737,2089,2216,4309,1063,1365,2429,434,448,885,669,595,1263,2175,2406,4577,1483,1766,3250,390,421,805,655,665,1318,2526,2847,5376,1943,2188,4134,424,432,854,791,804,1600,3164,3425,6587,2075,2306,4381,412,409,827,1031,902,1933,3519,3618,7140,2301,2503,4798,355,354,709,1042,828,1868,3695,3683,7381,2538,2540,5080,264,259,524,861,766,1632,3663,3569,7238,2499,2457,4955,202,157,356,803,797,1602,3500,3415,6914,2201,1997,4192,163,92,255,613,792,1399,2975,2875,5852,1627,1382,3015,65,47,111,510,771,1284,2209,2199,4410,1206,876,2084,30,20,50,434,815,1246,1672,1716,3386,757,467,1218,16,6,24,364,892,1251,1136,1365,2498,391,196,589,0,0,8,320,930,1247,718,1124,1839,20735,21140,41878,3732,3893,7625,13781,14087,27866,38246,39124,77366,0,6,8,27,71,92,2947,2578
406,14,28,39,62,164,221,2384,2054,4444,2462,2246,4706,99,222,319,511,684,1195,1592,1141,2729,2203,2044,4241,539,832,1370,648,700,1347,984,879,1863,2165,2415,4578,904,1099,2007,499,452,952,673,620,1293,2079,2170,4247,1178,1387,2565,462,489,953,705,613,1320,2343,2489,4837,1345,1489,2837,431,416,843,837,722,1565,2615,2627,5240,1425,1500,2921,367,356,718,908,723,1627,2698,2575,5277,1564,1640,3207,260,268,527,857,715,1566,2679,2625,5301,1427,1430,2847,210,164,371,720,592,1311,2354,2179,4533,1398,1283,2685,140,113,255,595,577,1171,2140,1969,4104,1112,1003,2114,77,50,122,472,528,999,1659,1582,3243,874,681,1550,45,27,73,366,504,867,1284,1211,2493,548,404,951,17,12,33,279,512,786,842,931,1770,412,242,656,11,12,24,196,504,696,623,755,1375,161,86,252,4,0,4,159,434,594,326,529,852,12998,13317,26318,3740,3893,7633,11728,11112,22850,28471,28332,56796,11,13,22,46,88,134,2019,1794
