SA4_CODE_2021,C11_0_4_Need_asst_M,C11_0_4_Need_asst_F,C11_0_4_Need_asst_P,C11_0_4_No_need_asst_M,C11_0_4_No_need_asst_F,C11_0_4_No_need_asst_P,C11_0_4_Need_asst_ns_M,C11_0_4_Need_asst_ns_F,C11_0_4_Need_asst_ns_P,C11_0_4_Tot_M,C11_0_4_Tot_F,C11_0_4_Tot_P,C11_5_14_Need_asst_M,C11_5_14_Need_asst_F,C11_5_14_Need_asst_P,C11_5_14_No_need_asst_M,C11_5_14_No_need_asst_F,C11_5_14_No_need_asst_P,C11_5_14_Need_asst_ns_M,C11_5_14_Need_asst_ns_F,C11_5_14_Need_asst_ns_P,C11_5_14_Tot_M,C11_5_14_Tot_F,C11_5_14_Tot_P,C11_15_19_Need_asst_M,C11_15_19_Need_asst_F,C11_15_19_Need_asst_P,C11_15_19_No_need_asst_M,C11_15_19_No_need_asst_F,C11_15_19_No_need_asst_P,C11_15_19_Need_asst_ns_M,C11_15_19_Need_asst_ns_F,C11_15_19_Need_asst_ns_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Need_asst_M,C11_20_24_Need_asst_F,C11_20_24_Need_asst_P,C11_20_24_No_need_asst_M,C11_20_24_No_need_asst_F,C11_20_24_No_need_asst_P,C11_20_24_Need_asst_ns_M,C11_20_24_Need_asst_ns_F,C11_20_24_Need_asst_ns_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_34_Need_asst_M,C11_25_34_Need_asst_F,C11_25_34_Need_asst_P,C11_25_34_No_need_asst_M,C11_25_34_No_need_asst_F,C11_25_34_No_need_asst_P,C11_25_34_Need_asst_ns_M,C11_25_34_Need_asst_ns_F,C11_25_34_Need_asst_ns_P,C11_25_34_Tot_M,C11_25_34_Tot_F,C11_25_34_Tot_P,C11_35_44_Need_asst_M,C11_35_44_Need_asst_F,C11_35_44_Need_asst_P,C11_35_44_No_need_asst_M,C11_35_44_No_need_asst_F,C11_35_44_No_need_asst_P,C11_35_44_Need_asst_ns_M,C11_35_44_Need_asst_ns_F,C11_35_44_Need_asst_ns_P,C11_35_44_Tot_M,C11_35_44_Tot_F,C11_35_44_Tot_P,C11_45_54_Need_asst_M,C11_45_54_Need_asst_F,C11_45_54_Need_asst_P,C11_45_54_No_need_asst_M,C11_45_54_No_need_asst_F,C11_45_54_No_need_asst_P,C11_45_54_Need_asst_ns_M,C11_45_54_Need_asst_ns_F,C11_45_54_Need_asst_ns_P,C11_45_54_Tot_M,C11_45_54_Tot_F,C11_45_54_Tot_P,C11_55_64_Need_asst_M,C11_55_64_Need_asst_F,C11_55_64_Need_asst_P,C11_55_64_No_need_asst_M,C11_55_64_No_need_asst_F,C11_55_64_No_need_asst_P,C11_55_64_Need_asst_ns_M,C11_55_64_Need_asst_ns_F,C11_55_64_Need_asst_ns_P,C11_55_64_Tot_M,C11_55_64_Tot_F,C11_55_64_Tot_P,C11_65_74_Need_asst_M,C11_65_74_Need_asst_F,C11_65_74_Need_asst_P,C11_65_74_No_need_asst_M,C11_65_74_No_need_asst_F,C11_65_74_No_need_asst_P,C11_65_74_Need_asst_ns_M,C11_65_74_Need_asst_ns_F,C11_65_74_Need_asst_ns_P,C11_65_74_Tot_M,C11_65_74_Tot_F,C11_65_74_Tot_P,C11_75_84_Need_asst_M,C11_75_84_Need_asst_F,C11_75_84_Need_asst_P,C11_75_84_No_need_asst_M,C11_75_84_No_need_asst_F,C11_75_84_No_need_asst_P,C11_75_84_Need_asst_ns_M,C11_75_84_Need_asst_ns_F,C11_75_84_Need_asst_ns_P,C11_75_84_Tot_M,C11_75_84_Tot_F,C11_75_84_Tot_P,C11_85over_Need_asst_M,C11_85over_Need_asst_F,C11_85over_Need_asst_P,C11_85over_No_need_asst_M,C11_85over_No_need_asst_F,C11_85over_No_need_asst_P,C11_85over_Need_asst_ns_M,C11_85over_Need_asst_ns_F,C11_85over_Need_asst_ns_P,C11_85over_Tot_M,C11_85over_Tot_F,C11_85over_Tot_P,C11_Tot_Need_asst_M,C11_Tot_Need_asst_F,C11_Tot_Need_asst_P,C11_Tot_No_need_asst_M,C11_Tot_No_need_asst_F,C11_Tot_No_need_asst_P,C11_Tot_Need_asst_ns_M,C11_Tot_Need_asst_ns_F,C11_Tot_Need_asst_ns_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_0_4_Need_asst_M,C16_0_4_Need_asst_F,C16_0_4_Need_asst_P,C16_0_4_No_need_asst_M,C16_0_4_No_need_asst_F,C16_0_4_No_need_asst_P,C16_0_4_Need_asst_ns_M,C16_0_4_Need_asst_ns_F,C16_0_4_Need_asst_ns_P,C16_0_4_Tot_M,C16_0_4_Tot_F,C16_0_4_Tot_P,C16_5_14_Need_asst_M,C16_5_14_Need_asst_F,C16_5_14_Need_asst_P,C16_5_14_No_need_asst_M,C16_5_14_No_need_asst_F,C16_5_14_No_need_asst_P,C16_5_14_Need_asst_ns_M,C16_5_14_Need_asst_ns_F,C16_5_14_Need_asst_ns_P,C16_5_14_Tot_M,C16_5_14_Tot_F,C16_5_14_Tot_P,C16_15_19_Need_asst_M,C16_15_19_Need_asst_F,C16_15_19_Need_asst_P,C16_15_19_No_need_asst_M,C16_15_19_No_need_asst_F,C16_15_19_No_need_asst_P,C16_15_19_Need_asst_ns_M,C16_15_19_Need_asst_ns_F,C16_15_19_Need_asst_ns_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Need_asst_M,C16_20_24_Need_asst_F,C16_20_24_Need_asst_P,C16_20_24_No_need_asst_M,C16_20_24_No_need_asst_F,C16_20_24_No_need_asst_P,C16_20_24_Need_asst_ns_M,C16_20_24_Need_asst_ns_F,C16_20_24_Need_asst_ns_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_34_Need_asst_M,C16_25_34_Need_asst_F,C16_25_34_Need_asst_P,C16_25_34_No_need_asst_M,C16_25_34_No_need_asst_F,C16_25_34_No_need_asst_P,C16_25_34_Need_asst_ns_M,C16_25_34_Need_asst_ns_F
318,83,57,132,7244,7061,14309,609,595,1205,7936,7713,15642,485,249,734,14130,13721,27855,930,817,1752,15545,14787,30337,175,111,280,7832,7479,15309,555,448,1004,8562,8038,16601,119,88,203,7515,7588,15103,776,517,1288,8410,8193,16601,227,182,413,13280,14112,27398,1382,945,2327,14889,15239,30139,348,347,696,13571,14294,27860,1257,928,2186,15176,15569,30749,459,474,933,13130,13502,26636,1150,794,1943,14739,14770,29511,801,568,1373,10563,10363,20929,807,549,1352,12171,11480,23658,781,627,1407,5949,5998,11944,458,383,839,7188,7008,14193,675,1007,1677,2551,2930,5486,275,283,558,3501,4220,7720,404,1033,1435,441,628,1071,98,157,253,943,1818,2758,4559,4737,9291,96201,97694,193894,8291,6419,14708,109051,108850,217899,113,82,193,7129,6599,13732,539,500,1041,7781,7181,14965,713,346,1063,14086,13776,27868,941,942,1885,15740,15064,30815,278,135,418,7434,7074,14501,598,536,1131,8310,7745,16049,164,124,288,8041,7714,15757,1134,715,1848,9339,8553,17896,321,274,593,13750,14467,28217,1740,1219
319,139,75,214,7997,7426,15424,630,543,1174,8766,8044,16806,1029,479,1512,16996,16863,33861,989,930,1919,19014,18272,37288,415,234,645,7961,7670,15633,501,396,897,8877,8300,17176,262,182,443,5302,5575,10878,434,302,740,5998,6059,12058,463,364,827,10548,12175,22726,866,583,1448,11877,13122,25000,767,646,1417,13728,15916,29640,1011,763,1770,15506,17325,32830,1280,1179,2459,15795,17743,33542,1080,795,1878,18155,19717,37877,2188,1585,3771,16522,17960,34481,1004,844,1844,19714,20389,40094,2115,1502,3619,13601,13304,26902,881,784,1661,16597,15590,32190,1437,1712,3154,5964,5789,11749,687,782,1471,8088,8283,16372,795,1537,2333,1089,1237,2326,315,606,920,2199,3380,5569,10893,9500,20391,115490,121667,237162,8400,7319,15713,134783,138486,273269,142,112,253,6884,6526,13414,619,578,1198,7645,7216,14871,1215,620,1841,16094,15586,31684,1334,1228,2559,18643,17434,36081,516,281,798,7386,7131,14517,603,577,1173,8505,7989,16494,364,229,590,5717,5694,11408,660,537,1194,6741,6460,13196,601,430,1023,10898,12233,23134,1325,1079
397,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,4,18,0,0,3,8,4,21,0,0,0,11,4,21,0,0,0,11,4,21,0,0,0,34,16,46,10,0,6,44,16,50,0,0,0,40,13,52,7,3,9,47,16,60,0,0,0,30,21,47,7,5,14,37,26,58,0,0,0,35,26,54,15,4,21,50,30,80,0,0,0,31,25,59,5,10,9,36,35,76,0,0,0,21,23,48,0,8,10,21,31,52,0,4,7,14,24,34,0,0,5,14,28,43,0,0,4,0,0,3,0,3,3,0,3,6,5,7,11,223,155,383,45,29,79,273,191,470,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,4,3,12,0,0,0,3,3,6,0,0,0,3,3,6,0,0,0,7,7,8,0,0
399,0,0,0,233,202,434,30,31,62,263,233,499,7,3,11,232,240,472,40,36,81,279,279,563,10,4,10,200,202,404,59,50,104,269,256,523,7,4,7,445,472,915,116,68,189,568,544,1118,21,19,41,967,760,1729,228,100,329,1216,879,2097,33,17,50,721,487,1204,214,88,302,968,592,1556,53,51,104,730,604,1332,203,77,277,986,732,1715,128,88,215,1133,1022,2155,181,96,271,1442,1206,2646,72,46,113,762,466,1225,102,39,142,936,551,1485,26,22,49,149,59,205,29,14,38,204,95,297,10,8,19,15,13,29,0,8,8,25,29,52,371,260,630,5581,4530,10110,1205,599,1803,7157,5389,12544,0,4,4,152,133,286,29,22,50,181,159,341,16,0,19,195,200,397,36,33,71,247,233,487,5,9,12,163,163,326,42,28,69,210,200,408,11,3,12,437,455,890,113,113,235,561,571,1130,23,14,35,940,772,1720,324,220
401,99,57,166,6790,6743,13528,375,305,682,7264,7105,14370,416,216,627,14743,14280,29023,611,554,1167,15770,15050,30811,132,108,238,8627,8478,17105,372,263,635,9131,8849,17977,121,76,190,10186,10436,20620,674,455,1127,10981,10967,21940,182,188,365,16223,16491,32715,1109,767,1876,17514,17446,34955,314,276,590,17321,18441,35763,938,704,1646,18573,19421,38001,431,419,851,17738,19059,36800,883,667,1547,19052,20145,39195,552,598,1154,15364,16743,32111,688,578,1271,16604,17919,34523,652,780,1429,9579,10620,20196,436,445,879,10667,11845,22503,1147,2076,3230,4978,6020,10999,291,445,739,6416,8541,14962,1075,2879,3954,1265,2067,3330,168,375,547,2508,5321,7829,5110,7671,12786,122799,129376,252180,6544,5562,12101,134453,142609,277068,95,52,148,6909,6515,13422,310,298,609,7314,6865,14175,606,287,888,15290,14980,30274,620,588,1205,16516,15855,32370,195,111,310,8751,8603,17355,423,378,794,9369,9092,18459,127,93,223,10193,10119,20314,636,564,1201,10956,10776,21740,236,215,458,16970,17322,34287,1217,1054
402,287,158,448,12612,12192,24812,948,921,1870,13847,13271,27127,1421,639,2061,23168,22506,45670,1268,1169,2440,25857,24314,50169,444,246,696,12840,12409,25250,689,592,1279,13973,13247,27232,325,234,559,12890,12695,25585,863,586,1446,14078,13515,27586,597,508,1108,25876,25993,51868,1565,1156,2723,28038,27657,55692,796,840,1637,25108,25399,50505,1401,1140,2542,27305,27379,54678,1153,1265,2417,23933,24841,48779,1189,985,2177,26275,27091,53372,1504,1519,3023,18738,20226,38970,845,805,1651,21087,22550,43634,1352,1506,2855,11586,12843,24434,563,588,1153,13501,14937,28436,1477,2480,3952,5907,6567,12477,455,532,985,7839,9579,17410,943,2304,3251,1125,1504,2634,160,251,414,2228,4059,6294,10308,11701,22007,173783,177183,350971,9948,8727,18670,194039,197611,391646,399,197,593,13685,13214,26901,896,843,1736,14980,14254,29225,2037,886,2928,23961,23838,47801,1484,1329,2809,27482,26053,53540,654,341,993,12387,11865,24254,621,661,1282,13662,12867,26528,438,320,750,13886,13015,26898,833,744,1574,15157,14079,29230,773,679,1455,28163,29295,57454,2013,1755
403,168,87,256,9678,9245,18925,454,521,977,10300,9853,20160,916,405,1319,18698,18306,37001,727,669,1394,20341,19380,39716,278,168,450,10672,10471,21145,419,359,780,11369,10998,22376,220,182,403,10514,10516,21029,477,417,900,11211,11115,22331,404,365,766,19687,20482,40174,922,740,1664,21013,21587,42607,539,549,1085,21063,22036,43104,851,714,1565,22453,23299,45750,789,904,1692,21589,23283,44873,925,756,1686,23303,24943,48245,1224,1091,2314,19401,21189,40592,705,660,1367,21330,22940,44265,954,1004,1960,11527,12823,24353,481,481,958,12962,14308,27273,1270,2061,3325,6277,7787,14065,384,467,848,7931,10315,18237,1136,2855,3992,1638,2569,4216,230,482,706,3004,5906,8913,7898,9663,17556,150743,158717,309466,6571,6275,12847,165212,174655,339871,186,95,287,9925,9302,19226,517,461,983,10628,9858,20494,1259,593,1853,18978,18671,37647,859,858,1715,21096,20122,41216,396,248,638,10040,9964,20006,458,422,879,10894,10634,21524,276,196,480,10481,10540,21024,546,543,1086,11303,11279,22584,519,438,963,20172,21333,41503,1171,1162
404,74,47,120,5573,5374,10946,425,408,828,6072,5829,11896,390,188,575,10557,10215,20770,513,513,1026,11460,10916,22370,156,99,255,6096,5846,11945,299,240,540,6551,6185,12742,114,76,187,7443,7119,14558,420,282,704,7977,7477,15454,246,196,444,14382,14297,28674,857,684,1546,15485,15177,30665,387,346,741,14117,14329,28448,747,573,1318,15251,15248,30507,637,640,1273,13820,13908,27723,687,552,1241,15144,15100,30239,762,763,1521,10768,11681,22447,529,478,1005,12059,12922,24975,734,896,1637,6860,8079,14937,373,404,772,7967,9379,17346,1208,2087,3289,4499,5315,9816,333,405,735,6040,7807,13845,974,2439,3417,1191,1612,2802,134,278,415,2299,4329,6626,5690,7775,13467,95297,97770,193064,5312,4816,10126,106299,110361,216653,103,52,159,5881,5542,11424,347,328,673,6331,5922,12252,570,240,809,10466,10345,20814,539,525,1059,11575,11110,22677,234,124,353,6029,5890,11923,312,285,596,6575,6299,12868,169,124,288,7482,7375,14855,434,400,832,8085,7899,15978,275,244,523,15620,15860,31478,942,877
405,42,20,67,3030,2875,5903,166,141,307,3238,3036,6278,314,138,454,6497,6239,12734,260,216,477,7071,6593,13672,104,64,167,3182,2867,6053,124,92,215,3410,3023,6439,88,56,147,2250,2039,4289,104,86,192,2442,2181,4625,141,96,237,4433,4686,9124,202,157,360,4776,4939,9721,235,217,454,5769,6228,12002,274,186,462,6278,6631,12911,392,335,732,7231,7286,14510,323,241,564,7946,7862,15808,665,438,1102,7084,7113,14201,307,236,537,8056,7787,15843,571,445,1014,5117,5097,10211,216,180,396,5904,5722,11624,496,717,1210,2563,2692,5257,171,188,362,3230,3597,6826,350,994,1347,534,732,1266,51,108,154,935,1834,2774,3395,3529,6926,47701,47848,95549,2206,1838,4039,53302,53215,106519,57,27,80,2784,2597,5381,196,151,348,3037,2775,5810,418,190,609,6114,5898,12013,408,352,756,6940,6440,13378,142,78,217,2955,2721,5677,183,176,359,3280,2975,6253,89,48,142,2299,2068,4363,135,166,298,2523,2282,4807,148,123,275,4589,4728,9321,381,340
406,37,29,63,2646,2596,5245,259,237,496,2942,2862,5804,196,93,287,5253,5084,10342,427,421,846,5876,5598,11471,62,53,119,2565,2357,4921,210,156,369,2837,2566,5403,56,38,91,2416,2212,4627,287,166,451,2759,2416,5173,86,77,166,4778,4717,9494,580,347,927,5444,5141,10585,137,148,285,5422,5178,10598,585,315,896,6144,5641,11780,214,215,434,5780,5301,11082,537,282,823,6531,5798,12336,343,281,621,4705,4301,9006,380,246,621,5428,4828,10247,336,267,602,2949,2803,5753,245,190,435,3530,3260,6797,315,444,764,1271,1374,2642,127,165,294,1713,1983,3699,163,455,617,238,334,572,54,79,130,455,868,1322,1953,2102,4056,38021,36259,74279,3687,2604,6292,43661,40965,84617,44,16,58,2417,2389,4810,263,233,498,2724,2638,5365,220,110,332,4802,4661,9461,449,473,920,5471,5244,10713,78,44,121,2090,1948,4040,191,195,387,2359,2187,4548,56,50,103,2041,1960,3997,333,217,547,2430,2227,4654,103,95,201,4582,4595,9171,839,522
407,70,39,115,5030,4644,9670,282,301,583,5382,4984,10366,438,219,658,10426,10351,20777,515,459,974,11379,11029,22409,162,115,270,5280,4922,10205,268,193,462,5710,5230,10939,124,79,201,3978,3590,7566,286,147,429,4388,3816,8199,200,143,345,7890,8327,16215,619,333,945,8709,8803,17505,337,334,672,10019,10449,20467,703,426,1133,11059,11209,22273,500,476,970,11512,11701,23214,667,439,1111,12679,12616,25293,800,729,1524,11500,11576,23074,621,469,1090,12921,12774,25687,727,675,1403,8280,8466,16742,436,413,853,9443,9554,18995,833,1156,1991,4121,4362,8485,301,353,651,5255,5871,11124,591,1430,2021,826,1161,1984,120,188,311,1537,2779,4318,4774,5389,10162,78865,79548,158413,4827,3717,8547,88466,88654,177121,91,51,135,4451,4411,8858,336,332,665,4878,4794,9661,590,267,858,10110,9650,19764,684,606,1287,11384,10523,21907,235,122,353,4745,4650,9393,311,269,583,5291,5041,10327,159,110,271,4021,3729,7750,422,281,712,4602,4120,8728,229,211,434,8025,8167,16194,959,623
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,0,0,0,57,61,124,8,4,10,65,65,134,3,3,4,79,73,152,0,7,11,82,83,164,0,0,0,63,60,124,11,9,14,74,69,145,7,0,7,128,117,243,21,11,37,156,128,283,4,6,8,292,214,503,58,22,75,354,242,589,11,12,26,242,145,383,52,18,72,305,175,476,11,11,20,191,152,343,62,31,95,264,194,460,21,18,41,192,130,322,48,18,63,261,166,428,9,12,20,108,58,167,19,18,39,136,88,225,9,14,20,13,9,19,21,26,48,43,49,84,13,4,16,8,0,13,9,36,47,30,40,71,90,79,165,1366,1025,2390,317,189,508,1773,1293,3067,4,0,3,39,38,80,4,3,7,47,41,89,8,0,11,42,59,101,6,12,15,56,71,125,0,0,0,74,63,140,16,10,26,90,73,170,0,3,6,126,85,215,34,16,47,160,104,262,10,8,18,283,164,451,60,39
501,51,37,83,5223,4870,10096,391,398,784,5665,5305,10971,317,159,469,10717,10320,21037,624,607,1234,11658,11086,22738,121,51,169,5053,4584,9637,296,239,528,5470,4874,10331,84,60,145,3663,3601,7266,349,208,552,4096,3869,7957,114,121,235,8189,8649,16835,823,496,1317,9126,9266,18389,179,166,345,9998,10973,20966,830,588,1415,11007,11727,22733,322,310,634,10468,10680,21144,747,517,1268,11537,11507,23042,486,412,899,9026,9203,18232,572,422,994,10084,10037,20122,467,381,849,5495,5582,11078,319,264,587,6281,6227,12510,492,737,1231,2474,2761,5240,183,212,390,3149,3710,6858,325,813,1134,501,648,1146,78,98,174,904,1559,2453,2952,3243,6190,70804,71866,142667,5210,4041,9245,78966,79150,158106,70,33,103,5277,4958,10237,409,370,781,5756,5361,11116,419,199,617,11297,11089,22388,850,797,1643,12566,12085,24646,163,74,247,5111,4729,9840,403,377,785,5677,5180,10870,118,63,188,3643,3556,7201,330,307,628,4091,3926,8015,178,156,332,8419,9353,17779,950,793
502,34,17,51,2427,2268,4700,266,225,489,2727,2510,5238,162,90,253,4858,4747,9598,347,354,697,5367,5191,10554,63,46,102,2595,2478,5070,187,133,320,2845,2657,5498,32,36,69,2004,2092,4094,177,121,294,2213,2249,4457,84,59,142,3701,4088,7792,323,255,579,4108,4402,8519,115,109,221,4405,4885,9294,390,300,686,4910,5294,10196,179,166,346,4715,5257,9970,372,272,642,5266,5695,10952,369,277,640,4560,5172,9733,355,281,632,5284,5730,11008,403,278,686,4117,4242,8359,253,216,468,4773,4736,9514,400,482,880,2111,2205,4317,195,238,430,2706,2925,5629,212,470,683,399,466,865,72,111,190,683,1047,1731,2052,2033,4080,35893,37893,73786,2925,2499,5423,40870,42425,83294,38,30,70,2640,2514,5156,178,166,344,2856,2710,5570,263,126,388,5502,5428,10926,338,336,675,6103,5890,11993,96,54,150,2662,2688,5343,178,152,328,2936,2894,5820,72,49,127,2350,2322,4676,169,155,326,2591,2526,5128,120,84,205,4420,4946,9367,429,350
503,30,13,44,3750,3612,7364,320,269,591,4100,3894,8005,119,82,202,7394,7370,14757,477,398,874,7990,7850,15837,63,35,96,4164,4464,8635,314,238,552,4541,4737,9285,47,32,81,6300,6394,12691,660,538,1196,7007,6964,13969,92,73,167,12796,12268,25065,1732,1321,3054,14620,13662,28281,131,118,249,9808,10017,19825,992,662,1658,10931,10797,21729,173,168,342,9590,9760,19348,720,588,1302,10483,10516,20997,231,235,466,7897,7912,15812,697,508,1202,8825,8655,17475,271,331,603,4640,4604,9244,335,294,627,5246,5229,10478,410,771,1183,2213,2818,5033,222,248,472,2845,3837,6685,401,1174,1573,604,1057,1658,120,259,373,1125,2490,3611,1981,3032,5013,69163,70277,139435,6590,5314,11905,77734,78623,156350,37,30,63,3889,3660,7551,315,247,567,4241,3937,8179,179,104,278,8503,8147,16649,481,392,872,9163,8643,17807,64,53,124,4264,4555,8821,232,274,512,4560,4882,9448,71,64,128,5939,6088,12027,573,620,1192,6583,6772,13352,108,101,213,14214,14068,28286,1888,1775
504,102,50,147,7020,6571,13592,566,500,1065,7688,7121,14809,402,197,603,13724,12901,26625,822,759,1586,14948,13857,28815,149,80,236,7119,6758,13872,462,377,838,7730,7215,14948,119,83,200,6990,6673,13668,737,384,1120,7846,7140,14981,194,172,359,13875,14247,28119,1615,858,2477,15684,15277,30954,247,263,513,14952,15758,30709,1409,895,2307,16608,16916,33524,363,421,789,14109,14566,28675,1074,746,1814,15546,15733,31278,563,509,1072,11012,11414,22424,710,573,1284,12285,12496,24783,563,610,1178,6202,6466,12667,416,381,798,7181,7457,14641,631,1025,1659,2804,3043,5848,255,314,574,3690,4382,8076,467,1068,1529,529,723,1254,84,217,298,1080,2008,3089,3805,4482,8286,98341,99110,197455,8155,6002,14158,110301,109594,219894,115,64,183,8007,7512,15515,528,516,1041,8650,8092,16744,661,302,959,14866,14156,29025,897,833,1733,16424,15291,31719,207,104,309,7374,6882,14256,463,408,871,8044,7394,15437,157,96,261,7565,7308,14871,806,595,1404,8528,7999,16533,268,232,501,17361,18049,35413,2041,1422
505,179,121,302,15836,15236,31070,1127,1129,2253,17142,16486,33623,919,416,1336,30140,28970,59111,1575,1538,3114,32634,30924,63556,308,177,483,16090,15369,31459,850,749,1603,17248,16295,33541,216,129,344,15963,15768,31731,1142,874,2022,17321,16771,34094,333,299,630,31888,32626,64515,2560,1878,4435,34781,34803,69583,466,434,894,33179,34998,68178,2175,1631,3807,35820,37063,72880,540,734,1273,30034,31904,61940,1733,1324,3058,32307,33962,66269,921,964,1882,23357,25121,48484,1239,1056,2291,25517,27141,52662,976,1032,2007,13149,14394,27541,729,690,1419,14854,16116,30966,1246,2104,3351,6313,7596,13908,518,682,1198,8077,10382,18457,934,2307,3242,1363,1910,3272,247,553,797,2544,4770,7311,7035,8718,15750,217319,223892,441206,13892,12102,25997,238246,244712,482951,209,125,337,17181,16261,33443,1091,993,2079,18481,17379,35862,1188,584,1776,32822,31777,64599,1656,1670,3330,35666,34031,69693,438,264,699,16080,15606,31689,840,740,1582,17358,16610,33969,313,175,490,16322,15783,32111,1032,962,1997,17667,16920,34598,491,435,927,37415,38403,75813,2983,2594
506,187,101,283,13497,12703,26199,1145,1047,2190,14829,13851,28676,768,367,1134,24655,23724,48376,1631,1472,3099,27054,25563,52615,269,170,440,14319,13575,27893,957,790,1743,15545,14535,30073,217,138,359,17011,16664,33673,1735,1034,2764,18963,17836,36798,355,313,669,31726,30811,62539,3050,1964,5016,35131,33088,68227,459,476,927,27742,28190,55934,2386,1604,3994,30587,30270,60856,612,710,1329,25395,26587,51979,1883,1387,3268,27890,28684,56572,930,955,1884,21589,22513,44107,1409,1132,2543,23928,24600,48539,1018,1073,2091,12060,12611,24666,758,721,1475,13836,14405,28232,1158,1959,3116,5386,6601,11982,509,648,1157,7053,9208,16258,836,2297,3139,1146,1688,2839,274,538,805,2256,4523,6781,6813,8558,15370,194523,195664,390194,15723,12340,28065,217059,216562,433627,209,113,324,15724,15054,30778,1072,1032,2102,17005,16199,33200,1089,519,1608,28070,26959,55027,1658,1461,3114,30817,28939,59751,421,216,632,14460,13595,28051,817,731,1553,15698,14542,30240,288,218,503,17622,16271,33892,1466,1199,2665,19376,17688,37060,506,402,907,38067,37754,75821,3679,2812
507,115,95,207,11643,11028,22669,827,768,1595,12585,11891,24473,711,328,1035,21712,21113,42822,1217,1126,2338,23640,22567,46200,253,149,403,11496,11271,22770,625,602,1234,12374,12022,24404,164,125,287,11577,11514,23094,931,576,1509,12672,12215,24890,262,233,499,21995,22638,44635,1871,1156,3026,24128,24027,48162,351,413,766,23442,25010,48450,1720,1290,3009,25513,26713,52234,524,580,1102,21978,23398,45371,1483,978,2463,23985,24956,48935,825,785,1614,17011,18265,35272,1038,789,1827,18874,19839,38718,858,818,1675,10173,10888,21059,561,534,1092,11592,12240,23828,1103,1757,2860,5200,6170,11373,413,540,950,6716,8467,15183,723,1908,2628,1082,1525,2611,187,296,489,1992,3729,5732,5895,7193,13083,157313,162815,320129,10881,8657,19532,174089,178665,352746,193,91,288,12754,12483,25238,851,781,1634,13798,13355,27158,1024,520,1543,24522,23746,48267,1389,1444,2835,26935,25710,52642,345,216,559,11699,11489,23196,759,702,1461,12803,12407,25209,258,164,421,12124,12104,24228,1212,906,2116,13594,13174,26764,399,352,757,25941,27518,53462,2851,2186
509,65,29,93,4108,3887,7995,276,260,536,4449,4176,8626,261,128,394,8582,8267,16843,494,461,955,9337,8856,18188,92,58,158,3606,3200,6801,273,159,438,3971,3417,7390,61,42,99,2791,2509,5300,341,128,468,3193,2679,5867,108,115,223,5769,6304,12075,621,296,919,6498,6715,13214,183,185,368,7615,8107,15726,706,424,1130,8504,8716,17220,282,306,591,9064,8834,17899,669,414,1084,10015,9554,19577,455,420,885,8546,8124,16668,537,366,910,9538,8910,18458,451,370,821,5548,5202,10749,308,221,525,6307,5793,12101,455,600,1055,2583,2528,5105,202,193,396,3240,3321,6558,337,706,1038,440,592,1032,72,102,171,849,1400,2240,2757,2959,5721,58653,57539,116192,4503,3028,7527,65913,63526,129439,35,36,73,3684,3414,7098,357,331,689,4076,3781,7862,353,127,481,7849,7614,15463,748,699,1441,8950,8440,17383,116,70,188,3474,3048,6521,329,254,580,3919,3372,7292,75,55,127,2843,2354,5198,382,242,626,3300,2651,5951,151,118,268,5823,6301,12118,1107,615
