SA4_CODE_2021,C11_Chr_Tot_0_14,C11_Chr_Tot_15_24,C11_Chr_Tot_25_34,C11_Chr_Tot_35_44,C11_Chr_Tot_45_54,C11_Chr_Tot_55_64,C11_Chr_Tot_65_74,C11_Chr_Tot_75_84,C11_Chr_Tot_85ov,C11_Chr_Tot_Tot,C11_Hinduism_0_14,C11_Hinduism_15_24,C11_Hinduism_25_34,C11_Hinduism_35_44,C11_Hinduism_45_54,C11_Hinduism_55_64,C11_Hinduism_65_74,C11_Hinduism_75_84,C11_Hinduism_85ov,C11_Hinduism_Tot,C11_Islam_0_14,C11_Islam_15_24,C11_Islam_25_34,C11_Islam_35_44,C11_Islam_45_54,C11_Islam_55_64,C11_Islam_65_74,C11_Islam_75_84,C11_Islam_85ov,C11_Islam_Tot,C11_Judaism_0_14,C11_Judaism_15_24,C11_Judaism_25_34,C11_Judaism_35_44,C11_Judaism_45_54,C11_Judaism_55_64,C11_Judaism_65_74,C11_Judaism_75_84,C11_Judaism_85ov,C11_Judaism_Tot,C11_OR_Au_Ab_Tr_R_0_14,C11_OR_Au_Ab_Tr_R_15_24,C11_OR_Au_Ab_Tr_R_25_34,C11_OR_Au_Ab_Tr_R_35_44,C11_OR_Au_Ab_Tr_R_45_54,C11_OR_Au_Ab_Tr_R_55_64,C11_OR_Au_Ab_Tr_R_65_74,C11_OR_Au_Ab_Tr_R_75_84,C11_OR_A_Ab_Tr_Re_85ov,C11_OR_Au_Ab_Tr_Re_Tot,C11_OR_Sikhism_0_14,C11_OR_Sikhism_15_24,C11_OR_Sikhism_25_34,C11_OR_Sikhism_35_44,C11_OR_Sikhism_45_54,C11_OR_Sikhism_55_64,C11_OR_Sikhism_65_74,C11_OR_Sikhism_75_84,C11_OR_Sikhism_85ov,C11_OR_Sikhism_Tot,C11_OR_OR_0_14,C11_OR_OR_15_24,C11_OR_OR_25_34,C11_OR_OR_35_44,C11_OR_OR_45_54,C11_OR_OR_55_64,C11_OR_OR_65_74,C11_OR_OR_75_84,C11_OR_OR_85ov,C11_OR_OR_Tot,C11_OR_Tot_0_14,C11_OR_Tot_15_24,C11_OR_Tot_25_34,C11_OR_Tot_35_44,C11_OR_Tot_45_54,C11_OR_Tot_55_64,C11_OR_Tot_65_74,C11_OR_Tot_75_84,C11_OR_Tot_85ov,C11_OR_Tot_Tot,C11_SBOSB_No_RA_0_14,C11_SBOSB_No_RA_15_24,C11_SBOSB_No_RA_25_34,C11_SBOSB_No_RA_35_44,C11_SBOSB_No_RA_45_54,C11_SBOSB_No_RA_55_64,C11_SBOSB_No_RA_65_74,C11_SBOSB_No_RA_75_84,C11_SBOSB_No_RA_85ov,C11_SBOSB_No_RA_Tot,C11_Rel_aff_ns_0_14,C11_Rel_aff_ns_15_24,C11_Rel_aff_ns_25_34,C11_Rel_aff_ns_35_44,C11_Rel_aff_ns_45_54,C11_Rel_aff_ns_55_64,C11_Rel_aff_ns_65_74,C11_Rel_aff_ns_75_84,C11_Rel_aff_ns_85ov,C11_Rel_aff_NS_Tot,C11_Tot_0_14,C11_Tot_15_24,C11_Tot_25_34,C11_Tot_35_44,C11_Tot_45_54,C11_Tot_55_64,C11_Tot_65_74,C11_Tot_75_84,C11_Tot_85ov,C11_Tot_Tot,C16_Buddhism_0_14,C16_Buddhism_15_24,C16_Buddhism_25_34,C16_Buddhism_35_44,C16_Buddhism_45_54,C16_Buddhism_55_64,C16_Buddhism_65_74,C16_Buddhism_75_84,C16_Buddhism_85ov,C16_Buddhism_Tot,C16_Christ_Angl_0_14,C16_Christ_Angl_15_24,C16_Christ_Angl_25_34,C16_Christ_Angl_35_44,C16_Christ_Angl_45_54,C16_Christ_Angl_55_64,C16_Christ_Angl_65_74,C16_Christ_Angl_75_84,C16_Christ_Angl_85ov,C16_Christ_Angl_Tot,C16_C_Assyr_Apo_0_14,C16_C_Assyr_Apo_15_24,C16_C_Assyr_Apo_25_34,C16_C_Assyr_Apo_35_44,C16_C_Assyr_Apo_45_54,C16_C_Assyr_Apo_55_64,C16_C_Assyr_Apo_65_74,C16_C_Assyr_Apo_75_84,C16_C_Assyr_Apo_85ov,C16_C_Assyr_Apo_Tot,C16_C_Baptist_0_14,C16_C_Baptist_15_24,C16_C_Baptist_25_34,C16_C_Baptist_35_44,C16_C_Baptist_45_54,C16_C_Baptist_55_64,C16_C_Baptist_65_74,C16_C_Baptist_75_84,C16_C_Baptist_85ov,C16_C_Baptist_Tot,C16_Christ_Breth_0_14,C16_Christ_Breth_15_24,C16_Christ_Breth_25_34,C16_Christ_Breth_35_44,C16_Christ_Breth_45_54,C16_Christ_Breth_55_64,C16_Christ_Breth_65_74,C16_Christ_Breth_75_84,C16_Christ_Breth_85ov,C16_Christ_Breth_Tot,C16_Ch_Catholic_0_14,C16_Ch_Catholic_15_24,C16_Ch_Catholic_25_34,C16_Ch_Catholic_35_44,C16_Ch_Catholic_45_54,C16_Ch_Catholic_55_64,C16_Ch_Catholic_65_74,C16_Ch_Catholic_75_84,C16_Ch_Catholic_85ov,C16_C_Catholic_Tot,C16_C_Chur_Christ_0_14,C16_C_Chur_Christ_15_24,C16_C_Chur_Christ_25_34,C16_C_Chur_Christ_35_44,C16_C_Chur_Christ_45_54,C16_C_Chur_Christ_55_64,C16_C_Chur_Christ_65_74,C16_C_Chur_Christ_75_84,C16_C_Chur_Christ_85ov,C16_C_Chur_Christ_Tot,C16_C_East_Ortho_0_14,C16_C_East_Ortho_15_24,C16_C_East_Ortho_25_34,C16_C_East_Ortho_35_44,C16_C_East_Ortho_45_54,C16_C_East_Ortho_55_64,C16_C_East_Ortho_65_74,C16_C_East_Ortho_75_84,C16_C_East_Ortho_85ov,C16_C_East_Ortho_Tot,C16_C_Jeh_Wit_0_14,C16_C_Jeh_Wit_15_24,C16_C_Jeh_Wit_25_34,C16_C_Jeh_Wit_35_44,C16_C_Jeh_Wit_45_54,C16_C_Jeh_Wit_55_64,C16_C_Jeh_Wit_65_74,C16_C_Jeh_Wit_75_84,C16_C_Jeh_Wit_85ov,C16_C_Jeh_Wit_Tot
101,24800,14617,12141,18191,21751,21389,16232,9394,3544,142070,134,40,185,95,56,46,9,7,0,572,251,107,205,133,73,48,22,5,4,853,21,12,11,12,29,20,19,3,0,139,13,9,4,6,7,3,0,0,0,46,35,36,92,29,13,0,0,0,0,209,76,82,120,157,161,148,38,10,3,789,121,125,217,195,183,154,39,10,3,1049,10316,5559,5030,5937,5992,5497,2637,1008,314,42284,3949,2262,2145,2605,2725,2487,1611,971,421,19181,39813,22895,20139,27526,31117,29957,20660,11415,4295,207821,224,162,220,290,309,306,172,31,6,1727,6109,3991,3279,4901,6993,8155,7643,4115,1845,47040,0,0,0,4,0,0,0,0,0,4,434,228,197,254,328,338,286,155,60,2275,101,87,54,54,47,19,18,12,6,396,10449,6307,5280,6372,8153,7599,6306,3388,1224,55089,5,3,6,3,4,19,19,5,6,77,374,191,221,322,333,293,261,186,50,2236,143,67,69,105,142,136,97,51,23,826
102,38835,25059,20272,28082,31497,29454,24308,16914,7081,221499,150,70,171,114,115,54,35,23,0,722,246,126,201,150,111,85,35,9,3,969,39,37,34,37,60,58,51,30,22,364,3,7,4,7,4,6,0,0,0,34,21,20,43,9,5,7,0,3,0,104,120,115,144,190,183,121,45,9,12,949,144,146,189,204,201,136,46,12,12,1090,15799,9335,8315,8133,7086,5448,2935,1669,644,59362,5051,3190,2747,3067,3269,2813,2276,1832,1193,25435,60697,38251,32340,40354,42856,38398,29810,20514,8962,312181,426,284,460,595,609,511,233,47,3,3181,9285,6668,5588,8167,10535,11375,11455,7311,3432,73813,8,0,0,4,3,3,0,0,0,24,1068,558,476,635,671,819,753,455,191,5620,64,34,44,31,18,17,10,4,11,238,15933,9775,7756,9400,11220,10475,9007,5294,2152,81003,68,31,38,43,54,74,59,44,18,429,364,177,173,297,342,281,265,196,58,2148,235,142,153,166,200,198,149,78,33,1350
103,29278,17497,14439,18581,21213,20276,15384,9638,3568,149874,77,24,71,59,37,20,8,0,0,306,117,75,76,77,33,23,5,3,0,417,10,13,3,8,11,14,10,5,0,70,13,4,7,10,4,5,3,0,0,49,14,9,23,10,0,3,3,0,0,58,64,71,88,94,94,71,27,10,0,519,86,89,111,115,107,84,34,4,0,631,7784,4704,3815,3489,3207,2632,1336,527,147,27642,3657,2397,2059,2149,1985,1968,1392,868,324,16802,41158,24920,20731,24668,26762,25162,18223,11063,4045,196738,169,124,168,199,201,182,70,19,7,1136,7305,4381,4008,5266,6675,7122,6565,4020,1692,47045,0,0,0,0,0,0,0,3,0,0,545,268,289,323,390,408,319,175,64,2787,297,161,176,142,72,91,42,31,19,1030,13038,7527,6334,6469,7745,7141,5786,3364,1207,58602,31,0,8,12,13,21,14,6,4,113,92,46,51,101,106,71,82,49,20,613,109,53,75,72,96,103,91,45,24,660
104,13703,8562,6168,9853,13303,14022,10938,6860,2634,86044,44,14,63,34,19,20,8,6,0,205,74,34,35,41,31,13,8,3,0,250,19,9,12,9,16,10,0,10,0,94,16,11,14,5,5,3,0,0,0,57,194,157,212,135,108,89,27,37,4,968,92,55,80,122,118,91,30,7,3,606,305,216,307,270,238,176,58,47,7,1628,7965,4273,3459,3717,3854,3545,1726,737,260,29538,2508,1496,1168,1385,1517,1444,973,670,370,11531,24779,14760,11363,15533,19271,19502,13780,8346,3281,130605,182,117,171,215,227,266,129,24,4,1336,3404,2215,1697,2720,4228,5388,5270,3255,1410,29577,0,0,0,0,0,0,0,0,0,0,445,205,174,214,241,285,250,122,43,1984,5,0,0,0,10,0,0,0,0,16,4663,2755,2212,2765,3703,4012,3389,1955,682,26130,13,8,5,7,3,8,13,8,7,69,49,23,36,36,37,51,25,21,7,282,134,88,73,105,111,122,127,68,16,834
105,16603,9507,8379,10379,12525,11713,8794,5398,1831,85128,44,18,67,36,36,16,3,0,0,225,74,34,34,46,22,12,11,0,0,242,5,3,6,3,5,5,3,4,0,28,23,13,7,11,8,9,0,0,0,71,3,4,9,3,3,0,0,0,0,20,33,23,25,30,49,37,12,5,0,215,58,40,40,52,59,40,9,5,0,315,4964,2637,2415,2073,1877,1453,652,336,97,16504,2452,1475,1302,1338,1368,1124,852,582,235,10725,24265,13758,12316,14010,15966,14414,10352,6338,2172,113593,90,51,102,116,88,59,29,0,0,534,4046,2362,2399,2702,3719,4109,3397,2087,851,25666,0,0,0,0,0,0,0,0,0,3,287,134,163,167,200,259,184,112,30,1539,6,4,0,0,3,4,0,4,0,23,7100,3796,3655,3348,4167,3853,2945,1767,664,31302,13,5,0,6,18,24,17,7,0,91,41,23,39,38,47,44,59,47,6,343,39,23,22,23,23,46,57,25,8,271
106,34165,21019,19028,24093,25822,24186,17392,9931,3529,179163,90,37,133,78,43,19,7,5,0,406,106,67,99,67,51,33,4,4,0,428,15,7,6,17,16,20,10,7,3,107,5,9,5,8,11,5,0,0,0,37,25,16,30,12,8,3,3,0,0,95,61,88,138,134,124,77,34,11,0,671,96,115,176,156,142,79,39,11,0,805,12252,6783,6157,5348,4455,3641,1752,700,210,41286,4130,2699,2504,2589,2520,2282,1536,1073,518,19858,51021,30860,28309,32568,33282,30410,20795,11738,4265,243248,267,174,277,304,273,237,92,21,8,1639,11522,6896,6560,8749,9940,10269,9236,4851,1876,69911,0,0,0,0,0,0,0,0,0,5,860,425,480,539,599,611,487,270,85,4356,82,61,79,26,32,22,7,13,0,321,13340,7892,7049,7544,8232,7538,5902,3004,1026,61514,20,8,10,21,26,40,34,22,7,193,101,56,91,95,108,123,92,40,12,718,117,61,92,90,113,117,100,66,14,764
107,34325,23370,20013,25427,28144,24665,19122,13312,4956,193335,166,115,267,155,101,76,57,13,0,964,1247,716,1025,685,398,263,214,51,8,4610,18,16,16,19,27,18,17,10,3,138,13,4,9,9,15,6,0,0,0,55,17,12,28,12,3,0,0,0,0,65,134,116,144,174,158,101,52,27,7,919,162,132,184,192,180,104,54,27,7,1043,12635,10304,8343,7312,6516,4635,2211,990,367,53314,3756,3025,2552,2388,2495,2047,1429,1161,454,19309,52746,38206,33022,36760,38387,32212,23246,15608,5803,275983,393,494,552,589,522,442,196,63,14,3274,7554,5109,4243,6414,7555,8062,7192,4390,2106,52634,0,0,0,0,5,4,0,0,0,17,412,273,271,328,317,367,353,214,100,2637,72,60,45,35,40,14,14,12,0,289,14466,9975,8163,9179,10652,9621,7232,5101,2065,76451,54,37,23,28,47,63,64,19,8,340,1962,1249,1141,1648,1626,1360,1263,849,256,11357,237,106,144,205,161,176,158,93,45,1324
108,22207,12658,9483,15579,20699,23160,21261,13564,5090,143713,45,13,55,53,37,22,9,0,0,228,63,32,31,49,38,22,15,3,0,247,11,6,9,10,15,29,22,11,4,126,36,19,23,16,12,11,4,0,0,125,7,12,6,4,0,0,4,0,0,32,67,63,72,110,128,107,31,13,4,590,107,92,94,133,147,119,36,11,10,742,9851,5162,3936,4275,4836,4535,2768,1318,435,37123,3435,1984,1551,1835,2255,2325,1839,1366,865,17457,35916,20082,15322,22162,28361,30546,26023,16294,6408,201110,182,148,164,244,289,345,162,31,3,1576,6118,3724,2908,4852,7158,9274,10870,6443,2831,54187,4,0,0,0,0,0,0,0,0,4,496,223,213,251,368,528,528,318,139,3063,10,5,0,3,0,0,0,0,0,16,8041,4633,3422,4491,5964,6508,6485,3555,1288,44385,21,12,11,8,23,50,62,31,28,239,54,35,31,58,85,82,93,41,15,489,215,125,106,151,164,212,187,94,35,1284
109,13568,8427,6779,9307,11603,11694,9083,5718,2165,78362,104,81,188,74,34,22,12,3,0,522,72,39,93,55,28,13,5,0,0,308,3,6,8,3,8,12,3,6,0,51,0,6,3,5,5,0,5,0,0,24,11,18,48,15,0,0,3,0,0,100,22,33,49,41,49,24,9,7,0,233,34,52,106,55,49,28,15,7,0,357,5393,3474,2991,2672,2400,1989,1014,463,152,20540,1931,1376,989,1132,1160,1181,900,621,241,9536,21218,13546,11275,13429,15395,15008,11053,6823,2568,110320,96,86,122,167,135,97,47,6,3,762,2738,1658,1384,2089,2957,3636,3479,2040,850,20839,0,0,0,0,0,0,0,0,0,0,216,123,105,140,151,145,160,84,31,1156,20,12,33,13,5,8,11,8,3,121,6130,3494,3016,3208,3865,3858,3216,1809,705,29307,4,4,3,5,18,31,23,13,3,105,63,48,31,59,83,53,56,55,21,462,52,22,38,43,40,51,35,18,14,326
110,25328,15505,12711,16350,19335,18562,14420,8458,3034,133714,59,25,92,57,25,22,9,0,0,288,144,60,161,80,51,15,6,0,0,515,3,4,7,5,12,12,10,0,4,66,7,15,8,9,13,4,0,0,0,61,12,4,15,0,3,0,0,0,0,38,51,59,73,94,86,64,23,11,3,445,71,77,96,101,102,65,20,11,3,544,7323,4543,3443,2966,2889,2448,1157,450,167,25387,3421,2103,1714,1752,1800,1652,1273,784,407,14891,36434,22444,18342,21461,24357,22886,16933,9718,3615,176197,161,109,178,209,130,120,52,20,4,986,8294,5174,4575,5717,7395,8136,7253,4328,1694,52560,0,0,0,0,0,0,0,0,0,0,324,181,173,192,227,259,234,99,43,1729,66,84,52,24,42,13,8,15,0,307,9187,5307,4554,4737,5515,5132,4120,2408,776,41725,12,18,15,13,30,17,21,0,7,125,33,27,28,42,38,27,39,32,10,280,100,63,69,65,120,136,91,52,17,721
