SA4_CODE_2021,C11_P_FoodHos_PS_15_19,C11_P_FoodHos_PS_20_24,C11_P_FoodHos_PS_25_34,C11_P_FoodHos_PS_35_44,C11_P_FoodHos_PS_45_54,C11_P_FoodHos_PS_55_64,C11_P_FoodHos_PS_65_74,C11_P_FoodHos_PS_75_84,C11_P_FoodHos_PS_85over,C11_P_FoodHos_PS_Tot,C11_P_MixFld_pr_15_19,C11_P_MixFld_pr_20_24,C11_P_MixFld_pr_25_34,C11_P_MixFld_pr_35_44,C11_P_MixFld_pr_45_54,C11_P_MixFld_pr_55_64,C11_P_MixFld_pr_65_74,C11_P_MixFld_pr_75_84,C11_P_MixFld_pr_85over,C11_P_MixFld_pr_Tot,C11_P_FldStu_ID_15_19,C11_P_FldStu_ID_20_24,C11_P_FldStu_ID_25_34,C11_P_FldStu_ID_35_44,C11_P_FldStu_ID_45_54,C11_P_FldStu_ID_55_64,C11_P_FldStu_ID_65_74,C11_P_FldStu_ID_75_84,C11_P_FldStu_ID_85over,C11_P_FldStu_ID_Tot,C11_P_FldStu_NS_15_19,C11_P_FldStu_NS_20_24,C11_P_FldStu_NS_25_34,C11_P_FldStu_NS_35_44,C11_P_FldStu_NS_45_54,C11_P_FldStu_NS_55_64,C11_P_FldStu_NS_65_74,C11_P_FldStu_NS_75_84,C11_P_FldStu_NS_85over,C11_P_FldStu_NS_Tot,C11_P_Tot_15_19,C11_P_Tot_20_24,C11_P_Tot_25_34,C11_P_Tot_35_44,C11_P_Tot_45_54,C11_P_Tot_55_64,C11_P_Tot_65_74,C11_P_Tot_75_84,C11_P_Tot_85over,C11_P_Tot_Tot,C16_P_NatPhy_sci_15_19,C16_P_NatPhy_sci_20_24,C16_P_NatPhy_sci_25_34,C16_P_NatPhy_sci_35_44,C16_P_NatPhy_sci_45_54,C16_P_NatPhy_sci_55_64,C16_P_NatPhy_sci_65_74,C16_P_NatPhy_sci_75_84,C16_P_NatPhy_sci_85over,C16_P_NatPhy_sci_Tot,C16_P_InfTec_15_19,C16_P_InfTec_20_24,C16_P_InfTec_25_34,C16_P_InfTec_35_44,C16_P_InfTec_45_54,C16_P_InfTec_55_64,C16_P_InfTec_65_74,C16_P_InfTec_75_84,C16_P_InfTec_85over,C16_P_InfTec_Tot,C16_P_EngRT_15_19,C16_P_EngRT_20_24,C16_P_EngRT_25_34,C16_P_EngRT_35_44,C16_P_EngRT_45_54,C16_P_EngRT_55_64,C16_P_EngRT_65_74,C16_P_EngRT_75_84,C16_P_EngRT_85over,C16_P_EngRT_Tot,C16_P_ArchBuild_15_19,C16_P_ArchBuild_20_24,C16_P_ArchBuild_25_34,C16_P_ArchBuild_35_44,C16_P_ArchBuild_45_54,C16_P_ArchBuild_55_64,C16_P_ArchBuild_65_74,C16_P_ArchBuild_75_84,C16_P_ArchBuild_85over,C16_P_ArchBuild_Tot,C16_P_AgEnv_RS_15_19,C16_P_AgEnv_RS_20_24,C16_P_AgEnv_RS_25_34,C16_P_AgEnv_RS_35_44,C16_P_AgEnv_RS_45_54,C16_P_AgEnv_RS_55_64,C16_P_AgEnv_RS_65_74,C16_P_AgEnv_RS_75_84,C16_P_AgEnv_RS_85over,C16_P_AgEnv_RS_Tot,C16_P_Health_15_19,C16_P_Health_20_24,C16_P_Health_25_34,C16_P_Health_35_44,C16_P_Health_45_54,C16_P_Health_55_64,C16_P_Health_65_74,C16_P_Health_75_84,C16_P_Health_85over,C16_P_Health_Tot,C16_P_Educ_15_19,C16_P_Educ_20_24,C16_P_Educ_25_34,C16_P_Educ_35_44,C16_P_Educ_45_54,C16_P_Educ_55_64,C16_P_Educ_65_74,C16_P_Educ_75_84,C16_P_Educ_85over,C16_P_Educ_Tot,C16_P_MngtCom_15_19,C16_P_MngtCom_20_24,C16_P_MngtCom_25_34,C16_P_MngtCom_35_44,C16_P_MngtCom_45_54,C16_P_MngtCom_55_64,C16_P_MngtCom_65_74,C16_P_MngtCom_75_84,C16_P_MngtCom_85over,C16_P_MngtCom_Tot,C16_P_Soc_cult_15_19,C16_P_Soc_cult_20_24,C16_P_Soc_cult_25_34,C16_P_Soc_cult_35_44,C16_P_Soc_cult_45_54,C16_P_Soc_cult_55_64,C16_P_Soc_cult_65_74,C16_P_Soc_cult_75_84,C16_P_Soc_cult_85over,C16_P_Soc_cult_Tot,C16_P_Creative_art_15_19,C16_P_Creative_art_20_24,C16_P_Creative_art_25_34,C16_P_Creative_art_35_44,C16_P_Creative_art_45_54,C16_P_Creative_art_55_64,C16_P_Creative_art_65_74,C16_P_Creative_art_75_84,C16_P_Creative_art_85over,C16_P_Creative_art_Tot,C16_P_FoodHos_PS_15_19,C16_P_FoodHos_PS_20_24,C16_P_FoodHos_PS_25_34,C16_P_FoodHos_PS_35_44,C16_P_FoodHos_PS_45_54,C16_P_FoodHos_PS_55_64,C16_P_FoodHos_PS_65_74,C16_P_FoodHos_PS_75_84,C16_P_FoodHos_PS_85over,C16_P_FoodHos_PS_Tot,C16_P_MixFld_pr_15_19,C16_P_MixFld_pr_20_24,C16_P_MixFld_pr_25_34,C16_P_MixFld_pr_35_44,C16_P_MixFld_pr_45_54,C16_P_MixFld_pr_55_64,C16_P_MixFld_pr_65_74,C16_P_MixFld_pr_75_84,C16_P_MixFld_pr_85over,C16_P_MixFld_pr_Tot,C16_P_FldStu_ID_15_19,C16_P_FldStu_ID_20_24,C16_P_FldStu_ID_25_34,C16_P_FldStu_ID_35_44,C16_P_FldStu_ID_45_54,C16_P_FldStu_ID_55_64,C16_P_FldStu_ID_65_74,C16_P_FldStu_ID_75_84,C16_P_FldStu_ID_85over,C16_P_FldStu_ID_Tot,C16_P_FldStu_NS_15_19,C16_P_FldStu_NS_20_24,C16_P_FldStu_NS_25_34,C16_P_FldStu_NS_35_44,C16_P_FldStu_NS_45_54,C16_P_FldStu_NS_55_64,C16_P_FldStu_NS_65_74,C16_P_FldStu_NS_75_84,C16_P_FldStu_NS_85over,C16_P_FldStu_NS_Tot,C16_P_Tot_15_19,C16_P_Tot_20_24,C16_P_Tot_25_34,C16_P_Tot_35_44,C16_P_Tot_45_54,C16_P_Tot_55_64,C16_P_Tot_65_74,C16_P_Tot_75_84,C16_P_Tot_85over,C16_P_Tot_Tot
404,183,747,1423,1194,828,548,278,127,36,5360,13,35,25,17,25,22,15,19,8,179,15,80,333,340,232,141,56,59,12,1269,1188,1019,2041,1979,2148,1935,1955,2420,1744,16426,1995,7261,21825,19163,16616,12523,7038,5182,2665,94265,8,234,878,778,588,413,233,79,30,3229,43,218,1061,878,473,243,66,16,0,3000,107,813,3154,2875,3338,2806,2091,1205,511,16911,79,443,1295,871,931,733,450,315,108,5230,28,101,382,317,279,178,91,33,13,1420,55,822,3047,2222,1932,1813,823,332,153,11202,5,267,1482,1344,1367,1667,1063,336,133,7662,187,1440,5551,4896,3589,2381,1247,495,204,19995,205,962,3278,2829,2457,1964,886,231,73,12881,42,396,1257,825,567,366,165,57,19,3692,187,631,1609,1189,1070,643,420,170,54,5972,22,26,37,28,58,55,88,68,34,412,20,80,341,341,267,209,109,72,31,1460,871,930,2119,1825,2006,1816,1708,1585,1274,14124,1854,7361,25492,21223,18915,15290,9444,4988,2643,107199
405,99,242,535,522,377,290,137,61,10,2264,7,7,10,14,6,6,8,8,3,62,3,12,50,84,73,60,49,24,10,359,571,290,504,714,930,1027,1068,1183,533,6826,1018,2143,5846,6989,7730,7040,4390,2452,860,38468,0,31,169,188,163,158,118,23,7,870,15,32,88,93,66,54,29,0,0,382,88,457,1274,1276,1548,1736,1431,608,161,8573,37,144,350,279,393,436,375,177,37,2229,72,180,476,576,459,375,185,56,23,2402,25,222,652,664,993,1366,665,262,73,4928,6,130,605,664,603,900,706,185,60,3858,56,272,1028,1263,1246,985,525,171,61,5609,75,268,769,868,1039,980,485,100,27,4617,15,53,133,129,114,118,80,33,14,683,82,237,593,566,450,343,245,72,14,2606,0,4,8,15,18,15,25,33,29,147,5,17,61,73,103,75,68,30,12,449,689,358,754,878,1259,1481,1497,1050,622,8588,1166,2419,6968,7533,8462,9023,6423,2810,1144,45941
406,48,198,472,375,242,171,75,28,6,1613,3,0,8,11,9,10,0,0,0,43,0,9,60,70,72,43,26,8,0,287,647,553,1119,1190,1235,1034,951,804,332,7862,972,2478,6452,6630,6263,4844,2707,1448,480,32283,0,19,99,94,62,48,36,8,5,370,6,13,71,55,47,28,13,6,0,242,64,463,1390,1335,1496,1336,828,397,101,7413,14,111,329,250,308,328,252,116,27,1736,36,87,278,298,246,134,83,21,11,1192,12,152,569,536,709,726,279,98,34,3116,18,152,649,507,438,485,339,90,32,2704,45,268,923,888,758,594,254,61,15,3810,47,224,718,700,727,524,236,48,5,3234,7,23,112,75,69,57,24,15,3,377,45,171,481,402,291,204,122,44,4,1758,0,11,20,16,10,20,18,18,5,121,9,17,55,56,73,37,34,20,9,303,640,673,1466,1243,1407,1322,1034,740,401,8923,940,2380,7153,6463,6628,5847,3553,1686,650,35295
407,172,458,972,942,633,502,275,91,17,4066,3,9,17,18,24,18,12,11,7,124,10,35,100,137,128,131,61,35,22,668,1075,594,1287,1663,1738,1911,2030,2034,1033,13367,1957,3854,10485,12114,12326,11687,7704,4278,1683,66090,3,30,200,218,213,237,221,60,17,1199,31,68,152,156,111,97,62,10,0,677,129,699,1858,1976,2375,2432,2219,1109,311,13102,68,289,695,571,611,711,591,293,80,3901,79,268,813,1074,958,644,413,146,62,4457,47,298,1038,1106,1554,1885,1180,466,159,7726,17,182,857,977,1004,1426,1284,382,103,6229,172,666,1856,2121,2010,1752,1197,404,131,10305,197,518,1407,1445,1699,1611,934,227,43,8080,28,114,249,248,182,218,158,64,24,1274,197,477,1027,906,774,568,448,144,35,4583,15,11,39,23,39,35,53,37,22,274,11,39,94,125,165,113,133,49,26,760,1142,800,1723,1906,2248,2324,2494,1895,1204,15744,2145,4455,11997,12853,13941,14053,11389,5275,2216,78326
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
499,4,9,28,11,11,5,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,12,23,38,94,88,109,78,54,61,55,603,39,136,399,277,280,243,123,68,68,1634,0,5,10,3,6,0,0,0,0,29,0,0,0,3,0,0,0,0,0,10,3,18,57,29,27,42,37,10,5,227,0,0,20,15,12,12,10,4,0,82,0,4,11,5,7,3,9,0,0,43,0,3,25,14,22,23,6,0,0,89,0,0,6,8,6,11,7,0,0,50,0,16,59,15,20,32,17,0,4,165,0,16,40,19,32,18,13,0,0,128,0,6,12,7,6,0,10,0,0,46,3,9,24,8,9,6,4,0,0,64,0,0,0,0,0,4,0,0,0,8,0,3,4,4,3,0,0,0,0,19,37,55,115,123,150,91,48,15,0,628,48,131,389,261,314,249,156,29,11,1599
501,155,444,943,1048,655,408,185,68,11,3924,15,12,10,11,8,12,9,3,4,85,8,17,95,146,125,96,54,14,6,560,1010,693,1585,1858,1830,1605,1312,1310,618,11820,2191,4292,11575,13980,13390,10420,5782,2945,992,65560,9,82,354,501,381,284,178,53,16,1861,46,85,225,208,145,87,44,11,0,858,208,920,2616,3004,3051,2715,1925,749,186,15376,93,350,1068,990,983,907,591,254,53,5285,53,144,516,687,577,439,262,115,25,2815,89,258,1204,1470,1539,1713,1000,433,113,7809,50,168,977,1613,1675,1668,937,326,63,7482,249,679,2086,2344,2166,1631,1069,336,82,10639,221,408,1170,1492,1412,1230,647,170,39,6795,62,144,371,400,300,250,185,70,24,1813,126,408,1172,1125,879,544,344,91,41,4729,20,22,28,18,21,24,33,35,12,213,6,25,124,177,178,132,82,32,10,764,1235,753,1873,2113,2304,2239,2035,1540,835,14926,2473,4448,13795,16131,15600,13851,9342,4226,1495,81360
502,88,277,486,448,371,282,208,70,18,2248,4,5,11,0,4,5,9,3,0,41,9,14,46,68,72,51,41,25,8,335,610,401,747,919,886,1016,1081,1162,529,7354,1211,2228,5035,6039,6215,5442,4507,2716,845,34240,4,48,146,151,135,112,92,25,17,718,43,88,136,139,84,64,31,10,4,587,104,450,1388,1520,1660,1540,1441,785,203,9098,51,197,532,467,561,414,419,285,68,2995,26,46,161,199,167,115,109,47,10,880,40,187,557,617,743,764,553,278,69,3811,34,127,490,708,766,760,426,230,53,3597,112,334,967,1153,1184,939,842,395,76,6003,116,319,743,772,763,651,412,132,26,3947,40,106,161,125,109,96,82,73,14,805,105,283,654,550,470,367,273,99,23,2832,13,15,4,10,9,19,36,31,8,146,8,20,71,74,104,67,60,30,7,436,472,389,874,923,1053,1062,1175,1054,547,7549,1157,2617,6883,7411,7811,6965,5956,3473,1139,43409
503,60,393,827,524,405,275,101,61,22,2654,16,27,11,17,6,13,11,11,7,113,6,85,238,200,195,141,95,42,22,1029,763,1288,3219,1826,1537,1512,1037,1075,920,13177,1217,7367,23818,18140,16767,12916,6928,3797,1925,92859,12,738,1645,1114,1068,833,507,187,85,6196,13,128,810,695,444,228,66,12,0,2404,41,840,3517,2487,1995,1678,1065,550,199,12367,22,277,1233,749,727,549,335,186,64,4136,8,90,359,274,226,145,109,78,19,1305,22,687,3269,2504,2546,2178,1390,778,334,13710,17,176,950,990,1374,1735,1187,508,195,7137,109,1340,5592,4774,4354,2669,1550,629,242,21263,81,945,3518,2716,2449,2084,1379,485,163,13825,73,653,1587,918,630,431,277,95,41,4705,67,327,1060,557,475,299,195,78,42,3083,36,57,42,13,14,19,16,16,16,228,15,98,273,258,259,184,109,72,19,1285,617,1237,3773,2066,1765,1580,1308,1029,747,14121,1127,7591,27641,20123,18319,14603,9491,4706,2162,105767
504,185,705,1382,1266,847,570,239,91,17,5310,15,11,12,27,12,21,11,6,0,124,10,56,228,262,233,156,66,37,6,1060,1553,1441,2892,2951,2628,2181,1811,1475,792,17723,2868,7694,20805,21169,18327,13609,7307,3536,1323,96644,5,287,932,894,678,448,226,69,23,3555,77,233,965,851,497,210,68,8,0,2911,212,1432,4748,4368,4328,3610,2337,984,216,22236,95,517,1594,1181,1038,847,635,302,62,6283,32,117,437,500,380,249,118,62,13,1914,81,669,2509,2088,1893,1554,848,377,93,10116,48,316,1538,1897,1939,1688,890,339,86,8746,269,1335,5453,4864,3808,2473,1291,436,123,20065,217,916,3002,2897,2292,1803,901,209,47,12289,111,525,1265,923,629,387,210,71,18,4147,229,707,2026,1451,1085,713,409,123,37,6780,34,32,48,36,41,36,48,59,14,351,11,77,366,320,294,191,109,52,15,1440,1223,1543,3709,3277,2978,2303,1945,1517,1090,19577,2661,8703,28603,25562,21883,16520,10037,4605,1832,120403
505,394,1589,3124,3025,2081,1190,543,197,66,12208,29,48,53,38,34,39,29,18,16,307,26,135,438,474,433,294,156,72,29,2056,2902,2605,5353,4945,4453,3846,3191,3270,1871,32446,5542,17424,49043,49595,42247,30082,15751,8577,3360,221610,30,804,2168,2117,1638,1043,616,196,41,8654,104,463,2059,2169,1291,587,169,17,0,6861,349,2604,9158,9094,8844,7337,4719,2210,606,44915,239,1395,4836,3659,3349,2307,1424,789,162,18158,38,222,916,873,685,411,202,85,27,3461,192,1752,6444,5674,5181,3847,2115,900,280,26389,124,782,3808,4488,4670,4016,2226,864,240,21210,611,2886,12267,12492,10203,6251,3802,1446,449,50411,505,2108,6678,6257,4811,3650,1816,511,132,26471,261,1069,2557,1828,1092,669,406,190,52,8140,391,1322,4004,3039,2622,1496,871,289,88,14132,58,64,86,92,79,72,93,86,34,662,27,177,643,619,597,389,220,130,37,2847,2183,2277,6144,5082,4718,3800,3224,2798,2022,32250,5111,17933,61769,57481,49778,35878,21905,10532,4175,264560
506,366,1492,2865,2158,1411,1018,476,153,36,9971,46,69,43,36,55,46,36,21,8,352,24,137,427,471,387,280,130,61,29,1951,2815,3348,5963,5193,4507,4106,3185,3211,2010,34336,5572,18840,47942,39682,34161,26904,14409,7762,3305,198576,31,792,2509,2138,1545,975,608,160,46,8801,152,569,2641,2213,1023,466,133,17,0,7215,382,3161,10715,9558,8259,6592,4418,1984,497,45567,179,1095,3061,1974,1747,1601,1136,612,181,11589,61,264,895,836,672,445,281,121,33,3604,192,1691,6105,4441,3674,3192,1815,804,214,22131,96,686,2848,3261,3225,3050,1798,737,176,15877,600,3402,12971,10625,7635,5040,2805,1045,318,44437,433,1926,6188,5106,4088,3221,1683,506,114,23274,262,931,2212,1397,766,507,323,144,55,6591,370,1354,3832,2481,1830,1157,731,216,73,12042,80,84,88,80,67,73,96,72,31,663,35,189,678,635,551,362,196,100,44,2795,2095,2910,7084,5425,4540,4015,3340,2957,2244,34614,4948,19053,61837,50169,39616,30714,19370,9470,4021,239189
507,328,1062,2099,1999,1357,800,429,169,44,8292,37,32,22,30,46,27,16,7,9,219,18,96,315,418,339,233,126,67,23,1641,2195,1848,3642,3954,3489,2997,2616,2813,1543,25097,4386,12579,33668,35409,31361,22335,12080,7162,2745,161728,23,612,1567,1571,1322,961,548,153,45,6807,100,394,1307,1387,779,395,120,19,5,4500,347,2181,7673,7769,7519,5851,3726,1797,526,37393,159,823,2479,2101,1949,1438,978,595,167,10680,31,237,810,872,639,440,276,80,34,3415,180,1311,4745,4328,4032,2984,1613,767,263,20216,100,590,2621,3148,3346,3013,1576,659,183,15235,454,2210,7879,8198,6855,4587,2573,958,367,34070,409,1575,4701,4577,3937,3007,1533,467,115,20316,199,800,1747,1297,887,571,343,110,51,6004,325,1121,2823,2238,1844,1009,620,247,92,10318,49,45,58,38,54,80,85,61,20,494,25,127,422,507,462,325,167,94,38,2156,1899,2279,5394,4564,4265,3345,2864,2756,1895,29263,4295,14290,44225,42605,37883,28011,17017,8757,3783,200872
509,85,205,536,630,446,310,165,44,14,2430,15,3,10,13,6,12,6,0,0,83,5,10,57,82,92,79,63,19,10,424,794,596,1150,1464,1562,1455,1214,1087,471,9788,1622,2929,7864,9522,9879,8793,5114,2481,831,49020,0,49,165,256,196,188,142,39,8,1044,33,61,127,116,107,70,39,10,0,563,141,620,1637,1639,1860,1992,1476,590,153,10112,63,196,539,451,494,528,410,215,47,2942,120,252,718,834,789,648,380,166,41,3946,72,195,831,836,1057,1291,822,358,102,5561,26,144,675,920,1119,1271,718,272,65,5214,160,402,1218,1337,1402,1140,795,229,69,6747,119,270,792,954,975,1070,533,114,31,4850,37,78,193,200,211,212,162,49,9,1142,86,216,574,556,538,394,276,76,27,2740,21,14,12,11,15,30,36,33,12,184,4,19,76,100,136,110,68,38,9,566,929,730,1870,1870,2210,2358,2039,1404,656,14062,1802,3247,9430,10085,11109,11302,7884,3588,1227,59675
510,54,240,712,488,299,118,30,0,0,1949,4,12,11,7,11,3,3,0,0,51,7,33,113,151,109,55,15,4,0,481,1049,1784,4514,3858,2945,1556,440,145,40,16339,1456,4517,14211,11998,8945,4709,1038,244,54,47175,0,30,274,257,110,61,16,4,0,752,4,28,119,144,58,22,3,0,0,373,87,684,3944,3135,2364,1263,287,46,8,11812,24,143,792,609,454,319,80,27,0,2456,26,97,318,318,209,120,28,6,0,1124,16,118,881,759,614,493,126,14,3,3022,13,165,801,773,572,432,132,18,0,2896,89,354,1640,1375,893,523,96,14,3,4987,45,183,956,754,526,334,97,14,9,2917,19,50,246,178,98,70,21,0,0,684,44,174,742,549,373,166,46,7,0,2108,4,8,22,20,15,15,4,4,0,97,4,23,136,132,147,78,12,0,0,540,957,1145,3942,3123,2635,1653,578,177,51,14261,1334,3206,14817,12124,9069,5546,1532,327,81,48038
511,98,330,677,696,393,222,125,44,10,2596,9,9,12,13,12,4,9,0,0,65,7,25,78,92,97,57,29,8,6,398,1087,1070,2223,2158,2118,1571,1127,784,297,12430,1819,4072,10524,10671,9346,6520,3283,1501,439,48165,8,70,348,289,171,117,43,6,0,1056,20,52,129,113,66,48,13,0,0,443,143,832,2567,2315,2268,1828,970,337,70,11328,56,239,587,432,529,501,295,110,23,2768,58,125,327,393,352,259,152,64,14,1741,27,203,838,846,851,764,419,169,34,4152,15,180,809,924,946,732,324,112,23,4062,137,381,1369,1370,1187,829,360,134,27,5785,95,249,859,764,707,556,245,52,6,3539,28,73,222,181,137,86,55,22,5,809,97,272,699,567,508,291,165,55,10,2653,10,17,15,15,20,15,34,29,8,163,11,25,99,107,127,89,36,16,5,513,1037,925,2447,2174,2306,1988,1380,802,343,13407,1734,3655,11321,10491,10160,8095,4481,1910,564,52414
597,0,0,8,8,8,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,8,0,3,27,17,5,5,5,0,0,67,0,25,107,75,55,23,8,0,0,300,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,45,51,41,17,0,0,0,159,0,0,15,0,3,0,0,0,0,20,0,0,4,5,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,3,0,0,0,13,0,0,3,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,6,0,0,8,8,10,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,30,17,21,6,0,0,0,81,0,14,106,98,83,31,4,3,0,341
599,0,20,61,25,38,24,7,0,0,183,0,0,5,0,0,0,0,0,0,5,0,4,10,6,10,7,7,0,0,40,61,107,320,290,254,203,81,37,10,1360,91,378,1159,811,716,763,321,56,12,4307,0,9,26,17,10,7,5,0,0,74,0,4,15,5,5,12,5,0,0,44,3,32,159,91,115,106,71,7,3,595,5,13,64,45,22,38,15,3,0,204,0,10,22,16,10,14,9,0,0,86,3,10,66,25,29,43,27,3,0,209,0,7,25,20,15,43,21,5,6,143,8,33,103,55,43,69,42,5,0,356,8,20,76,23,33,39,20,0,0,215,0,14,40,5,7,10,5,0,0,90,0,11,43,35,26,27,10,4,0,161,0,0,3,0,0,0,4,0,0,8,0,6,7,13,13,4,4,3,0,45,47,135,379,319,355,208,129,25,4,1606,64,307,1027,670,678,635,368,57,8,3823
601,206,715,1337,1146,784,513,274,77,29,5083,4,21,16,12,11,8,13,7,7,100,9,90,235,264,233,205,108,46,27,1218,1259,1038,1711,1762,1948,2018,2024,1903,1047,14716,2219,6747,17567,18182,18314,15263,8806,5176,2106,94379,5,249,931,985,833,652,421,142,60,4280,28,280,890,640,405,242,103,19,4,2615,72,622,2027,2182,2509,2523,1954,1079,361,13330,62,470,1420,1083,1168,1131,677,373,134,6523,31,118,434,567,542,407,154,69,24,2345,39,521,2029,1908,2125,2134,1319,625,244,10945,12,159,1204,1476,1490,2101,1420,637,209,8714,208,1143,3946,3634,3344,2648,1514,595,276,17298,133,983,2938,2921,2830,2575,1467,416,129,14385,40,270,899,767,631,485,358,139,48,3651,142,644,1498,1220,998,627,361,128,44,5672,22,36,31,29,23,41,69,44,23,327,18,75,252,323,283,263,151,72,33,1464,1106,1020,2129,1964,2150,2258,2091,1705,865,15276,1919,6582,20621,19706,19324,18101,12070,6042,2450,106815
602,147,478,799,810,517,419,197,68,16,3463,10,5,8,8,7,4,8,3,0,68,7,20,106,114,136,116,71,29,8,602,857,452,824,1029,1167,1359,1466,1450,702,9311,1529,3534,9019,10284,10855,9523,5735,3272,1206,54971,0,44,181,260,232,237,176,52,13,1204,10,96,269,216,166,115,46,8,0,929,84,550,1320,1455,1803,1922,1514,703,207,9558,44,354,754,554,701,708,475,257,59,3901,39,141,420,493,464,328,206,95,23,2207,46,356,1120,1057,1288,1450,846,367,117,6653,14,115,731,951,1051,1185,861,403,116,5425,98,564,1635,1710,1689,1426,866,268,107,8365,96,464,1091,1264,1391,1322,710,187,52,6573,12,141,322,347,296,289,220,84,25,1722,138,402,858,756,662,436,345,105,29,3733,7,19,15,19,12,41,40,28,14,198,9,24,97,115,156,150,90,49,8,703,946,750,1281,1307,1671,1760,1973,1295,624,11608,1552,4021,10087,10502,11589,11358,8366,3902,1391,62769
603,26,78,209,206,175,124,57,9,3,882,0,0,0,0,0,0,4,0,0,3,5,3,24,39,39,56,23,7,0,195,176,101,211,320,370,499,454,296,108,2528,303,598,1837,2708,2933,3077,1873,704,189,14224,4,4,45,75,104,104,84,28,0,449,6,8,29,50,43,38,18,3,0,198,16,99,296,365,510,636,498,191,47,2663,8,64,148,156,210,258,181,61,4,1099,8,69,171,212,202,157,74,29,3,924,8,38,133,174,305,392,242,88,21,1388,6,15,90,198,222,331,326,96,13,1302,20,91,310,385,389,410,287,50,13,1957,20,84,235,331,419,460,285,62,9,1900,6,19,72,103,117,123,114,29,6,592,26,69,209,235,180,165,92,23,5,1004,5,0,3,0,11,12,15,8,0,61,0,3,29,37,52,53,39,12,5,229,278,143,278,405,516,642,666,378,143,3439,418,691,2059,2719,3277,3778,2923,1062,283,17199
604,156,372,658,582,406,289,138,46,9,2653,6,0,5,3,7,12,5,4,6,48,9,20,56,66,91,89,38,20,3,388,705,355,620,935,1071,1069,1308,1256,587,7910,1332,2717,6564,7661,8437,6985,4448,2486,938,41571,0,26,111,117,119,109,110,38,16,647,15,71,158,124,108,86,37,12,0,607,86,446,1244,1404,1620,1616,1122,570,146,8258,53,208,522,398,538,654,400,227,41,3049,41,146,322,351,337,216,119,49,10,1601,20,194,645,607,836,1018,644,248,93,4299,8,102,524,655,698,873,631,325,78,3891,106,424,1154,1236,1307,1079,551,182,46,6081,94,395,855,915,1178,959,412,109,17,4932,8,71,162,152,145,147,113,45,11,849,127,344,718,624,450,369,224,77,15,2953,7,14,14,7,13,31,37,28,18,158,4,20,72,68,117,108,76,19,9,488,693,409,837,898,1317,1417,1533,1174,509,8788,1257,2870,7333,7564,8787,8674,6010,3108,1014,46613
697,0,3,3,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,3,3,4,3,0,0,11,0,8,20,16,15,15,7,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,4,0,0,0,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,18,7,4,4,4,0,0,46
