SA4_CODE_2021,C21_P_35_39_Tot_LF,C21_P_35_39_Not_LF,C21_P_35_39_LF_NS,C21_P_35_39_Tot,C21_P_40_44_Em_FT,C21_P_40_44_Em_PT,C21_P_40_44_Em_AFW,C21_P_40_44_Em_Hrs_NS,C21_P_40_44_Em_Tot,C21_P_40_44_Unem_Look_FT,C21_P_40_44_Unem_Look_PT,C21_P_40_44_Unem_Tot,C21_P_40_44_Tot_LF,C21_P_40_44_Not_LF,C21_P_40_44_LF_NS,C21_P_40_44_Tot,C21_P_45_49_Em_FT,C21_P_45_49_Em_PT,C21_P_45_49_Em_AFW,C21_P_45_49_Em_Hrs_NS,C21_P_45_49_Em_Tot,C21_P_45_49_Unem_Look_FT,C21_P_45_49_Unem_Look_PT,C21_P_45_49_Unem_Tot,C21_P_45_49_Tot_LF,C21_P_45_49_Not_LF,C21_P_45_49_LF_NS,C21_P_45_49_Tot,C21_P_50_54_Em_FT,C21_P_50_54_Em_PT,C21_P_50_54_Em_AFW,C21_P_50_54_Em_Hrs_NS,C21_P_50_54_Em_Tot,C21_P_50_54_Unem_Look_FT,C21_P_50_54_Unem_Look_PT,C21_P_50_54_Unem_Tot,C21_P_50_54_Tot_LF,C21_P_50_54_Not_LF,C21_P_50_54_LF_NS,C21_P_50_54_Tot,C21_P_55_59_Em_FT,C21_P_55_59_Em_PT,C21_P_55_59_Em_AFW,C21_P_55_59_Em_Hrs_NS,C21_P_55_59_Em_Tot,C21_P_55_59_Unem_Look_FT,C21_P_55_59_Unem_Look_PT,C21_P_55_59_Unem_Tot,C21_P_55_59_Tot_LF,C21_P_55_59_Not_LF,C21_P_55_59_LF_NS,C21_P_55_59_Tot,C21_P_60_64_Em_FT,C21_P_60_64_Em_PT,C21_P_60_64_Em_AFW,C21_P_60_64_Em_Hrs_NS,C21_P_60_64_Em_Tot,C21_P_60_64_Unem_Look_FT,C21_P_60_64_Unem_Look_PT,C21_P_60_64_Unem_Tot,C21_P_60_64_Tot_LF,C21_P_60_64_Not_LF,C21_P_60_64_LF_NS,C21_P_60_64_Tot,C21_P_65_69_Em_FT,C21_P_65_69_Em_PT,C21_P_65_69_Em_AFW,C21_P_65_69_Em_Hrs_NS,C21_P_65_69_Em_Tot,C21_P_65_69_Unem_Look_FT,C21_P_65_69_Unem_Look_PT,C21_P_65_69_Unem_Tot,C21_P_65_69_Tot_LF,C21_P_65_69_Not_LF,C21_P_65_69_LF_NS,C21_P_65_69_Tot,C21_P_70_74_Em_FT,C21_P_70_74_Em_PT,C21_P_70_74_Em_AFW,C21_P_70_74_Em_Hrs_NS,C21_P_70_74_Em_Tot,C21_P_70_74_Unem_Look_FT,C21_P_70_74_Unem_Look_PT,C21_P_70_74_Unem_Tot,C21_P_70_74_Tot_LF,C21_P_70_74_Not_LF,C21_P_70_74_LF_NS,C21_P_70_74_Tot,C21_P_75over_Emp_Wor_ft,C21_P_75over_Em_Work_pt,C21_P_75over_Em_Aw_fr_w,C21_P_75over_Emp_Hou_w_ns,C21_P_75over_Em_Tot,C21_P_75over_Unem_Lo_ft_w,C21_P_75over_Unem_Lo_pt_w,C21_P_75over_Unemp_Tot,C21_P_75over_Tot_lab_for,C21_P_75over_N_lab_forc,C21_P_75over_LF_NS,C21_P_75over_Tot,C21_P_Tot_Em_FT,C21_P_Tot_Em_PT,C21_P_Tot_Em_AFW,C21_P_Tot_Em_Hrs_NS,C21_P_Tot_Em_Tot,C21_P_Tot_Unem_Look_FT,C21_P_Tot_Unem_Look_PT,C21_P_Tot_Unem_Tot,C21_P_Tot_Tot_labo_for,C21_P_Tot_Not_LF,C21_P_Tot_LF_NS,C21_P_Tot_Tot
101,11470,1644,852,13964,7203,2847,398,167,10615,187,96,284,10896,1447,816,13156,8321,2969,437,164,11881,225,114,337,12221,1904,904,15025,8455,3443,543,177,12620,247,117,367,12988,2476,963,16423,7345,3754,598,173,11866,226,124,350,12217,4032,1120,17373,4853,3848,568,111,9382,175,178,350,9729,7177,1085,17998,2028,2256,310,85,4684,50,92,141,4824,10649,959,16434,797,1133,97,50,2085,7,34,38,2127,11704,1000,14831,466,635,71,78,1253,4,7,12,1265,18714,1962,21936,66989,36848,5531,2049,111423,2216,1791,4005,115425,69160,12973,197558
102,16697,3078,1009,20786,9467,4883,1229,224,15803,356,196,548,16354,3222,1000,20567,10385,4902,1256,211,16757,414,194,611,17363,3535,1047,21944,9962,5004,1312,241,16509,411,182,594,17108,4213,921,22238,8591,5022,1307,158,15084,385,225,606,15690,5821,969,22485,5457,4531,1205,105,11298,291,245,536,11830,9667,904,22398,1903,2406,629,63,5006,68,94,164,5163,14613,974,20754,497,995,205,35,1723,5,42,47,1768,17066,1098,19938,179,523,113,75,883,11,16,29,912,31035,4303,36250,79291,52926,16228,2398,150834,4246,3216,7463,158296,109849,16097,284248
103,9898,1678,890,12463,6034,2419,270,157,8872,208,112,311,9194,1635,834,11656,6910,2502,287,145,9840,223,104,325,10166,1778,854,12795,6767,2625,369,138,9892,213,110,323,10218,2301,890,13410,6054,2800,434,129,9425,196,121,314,9743,3250,939,13933,4397,2786,429,101,7708,162,144,311,8022,5091,874,13986,1937,1764,241,79,4017,34,53,87,4103,7689,811,12605,797,964,87,46,1890,7,20,29,1921,9253,868,12044,475,695,75,102,1341,0,14,22,1359,16682,1945,19991,58548,30750,4460,1765,95519,2317,1741,4057,99573,59825,12196,171594
104,6098,1424,561,8083,3438,2011,207,115,5764,169,116,284,6052,1260,580,7891,4105,2102,235,101,6545,190,120,308,6853,1449,573,8867,3972,2246,255,104,6580,166,108,276,6855,1823,562,9238,3495,2456,346,90,6380,196,120,316,6698,2816,597,10105,2518,2513,317,83,5428,158,173,328,5757,4819,565,11144,995,1351,165,36,2542,38,48,83,2628,7707,546,10881,280,590,50,23,945,0,11,14,962,8224,576,9764,139,256,27,38,464,6,9,8,475,13813,1681,15970,31206,23965,2834,1194,59192,1940,1581,3520,62713,50320,8258,121293
105,5090,1014,779,6887,3046,1068,121,79,4314,120,52,170,4488,875,732,6094,3239,1004,138,81,4458,130,46,177,4633,1063,685,6376,3510,1158,152,84,4903,129,52,183,5088,1219,783,7087,3372,1243,185,86,4897,110,66,174,5072,1610,795,7479,2631,1354,209,91,4288,108,75,182,4470,2582,691,7745,1204,841,127,45,2213,29,45,72,2284,3742,657,6686,506,434,53,34,1026,4,11,12,1038,4282,621,5942,323,310,43,51,719,0,4,4,728,8141,1495,10367,31876,14310,2163,1150,49502,1392,871,2265,51763,30459,10441,92669
106,14633,2734,839,18209,8555,3790,573,199,13119,320,161,478,13600,2599,819,17016,9098,3919,584,209,13810,320,153,474,14286,2878,814,17977,8754,3913,702,184,13549,316,168,483,14038,3421,796,18252,7456,3808,798,156,12224,300,164,465,12682,4838,839,18370,4684,3498,690,131,9007,228,196,425,9426,8402,806,18634,1683,1831,331,72,3921,54,72,123,4046,12329,728,17103,469,855,120,47,1491,8,31,38,1522,13228,800,15545,236,500,71,64,866,3,11,9,873,20643,2131,23649,76279,43803,8405,2332,130822,3695,2791,6487,137309,85594,12147,235041
107,15926,2877,824,19627,9206,4504,1090,159,14963,310,168,481,15443,2720,777,18940,9916,4520,1079,163,15676,342,169,510,16188,3109,816,20112,8966,4071,1101,158,14285,276,157,434,14718,3779,660,19159,7712,4188,1116,128,13145,283,173,454,13597,5470,673,19743,4578,3471,942,98,9093,166,186,357,9450,9289,676,19407,1432,1749,474,50,3710,45,61,103,3811,12529,675,17017,354,738,132,23,1239,8,32,40,1278,13306,706,15292,134,309,70,28,541,8,3,14,561,24609,2805,27970,77454,48452,14846,1982,142732,3712,3242,6950,149685,95788,12252,257723
108,8056,1856,728,10643,4812,2743,312,163,8023,237,126,367,8391,1905,692,10986,5839,3079,315,158,9390,245,142,386,9779,2256,738,12772,5876,3359,431,179,9846,269,179,455,10297,2947,792,14031,5407,3828,559,170,9972,288,210,501,10475,4682,925,16082,3838,3978,533,142,8484,257,278,537,9020,8695,990,18715,1500,2076,289,63,3926,79,108,189,4116,13706,1028,18843,521,944,90,59,1617,0,30,37,1652,15918,1120,18690,242,555,60,108,972,9,13,16,988,27102,3006,31104,44874,34778,4434,1883,85976,2952,2330,5283,91257,89140,12804,193195
109,5529,814,528,6870,3376,1577,143,66,5159,120,61,179,5336,861,501,6703,3772,1516,182,85,5548,130,48,185,5729,896,528,7150,3930,1572,223,78,5793,105,53,162,5956,1165,540,7660,3558,1765,239,77,5636,126,75,198,5837,1694,593,8126,2761,1910,291,68,5028,118,98,215,5246,3049,600,8897,1193,1203,174,41,2615,28,47,74,2692,5097,600,8387,410,584,57,31,1088,3,10,14,1102,6085,589,7777,240,335,47,60,682,3,3,8,687,10583,1424,12694,32905,19072,2564,1017,55555,1315,1024,2338,57892,35373,7994,101262
110,8025,1416,1037,10477,5039,1952,198,120,7318,184,104,283,7603,1325,921,9852,5429,2058,232,116,7835,218,107,321,8159,1535,1013,10705,5711,1970,258,108,8054,231,102,330,8384,1882,1066,11325,5182,2346,349,129,8000,187,108,301,8302,2720,1066,12083,4001,2372,355,132,6862,197,129,327,7187,4310,1010,12506,1878,1596,189,61,3720,42,54,97,3816,6505,875,11192,815,875,97,56,1846,7,9,15,1862,7579,940,10379,475,611,81,120,1280,0,10,10,1295,14377,2149,17817,49547,25529,3396,1666,80142,2382,1688,4076,84212,51183,14663,150057
111,21354,2946,1039,25336,12029,5844,742,185,18797,390,230,623,19417,2859,923,23198,12914,5523,700,197,19338,452,221,680,20014,3299,941,24253,12048,5553,836,182,18625,428,228,659,19284,3871,782,23933,9915,5450,890,121,16367,369,220,592,16959,5844,887,23689,6105,4737,888,124,11853,293,273,565,12419,10532,788,23745,1920,2525,404,47,4898,86,108,200,5097,15774,906,21783,448,1074,141,20,1678,9,45,51,1733,17210,946,19889,163,564,67,38,834,3,11,17,852,31903,3443,36200,105219,67473,11312,2335,186341,4832,4406,9240,195577,112119,15201,322898
112,11513,2209,1251,14970,6428,4235,484,206,11353,230,182,411,11764,2075,1185,15028,7268,4445,499,191,12397,270,203,473,12872,2470,1268,16607,6934,4343,528,206,12011,261,214,475,12487,2959,1128,16572,6415,4662,593,171,11837,268,206,480,12317,4385,1211,17906,4661,4638,631,148,10088,258,280,536,10626,7748,1218,19593,1832,2790,328,75,5023,51,122,171,5196,12406,1184,18786,562,1251,119,56,1996,7,37,42,2036,13400,1010,16454,289,631,69,100,1083,7,20,18,1104,23532,2923,27556,55373,47194,6071,2234,110874,2771,2764,5533,116412,81279,16551,214236
113,7984,1339,658,9985,4912,1857,180,105,7054,163,50,221,7275,1181,619,9072,5272,1794,173,112,7350,132,77,204,7554,1320,675,9551,5249,1845,208,97,7400,144,64,200,7600,1566,636,9801,4823,2069,283,118,7292,104,71,172,7469,1960,609,10033,3733,2046,273,106,6163,107,87,197,6357,3369,667,10392,1553,1330,178,53,3110,36,47,82,3190,5281,611,9088,552,698,64,63,1376,6,16,19,1393,5969,585,7947,319,448,65,85,919,0,3,5,922,11933,1491,14349,48398,23781,2971,1569,76713,1725,1295,3029,79746,42487,9428,131660
114,6534,1281,487,8302,3818,2047,266,95,6220,138,84,215,6439,1238,471,8146,4383,2224,270,99,6973,137,71,215,7185,1420,534,9136,4461,2380,320,111,7273,135,91,226,7504,1856,523,9877,3901,2748,420,107,7175,154,116,273,7452,2912,545,10908,2753,2735,414,92,5999,107,142,251,6257,5521,596,12372,1048,1683,228,47,3010,41,60,102,3109,8777,582,12462,407,835,90,23,1365,8,27,28,1391,10417,572,12386,212,469,42,48,779,4,16,21,803,17710,1753,20262,35436,25594,3895,1226,66151,1584,1319,2900,69056,57905,7952,134907
115,16134,2364,550,19041,11764,3917,958,202,16837,328,152,480,17320,2331,519,20176,11467,3916,909,181,16472,294,147,436,16907,2263,483,19654,9850,3641,983,143,14612,344,131,471,15084,2592,430,18107,7874,3455,911,129,12362,278,131,406,12774,3165,419,16362,5042,2833,781,109,8765,200,133,331,9097,5365,318,14780,2138,1950,479,55,4619,62,91,155,4778,7822,338,12931,663,1012,226,25,1932,16,38,57,1990,9005,345,11343,246,531,101,31,911,8,20,24,933,15609,1608,18151,79754,38529,12083,1746,132111,2875,2474,5344,137454,66269,6673,210397
116,28720,6186,2107,37018,16143,4994,1822,391,23357,688,274,961,24315,5439,1558,31312,12697,4022,1633,307,18649,542,238,780,19429,4858,1321,25613,10115,3454,1557,219,15337,477,190,667,16010,5225,1104,22336,8235,2841,1436,200,12712,366,184,554,13265,6102,894,20257,5065,2322,1193,141,8724,358,193,548,9267,7726,837,17836,1870,1240,554,58,3719,100,90,189,3910,10295,694,14897,392,437,193,20,1045,15,15,33,1075,10572,708,12352,85,147,56,29,319,6,6,8,334,15072,1474,16881,105722,46812,20609,3785,176932,6429,4508,10944,187873,104339,17705,309913
117,28488,4094,2062,34644,13701,4079,1101,200,19082,603,226,828,19905,3076,1535,24520,11083,3314,839,122,15362,554,195,745,16105,2862,1203,20166,9049,2919,819,110,12897,491,196,690,13589,3280,1076,17937,6784,2640,731,92,10252,420,194,615,10869,3944,1003,15817,3987,2311,558,79,6930,260,176,432,7365,5232,879,13477,1639,1454,302,38,3434,96,98,194,3628,6632,738,10999,578,806,149,26,1563,10,34,51,1610,6933,671,9222,178,424,69,20,689,5,15,22,707,12069,1807,14585,123775,49482,16839,2718,192809,6109,4644,10751,203559,74660,20295,298518
118,17798,2454,1201,21455,10306,3595,762,189,14846,343,140,490,15336,2249,939,18530,9724,3400,673,155,13956,365,148,519,14475,2392,755,17624,8481,3253,616,132,12480,313,123,442,12918,2703,783,16404,6528,2993,620,115,10260,248,146,394,10654,3079,627,14358,4002,2775,495,73,7345,174,137,313,7662,4349,522,12529,1860,1935,348,46,4188,56,65,129,4319,5924,474,10715,834,1352,222,41,2455,22,44,64,2520,7459,560,10540,356,897,150,47,1460,8,18,25,1484,16220,2686,20389,87723,38306,10553,2059,138638,3138,2510,5651,144290,63924,13181,221391
119,31480,10767,3054,45297,15418,7014,2949,500,25885,925,462,1392,27274,9492,2358,39125,14829,6586,3016,472,24896,897,385,1280,26181,9467,2110,37760,13518,6165,3031,412,23119,838,389,1227,24349,10258,1960,36572,11391,5838,3081,321,20626,793,438,1223,21858,12117,1914,35884,7389,4568,2492,243,14694,589,479,1067,15762,15493,1600,32856,2755,2449,1105,124,6430,151,167,319,6756,19133,1395,27278,760,1053,407,52,2274,16,47,62,2334,19480,1451,23268,228,478,186,37,936,14,19,30,958,39007,5442,45415,129424,75052,35464,5663,245597,9674,7011,16689,262286,201203,32842,496332
