SA4_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
101,45,73,120,347,671,865,373,95,86,132,2821,7,8,25,54,76,198,491,794,452,153,113,113,2491,7,5,21,16,26,93,177,401,270,114,99,36,1262,19,0,10,44,28,72,164,407,278,129,186,79,1416,10,7,13,29,13,46,123,265,195,155,323,103,1291,6,4,16,38,39,77,162,260,139,46,63,69,915,3,10,56,59,27,54,76,26,15,5,10,132,468,194,196,1197,1607,1390,2851,4364,5153,2288,813,1055,1226,22332
102,32,51,42,107,466,2058,1260,370,181,93,4685,4,7,13,26,36,70,265,1500,1331,454,207,80,4000,4,4,9,12,12,29,115,679,720,346,206,31,2163,0,0,4,10,9,24,90,476,736,422,326,43,2145,0,0,7,6,10,20,45,209,360,304,520,32,1520,3,0,24,44,27,47,128,439,394,170,124,91,1496,12,7,102,62,25,53,83,94,31,9,14,188,679,185,240,1649,1504,1048,1852,4717,12117,7348,2715,1889,1218,36489
103,73,128,144,337,731,752,222,34,14,124,2599,32,10,41,83,117,239,546,786,316,54,41,96,2357,15,4,15,28,46,84,250,396,221,30,9,47,1152,12,3,27,25,37,80,186,411,258,43,30,76,1175,7,8,29,25,23,51,112,202,225,80,52,80,899,13,3,33,52,57,116,231,241,114,19,7,73,957,21,13,102,80,60,56,54,33,7,0,0,118,545,350,293,1636,2175,1766,3085,4773,4427,1687,314,213,1189,21901
104,27,28,35,112,313,719,402,114,48,63,1870,0,0,14,26,22,68,203,486,337,101,49,37,1354,4,0,3,8,11,29,71,179,213,81,49,17,678,0,0,4,7,11,19,45,149,178,110,63,19,620,7,0,8,17,11,22,40,70,96,94,91,26,468,3,3,12,21,22,45,103,210,139,75,24,32,688,0,0,28,56,14,39,50,40,9,4,4,95,338,84,70,534,1075,686,1525,3013,4294,2215,757,470,663,15389
105,60,163,126,260,363,270,58,7,9,107,1536,78,26,70,108,114,208,299,320,63,8,15,69,1380,21,6,23,37,38,83,142,161,36,5,14,29,609,51,22,30,48,43,88,125,190,75,12,10,46,724,45,30,41,37,33,50,65,112,58,20,19,72,588,13,17,40,72,57,83,123,126,37,7,9,54,640,10,11,48,64,20,30,13,15,4,0,0,92,309,454,293,1074,1859,1314,1988,2203,1826,411,87,102,878,12484
106,36,69,73,307,781,1619,668,108,42,102,3825,14,5,41,49,70,224,546,1422,728,132,44,96,3378,7,5,12,20,17,157,230,678,451,74,37,39,1728,8,3,5,16,27,111,193,598,527,136,55,41,1732,6,0,16,28,19,58,99,309,307,144,80,39,1103,5,0,20,31,30,151,240,477,262,71,29,88,1408,6,9,19,100,37,60,72,63,18,5,12,166,559,139,95,789,1862,1277,3105,6009,9409,4011,824,386,1212,29122
107,47,57,67,132,436,1325,1251,468,177,86,4056,3,3,18,29,36,71,225,1064,1259,673,250,49,3677,4,0,13,24,13,32,111,435,718,477,239,28,2084,4,6,6,16,21,37,85,362,668,609,360,46,2206,4,5,20,14,12,17,61,159,324,463,588,53,1729,9,7,39,59,32,51,102,321,388,318,196,88,1608,23,16,145,55,23,33,43,55,37,17,11,165,614,284,393,2959,1781,1186,1845,3834,7839,6978,3772,2135,1150,34156
108,24,67,73,146,525,968,463,103,42,80,2507,13,6,12,26,44,92,276,745,442,119,56,52,1880,0,0,6,19,12,40,106,330,260,75,39,27,910,10,3,4,11,9,26,71,249,275,102,54,24,842,6,0,16,10,20,27,53,122,153,95,89,27,625,11,4,19,41,33,68,172,335,170,48,25,66,991,8,0,36,104,56,98,91,70,15,0,6,157,654,154,114,642,1901,1321,2617,4855,6427,2741,730,448,932,22880
109,61,118,134,251,473,318,52,7,10,54,1520,23,11,38,82,86,163,350,322,64,9,16,65,1241,13,4,13,28,33,60,117,152,37,10,7,25,498,17,4,16,21,30,50,97,172,78,19,13,14,540,9,8,18,26,21,36,44,83,68,15,17,27,372,3,4,27,59,46,85,111,107,32,10,6,37,521,13,5,40,67,32,37,13,16,4,3,0,88,327,204,188,1082,2157,1306,2228,2666,1778,439,103,100,644,12902
110,77,153,195,388,725,636,101,20,23,115,2470,33,9,48,103,139,259,534,630,126,25,20,120,2031,10,5,24,36,40,101,224,336,77,12,12,42,921,26,8,18,32,42,84,158,339,110,25,6,48,890,16,7,36,43,31,58,93,202,117,41,31,60,751,11,0,25,74,77,136,227,219,51,14,4,67,911,8,10,61,127,73,85,68,27,4,4,5,131,595,300,223,1083,2533,2048,3512,4798,3757,779,181,162,1159,20535
111,54,103,88,201,664,2249,1419,390,178,101,5467,8,0,31,54,59,121,475,1962,1711,583,226,98,5326,3,0,17,25,18,45,175,824,1009,365,209,50,2731,0,0,12,24,20,44,144,712,1042,642,361,45,3062,7,9,28,25,24,22,69,306,519,510,635,58,2198,6,0,33,61,41,78,191,597,607,315,224,147,2318,17,12,107,67,31,37,63,87,34,13,10,212,692,283,389,3015,2345,1498,2605,5445,12842,8710,3394,2120,1513,44148
112,36,42,62,141,394,832,657,405,346,101,3036,7,4,24,31,44,81,257,664,614,411,413,68,2618,4,0,9,16,15,23,109,297,323,276,311,32,1425,5,3,5,11,14,41,59,186,232,271,456,37,1321,12,3,16,17,15,18,33,90,117,140,576,37,1086,3,6,33,43,36,67,129,255,260,191,271,82,1372,8,3,63,58,31,73,59,41,20,16,16,127,528,168,129,1373,1459,1188,2113,3752,5729,3815,2428,3020,1049,26228
113,74,159,184,371,700,514,107,16,14,85,2253,19,9,36,145,130,295,502,541,134,26,17,88,1935,3,7,18,49,47,132,218,282,91,21,8,39,919,17,6,28,35,42,124,213,299,125,15,12,48,961,12,8,30,26,29,67,107,192,102,31,23,39,666,14,0,33,68,42,104,187,184,59,12,9,60,762,5,10,62,75,35,43,42,25,4,0,3,105,411,229,241,1325,2141,1754,2943,3951,2993,769,155,115,920,17546
