SA4_CODE_2021,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_SDRTHT1S_FH_CF_no_ch,C11_SDRTHT1S_FH_CF_w_ch,C11_SDRTHT1S_FH_One_PFam,C11_SDRTHT1S_FH_oth_fa,C11_SDRTHT1S_FH_Tot,C11_SDRTHT1S_LP_H,C11_SDRTHT1S_GH,C11_SDRTHT1S_OH,C11_SDRTHT1S_Tot,C11_SDRTHT2S_FH_CF_no_ch,C11_SDRTHT2S_FH_CF_w_ch,C11_SDRTHT2S_FH_One_PFam,C11_SDRTHT2S_FH_oth_fa,C11_SDRTHT2S_FH_Tot,C11_SDRTHT2S_LP_H,C11_SDRTHT2S_GH,C11_SDRTHT2S_OH,C11_SDRTHT2S_Tot,C11_SDRTHT_FH_CF_no_ch,C11_SDRTHT_FH_CF_w_ch,C11_SDRTHT_FH_One_PFam,C11_SDRTHT_FH_oth_fa,C11_SDRTHT_FH_Tot,C11_SDRTHT_LP_H,C11_SDRTHT_GH,C11_SDRTHT_OH,C11_SDRTHT_Tot,C11_F_a_1_2_FH_CF_no_ch,C11_F_a_1_2_FH_CF_w_ch,C11_F_a_1_2_FH_One_PFam,C11_F_a_1_2_FH_oth_fa,C11_F_a_1_2_FH_Tot,C11_F_a_1_2_LP_H,C11_F_a_1_2_GH,C11_F_a_1_2_OH,C11_F_a_1_2_Tot,C11_F_a_3_FH_CF_no_ch,C11_F_a_3_FH_CF_w_ch,C11_F_a_3_FH_One_PFam,C11_F_a_3_FH_oth_fa,C11_F_a_3_FH_Tot,C11_F_a_3_LP_H,C11_F_a_3_GH,C11_F_a_3_OH,C11_F_a_3_Tot,C11_F_a_4_8_FH_CF_no_ch,C11_F_a_4_8_FH_CF_w_ch,C11_F_a_4_8_FH_One_PFam,C11_F_a_4_8_FH_oth_fa,C11_F_a_4_8_FH_Tot,C11_F_a_4_8_LP_H,C11_F_a_4_8_GH,C11_F_a_4_8_OH,C11_F_a_4_8_Tot,C11_F_a_9m_FH_CF_no_ch,C11_F_a_9m_FH_CF_w_ch,C11_F_a_9m_FH_One_PFam,C11_F_a_9m_FH_oth_fa,C11_F_a_9m_FH_Tot,C11_F_a_9m_LP_H,C11_F_a_9m_GH,C11_F_a_9m_OH,C11_F_a_9m_Tot,C11_F_a_a_h_FH_CF_no_ch,C11_F_a_a_h_FH_CF_w_ch,C11_F_a_a_h_FH_One_PFam,C11_F_a_a_h_FH_oth_fa,C11_F_a_a_h_FH_Tot,C11_F_a_a_h_LP_H,C11_F_a_a_h_GH,C11_F_a_a_h_OH,C11_F_a_a_h_Tot,C11_F_a_Tot_FH_CF_no_ch,C11_F_a_Tot_FH_CF_w_ch,C11_F_a_Tot_FH_One_PFam,C11_F_a_Tot_FH_oth_fa,C11_F_a_Tot_FH_Tot,C11_F_a_Tot_LP_H,C11_F_a_Tot_GH,C11_F_a_Tot_OH,C11_F_a_Tot_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_Tot_FH_CF_no_ch,C11_OD_Tot_FH_CF_w_ch,C11_OD_Tot_FH_One_PFam,C11_OD_Tot_FH_oth_fa,C11_OD_Tot_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_Tot_Tot,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_Tot,C11_Tot_FH_CF_no_ch,C11_Tot_FH_CF_w_ch,C11_Tot_FH_One_PFam,C11_Tot_FH_oth_fa,C11_Tot_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_Tot_Tot,C16_SH_FH_CF_no_ch,C16_SH_FH_CF_w_ch,C16_SH_FH_One_PFam,C16_SH_FH_oth_fa,C16_SH_FH_Tot,C16_SH_LP_H,C16_SH_GH,C16_SH_OH,C16_SH_Tot,C16_SDRTHT1S_FH_CF_no_ch,C16_SDRTHT1S_FH_CF_w_ch,C16_SDRTHT1S_FH_One_PFam,C16_SDRTHT1S_FH_oth_fa,C16_SDRTHT1S_FH_Tot,C16_SDRTHT1S_LP_H,C16_SDRTHT1S_GH,C16_SDRTHT1S_OH,C16_SDRTHT1S_Tot,C16_SDRTHT2S_FH_CF_no_ch,C16_SDRTHT2S_FH_CF_w_ch,C16_SDRTHT2S_FH_One_PFam,C16_SDRTHT2S_FH_oth_fa,C16_SDRTHT2S_FH_Tot,C16_SDRTHT2S_LP_H,C16_SDRTHT2S_GH,C16_SDRTHT2S_OH,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_FH_CF_no_ch,C16_SDRTHT_Tot_FH_CF_w_ch,C16_SDRTHT_Tot_FH_One_PFam,C16_SDRTHT_Tot_FH_oth_fa,C16_SDRTHT_Tot_FH_Tot,C16_SDRTHT_Tot_LP_H,C16_SDRTHT_Tot_GH,C16_SDRTHT_Tot_OH,C16_SDRTHT_Tot_Tot,C16_F_a_1_2_FH_CF_no_ch,C16_F_a_1_2_FH_CF_w_ch,C16_F_a_1_2_FH_One_PFam,C16_F_a_1_2_FH_oth_fa,C16_F_a_1_2_FH_Tot,C16_F_a_1_2_LP_H,C16_F_a_1_2_GH,C16_F_a_1_2_OH,C16_F_a_1_2_Tot,C16_F_a_3_FH_CF_no_ch,C16_F_a_3_FH_CF_w_ch,C16_F_a_3_FH_One_PFam,C16_F_a_3_FH_oth_fa,C16_F_a_3_FH_Tot,C16_F_a_3_LP_H,C16_F_a_3_GH,C16_F_a_3_OH,C16_F_a_3_Tot,C16_F_a_4_8_FH_CF_no_ch,C16_F_a_4_8_FH_CF_w_ch
101,21657,20920,7016,508,50098,14723,1416,3048,69285,873,422,399,34,1733,2058,141,225,4159,472,239,190,21,913,655,90,200,1862,1341,662,582,53,2642,2714,231,428,6022,668,295,363,44,1365,2451,181,565,4557,177,83,74,15,350,531,50,150,1075,88,43,23,11,166,236,25,84,512,..,..,..,..,..,..,..,..,..,21,6,8,0,41,84,3,28,152,956,426,475,65,1921,3300,251,824,6295,227,59,33,3,328,474,18,695,1510,15,33,7,0,57,40,3,36,138,89,60,20,0,162,100,9,37,317,332,140,66,6,549,617,29,777,1972,37,33,8,0,82,70,6,466,620,24327,22179,8151,631,55289,21423,1931,5541,84190,22680,20769,7092,542,51087,15782,1494,4748,73105,980,453,421,33,1883,2625,142,375,5034,619,323,303,33,1276,1124,104,301,2807,1603,778,717,61,3166,3744,248,681,7836,486,246,295,24,1056,2090,157,854,4158,122,79,35,12,255,391,43,154,834,196,128
102,25451,32272,13034,856,71618,19337,2344,2985,96292,2157,842,1071,78,4142,4411,224,277,9058,1159,890,874,57,2982,1853,235,292,5361,3316,1731,1943,131,7127,6265,461,568,14417,1080,298,498,53,1929,3421,178,307,5834,305,107,175,18,604,672,74,179,1529,428,148,172,11,758,589,116,144,1614,..,..,..,..,..,..,..,..,..,37,10,27,0,76,150,14,22,249,1854,563,867,78,3366,4828,376,654,9226,188,39,99,0,333,787,29,187,1340,0,0,0,0,3,4,0,121,131,29,38,26,4,101,80,10,13,201,216,79,127,6,434,865,38,327,1664,19,20,26,3,61,67,7,29,165,30859,34660,16003,1078,82609,31361,3240,4558,121760,26089,33425,12826,932,73273,19069,2729,3799,98875,2361,674,1061,103,4198,4948,236,583,9964,1270,850,982,45,3145,2250,249,375,6017,3625,1521,2044,148,7347,7197,484,953,15980,1244,470,671,62,2456,3359,248,501,6563,359,149,190,21,716,702,97,160,1680,459,180
103,19786,20551,7456,637,48429,15741,1629,2652,68440,523,243,367,40,1175,1744,155,225,3295,65,43,53,5,162,144,34,35,368,586,284,422,47,1332,1886,186,259,3668,339,94,204,28,669,2101,127,367,3269,13,4,5,0,19,102,12,20,159,3,0,0,0,5,25,0,6,34,..,..,..,..,..,..,..,..,..,9,14,13,4,32,50,6,11,98,371,112,223,33,735,2278,143,406,3561,60,17,18,5,95,268,6,414,786,5,9,0,0,24,32,0,37,89,60,43,15,0,119,112,13,15,255,129,63,37,5,237,409,16,462,1126,26,8,4,0,43,33,4,51,133,20896,21018,8144,717,50775,20352,1977,3828,76932,19669,20137,7805,601,48213,16459,1679,5027,71370,614,267,394,37,1309,2171,184,409,4071,80,44,93,7,235,375,49,90,747,696,316,486,43,1540,2549,234,496,4819,284,114,165,27,594,1641,97,408,2738,10,0,8,0,16,92,3,31,144,10,4
104,13571,12070,5387,332,31356,8663,1144,1279,42446,504,170,291,13,982,1203,90,79,2354,372,188,223,12,795,608,99,92,1598,876,355,512,27,1774,1804,191,174,3947,479,184,401,28,1092,1904,172,296,3465,79,29,31,5,144,161,27,55,391,69,22,20,0,110,122,14,43,286,..,..,..,..,..,..,..,..,..,11,10,11,0,41,70,3,4,121,641,239,465,42,1385,2263,216,395,4260,342,50,80,3,476,781,31,1110,2395,6,5,4,0,21,47,0,32,99,33,20,23,0,76,56,10,13,161,380,82,107,8,577,883,40,1157,2654,5,5,3,0,15,26,0,8,49,15480,12750,6473,405,35112,13642,1592,3014,53354,13736,11552,5286,345,30912,9155,1305,2558,43935,604,248,371,22,1247,1507,96,236,3086,431,242,280,16,966,710,107,178,1968,1037,490,655,31,2215,2224,201,416,5054,473,224,428,36,1148,1755,170,355,3429,76,52,44,6,169,214,32,80,491,84,21
105,10857,10900,5088,461,27301,9824,929,1904,39956,177,76,153,11,425,609,42,91,1159,8,10,13,0,30,16,0,6,56,188,85,172,10,451,627,44,99,1217,286,104,172,36,594,1563,94,216,2470,7,0,0,0,7,11,0,9,21,23,18,15,0,53,31,0,3,91,..,..,..,..,..,..,..,..,..,0,0,0,0,3,11,0,4,24,314,120,186,36,654,1612,98,227,2599,96,19,21,0,135,274,8,883,1305,13,12,5,0,25,44,6,66,139,55,41,18,0,111,93,6,29,240,160,71,39,3,271,410,21,982,1688,17,26,12,0,65,32,4,53,157,11536,11207,5501,510,28755,12506,1088,3263,45617,10406,9983,5165,464,26018,9764,942,3107,39835,228,112,143,19,505,766,58,160,1497,18,8,10,4,42,37,4,38,124,251,120,156,24,548,805,68,199,1618,329,109,112,19,571,1305,69,308,2248,9,0,6,4,19,24,3,9,54,0,0
106,22929,27326,9460,627,60335,15200,1713,2749,79998,958,466,565,40,2029,2020,187,251,4491,453,294,271,14,1034,551,73,137,1793,1415,756,838,55,3065,2567,259,389,6279,597,257,325,24,1203,2025,146,304,3677,38,11,22,0,75,85,10,68,229,53,5,18,0,81,68,3,59,212,..,..,..,..,..,..,..,..,..,18,3,6,0,32,47,0,3,82,712,280,376,24,1392,2220,158,436,4208,197,28,34,5,264,542,26,413,1236,12,10,4,0,20,9,0,31,67,35,30,18,3,94,95,7,42,235,243,65,59,10,381,644,30,477,1534,21,8,3,0,34,26,4,19,85,25312,28441,10731,721,65204,20663,2165,4071,92106,24025,28091,10202,758,63084,15902,1879,4458,85330,1280,498,879,52,2706,3142,188,615,6660,659,361,413,17,1451,1115,127,223,2921,1939,861,1289,69,4160,4260,317,845,9584,247,99,189,23,557,1283,70,251,2158,67,14,24,0,103,108,6,47,263,117,20
107,20698,30270,9393,726,61082,12874,1622,1722,77300,1315,656,834,68,2867,2536,180,174,5760,1302,1043,1062,85,3488,1978,352,216,6037,2615,1701,1893,145,6360,4516,539,391,11799,1167,539,747,94,2549,3893,534,419,7393,637,246,278,53,1210,1553,371,271,3405,947,282,172,43,1447,1265,387,380,3477,..,..,..,..,..,..,..,..,..,35,18,21,0,69,106,22,14,212,2788,1078,1215,191,5275,6819,1317,1076,14486,222,21,57,8,311,487,20,156,981,0,0,0,0,0,6,0,94,96,48,62,49,3,150,132,29,26,342,265,81,105,13,469,628,52,273,1423,15,3,8,0,27,22,6,6,59,26380,33137,12623,1075,73210,24860,3527,3469,105065,20851,30758,9531,743,61888,12654,1815,2637,78993,1326,620,826,77,2846,2821,241,300,6209,1694,1374,1190,84,4341,2679,425,388,7828,3023,1991,2014,158,7182,5499,659,686,14031,1232,715,806,92,2853,3468,506,553,7382,621,298,251,44,1213,1462,394,444,3510,1327,419
108,22855,17073,8006,534,48472,14567,1579,2137,66753,1549,403,629,37,2614,2744,140,193,5692,408,162,186,16,763,656,60,83,1565,1958,565,810,50,3384,3398,205,275,7261,671,168,502,36,1376,2765,171,393,4709,173,53,114,9,346,482,60,139,1019,358,62,103,11,534,509,60,288,1393,..,..,..,..,..,..,..,..,..,14,13,9,4,43,59,0,5,107,1221,298,732,59,2304,3814,290,827,7232,415,48,67,13,535,820,40,899,2301,14,9,7,0,36,30,0,60,125,117,42,33,7,199,186,6,20,411,538,101,114,14,771,1032,51,982,2837,15,13,7,0,35,16,3,13,65,26588,18048,9672,655,54963,22833,2123,4233,84155,23436,16938,8204,583,49161,15320,1839,3881,70200,1728,342,655,51,2785,3497,217,415,6914,435,168,261,13,879,602,61,138,1674,2166,513,914,67,3658,4098,275,553,8587,633,187,466,37,1323,2578,171,433,4508,190,48,121,7,374,546,54,201,1172,443,77
109,11712,10964,3867,295,26835,8519,992,1384,37734,304,78,109,19,515,905,73,80,1578,31,25,17,0,73,49,14,15,154,339,100,127,21,588,955,97,95,1732,665,249,332,33,1275,2620,218,328,4433,13,4,6,0,21,70,10,13,118,4,3,0,0,8,18,0,7,32,..,..,..,..,..,..,..,..,..,5,4,0,0,7,13,0,6,23,690,252,338,33,1316,2719,233,347,4611,103,17,10,0,129,232,7,420,795,0,3,3,0,8,10,0,22,41,52,30,10,0,86,53,3,13,162,152,47,22,0,229,299,17,457,1001,18,14,4,0,41,7,6,17,66,12910,11385,4362,350,29008,12500,1336,2298,45136,12008,10830,3962,288,27087,9420,1013,2770,40289,569,262,309,27,1172,2198,184,341,3896,77,30,37,4,149,253,31,97,532,647,293,343,36,1321,2450,218,441,4423,221,75,106,13,417,945,70,287,1712,9,7,0,0,18,37,0,20,76,8,0
110,18133,17501,7130,600,43371,13791,1494,2226,60883,322,138,167,21,653,987,66,137,1835,58,45,22,0,132,174,19,36,358,379,182,186,29,781,1159,79,173,2194,544,234,380,54,1223,2730,241,430,4620,8,10,8,0,26,50,5,16,94,3,6,6,0,10,12,0,7,31,..,..,..,..,..,..,..,..,..,7,3,8,0,15,49,0,8,75,568,250,398,61,1273,2839,255,452,4817,95,35,20,3,150,307,11,568,1035,12,6,5,3,30,44,0,16,86,56,42,26,0,123,72,10,20,231,160,83,52,3,307,419,20,608,1350,27,19,6,0,53,34,8,14,106,19275,18041,7777,693,45782,18244,1857,3474,69356,17930,16571,7213,633,42344,14600,1707,4539,63198,492,278,289,37,1091,1773,162,321,3347,95,37,57,5,199,350,42,73,658,579,319,341,43,1290,2122,201,389,4002,277,130,220,26,648,1688,97,418,2852,12,8,5,0,30,54,4,3,96,10,3
