SA4_CODE_2021,C21_SH_Tot_NPGH_6_mor,C21_SH_Tot_Tot,C21_SDRTHT_0b_s_a_b_NPGH_2,C21_SDRTHT_0b_s_a_b_NPGH_3,C21_SDRTHT_0b_s_a_b_NPGH_4,C21_SDRTHT_0b_s_a_b_NPGH_5,C21_SDRTHT_0b_s_a_b_NPGH_6mor,C21_SDRTHT_0b_s_a_b_Tot,C21_SDRTHT_1b_NPGH_2,C21_SDRTHT_1b_NPGH_3,C21_SDRTHT_1b_NPGH_4,C21_SDRTHT_1b_NPGH_5,C21_SDRTHT_1b_NPGH_6_mor,C21_SDRTHT_1b_Tot,C21_SDRTHT_2b_NPGH_2,C21_SDRTHT_2b_NPGH_3,C21_SDRTHT_2b_NPGH_4,C21_SDRTHT_2b_NPGH_5,C21_SDRTHT_2b_NPGH_6_mor,C21_SDRTHT_2b_Tot,C21_SDRTHT_3b_NPGH_2,C21_SDRTHT_3b_NPGH_3,C21_SDRTHT_3b_NPGH_4,C21_SDRTHT_3b_NPGH_5,C21_SDRTHT_3b_NPGH_6_mor,C21_SDRTHT_3b_Tot,C21_SDRTHT_4mb_NPGH_2,C21_SDRTHT_4mb_NPGH_3,C21_SDRTHT_4mb_NPGH_4,C21_SDRTHT_4mb_NPGH_5,C21_SDRTHT_4mb_NPGH_6_mor,C21_SDRTHT_4mb_Tot,C21_SDRTHT_NB_NS_NPGH_2,C21_SDRTHT_NB_NS_NPGH_3,C21_SDRTHT_NB_NS_NPGH_4,C21_SDRTHT_NB_NS_NPGH_5,C21_SDRTHT_NB_NS_NPGH_6_mor,C21_SDRTHT_NB_NS_Tot,C21_SDRTHT_Tot_NPGH_2,C21_SDRTHT_Tot_NPGH_3,C21_SDRTHT_Tot_NPGH_4,C21_SDRTHT_Tot_NPGH_5,C21_SDRTHT_Tot_NPGH_6_mor,C21_SDRTHT_Tot_Tot,C21_F_a_0b_s_a_b_NPGH_2,C21_F_a_0b_s_a_b_NPGH_3,C21_F_a_0b_s_a_b_NPGH_4,C21_F_a_0b_s_a_b_NPGH_5,C21_F_a_0b_s_a_b_NPGH_6_mor,C21_F_a_0b_s_a_b_Tot,C21_F_a_1b_NPGH_2,C21_F_a_1b_NPGH_3,C21_F_a_1b_NPGH_4,C21_F_a_1b_NPGH_5,C21_F_a_1b_NPGH_6_mor,C21_F_a_1b_Tot,C21_F_a_2b_NPGH_2,C21_F_a_2b_NPGH_3,C21_F_a_2b_NPGH_4,C21_F_a_2b_NPGH_5,C21_F_a_2b_NPGH_6_mor,C21_F_a_2b_Tot,C21_F_a_3b_NPGH_2,C21_F_a_3b_NPGH_3,C21_F_a_3b_NPGH_4,C21_F_a_3b_NPGH_5,C21_F_a_3b_NPGH_6_mor,C21_F_a_3b_Tot,C21_F_a_4mb_NPGH_2,C21_F_a_4mb_NPGH_3,C21_F_a_4mb_NPGH_4,C21_F_a_4mb_NPGH_5,C21_F_a_4mb_NPGH_6_mor,C21_F_a_4mb_Tot,C21_F_a_NB_NS_NPGH_2,C21_F_a_NB_NS_NPGH_3,C21_F_a_NB_NS_NPGH_4,C21_F_a_NB_NS_NPGH_5,C21_F_a_NB_NS_NPGH_6_mor,C21_F_a_NB_NS_Tot,C21_F_a_Tot_NPGH_2,C21_F_a_Tot_NPGH_3,C21_F_a_Tot_NPGH_4,C21_F_a_Tot_NPGH_5,C21_F_a_Tot_NPGH_6_mor,C21_F_a_Tot_Tot,C21_OD_0b_s_a_b_NPGH_2,C21_OD_0b_s_a_b_NPGH_3,C21_OD_0b_s_a_b_NPGH_4,C21_OD_0b_s_a_b_NPGH_5,C21_OD_0b_s_a_b_NPGH_6_mor,C21_OD_0b_s_a_b_Tot,C21_OD_1b_NPGH_2,C21_OD_1b_NPGH_3,C21_OD_1b_NPGH_4,C21_OD_1b_NPGH_5,C21_OD_1b_NPGH_6_mor,C21_OD_1b_Tot,C21_OD_2b_NPGH_2,C21_OD_2b_NPGH_3,C21_OD_2b_NPGH_4,C21_OD_2b_NPGH_5,C21_OD_2b_NPGH_6_mor,C21_OD_2b_Tot,C21_OD_3b_NPGH_2,C21_OD_3b_NPGH_3,C21_OD_3b_NPGH_4,C21_OD_3b_NPGH_5,C21_OD_3b_NPGH_6_mor,C21_OD_3b_Tot,C21_OD_4mb_NPGH_2,C21_OD_4mb_NPGH_3,C21_OD_4mb_NPGH_4,C21_OD_4mb_NPGH_5,C21_OD_4mb_NPGH_6_mor,C21_OD_4mb_Tot,C21_OD_NB_NS_NPGH_2,C21_OD_NB_NS_NPGH_3,C21_OD_NB_NS_NPGH_4,C21_OD_NB_NS_NPGH_5,C21_OD_NB_NS_NPGH_6_mor,C21_OD_NB_NS_Tot,C21_OD_Tot_NPGH_2,C21_OD_Tot_NPGH_3,C21_OD_Tot_NPGH_4,C21_OD_Tot_NPGH_5,C21_OD_Tot_NPGH_6_mor,C21_OD_Tot_Tot,C21_DS_NS_NPGH_2,C21_DS_NS_NPGH_3,C21_DS_NS_NPGH_4,C21_DS_NS_NPGH_5,C21_DS_NS_NPGH_6_mor,C21_DS_NS_Tot,C21_Tot_NPGH_2,C21_Tot_NPGH_3,C21_Tot_NPGH_4,C21_Tot_NPGH_5,C21_Tot_NPGH_6_mor,C21_Tot_Tot
101,18,1662,0,0,0,0,0,0,8,0,0,0,0,8,118,3,0,0,0,123,84,18,16,0,0,119,9,9,0,0,0,18,3,0,0,0,0,3,213,36,13,0,3,268,4,0,0,0,0,4,29,0,0,0,0,30,165,23,8,0,0,198,35,13,6,3,0,54,7,4,7,0,0,12,3,0,0,0,0,9,241,38,15,4,0,303,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,21,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,29,0,5,0,0,34,9,3,4,0,0,17,1871,261,100,18,29,2284
102,19,2816,3,0,0,0,0,3,8,0,0,0,0,8,167,6,0,0,0,177,208,34,7,0,0,248,17,10,6,0,0,27,11,0,0,0,0,11,416,49,9,0,0,472,0,0,0,0,0,0,10,0,0,0,0,10,285,14,5,0,0,305,93,53,4,0,0,155,15,4,0,0,0,13,12,4,0,0,0,17,412,78,8,0,0,498,0,0,0,0,0,0,5,0,0,0,0,5,25,0,0,0,0,25,12,4,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,6,49,3,0,0,0,50,9,0,0,0,0,5,3184,468,147,38,19,3845
103,8,1805,0,0,0,0,0,0,14,0,0,0,0,7,80,4,0,0,0,89,48,27,0,0,0,80,4,5,0,0,0,17,10,0,0,0,0,10,157,45,4,0,0,209,0,0,0,0,0,0,11,0,0,0,0,11,47,3,0,0,0,54,12,5,0,0,0,17,0,0,4,0,0,11,0,0,0,0,0,0,76,10,5,0,0,99,0,0,0,0,0,0,4,0,0,0,0,4,3,4,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,3,3,0,0,0,0,3,22,6,0,0,0,22,7,3,0,0,0,10,1721,303,80,30,6,2146
104,17,1484,0,0,0,0,0,0,10,0,0,0,0,7,100,6,0,0,0,103,68,22,0,0,0,97,4,5,3,0,0,14,3,0,0,0,0,3,186,29,6,0,0,228,0,0,0,0,0,0,18,0,0,0,0,20,101,9,4,0,0,112,28,8,0,0,0,43,7,0,0,0,0,7,6,0,0,0,0,5,161,20,7,3,0,185,4,0,0,0,0,8,0,0,0,0,0,4,11,0,0,0,0,11,10,0,0,0,0,10,0,0,0,0,3,6,0,0,0,0,3,3,28,0,3,0,3,37,7,0,0,0,0,7,1623,215,67,19,26,1943
105,11,1029,0,0,0,0,0,0,4,0,0,0,0,4,27,3,0,0,0,27,14,6,0,0,0,23,0,7,0,0,0,4,0,0,0,0,0,0,45,16,0,0,0,61,0,0,0,0,0,4,4,0,0,0,0,4,30,6,0,0,0,36,12,0,0,0,0,11,0,0,0,0,0,5,4,0,0,0,0,3,47,3,8,0,0,61,0,0,0,0,0,0,3,0,0,0,0,3,13,0,0,0,0,13,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,24,0,0,0,0,19,13,0,0,4,0,17,965,157,41,18,13,1193
106,14,2131,0,0,0,0,0,0,7,0,0,0,0,7,150,4,0,0,0,155,106,21,3,3,0,131,17,3,4,0,0,24,7,0,0,0,0,7,281,28,7,3,0,320,0,0,0,0,0,0,8,0,0,0,0,8,59,3,0,0,0,63,17,0,0,0,0,16,3,5,0,0,0,7,4,0,0,0,0,4,89,6,4,0,0,96,6,0,0,0,0,6,4,0,0,0,0,6,22,3,0,0,0,27,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,41,4,0,0,0,51,17,0,0,0,0,13,2196,295,72,29,16,2612
107,63,2220,0,0,0,0,0,0,13,0,0,0,0,13,188,5,0,0,0,191,209,136,22,0,0,376,6,19,29,7,0,63,9,0,0,0,0,7,421,168,53,6,0,654,0,0,0,0,0,3,46,0,0,0,0,43,865,64,5,0,0,931,116,240,28,8,0,385,6,6,15,9,0,40,14,4,0,0,0,20,1045,309,44,11,5,1418,0,0,0,0,0,0,4,0,0,0,0,4,22,4,0,0,0,24,3,7,0,0,0,6,0,0,5,0,0,12,0,0,0,0,0,0,34,6,5,0,0,48,0,5,0,0,0,9,2829,942,394,122,67,4347
108,15,2037,0,0,0,0,0,0,8,0,0,0,0,8,125,9,0,0,0,139,102,32,4,0,0,134,14,4,0,0,0,20,6,0,0,0,4,12,253,46,7,3,4,305,5,0,0,0,0,5,8,0,0,0,0,8,193,12,5,0,0,212,35,12,3,0,0,50,5,0,0,0,0,7,6,0,0,0,0,10,262,26,3,0,3,295,0,0,0,0,0,0,17,0,0,0,0,17,20,0,0,0,0,19,3,4,0,0,0,11,0,0,0,0,0,0,10,0,0,0,0,10,49,4,0,0,0,53,11,0,0,0,0,14,2309,277,74,32,20,2714
109,9,1095,0,0,0,0,0,0,13,0,0,0,0,13,141,10,0,0,0,154,35,9,3,0,0,46,3,0,0,0,0,6,10,0,0,0,0,8,199,20,4,0,0,229,0,0,0,0,0,0,3,0,0,0,0,3,23,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,7,0,4,0,0,12,1094,174,63,20,8,1362
110,16,1811,0,0,0,0,0,0,14,0,0,0,0,14,133,10,4,0,0,147,39,6,0,0,0,45,0,0,0,0,0,3,3,5,0,0,0,6,190,22,0,0,0,217,0,0,0,0,0,0,8,0,0,0,0,8,28,0,0,0,0,29,12,0,0,0,0,13,0,4,0,0,0,3,0,0,0,0,0,0,40,7,0,0,0,53,0,0,0,0,0,0,8,0,0,0,0,9,3,0,0,0,0,3,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,17,3,0,0,0,27,13,0,0,0,0,19,1685,270,110,33,18,2114
