SA4_CODE_2021,C16_CF_1P1NW_150_399,C16_CF_1P1NW_400_649,C16_CF_1P1NW_650_799,C16_CF_1P1NW_800_1249,C16_CF_1P1NW_1250_1999,C16_CF_1P1NW_2000_2499,C16_CF_1P1NW_2500_2999,C16_CF_1P1NW_3000_3999,C16_CF_1P1NW_4000more,C16_CF_1P1NW_Ns,C16_CF_1P1NW_Tot,C16_CF_1A1NW_Neg_ni_inc,C16_CF_1A1NW_1_149,C16_CF_1A1NW_150_399,C16_CF_1A1NW_400_649,C16_CF_1A1NW_650_799,C16_CF_1A1NW_800_1249,C16_CF_1A1NW_1250_1999,C16_CF_1A1NW_2000_2499,C16_CF_1A1NW_2500_2999,C16_CF_1A1NW_3000_3999,C16_CF_1A1NW_4000more,C16_CF_1A1NW_Ns,C16_CF_1A1NW_Tot,C16_CF_BA_Neg_ni_inc,C16_CF_BA_1_149,C16_CF_BA_150_399,C16_CF_BA_400_649,C16_CF_BA_650_799,C16_CF_BA_800_1249,C16_CF_BA_1250_1999,C16_CF_BA_2000_2499,C16_CF_BA_2500_2999,C16_CF_BA_3000_3999,C16_CF_BA_4000more,C16_CF_BA_Ns,C16_CF_BA_Tot,C16_CF_BNW_Neg_ni_inc,C16_CF_BNW_1_149,C16_CF_BNW_150_399,C16_CF_BNW_400_649,C16_CF_BNW_650_799,C16_CF_BNW_800_1249,C16_CF_BNW_1250_1999,C16_CF_BNW_2000_2499,C16_CF_BNW_2500_2999,C16_CF_BNW_3000_3999,C16_CF_BNW_4000more,C16_CF_BNW_Ns,C16_CF_BNW_Tot,C16_CF_LFns_Neg_ni_inc,C16_CF_LFns_1_149,C16_CF_LFns_150_399,C16_CF_LFns_400_649,C16_CF_LFns_650_799,C16_CF_LFns_800_1249,C16_CF_LFns_1250_1999,C16_CF_LFns_2000_2499,C16_CF_LFns_2500_2999,C16_CF_LFns_3000_3999,C16_CF_LFns_4000more,C16_CF_LFns_Ns,C16_CF_LFns_Tot,C16_C_f_c_Tot_Fi_Neg_ni_inc,C16_C_f_c_Tot_Fi_1_149,C16_C_f_c_Tot_Fi_150_399,C16_C_f_c_Tot_Fi_400_649,C16_CF_c_Tot_Fi_650_799,C16_CF_c_Tot_Fi_800_1249,C16_CF_c_Tot_Fi_1250_1999,C16_CF_c_Tot_Fi_2000_2499,C16_CF_c_Tot_Fi_2500_2999,C16_CF_c_Tot_Fi_3000_3999,C16_CF_c_Tot_Fi_4000more,C16_C_f_with_c_TotFI_Ns,C16_C_f_with_c_Tot_Tot,C16_1PF_F_Neg_ni_inc,C16_1PF_F_1_149,C16_1PF_F_150_399,C16_1PF_F_400_649,C16_1PF_F_650_799,C16_1PF_F_800_1249,C16_1PF_F_1250_1999,C16_1PF_F_2000_2499,C16_1PF_F_2500_2999,C16_1PF_F_3000_3999,C16_1PF_F_4000more,C16_1PF_F_Ns,C16_1PF_F_Tot,C16_1PF_P_Neg_ni_inc,C16_1PF_P_1_149,C16_1PF_P_150_399,C16_1PF_P_400_649,C16_1PF_P_650_799,C16_1PF_P_800_1249,C16_1PF_P_1250_1999,C16_1PF_P_2000_2499,C16_1PF_P_2500_2999,C16_1PF_P_3000_3999,C16_1PF_P_4000more,C16_1PF_P_Ns,C16_1PF_P_Tot,C16_1PF_A_Neg_ni_inc,C16_1PF_A_1_149,C16_1PF_A_150_399,C16_1PF_A_400_649,C16_1PF_A_650_799,C16_1PF_A_800_1249,C16_1PF_A_1250_1999,C16_1PF_A_2000_2499,C16_1PF_A_2500_2999,C16_1PF_A_3000_3999,C16_1PF_A_4000more,C16_1PF_A_Ns,C16_1PF_A_Tot,C16_1PF_U_Neg_ni_inc,C16_1PF_U_1_149,C16_1PF_U_150_399,C16_1PF_U_400_649,C16_1PF_U_650_799,C16_1PF_U_800_1249,C16_1PF_U_1250_1999,C16_1PF_U_2000_2499,C16_1PF_U_2500_2999,C16_1PF_U_3000_3999,C16_1PF_U_4000more,C16_1PF_U_Ns,C16_1PF_U_Tot,C16_1PF_N_lf_Fi_Neg_ni_inc,C16_1PF_N_lf_Fi_1_149,C16_1PF_N_lf_Fi_150_399,C16_1PF_N_lf_Fi_400_649,C16_1PF_N_lf_Fi_650_799,C16_1PF_N_lf_Fi_800_1249,C16_1PF_N_lf_Fi_1250_1999,C16_1PF_N_lf_Fi_2000_2499,C16_1PF_N_lf_Fi_2500_2999,C16_1PF_N_lf_Fi_3000_3999,C16_1PF_N_lf_Fi_4000more,C16_1PF_N_lf_Fi_Ns,C16_1PF_N_the_lf_Tot,C16_1PF_LFns_Neg_ni_inc,C16_1PF_LFns_1_149,C16_1PF_LFns_150_399,C16_1PF_LFns_400_649,C16_1PF_Lfns_Fi_650_799,C16_1PF_LFns_800_1249,C16_1PF_LFns_1250_1999,C16_1PF_LFns_2000_2499,C16_1PF_LFns_2500_2999,C16_1PF_Lfns_Fi_3000_3999,C16_1PF_LFns_4000more,C16_1PF_LFns_Ns,C16_1PF_LFns_Tot,C16_1PF_TotFI_Neg_ni_inc,C16_1PF_TotFI_1_149,C16_1PF_TotFI_150_399,C16_1PF_TotFI_400_649,C16_1PF_TotFI_650_799,C16_1PF_TotFI_800_1249,C16_1PF_TotFI_1250_1999,C16_1PF_TotFI_2000_2499,C16_1PF_TotFI_2500_2999,C16_1PF_TotFI_3000_3999,C16_1PF_TotFI_4000more,C16_One_par_f_TotFI_Ns,C16_One_parent_f_Tot_Tot,C16_TotFI_Neg_ni_inc,C16_TotFI_1_149,C16_TotFI_150_399,C16_TotFI_400_649,C16_TotFI_650_799,C16_TotFI_800_1249,C16_TotFI_1250_1999,C16_TotFI_2000_2499,C16_TotFI_2500_2999,C16_TotFI_3000_3999,C16_TotFI_4000more,C16_TotFI_Ns,C16_Tot_Tot,C21_CFNC_BF_Neg_ni_inc,C21_CFNC_BF_1_149,C21_CFNC_BF_150_399,C21_CFNC_BF_400_649,C21_CFNC_BF_650_799,C21_CFNC_BF_800_1249,C21_CFNC_BF_1250_1999,C21_CFNC_BF_2000_2499,C21_CFNC_BF_2500_2999,C21_CFNC_BF_3000_3999,C21_CFNC_BF_4000more,C21_CFNC_BF_Ns,C21_CFNC_BF_Tot,C21_CFNC_BPT_Neg_ni_inc,C21_CFNC_BPT_1_149,C21_CFNC_BPT_150_399,C21_CFNC_BPT_400_649,C21_CFNC_BPT_650_799,C21_CFNC_BPT_800_1249,C21_CFNC_BPT_1250_1999
101,18,82,95,268,257,82,50,44,30,108,1031,3,4,0,12,14,46,71,33,15,18,11,33,263,0,0,0,3,0,25,42,39,35,30,34,51,261,43,13,42,165,145,420,332,116,58,46,41,203,1624,0,0,0,0,5,12,18,8,3,4,5,1325,1388,71,37,94,393,428,2180,4830,3137,2415,2954,2636,3256,22416,5,7,20,94,134,523,768,357,126,104,44,306,2496,5,14,140,469,295,478,296,56,23,25,20,193,2028,3,3,15,33,26,42,57,23,3,8,5,47,268,18,7,87,144,51,40,26,6,0,4,0,44,424,79,37,341,692,426,715,386,82,47,34,22,406,3255,0,0,8,7,8,9,8,3,0,0,3,71,114,116,66,612,1447,944,1812,1533,524,201,174,94,1066,8589,435,309,999,3706,5025,9001,11773,6324,4208,4754,3992,6669,57201,18,7,9,21,37,154,641,1011,922,1406,1356,58,5637,5,12,10,48,43,295,561
102,37,105,118,466,522,175,78,81,52,187,1827,3,0,4,12,15,83,142,65,21,37,13,78,474,3,7,0,0,0,15,63,55,42,53,33,79,338,53,25,56,219,210,685,784,241,136,94,51,374,2937,0,0,3,7,3,24,25,10,4,11,4,1821,1908,83,60,125,465,578,3266,8665,5979,4428,4642,3225,4793,36311,10,6,25,122,224,977,1502,601,232,197,52,570,4520,5,23,190,779,521,1118,683,165,51,44,25,385,3984,0,4,17,72,38,96,85,25,9,11,3,70,439,34,9,161,291,117,140,63,12,7,9,4,104,956,186,70,533,1472,893,1608,913,217,77,50,42,721,6784,6,0,0,7,6,17,15,4,4,0,0,127,182,232,112,928,2746,1801,3964,3260,1021,388,309,122,1981,16864,759,411,1395,5503,7913,13620,18779,10491,6883,6769,4541,9618,86673,0,0,0,7,6,51,459,1070,932,1377,1247,37,5194,4,11,10,35,42,206,589
103,19,71,87,263,209,69,31,22,11,88,871,4,0,4,12,13,68,59,28,7,14,18,37,270,3,5,0,3,12,29,43,34,36,20,14,36,231,40,12,45,196,197,457,323,68,40,30,16,220,1640,0,0,0,0,3,11,23,11,3,4,4,1139,1203,69,30,113,418,489,2260,4865,3188,2344,2472,1711,3010,20981,4,6,26,96,165,565,673,277,79,74,26,279,2269,0,17,138,487,279,442,238,57,7,11,3,161,1839,0,0,20,36,24,47,38,19,0,5,0,39,226,16,13,131,206,66,57,21,0,0,5,0,64,579,79,41,413,914,594,797,388,79,31,22,11,448,3823,0,3,5,8,9,17,4,6,0,0,0,95,146,98,83,733,1741,1142,1926,1362,434,122,116,41,1088,8878,435,318,1098,3788,4841,8113,10681,5886,3730,3763,2609,6088,51352,30,8,4,33,50,149,627,997,886,1095,835,67,4773,12,6,8,35,53,211,374
104,15,75,83,244,252,47,28,19,10,91,858,0,0,4,8,6,42,46,15,7,8,0,31,165,0,0,0,0,0,8,24,14,10,16,5,21,100,35,20,36,136,146,391,322,68,30,23,18,178,1392,3,0,4,8,0,12,10,3,7,3,0,714,758,54,31,67,312,407,1814,3493,1815,1157,1112,582,1807,12655,0,4,16,82,121,410,458,136,41,28,10,181,1484,3,12,93,385,289,446,215,42,6,9,6,168,1677,0,0,3,35,19,33,28,7,7,5,0,26,155,13,8,80,163,49,67,13,0,0,0,0,49,439,61,32,269,693,447,720,292,58,18,14,15,332,2961,0,0,0,9,3,4,7,0,0,0,0,53,88,83,54,466,1356,926,1685,1017,247,72,56,35,814,6805,305,198,712,3151,4429,7047,7954,3413,1955,1684,976,4003,35829,11,8,0,7,16,77,407,579,417,473,320,24,2340,0,4,4,30,43,229,363
105,9,33,37,138,98,25,10,13,9,47,425,0,0,0,6,5,29,47,13,5,4,5,21,135,0,0,0,0,5,8,21,21,10,14,11,28,112,10,11,17,124,124,257,180,33,16,10,8,149,935,0,0,0,3,0,8,15,0,3,0,0,736,765,35,26,53,254,284,1217,2423,1416,1118,1090,653,1885,10459,3,4,10,58,102,347,402,160,45,51,13,189,1379,4,0,70,281,160,314,124,26,12,5,3,108,1106,0,0,6,34,18,36,31,4,4,0,5,28,169,9,16,91,129,47,57,18,0,3,3,0,47,430,53,29,288,665,343,519,223,61,17,14,13,350,2574,0,0,4,9,0,9,3,0,0,0,0,99,127,69,50,474,1174,683,1282,799,253,75,77,31,822,5786,255,164,658,2301,2757,4463,5524,2905,1913,1786,1114,3937,27783,43,7,5,27,32,108,409,626,481,589,409,46,2788,0,9,0,8,26,79,188
106,30,95,101,363,391,130,54,39,34,147,1405,0,0,6,13,17,78,100,67,30,36,16,51,408,0,0,0,0,4,14,53,39,34,45,45,61,297,40,11,56,200,269,692,581,174,93,74,38,276,2507,0,0,0,5,3,14,16,19,5,5,0,1692,1755,77,24,123,435,563,2766,6859,4739,3599,3532,2725,4022,29471,5,0,22,100,183,765,988,386,131,112,44,330,3056,10,19,176,617,482,715,382,73,21,13,10,272,2787,5,6,9,62,50,66,64,24,5,9,0,50,351,37,17,151,316,122,100,42,6,0,3,0,74,865,128,49,533,1243,737,1152,598,93,49,37,16,531,5159,5,0,4,5,5,13,4,5,0,0,0,81,128,185,94,898,2337,1572,2807,2082,586,215,171,77,1331,12349,571,345,1303,4852,6405,10698,14632,8384,5543,5218,3827,7726,69513,15,8,0,21,23,69,602,1294,1057,1468,1002,52,5597,5,8,7,41,63,240,487
107,24,125,149,412,441,175,113,107,56,153,1778,5,0,5,13,14,80,91,50,29,42,24,65,420,4,0,0,0,0,6,50,32,48,54,37,51,287,78,20,70,318,267,773,898,292,138,123,71,395,3456,3,0,3,3,0,16,17,10,8,0,0,1677,1738,111,42,132,586,642,2840,7357,5463,4416,4922,3963,4277,34746,9,8,15,92,180,743,1195,525,210,162,89,426,3648,6,16,129,584,457,837,505,153,49,36,13,266,3056,3,4,17,38,36,60,68,28,7,11,3,57,330,23,17,133,246,53,95,58,5,0,5,0,82,719,138,61,500,1204,757,1262,777,195,94,49,40,614,5686,0,0,5,10,7,15,9,0,0,0,0,74,122,181,105,796,2179,1503,3006,2607,905,366,258,145,1520,13579,708,422,1249,4917,6711,10932,15439,9367,6711,7026,5291,8183,76958,3,0,0,9,7,26,337,818,970,1596,1289,18,5066,3,9,0,15,20,187,427
108,20,113,114,448,350,81,32,16,12,111,1306,0,0,3,7,18,74,88,23,8,4,8,37,277,0,0,0,4,0,25,41,27,28,14,9,33,185,34,16,45,201,277,695,528,125,45,22,20,290,2299,4,0,0,4,4,23,18,8,4,5,3,974,1048,63,32,83,445,606,2778,5035,2590,1676,1375,822,2582,18089,5,0,23,71,143,580,631,166,55,42,17,283,2023,10,21,149,561,400,624,336,41,10,9,4,249,2422,5,0,20,48,28,43,41,10,0,4,0,53,248,20,16,117,244,68,87,29,3,0,4,4,67,657,76,40,471,1180,724,1192,466,95,31,30,18,553,4883,0,0,12,14,9,14,5,0,6,3,0,92,150,110,78,784,2121,1365,2550,1500,318,102,95,48,1308,10373,506,371,1204,5190,8102,11551,11994,4869,2821,2243,1489,6352,56692,14,10,3,27,36,133,583,856,550,629,470,39,3343,4,6,6,46,81,320,612
109,9,57,37,142,136,40,8,11,8,53,511,0,0,0,6,10,25,35,14,4,3,3,22,125,0,0,0,0,0,11,27,21,11,21,10,19,116,27,9,11,94,87,216,167,33,26,11,7,84,769,0,0,0,4,0,9,15,10,8,4,0,660,700,47,20,44,249,267,1333,2953,1788,1185,1136,674,1657,11357,0,3,9,45,87,313,339,120,40,30,19,144,1151,0,9,92,273,161,277,139,24,12,10,6,109,1110,4,0,5,21,15,34,31,7,3,4,0,25,156,8,11,60,107,30,38,17,0,0,4,0,24,290,36,21,198,457,242,376,187,25,14,8,7,206,1782,0,0,0,5,4,0,5,0,0,0,0,40,63,47,46,362,909,541,1048,707,184,72,55,28,552,4547,262,188,552,2137,2826,4933,6550,3343,2029,1743,1108,3552,29233,17,7,0,15,18,92,434,672,514,544,354,49,2715,7,9,3,23,26,123,249
110,14,74,63,246,177,55,12,12,7,69,736,0,0,3,13,9,48,61,15,14,6,0,29,196,0,0,4,3,0,14,43,23,18,26,7,55,194,35,23,40,200,190,374,295,71,32,23,18,189,1488,3,0,3,0,3,14,19,9,0,0,6,1041,1100,84,59,86,427,455,2154,4476,2559,1664,1646,1045,2715,17364,6,4,22,91,150,532,598,168,68,36,20,277,1980,0,11,126,420,271,430,221,43,16,12,3,144,1694,3,0,12,45,33,44,36,4,0,5,6,33,227,17,20,123,223,63,45,28,0,0,0,0,69,584,79,45,457,870,532,772,376,55,22,20,22,416,3668,0,0,5,5,3,11,8,0,0,0,0,97,127,103,82,749,1649,1051,1836,1258,275,107,78,46,1031,8281,440,268,1050,3638,4568,7613,9910,4876,2857,2622,1757,5620,45226,68,12,13,33,44,183,791,1078,740,855,653,65,4540,11,4,6,40,61,204,357
