SA4_CODE_2021,C16_25_34_Need_asst_ns_P,C16_25_34_Tot_M,C16_25_34_Tot_F,C16_25_34_Tot_P,C16_35_44_Need_asst_M,C16_35_44_Need_asst_F,C16_35_44_Need_asst_P,C16_35_44_No_need_asst_M,C16_35_44_No_need_asst_F,C16_35_44_No_need_asst_P,C16_35_44_Need_asst_ns_M,C16_35_44_Need_asst_ns_F,C16_35_44_Need_asst_ns_P,C16_35_44_Tot_M,C16_35_44_Tot_F,C16_35_44_Tot_P,C16_45_54_Need_asst_M,C16_45_54_Need_asst_F,C16_45_54_Need_asst_P,C16_45_54_No_need_asst_M,C16_45_54_No_need_asst_F,C16_45_54_No_need_asst_P,C16_45_54_Need_asst_ns_M,C16_45_54_Need_asst_ns_F,C16_45_54_Need_asst_ns_P,C16_45_54_Tot_M,C16_45_54_Tot_F,C16_45_54_Tot_P,C16_55_64_Need_asst_M,C16_55_64_Need_asst_F,C16_55_64_Need_asst_P,C16_55_64_No_need_asst_M,C16_55_64_No_need_asst_F,C16_55_64_No_need_asst_P,C16_55_64_Need_asst_ns_M,C16_55_64_Need_asst_ns_F,C16_55_64_Need_asst_ns_P,C16_55_64_Tot_M,C16_55_64_Tot_F,C16_55_64_Tot_P,C16_65_74_Need_asst_M,C16_65_74_Need_asst_F,C16_65_74_Need_asst_P,C16_65_74_No_need_asst_M,C16_65_74_No_need_asst_F,C16_65_74_No_need_asst_P,C16_65_74_Need_asst_ns_M,C16_65_74_Need_asst_ns_F,C16_65_74_Need_asst_ns_P,C16_65_74_Tot_M,C16_65_74_Tot_F,C16_65_74_Tot_P,C16_75_84_Need_asst_M,C16_75_84_Need_asst_F,C16_75_84_Need_asst_P,C16_75_84_No_need_asst_M,C16_75_84_No_need_asst_F,C16_75_84_No_need_asst_P,C16_75_84_Need_asst_ns_M,C16_75_84_Need_asst_ns_F,C16_75_84_Need_asst_ns_P,C16_75_84_Tot_M,C16_75_84_Tot_F,C16_75_84_Tot_P,C16_85over_Need_asst_M,C16_85over_Need_asst_F,C16_85over_Need_asst_P,C16_85over_No_need_assist_M,C16_85over_No_need_assist_F,C16_85over_No_need_asst_P,C16_85over_Need_assist_ns_M,C16_85over_Need_assist_ns_F,C16_85over_Need_assist_ns_P,C16_85over_Tot_M,C16_85over_Tot_F,C16_85over_Tot_P,C16_Tot_Need_assist_M,C16_Tot_Need_assist_F,C16_Tot_Need_asst_P,C16_Tot_No_need_assist_M,C16_Tot_No_need_assist_F,C16_Tot_No_need_asst_P,C16_Tot_Need_assist_ns_M,C16_Tot_Need_assist_ns_F,C16_Tot_Need_assist_ns_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_0_4_Need_assist_M,C21_0_4_Need_assist_F,C21_0_4_Need_assist_P,C21_0_4_No_need_assist_M,C21_0_4_No_need_assist_F,C21_0_4_No_need_assist_P,C21_0_4_Need_assist_ns_M,C21_0_4_Need_assist_ns_F,C21_0_4_Need_assist_ns_P,C21_0_4_Tot_M,C21_0_4_Tot_F,C21_0_4_Tot_P,C21_5_14_Need_assist_M,C21_5_14_Need_assist_F,C21_5_14_Need_assist_P,C21_5_14_No_need_assist_M,C21_5_14_No_need_assist_F,C21_5_14_No_need_assist_P,C21_5_14_Need_assist_ns_M,C21_5_14_Need_assist_ns_F,C21_5_14_Need_assist_ns_P,C21_5_14_Tot_M,C21_5_14_Tot_F,C21_5_14_Tot_P,C21_15_19_Need_assist_M,C21_15_19_Need_assist_F,C21_15_19_Need_assist_P,C21_15_19_No_need_assist_M,C21_15_19_No_need_assist_F,C21_15_19_No_need_assist_P,C21_15_19_Need_assist_ns_M,C21_15_19_Need_assist_ns_F,C21_15_19_Need_assist_ns_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Need_assist_M,C21_20_24_Need_assist_F,C21_20_24_Need_assist_P,C21_20_24_No_need_assist_M,C21_20_24_No_need_assist_F,C21_20_24_No_need_assist_P,C21_20_24_Need_assist_ns_M,C21_20_24_Need_assist_ns_F,C21_20_24_Need_assist_ns_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_34_Need_assist_M,C21_25_34_Need_assist_F,C21_25_34_Need_assist_P,C21_25_34_No_need_assist_M,C21_25_34_No_need_assist_F,C21_25_34_No_need_assist_P,C21_25_34_Need_assist_ns_M,C21_25_34_Need_assist_ns_F,C21_25_34_Need_assist_ns_P,C21_25_34_Tot_M,C21_25_34_Tot_F,C21_25_34_Tot_P,C21_35_44_Need_assist_M,C21_35_44_Need_assist_F,C21_35_44_Need_assist_P,C21_35_44_No_need_assist_M,C21_35_44_No_need_assist_F,C21_35_44_No_need_assist_P,C21_35_44_Need_assist_ns_M,C21_35_44_Need_assist_ns_F,C21_35_44_Need_assist_ns_P,C21_35_44_Tot_M,C21_35_44_Tot_F,C21_35_44_Tot_P,C21_45_54_Need_assist_M,C21_45_54_Need_assist_F,C21_45_54_Need_assist_P,C21_45_54_No_need_assist_M,C21_45_54_No_need_assist_F,C21_45_54_No_need_assist_P,C21_45_54_Need_assist_ns_M,C21_45_54_Need_assist_ns_F,C21_45_54_Need_assist_ns_P,C21_45_54_Tot_M,C21_45_54_Tot_F,C21_45_54_Tot_P,C21_55_64_Need_assist_M,C21_55_64_Need_assist_F,C21_55_64_Need_assist_P,C21_55_64_No_need_assist_M,C21_55_64_No_need_assist_F,C21_55_64_No_need_assist_P,C21_55_64_Need_assist_ns_M,C21_55_64_Need_assist_ns_F,C21_55_64_Need_assist_ns_P,C21_55_64_Tot_M,C21_55_64_Tot_F,C21_55_64_Tot_P,C21_65_74_Need_assist_M,C21_65_74_Need_assist_F,C21_65_74_Need_assist_P,C21_65_74_No_need_assist_M,C21_65_74_No_need_assist_F,C21_65_74_No_need_assist_P,C21_65_74_Need_assist_ns_M,C21_65_74_Need_assist_ns_F,C21_65_74_Need_assist_ns_P,C21_65_74_Tot_M,C21_65_74_Tot_F,C21_65_74_Tot_P,C21_75_84_Need_assist_M,C21_75_84_Need_assist_F,C21_75_84_Need_assist_P,C21_75_84_No_need_assist_M
302,1914,16182,16800,32987,313,295,605,13734,14413,28152,856,754,1610,14903,15462,30367,370,452,821,12097,12731,24823,760,704,1469,13227,13887,27111,534,591,1127,9509,10373,19882,586,567,1155,10629,11531,22157,688,711,1402,6394,7427,13823,397,456,859,7479,8594,16083,747,1152,1896,3203,4240,7448,280,426,706,4230,5818,10050,645,1562,2209,932,1391,2316,185,483,671,1762,3436,5202,4464,5486,9953,90272,95013,185291,5518,5764,11281,100254,106263,206519,129,74,206,6575,6255,12832,244,231,475,6948,6560,13509,737,376,1111,12518,12102,24620,488,417,908,13743,12895,26634,265,165,429,5793,5588,11379,200,194,394,6258,5947,12203,185,154,339,6440,6710,13152,349,273,621,6974,7137,14116,294,304,602,15807,16812,32615,848,729,1583,16949,17845,34804,305,324,633,15869,16422,32288,715,608,1324,16889,17354,34255,424,467,887,13331,14132,27458,606,454,1069,14361,15053,29413,600,716,1318,10535,11356,21893,448,351,800,11583,12423,24008,743,911,1651,7577,8561,16139,340,330,665,8660,9802,18455,976,1487,2469,3721
303,3692,30556,30829,61382,405,393,808,22830,23275,46102,1343,1257,2603,24578,24925,49506,555,623,1177,18698,19975,38668,1197,1181,2379,20450,21779,42229,726,850,1584,14408,15801,30206,912,879,1791,16046,17530,33577,919,1095,2012,9274,10082,19352,641,688,1333,10834,11865,22701,1142,1833,2977,4102,4787,8887,363,462,823,5607,7082,12687,977,2362,3337,1026,1445,2476,160,340,503,2163,4147,6314,6309,8187,14488,151722,155810,307532,9339,9203,18540,167370,173200,340571,190,81,267,10629,10159,20786,492,451,944,11311,10691,22003,1006,519,1528,21735,21225,42958,880,856,1737,23621,22600,46225,301,231,534,10094,9902,19989,398,359,756,10793,10492,21283,280,257,535,13462,13274,26736,698,610,1309,14440,14141,28582,429,469,902,29191,29590,58780,1588,1379,2969,31208,31438,62651,441,510,958,27084,28268,55355,1160,1093,2251,28685,29871,58565,606,698,1307,21069,22138,43212,934,738,1667,22609,23574,46177,808,987,1797,16184,17469,33653,719,648,1363,17711,19104,36808,1155,1456,2607,11105,12360,23463,506,448,957,12766,14264,27025,1457,2175,3631,5155
304,1129,10982,11094,22086,160,207,367,11122,12355,23476,579,488,1062,11861,13050,24913,196,253,445,10663,11700,22362,582,521,1099,11441,12474,23910,241,321,561,8357,9166,17525,430,394,827,9028,9881,18914,437,454,891,6140,6789,12928,312,339,646,6889,7582,14468,477,764,1243,2463,2831,5299,183,247,430,3123,3842,6967,496,1316,1812,638,890,1523,92,173,266,1226,2379,3605,3011,3895,6901,80444,83839,164290,3909,3890,7802,87364,91624,178989,85,33,121,4805,4443,9252,137,115,252,5027,4591,9619,694,325,1017,12841,12276,25115,278,305,583,13813,12906,26715,232,143,373,6941,6684,13628,184,166,352,7357,6993,14353,123,121,247,6839,6296,13132,339,198,540,7301,6615,13919,195,216,409,9864,10210,20078,409,374,785,10468,10800,21274,206,208,415,12210,13592,25799,375,373,747,12791,14173,26964,222,293,515,12240,13244,25485,380,297,679,12842,13834,26684,273,345,620,8958,9718,18673,324,247,570,9555,10310,19864,475,597,1069,6891,7885,14782,221,227,446,7587,8709,16295,732,1055,1788,3553
305,5331,29255,28522,57768,270,238,512,17091,16994,34088,1738,1460,3202,19099,18692,37801,358,310,664,14353,14043,28398,1533,1210,2738,16244,15563,31800,388,387,774,10059,10081,20145,1092,982,2074,11539,11450,22988,438,442,876,5863,6056,11917,675,606,1288,6976,7104,14082,468,698,1170,2215,2433,4651,305,343,651,2988,3474,6470,378,951,1327,514,897,1412,157,391,546,1049,2239,3295,3036,3574,6609,110745,111977,222715,10811,10073,20881,124592,125624,250208,92,47,133,5838,5718,11556,232,231,465,6162,5996,12156,421,228,651,12327,12381,24714,472,453,931,13220,13062,26288,161,127,290,7356,7549,14905,310,365,674,7827,8041,15874,145,179,325,13341,15291,28634,806,905,1714,14292,16375,30667,267,322,591,30181,30506,60688,2212,1988,4200,32660,32816,65488,314,319,634,21352,20912,42258,1409,1111,2521,23075,22342,45413,416,408,822,17488,17769,35254,1070,775,1848,18974,18952,37922,441,436,875,12726,12789,25510,771,643,1414,13938,13868,27803,576,623,1201,7823,8136,15952,546,466,1013,8945,9225,18169,706,931,1634,3220
306,3337,14373,15710,30086,396,349,744,13125,14971,28094,1564,1637,3205,15085,16957,32035,601,613,1215,14554,15379,29929,1788,1647,3426,16943,17639,34574,906,835,1742,13377,13429,26807,1591,1553,3148,15874,15817,31697,1025,909,1941,9509,8797,18301,1196,1098,2295,11730,10804,22540,909,1112,2021,3749,3412,7160,558,577,1133,5216,5101,10307,550,1155,1700,704,858,1562,179,286,467,1433,2299,3723,5765,5742,11507,101414,103321,204742,12078,11861,23941,119257,120924,240190,107,55,163,6144,5922,12069,629,585,1216,6880,6562,13444,897,401,1299,14844,14422,29261,1562,1414,2977,17303,16237,33536,288,190,481,6783,6459,13245,739,639,1374,7810,7288,15096,194,120,315,5544,5419,10966,791,711,1499,6529,6250,12780,306,283,588,12880,14181,27062,1970,1856,3827,15156,16320,31475,388,362,751,13149,15139,28284,1636,1514,3147,15173,17015,32189,598,619,1219,14727,15971,30695,1736,1413,3149,17061,18003,35054,991,958,1947,14637,15053,29696,1544,1250,2798,17172,17261,34431,1351,1232,2581,11597,11242,22841,1209,958,2165,14157,13432,27588,1267,1547,2807,4984
307,1367,6868,6983,13851,204,202,403,6106,6638,12743,754,689,1443,7064,7529,14587,396,379,774,7258,7221,14478,884,769,1652,8538,8369,16905,583,507,1092,7152,7030,14184,846,776,1625,8581,8313,16901,708,554,1262,5834,5529,11358,707,687,1392,7249,6770,14014,566,704,1272,2661,2641,5301,374,356,734,3601,3701,7305,402,867,1269,499,581,1083,124,213,339,1025,1661,2689,3682,3635,7320,53864,53265,107125,6159,5680,11839,63705,62580,126286,56,34,87,3471,3243,6714,329,287,616,3856,3564,7421,528,299,828,7639,7533,15175,789,788,1580,8956,8620,17581,189,141,330,3337,3118,6449,356,307,665,3882,3566,7446,139,77,217,2889,2715,5610,393,313,707,3421,3105,6530,172,151,319,5985,6346,12328,853,701,1559,7010,7198,14203,185,203,385,5764,6437,12201,686,652,1336,6635,7292,13919,376,360,742,6813,7297,14105,803,700,1501,7992,8357,16348,595,613,1209,7501,7585,15091,853,685,1539,8949,8883,17837,792,715,1510,6612,6197,12811,655,540,1192,8059,7452,15512,738,880,1615,3256
308,2958,14997,15042,30044,288,335,616,12730,12788,25523,1696,1208,2903,14714,14331,29049,517,505,1025,13493,13339,26831,1798,1304,3105,15808,15148,30962,714,741,1456,11876,10836,22712,1390,1054,2440,13980,12631,26610,843,745,1580,7157,6806,13959,735,722,1458,8735,8273,17004,782,1050,1830,2921,3136,6061,388,422,805,4091,4608,8697,498,1047,1545,579,735,1312,132,171,306,1209,1953,3164,5281,5300,10583,95998,94322,190315,11019,9008,20021,112298,108630,220914,169,99,272,6569,6349,12916,505,474,985,7243,6922,14167,1277,645,1917,14401,14352,28759,1281,1197,2472,16959,16194,33152,402,239,640,6499,6113,12610,604,500,1099,7505,6852,14351,241,152,400,5549,5593,11142,745,528,1278,6535,6273,12816,344,240,591,12393,13355,25744,1860,1144,3004,14597,14739,29341,368,373,735,12555,13383,25936,1975,1094,3065,14898,14850,29745,500,605,1101,12602,12983,25589,1777,1068,2840,14879,14656,29532,856,931,1784,12771,12615,25385,1588,946,2528,15215,14492,29700,1077,997,2074,9026,8384,17416,869,664,1534,10972,10045,21026,995,1355,2344,3720
309,6800,37581,39889,77475,716,776,1493,34082,36795,70874,3059,2990,6052,37857,40561,78416,1064,1253,2317,33036,35847,68882,3036,3081,6118,37136,40181,77312,1597,1776,3370,26997,30480,57476,2700,2764,5463,31294,35020,66312,2301,2147,4454,22009,23827,45840,2197,2244,4439,26507,28218,54730,2265,3114,5384,9672,10113,19786,1102,1336,2443,13039,14563,27609,1818,3809,5624,2104,2711,4816,533,886,1420,4455,7406,11861,13264,14919,28184,241459,255006,496467,22442,22907,45349,277165,292832,569993,316,175,490,16376,15354,31737,1009,991,1996,17701,16520,34220,2519,1218,3740,35308,34773,70078,2431,2198,4632,40258,38189,78452,801,527,1324,17128,16818,33947,1016,1024,2040,18945,18369,37315,568,375,940,17571,18742,36310,1303,1363,2666,19442,20480,39925,835,705,1538,38031,41541,79574,3310,3264,6573,42176,45510,87681,862,849,1712,38121,41618,79742,2731,2678,5409,41714,45145,86865,1176,1411,2586,37819,40915,78731,2634,2400,5031,41629,44726,86348,1689,1928,3605,32155,35655,67807,2120,2078,4201,35964,39661,75612,2672,2824,5493,26021,29283,55300,1761,1718,3481,30454,33825,64273,3277,4111,7385,13293
310,4985,23083,24295,47374,634,717,1355,18685,19682,38367,2438,1675,4113,21757,22074,43832,994,1137,2133,17767,18506,36277,1981,1623,3607,20742,21266,42012,1414,1457,2871,14032,14255,28287,1440,1286,2728,16886,16998,33881,1421,1350,2776,9041,9507,18547,968,942,1910,11430,11799,23229,1116,1461,2574,3716,4118,7831,498,541,1041,5330,6120,11448,640,1442,2081,770,917,1683,135,211,346,1545,2570,4110,9348,9358,18708,136246,140328,276569,15212,12578,27790,160806,162264,323065,283,170,452,12272,11467,23736,859,781,1643,13414,12418,25834,2288,1103,3390,24286,23861,48151,1811,1672,3483,28385,26636,55025,713,457,1171,10706,10630,21335,782,697,1482,12201,11784,23991,518,349,864,10492,10514,21010,1251,796,2045,12261,11659,23919,777,693,1473,22613,25020,47623,3152,1880,5033,26542,27593,54131,814,850,1659,22003,23518,45524,2591,1610,4202,25408,25978,51386,1031,1293,2322,19704,20836,40541,1814,1189,3005,22549,23318,45864,1578,1813,3396,16653,17222,33874,1202,934,2137,19433,19969,39407,1842,1999,3839,11130,11800,22923,766,663,1425,13738,14462,28192,1523,2046,3566,4886
311,3209,21449,22646,44096,573,664,1236,18970,19782,38753,1522,1478,3005,21065,21924,42991,846,1087,1935,17483,18489,35971,1515,1533,3045,19844,21109,40946,1203,1373,2578,14453,15256,29714,1199,1307,2508,16855,17936,34790,1559,1433,2991,9866,10401,20266,947,891,1838,12372,12725,25093,1088,1544,2638,3329,3541,6867,413,417,838,4830,5502,10337,701,1420,2113,573,711,1279,126,160,286,1400,2291,3682,8901,9237,18138,136521,140082,276604,11309,11252,22559,156731,160571,317297,263,193,457,11779,11438,23212,1016,996,2011,13058,12627,25678,2132,1090,3217,23543,23481,47025,2256,2051,4308,27931,26622,54545,742,419,1157,10825,10340,21168,909,810,1718,12476,11569,24043,481,318,798,10537,10391,20926,914,863,1774,11932,11572,23503,700,667,1375,22272,23626,45895,2019,2017,4035,24991,26310,51304,713,769,1485,21287,22477,43762,1827,1724,3552,23827,24970,48793,950,1272,2228,19326,20159,39487,1533,1347,2874,21809,22778,44589,1339,1656,2993,16043,17016,33054,1093,916,2009,18475,19588,38061,1948,2150,4095,11617,12736,24354,727,776,1501,14292,15662,29951,1737,2210,3944,4948
312,3136,12442,12259,24707,186,213,399,10105,10031,20136,1684,1031,2714,11975,11275,23253,329,345,675,10684,10251,20938,1667,1070,2741,12680,11666,24345,492,459,952,9346,8477,17823,1307,884,2195,11145,9820,20961,584,465,1058,5542,5074,10616,694,556,1254,6820,6095,12925,538,671,1211,2098,2189,4284,310,277,582,2946,3137,6083,342,712,1054,398,518,911,91,110,196,831,1340,2165,3459,3434,6887,73669,71664,145334,10042,7425,17465,87170,82523,169688,102,67,163,5155,4806,9963,438,414,849,5695,5287,10972,662,313,972,10981,10588,21570,1062,987,2048,12705,11888,24589,201,139,339,4705,4433,9135,469,455,927,5375,5027,10398,129,88,221,4398,4440,8840,843,646,1486,5370,5174,10543,219,138,355,10137,11050,21185,2247,1447,3699,12603,12635,25239,209,208,420,10332,10742,21073,1997,1143,3137,12538,12093,24629,300,339,641,10439,10390,20828,2013,1099,3109,12752,11828,24580,513,569,1083,10155,9739,19893,1677,963,2639,12345,11271,23611,738,632,1370,6885,6370,13253,812,560,1368,8435,7562,15993,728,848,1577,2775
313,2189,12913,13505,26424,512,564,1075,12171,13439,25611,1228,1014,2239,13911,15017,28919,764,920,1681,13360,14418,27776,1158,1032,2194,15282,16370,31651,1191,1213,2401,11897,13315,25208,1066,1087,2151,14154,15615,29764,1542,1288,2833,10278,11441,21730,1042,1021,2060,12862,13750,26616,1085,1413,2505,4564,4873,9430,571,753,1328,6220,7039,13261,650,1283,1936,1014,1169,2183,384,772,1163,2048,3224,5285,8194,8050,16245,97922,103821,201748,9195,8902,18099,115311,120773,236093,184,124,302,6605,6398,13007,448,405,851,7237,6927,14159,1740,880,2622,14442,14581,29030,1106,1039,2146,17288,16500,33796,582,363,955,7071,6884,13961,472,426,899,8125,7673,15811,396,239,642,6395,6308,12705,662,433,1090,7453,6980,14440,610,487,1095,12566,13841,26406,1594,938,2536,14770,15266,30033,567,658,1235,12997,14633,27631,1383,933,2318,14947,16224,31179,822,1021,1848,14433,15735,30164,1164,889,2050,16419,17645,34059,1256,1416,2668,13750,15524,29272,874,752,1631,15880,17692,33568,1990,1900,3893,12814,14791,27606,747,726,1476,15551,17417,32966,1963,2321,4293,6458
314,1482,12541,13738,26275,244,316,565,13191,14199,27391,761,670,1428,14196,15185,29378,313,416,724,12129,12716,24843,734,644,1372,13176,13776,26942,411,484,897,8863,9349,18211,519,541,1064,9793,10374,20174,600,589,1192,6007,6527,12536,404,422,831,7011,7538,14557,427,603,1027,1981,2107,4090,212,247,457,2620,2957,5575,309,695,1001,347,478,824,106,235,339,762,1408,2168,3947,4069,8014,86822,90086,176906,5043,4999,10039,95812,99154,194963,160,82,247,7100,6553,13661,284,269,554,7544,6904,14455,1338,643,1978,15215,14603,29818,616,610,1225,17169,15856,33024,403,257,659,6774,6644,13414,248,238,486,7425,7139,14561,237,175,414,6109,6016,12118,283,254,539,6629,6445,13072,339,362,700,12989,14188,27178,679,621,1303,14007,15171,29186,354,395,749,14498,15789,30290,649,588,1241,15501,16772,32269,428,508,936,13760,14644,28403,585,473,1051,14773,15625,30394,511,606,1118,10088,10918,21016,375,315,690,10974,11839,22820,734,864,1600,7026,7758,14779,294,283,581,8054,8905,16960,753,1016,1773,3044
315,1728,6119,6019,12139,78,71,145,4432,4386,8815,763,478,1240,5273,4935,10199,125,152,279,4697,4484,9182,701,543,1245,5523,5179,10707,255,215,464,4156,3556,7712,597,454,1056,5008,4225,9227,262,221,486,2434,1936,4375,367,257,622,3063,2414,5485,234,212,451,842,700,1542,118,93,210,1194,1005,2202,120,175,296,137,149,288,35,51,81,292,375,663,1336,1232,2572,34722,32928,67652,5397,4077,9476,41455,38237,79702,33,11,49,2713,2543,5264,336,281,615,3082,2835,5926,181,87,274,5246,5014,10257,639,585,1222,6066,5686,11759,44,32,73,2207,1997,4200,294,239,529,2545,2268,4804,41,22,61,2260,2319,4573,509,315,823,2810,2656,5463,67,45,112,4980,5350,10327,1276,676,1951,6323,6071,12397,69,73,139,4145,4414,8555,957,552,1514,5171,5039,10209,113,136,242,4204,4169,8376,848,554,1405,5165,4859,10021,215,261,476,4194,3828,8020,736,539,1272,5145,4628,9773,296,266,563,2586,2123,4702,405,296,703,3287,2685,5970,268,312,581,1001
316,2420,16870,18199,35083,500,542,1039,18686,20657,39340,1504,1342,2845,20690,22541,43225,707,877,1582,20535,23756,44293,1629,1584,3208,22871,26217,49086,1178,1226,2400,19496,22117,41612,1542,1567,3107,22216,24910,47120,1704,1438,3136,16965,18553,35512,1415,1449,2864,20084,21440,41515,1629,2159,3785,8003,8462,16460,756,883,1643,10388,11504,21891,1388,2810,4194,1762,2126,3887,361,636,997,3511,5572,9083,9264,10329,19592,146792,157555,304345,11251,11327,22582,167307,179211,346518,184,91,280,9074,8671,17746,527,394,921,9785,9156,18947,1584,866,2454,22185,21617,43800,1341,1302,2646,25110,23785,48899,544,343,886,10640,10447,21083,586,567,1151,11770,11357,23120,333,233,565,8560,8982,17548,573,556,1131,9466,9771,19242,517,440,953,18179,20110,38286,1377,1312,2688,20073,21862,41927,537,566,1106,20723,23649,44374,1564,1325,2888,22824,25540,48364,722,942,1658,23374,26133,49503,1637,1332,2970,25733,28407,54134,1224,1388,2605,22556,26407,48967,1380,1325,2702,25160,29120,54274,1852,1921,3776,20809,23131,43943,1187,1161,2340,23848,26213,50066,2310,2878,5190,10795
317,1340,9595,9843,19438,266,268,533,7725,8408,16133,656,593,1253,8647,9269,17915,412,409,825,7920,8823,16743,659,656,1313,8991,9888,18886,481,497,983,7209,8000,15205,630,644,1275,8320,9141,17459,627,612,1240,5348,6188,11535,513,588,1100,6488,7388,13878,622,859,1472,2555,3108,5660,299,436,736,3476,4403,7871,471,1035,1509,590,855,1444,135,344,480,1196,2234,3432,4124,4428,8554,62907,67372,130276,5204,5483,10691,72235,77283,149513,95,54,151,4525,4470,8992,236,226,461,4856,4750,9603,793,393,1183,10157,9970,20122,477,450,928,11427,10813,22232,284,190,478,4980,4993,9971,292,244,536,5556,5427,10992,199,140,338,4583,4768,9351,307,319,628,5089,5227,10312,322,254,570,9561,10356,19914,682,551,1235,10565,11161,21719,328,336,665,8497,9393,17893,536,480,1021,9361,10209,19577,401,478,871,8231,9209,17440,563,416,977,9195,10103,19294,570,661,1232,7698,8625,16322,476,436,912,8744,9722,18465,837,863,1704,6261,7309,13565,397,401,796,7495,8573,16065,890,1231,2115,3314
318,2964,15811,15960,31777,427,400,819,12629,13534,26161,1417,1130,2550,14473,15064,29529,589,640,1225,12837,13506,26345,1415,1207,2618,14841,15353,30186,852,755,1604,11298,11426,22722,1111,1050,2163,13261,13231,26492,1067,846,1910,7564,7524,15090,877,804,1685,9508,9174,18684,885,1135,2016,3038,3323,6361,388,487,873,4311,4945,9253,523,1119,1647,632,768,1404,144,209,347,1299,2096,3395,5924,5857,11780,98437,99709,198149,10314,8796,19107,114675,114362,229033,149,81,232,6327,5708,12040,460,473,938,6936,6262,13210,1023,485,1503,13770,13533,27303,1222,1106,2332,16015,15124,31133,330,184,508,6704,6950,13663,678,558,1233,7712,7692,15403,246,157,407,7398,7225,14624,1359,666,2030,9003,8048,17056,351,311,663,13870,14191,28067,2071,1368,3439,16292,15870,32165,420,392,818,12155,13587,25737,1701,1202,2902,14276,15181,29457,615,649,1266,12621,13535,26151,1535,1119,2650,14771,15303,30071,897,906,1799,12031,12634,24663,1220,826,2041,14148,14366,28512,1222,1161,2382,9110,9190,18299,749,588,1337,11081,10939,22014,1159,1472,2632,3897
319,2409,12824,13742,26563,771,693,1464,12269,14024,26284,1491,1224,2714,14531,15941,30465,1373,1294,2666,15161,16881,32041,1702,1579,3283,18236,19754,37990,2202,2015,4216,16634,18364,34997,1870,1817,3689,20706,22196,42906,2898,2156,5059,16366,16637,33006,1860,1749,3614,21124,20542,41677,2008,2087,4096,7344,7287,14631,1005,965,1971,10357,10339,20700,1058,2104,3162,1435,1500,2936,355,504,849,2848,4108,6952,13149,12025,25173,116185,121869,238059,12821,11836,24657,142155,145730,287887,154,97,250,6265,5995,12269,526,489,1016,6945,6581,13533,1701,909,2609,15572,15129,30702,1384,1255,2640,18657,17293,35955,692,469,1158,7492,7078,14568,641,534,1177,8825,8081,16904,462,281,744,5814,5841,11654,615,465,1077,6891,6587,13476,696,545,1241,11953,13048,24995,1450,1107,2560,14099,14700,28800,764,684,1445,12227,14243,26468,1418,1059,2473,14409,15986,30385,1259,1342,2598,15200,17028,32231,1585,1301,2886,18044,19671,37716,2321,2230,4551,18390,20802,39188,1665,1401,3065,22376,24433,46806,3368,2864,6237,19447,20133,39582,1493,1351,2844,24308,24348,48658,2914,3126,6038,9898
397,0,7,7,11,0,0,0,8,4,16,0,0,4,8,4,13,0,0,0,10,12,17,0,0,0,10,12,18,0,0,0,10,19,25,0,0,3,10,19,30,0,0,0,11,12,31,0,5,8,11,17,36,0,0,0,6,7,17,0,0,0,6,7,13,0,0,0,0,0,4,0,0,0,0,0,0,6,0,3,59,73,126,7,14,19,72,87,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,9,4,14,13,4,16,0,0,0,14,3,13,24,13,37,38,16,49,0,0,0,11,0,11,42,5,50,53,5,64,0,0,0,16,0,16,29,0,32,45,0,45,0,0,0,0,0,0,3,0,8,3,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
399,544,1287,1006,2290,31,24,56,615,358,979,315,133,450,961,515,1480,52,32,86,649,503,1156,273,150,423,974,685,1662,82,87,171,813,959,1771,252,179,437,1147,1225,2376,101,60,163,851,625,1474,163,112,276,1115,797,1916,32,23,52,163,100,260,37,31,61,232,154,380,16,9,18,7,4,11,3,9,4,26,22,38,364,263,626,4986,4280,9265,1590,1031,2618,6940,5574,12515,4,6,8,236,190,420,36,33,77,276,229,504,42,20,62,372,376,745,67,63,129,481,459,932,21,18,37,187,218,403,67,55,123,275,291,566,21,11,33,273,348,623,147,125,273,441,484,934,37,31,69,872,949,1821,390,364,753,1299,1344,2649,45,34,80,698,589,1284,453,260,715,1196,883,2077,45,60,106,611,610,1221,391,218,608,1047,888,1929,92,85,178,897,890,1791,306,193,503,1295,1168,2468,98,62,161,956,702,1654,204,107,310,1258,871,2124,23,23,45,220
