SA4_CODE_2021,C11_SH_0b_s_a_b_NPFH_2,C11_SH_0b_s_a_b_NPFH_3,C11_SH_0b_s_a_b_NPFH_4,C11_SH_0b_s_a_b_NPFH_5,C11_SH_0b_s_a_b_NPFH_6_mor,C11_SH_0b_s_a_b_Tot,C11_SH_1b_NPFH_2,C11_SH_1b_NPFH_3,C11_SH_1b_NPFH_4,C11_SH_1b_NPFH_5,C11_SH_1b_NPFH_6_mor,C11_SH_1b_Tot,C11_SH_2b_NPFH_2,C11_SH_2b_NPFH_3,C11_SH_2b_NPFH_4,C11_SH_2b_NPFH_5,C11_SH_2b_NPFH_6_mor,C11_SH_2b_Tot,C11_SH_3b_NPFH_2,C11_SH_3b_NPFH_3,C11_SH_3b_NPFH_4,C11_SH_3b_NPFH_5,C11_SH_3b_NPFH_6_mor,C11_SH_3b_Tot,C11_SH_4mb_NPFH_2,C11_SH_4mb_NPFH_3,C11_SH_4mb_NPFH_4,C11_SH_4mb_NPFH_5,C11_SH_4mb_NPFH_6_mor,C11_SH_4mb_Tot,C11_SH_NB_NS_NPFH_2,C11_SH_NB_NS_NPFH_3,C11_SH_NB_NS_NPFH_4,C11_SH_NB_NS_NPFH_5,C11_SH_NB_NS_NPFH_6_mor,C11_SH_NB_NS_Tot,C11_SH_Tot_NPFH_2,C11_SH_Tot_NPFH_3,C11_SH_Tot_NPFH_4,C11_SH_Tot_NPFH_5,C11_SH_Tot_NPFH_6_mor,C11_SH_Tot_Tot,C11_SDRTHT_0b_s_a_b_NPFH_2,C11_SDRTHT_0b_s_a_b_NPFH_3,C11_SDRTHT_0b_s_a_b_NPFH_4,C11_SDRTHT_0b_s_a_b_NPFH_5,C11_SDRTHT_0b_s_a_b_NPFH_6mor,C11_SDRTHT_0b_s_a_b_Tot,C11_SDRTHT_1b_NPFH_2,C11_SDRTHT_1b_NPFH_3,C11_SDRTHT_1b_NPFH_4,C11_SDRTHT_1b_NPFH_5,C11_SDRTHT_1b_NPFH_6_mor,C11_SDRTHT_1b_Tot,C11_SDRTHT_2b_NPFH_2,C11_SDRTHT_2b_NPFH_3,C11_SDRTHT_2b_NPFH_4,C11_SDRTHT_2b_NPFH_5,C11_SDRTHT_2b_NPFH_6_mor,C11_SDRTHT_2b_Tot,C11_SDRTHT_3b_NPFH_2,C11_SDRTHT_3b_NPFH_3,C11_SDRTHT_3b_NPFH_4,C11_SDRTHT_3b_NPFH_5,C11_SDRTHT_3b_NPFH_6_mor,C11_SDRTHT_3b_Tot,C11_SDRTHT_4mb_NPFH_2,C11_SDRTHT_4mb_NPFH_3,C11_SDRTHT_4mb_NPFH_4,C11_SDRTHT_4mb_NPFH_5,C11_SDRTHT_4mb_NPFH_6_mor,C11_SDRTHT_4mb_Tot,C11_SDRTHT_NB_NS_NPFH_2,C11_SDRTHT_NB_NS_NPFH_3,C11_SDRTHT_NB_NS_NPFH_4,C11_SDRTHT_NB_NS_NPFH_5,C11_SDRTHT_NB_NS_NPFH_6_mor,C11_SDRTHT_NB_NS_Tot,C11_SDRTHT_Tot_NPFH_2,C11_SDRTHT_Tot_NPFH_3,C11_SDRTHT_Tot_NPFH_4,C11_SDRTHT_Tot_NPFH_5,C11_SDRTHT_Tot_NPFH_6_mor,C11_SDRTHT_Tot_Tot,C11_F_a_0b_s_a_b_NPFH_2,C11_F_a_0b_s_a_b_NPFH_3,C11_F_a_0b_s_a_b_NPFH_4,C11_F_a_0b_s_a_b_NPFH_5,C11_F_a_0b_s_a_b_NPFH_6_mor,C11_F_a_0b_s_a_b_Tot,C11_F_a_1b_NPFH_2,C11_F_a_1b_NPFH_3,C11_F_a_1b_NPFH_4,C11_F_a_1b_NPFH_5,C11_F_a_1b_NPFH_6_mor,C11_F_a_1b_Tot,C11_F_a_2b_NPFH_2,C11_F_a_2b_NPFH_3,C11_F_a_2b_NPFH_4,C11_F_a_2b_NPFH_5,C11_F_a_2b_NPFH_6_mor,C11_F_a_2b_Tot,C11_F_a_3b_NPFH_2,C11_F_a_3b_NPFH_3,C11_F_a_3b_NPFH_4,C11_F_a_3b_NPFH_5,C11_F_a_3b_NPFH_6_mor,C11_F_a_3b_Tot,C11_F_a_4mb_NPFH_2,C11_F_a_4mb_NPFH_3,C11_F_a_4mb_NPFH_4,C11_F_a_4mb_NPFH_5,C11_F_a_4mb_NPFH_6_mor,C11_F_a_4mb_Tot,C11_F_a_NB_NS_NPFH_2,C11_F_a_NB_NS_NPFH_3,C11_F_a_NB_NS_NPFH_4,C11_F_a_NB_NS_NPFH_5,C11_F_a_NB_NS_NPFH_6_mor,C11_F_a_NB_NS_Tot,C11_F_a_Tot_NPFH_2,C11_F_a_Tot_NPFH_3,C11_F_a_Tot_NPFH_4,C11_F_a_Tot_NPFH_5,C11_F_a_Tot_NPFH_6_mor,C11_F_a_Tot_Tot,C11_OD_0b_s_a_b_NPFH_2,C11_OD_0b_s_a_b_NPFH_3,C11_OD_0b_s_a_b_NPFH_4,C11_OD_0b_s_a_b_NPFH_5,C11_OD_0b_s_a_b_NPFH_6_mor,C11_OD_0b_s_a_b_Tot,C11_OD_1b_NPFH_2,C11_OD_1b_NPFH_3,C11_OD_1b_NPFH_4,C11_OD_1b_NPFH_5,C11_OD_1b_NPFH_6_mor,C11_OD_1b_Tot,C11_OD_2b_NPFH_2,C11_OD_2b_NPFH_3,C11_OD_2b_NPFH_4,C11_OD_2b_NPFH_5,C11_OD_2b_NPFH_6_mor,C11_OD_2b_Tot,C11_OD_3b_NPFH_2,C11_OD_3b_NPFH_3,C11_OD_3b_NPFH_4,C11_OD_3b_NPFH_5,C11_OD_3b_NPFH_6_mor,C11_OD_3b_Tot,C11_OD_4mb_NPFH_2,C11_OD_4mb_NPFH_3,C11_OD_4mb_NPFH_4,C11_OD_4mb_NPFH_5,C11_OD_4mb_NPFH_6_mor,C11_OD_4mb_Tot,C11_OD_NB_NS_NPFH_2,C11_OD_NB_NS_NPFH_3,C11_OD_NB_NS_NPFH_4,C11_OD_NB_NS_NPFH_5,C11_OD_NB_NS_NPFH_6_mor,C11_OD_NB_NS_Tot,C11_OD_Tot_NPFH_2,C11_OD_Tot_NPFH_3,C11_OD_Tot_NPFH_4,C11_OD_Tot_NPFH_5,C11_OD_Tot_NPFH_6_mor,C11_OD_Tot_Tot,C11_DS_NS_NPFH_2,C11_DS_NS_NPFH_3,C11_DS_NS_NPFH_4,C11_DS_NS_NPFH_5,C11_DS_NS_NPFH_6_mor,C11_DS_NS_Tot,C11_Tot_NPFH_2,C11_Tot_NPFH_3,C11_Tot_NPFH_4,C11_Tot_NPFH_5,C11_Tot_NPFH_6_mor,C11_Tot_Tot,C16_SH_0b_s_a_b_NPFH_2,C16_SH_0b_s_a_b_NPFH_3,C16_SH_0b_s_a_b_NPFH_4,C16_SH_0b_s_a_b_NPFH_5,C16_SH_0b_s_a_b_NPFH_6_mor,C16_SH_0b_s_a_b_Tot,C16_SH_1b_NPFH_2,C16_SH_1b_NPFH_3,C16_SH_1b_NPFH_4,C16_SH_1b_NPFH_5,C16_SH_1b_NPFH_6_mor,C16_SH_1b_Tot,C16_SH_2b_NPFH_2,C16_SH_2b_NPFH_3,C16_SH_2b_NPFH_4,C16_SH_2b_NPFH_5,C16_SH_2b_NPFH_6_mor,C16_SH_2b_Tot,C16_SH_3b_NPFH_2,C16_SH_3b_NPFH_3
101,42,14,14,0,3,77,390,54,31,13,5,491,3094,730,367,89,22,4307,12408,4629,3802,1275,399,22509,8200,4118,5275,3082,1573,22254,275,84,65,33,14,465,24415,9630,9558,4490,2009,50098,0,0,0,0,0,0,56,14,0,0,0,66,746,199,70,11,4,1026,742,261,176,53,17,1257,113,48,60,24,8,259,25,0,3,4,0,37,1682,530,310,92,34,2642,5,0,0,0,0,9,148,27,4,0,0,188,815,222,105,23,3,1170,238,92,59,20,9,413,48,18,25,9,4,103,26,4,6,0,0,34,1283,368,202,48,15,1921,19,3,3,0,0,24,91,9,3,0,0,102,132,25,14,0,0,177,84,33,28,4,4,155,28,14,12,9,10,65,15,4,0,0,0,19,370,88,59,21,14,549,39,24,11,3,3,82,27789,10629,10137,4656,2072,55289,52,11,9,3,3,80,382,57,49,8,8,500,3022,636,317,81,30,4080,12249,4378
102,18,16,7,4,0,51,321,47,22,14,4,409,4434,1234,484,103,35,6292,14957,7427,6490,1930,611,31421,9856,6236,8954,5084,2656,32791,392,101,95,47,21,660,29976,15061,16058,7185,3341,71618,3,3,0,0,0,6,72,3,0,0,0,82,1636,254,73,13,3,1975,2368,939,597,172,47,4131,258,162,205,129,67,821,76,19,8,0,0,109,4417,1385,888,315,121,7127,11,4,0,0,0,10,146,10,7,0,0,165,1445,278,71,16,4,1809,756,242,164,38,17,1219,34,27,30,20,4,108,52,3,0,0,4,55,2442,559,269,69,27,3366,11,0,3,0,0,12,70,3,3,0,0,81,178,18,12,0,3,220,40,13,19,7,0,71,8,9,11,0,9,40,8,0,7,0,0,13,312,41,51,9,20,434,36,17,5,0,0,61,37177,17062,17276,7580,3508,82609,31,12,10,4,0,51,317,60,36,17,8,431,4136,1081,514,119,41,5886,14260,7099
103,23,10,5,3,3,51,217,35,24,16,10,297,2915,662,272,98,39,3986,11902,4790,3885,1458,506,22547,7460,3726,4787,3255,1734,20964,334,111,62,38,38,583,22860,9333,9041,4868,2328,48429,0,0,0,0,0,0,33,10,4,0,0,42,462,92,20,8,0,583,317,139,73,27,9,573,44,10,30,16,8,109,23,3,3,0,4,34,871,253,132,51,27,1332,0,0,0,0,0,6,55,0,0,0,0,56,372,70,20,4,0,466,100,45,16,9,4,181,10,3,0,5,3,21,6,0,0,0,0,12,543,124,41,24,3,735,8,0,0,4,0,11,39,0,5,0,0,47,39,14,5,8,0,61,39,14,16,3,0,70,10,7,4,8,0,39,10,0,0,0,0,17,147,36,28,20,3,237,25,4,8,4,0,43,24442,9747,9243,4971,2372,50775,27,13,11,0,0,47,259,40,32,14,7,349,2672,644,253,69,35,3666,11167,4461
104,18,9,11,0,4,47,242,34,20,3,3,307,2045,492,259,65,22,2877,8390,3262,2639,860,334,15487,4557,2224,2822,1757,981,12338,140,68,45,22,22,302,15399,6100,5789,2704,1368,31356,0,0,0,0,0,0,17,3,0,0,0,28,580,109,35,3,0,723,534,200,111,32,12,889,41,24,33,14,12,119,13,5,3,0,0,22,1185,337,185,54,20,1774,3,0,0,0,0,9,64,4,0,0,0,63,611,148,54,18,6,836,220,115,50,16,6,410,24,4,9,4,4,46,23,5,3,0,0,26,938,272,114,38,17,1385,25,3,0,0,0,34,116,5,0,0,0,130,202,27,10,3,0,250,64,18,16,3,0,101,17,5,11,0,7,40,14,5,4,0,0,21,443,67,46,7,6,577,11,0,0,0,0,15,17978,6773,6141,2798,1415,35112,37,12,10,0,0,62,226,43,19,9,5,306,1904,413,199,51,21,2587,8014,3017
105,22,3,5,0,0,32,172,17,16,10,5,218,1862,410,178,54,24,2523,6744,2843,2202,847,386,13022,3791,2053,2492,1707,1066,11109,208,71,57,24,27,394,12797,5398,4945,2650,1511,27301,0,0,0,0,0,5,11,0,0,0,0,10,193,39,14,3,0,253,72,37,24,11,3,149,12,10,8,4,4,34,5,0,0,0,0,7,289,94,49,21,5,451,0,0,0,0,0,6,61,7,6,0,0,71,295,61,21,5,4,384,72,30,19,11,3,133,19,10,18,9,7,61,6,0,0,0,0,12,461,101,69,21,14,654,13,0,0,0,0,17,45,0,3,0,0,54,41,12,3,0,0,56,44,23,13,5,3,87,21,11,8,3,6,48,15,0,4,0,0,16,182,42,27,9,13,271,27,19,7,9,13,65,13746,5645,5095,2716,1556,28755,18,3,8,0,0,30,178,23,21,12,3,238,1548,375,144,41,22,2133,6168,2624
106,25,8,12,5,0,46,245,53,21,15,8,339,3151,845,380,103,34,4508,13820,6168,5304,1834,636,27762,8658,5236,7100,4080,2062,27128,310,98,82,36,35,555,26203,12415,12891,6057,2774,60335,0,0,0,0,0,3,63,0,4,0,0,67,768,156,44,7,3,981,893,378,240,73,15,1606,135,86,92,42,21,384,19,5,3,0,0,37,1879,626,390,131,41,3065,6,0,0,0,0,3,75,9,4,0,0,93,502,120,40,9,3,674,298,107,69,18,7,497,42,16,18,9,6,91,14,4,0,0,0,23,942,262,128,37,20,1392,14,4,0,0,0,19,91,4,4,0,0,101,109,22,9,0,0,145,37,14,10,7,0,70,15,0,12,0,7,35,8,0,0,0,0,10,283,46,36,9,8,381,22,4,4,0,0,34,29330,13353,13440,6238,2837,65204,26,10,6,4,6,57,261,40,23,16,6,347,2735,694,304,76,42,3855,13727,5907
107,18,8,9,3,0,38,176,38,23,16,4,252,2699,834,398,96,29,4055,13895,7049,6738,1914,620,30216,6803,5044,7608,4394,2113,25965,320,92,76,34,28,556,23921,13065,14844,6455,2795,61082,0,0,0,0,5,8,73,5,3,0,0,85,1653,387,132,26,9,2202,1733,926,619,191,50,3519,119,101,125,67,49,453,60,19,5,0,0,85,3650,1445,880,281,106,6360,12,3,0,4,0,21,296,36,6,0,0,336,2322,647,252,47,8,3271,824,326,198,59,19,1430,36,31,34,17,15,134,64,13,7,0,0,84,3557,1052,504,126,39,5275,7,0,0,0,0,7,39,0,0,0,0,40,232,40,7,4,0,281,41,31,14,4,4,93,4,8,3,7,7,29,10,0,4,0,0,18,340,74,27,14,13,469,14,6,0,0,0,27,31475,15645,16249,6889,2952,73210,17,18,8,4,0,45,160,35,43,7,5,249,2326,686,370,95,32,3504,13229,6626
108,45,19,10,4,0,69,315,45,24,7,6,397,3391,674,306,102,37,4504,14145,4822,3803,1361,536,24677,7487,3194,3872,2430,1395,18373,291,65,49,23,22,446,25672,8816,8062,3921,1998,48472,0,0,0,0,0,0,68,0,3,0,0,78,1072,182,39,6,0,1294,1151,311,171,46,11,1698,112,42,54,33,22,259,50,4,0,0,4,54,2448,544,269,87,39,3384,3,0,0,0,0,3,100,10,3,0,0,111,1071,223,54,11,3,1365,490,165,62,18,8,734,26,10,5,3,3,53,23,9,3,0,0,40,1714,412,130,35,12,2304,16,9,3,0,0,27,142,11,6,0,0,157,309,25,9,6,0,350,94,25,17,9,8,149,28,13,6,4,5,59,15,0,0,0,0,17,610,82,47,19,12,771,22,9,4,0,0,35,30463,9861,8507,4063,2066,54963,49,13,14,7,3,84,327,38,21,16,11,421,3304,670,297,90,25,4386,13621,4703
109,11,4,0,0,0,15,100,9,0,6,0,118,1643,319,107,18,14,2101,7737,2754,2335,740,255,13826,3669,1868,2521,1624,808,10483,183,43,30,19,17,293,13339,4994,5005,2402,1096,26835,3,0,0,0,0,3,6,0,0,0,0,9,278,32,8,0,0,331,129,63,23,10,0,221,5,7,4,3,5,20,3,0,0,0,0,7,428,105,39,12,4,588,3,0,0,0,0,10,60,5,0,0,0,68,663,166,49,7,0,889,167,67,39,11,0,286,5,6,10,5,0,28,21,6,3,0,0,37,929,254,99,18,6,1316,5,0,5,0,0,11,41,0,0,0,0,41,58,9,3,0,0,69,43,11,12,8,4,67,11,4,6,6,3,25,5,0,0,0,0,5,165,30,22,11,7,229,16,11,7,5,0,41,14879,5389,5165,2456,1114,29008,21,3,6,0,0,33,95,16,10,4,4,124,1554,278,125,31,9,2002,7416,2611
110,32,8,10,3,0,48,307,33,21,12,3,375,2621,623,266,77,20,3603,10971,4543,3696,1323,499,21031,6658,3161,3961,2594,1426,17800,289,87,75,36,30,515,20865,8453,8026,4047,1981,43371,0,0,0,0,0,0,23,0,0,0,0,25,268,61,18,5,0,358,162,48,38,10,3,262,45,29,28,10,5,114,12,9,3,3,0,20,505,143,89,31,9,781,0,0,0,0,0,0,80,9,3,0,0,98,606,164,59,16,0,851,134,72,37,10,0,250,20,4,4,9,4,38,26,7,4,0,0,36,875,259,106,30,6,1273,13,3,0,0,0,15,49,4,0,0,0,55,51,18,5,3,0,84,39,20,21,9,3,85,20,9,10,6,6,52,13,3,0,0,0,17,187,53,28,18,10,307,28,6,7,5,4,53,22464,8912,8259,4134,2012,45782,33,12,0,0,0,51,300,31,24,10,9,375,2515,538,258,74,21,3410,10332,4111
