SA4_CODE_2021,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950over_REA,C16_950over_ST_HA,C16_950over_Co_ho_pr,C16_950over_Pe_no_sa_ho,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Co_ho_pr,C16_R_NS_Pe_no_sa_ho,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_Tot_Co_ho_pr,C16_Tot_Pe_no_sa_ho,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_Tot_Tot,C21_1_74_REA,C21_1_74_ST_HA,C21_1_74_Co_ho_pr,C21_1_74_Per_no_sa_ho,C21_1_74_Oth_land_typ,C21_1_74_LLT_NS,C21_1_74_Tot,C21_75_99_REA,C21_75_99_ST_HA,C21_75_99_Co_ho_pr,C21_75_99_Pe_no_sa_ho,C21_75_99_Oth_lan_typ,C21_75_99_Lan_type_ns,C21_75_99_Tot,C21_100_149_REA,C21_100_149_ST_HA,C21_100_149_Co_ho_pr,C21_100_149_Pe_no_sa_ho,C21_100_149_Ot_lan_ty,C21_100_149_Lan_typ_ns,C21_100_149_Tot,C21_150_199_REA,C21_150_199_ST_HA,C21_150_199_Co_ho_pr,C21_150_199_Pe_no_sa_ho,C21_150_199_Ot_lan_ty,C21_150_199_Lan_ty_ns,C21_150_199_Tot,C21_200_224_REA,C21_200_224_ST_HA,C21_200_224_Co_ho_pr,C21_200_224_Pe_no_sa_ho,C21_200_224_Ot_lan_ty,C21_200_224_Lan_ty_ns,C21_200_224_Tot,C21_225_274_REA,C21_225_274_ST_HA,C21_225_274_Co_ho_pr,C21_225_274_Pe_no_sa_ho,C21_225_274_Ot_la_typ,C21_225_274_Lan_ty_ns,C21_225_274_Tot,C21_275_349_REA,C21_275_349_ST_HA,C21_275_349_Co_ho_pr,C21_275_349_Pe_no_sa_ho,C21_275_349_Ot_lan_ty,C21_275_349_Lan_ty_ns,C21_275_349_Tot,C21_350_449_REA,C21_350_449_ST_HA,C21_350_449_Co_ho_pr,C21_350_449_Pe_no_sa_ho,C21_350_449_Ot_lan_ty,C21_350_449_Lan_ty_ns,C21_350_449_Tot,C21_450_549_REA,C21_450_549_ST_HA,C21_450_549_Co_ho_pr,C21_450_549_Pe_no_sa_ho,C21_450_549_Oth_lan_typ,C21_450_549_Lan_ty_ns,C21_450_549_Tot,C21_550_649_REA,C21_550_649_ST_HA,C21_550_649_Co_ho_pr,C21_550_649_Pe_no_sa_ho,C21_550_649_Ot_lan_ty,C21_550_649_Lan_ty_ns,C21_550_649_Tot,C21_650_749_REA,C21_650_749_ST_HA,C21_650_749_Co_ho_pr,C21_650_749_Pe_no_sa_ho,C21_650_749_Oth_lan_typ,C21_650_749_LLT_NS,C21_650_749_Tot,C21_750_849_REA,C21_750_849_ST_HA,C21_750_849_Co_ho_pr,C21_750_849_Pe_no_sa_ho,C21_750_849_Oth_lan_typ,C21_750_849_LLT_NS,C21_750_849_Tot,C21_850_950_REA,C21_850_949_ST_HA,C21_850_949_Co_ho_pr,C21_850_949_Pe_no_sa_ho,C21_850_949_Oth_lan_typ,C21_850_949_LLT_NS,C21_850_949_Tot,C21_950over_REA,C21_950over_ST_HA,C21_950over_Co_ho_pr,C21_950over_Pe_no_sa_ho,C21_950over_Oth_lan_typ,C21_950over_LLT_NS,C21_950over_Tot,C21_R_NS_REA,C21_R_NS_ST_HA,C21_R_NS_Co_ho_pr,C21_R_NS_Pe_no_sa_ho,C21_R_NS_Oth_lan_typ,C21_R_NS_Land_typ_ns,C21_Rent_not_statd_Tot,C21_Tot_REA,C21_Tot_ST_HA,C21_Tot_Co_ho_pr,C21_Tot_Pe_no_sa_ho,C21_Tot_Oth_lan_typ,C21_Tot_LLT_NS,C21_Tot_Tot
101,10,0,56,109,0,0,64,67,3,247,191,118,51,265,148,28,795,11065,2207,526,5091,1306,171,20365,13,46,4,68,63,0,194,15,95,26,42,19,0,196,112,591,116,271,92,11,1197,392,384,236,480,101,16,1607,557,149,82,502,90,11,1391,1567,205,132,704,234,13,2854,2783,213,81,990,282,18,4362,3563,108,41,1114,307,19,5159,1662,31,0,502,84,0,2291,578,3,0,196,24,0,811,334,5,0,75,35,0,451,141,0,0,54,24,0,224,33,0,0,19,11,0,65,124,0,0,108,83,0,322,249,118,46,438,311,63,1231,12126,1957,769,5576,1775,155,22358
102,0,0,60,64,0,0,19,3,7,96,268,217,64,265,69,39,927,20853,3592,662,5636,949,235,31924,22,90,16,36,21,5,186,7,182,17,20,9,0,239,41,1309,109,114,69,10,1652,156,547,324,243,222,17,1504,255,237,141,309,84,16,1052,798,287,179,456,117,16,1852,3161,219,120,1085,118,16,4718,9865,233,99,1751,163,22,12128,6344,36,22,885,53,18,7360,2360,10,7,325,16,5,2717,885,3,5,116,12,0,1023,357,0,0,73,12,3,441,166,0,0,28,0,0,198,184,0,0,36,17,0,236,435,209,77,273,122,106,1221,25025,3358,1117,5760,1033,232,36531
103,3,0,10,11,0,0,26,4,0,37,171,167,60,257,176,30,864,11225,2792,529,4380,912,177,20019,30,99,44,83,87,4,350,22,156,36,47,28,7,293,213,805,170,332,105,20,1640,789,544,166,524,123,28,2174,757,251,71,603,71,14,1765,1890,251,77,752,100,12,3085,3466,235,53,892,119,11,4777,3660,67,28,573,85,14,4430,1469,10,4,175,33,3,1688,251,0,3,47,7,0,310,47,0,0,26,5,0,75,9,0,0,22,0,0,36,12,3,0,5,0,0,22,35,0,0,34,12,0,79,245,183,38,339,314,67,1190,12893,2613,704,4457,1090,176,21926
104,4,0,11,19,0,0,14,7,0,51,130,92,43,138,80,24,511,8069,1572,414,3508,771,135,14477,11,17,10,38,17,0,84,5,27,11,12,9,0,70,40,190,62,158,88,5,538,119,333,259,245,112,14,1075,158,111,64,280,67,11,686,662,152,116,466,108,21,1528,1853,121,65,851,110,19,3018,3069,105,70,930,96,19,4292,1750,22,17,365,59,5,2223,617,6,0,119,23,0,762,192,5,0,39,15,0,253,50,4,0,21,8,0,82,14,0,0,11,9,0,31,38,0,0,39,29,0,102,141,91,42,219,128,36,661,8711,1178,724,3783,877,138,15399
105,7,0,12,9,0,0,22,12,5,41,75,87,42,200,172,32,614,4929,1765,767,2892,1336,156,11852,16,117,25,54,243,3,458,19,86,36,44,98,12,293,135,352,108,303,159,18,1072,573,357,272,461,179,20,1862,500,180,108,412,92,11,1311,1130,199,83,476,95,13,1998,1501,74,48,492,82,14,2211,1357,41,28,314,77,7,1829,300,14,12,65,29,3,410,63,0,5,17,6,0,89,14,0,0,6,9,0,29,7,0,0,3,11,0,25,6,5,0,0,4,0,11,8,0,0,18,13,0,32,122,92,26,252,352,40,884,5737,1512,753,2923,1445,137,12515
106,3,0,17,19,0,0,20,10,0,49,240,179,46,214,154,36,863,16597,3259,380,4178,1460,175,26046,19,28,10,44,31,3,139,10,27,16,26,23,0,95,95,286,125,168,97,10,789,341,731,304,299,171,10,1862,464,261,82,387,74,7,1283,1389,446,170,522,561,25,3106,4014,441,177,1121,256,14,6020,7698,302,93,1149,161,18,9420,3556,24,7,363,63,5,4012,718,4,0,87,10,4,824,193,3,3,30,3,3,231,40,0,0,14,7,0,61,12,0,0,0,3,0,22,27,0,0,35,7,5,75,334,166,63,329,272,59,1223,18919,2722,1060,4568,1733,158,29159
107,8,0,74,47,6,0,24,13,0,88,220,375,51,207,63,43,950,16696,6998,508,4754,590,215,29761,27,196,19,27,7,0,284,4,352,16,22,6,0,393,52,2596,104,130,62,18,2967,167,1139,175,224,59,15,1783,244,534,84,285,36,0,1189,752,537,103,397,45,12,1849,2549,354,108,732,73,14,3834,5929,510,72,1218,97,16,7854,5759,173,23,955,73,9,6986,3288,39,6,403,30,6,3773,1107,6,4,159,10,0,1286,376,6,6,55,8,0,452,161,0,0,24,5,0,189,149,3,0,55,3,0,216,288,382,44,278,92,72,1153,20856,6825,777,4959,602,173,34194
108,9,0,17,28,6,0,19,22,0,71,190,128,66,199,96,43,722,12612,2411,698,4497,925,206,21349,27,22,19,57,26,0,154,13,18,22,27,22,9,114,64,123,149,212,86,15,642,315,454,576,347,187,25,1901,503,143,159,403,101,14,1322,1417,221,211,627,119,21,2619,3392,152,155,1028,112,20,4856,4882,115,173,1110,142,20,6437,2283,16,23,375,38,8,2741,597,17,3,105,11,0,730,180,0,5,28,6,0,226,45,0,0,15,6,0,66,24,0,0,13,6,0,34,59,0,3,32,26,0,121,215,119,96,283,161,69,940,14009,1394,1592,4666,1056,190,22904
109,3,0,4,12,0,0,24,5,0,40,114,61,21,143,148,15,505,7146,1007,338,2593,704,112,11907,20,39,34,39,68,3,204,26,74,27,27,25,0,188,298,315,75,276,106,18,1085,1180,216,146,502,94,24,2165,768,65,30,376,67,11,1312,1536,121,39,446,74,16,2231,2135,47,12,400,56,15,2662,1485,17,13,223,37,4,1775,359,9,8,58,11,0,439,78,3,0,13,11,0,103,18,0,0,7,8,0,34,5,0,0,8,6,0,19,0,0,0,4,5,0,7,16,0,0,19,11,0,49,144,67,21,161,213,35,640,8078,966,406,2569,789,114,12916
110,0,0,11,18,0,0,34,9,0,59,167,151,35,266,290,47,955,10590,2299,672,4363,1314,227,19471,23,33,50,83,110,0,300,34,64,44,43,37,3,223,223,220,148,355,115,28,1089,1021,484,313,537,156,27,2532,998,223,130,587,92,17,2050,2143,374,166,700,110,21,3514,3533,207,87,856,103,11,4799,3019,51,31,531,114,13,3762,632,9,6,96,35,4,784,131,5,0,33,10,0,181,37,0,5,16,14,0,69,11,0,0,11,6,0,24,3,0,0,3,3,0,12,20,0,0,27,13,0,62,213,107,69,301,396,76,1165,12038,1778,1044,4182,1314,203,20559
