SA4_CODE_2021,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Managers_C21_M,Managers_C21_F,Managers_C21_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Professionals_C21_M,Professionals_C21_F,Professionals_C21_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Tech_trad_wkrs_C21_M,Tech_trad_wkrs_C21_F,Tech_trad_wkrs_C21_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Com_pers_S_work_C21_Cens_M,Com_pers_S_work_C21_Cens_F,Com_pers_S_work_C21_Cens_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Cler_admin_work_C21_M,Cler_admin_work_C21_F,Cler_admin_work_C21_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Sales_workers_C21_M,Sales_workers_C21_F,Sales_workers_C21_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Mach_oper_driv_C21_M,Mach_oper_driv_C21_F,Mach_oper_driv_C21_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Labourers_C21_M,Labourers_C21_F,Labourers_C21_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Inadeq_descr_Ns_C21_M,Inadeq_descr_Ns_C21_F,Inadeq_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
101,9530,5658,15194,9600,5957,15558,10882,7629,18509,6588,9251,15842,6314,9982,16299,7747,12355,20098,11635,2203,13833,11634,2233,13874,13366,2607,15965,3366,6902,10269,3601,7853,11457,4176,9418,13591,2910,10778,13693,2848,10661,13514,2929,11418,14350,3048,5411,8464,3368,5494,8856,3402,5446,8853,5271,421,5698,5175,447,5624,5839,589,6422,6524,3326,9852,6862,3459,10320,7456,3866,11323,1057,770,1831,1049,787,1839,1261,1054,2311,49930,44734,94668,50446,46886,97338,57054,54365,111423
102,9235,5070,14309,9826,5819,15642,11128,7462,18585,10148,13318,23465,10632,15271,25906,12406,18336,30741,17684,2930,20614,18371,3228,21599,18726,3329,22054,4697,10374,15075,5105,12214,17317,5451,14156,19613,4080,15059,19144,4043,15045,19085,4144,15598,19738,5218,9518,14738,5355,9490,14849,5097,8770,13860,7209,829,8037,7478,873,8356,7779,1235,9014,9088,4343,13435,9852,4611,14462,9932,4732,14666,1325,871,2199,1421,963,2383,1516,1051,2564,68702,62310,131014,72083,67507,139595,76165,74670,150834
103,9175,4568,13744,8542,4535,13074,9131,5287,14418,4953,8345,13301,4810,9202,14007,5554,10672,16221,10854,1997,12848,10782,2026,12806,11726,2261,13982,2196,6226,8414,2515,7099,9613,2925,9015,11938,1778,8555,10332,1675,8333,10004,1874,8909,10779,2537,4886,7426,2698,4984,7683,2714,4727,7439,7616,551,8166,6963,537,7500,7616,754,8364,6295,3725,10020,6448,3682,10129,6732,3965,10694,864,542,1411,865,599,1472,957,709,1672,46262,39400,85665,45297,40987,86288,49224,46295,95519
104,3962,2370,6332,3878,2396,6274,4423,2897,7321,3503,5038,8540,3523,5778,9306,4079,6999,11078,6021,1111,7133,6013,1173,7190,6648,1312,7952,1794,4444,6234,1906,4774,6680,2412,6251,8659,1183,5431,6612,1243,5259,6505,1273,5631,6904,1993,3667,5663,1942,3536,5478,2038,3513,5548,2860,190,3049,2999,196,3196,3031,256,3280,4181,2004,6185,4357,2212,6575,4826,2569,7392,473,315,787,515,366,883,583,471,1056,25963,24572,50534,26385,25692,52076,29300,29891,59192
105,5835,2886,8725,5212,2753,7968,4994,2953,7947,2405,4837,7241,2293,4973,7267,2442,5619,8059,5377,967,6341,5281,950,6231,5531,1032,6562,1494,4047,5544,1572,4359,5930,2016,5028,7048,1033,4560,5597,940,4265,5208,1015,4414,5432,1428,2646,4076,1542,2545,4087,1469,2398,3870,3698,278,3971,3375,270,3644,3545,357,3904,3748,2029,5782,3550,1970,5517,3635,2035,5672,475,340,819,515,338,860,584,426,1013,25498,22591,48086,24270,22433,46712,25236,24269,49502
106,7382,4187,11572,7335,4381,11717,8446,5751,14197,6072,8590,14663,5804,9710,15513,6829,11958,18787,17260,2688,19947,16840,2850,19692,19154,3492,22649,2649,7720,10368,3265,9248,12508,4274,12879,17155,2320,11230,13549,2158,11272,13428,2577,12538,15114,2871,7197,10064,3221,7428,10649,3539,7837,11377,11988,1063,13054,11308,1332,12632,12395,1835,14224,7388,4900,12288,7977,5080,13056,9015,5949,14962,1167,610,1783,1136,636,1772,1440,922,2359,59099,48184,107289,59029,51933,110962,67667,63158,130822
107,7668,4253,11922,8284,4994,13278,9603,6751,16349,11005,13682,24686,11428,15706,27128,13815,19388,33202,16318,2556,18874,16913,2755,19668,18083,2923,21006,4397,9324,13723,4890,11062,15953,5513,13264,18777,3463,13435,16894,3537,13591,17127,3855,14100,17957,3793,7469,11267,4117,7874,11985,4137,7420,11553,8698,447,9148,8129,488,8617,8474,842,9314,7381,3599,10978,7860,3725,11583,8170,4145,12310,1191,741,1932,1183,804,1983,1324,934,2260,63916,55508,119423,66332,60993,127328,72975,69763,142732
108,5701,3170,8872,5425,3330,8758,6209,4149,10356,4652,7111,11765,4787,8046,12838,5510,10043,15554,8906,1626,10532,8968,1826,10793,10205,1950,12155,2309,6378,8689,2617,7128,9744,3682,9687,13373,1600,7485,9090,1529,7260,8788,1676,7980,9651,2808,5225,8038,2908,5215,8130,2983,5359,8340,4221,279,4498,4323,289,4612,4542,352,4899,5796,2958,8752,6095,3125,9225,6593,3423,10014,617,459,1071,774,509,1281,902,726,1630,36616,34687,71303,37427,36729,74159,42298,43672,85976
109,6009,2737,8748,5574,2725,8298,5811,3143,8953,2862,4652,7510,2871,5070,7943,3190,5938,9128,5993,1161,7152,5856,1147,6998,6602,1272,7874,1164,3767,4937,1303,4229,5532,1598,5273,6876,1031,4971,6005,1004,4885,5891,1148,5237,6389,1598,2970,4567,1690,3013,4698,1687,2951,4639,3590,334,3931,3399,260,3663,3653,338,3989,3942,2264,6211,3916,2351,6272,4112,2545,6652,492,346,836,503,310,811,618,437,1054,26679,23211,49885,26123,23978,50100,28415,27137,55555
110,9174,4511,13680,8532,4354,12884,8401,4662,13063,4377,7429,11811,4435,7978,12412,4460,8997,13456,8293,1640,9931,8187,1663,9850,8412,1769,10176,1807,5432,7236,1899,6029,7933,2316,7288,9603,1470,7479,8946,1375,7179,8549,1507,7171,8680,2516,4439,6949,2489,4311,6802,2468,4120,6589,5303,413,5719,5342,442,5781,5706,668,6380,6597,3443,10041,6804,3635,10442,6939,3864,10800,781,483,1267,783,544,1330,807,597,1408,40315,35272,75584,39847,36134,75986,41007,39133,80142
111,9713,5508,15217,9982,6001,15980,12319,8345,20662,15519,18669,34189,15841,21496,37343,19062,27341,46396,20497,3373,23867,19877,3587,23459,22118,4121,26233,4896,10996,15895,5714,13351,19067,7310,17459,24773,4742,18104,22845,4563,17402,21963,4996,18161,23159,5432,10467,15900,5658,9873,15526,5893,9787,15681,9724,778,10501,9001,781,9782,9671,1109,10777,9891,5074,14963,9941,5060,15002,10574,5395,15962,1392,893,2278,1398,921,2319,1564,1127,2691,81795,73865,155658,81972,78470,160448,93495,92841,186341
112,7541,4290,11832,7498,4521,12013,8773,6145,14923,6909,9999,16905,7171,11303,18474,8648,14075,22720,11125,2079,13206,11498,2249,13748,12959,2697,15658,2967,7821,10783,3410,8901,12307,4144,11012,15159,1964,9226,11186,2032,9202,11235,2102,9906,12012,3647,6487,10131,3694,6336,10028,3766,6323,10089,4736,433,5175,4775,472,5241,4858,573,5432,7403,3869,11269,7664,4114,11776,8440,4411,12850,825,563,1395,918,683,1598,1142,891,2034,47115,44766,91890,48650,47773,96433,54843,56033,110874
113,7906,3503,11410,7472,3585,11055,7890,4054,11943,4039,6228,10268,3980,6883,10858,4451,7954,12407,8540,1611,10153,8266,1601,9872,8987,1753,10741,1841,4866,6707,2038,5583,7621,2465,7079,9543,1375,6696,8074,1342,6553,7892,1470,6774,8243,2190,4104,6289,2227,4065,6288,2269,3929,6196,4607,349,4961,4623,395,5018,4980,481,5461,5956,3390,9350,6148,3614,9761,6532,4155,10685,681,453,1137,688,390,1082,917,586,1497,37137,31197,68339,36783,32670,69454,39952,36765,76713
114,4360,2475,6834,4465,2733,7191,5372,3695,9059,4046,5474,9519,4154,6124,10281,5056,7735,12788,7491,1336,8825,8056,1466,9519,9046,1736,10782,1859,4489,6347,2088,5165,7254,2511,6367,8885,1109,5390,6492,1093,5366,6458,1248,5967,7216,1923,3554,5477,2073,3829,5902,2137,3845,5980,2870,223,3088,2906,246,3152,3174,279,3456,3679,1923,5605,4050,2147,6197,4523,2366,6890,516,344,855,569,372,939,637,453,1088,27849,25204,53046,29452,27447,56895,33717,32437,66151
115,13158,5581,18741,13519,6379,19904,15844,8663,24503,13622,14620,28239,14721,16433,31152,18902,21060,39963,11348,1990,13344,11401,2085,13488,11953,2325,14277,2422,5535,7951,2862,6291,9156,2880,7169,10041,3950,14452,18403,4255,14229,18487,4769,14993,19762,4561,5878,10436,4726,6040,10768,4513,5780,10295,3683,355,4039,3833,361,4194,4118,558,4671,3850,1865,5719,4282,1929,6210,4424,2066,6488,979,730,1708,1133,839,1971,1158,935,2099,57571,51003,108578,60735,54586,115319,68555,63553,132111
116,7941,4249,12190,9444,5262,14710,12178,7230,19410,11262,12347,23606,13625,15493,29121,20048,22210,42260,15708,2579,18285,16501,2811,19312,15615,3156,18767,4016,8026,12044,4491,10619,15110,4980,12689,17670,6675,17978,24652,7109,17872,24985,8064,18832,26901,4879,7628,12509,5653,8431,14083,5384,8122,13505,12821,1843,14666,14455,2244,16699,16125,3374,19502,8994,5141,14135,10011,5477,15491,9252,5898,15152,1695,1158,2853,1851,1312,3162,2046,1719,3768,73998,60950,134942,83153,69529,152674,93701,83233,176932
117,12836,9265,22101,15889,11871,27758,18910,14897,33809,27417,24526,51948,32187,29913,62097,38801,36715,75517,10081,2835,12920,12004,3358,15364,11895,3634,15526,5936,7455,13395,7030,10506,17538,6145,9476,15616,7240,13275,20512,7379,13585,20967,7929,14006,21929,5151,5980,11134,6009,7578,13592,5825,6692,12511,3445,455,3897,3714,488,4194,4371,793,5162,4733,2412,7150,6398,3435,9834,5978,3324,9298,1619,1025,2648,1840,1283,3122,1982,1460,3434,78468,67223,145695,92445,82011,174464,101832,90978,192809
118,12621,8726,21343,14284,10490,24778,15917,12447,28365,23413,23975,47389,24509,26655,51162,25807,29692,55504,8086,1977,10061,8273,1969,10238,7998,1980,9983,4234,6497,10727,4528,7407,11935,3476,6444,9921,4782,12556,17338,4580,12034,16609,4191,11041,15229,4416,5647,10060,4810,6089,10900,4257,5174,9424,2425,201,2627,2454,226,2682,2349,357,2707,3231,1306,4532,3636,1570,5213,3309,1471,4779,1450,1047,2496,1369,997,2362,1565,1166,2731,64649,61928,126581,68440,67437,135881,68869,69772,138638
119,15411,8208,23620,17293,9785,27081,18471,11753,30220,21670,23688,45357,24844,27854,52695,28438,33351,61799,25999,4443,30442,27458,4499,31954,22952,4375,27330,7348,12434,19785,8403,16921,25331,7493,17303,24796,10986,27106,38091,11258,26360,37620,11314,25784,37103,9082,12284,21370,10607,14457,25058,9715,12301,22019,14559,1824,16383,15716,1843,17560,13556,2113,15668,13584,7134,20718,16331,8238,24572,13701,7364,21067,3173,2083,5257,3332,2208,5539,3186,2421,5606,121826,99203,221028,135243,112169,247410,128824,116769,245597
120,12517,8974,21493,14000,10054,24055,15363,12369,27733,21717,23648,45361,24606,26684,51289,27274,30594,57872,10325,2315,12634,10913,2540,13456,10150,2557,12707,3985,6485,10471,4525,7902,12429,3982,8223,12204,5883,14586,20470,6142,14486,20623,6244,14224,20467,5204,6068,11272,5885,6937,12819,5448,5991,11437,3421,360,3776,3765,396,4157,3780,629,4404,4941,2156,7097,5749,2676,8417,5870,2743,8614,1464,1028,2493,1618,1249,2863,1612,1256,2864,69454,65615,135066,77197,72924,150118,79726,78577,158306
121,22717,12988,35707,24501,15300,39796,26558,18594,45156,38861,35367,74229,41270,39712,80980,44708,45052,89763,10283,2809,13090,10465,2827,13298,10281,3008,13292,4686,8816,13505,5193,10179,15372,4798,9915,14710,7600,20334,27933,7413,19523,26932,7466,19080,26551,6642,7812,14452,7224,8665,15887,6722,7518,14243,2414,306,2719,2684,315,3002,2885,461,3345,4212,1878,6089,4733,2170,6898,4548,2284,6830,2045,1379,3424,2032,1513,3554,1989,1594,3578,99469,91680,191146,105515,100211,205725,109955,107520,217473
122,13688,7385,21075,15119,8966,24080,16852,11591,28442,16988,17220,34208,17499,19587,37085,19048,22483,41531,12271,2185,14454,12303,2406,14707,12425,2283,14711,3353,7351,10704,3900,8344,12241,3597,8402,12003,4018,14174,18189,3787,13691,17482,3587,12759,16341,5017,6338,11349,5276,6523,11801,5146,5835,10983,3103,418,3521,3093,463,3557,3249,593,3837,4301,1845,6148,4664,1959,6621,4455,1892,6349,1144,836,1977,1196,908,2108,1139,887,2031,63883,57750,121635,66843,62843,129682,69496,66725,136223
123,7383,3809,11195,7911,4491,12403,9360,5934,15290,7060,9947,17007,7971,11541,19513,9759,14526,24280,14815,2170,16985,15807,2399,18206,16122,2456,18580,3401,7592,10984,3778,9537,13317,4076,11009,15085,4475,14756,19236,4587,14835,19419,4810,15011,19822,3890,6687,10578,4258,7492,11753,4248,7187,11430,10142,1172,11318,11302,1351,12651,11424,1761,13182,7020,3845,10865,8005,4209,12214,8129,4358,12489,1165,811,1979,1371,953,2329,1596,1176,2776,59356,50787,110147,64993,56816,121806,69519,63419,132941
124,9545,5259,14800,9779,5985,15767,11012,7613,18628,10383,14335,24717,10761,15896,26654,12240,18795,31031,18190,2811,21002,18665,2946,21616,18738,3084,21822,4689,9578,14265,4895,11242,16140,5160,12454,17617,5524,18759,24288,5471,18653,24121,5487,18101,23586,4726,8173,12900,4948,8395,13340,4548,7798,12352,11180,1220,12401,12020,1406,13424,12571,1969,14537,8278,4105,12381,9205,4457,13664,9125,4389,13510,1457,973,2438,1568,1043,2616,1659,1173,2831,73971,65216,139187,77311,70021,147334,80530,75383,155914
125,11320,5818,17137,13445,6876,20323,14947,8868,23812,19551,18837,38393,23884,22816,46703,29261,28723,57986,19267,3155,22420,21694,3375,25066,17299,3622,20924,5040,8818,13855,5735,11739,17476,5714,13277,18995,8573,19940,28518,8958,19523,28481,9062,19648,28710,6640,8062,14705,7829,9132,16956,7110,8258,15370,10857,1407,12266,11753,1647,13398,11875,2204,14079,10311,5416,15725,12248,6051,18302,11072,6110,17177,2464,1555,4017,2912,1835,4742,3045,2114,5159,94033,73014,167046,108449,83000,191446,109389,92818,202211
126,7568,4150,11718,8608,4859,13468,9972,6595,16570,13937,13176,27111,15836,15486,31317,19464,19417,38881,6167,1338,7506,6434,1542,7979,6485,1748,8232,2087,3862,5947,2525,4662,7193,2286,5090,7375,3563,9474,13037,3704,9393,13100,4200,9683,13887,3009,3517,6522,3388,4131,7519,3363,3898,7264,1810,235,2040,1956,226,2187,2104,310,2408,2583,1283,3866,2826,1480,4308,2809,1467,4274,858,613,1468,848,689,1537,932,767,1702,41572,37646,79211,46133,42467,88596,51614,48985,100598
127,8373,4405,12775,9711,5378,15090,11372,7033,18403,9044,11204,20245,10770,14343,25113,14208,19558,33768,19637,2804,22439,20669,2959,23628,18158,2957,21116,4293,8266,12566,4772,11092,15864,5231,12453,17680,6000,17364,23362,6682,17783,24459,7530,18735,26266,4950,8099,13050,5762,9304,15061,5714,8766,14481,13969,2075,16048,15257,2373,17630,16178,3274,19448,11034,6527,17561,12433,6761,19195,11009,6674,17690,2353,1489,3839,2456,1723,4177,2436,1730,4166,79654,62233,141882,88508,71709,160221,91836,81180,173019
128,10626,5077,15702,11053,5847,16901,12371,7586,19954,11330,13960,25292,11663,15352,27014,12923,17912,30838,13408,1863,15271,13132,2009,15144,13276,1960,15239,3783,7004,10784,3986,7809,11801,3796,7941,11740,4610,15658,20269,4370,14398,18766,4126,14093,18216,4350,6519,10869,4292,6370,10667,3885,5508,9395,4084,317,4397,3984,348,4325,3610,439,4049,4233,1679,5911,4379,1679,6055,4228,1713,5944,973,651,1619,1035,733,1769,1023,703,1725,57403,52719,110121,57892,54547,112435,59245,57853,117099
197,0,0,0,3,0,5,0,0,0,0,3,3,11,10,17,0,0,0,4,0,4,11,11,17,0,0,0,0,0,0,4,13,15,0,0,0,0,3,3,0,18,16,0,0,0,0,0,0,4,15,15,0,0,0,0,0,0,11,0,11,0,0,0,12,0,12,12,3,15,0,0,0,0,0,0,5,3,6,0,0,0,22,13,28,61,74,130,0,0,0
