SA4_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
509,41,44,46,1300,1400,1403,526,623,718,180,230,250,1221,1481,1757,0.8,0.8,0.7,973,1192,1339,2.4,2.4,2.3
510,32,33,33,2383,2443,1950,1197,1239,1281,120,190,200,2512,2416,2795,1,1,0.9,2362,2202,2396,2.9,2.8,2.8
511,35,37,39,1710,1722,1517,677,732,877,210,250,255,1604,1836,2152,0.8,0.8,0.8,1344,1487,1708,2.6,2.5,2.4
597,36,40,40,0,0,1733,10766,2654,2123,0,0,0,0,0,1375,0,0,0.7,0,0,2250,0,0,1.7
599,40,41,40,0,0,0,490,434,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,39,40,39,1430,1402,1517,556,637,776,240,265,350,1359,1569,1920,0.8,0.8,0.8,1065,1234,1542,2.4,2.4,2.4
602,41,43,43,1300,1260,1300,470,537,664,195,220,270,1140,1319,1609,0.8,0.8,0.8,897,1017,1260,2.4,2.3,2.3
603,44,48,48,1127,1192,1300,428,498,610,180,210,265,999,1210,1475,0.8,0.8,0.8,827,962,1186,2.4,2.3,2.3
604,41,44,45,1192,1165,1200,456,523,635,180,210,240,1090,1274,1538,0.8,0.8,0.8,867,990,1195,2.4,2.3,2.3
697,43,41,43,0,0,0,1238,1089,2249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,37,38,41,0,0,0,338,385,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,33,33,34,2167,2200,2100,897,1052,1120,369,430,385,2040,2386,2485,1,1,0.9,1806,2183,2209,2.7,2.7,2.6
702,29,30,31,1782,1816,1733,477,525,539,96,120,150,1247,1352,1407,1.2,1.2,1.2,1450,1561,1706,3.2,3.2,3.1
797,34,36,40,0,0,0,1298,700,1478,0,0,0,0,0,0,0,0,0.7,0,0,4150,0,0,2.3
799,45,44,41,0,0,0,493,449,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801,34,35,35,2167,2058,2080,918,1000,1204,381,385,450,2277,2445,2872,0.8,0.8,0.8,1920,2070,2373,2.6,2.5,2.5
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,31,36,35,0,0,0,498,447,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,32,42,43,1300,1400,1300,817,715,831,140,160,200,1750,1568,1890,1,0.9,0.9,1677,1377,1497,2.9,2.5,2.4
997,50,39,0,0,0,0,1750,1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,30,42,62,0,0,0,1525,412,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
