SA4_CODE_2021,C11_15_19_Married_M,C11_15_19_Married_F,C11_15_19_Married_P,C11_15_19_Sep_M,C11_15_19_Sep_F,C11_15_19_Sep_P,C11_15_19_Div_M,C11_15_19_Div_F,C11_15_19_Div_P,C11_15_19_Wid_M,C11_15_19_Wid_F,C11_15_19_Wid_P,C11_15_19_Nvr_marrd_M,C11_15_19_Nvr_marrd_F,C11_15_19_Nvr_marrd_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Married_M,C11_20_24_Married_F,C11_20_24_Married_P,C11_20_24_Sep_M,C11_20_24_Sep_F,C11_20_24_Sep_P,C11_20_24_Div_M,C11_20_24_Div_F,C11_20_24_Div_P,C11_20_24_Wid_M,C11_20_24_Wid_F,C11_20_24_Wid_P,C11_20_24_Nvr_marrd_M,C11_20_24_Nvr_marrd_F,C11_20_24_Nvr_marrd_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Married_M,C11_25_29_Married_F,C11_25_29_Married_P,C11_25_29_Sep_M,C11_25_29_Sep_F,C11_25_29_Sep_P,C11_25_29_Div_M,C11_25_29_Div_F,C11_25_29_Div_P,C11_25_29_Wid_M,C11_25_29_Wid_F,C11_25_29_Wid_P,C11_25_29_Nvr_marrd_M,C11_25_29_Nvr_marrd_F,C11_25_29_Nvr_marrd_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Married_M,C11_30_34_Married_F,C11_30_34_Married_P,C11_30_34_Sep_M,C11_30_34_Sep_F,C11_30_34_Sep_P,C11_30_34_Div_M,C11_30_34_Div_F,C11_30_34_Div_P,C11_30_34_Wid_M,C11_30_34_Wid_F,C11_30_34_Wid_P,C11_30_34_Nvr_marrd_M,C11_30_34_Nvr_marrd_F,C11_30_34_Nvr_marrd_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Married_M,C11_35_39_Married_F,C11_35_39_Married_P,C11_35_39_Sep_M,C11_35_39_Sep_F,C11_35_39_Sep_P,C11_35_39_Div_M,C11_35_39_Div_F,C11_35_39_Div_P,C11_35_39_Wid_M,C11_35_39_Wid_F,C11_35_39_Wid_P,C11_35_39_Nvr_marrd_M,C11_35_39_Nvr_marrd_F,C11_35_39_Nvr_marrd_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Married_M,C11_40_44_Married_F,C11_40_44_Married_P,C11_40_44_Sep_M,C11_40_44_Sep_F,C11_40_44_Sep_P,C11_40_44_Div_M,C11_40_44_Div_F,C11_40_44_Div_P,C11_40_44_Wid_M,C11_40_44_Wid_F,C11_40_44_Wid_P,C11_40_44_Nvr_marrd_M,C11_40_44_Nvr_marrd_F,C11_40_44_Nvr_marrd_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Married_M,C11_45_49_Married_F,C11_45_49_Married_P,C11_45_49_Sep_M,C11_45_49_Sep_F,C11_45_49_Sep_P,C11_45_49_Div_M,C11_45_49_Div_F,C11_45_49_Div_P,C11_45_49_Wid_M,C11_45_49_Wid_F,C11_45_49_Wid_P,C11_45_49_Nvr_marrd_M,C11_45_49_Nvr_marrd_F,C11_45_49_Nvr_marrd_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Married_M,C11_50_54_Married_F,C11_50_54_Married_P,C11_50_54_Sep_M,C11_50_54_Sep_F,C11_50_54_Sep_P,C11_50_54_Div_M,C11_50_54_Div_F,C11_50_54_Div_P,C11_50_54_Wid_M,C11_50_54_Wid_F,C11_50_54_Wid_P,C11_50_54_Nvr_marrd_M,C11_50_54_Nvr_marrd_F,C11_50_54_Nvr_marrd_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Married_M,C11_55_59_Married_F,C11_55_59_Married_P,C11_55_59_Sep_M,C11_55_59_Sep_F,C11_55_59_Sep_P,C11_55_59_Div_M,C11_55_59_Div_F,C11_55_59_Div_P,C11_55_59_Wid_M,C11_55_59_Wid_F,C11_55_59_Wid_P,C11_55_59_Nvr_marrd_M,C11_55_59_Nvr_marrd_F,C11_55_59_Nvr_marrd_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Married_M,C11_60_64_Married_F,C11_60_64_Married_P,C11_60_64_Sep_M,C11_60_64_Sep_F,C11_60_64_Sep_P,C11_60_64_Div_M,C11_60_64_Div_F,C11_60_64_Div_P,C11_60_64_Wid_M,C11_60_64_Wid_F,C11_60_64_Wid_P,C11_60_64_Nvr_marrd_M,C11_60_64_Nvr_marrd_F,C11_60_64_Nvr_marrd_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_69_Married_M,C11_65_69_Married_F,C11_65_69_Married_P,C11_65_69_Sep_M,C11_65_69_Sep_F,C11_65_69_Sep_P,C11_65_69_Div_M,C11_65_69_Div_F,C11_65_69_Div_P,C11_65_69_Wid_M,C11_65_69_Wid_F,C11_65_69_Wid_P,C11_65_69_Nvr_marrd_M,C11_65_69_Nvr_marrd_F,C11_65_69_Nvr_marrd_P,C11_65_69_Tot_M,C11_65_69_Tot_F,C11_65_69_Tot_P,C11_70_74_Married_M,C11_70_74_Married_F
504,17,36,55,3,3,8,6,0,4,0,0,0,7713,7170,14884,7737,7212,14948,350,747,1099,21,52,67,10,20,31,11,3,13,7452,6319,13771,7841,7139,14981,1994,2901,4900,100,155,257,71,110,176,11,12,23,5877,4368,10246,8053,7552,15602,3554,4306,7866,178,245,421,197,305,504,8,19,24,3689,2841,6532,7630,7721,15354,4845,5139,9988,263,383,643,402,672,1078,17,36,44,2634,2082,4716,8163,8310,16478,5187,5344,10530,362,491,854,726,1053,1782,25,82,112,2140,1629,3765,8440,8601,17048,5187,5199,10386,408,463,871,916,1338,2251,33,123,161,1616,1129,2742,8163,8254,16414,4719,4669,9391,349,405,746,1096,1385,2477,55,226,289,1162,785,1955,7383,7475,14856,4273,4216,8491,303,311,619,1049,1281,2332,97,312,407,728,475,1206,6448,6599,13048,4028,3717,7744,249,258,509,927,1139,2064,149,487,636,479,292,777,5837,5893,11727,3050,2521,5571,146,158,306,556,744,1304,141,604,745,284,140,423,4175,4177,8354,2265,1867
505,31,67,99,10,4,22,10,16,22,8,12,16,17185,16196,33380,17248,16292,33541,616,1438,2059,26,101,121,24,37,60,16,20,37,16651,15165,31818,17325,16768,34094,4139,6331,10473,146,343,493,129,272,403,21,32,48,13794,10843,24640,18235,17825,36062,8097,9896,17996,307,472,781,407,660,1064,13,43,61,7717,5903,13621,16550,16973,33523,11145,12164,23309,441,655,1095,846,1302,2148,22,97,117,5211,4033,9243,17666,18240,35914,12263,12812,25074,622,891,1509,1412,2004,3414,51,191,238,3800,2937,6738,18146,18821,36968,11870,11973,23848,695,918,1606,1821,2641,4463,87,266,357,2526,1987,4515,17005,17787,34788,10882,10880,21758,660,818,1476,1890,2846,4736,124,397,519,1758,1234,2988,15303,16175,31481,9702,9578,19280,533,614,1149,1903,2672,4573,195,644,837,1063,818,1881,13390,14328,27719,9347,8412,17758,378,496,877,1535,2351,3882,267,1025,1296,597,536,1131,12127,12813,24942,6649,5729,12386,235,260,491,967,1558,2525,288,1161,1450,316,265,587,8454,8981,17439,5051,4170
506,49,74,118,7,11,20,16,4,17,13,8,17,15463,14440,29899,15543,14537,30073,748,1658,2409,39,104,145,24,42,62,9,13,23,18143,16016,34155,18965,17836,36798,4544,6525,11070,191,319,509,156,232,388,15,30,46,13845,10218,24061,18753,17317,36071,8122,9030,17143,321,471,789,388,589,968,21,48,64,7538,5651,13188,16383,15779,32160,9058,9571,18627,449,690,1132,815,1169,1987,18,75,97,5005,3604,8614,15345,15111,30455,9587,9695,19277,601,745,1343,1231,1835,3068,46,155,202,3787,2724,6512,15242,15154,30401,9337,9396,18737,743,746,1487,1691,2357,4048,71,253,323,2680,1757,4437,14514,14517,29031,8731,9109,17833,601,695,1301,1946,2649,4592,128,426,554,1966,1290,3254,13375,14166,27543,8494,8421,16916,542,601,1143,1963,2542,4512,180,625,806,1143,822,1965,12321,13020,25334,8376,7478,15857,490,461,950,1709,2212,3917,261,946,1209,786,492,1275,11613,11589,23200,5926,4915,10844,315,268,587,1026,1311,2339,293,1156,1445,435,317,756,8000,7966,15968,4380,3535
507,21,28,53,3,11,10,10,8,17,3,3,12,12340,11974,24314,12379,12023,24404,440,850,1293,31,79,111,17,24,41,17,6,23,12163,11249,23409,12673,12212,24890,2785,4212,6995,158,235,392,97,160,261,13,17,33,9249,7481,16733,12301,12109,24411,5645,6758,12405,278,375,656,327,443,766,8,32,43,5569,4310,9882,11834,11920,23752,7664,8300,15959,382,537,917,612,1009,1617,23,36,62,3798,3155,6950,12479,13028,25511,8378,8937,17311,523,735,1251,1116,1541,2659,47,103,154,2974,2374,5346,13034,13694,26722,8302,8510,16811,526,685,1218,1407,2060,3471,70,172,242,2111,1628,3742,12412,13066,25476,7777,7710,15485,563,598,1162,1671,2164,3833,103,322,422,1466,1099,2560,11581,11888,23461,6890,7032,13921,417,448,864,1481,2038,3522,157,472,625,938,652,1592,9881,10644,20529,6573,6069,12638,334,362,697,1327,1662,2993,189,715,904,573,392,963,8992,9194,18188,5018,4297,9318,227,195,426,851,1138,1988,251,902,1153,312,205,519,6664,6742,13406,3789,3156
509,10,5,17,6,0,7,5,3,8,3,3,6,3946,3409,7353,3971,3421,7390,142,326,468,6,26,30,9,9,11,0,3,7,3046,2315,5352,3196,2672,5867,827,1242,2067,36,79,120,22,39,57,0,7,7,2275,1901,4180,3159,3271,6429,1685,1965,3647,82,97,175,72,121,194,3,14,20,1498,1247,2747,3339,3448,6783,2238,2544,4784,118,175,296,197,267,469,14,22,36,1353,1073,2425,3927,4088,8009,2734,2950,5681,194,204,397,325,524,855,15,52,68,1313,899,2210,4574,4634,9209,3056,3048,6102,229,260,488,562,636,1200,29,69,96,1060,628,1689,4935,4641,9572,3219,3312,6529,259,250,512,744,762,1510,60,125,187,806,462,1273,5083,4918,10003,3239,3212,6458,238,173,412,745,714,1456,83,203,282,522,284,796,4821,4586,9411,3333,3092,6422,192,145,337,715,637,1356,131,296,430,352,160,508,4724,4327,9047,2589,2229,4816,147,85,231,494,431,921,143,388,530,196,82,275,3564,3210,6775,2002,1634
510,40,71,111,3,7,3,4,0,4,0,6,4,2573,2112,4680,2619,2191,4808,281,359,635,22,20,40,23,13,29,6,8,17,4096,2827,6918,4417,3220,7633,1316,1293,2611,82,42,126,44,30,77,6,4,10,4897,3003,7900,6349,4375,10725,2186,1853,4037,142,91,235,156,106,257,6,15,29,3030,1784,4807,5517,3851,9368,2879,1993,4871,223,135,357,283,140,426,9,24,32,2181,1266,3450,5572,3556,9126,2854,1704,4560,248,129,380,456,253,714,14,38,49,1637,1024,2663,5210,3150,8357,2564,1459,4019,243,148,392,577,377,951,21,42,60,1160,669,1829,4558,2698,7256,2331,1381,3711,302,149,451,684,463,1146,60,80,135,774,451,1225,4146,2524,6670,1792,1040,2829,206,112,319,544,340,885,54,102,152,449,239,687,3041,1831,4875,1146,595,1740,112,63,174,372,159,532,66,125,190,205,122,325,1903,1067,2972,505,274,778,66,21,86,136,79,215,51,90,143,105,51,156,865,515,1384,194,97
511,25,40,60,5,7,14,0,0,6,6,3,3,3967,3645,7614,3999,3690,7694,246,399,643,14,23,41,9,8,19,4,14,15,3814,3184,7000,4095,3626,7716,1031,1420,2456,70,78,148,28,53,86,8,15,20,3501,2542,6041,4642,4105,8748,1868,2039,3908,108,139,245,88,118,210,3,16,19,2229,1619,3852,4302,3933,8229,2527,2495,5027,176,180,362,252,259,508,20,26,43,1772,1322,3091,4741,4284,9028,2691,2569,5255,234,214,445,382,455,839,22,41,67,1487,1033,2518,4815,4302,9124,2680,2534,5212,250,229,478,587,641,1228,37,94,134,1214,740,1953,4762,4241,9000,2716,2508,5223,262,228,489,726,635,1364,56,143,204,803,430,1235,4562,3950,8510,2431,2204,4631,193,163,359,687,571,1257,46,216,259,506,242,749,3860,3401,7258,2140,1835,3978,223,118,339,596,408,1004,93,300,401,348,129,473,3402,2793,6193,1565,1310,2883,126,80,211,354,238,588,92,315,414,212,70,285,2347,2025,4372,1132,847
597,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,33,8,39,33,8,38,6,0,6,3,0,3,0,0,0,0,0,0,61,7,68,71,7,79,14,0,14,0,0,0,0,0,0,0,0,0,52,4,52,68,4,72,19,0,19,0,0,0,4,0,3,0,0,0,31,3,35,62,3,61,21,0,20,0,0,0,4,0,4,0,0,0,13,0,18,41,5,42,23,0,25,0,0,0,3,0,3,0,0,0,10,0,9,33,5,33,17,0,14,5,0,5,4,0,4,0,0,0,10,0,10,35,0,37,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,8,0,8,0,0,0,3,0,4,0,0,0,0,0,0,13,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0
599,4,0,4,0,0,0,0,0,0,0,0,0,119,108,226,121,106,232,6,7,15,4,0,6,0,0,0,0,0,0,326,267,594,335,278,614,48,51,96,10,12,25,4,9,14,0,0,0,425,258,685,494,333,826,89,92,184,23,21,47,10,12,26,0,0,5,300,171,468,428,294,721,81,67,154,40,17,60,31,24,53,0,3,6,207,100,308,368,212,584,100,68,164,47,16,64,40,39,79,0,0,0,175,70,253,364,200,562,97,69,162,35,20,60,65,38,104,9,4,14,153,45,199,368,180,543,98,121,223,35,29,57,88,47,134,7,3,10,89,31,124,314,236,553,181,212,395,31,11,43,78,70,148,9,12,22,61,23,83,362,333,694,224,187,411,26,11,35,79,62,143,7,11,16,34,10,40,368,283,648,148,100,253,24,9,35,60,21,83,16,25,38,15,3,16,266,165,431,71,31
601,15,22,41,9,11,13,7,3,7,5,4,16,6983,6726,13707,7017,6767,13781,210,418,630,22,39,60,18,14,35,5,7,13,7063,6743,13806,7326,7223,14548,1387,1899,3282,92,166,260,53,90,141,9,25,33,5088,4673,9766,6635,6847,13487,2454,3008,5462,149,229,378,195,277,477,11,20,29,3242,2920,6163,6058,6456,12512,3413,3899,7312,250,373,625,350,579,930,13,43,52,2505,2246,4756,6536,7149,13678,3831,4180,8008,349,419,766,647,1029,1678,22,70,94,2057,1767,3828,6909,7461,14375,4137,4325,8464,351,484,838,979,1415,2386,44,141,183,1586,1219,2809,7094,7580,14674,4510,4778,9292,361,445,803,1143,1614,2754,73,202,278,1227,970,2193,7311,8003,15317,4459,4468,8931,273,293,569,1136,1577,2710,109,359,469,810,599,1404,6784,7286,14078,4417,4036,8455,240,263,506,1016,1347,2364,186,545,733,476,385,860,6331,6582,12914,3285,2958,6241,149,143,285,682,885,1563,205,774,981,304,212,514,4626,4966,9593,2633,2154
602,11,11,18,4,3,3,3,5,10,0,5,6,4920,4573,9492,4938,4598,9537,139,284,424,6,19,27,8,10,22,0,4,7,3906,3668,7573,4065,3990,8057,822,1242,2060,36,98,136,34,59,95,5,11,16,2695,2447,5143,3588,3866,7452,1570,1907,3469,92,159,253,103,162,264,9,11,12,1682,1555,3234,3455,3786,7238,2143,2521,4660,129,194,330,228,388,616,7,34,35,1438,1306,2744,3947,4439,8382,2685,2895,5587,209,268,475,417,659,1082,11,59,77,1172,1013,2180,4500,4897,9398,2792,2998,5790,251,273,529,668,861,1531,45,107,146,1000,684,1680,4749,4927,9674,3110,3259,6373,245,267,511,735,978,1713,57,165,222,728,486,1214,4877,5153,10040,3116,3133,6249,223,220,446,768,921,1688,79,235,311,501,304,806,4681,4813,9495,3262,3016,6281,171,162,335,729,824,1553,121,403,522,351,217,562,4632,4622,9257,2601,2284,4891,122,104,227,494,575,1075,185,567,744,199,158,352,3603,3686,7288,1976,1589
603,3,0,3,0,0,0,0,0,0,0,0,0,1000,865,1860,1006,864,1868,27,57,77,5,3,3,0,0,0,4,0,7,674,547,1220,701,609,1314,177,277,456,8,19,29,8,16,25,7,0,6,500,451,949,699,766,1462,344,428,775,21,31,50,23,34,62,0,0,3,423,403,830,812,904,1721,513,614,1124,34,50,81,68,80,146,6,7,7,472,372,846,1088,1121,2214,699,755,1451,57,55,114,92,142,233,8,16,20,439,316,753,1296,1280,2574,705,806,1505,72,63,137,170,181,351,11,34,39,376,246,614,1339,1322,2655,884,918,1797,78,68,148,259,250,511,13,43,53,282,190,471,1519,1472,2988,945,982,1926,62,53,115,268,256,526,30,74,105,178,95,274,1485,1463,2946,1041,1068,2106,75,41,114,284,240,529,49,123,169,127,52,179,1579,1519,3103,944,723,1669,51,29,77,221,159,384,73,129,201,77,32,108,1360,1078,2439,588,445
604,0,12,14,0,9,9,0,8,6,3,0,4,3829,3530,7360,3839,3554,7392,113,272,386,12,28,40,5,10,15,0,5,0,2635,2468,5101,2766,2783,5548,662,943,1609,51,78,122,30,52,81,0,10,11,1939,1777,3708,2677,2853,5529,1184,1519,2705,81,133,210,75,161,231,4,17,22,1321,1158,2479,2664,2981,5647,1634,1831,3463,158,208,363,233,340,566,5,27,36,1136,978,2118,3168,3381,6546,2008,2313,4315,198,245,442,368,554,933,19,37,50,976,784,1759,3566,3934,7495,2302,2456,4758,188,256,446,555,704,1263,25,90,115,777,565,1342,3842,4077,7928,2557,2608,5157,211,232,445,638,771,1403,41,140,178,554,370,922,3992,4116,8113,2498,2593,5090,168,155,322,610,633,1249,60,210,274,359,198,557,3699,3792,7491,2666,2512,5178,130,131,259,506,598,1108,97,343,442,242,137,385,3636,3729,7361,2225,1964,4187,90,56,149,347,364,709,150,510,655,172,74,250,2987,2966,5950,1723,1387
697,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,5,4,10,6,0,3,0,0,0,0,0,0,0,0,0,4,4,13,6,8,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,5,4,8,6,0,6,0,0,0,0,0,5,0,0,0,7,0,8,12,6,20,6,0,6,0,0,0,0,0,6,0,0,0,7,0,7,11,0,13,3,0,0,0,0,0,8,0,8,0,0,0,0,0,0,10,0,12,7,0,7,0,0,0,6,0,6,0,0,0,0,0,0,12,0,11,0,3,4,3,0,3,0,0,3,0,0,0,0,0,0,8,8,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,4,0
699,0,3,3,0,0,0,0,0,0,0,0,0,45,52,93,45,56,96,3,0,3,0,0,0,0,0,0,0,0,0,50,47,99,54,47,105,0,6,11,0,0,4,0,0,0,0,0,0,73,46,114,74,48,123,9,6,18,0,0,0,3,3,7,0,0,0,46,18,59,60,23,83,6,3,9,3,10,9,0,3,8,0,0,0,43,10,49,56,21,77,9,13,22,9,3,17,8,13,25,0,0,0,27,7,32,50,33,86,11,6,13,12,4,13,14,11,22,0,0,0,21,13,30,49,33,84,8,9,19,8,8,9,11,8,18,0,0,0,13,7,16,37,34,65,19,8,25,3,5,11,9,15,20,3,0,6,7,0,8,42,31,69,16,29,39,8,4,6,16,7,22,0,0,3,3,4,9,47,40,87,16,10,23,0,0,0,6,3,15,5,4,6,0,3,0,25,19,44,4,0
701,27,34,64,8,5,12,8,4,11,0,0,0,4298,3645,7941,4335,3692,8023,320,494,811,11,37,50,9,16,23,4,14,13,4951,3601,8555,5298,4167,9459,1290,1731,3020,56,79,133,60,85,144,12,6,23,4324,3394,7712,5741,5295,11038,2120,2483,4605,99,148,243,142,220,352,7,14,18,2692,2105,4797,5057,4963,10023,2626,2650,5271,164,186,348,262,381,640,20,26,51,1966,1594,3559,5032,4828,9863,2626,2748,5366,208,228,437,505,560,1065,13,68,80,1582,1149,2730,4936,4750,9683,2510,2395,4907,244,241,481,532,679,1215,34,92,123,1232,885,2120,4554,4292,8846,2349,2273,4621,213,215,434,690,742,1434,36,139,172,903,595,1500,4197,3966,8157,2134,1910,4053,224,158,385,680,661,1345,75,185,261,511,324,836,3628,3245,6876,1890,1427,3313,152,155,302,610,527,1137,79,244,322,360,169,525,3093,2519,5608,1122,801,1918,105,65,171,335,283,614,62,255,313,200,69,269,1826,1468,3290,692,422
702,261,453,710,14,15,29,4,4,10,4,6,6,3222,2778,6000,3505,3253,6757,936,1174,2108,46,64,104,13,39,56,12,16,28,2596,2323,4923,3605,3619,7220,1511,1734,3244,65,125,194,48,71,119,14,33,46,2309,2032,4343,3950,3990,7940,1756,1872,3625,80,111,192,81,87,164,15,48,59,1639,1466,3113,3573,3581,7158,1883,1899,3789,121,131,249,157,165,325,12,67,78,1235,1159,2392,3411,3418,6828,1776,1828,3609,162,170,327,221,243,467,24,98,128,1037,968,2000,3222,3310,6535,1682,1582,3263,146,138,283,311,313,619,24,123,147,826,683,1514,2989,2842,5829,1541,1431,2978,129,124,260,368,400,764,51,209,262,660,535,1195,2757,2704,5458,1314,1135,2455,133,103,238,393,396,795,80,245,329,405,308,716,2333,2194,4523,1091,715,1807,99,72,176,336,256,592,73,266,334,206,183,389,1806,1488,3295,549,338,886,69,38,106,177,124,309,85,221,302,126,103,228,1008,828,1834,318,189
797,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,14,15,0,16,7,0,7,0,0,0,0,0,0,0,0,0,13,4,11,14,4,16,4,0,4,0,0,0,0,0,0,0,0,0,16,0,17,16,0,17,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,0,0,0,0,0,6,0,6,0,0,0,4,0,4,12,0,12,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,10,0,9,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,5,0,6,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0
799,0,0,0,0,0,0,0,0,0,0,0,0,14,23,32,14,23,32,3,3,6,0,0,0,0,0,3,0,0,0,67,65,132,65,74,143,12,9,26,0,4,4,0,4,6,0,0,0,107,82,188,123,94,224,23,27,51,0,0,3,5,0,7,0,0,0,51,38,83,75,72,144,35,30,65,4,0,5,4,4,3,0,0,0,33,14,47,83,45,128,25,29,48,5,4,7,3,6,7,0,0,0,29,9,42,64,45,108,18,23,42,3,8,5,13,14,29,0,0,0,24,9,32,62,57,118,32,48,80,11,8,13,12,15,27,0,0,4,11,17,30,72,86,156,72,64,138,16,6,15,20,24,43,3,4,8,9,15,24,117,115,225,80,66,144,13,5,12,17,23,42,7,0,7,14,0,10,125,90,217,61,55,118,6,0,9,17,9,18,3,3,8,3,0,3,94,66,160,27,9
801,23,34,60,0,5,5,0,6,5,5,9,10,12297,11564,23860,12328,11607,23937,442,1004,1445,28,66,96,7,26,35,12,8,23,15112,13958,29069,15600,15068,30662,3451,5104,8557,106,201,307,107,176,282,7,13,18,11562,9729,21283,15226,15224,30448,6815,7790,14605,239,333,578,332,547,872,7,21,36,6292,5259,11553,13690,13954,27644,8088,8490,16580,382,508,887,667,1031,1695,22,74,97,4166,3478,7641,13324,13579,26902,8142,8255,16397,497,571,1070,1006,1605,2613,35,95,133,3079,2625,5704,12761,13156,25917,7839,7889,15727,494,650,1146,1322,1999,3317,59,161,218,2219,1944,4161,11936,12638,24571,7603,7482,15087,509,556,1062,1412,2188,3602,82,308,391,1704,1514,3214,11307,12049,23352,6896,6678,13573,401,461,859,1384,2060,3443,126,447,577,1049,865,1919,9857,10516,20371,6622,5978,12601,293,364,655,1206,1819,3024,199,703,908,625,537,1164,8952,9398,18350,4748,3950,8696,193,183,376,694,1133,1828,221,901,1119,326,313,636,6178,6482,12659,3271,2717
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0,0,0,0,0,33,27,59,33,27,59,0,0,6,0,0,0,0,0,0,0,0,0,37,45,80,37,44,83,9,7,17,0,0,0,0,0,3,0,0,0,31,33,66,40,40,82,3,17,16,3,0,3,5,5,0,0,0,0,31,14,40,34,32,71,8,0,15,0,4,6,5,3,3,0,0,0,13,12,36,34,24,57,4,9,8,0,6,7,5,7,13,0,0,0,15,6,24,31,25,53,0,4,4,0,0,6,5,0,4,0,0,0,6,9,18,13,17,30,9,5,14,4,4,9,11,8,12,0,0,4,6,8,14,27,25,51,9,7,12,0,0,8,3,9,14,0,0,0,3,0,3,24,17,35,7,3,14,0,6,3,4,5,7,0,0,0,3,0,3,17,7,24,3,0,3,0,0,0,3,0,3,0,0,0,0,0,4,7,0,8,0,0
901,0,0,0,0,0,0,0,0,0,0,0,0,112,52,165,112,52,165,12,16,28,0,0,0,0,0,0,0,0,0,186,51,236,199,68,266,121,32,155,0,0,3,0,0,4,0,0,0,227,28,258,358,62,423,119,46,171,5,0,7,0,0,4,0,0,0,97,28,115,221,77,296,96,55,154,5,0,4,3,5,5,0,0,0,41,18,61,148,78,223,82,62,147,5,0,7,8,3,10,0,3,3,35,18,46,125,93,222,103,72,172,4,3,7,12,4,13,0,0,0,15,14,23,127,94,220,74,72,142,4,0,3,13,8,20,0,3,3,18,8,22,107,87,197,81,68,148,7,3,3,14,3,14,0,0,0,7,7,16,110,88,193,84,27,104,5,0,5,6,0,11,8,15,20,5,4,12,108,41,146,29,24,52,6,0,6,5,0,5,0,6,8,4,0,4,41,26,67,30,15
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
