SA4_CODE_2021,C11_70_74_Married_P,C11_70_74_Sep_M,C11_70_74_Sep_F,C11_70_74_Sep_P,C11_70_74_Div_M,C11_70_74_Div_F,C11_70_74_Div_P,C11_70_74_Wid_M,C11_70_74_Wid_F,C11_70_74_Wid_P,C11_70_74_Nvr_marrd_M,C11_70_74_Nvr_marrd_F,C11_70_74_Nvr_marrd_P,C11_70_74_Tot_M,C11_70_74_Tot_F,C11_70_74_Tot_P,C11_75_79_Married_M,C11_75_79_Married_F,C11_75_79_Married_P,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Sep_P,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Div_P,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Wid_P,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_Nvr_marrd_P,C11_75_79_Tot_M,C11_75_79_Tot_F,C11_75_79_Tot_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Married_P,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Sep_P,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Div_P,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Wid_P,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_Nvr_marrd_P,C11_80_84_Tot_M,C11_80_84_Tot_F,C11_80_84_Tot_P,C11_85_over_Married_M,C11_85_over_Married_F,C11_85_over_Married_P,C11_85_over_Seprtd_M,C11_85_over_Seprtd_F,C11_85_over_Seprtd_P,C11_85_over_Divorce_M,C11_85_over_Divorce_F,C11_85_over_Divorce_P,C11_85_over_Wid_M,C11_85_over_Wid_F,C11_85_over_Wid_P,C11_85_over_Nvr_mard_M,C11_85_over_Nvr_mard_F,C11_85_over_Nvr_mard_P,C11_85_over_Tot_M,C11_85_over_Tot_F,C11_85_over_Tot_P,C11_Tot_Married_M,C11_Tot_Married_F,C11_Tot_Married_P,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Sep_P,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Div_P,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_Wid_P,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_nver_marrie_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_15_19_Married_M,C16_15_19_Married_F,C16_15_19_Married_P,C16_15_19_Sep_M,C16_15_19_Sep_F,C16_15_19_Sep_P,C16_15_19_Div_M,C16_15_19_Div_F,C16_15_19_Div_P,C16_15_19_Wid_M,C16_15_19_Wid_F,C16_15_19_Wid_P,C16_15_19_Nvr_marrd_M,C16_15_19_Nvr_marrd_F,C16_15_19_Nvr_marrd_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Married_M,C16_20_24_Married_F,C16_20_24_Married_P,C16_20_24_Sep_M,C16_20_24_Sep_F,C16_20_24_Sep_P,C16_20_24_Div_M,C16_20_24_Div_F,C16_20_24_Div_P,C16_20_24_Wid_M,C16_20_24_Wid_F,C16_20_24_Wid_P,C16_20_24_Nvr_marrd_M,C16_20_24_Nvr_marrd_F,C16_20_24_Nvr_marrd_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Married_M,C16_25_29_Married_F,C16_25_29_Married_P,C16_25_29_Sep_M,C16_25_29_Sep_F,C16_25_29_Sep_P,C16_25_29_Div_M,C16_25_29_Div_F,C16_25_29_Div_P,C16_25_29_Wid_M,C16_25_29_Wid_F,C16_25_29_Wid_P,C16_25_29_Nvr_marrd_M,C16_25_29_Nvr_marrd_F,C16_25_29_Nvr_marrd_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Married_M,C16_30_34_Married_F,C16_30_34_Married_P,C16_30_34_Sep_M,C16_30_34_Sep_F,C16_30_34_Sep_P,C16_30_34_Div_M,C16_30_34_Div_F,C16_30_34_Div_P,C16_30_34_Wid_M,C16_30_34_Wid_F,C16_30_34_Wid_P,C16_30_34_Nvr_marrd_M,C16_30_34_Nvr_marrd_F,C16_30_34_Nvr_marrd_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Married_M,C16_35_39_Married_F,C16_35_39_Married_P,C16_35_39_Sep_M,C16_35_39_Sep_F,C16_35_39_Sep_P,C16_35_39_Div_M,C16_35_39_Div_F,C16_35_39_Div_P,C16_35_39_Wid_M,C16_35_39_Wid_F,C16_35_39_Wid_P,C16_35_39_Nvr_marrd_M,C16_35_39_Nvr_marrd_F,C16_35_39_Nvr_marrd_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Married_M,C16_40_44_Married_F,C16_40_44_Married_P,C16_40_44_Sep_M,C16_40_44_Sep_F,C16_40_44_Sep_P,C16_40_44_Div_M,C16_40_44_Div_F,C16_40_44_Div_P,C16_40_44_Wid_M,C16_40_44_Wid_F,C16_40_44_Wid_P,C16_40_44_Nvr_marrd_M,C16_40_44_Nvr_marrd_F,C16_40_44_Nvr_marrd_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Married_M,C16_45_49_Married_F,C16_45_49_Married_P,C16_45_49_Sep_M
101,5884,180,102,278,483,482,966,331,1085,1422,262,123,385,4563,4375,8934,2175,1567,3751,89,53,139,284,253,539,402,1355,1757,168,108,277,3125,3331,6457,1451,888,2339,41,31,73,139,158,295,470,1573,2041,134,80,213,2232,2726,4959,769,417,1187,22,17,38,67,111,177,562,2160,2720,79,103,186,1491,2808,4295,42869,42637,85506,2851,2980,5830,7438,8315,15758,2558,8462,11018,27465,22423,49887,83187,84816,168001,18,8,26,0,0,0,0,3,5,0,5,4,6469,6149,12617,6491,6167,12657,170,369,537,10,40,48,6,6,16,5,4,6,5149,4604,9756,5342,5021,10367,1157,1767,2925,51,118,160,42,63,105,12,4,16,4110,3476,7583,5374,5425,10804,2605,3081,5685,145,207,353,141,258,397,3,20,24,2768,2315,5078,5667,5870,11538,3184,3617,6801,162,254,414,234,342,580,10,39,51,2015,1714,3732,5606,5968,11579,3981,4185,8158,359,388,749,510,733,1245,21,54,75,2022,1592,3618,6892,6948,13845,4259,4747,9007,398
102,8413,211,185,393,820,1065,1886,454,1742,2198,328,224,550,6335,7109,13434,3480,2724,6204,144,107,248,422,681,1099,611,2374,2975,252,205,459,4904,6092,10991,2625,1837,4461,79,67,153,297,430,724,844,3014,3857,171,150,324,4020,5504,9522,1664,974,2632,39,26,68,134,274,402,1198,4335,5528,127,197,328,3159,5807,8962,59668,59947,119615,4277,5314,9593,10745,15834,26583,4095,14826,18919,40923,35853,76782,119710,131777,251484,13,21,38,5,3,9,6,3,11,0,0,3,10093,9775,19869,10118,9809,19930,246,461,705,21,50,69,8,9,18,5,10,17,8986,8375,17359,9264,8911,18169,1703,2596,4295,91,216,305,70,114,178,4,11,14,6631,5769,12399,8495,8700,17196,4044,4966,9010,242,397,631,221,339,560,4,30,30,4240,3606,7841,8750,9332,18078,5069,5559,10627,372,558,935,423,700,1124,20,40,64,3090,2665,5759,8981,9528,18508,5837,6176,12017,533,755,1293,837,1298,2136,33,103,135,2813,2478,5288,10053,10813,20868,6014,6326,12338,570
103,5037,140,100,241,464,448,907,308,1076,1384,313,156,470,3987,4055,8041,2039,1561,3603,95,46,141,244,228,477,384,1347,1732,217,122,339,2980,3306,6287,1341,836,2178,44,33,74,123,127,253,477,1574,2044,118,108,225,2103,2673,4777,671,381,1046,22,13,35,44,81,124,463,2156,2620,84,135,222,1283,2768,4045,38414,38027,76435,2549,2775,5322,6355,7007,13356,2391,8377,10769,27351,22343,49696,77052,78527,155584,13,9,24,0,0,8,3,5,11,0,7,4,6671,6377,13048,6690,6400,13088,235,390,625,16,38,55,5,9,11,0,7,13,5711,5140,10853,5978,5586,11563,1391,1873,3261,91,131,222,42,79,119,5,10,17,4278,3585,7865,5808,5674,11479,2704,3191,5889,156,223,379,134,180,311,0,11,15,2781,2243,5027,5778,5846,11619,3124,3352,6473,218,318,535,245,364,609,13,33,45,1920,1635,3553,5519,5701,11225,3544,3796,7345,307,377,685,471,697,1165,17,51,70,1749,1412,3165,6097,6333,12429,3826,4017,7841,338
104,3916,97,84,180,389,395,780,201,744,947,148,76,223,2956,3091,6050,1623,1223,2850,70,41,106,227,204,431,236,944,1180,113,65,175,2265,2478,4744,1124,683,1808,46,29,76,109,131,242,301,1062,1361,74,43,121,1663,1940,3601,627,336,964,19,5,28,50,76,127,436,1626,2064,37,62,97,1174,2109,3281,25609,25737,51346,1921,2174,4096,5269,6451,11719,1639,5895,7529,16673,14463,31136,51104,54714,105821,6,22,28,0,5,3,4,0,7,0,0,0,4135,3844,7977,4153,3864,8020,119,205,319,13,25,40,4,6,11,4,0,3,3036,2715,5758,3175,2962,6137,638,963,1601,30,81,117,42,43,81,0,7,7,2364,2133,4493,3074,3223,6302,1357,1658,3006,108,162,271,79,121,196,4,15,20,1596,1363,2956,3141,3308,6454,1591,1792,3386,104,218,321,131,265,394,9,31,35,1304,1223,2521,3142,3519,6662,2061,2228,4290,222,278,500,319,507,826,22,56,78,1230,1099,2326,3850,4178,8026,2180,2464,4642,257
105,2805,101,55,162,298,200,495,208,697,905,210,91,300,2312,2347,4659,1076,800,1873,58,21,81,151,134,284,256,866,1117,118,66,181,1654,1883,3538,777,490,1267,28,7,34,90,56,144,267,958,1226,74,54,127,1244,1561,2801,356,167,529,8,5,15,41,39,82,280,1165,1447,43,65,100,727,1444,2172,20546,20355,40900,1575,1605,3179,3808,3954,7764,1506,4990,6493,16623,14367,30991,44062,45264,89321,11,3,16,5,3,3,0,0,0,3,6,11,3321,3155,6471,3336,3171,6504,133,197,330,8,24,33,0,6,6,0,7,5,3132,2947,6082,3274,3181,6453,781,1058,1833,42,77,111,31,36,63,3,4,10,2651,2504,5155,3506,3676,7185,1422,1688,3116,106,152,259,74,104,173,9,12,19,1709,1542,3252,3319,3508,6822,1578,1688,3265,110,177,291,99,167,268,4,11,13,1163,1067,2225,2954,3110,6067,1725,1732,3463,162,188,357,252,319,572,9,32,43,1099,1062,2164,3254,3336,6596,1821,1939,3762,172
106,5877,123,103,227,468,468,936,335,1113,1454,223,130,354,4376,4464,8840,2287,1724,4009,77,56,131,252,253,503,372,1443,1816,155,92,253,3138,3569,6711,1427,914,2341,36,17,57,120,139,257,422,1724,2147,111,109,219,2118,2910,5026,767,408,1175,14,10,28,56,94,149,548,2213,2769,62,91,150,1447,2822,4265,48624,48551,97176,3105,3335,6437,7817,9468,17287,2529,9039,11565,32700,27057,59758,94775,97451,192225,17,10,33,3,8,13,3,4,7,7,0,3,8382,7970,16351,8417,7994,16410,271,506,778,26,55,81,8,9,20,8,6,12,7341,6858,14196,7648,7438,15088,1917,2758,4674,135,252,389,62,116,178,5,11,20,5566,4771,10339,7691,7910,15598,3709,4391,8103,297,418,717,239,339,584,7,31,34,3576,2991,6570,7831,8173,16004,4338,4559,8900,402,427,828,392,570,960,15,42,64,2640,2101,4738,7782,7694,15484,4838,5216,10056,471,573,1044,675,970,1650,35,85,113,2333,1801,4129,8347,8645,16994,4946,5241,10189,476
107,7052,139,94,234,473,608,1078,392,1467,1855,252,127,383,4992,5606,10600,2960,2270,5229,83,92,172,255,360,614,501,1908,2412,184,89,275,3979,4720,8701,2064,1291,3354,28,39,71,138,221,362,624,2290,2918,119,89,202,2974,3932,6904,1129,596,1725,24,15,39,84,134,215,751,2890,3640,73,101,177,2068,3740,5803,55015,55219,110237,3013,3693,6713,7980,10888,18865,3111,11267,14376,39978,33062,73044,109099,114134,223231,23,20,39,0,5,4,0,3,5,0,0,8,9698,9235,18927,9717,9259,18980,268,551,813,19,32,51,9,15,26,7,4,18,10566,9380,19951,10866,9989,20857,1831,2861,4697,81,164,244,50,107,152,9,15,26,7171,5814,12983,9135,8963,18102,4294,5175,9470,169,301,469,197,316,511,6,18,20,4068,3254,7325,8735,9061,17794,5242,5560,10803,302,443,748,393,606,997,18,43,61,2689,2224,4911,8642,8877,17527,5897,6192,12092,413,539,953,675,1065,1745,24,76,94,2365,2018,4382,9379,9890,19264,5608,5850,11456,457
108,7699,206,132,328,770,640,1409,384,1367,1749,243,160,400,5728,5858,11587,3103,2399,5497,125,81,204,457,352,808,521,1760,2275,188,123,307,4387,4711,9105,2188,1468,3659,70,44,117,211,228,437,663,2097,2761,140,77,219,3273,3918,7192,1336,705,2041,24,12,37,86,142,226,874,3051,3928,81,93,181,2395,4005,6408,41484,41455,82939,3074,3444,6520,8454,9861,18318,3254,10883,14138,23311,19973,43285,79579,85618,165196,13,0,16,0,3,5,7,0,8,0,5,4,5973,5691,11665,5993,5707,11697,158,268,426,16,39,49,9,13,16,5,8,10,4145,3873,8015,4326,4198,8520,785,1262,2050,57,126,188,26,64,91,5,3,11,3257,2968,6231,4134,4434,8567,1750,2182,3926,144,240,387,95,193,288,8,22,24,2164,1912,4071,4160,4542,8698,2239,2549,4786,193,310,506,230,337,568,9,23,30,1727,1604,3328,4397,4822,9215,2938,3228,6166,293,444,737,465,717,1180,21,70,85,1779,1539,3325,5495,5997,11492,3169,3546,6716,368
109,3293,101,56,160,288,227,517,181,661,836,166,77,242,2492,2560,5045,1277,987,2263,43,39,82,149,137,284,222,764,985,101,73,173,1789,1997,3788,917,579,1499,28,16,41,88,70,160,314,920,1234,65,46,108,1417,1624,3040,482,238,718,13,5,19,24,41,66,346,1302,1649,48,57,107,917,1651,2568,22521,22593,45114,1454,1618,3073,3707,4131,7834,1477,4840,6317,14586,12177,26760,43748,45353,89102,18,11,26,0,0,0,3,5,3,0,0,0,3492,3378,6870,3509,3394,6901,90,197,292,4,17,23,0,5,7,4,4,11,3084,2903,5987,3190,3125,6311,650,997,1645,33,74,107,20,31,45,9,3,9,2257,2008,4269,2968,3114,6084,1494,1764,3260,74,117,187,68,98,163,0,12,15,1448,1264,2709,3086,3247,6333,1656,1878,3533,115,163,272,131,221,352,8,12,23,1005,880,1886,2911,3158,6068,1984,2104,4087,154,220,370,241,368,609,10,30,34,897,762,1659,3289,3484,6768,2058,2179,4236,216
110,4891,112,82,196,369,349,722,325,1053,1379,268,141,407,3704,3884,7593,1884,1281,3163,83,39,126,192,190,381,357,1267,1631,159,111,270,2685,2891,5570,1138,709,1842,33,26,62,99,103,198,355,1498,1856,95,93,186,1716,2422,4142,633,301,936,14,18,36,42,63,109,456,1947,2403,57,82,142,1205,2414,3615,34222,34112,68336,2292,2567,4856,5403,6141,11546,2177,7810,9986,24087,20947,45032,68180,71582,139759,21,19,34,4,6,3,7,0,7,5,0,3,5959,5584,11539,5988,5605,11590,194,357,546,17,37,56,8,11,19,7,4,10,5011,4867,9882,5238,5277,10510,1153,1692,2844,91,164,250,33,65,94,8,7,16,3690,3334,7019,4967,5255,10226,2222,2599,4820,147,214,359,115,191,310,10,28,41,2382,2083,4461,4877,5106,9986,2547,2806,5354,224,252,468,207,272,486,17,35,48,1623,1632,3250,4608,4998,9612,3037,3210,6247,250,333,587,376,509,889,14,65,79,1513,1335,2850,5196,5459,10647,3206,3391,6594,319
