SA4_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
101,120,66,54,2263,4866,651,491,281,86,6370,81779,8727,6239,1444,531,98716
102,544,34,15,3399,4670,1290,994,187,45,7178,107480,16745,12438,1200,313,138174
103,119,34,35,2031,4952,580,351,283,64,6228,76320,6064,2628,993,371,86372
104,113,46,27,1111,2602,449,425,336,32,3853,47834,5498,4633,2129,340,60448
105,103,70,72,1611,4382,336,317,271,116,5422,41340,2452,2024,1075,635,47524
106,61,30,28,2611,4076,807,219,221,34,5357,96940,11255,2736,1282,333,112548
107,689,25,10,2012,2974,917,1217,135,45,5291,86229,15774,18075,1096,248,121418
108,397,62,34,2305,4559,783,653,510,83,6592,78440,9327,7864,2167,441,98245
109,36,25,23,1445,3191,609,87,175,90,4150,43928,6213,575,574,295,51583
110,24,53,64,2395,5779,858,256,340,73,7310,66884,6085,1642,1096,432,76139
111,351,19,16,2815,3787,1121,1147,135,52,6242,120592,19619,14136,830,292,155470
112,371,89,25,2560,5251,1115,813,750,59,7986,78666,15851,8680,3322,484,107001
113,105,32,44,1781,3585,314,443,184,66,4582,55803,2875,4327,716,305,64024
114,67,32,33,1553,2838,383,128,230,95,3671,58933,5101,1469,1272,339,67117
115,545,10,3,1904,1736,228,351,81,19,2413,70417,7131,6828,281,188,84846
116,108,0,3,1324,5503,1182,912,14,32,7646,103249,15690,9702,108,237,128982
117,1344,22,15,1916,519,1253,7380,202,116,9479,14875,29201,107640,1468,679,153861
118,1350,28,16,1962,777,725,3776,119,53,5449,23847,19683,63130,1212,220,108087
119,1139,36,11,3203,5025,1628,5867,181,103,12801,105560,29950,74115,1283,482,211385
120,1011,25,11,1799,1154,604,3238,98,64,5164,40580,18881,60419,1209,329,121417
121,1722,12,21,2870,1371,357,3029,55,33,4844,74871,12368,76599,477,255,164571
122,1016,10,8,2320,1375,399,1381,65,17,3233,55334,8623,32767,459,191,97369
123,323,8,13,1837,3542,931,326,29,27,4850,83719,11458,4369,214,155,99918
124,243,4,16,1636,4075,992,884,34,43,6021,99689,13282,8930,277,234,122411
125,1238,32,15,2774,4811,1603,4984,68,79,11549,79240,24193,66866,518,546,171363
126,702,3,10,1369,888,363,1414,25,22,2712,35704,9893,30558,157,164,76484
127,366,11,18,2143,5656,1088,2198,72,57,9075,109467,16033,21142,317,463,147434
128,755,3,5,1327,1099,514,1024,43,22,2702,51324,11967,21605,332,123,85350
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,32,21,4,1230,3297,526,142,111,19,4092,63416,6474,1432,524,151,72000
202,8,19,5,1023,3405,409,77,116,9,4019,62905,4471,533,503,152,68557
203,40,63,16,2384,4846,931,205,178,17,6181,112969,12650,2916,897,199,129641
204,30,25,27,1588,4441,704,101,275,48,5570,69916,5353,825,910,230,77241
205,137,64,9,2341,7262,654,397,330,39,8674,114359,6551,3856,1624,264,126657
206,2607,31,18,4409,1687,2351,12089,429,145,16702,58272,62606,172812,1995,625,296316
207,904,3,14,3138,2176,987,1573,37,17,4799,84888,30099,27845,284,165,143279
208,911,58,6,2575,2508,1462,1916,120,14,6026,88996,40910,37666,1125,173,168868
209,251,15,13,2682,5987,1648,753,147,34,8568,156751,29040,11150,437,171,197544
210,72,10,8,1914,5909,1497,410,90,25,7932,119190,23522,4285,370,153,147519
211,154,9,6,3493,5186,1156,299,78,17,6736,166462,21353,4659,391,184,193051
212,891,11,11,5139,10805,2286,1354,117,73,14635,237487,36224,18172,681,327,292892
213,357,20,8,3810,12744,2707,1661,194,36,17351,235432,40532,17750,840,300,294854
214,160,18,6,2904,5035,1083,316,270,17,6718,102843,16994,3467,1038,117,124469
215,94,45,18,1800,3983,398,344,330,45,5095,57508,3659,2472,1331,228,65201
216,0,113,3,1266,3194,578,30,444,8,4262,48957,4849,165,1449,111,55527
217,53,21,15,1560,2784,313,83,133,11,3323,48681,3663,964,603,111,54018
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,157,9,12,1738,2183,636,285,101,12,3216,74291,11408,4567,471,126,90854
302,500,3,9,1745,1508,617,929,197,19,3270,61402,12346,15242,426,116,89541
303,589,6,7,2143,2772,939,1337,126,42,5219,94095,19935,21514,760,246,136555
304,369,3,3,1115,906,207,492,4,5,1607,51786,4636,11557,24,100,68103
305,892,3,23,1455,1109,422,4603,143,93,6369,43790,8779,75674,285,581,129105
306,112,99,62,1758,5278,965,1752,778,212,8977,76815,8701,13131,3973,1271,103886
307,11,50,52,2089,3778,376,152,220,62,4592,47000,3130,560,1311,402,52412
308,136,127,94,2255,5013,597,562,891,125,7196,76413,5322,5187,3178,901,91002
309,1138,30,33,3487,6002,3053,5434,506,124,15119,140251,49990,55694,2377,901,249212
310,103,17,25,1686,5573,1282,290,201,78,7429,114355,13060,2088,792,306,130610
311,90,3,13,1316,6143,1779,608,247,40,8822,105421,15529,3577,662,218,125403
312,60,85,66,1842,4079,858,460,563,142,6094,55924,7035,3375,3044,1025,70405
313,316,37,20,1869,3584,1028,605,444,27,5691,81832,12100,7314,1622,224,103081
314,119,3,12,1109,1707,766,83,61,9,2626,63446,12216,1260,359,94,77377
315,94,265,219,2213,2485,335,182,1352,157,4512,23583,2768,1047,5899,1351,34644
316,653,56,26,4457,4499,1319,1672,475,94,8057,115251,20532,20205,2500,783,159265
317,48,13,17,1056,1890,634,202,170,26,2918,50660,9051,2705,446,128,62994
318,97,47,43,1693,4358,1103,632,361,97,6546,74572,9806,5849,2188,711,93129
319,168,101,81,2937,6589,837,536,697,174,8835,111556,8284,5032,4397,1178,130448
397,0,0,0,0,0,0,0,0,4,4,0,0,0,3,8,5
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,1107,18,31,3767,2124,813,1147,127,53,4259,83175,22758,19926,442,400,126696
402,229,14,25,3333,5008,1697,479,112,57,7359,143499,22963,5782,518,410,173169
403,637,24,16,3955,3102,1212,463,149,28,4954,118828,22772,9227,728,304,151859
404,414,12,11,2152,1775,1210,676,130,32,3825,66707,23153,11524,391,312,102090
405,16,33,17,1523,2423,262,42,311,26,3064,45284,2739,327,1037,219,49611
406,60,64,93,1262,1729,636,202,465,75,3099,26849,5668,1559,1576,663,36316
407,53,52,23,3045,4091,631,148,288,119,5281,73639,6146,1824,1283,518,83412
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,51,70,36,1872,3335,541,107,491,65,4545,66102,6076,1017,1596,290,75085
502,25,14,0,1478,1464,356,87,138,10,2050,36786,5097,1105,548,59,43597
503,736,4,7,1593,771,430,1962,428,35,3633,35752,11707,28606,514,133,76713
504,63,9,3,1171,3017,842,276,485,64,4690,87087,12221,4099,786,175,104364
505,426,21,9,3595,5110,2110,692,221,72,8191,170161,39021,8363,644,184,218372
506,499,37,16,3615,5953,1736,869,283,79,8922,156692,28025,11811,1072,313,197902
507,436,17,8,2588,4563,1081,794,376,56,6874,136965,19970,10410,1122,252,168725
509,17,65,42,2466,4270,346,31,400,45,5092,52037,2617,234,1342,353,56577
510,128,337,192,2298,2943,782,327,1352,367,5772,22525,3965,1653,7274,1383,36799
511,32,206,145,2010,3810,771,182,1154,227,6138,38856,5102,875,5833,943,51619
597,0,0,4,4,0,0,0,0,0,0,0,0,0,5,8,13
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,275,24,14,1656,2784,405,557,179,34,3956,83446,6130,8322,641,242,98783
602,66,26,15,1270,2408,440,259,177,22,3308,54687,4265,3657,592,162,63364
603,3,20,15,504,1037,26,3,80,6,1160,16918,225,87,333,94,17659
604,9,29,15,920,2199,369,44,185,14,2811,44741,3759,348,640,134,49622
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
