SA4_CODE_2021,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_Tot,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_Tot_Tot,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_Tot,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_Tot_Tot,C21_Se_h_NPUR_1,C21_Se_h_NPUR_2,C21_Se_h_NPUR_3,C21_Se_h_NPUR_4,C21_Se_h_NPUR_5,C21_Se_h_NPUR_6more,C21_Se_h_Tot,C21_SDRTHT1S_NPUR_1,C21_SDRTHT1S_NPUR_2,C21_SDRTHT1S_NPUR_3,C21_SDRTHT1S_NPUR_4,C21_SDRTHT1S_NPUR_5,C21_SDRTHT1S_NPUR_6mor,C21_SDRTHT1S_Tot,C21_SDRTHT2S_NPUR_1,C21_SDRTHT2S_NPUR_2,C21_SDRTHT2S_NPUR_3,C21_SDRTHT2S_NPUR_4,C21_SDRTHT2S_NPUR_5,C21_SDRTHT2S_NPUR_6mor,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_NPUR_1,C21_SDRTHT_Tot_NPUR_2,C21_SDRTHT_Tot_NPUR_3,C21_SDRTHT_Tot_NPUR_4,C21_SDRTHT_Tot_NPUR_5,C21_SDRTHT_Tot_NPUR_6mor,C21_SDRTHT_Tot_Tot,C21_F_a_1_2SB_NPUR_1,C21_F_a_1_2SB_NPUR_2,C21_F_a_1_2SB_NPUR_3,C21_F_a_1_2SB_NPUR_4,C21_F_a_1_2SB_NPUR_5,C21_F_a_1_2SB_NPUR_6mor,C21_F_a_1_2SB_Tot,C21_F_a_I_a_3SB_NPUR_1,C21_F_a_I_a_3SB_NPUR_2,C21_F_a_I_a_3SB_NPUR_3,C21_F_a_I_a_3SB_NPUR_4,C21_F_a_I_a_3SB_NPUR_5,C21_F_a_I_a_3SB_NPUR_6mor,C21_F_a_In_a_3_st_b_Tot,C21_F_a_4_8SB_NPUR_1,C21_F_a_4_8SB_NPUR_2,C21_F_a_4_8SB_NPUR_3,C21_F_a_4_8SB_NPUR_4,C21_F_a_4_8SB_NPUR_5,C21_F_a_4_8SB_NPUR_6mor,C21_F_a_4_8SB_Tot,C21_F_a_9mor_s_b_NPUR_1,C21_F_a_9mor_s_b_NPUR_2,C21_F_a_9mor_s_b_NPUR_3,C21_F_a_9mor_s_b_NPUR_4,C21_F_a_9mor_s_b_NPUR_5,C21_F_a_9m_s_b_NPUR_6mor,C21_F_a_9mor_st_bl_Tot,C21_F_a_AH_NPUR_1,C21_F_a_AH_NPUR_2,C21_F_a_AH_NPUR_3,C21_F_a_AH_NPUR_4,C21_F_a_AH_NPUR_5,C21_F_a_AH_NPUR_6mor,C21_F_a_AH_Tot,C21_F_a_Tot_NPUR_1,C21_F_a_Tot_NPUR_2,C21_F_a_Tot_NPUR_3,C21_F_a_Tot_NPUR_4,C21_F_a_Tot_NPUR_5,C21_F_a_Tot_NPUR_6mor,C21_F_a_Tot_Tot,C21_OD_CCH_NPUR_1,C21_OD_CCH_NPUR_2,C21_OD_CCH_NPUR_3,C21_OD_CCH_NPUR_4,C21_OD_CCH_NPUR_5,C21_OD_CCH_NPUR_6mor,C21_OD_CCH_Tot,C21_OD_IHTSO_NPUR_1,C21_OD_IHTSO_NPUR_2,C21_OD_IHTSO_NPUR_3,C21_OD_IHTSO_NPUR_4,C21_OD_IHTSO_NPUR_5,C21_OD_IHTSO_NPUR_6mor,C21_OD_IHTSO_Tot,C21_OD_H_f_a_s_o_NPUR_1,C21_OD_H_f_a_s_o_NPUR_2,C21_OD_H_f_a_s_o_NPUR_3,C21_OD_H_f_a_s_o_NPUR_4,C21_OD_H_f_a_s_o_NPUR_5,C21_OD_H_f_a_s_o_NPUR_6mor,C21_OD_H_f_a_s_o_Tot,C21_OD_Tot_NPUR_1,C21_OD_Tot_NPUR_2,C21_OD_Tot_NPUR_3,C21_OD_Tot_NPUR_4,C21_OD_Tot_NPUR_5,C21_OD_Tot_NPUR_6mor,C21_OD_Tot_Tot,C21_DS_ns_NPUR_1,C21_DS_ns_NPUR_2,C21_DS_ns_NPUR_3,C21_DS_ns_NPUR_4,C21_DS_ns_NPUR_5,C21_DS_ns_NPUR_6more,C21_Dwg_st_NS_Tot,C21_Tot_NPUR_1,C21_Tot_NPUR_2,C21_Tot_NPUR_3,C21_Tot_NPUR_4,C21_Tot_NPUR_5,C21_Tot_NPUR_6more,C21_Tot_Tot
404,4,3,157,78,69,40,28,8,8,229,117,100,42,42,12,7,327,28007,30064,13972,12595,4217,1799,90652,14819,22262,11418,11261,3857,1620,65236,7299,4584,1716,996,317,185,15103,2193,2585,1209,754,220,78,7035,9497,7170,2928,1746,532,261,22134,4327,2180,822,357,91,23,7796,620,404,119,50,8,0,1208,770,571,140,54,7,0,1537,92,108,20,5,0,0,225,42,44,9,16,3,0,115,5850,3309,1116,475,115,25,10886,47,16,6,3,0,0,71,0,0,0,0,0,0,0,55,42,24,25,0,3,149,95,56,27,27,6,3,215,130,77,30,27,8,4,275,30389,32868,15523,13538,4514,1914,98750
405,4,0,146,249,179,31,14,18,0,481,108,97,31,26,14,5,285,12986,16962,5257,4883,2431,939,43455,12054,17300,5217,4777,2303,1041,42693,1537,590,130,80,48,20,2402,20,49,7,12,4,0,90,1558,646,133,91,49,20,2489,232,41,3,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,232,48,9,0,0,0,295,164,121,17,14,3,5,320,3,7,0,0,0,0,14,29,29,6,5,6,0,77,195,153,27,26,3,5,409,67,43,14,6,3,0,139,14107,18183,5397,4895,2358,1065,46018
406,4,0,84,255,144,18,16,6,5,430,122,79,24,26,10,0,266,9834,10839,3976,3641,1666,821,30782,6778,9280,3301,3150,1499,754,24765,2395,1444,546,304,141,86,4929,49,56,15,19,4,0,145,2449,1502,563,324,146,87,5077,922,236,28,23,8,0,1223,29,11,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,12,10,0,0,39,962,259,40,26,9,0,1307,141,70,28,8,5,4,247,12,10,0,3,0,0,26,31,14,7,0,0,0,56,183,92,34,11,5,6,333,94,69,8,9,4,3,199,10466,11200,3951,3529,1671,853,31665
407,7,0,145,402,242,40,29,10,4,718,160,133,35,35,23,7,393,21469,28418,8824,8251,3617,1531,72104,19044,28501,8712,7885,3617,1650,69406,3209,1422,342,174,72,43,5253,116,121,26,9,5,10,282,3323,1546,368,186,73,49,5540,1132,303,76,35,10,4,1557,44,23,0,0,0,0,70,16,16,0,0,0,0,35,0,0,0,0,0,0,0,4,0,0,0,0,0,7,1198,338,87,36,10,4,1670,296,176,18,9,6,4,506,15,10,0,3,3,0,33,46,43,18,12,11,0,131,351,229,39,32,16,8,664,135,106,24,23,9,0,297,24053,30717,9217,8160,3727,1708,77577
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,0,0,78,520,386,44,29,13,0,997,115,99,34,30,17,10,292,15167,23575,9381,9430,3982,1617,63150,13802,24099,9243,9554,4080,1694,62464,2935,1316,323,160,44,27,4809,305,294,78,61,18,6,767,3241,1612,408,224,60,30,5577,435,174,46,13,3,4,670,65,31,8,4,0,0,104,13,18,0,0,0,0,30,12,20,0,0,0,0,32,23,14,3,7,0,3,51,545,256,54,23,12,5,891,430,229,22,31,10,4,724,29,14,6,0,3,0,54,20,22,9,3,0,5,57,479,265,33,35,13,10,831,99,58,20,14,4,6,200,18165,26287,9752,9847,4172,1742,69965
502,3,0,11,243,134,14,6,4,0,398,36,29,11,6,4,0,79,9085,14207,5174,4812,1975,946,36195,7948,13897,5312,5080,2171,1025,35441,2223,1237,180,67,22,10,3736,518,430,77,47,9,3,1085,2737,1665,256,113,31,13,4824,290,108,16,14,0,0,431,62,106,16,9,0,0,189,77,101,17,7,0,0,197,46,88,14,8,0,0,155,20,17,6,0,0,0,39,487,423,77,31,4,0,1017,258,109,4,7,0,0,387,11,5,0,0,4,0,16,9,0,0,0,0,0,8,273,115,6,10,0,6,415,24,16,0,0,0,0,45,11472,16118,5655,5231,2217,1047,41734
503,3,4,98,55,43,16,8,3,4,125,86,57,26,21,3,0,190,19543,22269,9130,9015,3521,870,64350,5850,11536,5880,7876,3120,734,34991,1929,1410,582,401,119,25,4461,2334,2554,1073,635,140,25,6767,4261,3960,1651,1033,263,50,11231,2420,1527,383,189,47,4,4566,3869,2370,554,220,41,13,7067,4423,3204,690,252,42,7,8624,2662,2497,642,229,35,9,6071,16,10,4,5,0,0,37,13387,9604,2270,894,175,35,26364,4,0,0,0,0,0,4,0,0,0,0,0,0,0,25,28,8,8,0,0,79,28,28,8,8,0,0,77,62,19,7,5,0,0,95,23592,25151,9817,9822,3554,822,72762
504,5,0,50,172,110,18,10,11,4,324,74,73,23,25,12,9,212,19416,29449,15222,14877,5826,3106,87896,16100,28021,15577,15384,6176,3276,84526,4201,2470,965,595,161,84,8471,1348,1053,385,206,45,24,3066,5547,3527,1350,801,208,106,11539,1109,582,134,56,14,0,1897,561,290,72,23,0,0,949,342,150,39,11,0,0,548,182,111,26,10,0,0,325,55,28,9,12,5,0,109,2249,1166,286,106,21,5,3826,141,68,0,0,0,3,215,4,0,0,0,0,0,7,14,8,9,3,0,0,41,163,82,19,5,0,6,269,51,32,23,13,0,0,117,24102,32816,17246,16313,6409,3391,100273
