SA4_CODE_2021,C11_1_74_REA,C11_1_74_ST_HA,C11_1_74_Co_ho_pr,C11_1_74_Per_no_sa_ho,C11_1_74_Oth_land_typ,C11_1_74_LLT_NS,C11_1_74_Tot,C11_75_99_REA,C11_75_99_ST_HA,C11_75_99_Co_ho_pr,C11_75_99_Pe_no_sa_ho,C11_75_99_Oth_lan_typ,C11_75_99_Lan_type_ns,C11_75_99_Tot,C11_100_149_REA,C11_100_149_ST_HA,C11_100_149_Co_ho_pr,C11_100_149_Pe_no_sa_ho,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Co_ho_pr,C11_150_199_Pe_no_sa_ho,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Co_ho_pr,C11_200_224_Pe_no_sa_ho,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Co_ho_pr,C11_225_274_Pe_no_sa_ho,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Co_ho_pr,C11_275_349_Pe_no_sa_ho,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Co_ho_pr,C11_350_449_Pe_no_sa_ho,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Co_ho_pr,C11_450_549_Pe_no_sa_ho,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Co_ho_pr,C11_550_649_Pe_no_sa_ho,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_749_REA,C11_650_749_ST_HA,C11_650_749_Co_ho_pr,C11_650_749_Pe_no_sa_ho,C11_650_749_Oth_lan_typ,C11_650_749_LLT_NS,C11_650_749_Tot,C11_750_849_REA,C11_750_849_ST_HA,C11_750_849_Co_ho_pr,C11_750_849_Pe_no_sa_ho,C11_750_849_Oth_lan_typ,C11_750_849_LLT_NS,C11_750_849_Tot,C11_850_950_REA,C11_850_949_ST_HA,C11_850_949_Co_ho_pr,C11_850_949_Pe_no_sa_ho,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950over_REA,C11_950over_ST_HA,C11_950over_Co_ho_pr,C11_950over_Pe_no_sa_ho,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Co_ho_pr,C11_R_NS_Pe_no_sa_ho,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_Tot_Co_ho_pr,C11_Tot_Pe_no_sa_ho,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_Tot_Tot,C16_1_74_REA,C16_1_74_ST_HA,C16_1_74_Co_ho_pr,C16_1_74_Per_no_sa_ho,C16_1_74_Oth_land_typ,C16_1_74_LLT_NS,C16_1_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Co_ho_pr,C16_75_99_Pe_no_sa_ho,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Co_ho_pr,C16_100_149_Pe_no_sa_ho,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Co_ho_pr,C16_150_199_Pe_no_sa_ho,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Co_ho_pr,C16_200_224_Pe_no_sa_ho,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Co_ho_pr,C16_225_274_Pe_no_sa_ho,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Co_ho_pr,C16_275_349_Pe_no_sa_ho,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Co_ho_pr,C16_350_449_Pe_no_sa_ho,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Co_ho_pr,C16_450_549_Pe_no_sa_ho,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Co_ho_pr,C16_550_649_Pe_no_sa_ho,C16_550_649_Oth_lan_typ,C16_550_649_LLT_NS,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Co_ho_pr,C16_650_749_Pe_no_sa_ho,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Co_ho_pr,C16_750_849_Pe_no_sa_ho,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Co_ho_pr,C16_850_949_Pe_no_sa_ho
101,21,205,65,160,108,12,570,68,572,83,131,62,10,924,592,618,182,677,182,21,2269,1721,399,86,1049,193,35,3472,1317,159,22,683,124,6,2315,2102,141,24,756,198,15,3241,1948,104,7,628,178,13,2871,1134,40,5,418,82,3,1683,380,4,4,160,42,0,584,149,0,3,58,22,0,234,55,0,0,21,17,0,97,33,3,0,14,10,0,62,6,0,0,4,3,0,19,122,6,0,66,38,4,233,166,130,38,288,177,35,824,9812,2371,524,5108,1430,159,19398,21,88,9,89,77,0,290,17,98,50,55,39,7,264,229,677,132,413,101,23,1574,1045,494,169,676,141,32,2557,1055,207,45,664,93,20,2081,2181,231,37,831,197,16,3496,2847,187,21,982,245,18,4309,2404,88,8,675,110,12,3293,572,11,0,225,29,5,855,228,3,0,77,18,5,324,86,0,0,37,17,4,140,38,0,0,25,12,0,70,31,0,0,16
102,21,343,70,63,17,21,534,14,1224,79,47,33,16,1405,261,818,170,379,275,21,1928,1208,520,146,736,239,37,2881,1252,161,49,792,123,17,2401,4031,230,55,1250,98,27,5700,6903,186,23,1506,126,44,8773,4016,20,8,757,53,16,4863,912,4,3,154,17,3,1094,254,0,0,58,7,0,323,80,4,0,14,4,0,104,23,9,0,12,4,0,44,10,0,0,7,0,0,15,91,0,0,32,10,0,139,281,235,52,247,80,70,964,19353,3748,659,6056,1074,274,31170,19,146,19,37,11,5,242,8,142,36,24,14,8,233,57,1378,99,155,94,19,1793,351,659,215,352,268,27,1862,490,305,63,458,98,15,1419,1285,246,86,679,127,19,2443,4800,346,41,1389,116,45,6736,8620,138,22,1531,96,34,10439,3495,14,7,512,35,12,4067,936,7,0,146,10,0,1106,303,4,0,44,6,4,353,117,0,0,26,3,0,148,45,4,0,12
103,52,318,93,185,168,19,837,94,743,91,174,50,12,1168,1080,834,160,863,209,45,3193,2360,646,58,1050,163,30,4310,1260,206,26,581,77,8,2142,2096,96,15,490,67,8,2772,1766,23,5,339,42,9,2184,927,4,4,157,23,5,1115,192,3,0,36,19,0,250,28,5,0,13,3,0,56,31,0,0,11,4,0,40,11,4,0,14,3,0,29,12,3,0,4,0,0,20,42,0,0,41,11,4,94,207,196,40,253,190,27,911,10154,3071,491,4205,1038,165,19118,30,153,78,112,134,8,509,26,141,57,83,38,0,341,436,947,109,499,106,31,2127,1383,646,110,807,118,41,3104,1149,282,28,700,73,18,2252,2415,222,26,760,98,16,3543,3115,184,25,714,86,19,4150,2164,42,22,343,39,4,2623,274,4,4,56,14,0,349,42,3,0,17,4,0,71,9,0,0,8,3,0,23,6,0,0,7,0,0,18,0,0,0,0
104,22,168,32,76,51,0,348,9,517,28,62,42,5,662,178,353,158,408,165,27,1297,870,253,83,705,125,17,2057,844,83,29,495,73,10,1534,1668,117,38,663,92,23,2598,2310,42,11,664,68,15,3109,1296,8,0,284,44,6,1633,254,0,0,51,11,0,314,49,0,0,13,10,0,69,10,3,0,5,14,0,37,13,3,0,4,4,0,24,6,0,0,3,0,0,3,46,0,0,24,13,0,78,121,132,39,116,72,32,513,7694,1690,424,3565,779,133,14290,4,51,22,43,27,0,149,9,52,19,23,24,0,131,75,596,83,234,112,18,1120,341,300,114,374,111,25,1264,422,151,36,409,76,7,1098,1346,131,35,613,99,19,2242,2382,150,43,864,99,27,3562,2451,39,10,603,62,19,3186,702,7,8,126,32,0,869,139,0,0,33,10,0,184,38,0,0,20,12,0,75,11,0,0,9,9,0,28,0,0,0,0
105,24,232,113,167,487,12,1041,51,412,128,142,110,14,853,773,751,301,840,318,45,3030,1394,288,100,677,220,21,2702,637,60,6,302,67,4,1073,803,29,4,271,43,3,1163,483,23,0,119,21,4,644,205,5,6,44,16,3,272,13,0,0,12,17,0,43,3,0,3,9,7,0,22,5,0,0,4,8,0,18,0,8,0,8,3,0,16,0,0,0,4,0,0,9,22,0,0,29,5,4,63,79,106,39,197,209,37,670,4506,1906,710,2827,1524,150,11617,27,141,66,77,361,8,672,18,108,144,70,107,14,459,268,541,222,450,177,36,1693,913,450,210,629,236,24,2466,633,194,44,458,82,18,1424,993,141,32,414,74,11,1666,1158,74,13,387,49,4,1690,728,19,3,139,27,3,921,89,0,0,20,16,0,130,16,0,0,13,3,0,31,3,0,0,8,10,0,17,3,0,0,0,12,0,14,0,0,0,4
106,25,317,27,84,76,10,538,34,863,90,56,53,16,1117,428,887,110,450,189,27,2090,1399,593,76,664,349,15,3093,1186,254,28,585,395,16,2452,2803,300,34,781,232,15,4165,4016,82,18,716,131,16,4985,2685,11,0,362,34,7,3099,441,0,0,65,14,0,529,70,4,0,17,9,0,106,43,0,0,8,0,0,54,10,10,0,5,0,0,26,9,3,0,5,0,0,15,51,3,0,38,16,3,112,271,212,48,228,197,44,1004,13460,3534,437,4070,1693,174,23375,20,138,14,54,33,5,263,15,147,44,44,15,4,265,203,1080,68,245,90,18,1706,872,760,122,403,132,21,2320,821,294,28,450,98,15,1698,2337,366,31,734,607,27,4098,5563,263,17,1092,200,27,7155,5432,29,4,692,73,20,6242,853,0,0,154,25,3,1033,172,3,0,45,5,0,226,38,3,0,14,9,0,75,15,0,0,9,0,0,24,6,3,0,3
107,28,765,53,63,10,9,927,37,2189,65,54,23,15,2379,354,1581,106,332,135,18,2527,1287,1087,90,700,99,36,3299,1090,403,41,593,78,11,2221,2365,646,43,888,98,27,4059,4177,347,26,1205,102,25,5889,3344,42,12,784,36,13,4231,1079,5,0,222,17,4,1339,327,8,0,68,8,0,410,80,7,0,28,4,0,125,26,21,6,27,5,3,86,17,8,0,3,0,0,27,58,0,0,34,10,0,112,210,458,68,210,66,43,1050,14475,7570,507,5204,711,208,28680,25,322,17,29,13,0,401,9,262,37,21,8,9,349,94,2679,92,158,77,43,3134,401,1306,115,334,63,25,2241,463,557,54,335,44,21,1479,1401,406,52,557,71,20,2518,3287,615,47,944,81,25,5006,5789,414,28,1351,101,21,7705,3235,44,3,490,33,8,3820,1187,8,4,172,15,3,1381,365,4,3,77,15,0,470,117,0,0,29,8,0,152,54,0,0,14
108,24,208,51,102,40,3,435,44,701,80,93,60,10,989,605,584,271,607,239,27,2323,2245,469,176,997,235,32,4162,1457,165,34,765,101,13,2533,2866,102,44,797,86,19,3924,2807,35,23,646,50,9,3571,1314,7,0,259,34,0,1615,236,4,0,35,17,0,297,48,0,0,16,8,0,81,23,0,0,11,6,0,45,9,0,0,7,6,0,22,0,3,0,5,0,0,13,51,0,0,39,12,0,102,169,151,50,232,125,44,775,11902,2447,740,4607,1028,163,20881,23,84,19,57,47,7,227,10,76,47,35,26,6,197,166,884,111,367,142,25,1686,868,551,261,598,182,26,2493,919,237,69,579,100,17,1925,2316,221,55,819,96,29,3532,3765,178,44,972,100,35,5092,3238,38,18,655,66,13,4028,836,0,8,139,19,3,1002,191,0,5,32,7,3,241,36,0,0,18,11,0,71,18,0,0,5,10,0,43,7,0,0,0
109,25,139,83,102,143,11,493,99,291,75,119,52,8,641,1224,369,97,676,142,23,2534,1603,173,90,719,119,21,2717,715,76,8,332,54,12,1187,1194,38,3,312,46,8,1603,804,9,3,185,34,5,1036,295,6,3,59,16,4,382,49,0,0,20,9,0,81,21,0,0,16,7,0,43,6,0,0,3,3,0,12,3,0,0,11,0,0,14,0,0,0,3,0,0,8,28,0,0,25,9,0,64,118,69,35,129,123,30,502,6178,1170,396,2701,752,129,11315,21,47,52,61,98,7,285,52,65,57,64,41,6,280,620,377,94,424,109,17,1646,1498,242,72,611,104,32,2552,846,94,21,408,59,10,1450,1522,91,11,426,59,11,2122,1520,27,7,284,34,0,1872,795,0,4,119,14,4,935,111,0,0,27,14,0,153,17,0,0,7,4,0,25,9,0,0,6,7,0,16,4,0,0,3,3,0,13,0,0,0,0
110,24,252,99,208,239,18,846,87,478,67,179,70,15,889,1205,726,289,966,307,39,3529,2150,609,130,1072,253,32,4246,1197,205,36,559,102,14,2111,1913,90,25,540,101,7,2677,1517,16,10,362,47,8,1970,635,7,4,136,53,6,843,78,0,0,26,17,0,124,15,3,0,5,17,0,36,6,4,0,10,5,3,25,4,0,0,10,6,0,21,0,4,0,0,0,0,3,38,0,0,52,10,0,99,152,129,49,226,302,46,902,9013,2530,713,4343,1521,189,18310,29,101,60,116,170,6,480,52,129,52,83,61,14,379,463,634,154,584,203,34,2075,1466,640,225,773,187,47,3340,1104,240,61,645,103,23,2184,2183,273,57,681,107,23,3321,2892,103,21,742,97,21,3880,1813,21,3,344,47,5,2247,336,6,0,73,25,0,436,49,0,0,25,9,0,82,12,0,0,5,3,0,17,9,0,0,6,0,0,10,5,0,0,0
