SA4_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
101,103,66,10,37,215,229,69,59,4,358,484,34,570,1444,75,59,19,5,154,172,17,189,531,28813,24360,8990,728,62892,25903,2284,7640,98716
102,72,60,12,13,162,191,53,103,8,353,577,50,219,1200,54,36,25,0,117,154,5,35,313,35678,37474,17619,1225,92003,35866,3845,6463,138174
103,224,109,16,60,407,141,113,39,8,303,303,22,367,993,63,69,20,6,160,124,10,80,371,22971,21393,9187,791,54344,23550,2146,6332,86372
104,118,54,10,27,207,335,83,51,18,480,643,37,966,2129,58,33,29,0,118,109,7,106,340,17418,13234,6998,547,38194,15746,1943,4561,60448
105,59,37,4,28,128,110,46,26,3,187,251,19,621,1075,80,83,31,3,199,206,17,214,635,11358,10389,5369,515,27631,12882,1193,5822,47524
106,67,69,9,23,166,227,39,75,16,359,571,51,307,1282,65,46,18,5,134,127,13,59,333,31474,32098,13773,987,78334,26243,2612,5361,112548
107,189,160,31,29,407,203,76,72,21,374,505,48,170,1096,38,44,25,0,103,97,9,36,248,31709,36365,13998,1202,83273,29162,4347,4630,121418
108,103,106,10,32,253,341,59,79,7,492,778,53,844,2167,77,35,18,4,136,168,14,121,441,30546,19190,10786,856,61375,27569,2714,6583,98245
109,47,20,4,17,85,96,23,14,0,131,156,8,282,574,62,26,9,0,102,96,12,88,295,14523,11961,4905,407,31800,14523,1362,3897,51583
110,63,48,4,32,142,102,37,21,3,166,288,27,613,1096,70,37,16,3,127,153,19,127,432,20221,17056,8135,781,46201,20576,2114,7248,76139
111,122,146,42,29,339,133,39,59,7,241,362,56,174,830,57,26,17,0,104,145,13,37,292,41154,42200,17856,1681,102887,40325,6640,5618,155470
