SA4_CODE_2021,C16_F_65_69_Tot_LF,C16_F_65_69_Not_LF,C16_F_65_69_LF_NS,C16_F_65_69_Tot,C16_F_70_74_Em_FT,C16_F_70_74_Em_PT,C16_F_70_74_Em_AFW,C16_F_70_74_Em_Hrs_NS,C16_F_70_74_Em_Tot,C16_F_70_74_Unem_Look_FT,C16_F_70_74_Unem_Look_PT,C16_F_70_74_Unem_Tot,C16_F_70_74_Tot_LF,C16_F_70_74_Not_LF,C16_F_70_74_LF_NS,C16_F_70_74_Tot,C16_F_75over_Em_FT,C16_F_75over_Em_PT,C16_F_75over_Emp_A_fr_wo,C16_F_75over_Em_Hou_wor_ns,C16_F_75over_Em_Tot,C16_F_75over_Unem_Lo_ft_wor,C16_F_75over_Unem_Lo_pt_wor,C16_F_75over_Unem_Tot,C16_F_75over_Tot_LF,C16_F_75over_N_lab_forc,C16_F_75over_LF_NS,C16_F_75over_Tot,C16_F_Tot_Em_FT,C16_F_Tot_Em_PT,C16_F_Tot_Em_AFW,C16_F_Tot_Em_Hrs_NS,C16_F_Tot_Em_Tot,C16_F_Tot_Unem_Look_FT,C16_F_Tot_Unem_Look_PT,C16_F_Tot_Unem_Tot,C16_F_Tot_Tot_labo_for,C16_F_Tot_Not_LF,C16_F_Tot_LF_NS,C16_F_Tot_Tot,C21_F_15_19_Em_FT,C21_F_15_19_Em_PT,C21_F_15_19_Em_AFW,C21_F_15_19_Em_Hrs_NS,C21_F_15_19_Em_Tot,C21_F_15_19_Unem_Look_FT,C21_F_15_19_Unem_Look_PT,C21_F_15_19_Unem_Tot,C21_F_15_19_Tot_LF,C21_F_15_19_Not_LF,C21_F_15_19_LF_NS,C21_F_15_19_Tot,C21_F_20_24_Em_FT,C21_F_20_24_Em_PT,C21_F_20_24_Em_AFW,C21_F_20_24_Em_Hrs_NS,C21_F_20_24_Em_Tot,C21_F_20_24_Unem_Look_FT,C21_F_20_24_Unem_Look_PT,C21_F_20_24_Unem_Tot,C21_F_20_24_Tot_LF,C21_F_20_24_Not_LF,C21_F_20_24_LF_NS,C21_F_20_24_Tot,C21_F_25_29_Em_FT,C21_F_25_29_Em_PT,C21_F_25_29_Em_AFW,C21_F_25_29_Em_Hrs_NS,C21_F_25_29_Em_Tot,C21_F_25_29_Unem_Look_FT,C21_F_25_29_Unem_Look_PT,C21_F_25_29_Unem_Tot,C21_F_25_29_Tot_LF,C21_F_25_29_Not_LF,C21_F_25_29_LF_NS,C21_F_25_29_Tot,C21_F_30_34_Em_FT,C21_F_30_34_Em_PT,C21_F_30_34_Em_AFW,C21_F_30_34_Em_Hrs_NS,C21_F_30_34_Em_Tot,C21_F_30_34_Unem_Look_FT,C21_F_30_34_Unem_Look_PT,C21_F_30_34_Unem_Tot,C21_F_30_34_Tot_LF,C21_F_30_34_Not_LF,C21_F_30_34_LF_NS,C21_F_30_34_Tot,C21_F_35_39_Em_FT,C21_F_35_39_Em_PT,C21_F_35_39_Em_AFW,C21_F_35_39_Em_Hrs_NS,C21_F_35_39_Em_Tot,C21_F_35_39_Unem_Look_FT,C21_F_35_39_Unem_Look_PT,C21_F_35_39_Unem_Tot,C21_F_35_39_Tot_LF,C21_F_35_39_Not_LF,C21_F_35_39_LF_NS,C21_F_35_39_Tot,C21_F_40_44_Em_FT,C21_F_40_44_Em_PT,C21_F_40_44_Em_AFW,C21_F_40_44_Em_Hrs_NS,C21_F_40_44_Em_Tot,C21_F_40_44_Unem_Look_FT,C21_F_40_44_Unem_Look_PT,C21_F_40_44_Unem_Tot,C21_F_40_44_Tot_LF,C21_F_40_44_Not_LF,C21_F_40_44_LF_NS,C21_F_40_44_Tot,C21_F_45_49_Em_FT,C21_F_45_49_Em_PT,C21_F_45_49_Em_AFW,C21_F_45_49_Em_Hrs_NS,C21_F_45_49_Em_Tot,C21_F_45_49_Unem_Look_FT,C21_F_45_49_Unem_Look_PT,C21_F_45_49_Unem_Tot,C21_F_45_49_Tot_LF,C21_F_45_49_Not_LF,C21_F_45_49_LF_NS,C21_F_45_49_Tot,C21_F_50_54_Em_FT,C21_F_50_54_Em_PT,C21_F_50_54_Em_AFW,C21_F_50_54_Em_Hrs_NS,C21_F_50_54_Em_Tot,C21_F_50_54_Unem_Look_FT,C21_F_50_54_Unem_Look_PT,C21_F_50_54_Unem_Tot,C21_F_50_54_Tot_LF,C21_F_50_54_Not_LF,C21_F_50_54_LF_NS,C21_F_50_54_Tot,C21_F_55_59_Em_FT,C21_F_55_59_Em_PT,C21_F_55_59_Em_AFW,C21_F_55_59_Em_Hrs_NS,C21_F_55_59_Em_Tot,C21_F_55_59_Unem_Look_FT,C21_F_55_59_Unem_Look_PT,C21_F_55_59_Unem_Tot,C21_F_55_59_Tot_LF,C21_F_55_59_Not_LF,C21_F_55_59_LF_NS,C21_F_55_59_Tot,C21_F_60_64_Em_FT,C21_F_60_64_Em_PT,C21_F_60_64_Em_AFW,C21_F_60_64_Em_Hrs_NS,C21_F_60_64_Em_Tot,C21_F_60_64_Unem_Look_FT,C21_F_60_64_Unem_Look_PT,C21_F_60_64_Unem_Tot,C21_F_60_64_Tot_LF,C21_F_60_64_Not_LF,C21_F_60_64_LF_NS,C21_F_60_64_Tot,C21_F_65_69_Em_FT,C21_F_65_69_Em_PT,C21_F_65_69_Em_AFW,C21_F_65_69_Em_Hrs_NS,C21_F_65_69_Em_Tot,C21_F_65_69_Unem_Look_FT,C21_F_65_69_Unem_Look_PT,C21_F_65_69_Unem_Tot,C21_F_65_69_Tot_LF,C21_F_65_69_Not_LF,C21_F_65_69_LF_NS,C21_F_65_69_Tot,C21_F_70_74_Em_FT,C21_F_70_74_Em_PT,C21_F_70_74_Em_AFW,C21_F_70_74_Em_Hrs_NS,C21_F_70_74_Em_Tot,C21_F_70_74_Unem_Look_FT,C21_F_70_74_Unem_Look_PT,C21_F_70_74_Unem_Tot,C21_F_70_74_Tot_LF,C21_F_70_74_Not_LF,C21_F_70_74_LF_NS,C21_F_70_74_Tot,C21_F_75over_Em_FT,C21_F_75over_Em_PT,C21_F_75over_Emp_Aw_fr_w,C21_F_75over_Emp_Hou_w_ns,C21_F_75over_Em_Tot,C21_F_75over_Unem_Lo_ft_wor,C21_F_75over_Unem_Lo_pt_wor,C21_F_75over_Unemp_Tot,C21_F_75over_Tot_lab_for,C21_F_75over_N_lab_forc,C21_F_75over_LF_NS,C21_F_75over_yr_Tot,C21_F_Tot_Em_FT,C21_F_Tot_Em_PT,C21_F_Tot_Em_AFW,C21_F_Tot_Em_Hrs_NS
101,1489,5359,580,7427,172,324,41,22,557,3,3,7,563,4562,502,5620,96,142,9,37,287,7,3,8,289,8320,1496,10113,22587,21150,2308,850,46886,1041,1195,2233,49127,34840,7101,91061,536,2416,215,92,3261,72,227,298,3563,2163,364,6085,1974,1684,177,92,3931,101,90,192,4116,748,328,5199,2646,1676,387,93,4810,83,91,176,4983,969,437,6386,2607,2203,551,82,5448,65,73,137,5587,1096,440,7116,2786,2290,359,88,5530,54,75,134,5663,1015,434,7113,2972,2195,217,68,5451,79,71,143,5595,828,427,6848,3578,2111,217,61,5960,76,73,150,6114,1017,416,7551,3628,2446,310,88,6474,97,79,173,6646,1390,452,8485,2897,2540,316,73,5816,71,79,151,5968,2293,524,8784,1727,2398,284,51,4450,43,93,134,4585,3955,517,9052,643,1205,168,32,2045,10,38,50,2098,5700,459,8254,224,494,44,26,791,0,9,9,801,5978,476,7258,101,236,34,37,402,3,0,9,406,10179,1114,11699,26321,23889,3276,884
102,1696,8284,645,10625,107,386,30,22,546,7,9,11,558,7531,627,8717,32,111,10,30,181,6,11,13,197,15777,2418,18388,29329,34041,3059,1086,67507,2222,2636,4857,72363,58759,8586,139709,454,3270,1161,80,4961,153,519,674,5635,3707,412,9754,2364,2882,1152,104,6507,223,199,425,6929,1740,433,9107,3360,2277,958,141,6732,145,144,291,7027,1792,497,9314,2997,2995,1227,112,7328,123,110,237,7566,2110,509,10187,3225,3672,986,124,7999,121,141,262,8263,2056,505,10826,3570,3458,715,94,7843,111,136,246,8085,2035,495,10620,4180,3463,716,99,8458,154,131,284,8742,2095,508,11343,4038,3454,739,101,8328,144,130,274,8606,2452,392,11447,3303,3402,719,77,7503,127,137,270,7774,3428,481,11674,2037,2923,642,50,5652,76,137,216,5866,5601,444,11913,657,1349,290,32,2328,21,38,65,2391,8221,525,11136,133,435,108,15,696,0,15,15,710,9344,607,10662,42,193,58,37,327,6,6,16,339,17394,2733,20468,30365,33766,9475,1065
103,1329,4381,580,6295,164,330,38,29,554,0,4,9,563,3849,467,4874,120,175,24,53,376,0,5,3,378,8265,1304,9948,18701,19510,1965,808,40987,1277,1263,2542,43531,33066,7046,83643,548,2202,183,88,3017,91,223,315,3333,2327,352,6010,1905,1648,207,62,3814,125,132,260,4076,899,379,5354,2364,1629,377,80,4450,84,108,197,4650,1092,384,6114,2131,2092,462,71,4758,80,70,154,4913,1108,458,6473,2178,2188,297,62,4719,55,83,140,4863,1024,411,6300,2257,1957,164,72,4453,75,77,148,4598,897,387,5880,2872,1938,157,56,5018,80,58,141,5157,975,422,6553,2734,1991,182,55,4970,68,74,140,5112,1271,422,6806,2331,2031,231,56,4640,64,75,137,4781,1799,421,7003,1512,1855,209,39,3613,48,74,119,3739,2856,410,7004,573,979,104,26,1679,4,23,29,1709,4150,369,6231,220,436,44,23,724,0,5,11,730,4877,425,6028,113,243,30,45,435,0,3,8,439,9381,1114,10933,21734,21189,2643,729
104,767,3898,349,5022,43,159,13,14,226,0,3,6,236,3273,300,3810,26,70,10,27,127,3,0,3,129,6477,1061,7667,10436,13667,1129,451,25692,915,1043,1960,27649,26130,4292,58073,238,1581,128,53,1997,71,202,279,2268,1335,241,3849,881,1059,84,69,2096,96,65,162,2255,622,200,3073,1084,1088,175,64,2416,77,57,132,2548,763,270,3580,1105,1398,215,63,2782,60,69,123,2909,864,265,4038,1209,1521,153,40,2924,62,62,121,3046,801,284,4130,1415,1464,115,50,3043,60,69,130,3173,665,277,4115,1754,1484,101,48,3387,81,77,153,3539,793,262,4593,1755,1552,143,49,3501,48,72,118,3621,982,267,4873,1413,1677,195,35,3320,72,75,146,3463,1535,290,5289,994,1556,156,39,2743,42,89,130,2880,2634,262,5775,342,721,83,17,1172,11,24,31,1203,4028,263,5495,85,254,22,11,372,0,0,0,372,4227,303,4904,27,82,12,19,142,0,6,6,145,7589,1018,8749,12309,15431,1586,560
105,718,2138,297,3152,126,152,17,18,308,0,6,0,310,2026,275,2610,75,111,15,26,228,0,3,3,230,4450,683,5355,11600,9354,996,493,22433,813,706,1524,23959,17998,4265,46228,277,1048,76,37,1438,59,110,163,1600,1178,345,3133,1091,661,80,47,1878,58,68,127,2009,598,335,2945,1538,905,213,65,2723,52,42,100,2822,726,424,3975,1340,1073,255,66,2732,53,41,89,2824,690,420,3935,1219,1047,132,48,2443,43,40,83,2525,558,420,3507,1263,850,62,35,2214,44,35,80,2291,461,375,3130,1410,756,67,32,2269,43,32,78,2342,552,345,3235,1546,833,70,36,2490,40,30,76,2564,653,399,3616,1412,891,108,46,2457,29,33,66,2522,885,369,3776,960,929,122,37,2042,35,47,81,2124,1417,345,3885,407,480,56,19,963,10,16,27,991,1982,323,3285,134,200,21,14,364,0,3,3,368,2245,307,2916,88,125,16,24,246,0,0,0,253,4614,867,5738,12678,9803,1280,507
106,1202,6012,596,7806,90,241,27,19,374,3,3,3,377,5025,494,5897,52,119,11,39,221,0,3,5,225,9167,1217,10608,22328,26307,2408,895,51933,1968,2112,4078,56015,43733,7132,106874,716,3226,576,89,4601,161,395,555,5156,2876,355,8383,2553,2599,491,113,5755,210,193,404,6156,1311,386,7855,3298,2354,667,130,6456,150,136,292,6740,1738,431,8912,2945,3158,762,107,6981,115,160,272,7250,1820,437,9514,2994,3333,542,98,6962,101,161,255,7223,1678,402,9304,3061,2951,329,78,6416,104,113,218,6632,1466,398,8496,3481,3048,323,82,6931,120,110,223,7155,1639,383,9177,3285,2925,374,74,6651,123,119,246,6905,1996,371,9273,2610,2716,409,66,5805,100,115,216,6024,2943,387,9355,1472,2250,323,55,4106,61,114,180,4283,4877,356,9517,457,989,151,35,1629,3,30,34,1665,6718,363,8746,132,388,52,27,590,0,3,3,593,6840,388,7834,55,162,21,27,264,0,4,7,271,11298,1227,12792,27064,30109,5022,962
107,1100,6362,495,7959,64,199,18,12,298,0,3,6,301,5737,471,6510,20,77,9,34,144,0,0,4,143,12320,1505,13970,26337,30974,2822,857,60993,1706,2598,4299,65292,50877,6660,122835,518,2971,993,79,4564,121,502,618,5179,3846,398,9419,2702,3393,1265,116,7481,253,338,591,8070,1963,456,10487,3940,2400,1006,124,7474,163,145,309,7781,1660,458,9903,3105,3126,1263,116,7604,105,134,244,7845,1895,449,10197,2950,3580,902,74,7504,119,131,246,7751,1940,401,10099,3411,3296,622,62,7396,101,118,218,7610,1690,379,9685,3871,3301,567,72,7813,108,119,233,8046,1883,378,10301,3444,2962,597,68,7079,99,107,206,7287,2280,291,9853,2713,2903,611,49,6277,86,111,197,6473,3291,330,10089,1563,2186,485,34,4270,38,95,127,4400,5348,326,10071,474,933,224,23,1650,11,27,36,1689,6924,362,8975,98,317,61,10,489,0,14,14,506,7012,347,7866,29,115,19,12,180,3,0,3,183,13825,1649,15656,28827,31467,8623,844
108,1261,7194,667,9119,92,282,29,29,434,0,3,4,438,6448,605,7494,50,113,20,44,224,0,3,3,229,12262,1773,14265,14762,19478,1728,764,36729,1381,1479,2857,39586,45641,6707,91932,422,2380,226,83,3105,101,282,380,3491,2093,361,5942,1247,1545,192,90,3076,122,141,261,3339,903,284,4529,1533,1381,293,65,3281,100,94,199,3474,1053,349,4878,1432,1870,287,77,3663,84,81,167,3829,1142,369,5338,1620,2012,248,62,3938,91,97,180,4113,1082,349,5548,1980,1983,163,71,4197,73,85,159,4356,1047,357,5758,2507,2188,158,77,4935,85,83,168,5097,1204,356,6661,2530,2342,223,78,5177,93,118,210,5388,1602,360,7354,2246,2617,301,61,5238,83,138,221,5462,2589,430,8479,1478,2491,292,59,4317,70,153,223,4547,4897,479,9920,521,1102,130,25,1774,15,53,67,1844,7220,490,9557,150,418,34,28,633,3,15,17,647,8124,570,9345,51,211,32,52,344,3,4,10,349,14653,1794,16790,17716,22541,2581,837
109,799,2679,305,3778,76,156,34,14,283,0,7,3,285,2474,271,3037,50,75,13,18,159,0,0,0,160,5065,855,6079,10246,12077,1206,455,23978,660,735,1398,25376,18803,4040,48221,252,1435,110,39,1831,45,139,178,2013,1234,236,3485,988,1029,124,54,2196,65,80,145,2344,512,216,3073,1275,939,220,50,2485,49,40,93,2571,534,253,3361,1103,1218,237,29,2594,33,59,92,2684,638,262,3582,1141,1355,161,30,2687,31,48,78,2764,569,257,3595,1244,1223,81,25,2577,42,47,89,2667,545,246,3458,1518,1193,99,35,2837,50,35,80,2923,519,242,3684,1558,1217,125,37,2936,29,36,68,3011,657,236,3901,1331,1323,136,30,2815,38,47,81,2900,987,297,4178,917,1327,142,31,2420,28,58,85,2512,1769,279,4557,346,668,74,24,1114,8,15,25,1136,2795,282,4223,102,272,25,13,414,0,0,0,414,3091,294,3794,56,121,21,28,226,0,3,3,229,5867,819,6927,11830,13318,1572,430
110,1272,3756,488,5514,189,317,22,31,562,3,3,3,564,3479,437,4485,111,159,29,48,349,4,7,9,353,7198,1288,8839,17118,16553,1678,782,36134,1245,1213,2456,38591,29559,6619,74767,489,1902,149,91,2634,104,212,315,2949,2208,631,5790,1576,1291,161,63,3095,131,129,259,3361,1107,582,5044,2074,1351,280,66,3770,99,94,194,3960,1083,543,5583,1904,1618,321,81,3930,99,92,191,4120,1075,528,5716,1824,1730,221,57,3825,66,71,132,3957,899,512,5371,2075,1486,123,58,3739,86,59,145,3884,778,456,5117,2269,1586,124,53,4022,98,68,168,4184,834,502,5519,2434,1458,136,48,4072,80,59,145,4214,1046,517,5774,2031,1690,185,55,3962,73,65,141,4099,1538,531,6165,1481,1586,186,57,3315,64,75,140,3455,2453,475,6379,591,917,101,30,1639,14,24,35,1675,3484,422,5589,224,425,52,28,721,0,0,3,725,3981,444,5150,107,235,25,52,416,0,3,3,423,8217,1236,9878,19070,17267,2066,726
