SA4_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
101,379,211,86,34,713,651,259,87,63,1058,1196,458,165,67,1885,722,360,110,38,1230,524,302,76,25,931,244,104,33,12,393,202,115,46,6,372,123,84,32,11,249,320,215,96,50,680,119,47,7,8,179,5375,2566,926,389,9265
102,808,520,214,64,1602,1280,486,188,101,2060,2601,1079,353,140,4174,1418,773,220,78,2479,1014,539,179,65,1802,444,261,61,17,784,273,234,80,28,613,189,139,64,19,406,516,404,180,48,1153,181,59,19,6,269,10368,5381,1801,648,18194
103,440,284,139,74,932,715,260,120,92,1189,1136,567,216,100,2016,642,311,140,53,1147,464,245,73,33,812,167,94,39,14,309,145,93,38,8,277,101,59,19,4,181,283,210,110,48,644,123,47,21,16,198,5128,2693,1082,533,9433
104,391,227,94,42,748,562,230,75,37,905,1042,459,177,74,1750,485,260,96,31,876,297,126,51,11,483,94,52,17,6,170,66,56,13,9,140,60,28,16,11,112,252,172,77,31,531,108,43,12,0,166,4139,2067,739,303,7248
105,262,159,76,44,534,360,165,75,47,653,698,303,143,59,1210,347,188,78,34,649,224,125,46,18,416,96,48,12,4,158,74,36,13,10,140,54,27,12,4,103,197,112,54,34,399,108,43,14,13,184,3014,1531,678,340,5563
106,646,419,201,98,1361,1037,394,201,102,1735,1831,906,321,142,3201,959,544,172,77,1745,660,407,148,39,1249,276,161,61,28,524,195,175,47,28,437,118,101,35,17,271,442,273,142,69,925,154,67,32,11,257,7655,4241,1654,722,14278
107,619,375,130,41,1165,1016,383,149,62,1614,1933,820,269,107,3124,1130,597,177,55,1957,794,508,119,44,1464,360,180,49,16,601,274,262,64,16,618,155,158,53,19,386,401,303,153,53,910,141,40,18,5,206,8198,4276,1402,491,14369
108,599,362,143,62,1167,958,327,151,67,1503,1651,639,265,139,2687,699,352,109,54,1214,408,229,57,33,736,150,66,24,15,255,75,59,28,6,170,80,29,16,5,128,379,281,104,72,837,139,55,33,25,253,6441,3009,1142,561,11156
109,254,157,63,24,498,355,150,58,32,599,647,306,119,51,1120,352,198,53,26,626,255,121,46,14,437,78,33,19,5,128,38,36,10,8,95,34,23,14,4,71,162,103,52,29,339,70,26,10,5,107,2811,1422,535,236,5000
110,416,266,144,59,888,628,245,153,71,1098,1079,462,179,105,1831,503,259,98,34,890,360,159,64,25,613,112,58,13,4,188,69,54,18,5,145,68,37,14,10,130,239,179,92,42,555,141,52,18,18,228,4588,2299,1020,491,8402
