SA4_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
101,446,586,5776,206290,15401,1739,207,17345,15164,238810
102,638,1536,10545,304010,22559,2956,324,25839,16744,346596
103,180,500,5504,187700,8839,1094,154,10088,15177,212962
104,176,482,4473,126613,7870,1689,147,9701,9816,146127
105,72,477,2866,95955,5737,571,78,6382,13232,115566
106,181,721,5922,264108,10929,1535,145,12608,15224,291946
107,1752,1139,8227,257269,36686,6503,382,43565,12996,313842
108,267,741,8536,206095,7616,833,120,8572,14371,229035
109,163,321,3413,107423,6103,1111,108,7319,8816,123552
110,95,596,4669,158447,8440,1398,143,9980,17131,185560
111,847,1087,10881,344550,26464,3789,372,30637,15341,390519
112,322,1086,8337,223964,13238,1118,186,14547,18548,257061
113,341,486,4250,135786,13106,2963,189,16258,11621,163656
114,283,541,5266,142120,8375,917,121,9417,9472,161006
115,1123,608,5023,166485,79846,10599,783,91227,6653,264371
116,1902,453,4339,189840,166522,21231,1863,189615,21541,400997
117,1861,471,3864,193782,98954,17928,933,117820,19745,331340
118,1755,1261,6538,185450,55440,5918,510,61866,14098,261410
119,7065,2233,14802,221348,277704,69236,2904,349850,33921,605118
120,3689,810,7002,164752,104330,22222,1070,127625,12395,304771
121,2144,1005,10839,274429,117778,18569,1287,137638,11983,424045
122,956,642,7243,213359,37505,4139,441,42087,8111,263554
123,667,544,3676,206014,67852,8848,738,77435,13845,297292
124,726,812,5235,263716,45557,5548,540,51643,16698,332056
125,3304,959,7867,159729,240199,59617,2664,302483,31311,493515
126,1562,702,5131,96502,81423,16146,923,98495,7040,202038
127,4417,1027,7189,165599,211759,69644,2137,283542,25299,474430
128,774,893,6432,190233,28403,3647,322,32370,7001,229604
197,0,0,0,0,0,0,0,0,0,0
199,6,17,49,6417,1003,162,25,1187,3764,11371
201,195,497,4317,153675,9483,946,146,10576,9684,173937
202,124,665,4517,147380,8313,1699,136,10146,10238,167764
203,1097,726,7951,277053,30023,4517,431,34977,15848,327878
204,368,490,4995,163188,8595,1265,141,9998,11753,184935
205,639,926,7929,264484,13726,1906,201,15842,20526,300848
206,4843,788,9883,407221,152918,23811,1441,178173,31616,617018
207,3897,741,12274,216411,119756,25340,1182,146278,10787,373472
208,3001,832,12330,310343,86695,11868,938,99507,12789,422639
209,4389,1061,10509,339916,152075,26909,1783,180762,19981,540664
210,3637,659,7813,226091,148944,28000,1775,178719,19519,424328
211,2389,1114,11817,390047,93325,18136,1223,112680,15575,518301
212,5919,1118,16090,427355,323742,68875,3584,396198,36502,860060
213,4891,909,10261,418544,322710,62156,4145,389013,45493,853054
214,828,899,9042,267079,22737,2853,307,25905,15244,308226
215,313,609,4936,129262,10585,3624,206,14424,11888,155568
216,292,461,3977,112315,12525,2988,223,15737,9566,137618
217,97,441,3801,114940,4530,795,101,5416,7707,128069
297,0,0,0,13,5,0,0,5,27,38
299,4,14,29,4485,834,179,15,1027,3575,9089
301,489,534,5357,210212,19514,2016,254,21781,7823,239817
302,611,570,5665,177613,34955,3985,430,39365,7615,224598
303,1307,524,6553,227519,108240,21153,1333,130721,12784,371026
304,356,313,3973,149060,31901,3265,327,35490,4665,189213
305,559,379,3515,221264,51000,5250,526,56772,14206,292245
306,631,594,4493,196896,30179,3931,517,34626,22219,253748
307,95,403,2990,112167,4655,612,81,5346,11101,128622
308,123,450,3660,196601,11284,1583,173,13043,18604,228246
309,1408,1556,13071,516017,77714,10361,835,88916,35855,640778
310,505,536,4732,277133,54609,11341,768,66715,23279,367126
311,605,484,4487,272260,53390,10977,762,65127,22382,359767
312,131,285,2586,150204,10338,997,141,11474,19218,180894
313,298,621,6077,232127,15054,2307,187,17543,15076,264752
314,206,152,2531,185345,22980,2304,291,25568,6785,217700
315,67,105,739,55367,12651,1884,402,14940,9527,79827
316,576,1062,10669,353923,23203,1893,326,25429,19494,398840
317,138,333,3892,137132,14080,3153,223,17457,7470,162059
318,361,369,3857,196473,16873,2038,224,19132,18677,234283
319,323,770,8257,273917,11476,1666,180,13321,20502,307745
397,0,0,0,32,19,0,0,22,128,183
399,0,10,44,9972,1085,140,19,1244,3455,14670
401,2337,604,9235,230115,63440,8117,591,72153,10109,312377
402,1717,765,9116,325085,91129,20511,1197,112838,17785,455707
403,1210,592,10381,315685,41997,5200,525,47732,11447,374859
404,2708,316,7525,166987,57831,11056,633,69514,7842,244347
405,127,344,3306,104345,3090,319,72,3480,6662,114487
406,126,164,1759,68658,6400,613,246,7261,6731,82646
407,370,514,5989,169818,9293,1969,148,11407,12482,193709
497,0,0,0,0,8,0,0,8,5,12
499,3,0,11,2261,300,34,11,343,770,3377
501,246,402,3986,163920,11681,1325,171,13174,11654,188747
502,140,419,3095,94318,6576,566,68,7207,6114,107641
503,865,374,4406,136054,33694,3561,352,37607,8602,182267
504,914,489,4488,202437,51162,8325,623,60111,14029,276573
505,2173,807,10928,434382,103800,16147,1149,121092,21825,577297
506,1403,1134,9154,350367,132319,19251,1718,153286,25811,529466
507,1456,897,8752,348470,65698,7682,785,74154,20785,443407
509,149,376,3308,116589,6983,992,126,8102,12491,137175
510,48,42,204,59297,14465,1233,313,16010,14816,90128
511,90,257,1749,92630,10458,989,167,11616,14510,118758
597,0,0,0,232,59,3,0,68,219,514
599,0,18,30,4079,497,56,9,562,3411,8055
601,396,385,5631,204029,29043,3091,389,32518,10542,247086
