SA4_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
111,4454,3230,2422,1775,670,148,16305,142,1110,1468,1380,1334,1188,339,53,7015,3102,13848,12020,8664,6003,4901,1942,477,50953,1350,4723,5624,6235,5698,3951,1801,508,29898,6183,12841,11324,11486,11149,7617,3648,1156,65407,956,716,640,655,641,487,183,45,4315,426,566,689,1170,1536,1593,829,256,7071,7566,14122,12653,13317,13326,9702,4662,1452,76794,150,228,236,277,354,382,297,112,2030,2642,2835,2540,2500,2644,3176,3176,2325,21843,15089,40327,38992,35609,31778,25074,12888,5076,204837
112,1737,1669,1559,1372,417,58,7978,49,467,861,954,1034,984,227,44,4619,789,5460,6916,6165,4936,4369,1424,335,30389,631,2501,3501,4066,4387,3529,1395,407,20404,3059,6298,6888,7438,8257,5706,2415,707,40775,456,437,395,446,517,394,106,31,2784,219,383,574,748,1108,1137,511,161,4840,3734,7125,7853,8634,9881,7238,3034,897,48403,58,125,143,187,282,351,218,108,1480,2362,2620,2900,2970,3300,3404,2813,1980,22358,7665,19412,23914,24638,25389,21247,9523,3823,135621
113,824,636,534,337,105,27,3358,39,358,446,481,401,328,84,10,2148,797,3861,3367,2584,1726,1293,515,125,14271,463,1624,1786,1920,1867,1272,559,167,9650,2710,5554,4910,4528,4472,2721,1012,269,26176,366,407,277,316,337,207,57,14,1979,150,261,302,473,593,522,203,61,2570,3219,6224,5492,5317,5403,3447,1275,344,30725,55,110,96,83,126,123,90,35,722,1876,2020,1841,1845,1878,1924,1556,911,13836,6493,15049,13844,12864,11936,8726,4180,1622,74715
114,997,1043,1087,1211,480,106,5743,34,326,452,482,687,740,229,15,2955,493,2760,3079,2930,3029,2974,1327,303,16886,336,1381,1889,2422,2821,2603,1289,311,13051,2100,4773,4494,4708,5363,4243,2206,572,28458,270,280,277,285,382,308,107,26,1930,148,224,301,478,769,948,511,124,3497,2517,5273,5075,5464,6516,5495,2824,718,33883,41,71,89,109,166,284,199,67,1023,1289,1419,1410,1530,1699,2031,1827,1094,12298,4736,12015,12986,13979,16005,15342,8164,2612,85837
115,8564,5219,3220,1808,537,121,23038,101,587,1233,1267,951,777,221,44,5178,3188,9324,13292,10436,6962,4681,1648,412,49951,1225,2421,4304,5482,4245,2967,1274,366,22289,2682,4178,4564,5727,4910,2984,1704,428,27173,285,200,234,356,367,258,102,25,1845,247,288,554,937,1114,1028,498,142,4806,3217,4673,5354,7018,6392,4271,2315,596,33827,90,171,314,325,314,300,242,66,1827,957,1143,1534,1362,1209,1250,1255,1141,9843,8911,21755,34590,31114,23296,16050,7496,2745,145953
116,11789,3912,1902,1004,248,40,26154,147,1062,1594,995,583,340,96,3,4814,4070,16855,19150,9564,6035,3569,934,185,60364,2098,6210,7383,5590,3721,1953,631,130,27714,4104,8273,8193,7605,5795,3187,1282,332,38779,595,555,653,579,481,249,78,12,3192,388,638,1009,1235,1064,755,282,68,5438,5093,9464,9853,9414,7339,4189,1645,415,47411,141,462,683,448,353,317,123,16,2536,3690,5331,4910,3361,2616,2319,1565,904,24695,15599,46271,55358,33283,22547,13692,5240,1696,193690
117,12482,6336,3962,2315,710,106,43810,176,2419,2038,1488,1116,702,181,17,8142,9543,40375,20986,10642,6534,3640,1258,331,93311,2797,8801,6442,4624,3110,1737,739,220,28476,2161,6424,4344,3486,2799,1553,737,219,21734,300,420,342,322,270,178,44,7,1884,280,725,667,828,785,506,218,64,4063,2742,7563,5352,4637,3851,2240,999,297,27684,273,712,492,327,282,247,126,38,2497,3314,7547,4322,2733,2345,1895,1330,648,24135,19676,84489,52120,30788,21202,12776,5344,1666,228058
118,8421,6308,4065,2516,1104,238,30555,72,1198,1370,1318,998,788,271,55,6068,4435,23766,15561,11433,7393,4845,2178,649,70260,1045,3773,3888,3952,3158,2263,1154,434,19661,1172,3833,2989,2768,2585,1716,1140,416,16622,170,210,198,224,229,173,77,15,1304,163,463,439,674,789,662,366,125,3670,1507,4500,3628,3664,3604,2555,1590,554,21597,101,469,357,276,311,316,246,79,2151,1759,3814,2846,2162,1667,1719,1816,1703,17496,9183,45158,36072,29110,21197,15001,8347,3708,167785
119,11122,5797,3463,1660,476,95,36971,267,1702,1835,1477,1179,804,240,51,7549,8958,31235,22705,13862,9904,5236,1932,628,94458,4417,9601,10869,9924,7235,3928,1491,494,47958,4503,9619,9488,10049,8657,5106,2949,1074,51446,608,642,794,925,844,432,131,43,4419,594,1034,1427,2104,2239,1490,637,259,9781,5705,11295,11708,13080,11737,7025,3713,1378,65648,304,873,783,713,713,539,259,104,4288,5303,8327,6689,5225,4791,4168,3794,3286,41590,25609,76747,65708,50072,39019,23368,11898,6037,298456
120,9624,6059,4298,2541,778,145,34744,182,1478,1706,1630,1256,955,279,54,7544,5699,23357,17113,11932,8070,4780,1791,439,73175,2971,4995,5024,5215,4026,2471,960,318,25977,1802,3978,3520,3807,3570,2155,1160,403,20393,276,261,283,350,322,177,81,15,1766,215,443,578,938,1059,793,362,132,4507,2290,4685,4378,5090,4954,3136,1600,548,26671,171,393,372,323,344,338,178,76,2198,2028,3859,2582,1841,1739,1707,1516,1388,16657,13784,49625,40793,32089,24685,15926,7102,2963,186966
