SA4_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
101,14,42,0,0,0,43,71,68,179,3021,2108,349,5480,135,141,277,5761,3367,131,9265
102,17,51,3,0,3,54,111,109,269,4814,4026,1195,10034,295,268,558,10591,7398,206,18194
103,14,35,4,0,3,40,78,82,198,2805,2167,326,5297,185,195,381,5684,3597,156,9433
104,13,30,3,0,4,34,58,72,166,1794,1785,276,3857,150,129,284,4135,2989,125,7248
105,17,37,0,0,0,42,66,73,184,1600,1087,242,2928,119,104,220,3147,2300,118,5563
106,35,61,0,0,6,67,112,83,257,3860,3351,731,7949,294,285,572,8525,5566,189,14278
107,15,46,4,0,0,46,82,79,206,3813,3078,874,7768,207,196,403,8167,6031,170,14369
108,13,34,0,0,3,36,103,114,253,2429,2703,430,5555,219,222,437,5997,4943,219,11156
109,7,23,3,0,0,25,36,44,107,1471,1225,196,2897,92,107,197,3097,1829,78,5000
110,10,33,0,0,0,36,90,98,228,2198,1788,303,4289,217,216,434,4726,3524,159,8402
111,27,64,0,3,3,66,83,93,242,5581,4340,751,10670,298,317,620,11288,6885,180,18358
112,29,50,0,5,3,57,68,107,229,3080,3353,515,6944,168,243,419,7366,4948,187,12498
113,6,19,0,0,0,18,63,73,156,2023,1575,225,3823,142,146,287,4111,2618,126,6847
114,13,26,0,0,0,30,37,34,109,1744,1729,294,3761,101,113,216,3970,2786,78,6835
115,12,29,0,0,0,29,26,31,82,2800,1545,429,4770,136,86,225,4989,2499,57,7550
116,29,55,0,0,0,55,113,153,320,4641,2540,1183,8370,325,250,577,8949,8144,271,17358
117,14,21,0,0,0,21,47,43,110,2908,1508,417,4832,156,140,295,5127,3691,99,8917
118,7,29,0,0,0,29,33,36,100,3013,1691,415,5114,135,100,238,5353,3006,68,8434
119,32,73,4,0,3,76,150,195,420,5466,3929,1804,11202,448,439,889,12090,13937,372,26401
120,8,25,3,0,3,31,39,54,129,3529,1835,553,5923,192,150,349,6265,4329,100,10702
121,11,34,0,0,0,34,27,41,108,5216,2598,626,8439,247,211,459,8896,4781,84,13763
122,10,30,0,0,0,32,29,39,104,3254,1987,471,5714,111,87,199,5914,2611,71,8589
123,28,61,0,0,0,60,100,105,266,3974,2557,994,7523,305,189,494,8019,6165,175,14360
124,30,55,0,7,5,56,76,99,234,4985,3191,1126,9303,272,242,516,9818,6473,182,16474
125,17,41,3,3,6,42,90,168,304,4306,2593,1102,8007,359,296,653,8658,9764,307,18729
126,9,16,0,0,0,16,22,19,58,2125,1158,343,3629,105,110,215,3843,2646,54,6544
127,30,53,0,3,3,59,149,222,427,4616,3037,1522,9178,432,444,877,10050,13638,388,24087
128,12,22,0,0,0,23,28,29,80,2996,1877,537,5415,96,109,207,5618,2707,58,8386
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,5,27,3,0,3,35,52,70,152,2041,2107,322,4466,170,158,333,4798,3158,119,8073
202,16,23,0,0,0,25,61,47,132,2094,2004,298,4392,105,128,234,4625,2863,85,7580
203,17,53,0,0,3,52,66,72,195,3962,3621,550,8137,203,239,446,8578,4636,155,13368
204,21,45,0,0,3,46,61,46,161,2163,1989,340,4495,115,141,258,4748,2928,92,7770
205,21,64,0,0,4,66,114,121,305,3098,3349,560,7000,279,279,554,7559,5033,213,12803
206,20,42,0,3,8,46,82,103,228,5601,3491,530,9621,321,308,633,10253,6804,185,17239
207,4,36,0,3,3,38,54,43,136,4253,3047,378,7683,202,253,452,8130,5365,106,13602
208,26,59,0,0,3,64,66,56,184,5655,3639,493,9790,232,203,439,10224,5099,110,15440
209,31,80,4,5,9,85,113,141,344,6818,4989,752,12553,378,403,785,13337,9030,272,22642
210,22,53,0,0,0,53,99,138,293,4946,3496,707,9156,315,336,652,9811,7964,259,18025
211,35,91,0,0,0,91,86,69,247,7102,5274,810,13192,266,318,587,13781,7269,158,21212
212,62,128,0,5,4,130,172,227,539,10390,7413,1301,19106,632,705,1331,20436,14318,472,35232
213,58,143,11,4,16,160,189,295,653,10644,7243,1490,19378,1005,971,1974,21353,15194,521,37060
214,29,62,0,0,3,61,109,87,256,4316,3836,642,8794,214,224,438,9232,5109,172,14516
215,11,37,0,0,0,37,70,64,170,1693,1507,251,3449,121,122,238,3687,2598,116,6402
216,7,29,0,0,0,32,55,68,156,1522,1506,258,3291,87,112,203,3490,2374,118,5978
217,8,18,0,0,0,20,32,48,99,1351,1468,217,3042,62,90,157,3196,1822,89,5112
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,16,45,0,0,3,44,40,55,146,3883,2297,595,6777,188,170,363,7140,3448,107,10689
302,6,17,0,0,0,17,33,46,97,3518,1936,496,5946,174,144,321,6273,3181,84,9533
303,16,45,0,0,0,43,52,65,162,4814,2845,656,8317,301,280,584,8898,5072,126,14102
304,4,13,0,0,0,16,17,12,45,2635,1388,377,4396,115,103,221,4613,1972,33,6617
305,4,17,0,0,0,27,14,35,65,3872,1613,396,5875,167,117,284,6156,2160,57,8377
306,23,53,6,4,9,59,82,112,258,3693,2945,412,7051,351,320,670,7717,4339,184,12245
307,13,27,0,5,0,35,43,52,130,1372,1161,190,2718,141,132,276,2992,2138,90,5226
308,15,46,4,4,7,51,62,96,210,3189,2167,391,5751,336,273,615,6363,3566,152,10088
309,46,101,0,3,3,107,114,184,407,9041,7142,1806,17996,607,638,1245,19238,9880,316,29432
310,40,69,0,11,11,79,122,148,349,5697,3728,1136,10561,585,514,1090,11656,7973,256,19881
311,40,86,3,3,8,95,93,159,342,5313,3756,1086,10158,611,553,1164,11322,7962,275,19554
312,17,28,0,0,0,29,38,45,114,2475,1553,252,4282,180,141,323,4605,2071,78,6751
313,30,45,5,0,5,59,71,83,214,3620,2987,795,7394,351,360,707,8105,5703,150,13956
314,14,46,0,0,4,43,26,38,112,3767,2215,591,6574,176,183,358,6930,3040,74,10045
315,12,37,3,0,6,40,57,69,164,1097,533,150,1773,154,67,221,1996,1658,105,3763
316,32,69,0,0,0,74,55,89,212,4865,4503,1071,10434,263,327,596,11029,5608,170,16802
317,9,24,4,5,8,31,36,40,107,2209,1685,268,4161,165,184,349,4514,2643,85,7242
318,16,47,0,6,5,50,57,77,176,3750,2418,426,6596,278,281,560,7159,3731,154,11043
319,23,55,7,3,13,68,139,126,327,3188,3270,474,6926,403,367,773,7697,6761,222,14690
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,9,23,3,0,4,28,28,34,92,3932,2773,316,7025,161,207,370,7391,3419,72,10888
402,41,85,7,12,17,102,119,116,339,6788,5428,783,13001,627,669,1300,14304,9946,240,24482
403,9,45,0,3,6,49,60,58,160,5563,4514,521,10591,288,338,620,11217,5890,127,17227
404,12,24,0,0,0,28,46,42,120,3397,2443,310,6151,216,211,429,6583,4591,110,11282
405,6,19,3,0,5,26,43,33,103,1057,1130,154,2339,123,99,216,2555,1799,67,4425
406,12,16,3,0,7,21,48,46,118,882,852,133,1868,114,98,209,2077,1505,78,3653
407,17,37,3,0,5,43,50,42,132,1944,2069,276,4285,170,149,321,4606,2932,82,7631
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,9,24,0,0,0,31,36,35,100,2216,2177,283,4678,158,161,317,4991,2531,63,7592
502,7,20,0,0,0,18,16,34,69,1298,1261,169,2717,157,175,334,3054,1948,57,5062
503,6,9,0,0,0,9,4,12,30,1945,1236,124,3311,91,90,183,3490,1383,35,4905
504,28,53,0,0,0,56,41,57,155,4210,2830,419,7454,279,291,576,8031,3987,118,12137
505,34,90,7,4,9,97,66,106,269,8425,6117,726,15270,518,577,1098,16364,7551,203,24122
506,24,48,7,12,14,67,103,134,303,6757,4701,614,12070,553,583,1136,13210,7340,235,20778
507,30,69,5,5,6,69,79,118,267,6316,4705,628,11658,419,484,904,12558,6338,188,19086
509,4,19,0,4,3,20,43,54,117,1236,1200,164,2602,108,112,222,2818,1790,101,4707
510,8,15,0,0,4,17,57,68,141,1027,425,128,1576,57,72,131,1706,1320,97,3120
511,14,22,4,0,4,23,35,73,130,1471,916,154,2541,109,112,224,2768,1649,108,4518
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,11,22,6,3,13,31,80,47,161,3550,3070,413,7035,249,266,521,7554,4271,123,11945
