SA4_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
101,1197,2836,8293,8868,9566,7575,1962,336,31,40671,1920,1268,1772,1379,1853,2664,1692,361,46,12957,189,136,308,357,450,574,200,36,4,2255,89,98,278,225,197,162,72,35,11,1171,3395,4344,10654,10830,12070,10978,3930,765,84,57054,114,181,310,225,296,284,45,0,0,1460,221,112,113,56,78,138,78,5,0,792,335,289,420,277,373,416,126,7,0,2250,3735,4633,11075,11110,12449,11396,4054,768,84,59307,2545,666,1231,1241,1968,4971,10674,6557,1973,31825,418,378,950,812,995,1167,1026,578,272,6599,6696,5678,13251,13167,15413,17535,15755,7909,2332,97725,536,1974,5257,5754,7201,4622,862,98,8,26321,2416,1684,3882,4489,4554,4930,1702,216,19,23889,215,177,944,578,529,597,212,27,6,3276,92,92,179,155,145,122,63,24,7,884,3261,3931,10258,10979,12430,10267,2837,361,42,54365,72,101,145,135,172,116,10,3,0,754,227,90,159,146,154,168,52,0,0,1004,298,192,309,274,326,282,61,9,0,1749
102,1313,3283,9842,11917,12129,8713,1606,117,8,48927,2650,2391,3109,2840,2989,3226,1623,308,24,19158,808,867,1229,1104,1111,1148,428,53,4,6753,92,145,355,259,251,144,42,30,6,1331,4860,6685,14537,16122,16478,13225,3702,507,52,76165,263,437,639,453,524,466,57,4,0,2839,498,195,147,128,118,188,78,7,0,1362,761,634,781,580,642,655,134,9,0,4195,5617,7322,15318,16698,17122,13880,3831,524,49,80361,4426,1598,2220,2210,3201,6459,14118,10422,3217,47870,479,461,1082,1008,1074,950,943,903,661,7556,10523,9383,18615,19909,21395,21289,18898,11851,3929,135785,454,2364,6359,6790,8214,5333,791,47,0,30365,3270,2882,5269,7127,6914,6326,1783,191,4,33766,1161,1152,2182,1700,1459,1369,402,54,4,9475,80,104,252,220,202,123,48,26,14,1065,4961,6507,14060,15840,16786,13154,3024,310,21,74670,153,223,273,227,294,205,21,6,4,1406,519,199,256,280,262,283,54,3,0,1857,674,425,529,506,560,487,78,8,3,3268
103,1246,2918,7826,7839,8065,6617,1941,329,31,36815,1636,972,1266,1030,1189,1706,1309,401,55,9561,177,120,324,237,314,422,182,39,8,1819,78,129,217,174,170,137,76,42,8,1030,3139,4140,9625,9277,9745,8876,3511,810,98,49224,149,245,298,274,289,250,33,0,0,1544,198,103,94,71,75,115,48,9,0,715,337,355,395,346,366,369,74,11,0,2261,3481,4495,10019,9623,10112,9246,3589,821,105,51482,2765,869,1402,1393,1837,3678,7913,5548,1754,27165,432,444,847,920,901,990,890,601,232,6258,6682,5806,12266,11940,12847,13916,12385,6972,2090,84902,548,1905,4497,4436,5609,3837,788,106,6,21734,2202,1648,3724,4150,3932,3881,1416,209,30,21189,183,207,839,456,341,439,147,28,6,2643,88,62,150,129,110,96,49,36,15,729,3017,3814,9206,9174,9988,8254,2399,380,53,46295,91,125,169,133,144,107,10,0,0,772,223,132,181,161,135,152,34,3,0,1023,315,260,351,289,281,262,37,3,3,1791
104,540,1322,3713,4187,4571,3600,849,103,6,18892,1240,741,1224,1140,1314,1736,958,154,21,8528,121,76,182,180,248,314,107,13,0,1245,41,66,139,136,107,89,29,13,3,635,1941,2207,5266,5644,6233,5744,1949,289,35,29300,118,175,284,200,227,240,26,6,0,1269,179,82,116,83,84,129,30,4,0,714,302,254,399,283,310,369,58,4,0,1983,2240,2461,5666,5930,6543,6110,2012,289,33,31292,1605,607,1192,1214,1489,3466,7680,4732,1489,23482,252,221,562,588,600,614,559,429,231,4053,4101,3291,7415,7727,8641,10197,10242,5462,1758,58824,238,881,2193,2622,3509,2409,426,26,3,12309,1581,1059,2486,2979,3035,3231,977,82,6,15431,128,84,396,274,243,347,108,9,0,1586,53,69,124,89,94,78,26,15,8,560,1997,2096,5199,5973,6882,6066,1544,129,16,29891,71,96,132,122,127,109,11,0,0,665,202,65,123,128,147,167,26,0,0,868,279,162,252,246,279,273,37,0,0,1533
105,645,1447,4447,3827,3785,3638,1165,212,20,19199,730,398,744,507,571,781,589,152,29,4507,57,58,188,137,152,171,105,19,5,884,48,70,153,102,89,99,50,23,9,645,1488,1970,5529,4577,4606,4690,1909,411,61,25236,107,123,196,155,178,146,19,0,0,912,86,53,62,33,38,57,42,0,0,379,192,170,257,187,209,208,57,0,0,1287,1681,2146,5790,4761,4810,4893,1962,411,61,26524,1292,513,939,864,1077,1893,3799,2669,860,13898,441,375,850,719,726,775,654,444,179,5165,3408,3038,7578,6344,6613,7562,6418,3526,1104,45590,277,1091,2872,2484,2959,2370,545,80,10,12678,1048,661,1983,1898,1589,1819,679,111,8,9803,76,80,470,194,134,230,73,14,0,1280,37,47,135,87,75,76,26,20,0,507,1438,1878,5457,4659,4757,4500,1333,226,24,24269,59,58,108,87,86,69,10,0,0,475,110,68,85,75,65,81,14,0,0,499,163,127,188,159,150,151,31,0,0,976
106,1682,4100,11211,11333,11085,8060,1562,165,18,49210,2300,1603,2220,1744,1854,2333,1315,308,24,13700,363,277,553,550,589,751,248,44,7,3385,103,152,317,272,244,172,63,27,6,1372,4453,6136,14307,13902,13771,11311,3187,543,62,67667,322,374,542,398,392,362,51,0,0,2440,436,182,149,86,99,129,66,3,0,1143,757,549,685,481,485,495,122,5,0,3581,5209,6689,14991,14380,14259,11810,3308,550,63,71248,3525,1173,2075,2186,2656,5419,11994,7408,1936,38380,469,467,1021,860,861,903,773,647,260,6266,9202,8325,18093,17424,17779,18133,16078,8597,2259,115891,716,2553,6245,6052,6770,4083,591,48,4,27064,3226,2599,5512,6279,5972,4976,1376,150,13,30109,576,491,1436,873,691,733,203,18,5,5022,89,113,238,176,147,121,54,21,9,962,4601,5755,13438,13383,13590,9910,2220,239,29,63158,161,210,264,206,241,162,3,0,0,1256,395,193,295,269,228,227,35,4,0,1647,555,404,558,478,471,396,40,4,0,2903
107,1220,3681,10965,11865,11567,8014,1213,95,6,48631,2166,2633,3365,2481,2328,2577,1238,181,19,16983,740,972,1222,947,1007,960,325,46,3,6222,58,149,335,217,173,145,41,13,3,1134,4187,7436,15888,15518,15077,11699,2807,333,32,72975,245,475,610,387,410,325,47,5,0,2503,459,306,226,103,96,159,48,7,0,1399,700,778,841,489,507,483,97,11,0,3900,4890,8218,16725,16002,15580,12178,2900,345,32,76874,4403,2115,2215,1968,2731,6116,11902,8132,2648,42228,408,513,966,817,805,698,665,650,505,6021,9703,10836,19903,18791,19114,18989,15471,9129,3187,125125,518,2702,7043,6358,7311,4274,575,35,3,28827,2971,3393,5519,6872,6263,5083,1249,103,8,31467,993,1265,2267,1523,1167,1094,284,17,0,8623,79,116,236,141,143,87,32,12,0,844,4564,7481,15074,14901,14889,10543,2139,169,11,69763,121,253,269,217,211,124,11,3,0,1205,502,338,280,250,230,202,45,0,0,1842,618,591,552,468,435,324,47,3,0,3048
108,954,1947,4900,5610,6670,5521,1353,176,14,27158,1769,1017,1488,1510,1909,2698,1500,304,32,12237,151,119,218,263,362,490,221,23,7,1859,95,105,177,172,183,193,59,47,12,1050,2961,3190,6788,7558,9126,8904,3139,559,65,42298,193,294,428,333,340,393,62,0,0,2037,240,131,136,77,122,197,72,3,0,994,433,424,564,412,465,584,138,9,4,3029,3400,3609,7352,7968,9588,9488,3276,568,73,45330,2445,886,1540,1639,2396,5896,14276,9554,2898,41526,419,333,663,711,810,1017,1085,794,421,6259,6267,4835,9552,10315,12794,16402,18637,10910,3396,93102,422,1247,2963,3598,5042,3723,667,46,3,17716,2380,1545,3253,3991,4532,5106,1522,202,10,22541,226,192,578,411,380,600,162,24,0,2581,83,90,145,137,155,123,59,36,16,837,3105,3076,6940,8138,10109,9557,2412,317,28,43672,101,122,188,160,177,155,19,0,0,917,282,141,180,177,199,298,67,3,5,1337,380,261,364,336,377,448,87,8,4,2257
109,689,1685,4342,4332,4621,4075,1149,167,14,21077,939,561,791,689,679,1026,852,190,16,5753,85,50,130,140,178,250,136,22,6,991,70,55,132,91,89,78,41,31,4,589,1785,2351,5396,5251,5564,5426,2179,400,50,28415,89,126,174,145,163,173,23,0,0,899,119,58,58,34,30,75,45,0,0,414,208,180,232,178,192,249,68,0,0,1313,1998,2538,5629,5434,5758,5677,2241,400,50,29730,1335,350,530,563,885,1990,5294,3586,1127,15650,268,260,585,530,587,613,609,397,202,4057,3602,3152,6738,6530,7224,8281,8142,4386,1382,49443,252,988,2377,2380,3075,2244,449,61,0,11830,1435,1029,2156,2579,2407,2648,937,119,7,13318,110,124,458,244,225,279,103,17,4,1572,39,54,83,60,69,63,35,21,4,430,1831,2196,5074,5266,5776,5235,1531,209,13,27137,45,65,83,74,77,64,8,0,0,416,139,80,102,98,73,106,15,0,0,608,178,145,183,165,154,169,25,0,0,1024
110,1027,2406,6460,6229,6442,5671,1875,329,41,30476,1421,807,1148,955,990,1440,1122,339,33,8265,99,93,207,176,235,327,139,42,11,1329,76,106,209,135,128,152,70,48,18,940,2619,3418,8021,7493,7796,7592,3203,754,109,41007,123,248,354,206,262,245,32,0,0,1469,191,121,105,84,81,102,37,7,0,734,311,374,457,291,347,347,72,7,0,2203,2931,3783,8485,7782,8140,7936,3278,765,112,43210,2252,757,1065,1066,1531,3035,6614,4768,1389,22484,589,624,1098,988,1058,1065,944,636,274,7276,5771,5172,10649,9843,10734,12042,10835,6162,1773,72974,489,1576,3980,3894,4700,3516,811,105,4,19070,1902,1291,2972,3211,3043,3276,1338,220,9,17267,149,161,605,347,253,377,152,20,3,2066,91,63,144,111,103,106,54,44,8,726,2634,3095,7696,7562,8094,7277,2358,387,35,39133,104,131,197,147,178,139,14,0,0,912,212,129,186,131,126,138,29,3,0,954,315,259,387,282,310,275,44,3,0,1871
