SA4_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
101,29,87,8,5589,435,60,21,294,61,130,30,62,21,133,876,2126,24,6,11,21,4,10,5,0,3,24,77,176,7307,1210,294,7231,1220,2877,413,1091,292,1636,1004,24573
102,53,112,9,7396,367,98,41,372,104,198,63,95,45,242,1041,2664,25,7,27,26,14,8,12,8,14,23,105,272,7379,2337,705,10573,2805,5395,1315,2198,816,3176,1213,37902
103,10,33,11,3614,381,38,24,356,47,114,22,61,24,132,968,2159,25,4,13,30,3,7,0,0,3,23,61,184,5906,778,238,6954,1057,2647,332,817,261,1465,1083,21547
104,5,32,3,1494,176,52,17,182,18,63,14,62,16,101,566,1271,16,3,7,10,3,0,0,0,0,21,48,108,2962,952,134,3982,476,1593,213,855,203,1371,662,13396
105,10,16,0,1436,287,17,16,165,19,58,11,25,5,67,607,1280,19,3,7,15,4,8,0,4,4,15,44,114,3120,356,131,2980,535,1284,131,380,116,777,682,10486
106,38,81,8,5452,400,67,33,412,70,212,40,81,48,196,1477,3041,23,0,18,30,11,7,4,3,14,28,96,230,7276,1389,399,10073,1737,4757,637,1452,542,2518,1666,32446
107,67,168,6,8435,314,71,40,321,99,182,50,103,43,189,1013,2420,7,0,15,37,11,13,4,3,6,33,105,241,7357,1935,581,10730,2805,4953,1052,1985,741,3335,1192,36671
108,17,32,4,2146,242,60,30,239,43,91,13,82,20,170,679,1680,12,3,13,25,4,4,0,0,9,35,75,190,4252,1306,224,5673,733,2226,331,1286,280,2239,827,19384
109,3,16,7,1543,238,17,15,228,21,77,8,22,8,66,509,1195,17,3,10,14,8,5,0,4,9,15,49,121,3091,517,112,4178,562,1443,183,496,121,754,586,12031
110,8,32,5,2257,365,39,15,225,30,77,18,48,17,79,723,1632,26,0,11,15,3,8,8,6,5,23,58,170,5004,667,186,5077,789,2157,244,710,197,1314,842,17190
111,55,156,12,9807,476,69,30,448,69,187,57,112,41,201,1414,3116,18,0,16,34,12,6,6,4,6,30,89,226,9842,2229,465,14382,2280,5203,805,2009,512,3186,1580,42506
112,31,54,10,3400,265,105,19,302,48,135,37,98,27,143,889,2072,25,5,21,22,5,8,0,9,4,21,108,227,4989,1988,267,7451,987,2897,526,1595,377,2091,1076,24235
113,9,35,5,2428,362,31,13,295,36,105,15,56,16,82,694,1706,17,5,12,21,9,9,4,0,4,13,50,136,4792,569,167,5609,762,2178,178,636,192,1118,807,17011
114,20,52,0,2552,173,52,13,178,32,94,16,60,17,124,574,1332,10,0,12,12,8,4,4,0,5,20,42,112,3217,1027,171,4755,704,2050,287,844,252,1411,637,15351
115,92,330,15,17544,439,74,48,302,70,190,50,64,54,157,917,2369,34,13,28,31,14,20,3,3,16,24,124,302,12868,2115,675,10129,2622,6706,963,1965,764,3067,1122,43013
116,127,291,29,12084,329,56,79,217,103,287,58,108,99,346,1420,3106,37,9,41,20,9,19,8,5,22,51,274,502,15531,2127,1245,10316,3908,10626,1610,3403,1863,6726,1897,59253
117,55,159,17,9498,151,23,31,87,30,72,9,39,24,86,480,1022,18,4,11,7,5,3,0,3,5,16,76,148,6062,1197,377,5080,1730,3498,558,1300,473,2195,599,23078
118,92,304,19,15477,284,63,34,249,67,175,26,76,34,139,686,1837,32,3,19,32,9,17,4,5,12,22,81,233,7499,1445,361,7192,1776,4646,512,1389,409,1828,824,27879
