SA4_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
101,2624,2919,2657,1672,549,147,13364,570,1809,2059,2188,2144,1291,354,52,10475,127,455,476,439,389,281,110,30,2309,438,926,802,708,543,330,135,23,3910,9,12,3,12,11,7,6,0,69,30,122,170,198,157,109,37,11,843,912,1019,1061,1142,1336,1335,1085,664,8558,3606,10321,10988,11679,11791,8710,3715,1350,62169,95,435,524,669,669,609,262,46,3302,198,756,763,547,454,280,55,5,3063,638,2440,2441,2858,3316,2926,1399,372,16382,636,1649,1396,1469,1602,1163,488,138,8544,258,713,764,965,1015,693,281,63,4754,448,1978,1780,2031,2506,1978,818,235,11769,303,1383,1658,1758,2053,2127,827,206,10301,845,3242,3891,4322,4035,2719,961,223,20239,750,2507,3008,3293,3174,2188,703,116,15732,210,726,740,666,625,473,183,50,3675,619,1426,1288,1173,914,558,224,42,6233,27,21,11,24,17,15,4,4,135,66,250,332,403,359,311,114,33,1868,2021,2427,2337,2625,2923,2784,2020,1082,18208,7110,19943,20933,22801
102,4421,4333,3780,2649,1085,275,20755,1096,2785,3032,3101,2611,1481,465,88,14654,427,856,905,640,449,299,152,33,3779,692,1428,1349,1192,901,604,257,73,6487,20,22,7,13,25,18,7,4,112,50,125,184,201,168,118,42,24,912,1057,1260,1317,1234,1280,1691,1999,1795,11637,6131,15199,17208,16546,14816,11292,5821,2775,89799,173,520,653,682,545,531,237,45,3392,242,682,1064,806,545,279,59,6,3689,793,2831,3226,3961,4804,4117,2612,725,23074,1006,2326,2492,2344,2100,1526,813,225,12829,255,677,710,668,545,302,149,36,3349,1111,3528,3647,3543,3568,2461,1056,304,19225,594,2438,2683,2532,2490,2752,1028,267,14762,1501,4807,6775,6745,5879,4434,1972,455,32573,1450,3799,4194,4289,3589,2293,873,152,20651,757,1460,1485,1066,722,533,249,62,6331,983,2097,2016,1870,1359,938,448,100,9816,50,42,16,15,32,25,15,8,207,136,286,436,471,380,280,155,46,2188,2241,2684,2719,2766,2659,3066,3341,2665,22147,11303,28176,32117,31770
103,2146,2292,1999,1244,427,115,10716,600,1537,1553,1540,1289,707,213,34,7474,126,373,339,278,223,143,67,22,1567,453,885,755,638,376,219,99,20,3455,23,16,7,10,12,7,7,0,80,25,80,88,117,76,61,26,7,483,965,1021,1022,1105,1096,1162,1059,626,8046,3885,9664,9426,9457,8568,6331,3088,1178,51593,81,311,325,358,304,248,106,19,1760,92,292,326,228,201,121,38,0,1289,921,2948,2664,2862,2979,2287,1060,259,15985,539,1071,1009,898,956,656,313,74,5510,253,695,747,914,881,664,361,66,4582,679,2187,1882,1775,2073,1569,686,211,11060,383,1552,1649,1707,1612,1599,651,157,9320,735,2783,3129,3289,2900,1939,692,174,15636,752,2014,2067,2115,1747,1118,366,88,10264,195,538,487,415,332,237,128,23,2357,640,1323,1145,977,648,400,178,45,5357,39,41,17,14,19,13,6,0,150,78,168,185,231,201,149,74,23,1115,2265,2566,2541,2489,2479,2455,1978,977,17756,7651,18490,18177,18272
104,1319,1570,1529,1149,425,102,7554,330,995,1117,1280,1323,798,196,37,6064,59,230,274,250,234,154,71,12,1279,336,581,567,497,371,242,98,11,2700,8,9,3,3,9,9,8,10,65,25,62,69,94,79,65,11,3,403,617,723,754,743,737,850,827,608,5858,2310,5791,6496,6951,7147,5631,2559,1018,37892,46,176,225,259,241,283,110,26,1378,76,220,221,175,189,122,36,0,1039,365,1128,1168,1413,1959,2001,1029,276,9330,258,669,743,810,1017,871,345,102,4817,139,417,473,524,456,295,86,31,2413,383,1324,1388,1541,1763,1346,553,132,8432,175,859,1141,1150,1381,1557,597,141,6998,492,1548,1916,2248,2254,1840,686,159,11144,413,1340,1560,1808,1807,1250,347,68,8595,117,377,449,384,357,289,108,21,2100,457,892,881,807,605,393,171,26,4236,20,21,4,4,10,21,18,14,113,52,125,145,188,205,152,58,16,944,1410,1820,1778,1721,1628,1684,1469,945,12457,4399,10917,12106,13031
105,997,1028,903,492,163,28,4981,289,867,746,694,675,304,65,11,3651,42,118,92,70,52,52,30,6,467,198,405,327,271,185,132,54,8,1583,16,14,4,7,6,0,3,0,51,19,44,39,52,42,25,12,4,239,786,973,941,887,884,822,739,444,6488,2175,5947,5040,4688,4505,2956,1551,635,27498,19,152,133,115,107,58,31,7,624,43,177,171,83,89,52,9,0,622,434,1431,1133,1156,1296,978,438,120,7001,208,530,418,360,453,296,142,36,2443,198,481,447,479,491,300,148,31,2572,373,1393,999,805,1045,674,295,89,5674,201,961,926,920,764,570,212,51,4604,309,1757,1513,1442,1330,730,260,50,7389,364,1191,1035,983,879,461,111,24,5040,57,194,135,106,82,75,35,9,690,254,635,509,424,301,221,86,14,2438,21,24,5,10,10,5,3,0,85,35,109,96,125,96,66,37,5,568,1798,2280,2038,1902,1898,1724,1375,701,13712,4305,11314,9554,8918
106,3554,3376,2849,1658,593,122,16540,910,2244,2247,2068,1811,961,261,37,10537,204,439,410,335,256,196,86,29,1947,748,1575,1224,1015,599,374,137,19,5700,22,17,8,10,10,3,4,5,71,35,104,121,128,105,62,28,6,602,952,1143,1066,1055,1060,1227,1155,752,8403,5429,13682,13329,12338,10955,7786,3484,1287,68283,88,369,461,433,394,402,147,33,2328,129,466,454,332,294,191,43,0,1903,1427,5261,4992,5087,5350,4071,1931,408,28527,665,1401,1318,1282,1301,999,516,114,7590,368,652,749,721,553,316,153,32,3545,790,2675,2489,2450,2649,1972,773,186,13983,464,1780,1960,1802,1741,1840,645,159,10398,1402,4490,4964,4755,4133,2705,1085,202,23739,1161,2943,2903,2704,2359,1463,445,80,14057,358,688,610,479,372,305,142,32,2988,1013,2194,1869,1546,943,607,266,36,8478,42,30,17,12,19,14,6,5,133,86,287,340,372,295,203,98,21,1708,2324,3055,2811,2651,2494,2512,2155,1154,19147,10321,26287,25946,24623
107,4071,3907,3139,1871,637,199,18533,1336,3048,3032,2795,2363,1295,376,70,14318,502,985,828,623,387,244,111,22,3704,775,1292,1121,978,617,349,157,25,5313,27,14,12,8,16,13,17,23,133,67,161,175,175,150,85,51,23,870,1023,1124,1049,966,918,1035,1209,1046,8369,6926,16733,16108,14677,12604,8581,3902,1826,81353,403,989,783,732,658,538,254,30,4377,348,1018,1098,657,462,214,38,10,3839,1210,4555,4085,4745,5535,4357,2201,652,27337,1160,2354,2001,1875,1503,939,565,190,10580,210,535,551,509,358,211,85,13,2481,1225,4036,3358,2911,2756,1808,677,200,16969,574,2802,2735,2509,2640,2629,895,236,15022,1841,5382,6218,5925,4850,3146,1084,295,28735,1817,4306,4265,3879,3238,1943,617,144,20214,851,1612,1339,972,612,384,150,32,5942,1103,1824,1684,1474,933,549,293,41,7905,48,26,22,15,21,31,29,35,220,144,345,379,414,323,209,107,42,1955,2195,2418,2201,2109,1945,1998,2239,1659,16767,13134,32199,30721,28721
108,1920,2294,2734,2128,849,230,12102,581,1351,1635,1929,1917,1217,341,63,9036,92,254,289,278,295,245,97,33,1587,422,853,790,688,645,514,177,46,4135,28,9,4,10,17,6,6,4,88,24,56,76,101,130,83,41,16,528,921,919,937,1035,1362,1632,1597,1158,9555,3451,7819,8799,10034,11751,9723,4792,2010,58380,40,164,222,297,352,428,197,47,1743,111,263,291,276,296,264,54,4,1564,559,1476,1738,2347,3374,3894,2265,581,16230,438,968,1074,1306,1569,1488,700,186,7731,186,430,507,682,664,444,195,42,3153,618,2039,1968,2272,2984,2257,981,284,13403,243,1226,1464,1727,2113,2474,1020,255,10531,726,2030,2728,3312,3872,3389,1458,372,17890,732,1790,2184,2600,2631,1851,596,116,12506,164,402,434,420,454,426,163,59,2513,622,1265,1262,1156,1014,862,316,79,6582,51,17,9,11,25,14,14,4,156,77,132,174,215,303,244,101,38,1295,2108,2118,2142,2229,2831,3288,2881,1771,19359,6682,14327,16204,18852
109,1208,1221,1049,580,187,57,5605,286,809,858,939,899,515,123,17,4434,62,145,164,124,113,75,40,14,733,249,589,454,395,292,198,90,28,2294,21,9,8,3,11,5,3,0,52,17,45,58,61,52,39,16,4,287,593,607,619,612,736,789,746,397,5101,2120,5441,5540,5247,5200,3759,1908,680,29896,33,117,150,161,148,107,48,10,772,48,223,184,109,119,62,8,0,760,446,1415,1220,1337,1540,1362,632,140,8101,303,722,552,531,573,472,203,69,3411,181,543,605,613,528,356,155,40,3020,373,1279,1190,1036,1205,996,414,109,6605,194,897,1008,914,967,832,390,68,5267,403,1520,1843,1848,1652,1019,361,94,8740,355,1090,1154,1257,1126,712,188,27,5915,106,223,244,174,160,118,58,17,1108,324,860,703,605,465,301,141,47,3437,31,15,17,11,12,7,3,0,96,39,105,143,135,116,93,51,8,689,1281,1325,1290,1356,1558,1648,1356,675,10491,4123,10341,10308,10077
110,1686,1809,1615,990,375,90,8650,460,1345,1326,1313,1224,686,225,42,6623,78,236,204,194,182,97,54,25,1069,407,674,566,428,331,187,58,12,2659,16,11,9,7,9,6,0,0,55,25,62,68,93,58,56,22,5,398,1444,1230,1165,1220,1260,1188,1119,619,9249,3994,8386,8117,7926,7777,5604,2916,1087,45809,97,333,352,294,282,249,115,26,1741,82,237,247,156,132,98,18,3,977,736,2060,1854,1793,2074,1692,825,190,11221,332,822,683,679,729,578,294,74,4195,369,826,940,928,801,558,297,58,4767,586,1814,1499,1487,1777,1399,629,197,9380,301,1244,1427,1386,1418,1332,570,122,7798,677,2271,2441,2543,2301,1492,607,127,12464,589,1822,1797,1862,1696,1088,391,70,9302,120,364,306,288,263,192,79,31,1639,561,996,901,705,531,347,117,23,4189,34,29,11,0,9,10,3,6,99,65,137,160,215,169,134,54,19,951,2932,2588,2441,2587,2688,2477,2022,968,18711,7467,15547,15061,14924
