SA4_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
101,18509,20098,15965,13591,14350,8853,6422,11323,2311,111423
102,18585,30741,22054,19613,19738,13860,9014,14666,2564,150834
103,14418,16221,13982,11938,10779,7439,8364,10694,1672,95519
104,7321,11078,7952,8659,6904,5548,3280,7392,1056,59192
105,7947,8059,6562,7048,5432,3870,3904,5672,1013,49502
106,14197,18787,22649,17155,15114,11377,14224,14962,2359,130822
107,16349,33202,21006,18777,17957,11553,9314,12310,2260,142732
108,10356,15554,12155,13373,9651,8340,4899,10014,1630,85976
109,8953,9128,7874,6876,6389,4639,3989,6652,1054,55555
110,13063,13456,10176,9603,8680,6589,6380,10800,1408,80142
111,20662,46396,26233,24773,23159,15681,10777,15962,2691,186341
112,14923,22720,15658,15159,12012,10089,5432,12850,2034,110874
113,11943,12407,10741,9543,8243,6196,5461,10685,1497,76713
114,9059,12788,10782,8885,7216,5980,3456,6890,1088,66151
115,24503,39963,14277,10041,19762,10295,4671,6488,2099,132111
116,19410,42260,18767,17670,26901,13505,19502,15152,3768,176932
117,33809,75517,15526,15616,21929,12511,5162,9298,3434,192809
118,28365,55504,9983,9921,15229,9424,2707,4779,2731,138638
119,30220,61799,27330,24796,37103,22019,15668,21067,5606,245597
120,27733,57872,12707,12204,20467,11437,4404,8614,2864,158306
121,45156,89763,13292,14710,26551,14243,3345,6830,3578,217473
122,28442,41531,14711,12003,16341,10983,3837,6349,2031,136223
123,15290,24280,18580,15085,19822,11430,13182,12489,2776,132941
124,18628,31031,21822,17617,23586,12352,14537,13510,2831,155914
125,23812,57986,20924,18995,28710,15370,14079,17177,5159,202211
126,16570,38881,8232,7375,13887,7264,2408,4274,1702,100598
127,18403,33768,21116,17680,26266,14481,19448,17690,4166,173019
128,19954,30838,15239,11740,18216,9395,4049,5944,1725,117099
197,0,0,0,0,0,0,0,0,0,0
199,234,500,279,334,236,171,253,419,77,2511
201,10196,16335,11414,10425,9283,6974,4541,8379,1300,78847
202,10079,16968,10452,9777,8631,6435,4391,8630,1258,76625
203,19701,36238,22959,20819,17750,13697,9030,14689,2675,157566
204,13250,14298,13044,11155,9056,6876,6046,10412,1610,85750
205,17870,21254,19990,16378,14383,11133,8333,15515,2576,127425
206,62231,149768,27740,33922,42002,24960,7553,16482,6239,370901
207,32272,66923,14307,15930,23071,16303,4180,8916,3360,185265
208,41917,73704,19651,20134,28401,18682,5259,9887,3766,221398
209,33801,65775,36124,29996,35885,22251,15756,21290,5034,265919
210,22279,39724,27517,21781,26461,16070,15287,17563,4250,190944
211,36211,64073,39144,28365,35880,22704,12185,20698,4581,263832
212,44540,82290,58218,44656,51591,34793,34732,44969,9162,404944
213,44535,85876,49022,43835,53596,32709,40182,38283,9428,397466
214,20040,28198,24292,17583,17683,13584,7150,13148,2642,144321
215,12597,10259,8726,8282,6776,5679,4750,10282,1537,68899
216,9437,9414,8512,7155,6226,5278,4191,8934,1200,60348
217,10973,9526,8086,7153,5622,5056,4191,8885,1148,60640
297,0,4,0,0,0,0,0,4,0,15
299,174,334,250,227,143,129,177,308,49,1797
