SA4_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
115,1452,1544,534,687,1285,424,153,191,65,6338,1748,1685,843,1371,1799,694,192,264,110,8707,3151,1171,7053,1710,2383,1200,1144,1191,276,19284,166,104,81,131,377,156,46,95,4,1176,479,329,243,277,739,312,103,168,28,2684,189,333,84,68,201,68,36,35,22,1026,290,321,133,133,274,123,65,74,261,1678,20640,37247,11084,7114,14130,5227,2396,2848,1520,102199
116,956,1172,799,900,1169,386,720,404,96,6610,1656,1842,1264,2513,2352,920,1229,750,235,12755,2492,1408,8102,3646,3531,1493,2868,2096,447,26088,163,103,149,226,518,220,255,241,24,1894,321,270,274,463,740,285,414,350,46,3167,156,392,122,161,241,108,197,130,42,1560,233,437,217,324,380,185,364,295,564,2991,15774,39651,14646,13644,18979,6619,9438,6657,2493,127895
117,1436,1909,969,918,1004,628,216,529,107,7717,2178,2394,1454,1874,1687,1046,366,753,178,11920,2078,1391,5186,1845,1773,975,683,1117,259,15307,171,149,112,164,230,145,56,125,24,1167,390,397,232,301,517,257,101,189,44,2442,226,472,153,147,185,107,44,120,38,1487,309,481,203,220,263,175,122,233,489,2498,29310,70816,12681,11146,16781,8266,3023,5562,2626,160225
118,1321,1625,444,588,920,460,106,184,107,5754,1446,1516,755,1000,1201,597,170,258,109,7045,1659,790,4323,1196,1135,675,412,748,193,11132,126,101,62,123,175,106,28,62,8,778,392,319,174,249,466,242,71,122,19,2057,240,444,99,98,178,82,33,50,36,1249,302,495,131,182,231,147,51,113,366,2022,24705,51900,8178,6759,11376,6065,1562,2625,2191,115361
119,1775,2009,1284,1421,2176,937,644,758,176,11179,2688,2624,2109,3483,3487,1790,890,1291,318,18679,3312,1614,10173,3912,4025,1862,2231,2391,557,30084,252,155,207,342,680,344,183,258,41,2454,602,398,450,688,1459,576,378,449,102,5102,250,479,206,234,433,206,158,219,48,2229,409,684,389,453,625,345,312,425,746,4380,24356,57506,20024,18156,25609,11830,7687,9780,3569,178515
120,1409,1600,726,744,1130,609,195,524,90,7026,1769,1827,1146,1578,1730,875,282,685,131,10032,1931,1054,4408,1570,1726,902,646,882,209,13323,168,127,77,150,279,134,47,98,17,1102,409,343,192,274,665,297,102,145,40,2479,184,435,105,95,177,86,52,96,37,1258,243,393,152,156,263,153,64,188,438,2049,23954,54563,10030,8866,15427,7027,2538,4751,2163,129302
121,2091,2549,723,912,1662,686,170,305,127,9234,2279,2442,1055,1557,1951,974,212,405,135,11015,2246,1356,4490,1749,1855,1022,456,770,193,14135,191,143,100,136,308,150,44,80,16,1156,560,541,240,305,824,326,106,155,42,3092,366,635,122,107,282,125,29,60,48,1779,383,558,136,182,351,157,77,113,468,2428,40636,84475,10620,10071,20903,8751,1945,3394,2944,183747
122,1773,2083,594,817,1270,570,174,230,89,7607,1955,1946,929,1360,1662,752,222,290,115,9223,2905,1294,7301,1877,1899,1042,749,1083,239,18391,168,142,111,149,324,147,42,94,21,1194,555,427,222,351,773,327,111,156,39,2942,242,277,112,99,193,88,33,38,13,1111,319,388,161,170,303,151,83,110,267,1954,24598,38321,11350,8085,11774,5793,2036,2857,1538,106351
123,803,1054,499,808,858,311,317,215,76,4938,1617,1455,1002,2426,1973,754,524,524,177,10455,3252,1546,10459,3826,3983,1767,3069,2519,536,30958,193,88,127,242,506,235,206,212,26,1837,301,203,226,444,726,308,300,294,33,2834,89,182,92,103,178,68,62,85,22,888,200,245,202,261,338,146,222,216,359,2196,11423,22448,14175,11339,12550,5025,5646,5003,1666,89270
124,1031,1353,484,1010,1039,311,252,218,71,5767,1816,1899,1112,2601,2416,770,558,453,166,11798,3894,1986,12622,4709,5090,2028,3536,2990,616,37470,198,124,176,272,619,268,220,266,22,2167,399,265,270,485,855,271,289,313,37,3180,118,184,90,88,195,72,69,72,14,904,218,297,194,265,348,177,260,214,327,2293,13845,28561,16663,13033,14727,5256,6227,5437,1707,105458
125,1206,1350,973,976,1390,587,566,652,120,7836,1923,1958,1784,2793,2516,1211,967,1148,265,14562,2074,1259,6631,2819,2799,1235,1723,1664,421,20614,179,106,161,246,447,208,153,180,18,1694,344,288,330,464,853,325,263,286,64,3221,236,543,166,203,271,137,165,173,56,1951,286,507,319,322,434,216,259,366,799,3512,19807,54693,15470,14567,20921,8768,7460,8311,3402,153400
126,806,960,407,416,782,281,123,184,51,4004,961,1017,699,846,1045,531,173,287,70,5628,1117,610,2674,894,1043,539,360,475,108,7816,84,76,57,73,186,86,28,57,7,643,232,210,143,163,436,147,63,83,21,1501,135,250,86,69,126,59,39,39,23,822,145,258,100,85,195,82,33,56,229,1189,14618,36752,6635,5250,10736,4444,1504,2197,1294,83416
127,992,1207,799,908,1393,422,534,421,100,6777,1872,1821,1415,2807,2850,1069,897,693,236,13650,2767,1409,9219,3686,3798,1664,2915,2303,515,28271,177,92,173,263,538,235,236,255,34,1999,356,277,348,568,913,320,422,394,62,3652,145,270,146,106,226,91,123,108,21,1230,268,414,283,347,474,207,342,357,535,3234,13208,31041,14829,12567,16816,6248,7052,5808,2242,109811
128,1236,1536,463,927,1221,393,113,176,85,6163,1969,1760,871,1747,2119,732,192,232,127,9748,3458,1427,9096,2291,2914,1331,1102,1386,324,23330,163,117,101,145,393,196,53,87,6,1255,495,317,219,341,920,295,104,184,30,2908,148,219,69,75,193,72,17,45,13,861,225,272,105,195,357,136,59,91,174,1622,16515,28623,12102,8158,12259,4592,1971,2677,1205,88102
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,12,21,7,15,10,3,3,3,0,87,14,23,18,31,23,11,7,23,3,145,40,19,139,75,38,34,58,76,5,502,0,3,5,8,9,9,0,9,0,37,4,9,5,4,3,0,8,12,0,47,5,7,0,3,3,0,0,0,0,16,6,12,4,13,9,9,8,14,16,94,186,453,205,217,159,95,124,224,44,1714
201,627,667,301,528,484,178,82,165,35,3068,809,852,585,1570,957,342,143,280,62,5605,2203,758,6513,2879,2015,1151,1392,1835,270,19017,122,50,108,162,208,184,70,176,6,1079,136,89,88,241,193,120,86,126,14,1098,53,90,42,38,38,16,8,21,6,309,183,144,135,161,132,110,95,170,148,1288,7522,15392,8596,7559,5938,2714,2139,3280,734,53867
202,576,667,301,514,406,150,78,118,46,2852,789,938,495,1545,836,339,158,307,68,5477,2146,812,6058,2793,1794,1057,1364,1823,256,18111,90,35,116,148,197,146,58,204,18,1016,159,85,124,207,211,98,74,128,14,1097,51,95,31,39,37,14,5,47,6,328,153,179,125,187,128,114,104,154,139,1283,7386,16045,7967,7249,5375,2501,2045,3356,753,52674
203,1204,1682,786,1162,1070,371,211,320,110,6917,1726,1776,1472,3131,1934,789,438,629,132,12032,3554,1476,12844,5470,3368,2023,2351,3220,576,34891,150,102,179,270,309,245,145,268,14,1682,308,179,195,464,420,242,154,226,30,2220,91,180,77,101,87,44,43,62,23,703,225,286,251,375,234,188,145,285,331,2324,15320,34282,17964,15423,11880,5692,4385,6410,1737,113090
204,891,711,352,624,495,179,90,175,44,3574,1103,1021,621,1859,1015,387,181,363,95,6645,3095,952,7810,3228,2302,1263,1993,2495,377,23511,134,46,133,214,220,184,86,244,13,1271,220,97,124,272,212,133,108,179,21,1365,62,81,27,43,47,12,26,44,10,350,264,148,178,218,169,156,153,267,197,1751,9290,13456,9894,8212,5831,2730,2833,4325,926,57500
205,944,1068,476,861,726,222,103,259,84,4734,1442,1514,837,2660,1487,560,227,499,150,9377,4440,1377,12483,4933,3494,2050,3005,3823,627,36231,228,102,196,304,361,248,116,318,22,1880,280,131,172,452,330,201,159,236,35,1992,88,123,61,75,70,34,26,68,13,559,368,273,279,372,260,256,198,427,276,2704,11955,19954,15383,12045,8735,4201,4042,6344,1451,84108
206,2502,3567,1520,1509,1789,996,274,530,182,12875,3670,4112,2813,3819,3151,1824,491,1100,306,21287,3701,2407,9039,3840,3243,1854,1012,1930,452,27480,289,213,194,341,368,233,82,197,11,1929,637,633,365,549,762,432,142,250,89,3860,373,869,211,206,244,153,67,145,56,2318,511,883,335,427,431,276,146,343,823,4178,53501,142104,22486,23873,31631,14930,4428,9433,4806,307189
207,1539,1825,764,854,1220,644,186,371,120,7512,1835,1673,1189,1759,1760,1013,314,571,154,10271,1887,928,4633,1862,1488,1091,514,970,225,13604,122,93,110,159,222,138,46,107,8,1004,375,254,201,316,478,288,83,145,39,2179,182,420,89,122,142,115,32,63,39,1206,296,473,173,187,276,181,65,118,414,2183,27728,63363,10848,10577,17064,8503,2370,4219,2516,147204
208,2193,2648,965,1185,1720,767,183,339,125,10123,2678,2619,1523,2454,2578,1256,315,514,196,14142,3406,1513,8682,2800,2585,1569,892,1442,375,23267,171,128,146,220,340,213,66,116,15,1410,561,471,259,483,728,410,87,186,52,3235,272,481,124,126,174,111,32,68,41,1420,441,620,241,299,369,223,93,143,526,2956,35430,69290,15528,13574,19923,9363,2767,4546,2844,173248
209,1970,2507,1459,1763,2010,750,516,589,153,11710,2905,2882,2674,4700,3475,1475,989,1137,242,20482,4644,2065,17139,6083,4689,2455,3047,3701,770,44600,212,155,263,371,604,305,194,278,30,2408,514,360,400,799,946,506,269,402,73,4271,201,408,219,191,204,116,106,125,45,1613,345,564,464,509,576,327,274,411,615,4082,26761,62090,27306,22668,23444,9997,7896,9597,3242,192999
