SA4_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
127,192712,197016,389726,4129,4340,8471,19163,19921,39078,378,311,689,363,305,666,83,55,139,69,63,136,29,28,62,49,41,88,80,62,136,0,0,0,20208,20780,40992,1162,1283,2445,379,301,682,25883,26710,52592,13184,12834,26018,231775,236560,468337
128,93731,98014,191740,2656,2817,5474,9729,10208,19937,106,109,216,143,154,301,23,25,47,44,33,80,10,17,24,7,16,25,40,41,82,0,0,0,10110,10603,20713,538,562,1097,151,150,303,13456,14132,27585,3700,3924,7622,110883,116061,226949
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,1117,690,1808,499,323,827,1682,1644,3327,103,133,237,198,214,414,33,26,62,29,34,68,17,21,39,10,15,16,22,25,50,0,0,0,2092,2117,4204,212,201,413,47,33,86,2858,2673,5527,2347,1601,3950,6321,4965,11284
201,67317,70736,138048,2131,2300,4430,172,183,357,8091,8670,16756,177,174,345,63,55,118,54,78,132,46,47,93,36,38,77,17,25,45,0,0,0,8649,9273,17919,249,292,538,207,157,361,11232,12019,23245,5581,5247,10830,84127,87997,172127
202,65247,68635,133876,2102,2302,4404,227,257,488,6937,7662,14600,115,132,243,63,70,134,56,65,119,41,40,82,37,35,71,28,27,50,0,0,0,7499,8285,15786,218,258,477,142,142,287,9966,10995,20953,5729,5459,11190,80944,85081,166028
203,125720,132436,258154,5264,5675,10942,366,410,773,15962,17361,33328,280,315,595,114,119,231,100,84,185,118,130,251,57,72,129,49,51,103,0,0,0,17054,18539,35595,607,689,1292,358,311,671,23279,25215,48498,9120,8273,17394,158120,165921,324046
204,72238,74618,146851,3359,3623,6988,1060,1114,2173,5463,5791,11253,532,466,1000,120,93,209,149,90,243,58,46,106,87,79,169,81,71,153,0,0,0,7551,7750,15303,257,260,521,191,199,389,11363,11830,23198,6658,6428,13089,90258,92881,183136
205,116299,120614,236917,6126,6844,12968,401,419,819,10171,10874,21048,338,369,707,64,72,139,118,104,221,65,73,135,63,53,114,87,60,146,0,0,0,11305,12020,23323,376,406,782,323,290,615,18135,19557,37693,11866,11323,23188,146298,151502,297797
206,203214,214765,417981,11845,12790,24636,2424,2841,5262,53147,56867,110014,1582,1837,3420,614,717,1329,743,847,1588,370,432,801,188,246,430,443,486,928,0,0,4,59505,64272,123782,4770,5036,9811,919,818,1732,77041,82924,159960,16889,16616,33507,297144,314306,611452
207,145989,158433,304423,3872,4056,7930,471,512,985,19262,20092,39354,259,306,568,158,149,309,127,129,254,131,114,242,49,41,87,90,80,171,0,0,0,20547,21424,41971,1920,1982,3900,292,257,545,26630,27720,54351,5730,6127,11855,178355,192273,370626
