SA4_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
316,1203,285,2859,1571,996,942,334,909,97,9202,6,22,16,30,16,38,14,34,4,181,252,349,256,251,221,149,150,178,67,1869,380,291,612,439,322,310,224,382,611,3579,17749,36312,21843,18088,14440,8201,4455,8378,2104,131565
317,336,73,960,595,413,371,124,420,24,3310,4,3,8,12,0,15,3,26,3,87,98,100,83,116,75,50,92,98,30,744,100,93,192,180,119,87,99,208,207,1280,5843,14442,8306,7580,6004,2759,2152,3900,725,51705
318,529,116,1278,935,477,451,253,484,52,4572,8,7,13,15,15,29,3,25,0,123,153,146,164,192,112,49,103,95,40,1056,193,167,353,310,192,147,227,329,330,2240,8321,19203,12626,11315,7785,3321,3852,4219,1130,71783
319,601,110,1459,968,480,576,259,817,49,5304,3,0,13,11,7,12,3,20,5,77,110,112,155,163,95,60,139,145,54,1033,288,143,424,348,209,248,295,610,433,2987,8327,15547,12010,12406,7467,4144,3841,6808,1260,71802
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,12,0,0,0,0,0,11,0,24
399,11,4,29,26,9,16,14,43,0,146,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,10,4,3,34,5,4,15,7,4,3,9,29,22,99,210,448,278,310,181,120,161,430,60,2209
401,669,152,1895,644,514,382,138,408,53,4855,11,9,9,19,8,3,0,22,0,89,281,425,135,230,238,116,93,108,47,1686,308,253,272,189,232,150,91,164,290,1953,19141,48854,12533,11816,13338,5752,2578,4846,1569,120440
402,737,212,2556,1195,918,736,494,936,95,7876,15,10,11,26,29,20,11,34,0,168,201,239,284,378,258,114,311,335,73,2185,251,200,540,452,313,251,425,508,599,3540,13946,31681,21684,22116,16599,7128,7343,9893,2313,132715
403,768,212,2270,1057,839,658,224,645,77,6754,11,20,3,12,22,12,8,15,9,119,269,358,230,270,263,102,134,146,74,1856,285,250,388,324,267,177,165,294,412,2561,17087,40778,18975,18905,15446,6504,3755,6367,1901,129707
404,533,160,1775,769,525,382,244,486,46,4916,3,9,6,11,19,10,10,9,3,91,147,226,151,193,176,76,136,135,40,1283,182,193,257,239,206,119,163,224,318,1893,11178,26995,11973,11655,10548,4391,3302,4836,1366,86240
