SA4_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
101,760,1060,1183,1001,2926,4455,1690,5254,188,18509,1055,1901,2152,1715,4447,4793,1327,2570,139,20098,581,1289,1141,960,3432,4725,1168,2420,246,15965,910,2948,2420,1609,2481,1677,522,814,216,13591,725,1843,1976,1364,4328,2583,608,776,136,14350,441,2735,1532,706,1512,994,278,501,144,8853,320,516,538,345,1153,1348,526,1526,146,6422,575,3002,1597,824,1905,1804,488,880,250,11323,156,221,176,107,409,377,87,200,583,2311,5531,15511,12711,8626,22586,22758,6708,14939,2049,111423
102,1421,1492,1226,922,3439,4602,1429,3897,156,18585,1758,3467,3529,2657,6254,7369,1769,3718,218,30741,2855,2386,1784,1198,4623,5739,1139,1971,350,22054,3444,3887,3254,2157,3224,1785,797,778,289,19613,1400,3121,3001,1749,5360,3279,707,962,164,19738,2349,4050,2112,998,2014,1349,312,545,140,13860,712,1221,799,545,2073,1773,530,1229,139,9014,2001,3940,1869,1017,2349,1922,442,837,278,14666,292,264,181,105,420,380,71,196,662,2564,16228,23823,17758,11348,29751,28195,7210,14128,2398,150834
103,424,793,955,756,1946,3012,1241,5123,176,14418,831,1575,1823,1259,3336,3594,1258,2452,101,16221,521,924,873,660,2905,3640,1292,2961,214,13982,719,2448,2117,1613,2409,1292,468,700,174,11938,433,1466,1710,1093,3117,1786,416,654,97,10779,367,2285,1250,592,1255,840,270,475,103,7439,411,558,533,275,1376,1870,728,2443,175,8364,665,2670,1414,760,1732,1695,526,996,243,10694,95,168,113,65,225,252,65,206,485,1672,4460,12881,10794,7072,18302,17986,6258,16005,1765,95519
104,255,505,540,496,1364,1645,578,1852,91,7321,582,1269,1430,1172,2280,2245,687,1333,80,11078,289,729,672,593,2117,1996,498,921,133,7952,521,1948,1791,1271,1501,759,249,445,168,8659,282,1086,1183,750,1917,1048,238,344,59,6904,254,1829,1008,508,937,524,151,253,87,5548,166,374,324,229,612,604,246,678,53,3280,414,2163,1179,670,1126,960,213,481,190,7392,83,103,67,57,173,118,23,95,325,1056,2834,10003,8203,5753,12033,9889,2887,6401,1194,59192
105,206,364,348,312,1083,1493,622,3387,125,7947,446,631,750,553,1839,2007,589,1192,65,8059,220,407,385,296,1483,1765,520,1389,112,6562,390,1127,1070,978,1661,940,282,438,145,7048,235,638,712,514,1743,926,219,381,56,5432,168,1100,631,311,726,493,139,230,64,3870,187,290,221,159,554,757,282,1366,81,3904,241,1289,659,395,862,1046,260,769,154,5672,70,82,50,33,160,128,27,129,345,1013,2163,5928,4828,3551,10121,9549,2936,9267,1150,49502
106,637,885,936,752,2460,3288,1221,3868,150,14197,1053,1990,2142,1627,3816,4139,1318,2562,137,18787,1160,1494,1433,1046,5085,6291,2005,3778,353,22649,1592,3853,3100,2158,2908,1919,568,807,248,17155,787,2107,2271,1500,4096,2726,651,860,110,15114,950,3644,2077,925,1804,1055,344,445,136,11377,826,944,1017,498,2595,2988,1378,3720,264,14224,1238,3843,1927,1166,2585,2233,602,1082,288,14962,166,214,153,107,381,338,114,246,645,2359,8405,18973,15050,9782,25729,24975,8201,17370,2332,130822
107,1229,1337,1067,804,3095,3823,1415,3472,111,16349,1927,3748,3770,2666,7258,7750,1986,3919,174,33202,2362,1846,1462,997,4624,6011,1318,2087,285,21006,3379,4031,2974,1821,2927,1904,774,728,239,18777,1278,2662,2891,1594,5125,2811,624,852,117,17957,1943,3550,1763,813,1687,1027,258,386,132,11553,726,1052,701,384,1989,1906,919,1468,168,9314,1749,3485,1732,848,1727,1537,379,639,213,12310,250,193,165,91,399,356,93,172,532,2260,14846,21900,16526,10030,28832,27121,7771,13725,1982,142732
108,391,735,808,678,1759,2337,803,2698,151,10356,824,1796,1884,1663,3220,3289,885,1836,147,15554,497,1166,1015,914,3009,3255,723,1369,215,12155,872,3046,2809,1955,2252,1243,394,587,215,13373,423,1585,1595,1129,2550,1483,309,488,92,9651,466,2767,1415,785,1367,785,250,383,131,8340,260,495,439,307,997,929,344,1004,114,4899,585,2977,1490,930,1637,1250,315,585,248,10014,127,195,117,82,225,178,41,102,570,1630,4434,14768,11569,8436,17009,14747,4073,9051,1883,85976
109,262,487,516,440,1192,1839,770,3344,101,8953,462,908,1142,937,1931,1851,647,1183,63,9128,255,542,488,398,1736,2421,654,1264,114,7874,485,1515,1370,947,1177,734,227,312,101,6876,293,978,1014,716,1704,1044,239,351,48,6389,210,1560,720,396,741,506,143,296,66,4639,172,334,330,209,732,897,305,930,90,3989,362,1594,787,483,1083,1255,344,604,136,6652,65,125,78,54,162,149,41,96,293,1054,2564,8043,6453,4577,10456,10694,3375,8374,1017,55555
110,356,728,725,590,1746,2553,1031,5101,239,13063,644,1283,1377,1115,2995,2852,992,2091,111,13456,339,729,673,558,2488,2574,812,1867,140,10176,596,1895,1762,1410,1925,979,327,556,149,9603,380,1211,1297,906,2550,1385,319,526,92,8680,307,1912,1064,538,1196,760,251,449,114,6589,256,507,414,287,988,1205,534,2048,136,6380,410,2302,1234,754,1977,2205,502,1167,240,10800,108,126,79,46,230,185,48,142,444,1408,3396,10697,8618,6209,16090,14702,4820,13936,1666,80142
111,811,1169,1324,1165,4092,5157,2009,4808,123,20662,2485,4703,5328,4317,9906,11054,2912,5455,245,46396,1273,2070,1899,1516,6278,8042,1909,2956,298,26233,2318,6218,4735,3100,3979,2318,808,984,315,24773,1173,3096,3763,2351,6567,4039,890,1141,141,23159,1269,5359,2625,1285,2334,1580,449,614,166,15681,625,1163,799,558,2403,2361,924,1789,153,10777,1178,4677,2413,1252,2503,2202,519,970,253,15962,181,267,190,131,462,468,131,219,645,2691,11312,28729,23073,15668,38524,37209,10543,18940,2335,186341
112,541,1236,1333,1078,2482,3323,1042,3665,219,14923,1197,3019,3292,2713,4140,4461,1209,2497,196,22720,752,1593,1548,1229,3584,3906,899,1861,285,15658,1210,3950,3347,2120,2200,1136,355,555,286,15159,539,2079,2027,1456,3071,1773,374,595,103,12012,613,3300,1774,934,1570,1002,261,495,142,10089,297,629,570,400,975,962,363,1085,134,5432,746,3667,1952,1369,2113,1652,347,734,265,12850,166,282,187,117,232,245,41,167,594,2034,6071,19760,16019,11414,20370,18457,4890,11650,2234,110874
