SA4_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
101,390,796,556,378,368,66,22,2577,86,76,55,45,40,5,3,307,26,25,27,19,27,0,0,123,770,1590,1277,899,1101,234,94,5959,18,45,35,21,23,3,3,155,35,50,36,28,27,0,0,183,55,96,70,52,52,6,5,333,828,1687,1345,947,1155,240,93,6294,830,799,445,287,262,39,11,2680,20,21,29,15,8,3,0,99,1679,2505,1816,1251,1426,287,111,9071
102,704,1250,895,611,765,205,86,4514,262,334,198,146,154,49,15,1150,44,51,37,23,23,10,3,193,1390,2566,2049,1479,1943,616,280,10319,43,90,72,40,58,10,9,323,89,103,59,38,42,19,4,344,126,189,131,74,100,30,9,669,1524,2752,2180,1556,2041,646,291,10986,1731,1788,1010,717,666,150,77,6138,25,34,24,24,19,8,0,132,3285,4574,3214,2297,2725,804,363,17258
103,459,914,543,435,434,70,7,2857,94,71,60,37,40,11,6,313,25,37,17,14,18,6,0,117,892,1752,1226,963,1083,211,43,6181,41,74,57,32,31,3,0,242,86,117,43,29,24,8,0,307,126,197,98,60,55,7,0,546,1023,1941,1330,1025,1138,216,46,6725,1062,1072,591,381,303,25,15,3455,38,33,28,31,13,0,0,142,2126,3045,1952,1432,1456,249,62,10325
104,368,636,466,329,316,60,16,2198,49,54,52,30,38,9,0,223,19,27,16,10,13,0,0,90,614,1171,944,683,767,151,45,4377,17,42,41,36,27,3,0,178,36,61,42,24,25,0,0,187,55,102,84,51,58,4,0,367,671,1277,1031,736,824,159,48,4742,736,688,419,290,262,46,11,2449,21,31,18,16,10,0,0,91,1427,1997,1464,1036,1099,201,57,7280
105,327,469,313,198,174,26,7,1502,55,42,20,11,7,5,0,139,32,46,30,20,13,0,0,143,610,1031,745,498,507,84,16,3489,14,45,30,18,23,0,0,127,37,49,24,26,19,0,0,150,53,94,51,44,38,4,0,277,659,1120,798,537,552,88,19,3770,860,751,388,249,199,20,3,2471,25,37,20,16,8,0,0,112,1540,1907,1208,810,760,107,21,6359
106,716,1271,804,576,606,127,45,4149,176,205,122,71,81,12,7,677,69,78,43,29,15,4,0,243,1352,2509,1722,1266,1509,366,141,8868,58,95,61,51,42,7,0,320,102,139,88,64,38,0,0,444,157,237,145,116,82,12,7,761,1511,2751,1868,1382,1589,372,146,9623,1652,1683,935,622,535,77,39,5535,21,54,29,17,11,4,0,146,3188,4477,2832,2023,2147,451,186,15308
107,498,1013,682,469,584,192,99,3538,179,226,157,93,103,40,24,821,31,29,12,14,17,3,5,114,962,1940,1545,1171,1467,565,279,7929,23,59,44,40,43,10,7,225,47,58,36,36,38,8,4,228,70,123,80,70,83,24,6,455,1030,2064,1627,1244,1551,585,289,8384,1235,1305,744,541,543,148,81,4593,18,30,34,19,7,3,0,114,2285,3397,2401,1799,2100,734,367,13093
108,512,1007,711,506,497,90,24,3339,97,78,70,41,54,13,0,349,27,56,37,20,18,5,5,166,865,1666,1326,1007,1148,225,58,6303,42,90,60,45,38,4,0,284,71,97,45,37,40,5,0,293,114,185,107,78,76,10,0,579,984,1856,1438,1087,1227,235,60,6879,1273,1199,708,501,455,64,29,4232,49,55,48,39,16,0,0,210,2308,3110,2196,1625,1695,299,88,11319
109,271,453,305,204,219,35,11,1503,58,55,29,21,22,0,0,183,14,23,14,6,8,4,0,70,480,876,642,488,594,142,30,3245,6,34,18,10,14,0,0,92,41,50,21,12,19,4,0,152,49,82,47,28,41,4,0,244,525,957,684,510,632,147,35,3491,551,454,289,198,207,34,15,1740,16,23,15,13,9,0,0,72,1091,1435,989,722,843,181,42,5301
110,450,770,492,338,351,44,6,2451,73,75,49,28,35,7,0,273,24,36,47,23,10,0,0,145,800,1507,1085,750,899,114,29,5187,48,105,65,49,31,4,0,305,71,109,57,45,34,8,0,307,116,206,123,86,66,12,0,616,912,1721,1207,833,964,131,30,5795,1263,1087,602,409,326,45,15,3752,43,50,27,14,17,6,0,155,2218,2856,1839,1262,1306,178,42,9703
