LGA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
LGA20830,304,2176,1601,19914,246,24235,14,29,24,650,7,728,348,23,31,79,10,485,126,39,7,33,5,207,817,255,193,794,20,2079,3411,2033,1467,17683,269,24859,212,14,77,12,0,311,90,14,24,150,4,279,572,182,154,1507,24,2441,122,33,8,117,0,279,141,24,10,60,0,238,385,46,9,23,0,470,697,445,307,5117,72,6636,590,253,85,1111,13,2058,22,0,3,0,0,18,12,3,0,17,0,35,15,10,4,4,0,35,118,47,24,128,8,320,89,38,13,24,0,161,165,90,83,67,0,415,197,42,31,122,3,393,65,20,4,43,0,130,22,4,3,0,0,32,840,521,398,4822,57,6637,61,17,13,14,0,104,142,18,26,17,0,199,74,17,7,59,4,155,95,19,5,11,0,133,94,0,7,0,0,108,117,52,24,136,3,332,1779,321,280,749,32,3163,116,32,30,485,2877,3534,9554,3915,2822,37857,3475,57626
LGA20910,902,4501,3642,20765,215,30019,19,21,17,244,6,300,4171,141,233,247,20,4811,415,70,41,163,3,697,850,290,174,454,5,1771,9825,3928,2995,21483,231,38464,291,23,90,20,3,422,520,94,68,274,0,961,1595,439,315,1952,27,4327,2171,358,235,1330,6,4104,404,78,30,88,7,602,1264,72,66,71,3,1466,2726,1023,765,8847,67,13418,2303,672,401,2255,40,5663,152,15,12,0,0,184,225,43,36,116,3,430,157,47,30,57,0,294,220,81,49,178,0,529,143,31,23,25,0,222,566,136,174,51,4,931,1211,163,160,398,7,1949,1053,83,88,90,17,1322,37,9,6,11,0,51,2559,976,766,7243,40,11587,328,34,24,59,0,447,865,119,87,21,9,1098,369,40,34,84,0,529,296,69,57,64,3,483,338,17,36,19,0,414,420,74,45,270,3,806,7696,1259,1232,1526,70,11785,304,31,38,276,3244,3892,35622,8566,6740,46487,3900,101306
LGA21010,60,407,264,4942,97,5768,0,5,0,238,6,256,56,3,6,32,0,95,4,0,0,6,0,22,134,41,11,81,4,275,611,428,291,4779,125,6230,45,0,10,0,4,62,24,3,6,27,0,59,158,51,40,464,18,721,31,20,0,17,0,69,21,4,0,9,0,29,90,3,0,0,0,94,161,92,58,1736,29,2082,92,43,5,222,5,370,0,0,0,0,0,0,15,0,0,10,0,21,3,0,0,0,0,7,22,11,4,19,0,52,6,0,0,3,0,14,21,16,4,3,0,44,56,9,5,16,0,86,17,0,6,9,0,34,0,0,0,0,0,0,165,121,71,1540,17,1919,11,0,0,0,0,12,5,3,6,0,0,16,9,0,0,11,0,23,8,0,0,0,0,9,5,0,0,0,0,5,23,10,6,50,0,88,345,56,37,130,12,572,19,5,0,117,1052,1205,1775,778,490,10179,1300,14528
LGA21110,1417,5492,4631,28433,251,40218,26,37,17,363,6,441,28015,584,1076,722,119,30512,483,113,79,283,5,958,878,370,255,729,5,2242,8827,4835,3799,31030,238,48730,676,33,150,34,0,890,562,171,128,390,4,1254,1561,519,400,3026,20,5520,4366,713,344,2317,34,7771,408,84,66,209,3,772,5090,233,186,152,11,5677,2371,1388,1061,14916,95,19839,4544,1178,577,4547,37,10884,823,14,68,17,3,926,326,94,51,177,5,653,369,57,56,187,4,677,318,137,75,312,3,847,158,40,16,21,4,233,566,204,143,93,4,1002,931,199,198,491,12,1828,452,64,93,126,0,742,33,3,3,4,0,44,2377,1410,1092,11735,62,16674,294,40,28,45,0,407,542,107,93,38,3,779,428,43,47,106,4,630,1157,143,114,86,10,1501,2462,97,157,61,3,2787,322,110,80,510,4,1023,13256,1684,1708,2477,73,19198,532,59,48,323,4673,5635,73149,11629,9560,68087,5477,167900
LGA21180,5353,3059,2399,13410,326,24547,69,94,31,651,10,847,12509,159,300,232,76,13277,3648,301,173,637,34,4791,393,128,92,257,0,865,7492,1966,1593,11178,325,22557,7134,182,383,109,24,7836,319,31,21,115,4,491,1258,231,182,1131,24,2820,4268,644,294,1457,42,6705,368,50,21,79,6,520,7159,130,106,50,16,7465,1025,545,343,3829,40,5785,6692,1194,627,3548,83,12151,171,4,6,0,0,185,1261,223,121,188,10,1801,4281,387,171,563,35,5447,6830,760,501,1947,60,10095,679,85,40,25,12,841,444,87,68,42,6,644,1834,149,118,334,15,2444,346,30,39,55,0,469,1768,106,61,20,18,1975,1134,426,329,2927,41,4851,1756,131,77,126,21,2114,100,26,25,9,0,161,1215,68,49,79,12,1418,826,47,24,20,5,919,31422,340,609,328,160,32861,83,40,24,121,0,263,37232,1691,1306,1610,302,42139,5041,83,98,284,10759,16274,136778,8354,6275,31011,12198,194618
LGA21270,26,110,91,2285,43,2554,0,0,0,71,0,74,18,0,0,13,0,36,3,0,0,0,0,0,30,13,8,19,0,68,175,104,82,2022,35,2418,39,0,7,0,0,42,5,0,3,11,0,15,30,5,5,148,3,185,7,4,0,0,0,11,9,0,0,0,0,9,32,0,0,0,0,30,32,19,25,908,12,996,17,7,0,63,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,3,0,20,12,3,0,0,0,22,5,0,5,3,0,15,11,0,0,4,0,20,3,0,4,0,0,9,0,0,0,0,0,0,45,38,21,696,16,820,3,0,0,0,0,3,5,0,0,5,0,12,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,14,0,22,101,14,22,59,3,200,15,0,7,58,502,576,535,199,158,4701,593,6178
LGA21370,148,910,666,14906,257,16889,5,31,25,1022,22,1102,140,5,12,82,0,237,30,13,7,23,0,74,196,75,48,198,4,530,1225,872,662,13248,255,16262,346,0,44,8,5,403,43,4,16,72,0,129,187,74,78,1189,11,1542,60,12,3,41,0,122,33,5,9,14,0,62,157,9,0,7,0,174,283,154,125,4027,46,4633,376,107,40,758,23,1301,18,0,0,5,0,15,17,0,9,6,0,28,11,4,5,10,0,35,57,19,14,69,0,162,73,9,17,6,0,111,78,36,28,31,0,176,52,13,9,37,0,123,15,4,0,12,0,31,0,0,0,0,0,5,320,232,156,3449,41,4200,28,0,0,3,0,29,18,7,4,6,0,33,26,9,5,37,0,75,44,5,3,10,0,58,31,4,4,3,0,44,42,9,10,93,0,165,677,108,89,371,12,1254,43,21,8,321,2364,2751,3897,1636,1224,29052,2927,38735
LGA21450,1535,4910,3606,31315,339,41707,13,70,39,1007,23,1151,1579,51,95,183,12,1920,409,120,52,159,4,747,1496,573,333,1565,31,3997,8347,4241,3258,25769,363,41979,1325,30,176,42,3,1580,370,46,28,198,0,646,1161,435,285,2272,35,4182,412,142,63,447,8,1063,360,63,26,178,5,636,4749,123,64,83,15,5029,1580,832,614,7183,85,10299,1396,671,291,2308,23,4688,130,0,7,0,0,138,126,32,15,39,7,217,72,29,17,46,0,159,267,120,92,341,4,822,502,77,62,32,0,675,509,246,157,131,5,1049,402,106,78,237,4,826,230,30,35,89,4,387,379,51,19,13,5,471,1980,903,716,6319,71,9998,248,66,25,52,3,387,417,84,55,56,0,613,301,33,18,87,7,439,1440,124,53,88,6,1716,242,17,25,14,5,301,303,84,56,277,3,720,14295,1100,863,1449,116,17817,621,84,69,624,5304,6706,39221,8912,6438,57394,6232,118194
LGA21610,8529,10088,7504,52202,632,78947,128,193,109,1970,21,2422,14833,203,444,409,89,15977,2013,317,148,501,23,2993,3091,862,540,1905,24,6425,22169,7714,5970,42715,639,79200,8604,140,595,120,22,9485,1588,102,67,337,9,2098,2841,804,500,3843,42,8032,2634,628,384,1606,26,5278,1550,209,116,360,13,2245,33043,493,271,189,73,34061,3828,1449,1049,11598,132,18059,4948,1574,813,5053,76,12458,1023,6,21,0,5,1058,1237,276,123,196,7,1842,589,105,38,128,3,869,953,355,201,841,15,2359,2307,268,198,133,26,2933,1555,500,336,234,11,2638,2139,223,177,393,12,2949,1126,84,84,197,4,1499,4197,271,118,43,50,4673,4583,1691,1293,10773,108,18447,3219,249,179,242,36,3924,1507,247,170,90,4,2010,1549,81,78,156,14,1866,9196,365,204,228,20,10015,2890,79,146,71,26,3213,545,126,99,432,0,1204,97661,3707,2810,3364,565,108105,4044,196,167,993,15175,20574,215499,19690,14454,98161,17438,365239
LGA21670,46,297,240,4962,108,5661,0,12,3,253,8,280,43,3,7,55,0,112,11,0,0,9,0,24,125,18,20,70,3,229,667,320,272,4769,134,6162,76,4,20,0,0,104,7,4,0,21,0,34,101,28,28,320,10,489,32,8,4,26,0,78,40,5,9,9,0,52,33,4,0,0,0,34,129,65,41,1270,10,1518,62,32,10,251,0,358,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,4,32,10,0,15,0,61,16,6,0,7,0,31,21,8,7,4,0,44,29,11,0,7,0,46,7,0,0,3,0,16,0,0,0,0,0,0,147,89,55,1287,14,1586,10,0,0,0,0,13,0,0,0,0,0,4,10,0,0,7,0,21,7,0,0,0,0,14,9,0,0,0,0,7,19,9,5,36,0,66,250,58,21,95,7,433,16,3,5,90,845,970,1589,583,442,9764,1101,13483
LGA21750,85,561,413,7857,117,9035,3,12,8,296,5,318,316,3,4,26,3,357,27,4,4,28,0,59,165,54,36,159,4,412,855,539,366,7255,131,9151,114,0,16,5,0,140,41,6,9,53,0,108,130,58,34,595,10,830,55,14,7,22,0,102,24,3,5,3,0,42,84,3,3,7,0,99,206,160,117,2940,34,3455,159,64,24,346,4,595,21,0,4,0,0,26,12,0,0,17,0,31,10,0,0,0,0,7,39,19,9,26,0,91,43,13,5,5,0,73,41,26,11,9,0,88,51,5,13,27,0,97,20,7,0,14,0,40,25,0,0,0,0,25,259,174,112,2309,24,2887,11,0,0,0,0,15,14,0,0,3,0,24,9,0,0,11,0,25,14,0,0,0,0,17,21,0,3,0,0,25,32,7,3,51,0,98,683,95,106,185,9,1080,44,16,5,251,1287,1597,2992,1096,744,16034,1557,22423
LGA21830,43,400,310,6282,110,7142,0,6,5,167,0,176,37,0,3,13,0,60,4,9,0,6,0,20,176,63,39,120,3,406,569,329,266,5174,129,6467,86,0,23,0,0,112,8,7,3,23,0,42,84,27,33,340,9,485,12,10,4,16,0,39,8,6,0,6,0,15,29,6,0,0,0,41,154,92,60,2064,33,2400,49,23,12,121,0,200,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,21,6,0,19,0,53,39,8,3,4,0,57,66,25,14,14,4,117,12,0,3,5,0,19,16,0,6,3,0,23,0,0,0,0,0,0,171,120,67,1690,36,2081,9,3,0,0,0,9,9,3,0,6,0,21,20,0,0,14,0,33,3,0,5,0,0,9,0,0,0,0,0,0,17,8,10,41,0,71,267,50,42,128,7,495,28,10,3,202,995,1235,1543,694,521,12101,1259,16115
LGA21890,1868,5132,3585,22072,265,32926,30,89,59,1205,31,1412,7931,242,344,379,42,8934,797,131,58,317,11,1308,594,378,247,757,11,1980,7421,4395,3018,22005,297,37130,1271,25,200,26,12,1539,499,123,82,312,4,1023,1239,520,340,2392,27,4518,8038,994,570,2762,85,12451,203,71,46,148,0,470,3932,147,124,67,11,4276,2439,1493,976,11555,59,16531,11236,2044,927,6267,158,20633,245,4,21,9,0,282,1927,290,175,409,11,2820,2247,273,161,541,17,3244,707,210,124,560,7,1604,395,63,42,32,0,537,679,244,159,74,13,1166,574,177,144,394,9,1301,239,49,51,111,0,456,161,38,12,3,6,217,2126,1166,909,8127,43,12378,501,52,37,101,5,688,237,60,58,20,5,375,649,73,75,114,4,920,561,66,62,68,5,763,3040,68,113,58,19,3295,286,114,80,435,4,916,15653,1851,1505,2273,145,21424,959,70,61,388,5677,7153,67345,12023,8211,54265,6736,148570
LGA22110,237,1451,1100,16102,298,19195,10,41,21,1462,25,1563,244,24,29,118,6,424,49,9,3,19,4,73,567,158,91,384,6,1210,2926,1486,1097,15328,362,21205,307,3,51,21,7,395,75,25,14,118,4,236,530,141,104,1331,37,2147,113,32,10,80,4,234,56,14,5,19,0,93,183,13,10,28,3,230,495,302,186,4219,74,5274,492,160,64,884,15,1616,21,0,6,3,0,28,0,0,4,13,0,30,6,3,0,9,0,18,126,24,18,95,0,267,55,24,18,14,0,108,102,59,35,37,4,226,132,33,18,67,0,253,43,9,0,15,0,62,3,3,7,4,0,17,751,377,269,4267,61,5732,24,7,3,9,0,44,88,11,9,5,0,110,38,4,0,33,0,79,18,11,3,14,0,41,109,5,15,3,7,136,114,56,14,124,4,306,1190,252,159,555,36,2191,98,7,20,340,3263,3736,7446,2763,1959,32523,4030,48715
LGA22170,1305,6412,5025,36281,391,49411,18,157,69,1462,24,1729,2352,76,132,260,17,2840,521,105,60,190,3,876,1456,472,327,1154,15,3423,12757,6035,4627,32324,480,56221,1521,50,273,60,14,1912,487,84,53,359,11,991,1645,543,405,2835,40,5468,1288,317,200,821,15,2648,356,117,60,160,11,704,2109,120,91,115,0,2450,2861,1236,859,9938,85,14976,1879,735,383,2580,32,5607,136,0,15,11,0,162,322,78,49,87,0,542,103,22,10,49,0,188,308,140,86,307,4,852,918,157,129,85,7,1313,770,289,197,134,0,1387,802,157,103,318,8,1395,710,46,37,82,4,886,331,58,30,12,4,424,3476,1363,1082,8816,107,14846,413,60,31,50,4,555,611,125,91,51,0,879,415,43,30,125,0,616,450,116,47,89,0,710,313,17,59,12,0,399,523,125,98,359,3,1101,9021,1424,1206,1821,116,13584,495,89,77,675,6605,7940,40514,11893,9078,70057,7742,139281
LGA22250,40,209,140,4279,79,4745,0,3,0,238,4,253,29,0,0,25,0,55,8,0,0,0,0,12,62,21,16,47,0,145,301,214,162,3850,94,4626,63,0,4,0,0,74,4,0,0,18,0,21,51,18,15,346,4,429,11,3,0,16,0,39,12,4,0,4,0,16,38,0,0,0,0,44,47,45,45,1052,12,1201,37,13,0,156,4,211,0,0,0,0,0,0,8,0,0,0,0,9,3,0,0,0,0,3,23,0,4,8,0,33,7,0,0,0,0,15,20,9,3,7,0,36,16,0,4,8,0,26,4,3,0,0,0,6,0,0,0,0,0,3,63,68,43,1019,5,1204,5,0,0,5,0,5,13,8,0,0,0,18,6,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,23,0,26,129,24,9,65,4,239,14,5,0,118,725,865,828,397,263,8294,902,10683
LGA22310,2018,6011,4688,21854,211,34787,37,44,18,309,3,411,12575,208,461,323,62,13632,520,110,72,189,4,894,826,276,202,542,6,1851,8917,4037,2917,19105,196,35173,1028,39,146,18,4,1243,981,155,126,294,4,1562,1952,562,379,2132,19,5041,4941,723,359,2167,41,8237,921,209,139,355,16,1638,6772,155,129,91,20,7164,2742,988,742,8824,49,13344,3078,842,425,2672,30,7046,847,15,26,8,0,898,259,62,32,112,3,467,152,25,24,53,0,255,261,98,67,205,0,630,256,41,26,12,0,341,605,244,150,71,10,1072,3660,718,534,1287,37,6226,3507,261,261,307,32,4365,52,14,8,0,0,75,2090,943,693,6399,40,10169,564,52,35,66,0,723,2375,254,242,49,7,2920,558,47,50,85,0,744,760,119,121,92,5,1096,1319,42,71,24,3,1452,226,64,58,284,0,634,21871,2817,2477,3191,149,30503,1184,144,127,432,4682,6569,74051,12052,9259,48064,5474,148908
LGA22410,70,497,360,7443,131,8503,0,15,17,505,18,550,38,3,3,30,0,79,24,4,0,12,0,43,182,52,42,133,0,417,828,504,351,6767,124,8587,111,3,30,5,0,149,19,0,4,29,0,59,122,51,38,811,4,1031,34,3,0,17,0,58,15,3,0,0,0,17,73,9,3,10,0,90,160,99,74,1865,31,2233,73,40,4,157,5,277,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,0,0,9,59,7,10,58,0,140,49,9,5,11,0,78,61,20,25,18,0,127,26,3,0,30,0,61,10,0,0,5,0,17,10,0,0,6,0,18,227,152,97,1965,29,2481,10,0,0,5,0,17,27,6,3,0,0,39,16,6,0,13,4,36,7,0,0,3,0,16,25,0,0,0,0,23,33,9,6,62,0,114,388,88,68,159,6,713,27,17,22,219,1215,1498,2226,954,688,14782,1497,20152
LGA22490,106,838,723,9335,125,11123,4,17,5,345,0,371,60,7,11,47,0,117,109,26,16,87,3,240,288,123,91,326,0,827,1352,804,627,7437,93,10315,34,0,18,3,0,59,32,6,12,67,0,111,254,98,70,759,3,1188,52,18,12,53,0,138,54,19,8,31,0,107,44,10,0,8,0,65,261,153,126,2530,20,3088,188,96,32,491,6,801,5,0,0,0,0,4,6,4,0,0,0,10,24,10,3,13,0,47,133,50,29,138,0,357,24,0,0,10,0,43,72,38,22,11,0,147,89,36,13,63,0,199,31,11,0,15,0,60,8,0,0,0,0,7,361,208,167,2297,17,3041,30,9,4,5,0,55,25,12,4,5,0,50,36,10,5,42,3,93,13,15,0,5,0,25,18,3,6,3,0,23,42,9,13,93,5,156,471,123,121,299,13,1022,29,9,4,232,1084,1358,3383,1579,1238,17473,1308,24985
LGA22620,471,3139,2127,43264,537,49540,7,92,38,2474,44,2659,898,59,84,606,20,1662,109,34,17,110,0,279,565,315,177,787,8,1855,3756,3009,2108,42246,566,51684,733,20,148,27,3,934,105,44,32,278,0,464,574,320,186,4216,40,5340,191,73,28,229,6,522,82,38,19,67,0,210,1273,65,27,47,0,1415,804,744,440,14518,135,16643,548,338,134,2731,19,3778,77,8,6,4,0,96,30,12,4,35,0,88,27,6,6,20,0,58,155,80,34,201,4,468,109,43,35,63,0,254,172,119,104,105,0,500,161,51,24,207,4,452,81,12,14,62,0,171,27,25,0,5,0,61,1022,773,552,11901,90,14336,55,9,11,34,0,118,167,45,18,29,0,265,117,20,22,115,6,272,159,29,11,14,0,211,150,9,22,7,4,194,147,90,48,408,0,692,4927,566,409,1472,71,7444,230,45,37,1120,6242,7676,14975,5918,3946,89129,7505,121470
LGA22670,4732,1905,1539,7835,268,16281,50,55,45,427,13,590,18637,152,277,157,149,19377,1019,65,31,85,16,1210,778,102,63,172,20,1142,7529,1353,1087,7097,270,17327,3036,65,185,51,16,3352,615,23,13,51,0,697,852,138,92,651,24,1751,3019,403,228,733,33,4415,512,37,23,40,5,622,10299,88,72,38,30,10529,917,316,206,2331,35,3802,2834,427,224,1042,39,4569,678,0,15,0,4,700,775,107,58,65,12,1011,543,27,40,31,6,642,417,50,33,117,8,623,507,79,46,19,10,658,324,70,37,26,7,468,879,51,49,67,11,1062,561,34,17,24,3,642,734,55,26,11,20,848,965,293,239,1969,39,3494,2136,69,55,52,30,2348,316,21,35,28,3,396,638,18,19,32,4,716,3182,96,73,48,23,3428,16976,145,303,143,75,17653,115,13,20,79,0,233,52885,1214,1146,975,405,56628,3369,75,77,196,7861,11579,123278,4658,3908,17142,9218,158208
LGA22750,1889,9772,7007,77002,1058,96732,46,158,114,3009,49,3375,3413,143,240,599,15,4413,2775,439,223,1074,41,4558,2843,1069,655,2671,45,7283,14946,8700,6279,73062,1008,104004,2240,88,374,114,27,2839,430,126,90,588,4,1240,2655,993,643,7642,94,12032,1254,311,137,872,8,2590,618,139,85,323,0,1171,4542,136,76,117,19,4885,3579,2247,1501,27449,228,35001,4227,1332,556,5940,88,12143,209,5,25,13,0,250,228,79,37,148,8,503,1173,201,93,400,13,1874,1019,273,157,873,17,2340,441,161,89,93,7,792,684,411,299,202,12,1611,1456,318,207,881,20,2877,472,89,69,177,8,822,122,51,16,15,0,205,4083,2466,1765,22829,192,31334,1084,141,67,197,16,1497,557,142,89,95,3,890,678,126,105,283,7,1196,449,71,42,53,6,630,850,36,73,20,3,987,608,245,168,885,13,1921,16481,2116,1611,3674,184,24067,800,107,106,1588,12546,15147,63950,18717,13113,160154,15116,271057
LGA22830,772,1538,1029,19340,315,22996,11,101,40,2308,52,2514,764,13,27,118,4,931,67,31,10,63,3,174,370,149,83,451,6,1064,2169,1386,1001,18650,320,23520,737,6,127,11,9,882,44,5,4,116,0,178,325,126,105,1570,10,2136,327,63,15,266,5,676,45,13,12,22,3,91,1661,31,11,20,3,1740,401,325,191,6191,55,7153,1947,460,203,2572,45,5224,19,0,4,0,0,25,20,3,4,9,0,32,189,21,5,109,0,334,52,26,13,96,3,188,95,20,30,26,0,169,137,36,40,51,4,270,74,27,6,93,0,212,22,9,7,19,0,51,274,23,0,3,0,303,519,379,233,5032,47,6212,38,8,6,19,0,71,69,7,10,11,0,91,93,17,4,69,0,190,89,0,8,16,0,115,91,0,11,4,0,109,59,22,16,100,0,194,7360,395,273,812,76,8917,344,37,22,467,4622,5496,16806,3150,2075,40954,5424,68409
LGA22910,79,562,339,4658,80,5721,0,7,4,163,3,180,92,11,8,58,10,174,73,8,6,12,0,98,211,67,55,147,0,480,1153,548,389,4874,88,7053,42,0,10,3,0,60,52,11,11,35,0,111,208,62,39,485,13,800,56,11,9,46,0,116,33,8,6,7,0,54,45,19,5,12,0,80,273,163,101,2152,33,2718,173,85,32,403,3,709,4,0,0,0,0,4,8,3,0,9,0,17,20,3,0,9,3,36,90,24,10,42,3,167,20,4,0,3,0,26,47,23,23,8,0,99,91,20,8,36,0,159,28,9,9,5,0,48,5,0,0,0,0,5,302,155,97,1813,16,2377,47,8,3,8,0,73,26,9,0,0,0,36,14,7,6,17,0,39,10,4,0,0,0,16,17,6,0,4,0,24,46,22,12,77,0,154,547,116,72,229,13,972,32,5,5,146,1163,1346,2993,1090,696,10457,1374,16604
LGA22980,18,94,92,2005,40,2248,0,0,0,84,3,89,11,0,0,8,0,19,0,0,0,6,0,7,35,5,8,18,0,73,210,108,73,1819,44,2252,44,0,7,0,6,57,12,4,0,13,0,24,33,19,20,765,8,839,7,0,0,0,0,9,7,0,0,0,0,8,33,0,0,0,0,38,27,18,11,412,3,477,10,13,0,37,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,4,0,0,3,0,6,6,0,0,6,0,14,3,0,4,21,0,30,0,0,3,0,0,5,4,0,0,0,0,4,43,25,18,497,4,586,0,0,0,0,0,0,10,6,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,3,8,0,0,0,0,8,3,5,3,14,0,21,316,18,9,38,5,389,5,0,0,65,338,408,744,191,146,4176,439,5698
LGA23110,1277,3469,2585,15701,228,23256,24,49,32,476,11,589,3037,84,211,188,30,3543,1025,116,84,339,14,1583,534,225,141,384,3,1283,6362,2731,2007,14316,230,25653,1358,49,192,46,5,1646,329,60,33,145,4,570,992,301,183,1486,22,2982,2337,381,164,1011,21,3920,225,51,30,91,3,394,2534,68,51,38,5,2699,1958,798,529,6111,49,9440,3314,742,358,2319,53,6788,121,5,10,7,0,143,1621,417,202,256,13,2503,1132,150,55,273,6,1618,2239,384,213,1102,30,3967,456,71,51,25,3,610,541,169,140,51,8,907,758,100,68,294,6,1228,228,26,28,56,0,347,170,28,6,4,0,207,1795,699,539,4594,30,7664,666,92,55,88,0,897,251,56,26,9,0,347,338,23,13,50,0,428,174,41,40,25,3,282,1866,41,102,64,7,2080,253,79,44,214,0,591,9185,1048,883,1113,88,12317,664,54,42,264,3669,4698,40097,7326,5229,34300,4375,91322
