LGA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA51330,926,878,1083,867,757,612,366,276,135,5903,17402,13703,14885,14030,11751,10116,8086,4299,1591,95860
LGA51400,277,206,140,182,232,193,144,53,21,1451,4029,2289,1842,2425,2727,2332,1692,701,136,18175
LGA51470,11,13,4,18,12,11,16,6,0,92,76,41,62,95,64,82,86,33,11,552
LGA51540,232,147,168,132,150,119,78,49,9,1081,973,558,715,617,767,753,556,241,70,5251
LGA51610,61,21,11,40,53,32,26,9,0,256,327,142,127,194,274,254,169,53,9,1556
LGA51680,77,64,55,50,104,113,61,35,12,569,1109,665,516,682,942,988,642,309,77,5930
LGA51710,28,37,161,100,69,33,28,4,0,472,285,127,319,271,263,210,178,32,4,1692
LGA51750,92,120,118,74,102,90,82,66,60,793,1776,1583,1244,1175,1475,1286,1196,1030,529,11284
LGA51820,1448,1037,1285,1302,1154,886,590,353,191,8250,22972,13975,17894,18564,15830,12939,9368,4740,1811,118091
LGA51860,20,10,18,12,14,23,14,5,0,114,130,49,65,85,53,111,63,33,11,593
LGA51890,218,113,107,108,117,127,98,54,23,976,1571,947,920,976,1120,1301,1220,568,183,8812
LGA51960,158,110,120,142,129,105,51,21,5,838,690,412,461,471,533,513,297,86,14,3478
LGA52030,15,10,21,13,29,37,23,20,6,175,132,60,98,89,107,220,215,103,23,1055
LGA52100,10,12,8,8,13,11,14,6,7,79,173,84,105,118,110,147,156,75,42,1007
LGA52170,46,69,80,75,58,85,54,44,43,563,1252,1014,908,841,1094,1113,959,577,219,7970
LGA52240,29,14,11,12,20,21,17,13,0,138,215,87,90,132,159,178,134,85,15,1100
LGA52310,22,15,10,12,17,17,9,11,0,109,142,72,74,75,142,166,151,61,12,902
LGA52380,3,4,8,4,9,4,5,4,0,42,4,19,35,20,31,35,58,11,0,215
LGA52450,24,10,11,19,15,8,19,5,3,126,260,201,152,155,136,154,151,64,27,1302
LGA52520,53,23,27,45,30,40,24,10,6,258,298,118,176,211,155,204,118,63,36,1379
LGA52590,35,31,67,56,51,60,66,27,9,413,471,224,368,364,413,589,599,265,65,3355
LGA52660,236,118,149,153,188,169,129,106,84,1336,2991,1526,1843,1927,1851,1805,1489,900,347,14686
LGA52730,132,62,58,74,114,110,110,55,24,745,1084,522,393,691,833,1055,1042,542,155,6310
LGA52800,382,212,288,219,187,160,82,25,3,1554,1609,1036,1270,958,858,781,421,119,29,7075
LGA52870,73,45,48,61,80,76,79,46,9,517,1024,537,502,684,847,1009,978,460,127,6155
LGA52940,16,4,3,3,14,4,9,4,0,67,152,60,55,86,90,84,126,45,10,715
LGA53010,28,11,12,17,18,20,18,9,0,134,136,39,74,93,89,102,96,44,0,681
LGA53080,27,11,28,6,34,28,16,6,0,159,74,62,96,53,109,133,95,49,3,677
LGA53150,90,58,52,89,81,66,61,54,70,617,1374,912,717,925,1198,1081,876,471,254,7819
LGA53220,197,213,692,591,438,317,56,11,0,2524,1578,1026,2324,2020,1476,1035,251,44,13,9760
LGA53290,378,207,187,210,248,220,165,124,27,1760,2720,1488,1548,1642,1899,1894,1486,918,284,13883
LGA53360,62,43,54,57,58,43,33,11,3,367,562,323,544,498,425,379,244,101,16,3085
LGA53430,358,305,481,395,435,336,259,157,119,2840,4575,3203,4531,4498,4338,4423,3573,1936,849,31930
LGA53570,74,42,66,65,89,88,96,53,9,582,794,462,574,577,782,898,928,462,88,5576
LGA53640,41,16,11,17,17,20,15,10,0,148,261,98,175,155,150,181,143,34,8,1215
LGA53710,19,15,8,15,19,19,18,13,3,134,166,76,65,117,122,153,158,68,24,955
LGA53780,1978,1353,1792,1756,1426,970,654,403,271,10596,26265,16250,17620,19859,16225,12945,10175,5162,1869,126376
LGA53800,1065,632,679,703,689,573,402,232,111,5090,7863,4581,4684,4866,5377,5164,3981,2149,839,39489
LGA53920,246,104,100,87,83,54,29,11,3,725,890,648,605,505,421,277,158,62,11,3574
LGA53990,456,302,274,295,319,326,225,119,38,2348,5963,3146,3228,3762,3741,3784,3061,1466,400,28567
LGA54060,67,45,38,50,55,90,81,56,10,490,551,308,222,359,479,644,673,362,78,3680
LGA54130,28,19,8,15,24,28,9,3,0,140,252,90,137,158,148,191,133,46,12,1160
LGA54170,1582,1167,1125,1345,1564,1315,901,453,257,9703,29848,19300,16285,21336,22768,21744,18096,7853,2782,160003
LGA54200,744,474,514,592,556,506,329,228,122,4067,11358,6770,6450,7970,7889,7218,6227,3593,1292,58762
LGA54280,820,526,709,638,569,476,240,81,31,4091,6492,3610,4812,4401,3915,3416,1782,678,202,29306
LGA54310,914,498,862,883,602,397,124,19,7,4302,5642,2369,4115,4351,3142,1864,574,135,12,22199
LGA54340,130,67,63,62,49,42,47,22,13,488,782,503,531,486,489,518,427,232,100,4057
LGA54410,15,23,13,16,23,28,20,14,6,145,147,109,93,119,154,206,153,114,46,1138
LGA54480,15,9,5,13,15,6,3,6,0,67,120,41,59,84,84,47,32,19,0,491
LGA54550,35,13,15,30,23,41,23,22,4,204,372,137,179,249,236,305,222,150,54,1901
LGA54620,25,9,15,14,15,20,15,6,9,124,145,74,82,114,125,130,110,51,18,847
LGA54690,0,0,3,4,3,0,0,3,0,18,64,14,28,41,56,69,60,27,6,361
LGA54760,21,9,13,13,19,9,8,4,0,106,163,41,78,107,117,114,94,43,11,769
LGA54830,841,632,1067,927,640,359,208,86,25,4785,10410,5642,7857,7718,5670,4134,2717,1314,416,45867
LGA54900,9,13,6,13,19,27,4,6,6,112,251,119,144,178,173,200,128,67,13,1265
LGA54970,27,42,137,95,99,70,14,0,0,491,133,136,323,236,223,207,56,11,5,1333
LGA55040,56,87,143,106,70,55,19,8,0,542,265,205,351,265,216,180,81,26,3,1588
LGA55110,1366,894,864,985,1103,964,804,650,408,8049,15677,9464,9182,9972,10978,11960,12513,7848,2707,90306
LGA55180,141,100,81,97,157,146,102,56,18,903,1484,927,907,944,1246,1510,1213,647,221,9093
LGA55250,28,54,85,46,44,37,12,4,0,315,174,165,270,166,154,155,81,31,0,1200
LGA55320,913,757,697,782,870,782,640,416,315,6170,17909,12738,10955,13403,13754,12993,11756,6676,3336,103523
LGA55390,0,25,42,40,19,19,12,4,0,160,29,77,115,108,82,70,40,11,0,524
LGA55460,78,50,59,61,50,61,46,25,5,431,588,349,373,370,398,449,368,160,65,3119
LGA55530,9,3,3,4,11,24,10,6,3,74,78,27,38,48,55,75,52,34,9,407
LGA55600,59,37,41,33,44,46,37,22,8,323,437,234,244,235,324,337,268,149,57,2292
LGA55670,39,25,9,12,9,18,28,5,3,151,147,71,62,63,77,83,98,36,18,660
LGA55740,90,92,91,86,96,92,73,58,40,712,1549,1185,1009,1139,1334,1141,995,594,211,9169
LGA55810,71,29,35,50,54,40,26,10,0,322,122,55,70,97,104,103,72,23,9,653
LGA55880,7,3,3,10,13,11,0,0,5,53,79,22,42,62,75,100,45,20,16,459
LGA55950,17,9,11,7,15,10,8,10,4,82,121,48,62,60,82,85,68,46,11,579
LGA56090,433,486,933,896,728,572,314,178,82,4615,6535,4336,4241,4932,5655,5720,4548,2428,775,39166
LGA56160,10,0,0,6,6,0,0,0,0,14,32,3,13,17,17,10,5,0,0,101
LGA56230,328,219,194,232,255,248,234,132,71,1912,3275,1887,1768,2009,2285,2496,2502,1433,409,18068
LGA56300,42,10,9,28,33,34,43,33,4,242,208,83,94,178,182,280,336,151,30,1538
LGA56370,19,9,16,11,16,22,17,16,14,143,153,47,106,69,98,119,89,68,41,787
LGA56460,128,80,81,80,77,69,61,35,8,613,827,589,536,524,592,654,567,326,159,4779
LGA56580,190,156,130,133,158,144,155,98,69,1237,4202,3045,1863,2448,3143,2774,2506,1499,650,22132
LGA56620,45,20,24,24,28,24,4,0,0,170,293,242,230,210,180,135,52,14,3,1358
LGA56730,305,198,254,270,223,204,143,83,39,1725,2061,1242,1227,1305,1488,1662,1438,706,237,11358
LGA56790,86,50,49,56,76,81,92,47,13,549,482,205,239,324,408,606,597,282,86,3227
LGA56860,4,11,0,4,16,7,15,4,0,64,33,33,17,20,37,46,44,14,4,255
LGA56930,16,28,0,11,12,20,15,11,4,118,264,322,112,119,215,220,183,114,41,1597
LGA57000,28,22,23,44,30,38,13,4,4,204,84,58,76,95,102,117,55,26,11,629
LGA57080,184,541,939,552,369,289,204,93,30,3195,1999,4868,8545,4824,2682,2481,1901,901,268,28463
LGA57140,15,8,9,9,14,10,5,14,8,99,169,81,89,94,123,177,172,107,23,1037
LGA57210,113,69,69,106,102,108,90,36,12,704,903,488,455,573,769,910,823,352,117,5388
LGA57280,591,344,572,486,382,310,82,19,5,2791,3879,1663,3066,2832,2024,1608,468,111,33,15684
LGA57350,41,12,24,20,43,51,49,24,7,271,149,49,87,81,121,160,190,81,39,961
LGA57420,39,25,33,24,38,46,30,9,4,239,392,139,297,257,299,323,221,126,32,2085
LGA57490,2434,1587,1772,1734,1612,1228,699,545,342,11949,29431,16896,18324,18382,17886,15559,10901,6210,2083,135678
LGA57630,0,4,15,5,8,5,5,3,0,38,0,6,13,7,11,31,22,15,0,109
LGA57700,565,265,413,481,401,294,164,74,22,2691,8017,3704,4896,4765,4066,3391,2123,955,249,32173
LGA57770,31,17,21,32,22,28,21,20,3,198,169,73,152,133,124,166,145,63,8,1031
LGA57840,380,377,509,354,373,377,325,235,236,3156,6226,5914,6604,5719,5276,5155,4773,2503,1233,43405
LGA57910,2544,1783,2875,2530,2034,1626,1256,868,501,16023,38268,24550,37576,34928,28195,24207,20107,12645,5894,226369
LGA57980,141,113,193,153,140,132,151,103,59,1183,2726,1807,2660,2411,2135,1989,1947,1153,439,17267
LGA58050,2496,1576,1934,1810,1709,1263,729,370,210,12094,33231,19203,23311,22878,19814,16713,10855,5197,1767,152974
LGA58190,13,3,8,7,10,13,8,4,0,57,75,34,45,37,64,69,40,25,6,386
LGA58260,29,0,19,19,7,13,9,8,0,107,120,43,62,77,71,76,72,45,6,575
LGA58330,84,44,55,57,99,147,87,53,8,637,627,359,338,412,659,967,818,353,72,4601
LGA58400,7,7,5,4,3,3,6,8,0,47,26,27,34,16,38,61,47,29,0,298
LGA58470,5,5,8,5,5,0,3,0,0,20,45,21,22,24,24,25,15,0,0,170
LGA58510,335,402,670,483,380,303,188,207,262,3230,5157,4533,7737,5954,4324,3695,2834,1626,1022,36889
LGA58540,24,8,6,17,20,18,19,6,0,122,136,57,75,101,114,152,102,50,12,802
LGA58570,292,304,742,443,359,275,165,95,57,2732,5245,3842,8305,6304,4660,3835,2485,1197,667,36537
LGA58610,38,31,30,28,30,27,42,16,6,245,282,149,173,191,207,277,284,152,47,1761
LGA58680,9,16,11,15,19,21,17,9,0,108,79,49,47,57,96,84,72,48,9,535
LGA58760,3271,2010,2181,2265,2200,1567,904,489,195,15084,46118,27334,29094,30915,28677,21776,14772,7804,2623,209111
LGA58820,63,52,36,58,66,73,59,39,28,468,697,417,369,482,578,660,627,305,106,4234
LGA58890,38,4,8,23,16,16,9,6,3,124,137,63,58,85,123,149,105,46,24,773
LGA59030,3,6,4,4,0,0,3,4,3,34,46,16,32,30,24,46,38,19,6,248
LGA59100,28,11,17,15,13,31,18,11,3,139,138,49,75,67,86,123,81,57,18,690
LGA59170,28,5,8,21,12,14,23,13,3,127,220,71,106,152,121,154,111,65,17,1021
LGA59250,24,22,43,41,24,15,13,0,0,177,85,72,108,95,88,42,39,13,0,535
LGA59310,20,13,17,10,18,20,19,3,0,124,243,98,149,166,149,201,191,75,20,1297
LGA59320,14,4,5,9,8,11,10,4,0,55,99,33,43,49,52,84,61,22,3,448
LGA59330,0,0,6,3,9,5,14,11,0,58,59,28,47,45,58,78,82,65,9,470
LGA59340,420,161,257,216,207,159,97,30,13,1566,1721,857,1302,1102,1030,889,418,136,25,7477
LGA59350,7,18,58,23,26,16,10,4,0,158,29,41,106,46,52,33,25,7,4,340
LGA59360,7,14,52,40,51,38,22,3,7,233,117,65,187,169,222,215,127,50,21,1173
LGA59370,50,24,34,29,54,76,56,56,15,379,491,221,249,327,385,624,680,369,108,3459
LGA59499,190,352,661,811,748,503,245,69,15,3591,772,820,1512,1543,1313,1144,758,155,30,8055
LGA59799,0,22,46,76,51,27,3,0,0,226,0,42,116,170,109,62,18,0,0,514
LGA60210,67,65,56,68,63,129,114,57,18,636,878,438,489,644,827,1358,1339,643,155,6770
LGA60410,465,248,224,210,195,150,119,59,15,1678,4307,2389,2798,2401,2336,2081,1740,757,176,18995
LGA60610,324,203,165,177,235,171,148,94,36,1549,3604,2453,2609,2276,2584,2624,2097,1223,450,19918
LGA60810,310,201,175,191,227,248,230,154,52,1792,3574,2372,2301,2344,2888,3635,3157,1834,646,22760
LGA61010,30,33,26,41,33,63,46,17,4,279,383,233,243,265,295,471,437,166,32,2520
LGA61210,170,88,114,106,82,119,99,48,21,845,1539,869,1022,887,1006,1178,969,473,170,8117
LGA61410,781,585,680,665,536,507,410,297,128,4584,10577,6368,8611,7877,7369,7837,7047,4175,1673,61531
LGA61510,205,144,130,124,142,120,86,45,23,1008,1953,1292,1228,1343,1461,1593,1238,631,197,10942
LGA61610,399,228,261,205,226,253,222,180,92,2059,4437,2857,3450,2817,3255,3389,3243,1984,717,26150
LGA61810,129,74,66,70,60,86,91,40,26,643,1111,645,701,666,813,1145,1003,529,217,6829
LGA62010,14,4,0,8,6,16,11,7,0,74,120,42,53,97,108,170,200,107,20,922
LGA62210,125,70,64,79,77,94,74,34,13,627,1121,700,694,705,855,1155,1098,535,163,7033
LGA62410,44,36,63,48,40,94,86,46,11,466,494,298,525,464,559,970,1062,513,134,5012
LGA62610,733,449,626,433,463,394,296,228,121,3747,8302,5619,9677,6561,5634,5799,4619,2965,1238,50411
LGA62810,443,478,690,431,456,417,320,200,95,3534,7353,7061,10747,6989,6619,6288,5670,3018,1331,55077
LGA63010,306,153,174,160,199,250,191,115,72,1620,3135,1708,1842,2141,2432,2976,2545,1140,333,18259
LGA63210,105,66,75,65,102,113,85,49,8,669,1006,638,637,694,931,1247,926,425,105,6603
LGA63410,41,11,23,33,31,22,28,12,4,212,273,110,202,215,189,236,234,122,33,1617
LGA63610,421,253,255,302,319,304,300,151,51,2344,7187,4355,4959,5219,5187,5013,4800,2553,810,40082
LGA63810,181,94,84,106,144,123,161,84,27,1010,1929,1168,1262,1244,1584,1838,1992,1063,339,12420
LGA64010,1004,830,814,638,627,587,469,323,169,5455,11863,8729,10853,8447,8598,8252,7171,4348,1793,70055
LGA64210,243,149,139,169,196,207,194,115,30,1458,3413,2117,2272,2244,2694,3063,2813,1590,503,20709
LGA64610,199,131,94,113,159,181,149,73,17,1119,2299,1401,1575,1382,1787,2049,1946,994,311,13745
LGA64810,285,152,178,193,170,179,163,65,25,1404,2920,1678,2217,2056,2026,2484,2108,936,300,16734
LGA65010,109,90,75,66,106,101,82,32,11,676,1140,768,746,753,907,1078,820,367,86,6662
LGA65210,35,29,21,29,39,58,52,28,12,306,265,175,175,248,308,571,554,240,58,2593
LGA65410,228,128,106,135,154,168,144,87,33,1180,2425,1367,1352,1521,1824,2211,2055,1179,364,14300
LGA65610,73,48,61,46,78,76,64,26,20,495,670,368,521,454,629,726,582,254,59,4263
LGA65810,318,210,174,187,219,245,221,156,84,1814,4217,2648,2665,2793,3276,3746,3372,1852,575,25145
LGA69499,18,41,49,54,42,68,75,6,0,357,129,215,228,198,203,199,163,31,3,1377
LGA69799,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,0,0,19
LGA70200,465,258,444,369,318,308,153,63,20,2407,5398,2773,4872,4023,3313,3048,1701,604,176,25912
LGA70420,225,98,165,108,94,87,40,13,0,827,1568,956,1150,832,720,638,337,100,10,6316
LGA70540,3,11,0,4,4,5,0,0,0,23,24,26,30,20,14,25,5,0,0,149
LGA70620,76,54,81,34,57,40,25,8,0,371,960,615,613,482,402,304,145,53,18,3591
LGA70700,41,23,40,29,41,67,49,16,0,318,203,95,126,113,176,269,215,79,6,1276
LGA71000,1427,1000,1627,1306,1082,864,516,231,96,8144,14894,9148,15994,12810,10273,8544,5845,2449,578,80530
LGA71150,0,0,6,5,0,10,0,0,0,22,24,17,95,54,34,47,16,3,0,293
LGA71300,157,115,155,82,65,71,25,3,0,676,2036,1848,1576,1292,970,699,281,71,12,8778
LGA72200,381,210,297,241,192,178,104,40,11,1652,2167,1169,1857,1388,1182,1025,585,223,46,9643
LGA72300,440,483,715,665,621,403,254,63,11,3656,3879,2675,2875,3072,3437,2948,1829,599,97,21411
LGA72330,143,154,284,261,161,84,29,0,0,1122,1312,912,1108,920,713,482,232,60,14,5748
LGA72800,1074,559,810,679,518,326,175,65,19,4225,9406,4786,6886,6089,4598,3083,1677,559,159,37247
LGA73600,114,164,172,126,91,83,40,15,0,802,1503,1248,1160,878,753,556,304,83,12,6486
LGA74050,59,24,32,20,35,23,12,6,0,207,531,395,396,351,343,225,89,19,0,2348
LGA74550,68,78,50,25,59,39,39,7,0,367,681,552,492,299,322,240,170,50,13,2815
LGA74560,5,5,9,4,9,10,12,9,0,47,57,23,12,47,79,88,83,25,0,423
LGA74660,142,68,124,86,82,57,25,9,0,582,1522,1123,1248,929,766,484,171,41,4,6281
LGA74680,143,63,44,43,33,10,8,0,3,349,829,597,569,424,279,178,72,17,7,2973
LGA79399,293,172,299,282,209,168,89,22,0,1537,1456,721,1145,1206,983,764,421,85,12,6802
LGA79499,74,97,193,168,213,186,79,12,0,1017,446,276,661,573,591,579,318,49,7,3500
LGA79799,0,0,6,4,5,3,0,0,0,24,0,15,23,22,19,17,0,0,0,99
LGA89399,4786,4587,4839,3787,3175,2471,1914,1080,530,27163,82892,60460,77634,69285,56126,45328,35639,19340,7180,453890
LGA89499,7,21,17,35,22,22,11,0,0,138,50,148,108,104,77,78,34,10,4,605
LGA89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99399,76,40,36,50,54,54,38,41,6,393,410,232,189,282,344,447,345,192,54,2494
LGA99499,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,3,0,0,0,11
LGA99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
