LGA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA26490,567,303,279,395,431,358,377,157,105,2979,7430,3651,3662,5371,5178,4936,4628,2099,738,37694
LGA26610,569,274,349,323,258,317,233,125,77,2524,4004,2293,3074,2672,2335,2852,2250,1321,597,21403
LGA26670,88,58,45,66,78,92,109,62,41,643,965,491,484,625,772,1116,1031,533,217,6223
LGA26700,496,273,250,273,302,313,276,200,95,2470,5205,3069,3051,3303,3859,4135,3858,2379,952,29808
LGA26730,620,392,326,412,375,328,269,216,129,3074,6179,3945,4509,4233,4444,4592,4080,2362,1065,35406
LGA26810,785,554,817,798,627,594,554,247,122,5108,7756,4695,5166,5206,5565,6671,6433,3105,1038,45639
LGA26890,68,29,19,46,63,55,64,38,15,393,674,301,358,393,513,693,621,319,141,4006
LGA26980,1307,1393,1453,1143,1141,957,806,632,562,9397,26949,22723,23627,23300,22674,18721,15256,10629,5471,169346
LGA27070,3565,2074,2449,2307,1989,1531,1076,777,496,16264,48706,27570,35876,37234,27849,22630,17191,9006,3332,229396
LGA27170,769,481,436,417,388,361,286,166,80,3381,8682,5372,5849,5438,5198,5034,4491,2334,846,43253
LGA27260,5875,3014,4329,4073,2413,1531,931,454,253,22860,74129,34051,51014,57085,31385,22013,14415,6061,1852,292011
LGA27350,752,720,1875,1105,823,698,458,227,118,6768,9530,9149,26917,15204,10219,8427,6200,3199,1268,90114
LGA27450,2091,1407,1286,1303,1506,1406,987,532,208,10728,29033,18154,19122,20374,21524,20271,16358,8550,2677,156068
LGA27630,96,69,57,59,74,93,90,87,57,680,1020,589,589,580,740,1127,1001,616,297,6556
LGA29399,21,81,78,30,32,15,15,11,0,269,85,229,258,121,105,77,56,16,3,955
LGA29499,501,403,707,880,652,410,198,23,9,3785,1143,1131,1819,1736,1393,1074,613,152,29,9089
LGA29799,0,0,0,11,3,9,0,0,0,29,0,0,6,16,3,14,4,0,0,38
LGA30250,67,25,35,22,13,9,4,0,0,172,265,195,192,142,156,105,44,5,0,1101
LGA30300,114,67,80,49,71,64,34,25,26,526,865,520,551,468,598,604,435,214,74,4320
LGA30370,406,276,272,285,276,283,196,123,50,2165,3061,1623,1846,1941,1825,1880,1276,802,266,14513
LGA30410,73,31,33,50,48,65,39,43,6,384,542,273,332,325,397,405,295,214,60,2849
LGA30450,4,13,8,5,4,5,4,0,0,46,47,63,34,34,46,48,26,17,0,308
LGA30760,31,12,14,20,23,32,24,26,24,207,310,180,201,196,220,302,271,161,56,1905
LGA30900,15,6,14,6,15,10,10,0,0,70,111,51,73,51,49,59,50,14,0,458
LGA31000,12810,11707,15201,12514,10579,7991,5337,3362,2502,82013,216605,171732,206806,189563,163389,126972,92972,52286,22497,1242825
LGA31750,0,0,4,4,5,8,4,5,0,23,61,45,52,54,31,54,26,10,0,337
LGA31820,1714,1017,1019,937,1176,1272,1101,677,280,9190,16237,10331,10151,10083,12132,14524,14379,8662,2720,99215
LGA31900,353,254,264,234,251,237,159,138,53,1949,2768,1825,1814,1758,2155,2417,2176,1288,497,16692
LGA31950,6,15,10,14,8,20,12,5,0,90,66,73,63,53,46,62,42,9,3,419
LGA32080,3397,2480,2999,2668,2663,2171,1519,741,318,18954,31842,19481,22037,22856,23805,21092,15888,7477,2457,166943
LGA32250,48,42,43,30,34,27,19,12,0,263,450,284,293,233,270,299,179,85,11,2090
LGA32260,725,362,455,445,480,482,397,212,75,3630,5091,2750,3202,3124,3675,4636,3927,2009,738,29157
LGA32270,745,492,623,646,499,492,241,127,51,3929,6489,3423,4196,4151,3612,3272,1734,772,190,27836
LGA32310,362,241,188,234,255,235,200,110,40,1855,2307,1422,1174,1306,1520,1544,1473,793,258,11794
LGA32330,47,6,3,3,0,3,0,0,0,64,419,207,161,126,120,106,33,16,5,1194
LGA32450,113,81,121,99,84,79,34,18,0,638,709,493,623,553,459,440,241,99,25,3644
LGA32500,144,89,152,111,135,145,98,34,3,911,786,411,619,560,603,728,555,229,24,4511
LGA32600,10,8,11,7,5,5,3,0,0,48,48,24,53,34,39,31,19,9,0,266
LGA32750,12,9,5,14,14,10,5,0,0,63,30,41,46,38,38,45,24,4,0,266
LGA32770,27,0,17,6,5,14,0,0,0,69,433,256,244,159,137,109,34,6,4,1387
LGA32810,237,176,267,192,227,243,224,95,26,1687,1849,1050,1551,1489,1777,2040,1649,744,184,12337
LGA33100,15,9,11,16,15,14,12,18,0,105,119,69,83,74,102,105,102,55,7,714
LGA33200,36,31,41,14,36,37,23,13,8,243,278,154,213,131,205,200,177,113,31,1500
LGA33220,1695,1157,1108,1186,1285,1380,1404,935,377,10529,16801,10249,9408,10591,13238,17277,19470,10778,3229,111032
LGA33360,1355,700,791,895,998,865,529,236,100,6470,13647,7166,7833,8345,9062,8678,5715,2390,679,63515
LGA33430,9599,7010,8391,7496,7357,6061,4648,2959,1532,55054,109933,75702,86422,84945,83918,73182,62219,35953,12805,625087
LGA33610,259,135,162,163,145,156,117,72,19,1221,2155,1084,1209,1220,1253,1374,1105,666,241,10310
LGA33620,1013,591,543,573,752,724,597,338,122,5248,8820,5230,4924,5471,6886,8458,8105,4151,1204,53242
LGA33800,194,139,112,105,159,164,140,102,40,1148,1644,1016,956,970,1336,1822,1680,1043,454,10920
LGA33830,48,8,15,7,10,7,0,4,0,109,293,146,162,121,123,69,41,13,6,976
LGA33960,5041,3031,3346,2909,2292,1651,1010,633,327,20247,53649,30597,35410,32952,27656,22741,15637,7982,2575,229208
LGA33980,600,709,1285,899,792,573,189,63,16,5120,4691,2581,4142,3617,3101,2413,1017,379,100,22046
LGA34420,88,32,49,14,35,26,7,7,0,256,282,190,184,103,169,85,49,12,0,1079
LGA34530,693,562,742,792,728,697,398,208,108,4927,7136,4205,4162,4802,5213,5945,4751,2434,753,39398
LGA34570,64,10,6,8,13,5,8,4,0,120,172,113,98,71,82,52,31,12,6,640
LGA34580,762,635,582,544,560,451,315,190,56,4090,7826,5145,5150,4979,5371,5430,4305,2239,660,41101
LGA34590,8320,4773,4918,4537,3866,2809,1891,1102,558,32773,77542,46022,49902,47099,42596,36024,28018,13776,4118,345098
LGA34710,93,68,68,81,69,99,55,19,10,556,683,403,466,464,437,545,385,163,88,3647
LGA34770,2683,1766,2059,2182,2233,1929,1061,606,245,14767,24498,14360,15641,16204,16395,16026,11007,5576,1979,121691
LGA34800,11,22,40,40,20,27,12,3,0,186,143,113,150,125,83,124,60,26,5,836
LGA34830,21,14,11,9,14,7,3,0,0,78,128,68,73,48,33,41,29,7,0,432
LGA34860,383,237,243,221,244,224,145,90,59,1844,2716,1503,1619,1601,1653,1660,1191,654,229,12825
LGA34880,561,505,801,639,534,450,292,175,49,4011,3838,2360,2853,2685,3139,3268,2655,1596,470,22858
LGA35010,7576,4900,5140,4980,4772,3536,2851,1722,919,36396,94450,57283,58511,62658,63615,55529,49072,26718,8506,476340
LGA35250,27,18,27,20,13,8,3,5,0,114,248,191,145,155,128,96,36,24,0,1025
LGA35300,470,355,450,378,337,268,107,61,19,2446,4385,2573,3348,2663,2277,1955,939,473,114,18727
LGA35600,93,61,85,54,80,112,54,27,19,580,695,393,534,400,496,679,451,209,111,3971
