LGA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA48130,618,266,318,304,258,172,304,558,69,2869
LGA48260,679,1566,249,352,458,294,78,185,55,3914
LGA48340,1040,553,695,591,451,394,437,930,105,5200
LGA48410,3796,8559,3842,4688,4481,2742,1532,2824,516,32970
LGA48540,753,1248,1543,1186,802,758,1350,1029,197,8870
LGA48640,180,58,61,41,46,39,38,81,16,565
LGA48750,421,303,310,285,277,188,122,349,48,2291
LGA48830,1059,439,543,465,372,301,349,559,84,4168
LGA49399,343,134,177,130,97,42,174,276,47,1424
LGA49499,66,123,106,76,64,57,66,141,27,724
LGA49799,0,0,0,0,0,0,0,0,0,8
LGA50080,2215,3027,2726,2475,1845,1636,1203,2223,251,17599
LGA50210,4253,7912,7445,5586,5741,3575,4604,4526,809,44453
LGA50250,288,379,961,269,284,112,1022,415,100,3828
LGA50280,1310,1489,1431,961,692,689,478,1133,111,8297
LGA50350,978,2114,1188,914,1080,613,467,629,115,8098
LGA50420,4391,9796,4914,4261,4805,2685,2152,2982,572,36553
LGA50490,2302,4690,3432,2625,2818,1639,1988,2064,413,21968
LGA50560,170,74,74,57,60,31,76,92,17,651
LGA50630,97,79,149,55,76,25,190,76,15,759
LGA50770,278,79,89,48,79,43,72,104,13,807
LGA50840,380,332,380,253,197,151,268,264,41,2261
LGA50910,126,33,33,37,38,21,29,61,6,395
LGA50980,1088,1808,1004,1139,997,552,401,725,174,7893
LGA51080,210,46,37,33,36,8,30,61,10,466
LGA51120,151,34,44,37,34,14,49,44,0,411
LGA51190,1322,2525,2482,1779,1582,1281,1373,2063,236,14644
LGA51260,2498,3157,3399,2326,1874,1805,1277,2326,309,18958
LGA51310,2887,6444,904,1225,1581,948,253,547,200,14988
LGA51330,4632,12439,6382,6100,5659,3757,3434,4788,854,48045
LGA51400,955,1641,1627,1095,1006,717,846,1041,127,9068
LGA51470,69,20,31,19,25,16,29,41,0,252
LGA51540,448,282,275,278,269,186,170,328,52,2279
LGA51610,161,103,125,62,97,46,82,63,7,747
LGA51680,441,328,596,288,375,171,335,306,51,2893
LGA51710,100,97,143,123,92,14,80,105,16,771
LGA51750,1027,2324,259,533,535,371,78,183,74,5382
LGA51820,7197,14180,10505,7236,8308,4847,4178,5419,1039,62912
LGA51860,37,34,40,39,21,12,11,46,0,239
LGA51890,230,296,790,397,291,252,560,529,79,3420
LGA51960,82,114,291,109,127,69,405,129,33,1359
LGA52030,132,31,50,22,45,17,60,54,7,426
LGA52100,188,40,51,43,57,33,44,62,11,527
LGA52170,822,1844,189,364,374,282,55,111,83,4120
LGA52240,218,31,32,36,41,8,46,95,15,525
LGA52310,108,42,46,34,50,26,35,75,3,419
LGA52380,15,6,21,3,4,3,43,12,6,111
LGA52450,148,48,86,50,58,43,52,80,11,580
LGA52520,239,79,80,31,75,33,63,63,10,671
LGA52590,330,186,229,115,155,91,187,254,25,1571
LGA52660,707,934,1330,793,832,655,816,844,117,7025
LGA52730,503,528,397,277,228,179,131,310,45,2592
LGA52800,236,462,202,435,215,83,95,207,64,2001
LGA52870,485,385,463,273,252,155,320,373,53,2774
LGA52940,129,23,31,28,29,6,31,35,0,318
