LGA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
LGA11250,6,10,0,0,0,10,10,8,29,299,201,55,553,19,17,41,588,461,13,1063
LGA11300,0,3,0,0,0,3,11,4,15,315,236,69,619,30,21,57,676,739,25,1441
LGA11350,5,11,0,0,0,11,6,4,25,319,535,68,920,20,38,54,974,591,16,1577
LGA11400,0,0,0,0,0,0,4,5,14,115,92,22,237,3,6,7,245,176,14,433
LGA11450,11,17,0,0,0,17,21,28,68,1674,972,331,2975,89,53,138,3111,1536,45,4695
LGA11500,11,36,4,0,4,37,73,73,187,2296,1491,666,4450,219,148,371,4817,4570,131,9528
LGA11520,3,9,0,0,0,9,13,19,40,1126,521,142,1793,56,31,90,1884,1246,27,3151
LGA11570,21,47,0,0,0,52,119,149,318,3024,2376,1215,6611,286,295,583,7189,9875,285,17356
LGA11600,0,0,0,0,0,0,3,0,5,28,15,0,46,3,4,3,51,39,0,94
LGA11650,17,51,3,0,3,54,111,109,269,4814,4026,1195,10034,295,268,558,10591,7398,206,18194
LGA11700,0,0,0,0,0,0,0,3,9,12,7,0,26,0,0,6,25,69,3,97
LGA11720,8,12,0,0,0,17,29,29,71,822,865,238,1932,81,96,174,2108,1607,67,3775
LGA11730,7,14,0,0,0,18,31,31,79,540,571,105,1212,60,48,108,1321,1229,54,2604
LGA11750,0,0,0,0,0,0,0,4,8,51,24,8,81,5,0,0,86,57,4,148
LGA11800,8,12,0,0,0,17,25,32,72,1103,1004,152,2256,82,71,156,2411,1498,59,3967
LGA12000,0,0,0,0,0,0,0,0,0,47,44,3,89,0,5,5,88,58,0,151
LGA12150,0,0,0,0,0,0,9,3,8,42,32,5,80,13,3,13,87,126,6,222
LGA12160,0,0,0,0,0,0,5,3,8,87,102,11,197,14,19,28,230,212,4,442
LGA12350,0,0,0,0,0,0,6,3,17,146,139,7,297,16,21,35,334,241,12,584
LGA12380,10,21,0,0,0,19,48,91,165,1773,1118,519,3404,183,142,321,3730,5211,168,9106
LGA12390,9,20,0,0,0,16,25,25,76,863,538,118,1515,49,48,96,1611,916,46,2576
LGA12700,3,6,0,0,0,6,6,3,6,94,82,20,185,5,9,11,200,148,0,349
LGA12730,0,0,0,0,0,5,0,0,5,94,86,13,196,3,8,12,207,97,0,297
LGA12750,0,5,0,0,0,5,20,14,44,407,448,63,920,24,19,44,965,735,29,1722
LGA12850,17,21,0,0,0,25,77,119,216,1732,1340,740,3818,204,241,445,4258,7750,210,12217
LGA12870,0,0,0,0,0,0,5,5,0,139,101,17,257,4,11,16,270,203,0,476
LGA12900,0,0,0,0,0,0,0,3,9,127,84,11,222,10,10,19,244,180,8,431
LGA12930,8,19,0,0,0,19,27,37,84,1544,1060,442,3047,93,99,192,3235,2738,74,6053
LGA12950,0,0,0,0,0,0,5,4,8,43,45,16,103,0,7,9,112,98,5,207
LGA13010,0,4,0,0,0,4,4,5,10,78,85,13,178,16,10,27,202,190,5,403
LGA13310,7,11,0,0,0,11,11,6,28,439,331,58,831,21,32,52,881,556,15,1447
LGA13340,4,6,0,0,0,9,3,0,11,117,96,24,237,7,9,7,250,143,3,395
LGA13450,0,0,0,0,0,0,11,17,23,349,233,40,618,11,19,30,649,371,24,1041
LGA13550,3,9,0,0,0,9,7,11,26,155,117,28,300,12,15,30,326,233,12,573
LGA13660,0,0,0,0,0,0,3,0,8,49,35,5,87,3,3,11,99,98,0,200
LGA13800,3,7,0,0,0,7,14,16,39,910,607,193,1707,47,43,92,1798,1067,35,2903
LGA13850,0,0,0,0,0,0,0,0,3,31,30,7,66,4,0,4,70,49,4,124
LGA13910,3,9,0,4,4,7,11,15,34,194,189,26,411,26,19,41,447,343,24,821
LGA14000,0,10,0,0,0,10,12,16,37,1706,1004,246,2959,71,63,130,3086,1733,23,4841
LGA14100,0,0,0,0,0,0,0,0,0,131,75,13,221,10,7,18,234,142,3,383
LGA14170,6,12,3,0,3,13,25,26,61,2341,1106,296,3742,122,81,207,3946,2402,48,6391
LGA14220,0,6,0,0,0,6,8,11,20,189,192,26,416,36,22,61,474,390,15,880
LGA14300,0,0,0,0,0,0,5,3,3,70,42,4,117,5,4,16,128,107,6,247
LGA14350,3,8,0,0,0,8,18,24,47,336,352,74,763,47,32,81,846,796,49,1686
LGA14400,0,4,0,0,0,4,3,3,11,216,198,43,454,4,10,16,470,225,4,703
LGA14500,3,10,0,0,0,10,11,11,31,1380,749,161,2292,72,61,132,2428,1463,24,3914
LGA14550,0,0,0,0,0,0,6,6,12,77,94,17,190,12,12,23,216,236,12,459
LGA14600,0,0,0,0,0,0,3,4,7,49,59,3,111,7,9,16,129,102,10,239
LGA14650,23,44,0,0,0,43,48,53,146,3080,2486,452,6020,164,189,354,6372,4050,100,10523
LGA14700,3,6,0,0,0,6,0,9,13,523,221,63,806,24,27,45,848,338,11,1198
LGA14750,0,0,0,0,0,0,6,3,9,149,115,12,275,13,13,26,296,184,7,488
LGA14850,4,11,0,0,0,11,11,24,35,679,648,87,1412,35,58,91,1507,942,33,2472
LGA14870,0,0,0,0,0,4,10,11,21,223,231,38,487,18,17,39,525,482,18,1037
LGA14900,14,23,0,0,3,27,74,103,210,2430,1477,708,4620,214,190,409,5027,5837,174,11047
LGA14920,0,4,0,0,0,4,10,4,12,71,67,7,151,11,18,23,171,160,8,336
LGA14950,0,0,0,0,0,0,0,0,0,23,29,5,57,0,0,4,56,69,5,124
LGA15050,13,18,0,0,0,18,33,22,61,1398,1085,206,2688,89,91,183,2868,1654,44,4562
LGA15240,5,12,0,0,0,15,52,49,117,894,1126,200,2228,91,89,183,2408,2131,89,4633
LGA15270,0,3,0,0,0,3,10,4,16,257,269,38,563,20,16,35,600,408,19,1025
LGA15300,0,4,0,0,0,4,20,16,38,139,100,19,253,14,9,21,283,261,23,561
LGA15350,0,7,0,0,0,7,0,4,7,371,153,27,549,21,18,35,581,265,7,862
LGA15520,0,0,0,0,0,0,0,0,6,105,106,16,225,5,0,11,234,129,9,370
LGA15560,0,0,0,0,0,0,4,0,4,39,29,3,72,0,0,4,74,48,5,130
LGA15650,4,6,0,0,0,10,11,5,22,240,168,40,448,14,14,33,483,310,9,803
LGA15700,3,8,0,0,0,5,10,14,30,174,237,36,449,28,18,48,495,512,26,1037
LGA15750,0,3,0,0,0,3,0,3,7,151,99,19,272,10,16,27,296,217,7,524
LGA15800,0,0,0,0,0,0,5,6,11,59,67,3,125,10,7,18,145,125,9,278
LGA15850,4,4,0,0,0,4,0,0,7,85,58,10,158,9,5,18,171,112,3,286
LGA15900,7,21,0,0,0,17,32,35,87,2428,1775,278,4486,128,117,251,4731,2628,76,7440
LGA15950,0,3,0,0,0,3,9,11,17,989,380,86,1454,41,27,67,1524,524,13,2061
LGA15990,10,30,0,0,0,32,29,39,104,3254,1987,471,5714,111,87,199,5914,2611,71,8589
LGA16100,0,0,0,0,0,0,7,0,5,65,37,13,114,0,3,6,118,92,10,219
LGA16150,0,9,0,0,0,9,15,14,38,693,444,63,1200,33,34,68,1275,702,30,2004
LGA16200,0,4,0,0,0,4,3,3,14,215,148,24,387,20,14,36,424,264,10,704
LGA16260,10,15,0,3,3,20,37,60,111,2670,1482,549,4702,167,134,304,5009,3822,107,8935
LGA16350,27,44,0,7,5,45,49,79,182,3394,1981,791,6171,205,159,360,6533,4598,139,11264
LGA16380,3,12,0,0,0,12,25,24,58,1053,1016,125,2199,53,78,132,2330,1573,57,3965
LGA16400,7,13,0,0,0,15,21,19,59,884,854,172,1911,72,64,135,2043,1413,56,3507
LGA16490,3,7,0,0,0,7,12,15,31,1067,378,105,1548,37,32,67,1613,681,24,2322
LGA16550,7,12,0,0,0,12,19,16,46,1597,889,240,2728,76,62,137,2863,1825,34,4731
LGA16610,5,3,0,0,0,3,0,12,19,279,242,49,569,24,21,45,618,553,24,1193
LGA16700,6,15,0,0,0,15,15,13,44,1370,733,232,2339,61,80,139,2478,1797,43,4314
LGA16900,8,27,0,0,0,25,25,28,74,1029,927,277,2226,56,62,116,2351,1645,53,4045
LGA16950,11,20,0,0,0,22,31,31,82,1147,1220,200,2569,88,91,173,2740,2077,57,4877
LGA17000,0,7,0,0,0,7,5,3,26,298,215,53,564,20,18,40,603,343,10,962
LGA17040,0,0,0,0,0,0,7,5,13,253,177,24,454,9,13,20,472,233,14,719
LGA17080,0,0,0,0,0,0,0,5,17,177,127,25,332,16,18,33,362,249,17,626
LGA17100,0,5,0,0,0,5,5,12,19,334,240,99,668,22,35,63,731,646,18,1399
LGA17150,12,22,0,0,0,23,28,29,80,2999,1885,537,5419,96,109,207,5625,2711,58,8396
LGA17200,3,16,0,0,0,16,24,20,60,1502,762,214,2473,81,79,162,2636,1920,51,4609
LGA17310,0,10,0,0,0,11,25,33,69,902,712,114,1729,77,85,162,1889,1197,55,3144
LGA17350,0,0,0,0,0,0,4,0,3,59,70,12,146,4,4,9,153,90,3,244
LGA17400,0,0,0,0,0,0,0,6,8,60,41,16,113,5,4,17,128,156,4,283
LGA17420,8,21,0,0,0,21,18,13,58,2119,1060,314,3496,102,64,170,3662,1758,31,5452
LGA17550,13,24,0,0,0,25,31,46,101,1115,1235,221,2565,66,82,147,2714,1866,74,4655
LGA17620,0,6,0,0,0,6,6,4,12,167,107,20,301,9,7,16,313,206,7,525
LGA17640,0,0,0,0,0,0,0,0,0,72,59,6,143,3,0,3,146,105,5,255
LGA17650,0,0,0,0,0,0,0,3,5,51,52,11,118,7,5,11,131,107,7,246
LGA17750,3,13,0,0,0,12,30,29,71,952,717,99,1764,57,52,115,1878,1072,54,3001
LGA17850,0,0,0,0,0,0,0,0,5,23,13,0,41,0,0,3,42,28,3,73
LGA17900,0,0,0,0,0,0,0,0,5,43,38,10,88,4,5,9,98,116,10,219
LGA17950,0,0,0,0,0,0,0,4,7,17,19,4,35,0,0,0,39,46,9,92
LGA18020,0,0,0,0,0,0,12,4,20,89,82,15,184,11,10,22,209,170,8,380
LGA18050,0,8,0,0,0,8,6,16,30,718,419,83,1225,36,24,54,1277,617,25,1918
LGA18100,0,0,0,0,0,0,0,0,0,26,31,3,57,11,0,14,68,56,0,127
LGA18200,0,0,0,0,0,0,8,7,16,71,42,10,120,6,8,13,135,97,11,241
LGA18250,5,5,0,0,0,5,3,0,19,865,433,113,1405,53,45,99,1503,1083,16,2599
LGA18350,3,12,0,0,0,12,11,6,24,599,510,90,1198,15,24,42,1240,707,19,1965
LGA18400,4,7,0,0,0,10,7,11,25,622,420,122,1167,31,21,56,1221,695,21,1939
LGA18450,3,16,4,0,4,15,58,49,124,2567,1953,552,5079,153,120,267,5349,4169,110,9627
LGA18500,4,4,0,0,0,4,8,5,21,619,348,84,1050,25,17,42,1093,534,11,1641
LGA18710,0,3,0,0,0,3,0,0,3,222,138,20,382,5,3,12,390,159,3,553
LGA19399,0,0,0,0,0,0,0,0,0,9,6,0,19,0,0,0,19,8,0,24
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,0,0,0,0,0,0,5,0,5,117,130,14,257,5,3,7,271,157,5,423
LGA20260,0,0,0,0,0,0,4,0,8,130,123,21,269,13,12,20,286,188,9,481
LGA20570,4,12,6,0,6,23,39,41,99,1516,1558,221,3297,126,116,245,3543,2118,69,5732
LGA20660,3,12,0,4,5,14,22,21,63,1695,1185,166,3045,64,84,145,3190,1886,45,5120
LGA20740,0,6,0,0,0,7,11,19,37,347,446,78,874,30,15,48,918,679,27,1620
LGA20830,3,11,0,0,0,11,13,16,43,633,668,110,1412,43,42,90,1505,816,32,2350
LGA20910,7,6,0,0,0,13,17,13,39,1272,808,118,2207,59,39,98,2308,1156,27,3486
LGA21010,4,4,0,0,0,4,7,0,7,147,151,28,332,6,12,18,347,262,8,618
LGA21110,0,13,0,0,0,13,16,18,46,1914,1227,139,3286,87,93,181,3471,2031,42,5540
LGA21180,14,32,4,3,4,40,65,119,228,2435,1902,402,4739,305,325,628,5365,4886,206,10455
LGA21270,0,0,0,0,0,0,4,3,5,45,48,0,93,9,3,11,101,92,7,200
LGA21370,4,6,0,0,0,11,14,13,40,414,426,86,929,17,27,47,969,662,29,1669
LGA21450,12,28,0,0,0,28,18,33,80,1683,1225,245,3150,80,86,176,3324,1615,61,4995
LGA21610,26,58,0,0,0,59,76,94,226,4644,3112,562,8310,271,282,554,8869,5388,190,14450
LGA21670,0,5,0,0,0,6,7,7,17,119,143,26,289,22,7,30,322,353,13,689
LGA21750,0,0,0,0,0,3,4,10,15,210,249,38,501,3,9,16,516,309,12,837
LGA21830,0,4,0,0,0,4,5,9,14,139,170,20,329,3,10,16,346,241,13,596
LGA21890,11,20,0,4,4,21,29,28,85,1565,1211,177,2950,94,88,182,3133,2551,73,5761
LGA22110,0,7,0,0,0,7,27,35,61,433,491,94,1020,35,44,76,1095,776,49,1920
LGA22170,15,35,0,0,0,40,54,45,133,2342,1913,296,4548,130,121,250,4802,2703,84,7587
LGA22250,0,0,0,0,0,0,6,9,19,77,80,18,176,10,9,20,189,176,8,377
LGA22310,10,23,0,0,0,29,25,20,67,1925,1170,150,3245,75,68,135,3384,1707,41,5132
LGA22410,0,3,0,0,0,3,0,10,20,202,206,32,434,11,22,34,475,332,21,824
LGA22490,0,7,0,0,0,7,0,11,19,225,206,31,461,6,17,19,481,249,15,746
LGA22620,9,14,0,0,0,23,40,34,92,1610,1527,228,3366,86,101,185,3553,2180,64,5796
LGA22670,14,23,0,5,5,24,44,67,135,1756,1338,229,3321,174,189,359,3683,3779,142,7605
LGA22750,17,47,0,0,3,49,68,63,179,3403,3139,489,7035,187,219,403,7435,4176,131,11749
LGA22830,4,13,0,4,4,14,31,42,82,806,735,122,1665,46,64,110,1773,1217,67,3060
LGA22910,0,4,0,0,0,4,4,3,9,125,177,22,322,14,9,16,344,254,9,608
LGA22980,0,0,0,0,0,0,3,3,7,37,44,10,86,3,6,6,92,85,6,181
LGA23110,5,14,0,0,0,15,20,22,57,1313,769,144,2231,92,64,160,2388,1530,39,3966
LGA23190,4,4,0,0,0,4,5,6,18,225,229,37,492,9,16,27,521,329,16,861
LGA23270,18,28,0,0,0,28,66,90,187,2727,1962,424,5114,213,208,421,5531,5060,170,10757
LGA23350,0,3,0,0,0,3,8,9,16,181,142,29,343,4,8,18,363,194,14,569
LGA23430,15,25,0,0,0,25,26,28,77,2287,1603,236,4119,92,91,187,4308,2373,44,6720
LGA23670,10,34,0,0,0,34,17,19,74,2300,1602,255,4156,99,117,216,4372,2389,38,6796
LGA23810,4,18,0,0,0,18,40,39,98,953,971,148,2068,118,104,216,2289,1688,73,4048
LGA23940,0,0,0,0,0,0,7,0,4,45,40,11,93,7,0,9,103,143,9,249
LGA24130,4,8,0,0,0,8,8,19,31,578,456,72,1108,16,29,52,1157,552,31,1739
LGA24210,6,16,0,0,4,16,12,20,47,1362,1080,156,2596,70,96,161,2755,1921,45,4719
LGA24250,0,0,0,0,0,0,0,0,5,86,103,15,206,3,3,6,207,97,3,307
LGA24330,0,3,0,0,0,7,12,22,41,1017,630,104,1747,77,68,145,1892,1396,43,3329
LGA24410,6,14,0,0,0,14,25,22,60,1728,1233,178,3131,57,67,128,3260,1612,48,4916
LGA24600,3,10,0,0,0,10,14,22,48,966,581,105,1646,63,79,147,1790,1239,36,3071
LGA24650,14,41,4,0,4,40,45,36,128,2275,1613,363,4259,216,213,431,4688,3102,71,7858
LGA24780,8,19,0,0,0,24,27,23,80,804,590,111,1503,47,54,108,1613,1041,48,2703
LGA24850,4,13,0,0,0,20,15,21,53,657,507,98,1263,35,50,85,1351,862,28,2244
LGA24900,0,10,0,0,0,10,16,7,30,300,345,46,699,22,23,43,744,496,23,1255
LGA24970,6,18,0,0,0,19,31,29,76,2025,1494,227,3746,89,129,212,3953,2946,75,6972
LGA25060,7,15,0,0,0,16,17,31,59,1531,958,149,2634,86,69,151,2788,1788,58,4636
LGA25150,0,5,0,0,0,7,5,7,23,519,360,55,930,31,31,55,988,585,18,1590
LGA25250,9,15,0,0,0,15,44,33,90,1820,1198,205,3212,96,108,204,3412,2706,60,6185
LGA25340,12,24,0,0,0,24,56,42,118,1973,1925,346,4242,81,109,189,4427,2412,86,6932
LGA25430,4,4,0,0,0,4,11,0,17,217,280,32,529,8,8,13,547,309,12,864
LGA25490,6,8,0,0,0,8,3,6,19,151,162,32,346,11,10,16,362,210,8,579
LGA25620,4,8,0,0,0,8,4,9,13,120,134,28,288,8,15,20,309,222,14,536
LGA25710,6,6,0,0,0,8,11,4,22,839,528,66,1431,21,30,47,1481,577,20,2078
LGA25810,0,0,0,0,0,0,6,5,8,92,114,14,227,9,4,15,240,197,7,440
LGA25900,0,5,0,0,0,3,7,12,25,1139,647,109,1890,56,53,109,2000,974,30,3005
LGA25990,0,0,0,0,0,0,0,4,10,61,63,12,138,0,7,7,147,145,4,299
LGA26080,0,0,0,0,0,0,0,0,0,26,23,0,44,0,4,4,52,31,0,84
LGA26170,3,3,0,0,0,11,6,4,22,305,310,49,661,16,25,47,708,379,11,1094
LGA26260,0,0,0,0,0,0,3,6,10,174,170,19,371,10,12,22,388,222,11,618
LGA26350,4,13,0,0,0,16,9,11,39,978,629,91,1698,52,46,99,1794,1119,19,2941
LGA26430,0,0,0,0,0,0,10,7,18,113,105,25,244,10,7,12,252,199,8,458
LGA26490,0,3,0,0,0,3,4,10,15,379,327,45,748,13,9,22,773,284,18,1070
LGA26610,0,4,0,0,0,4,7,7,18,210,190,33,429,15,12,32,457,326,10,796
LGA26670,0,0,0,0,0,0,0,0,0,47,41,13,98,6,4,8,106,50,4,165
LGA26700,0,5,0,0,0,5,12,3,13,373,350,48,770,25,21,42,819,466,9,1295
LGA26730,0,4,0,0,0,4,11,7,18,473,510,79,1059,20,27,52,1110,513,24,1650
LGA26810,7,11,0,0,0,11,20,13,40,427,460,76,956,36,48,81,1037,686,25,1756
LGA26890,0,0,0,0,0,0,4,5,5,22,22,4,55,3,3,3,61,51,5,112
LGA26980,5,15,0,0,0,17,37,14,66,1997,1401,172,3565,80,117,193,3763,2588,38,6392
LGA27070,15,38,0,3,0,41,57,81,182,2932,2240,353,5524,201,208,401,5927,4273,137,10340
LGA27170,12,22,0,0,0,22,10,13,40,659,557,92,1310,39,36,79,1380,817,23,2219
LGA27260,21,53,4,0,3,56,52,107,208,3426,2205,466,6088,303,280,586,6680,4065,157,10902
LGA27350,0,4,0,0,0,0,12,24,36,733,495,65,1290,57,59,111,1404,1156,39,2598
LGA27450,12,31,0,0,0,31,30,25,84,2055,1790,300,4142,73,91,160,4305,2105,57,6465
LGA27630,0,3,0,0,0,3,3,0,6,48,58,13,115,0,0,3,124,125,3,246
LGA29399,0,0,0,0,0,0,0,0,0,6,0,0,12,0,0,0,12,4,0,13
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,0,0,0,0,0,0,0,4,4,5,3,0,7,0,3,4,12,79,4,91
LGA30300,0,0,0,0,0,0,0,0,3,49,32,3,89,10,3,15,101,67,6,178
LGA30370,0,0,0,0,0,0,11,8,17,165,76,19,264,11,5,12,279,136,5,421
LGA30410,0,0,0,0,0,0,0,0,5,40,12,6,59,4,0,6,63,28,0,96
LGA30450,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,6,0,6
LGA30760,0,0,0,0,0,0,0,0,0,15,16,0,33,0,0,0,39,23,0,57
LGA30900,0,0,0,0,0,0,0,0,5,9,3,4,11,0,0,0,13,4,3,22
LGA31000,45,122,3,0,9,127,147,213,492,17498,9317,2345,29166,953,816,1769,30932,15429,406,46766
LGA31750,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,7,0,0,7
LGA31820,9,18,3,0,0,25,31,49,102,1173,1076,147,2392,137,134,269,2664,2009,84,4756
LGA31900,0,4,0,0,0,4,11,3,16,195,122,28,346,14,13,24,366,243,8,619
LGA31950,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,3,0,6
LGA32080,6,23,3,3,4,28,42,68,138,2790,2112,274,5179,238,223,467,5640,2676,106,8427
LGA32250,0,0,0,0,0,0,3,4,10,27,12,14,45,4,0,6,51,54,10,121
LGA32260,4,14,0,0,0,14,12,14,37,289,273,38,608,33,34,70,679,518,23,1222
LGA32270,3,4,0,0,0,4,6,14,24,373,181,37,586,24,16,43,629,252,14,897
LGA32310,0,6,0,0,0,6,3,4,11,190,97,23,311,19,18,34,345,182,14,533
LGA32330,0,0,0,0,0,0,3,0,3,19,16,0,31,5,5,7,41,116,0,156
LGA32450,0,0,0,0,0,0,4,3,6,35,14,9,54,8,0,11,55,56,5,116
LGA32500,0,4,0,0,0,4,0,4,12,33,37,8,82,3,3,7,92,79,6,180
LGA32600,0,0,0,0,0,0,0,0,0,3,4,0,6,0,0,0,9,5,0,15
LGA32750,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,6,0,0,8
LGA32770,0,0,0,0,0,0,0,0,0,9,5,4,15,4,4,4,19,64,0,83
LGA32810,0,5,0,0,0,5,3,11,12,106,112,18,239,4,6,13,253,163,10,427
LGA33100,0,0,0,0,0,0,0,0,0,6,0,3,4,0,0,0,10,4,0,14
LGA33200,0,0,0,0,0,0,0,0,0,15,7,0,23,0,0,0,21,23,0,42
LGA33220,10,22,0,0,8,23,60,41,122,1147,1200,173,2521,169,152,316,2836,2542,76,5449
LGA33360,5,16,5,5,4,19,14,25,59,809,579,98,1484,120,106,227,1712,1048,34,2798
LGA33430,46,101,0,3,3,107,111,179,397,8896,7003,1767,17665,595,628,1232,18897,9682,308,28880
LGA33610,3,3,0,0,0,4,6,4,9,113,96,24,223,15,8,23,245,140,8,399
LGA33620,3,12,0,0,0,17,21,14,50,481,604,89,1172,55,35,90,1263,1202,32,2504
LGA33800,0,7,0,0,0,7,0,5,11,93,84,17,189,7,7,14,204,187,18,413
LGA33830,0,0,0,0,0,0,0,4,3,7,9,0,21,5,0,5,22,58,4,89
LGA33960,22,44,0,7,7,51,79,81,209,3950,2446,773,7169,400,334,738,7904,4914,143,12959
LGA33980,0,0,0,0,0,0,0,9,8,286,114,26,421,15,14,24,444,106,10,564
LGA34420,0,0,0,0,0,5,0,4,7,10,4,0,19,21,0,22,34,56,14,100
LGA34530,0,11,0,0,0,10,3,10,26,477,371,63,910,36,23,64,978,457,25,1465
LGA34570,0,0,0,0,0,0,0,0,0,3,4,3,13,8,0,8,21,30,0,50
LGA34580,4,4,0,0,0,5,11,16,30,404,383,101,894,37,52,86,981,830,25,1836
LGA34590,36,83,3,3,8,86,88,151,333,5165,3604,1048,9810,596,529,1121,10931,7568,261,18766
LGA34710,0,4,0,0,0,4,0,0,3,54,29,6,94,0,0,3,99,34,4,133
LGA34770,18,23,0,0,0,23,27,33,84,1774,1110,183,3065,128,105,233,3295,1540,56,4896
LGA34800,0,0,0,0,0,0,0,0,0,7,3,0,15,0,0,0,15,0,0,13
LGA34830,0,0,0,0,0,0,0,0,0,9,10,0,11,4,0,4,15,13,0,27
LGA34860,0,0,0,0,0,0,6,0,3,166,100,9,274,10,11,20,294,139,7,440
LGA34880,6,3,0,0,0,5,15,11,34,235,184,28,450,27,33,63,511,428,16,957
LGA35010,46,92,4,4,9,99,98,123,314,7339,5159,1369,13869,516,530,1048,14920,8647,222,23788
LGA35250,0,0,0,0,0,0,7,0,3,14,13,0,22,0,0,0,22,52,0,71
LGA35300,6,7,0,0,0,7,12,8,26,353,122,31,506,31,17,51,557,327,18,897
LGA35600,0,0,0,0,0,0,3,3,4,37,35,9,79,6,0,6,88,58,3,154
LGA35670,0,0,0,0,0,0,3,10,10,7,3,0,16,3,0,3,23,34,10,58
LGA35740,6,11,0,0,0,10,6,11,29,533,620,159,1307,36,31,69,1375,799,25,2196
LGA35760,0,0,0,0,0,3,4,3,7,78,74,7,162,15,12,26,185,149,12,349
LGA35780,0,0,3,0,3,4,0,4,9,64,22,7,95,15,7,22,120,92,7,217
LGA35790,0,0,0,0,0,0,0,3,3,13,16,10,40,4,4,9,46,134,3,187
LGA35800,0,0,0,0,0,0,0,0,4,24,13,3,36,4,3,6,45,46,0,91
LGA36070,0,0,0,0,0,0,0,6,6,8,3,0,13,12,0,9,20,16,6,39
LGA36150,0,0,0,0,0,0,0,0,0,5,3,0,13,0,0,0,13,3,0,14
LGA36250,7,34,0,0,3,37,31,44,114,2455,1565,423,4443,130,119,243,4686,2306,82,7072
LGA36300,0,0,0,0,0,0,0,0,0,13,3,0,18,0,0,0,18,4,0,18
LGA36370,3,17,0,0,0,20,26,41,85,1344,944,173,2458,133,114,251,2709,1590,60,4360
LGA36510,7,8,0,0,0,8,16,13,32,419,385,104,903,38,39,73,980,795,23,1797
LGA36580,0,0,0,0,0,0,4,11,19,229,218,54,501,34,25,59,552,544,22,1128
LGA36630,0,6,0,0,0,7,15,11,36,302,296,50,648,28,32,60,707,745,26,1478
LGA36660,0,8,0,0,0,10,10,18,38,372,386,52,806,44,38,83,887,672,24,1590
