LGA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA13010,29,95,31,45,0,225,30,8,108,59,135,12,352,3,0,11,4,10,0,21,5,0,7,10,78,0,103,4,0,7,5,45,17,83,86,73,432,308,1063,96,2065
LGA13310,91,376,135,180,10,914,161,98,525,374,609,42,1808,8,0,13,10,46,0,79,13,0,32,63,313,5,434,10,8,21,41,165,57,303,543,351,1785,1629,4724,337,9367
LGA13340,35,177,48,91,8,416,21,24,157,92,158,19,472,0,0,7,8,4,0,17,9,0,10,14,101,3,133,0,0,13,17,61,20,120,144,105,727,523,1612,130,3248
LGA13450,73,379,89,152,10,767,97,64,403,259,369,39,1225,3,0,14,10,27,6,55,3,0,27,52,277,10,369,10,0,54,36,155,79,340,443,215,1913,1196,3750,417,7931
LGA13550,42,207,46,106,9,455,23,21,124,116,214,18,508,0,0,3,0,12,0,13,0,0,20,22,163,4,205,0,0,14,17,61,21,111,153,99,766,493,2015,151,3675
LGA13660,9,77,19,31,0,146,4,8,44,38,79,13,172,0,0,0,0,6,0,10,0,0,5,3,27,0,33,0,0,4,3,16,11,38,38,27,268,197,570,64,1160
LGA13800,227,1033,358,493,34,2693,284,197,936,624,903,71,3016,8,9,60,57,149,6,291,35,14,87,181,940,19,1272,32,7,136,131,490,117,913,1518,693,4505,3901,11035,704,22358
LGA13850,14,39,14,14,4,97,4,4,18,15,32,3,80,0,0,0,0,0,0,7,0,0,0,3,21,0,29,0,0,0,4,28,7,40,16,26,132,116,384,46,714
LGA13910,44,270,59,116,6,569,52,32,215,175,296,38,806,0,0,4,3,17,0,29,4,0,13,31,161,6,214,9,6,24,17,93,36,174,247,119,1081,771,2558,228,4992
LGA14000,641,3038,702,639,85,7141,2033,566,4402,1408,1204,232,9839,106,24,312,134,146,7,735,240,61,473,289,742,45,1846,521,60,866,289,367,226,2331,13562,2759,25257,7995,9853,1438,60867
LGA14100,38,184,41,25,6,460,237,42,362,78,44,17,784,18,4,56,5,12,5,98,18,4,37,23,43,0,133,38,8,90,26,29,8,200,1132,240,2350,624,569,119,5032
