LGA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA18050,204,1100,223,125,53,2439,931,196,1818,323,226,106,3593,120,25,368,114,61,16,702,105,34,334,131,269,29,901,294,37,899,172,141,185,1740,6597,1226,16937,3519,3340,992,32604
LGA18100,14,49,15,13,3,104,9,11,24,41,50,9,129,0,0,0,0,8,0,7,0,0,0,3,25,0,31,0,0,0,3,14,4,27,34,36,210,165,447,44,921
LGA18200,29,103,34,46,5,231,18,17,100,73,91,8,313,0,0,0,0,9,4,15,0,0,11,9,56,7,85,4,3,4,10,37,17,71,64,69,416,354,940,83,1917
LGA18250,179,992,196,104,31,2401,1124,261,1910,409,282,96,4079,73,25,200,47,39,11,399,113,21,268,135,226,15,774,314,32,597,135,100,119,1297,8103,1466,15190,3378,2663,779,31578
LGA18350,209,824,239,287,34,2051,409,162,1009,505,594,82,2765,34,10,89,58,74,13,280,40,10,76,126,468,11,739,64,15,135,102,244,72,628,1874,707,4806,2800,6514,593,17304
LGA18400,152,898,281,410,35,2210,203,148,715,507,743,75,2383,10,3,29,23,78,3,155,14,3,53,100,695,19,888,21,3,84,94,434,93,727,1005,473,3370,2969,9346,589,17755
LGA18450,940,4039,958,1257,113,9980,2180,761,5083,2432,3630,356,14444,98,45,339,160,291,28,952,172,37,441,403,1748,48,2851,218,35,521,290,954,271,2290,8900,2916,21277,11123,25685,1794,71697
LGA18500,122,685,139,61,28,1656,985,140,1334,229,114,76,2881,72,16,289,67,51,17,518,83,15,188,94,121,20,510,250,31,584,123,79,108,1177,5511,1016,12744,2291,1756,655,23965
LGA18710,60,309,85,111,12,709,83,52,255,109,206,23,733,16,10,29,14,34,3,99,23,8,26,29,146,3,232,16,3,38,25,76,21,174,759,358,1839,1058,2242,166,6416
LGA19399,0,3,0,0,0,16,0,0,10,3,8,0,21,0,0,4,0,7,0,12,0,0,0,0,0,0,3,0,0,5,0,6,3,9,14,10,73,51,166,13,324
LGA19499,9,38,16,16,6,117,45,7,74,37,64,11,235,6,3,31,6,14,4,60,8,6,11,8,23,0,57,9,0,22,12,28,35,106,190,56,542,232,586,108,1714
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,74,209,48,61,3,485,54,64,213,145,154,16,652,12,13,36,31,40,3,133,0,0,18,15,97,4,133,10,4,18,23,63,22,135,317,259,1139,763,1800,156,4431
LGA20260,31,140,33,34,4,275,40,59,157,172,225,20,665,3,3,15,11,21,6,53,0,0,4,14,76,0,99,0,3,3,7,36,19,76,157,132,670,585,1406,156,3109
