LGA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA10800,2201,2186,4391,108,130,242,90,89,175,0,7,13,12,18,25,4,0,7,6,4,3,4,0,6,0,0,0,4,4,9,0,0,0,122,122,240,8,4,15,3,5,12,242,262,504,308,282,589,2751,2734,5483
LGA10850,2956,3017,5974,192,207,403,233,223,448,3,0,3,9,19,24,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,236,487,11,7,19,3,10,17,450,463,916,269,250,519,3680,3732,7408
LGA10900,32110,34285,66388,1081,1199,2282,2624,2698,5323,64,62,128,59,56,111,12,8,24,8,11,21,13,14,25,7,3,14,18,13,35,0,0,0,2801,2875,5674,138,147,282,69,52,120,4086,4265,8351,1298,1370,2673,37494,39925,77418
LGA10950,960,943,1905,50,61,111,74,61,132,3,0,5,9,7,19,0,0,0,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,82,79,161,7,8,12,3,0,0,136,149,290,125,117,236,1221,1206,2430
LGA11150,799,775,1582,48,65,111,45,65,107,6,4,12,9,10,14,3,3,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,67,81,146,6,3,9,8,0,8,124,148,273,221,234,455,1149,1162,2305
LGA11200,479,481,965,27,34,63,38,28,68,0,4,4,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,33,74,4,0,4,0,0,4,80,65,150,103,125,222,667,670,1338
LGA11250,6690,7005,13696,537,633,1168,192,199,396,40,44,84,29,27,57,80,67,140,7,11,19,10,12,17,14,8,16,9,11,15,0,0,0,373,374,751,19,33,51,25,26,52,954,1060,2020,839,851,1693,8480,8922,17399
LGA11300,14016,14957,28975,975,915,1888,2912,2957,5869,82,84,165,38,42,75,7,7,17,13,8,19,9,7,19,4,0,5,20,19,33,0,0,0,3082,3116,6201,271,281,542,111,73,182,4430,4381,8812,1035,1074,2112,19483,20408,39895
LGA11350,12501,13307,25808,842,971,1812,1317,1605,2920,224,284,507,199,268,463,26,22,49,25,26,45,10,16,20,7,4,13,12,16,22,0,0,0,1806,2231,4037,168,184,355,85,94,181,2902,3486,6383,1764,1849,3612,17162,18641,35801
LGA11400,5581,5693,11272,194,181,374,386,374,761,9,5,13,32,18,56,4,3,3,5,0,5,0,0,3,4,4,10,0,0,0,0,0,0,436,410,850,6,7,22,12,12,21,649,611,1265,538,555,1089,6769,6855,13622
LGA11450,46845,48507,95352,950,1001,1947,7209,7611,14820,76,77,151,102,97,202,8,7,19,22,14,33,8,6,17,10,9,22,9,11,21,0,0,0,7452,7835,15288,229,248,476,130,118,242,8756,9199,17954,1810,1914,3722,57408,59621,117029
LGA11500,70038,72729,142764,1631,1785,3419,7834,7873,15711,76,96,175,115,111,227,18,19,44,22,22,43,19,19,41,10,10,23,19,26,49,0,0,0,8120,8184,16305,437,474,910,175,143,322,10366,10594,20957,4978,5354,10329,85383,88673,174055
LGA11520,33203,35987,69186,1754,1832,3582,4876,5109,9989,143,145,285,97,105,198,21,30,43,26,18,41,6,11,20,10,14,18,29,34,59,0,0,0,5203,5460,10658,437,483,922,102,69,176,7494,7843,15336,1728,1926,3650,42426,45752,88176
LGA11570,148670,149673,298343,4518,4152,8669,15445,14812,30252,279,186,461,142,139,284,70,50,119,49,43,89,17,23,40,28,32,60,49,45,98,0,0,0,16077,15329,31406,1297,1368,2660,382,266,654,22278,21111,43387,12598,11960,24556,183544,182746,366297
LGA11600,1082,996,2081,68,57,123,87,78,164,23,12,33,14,6,28,4,0,9,0,0,0,0,0,0,0,0,0,5,3,10,0,0,0,132,104,237,18,14,33,5,0,6,229,170,402,201,153,352,1513,1317,2833
LGA11650,135314,143689,279003,4139,4500,8631,15831,16792,32623,213,223,444,275,338,618,47,42,88,81,81,158,33,35,66,26,43,71,41,48,90,0,5,0,16551,17614,34166,620,654,1274,450,356,806,21761,23126,44882,9000,9968,18968,166071,176781,342852
LGA11700,587,572,1160,22,29,50,48,51,99,9,9,10,3,4,8,10,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,69,132,0,0,0,4,0,4,97,91,187,187,179,366,868,844,1712
LGA11720,24300,25006,49308,1212,1396,2607,2704,2899,5599,30,31,63,68,95,159,12,6,13,14,13,23,3,4,6,5,4,9,5,4,11,0,0,0,2840,3052,5889,65,68,135,95,85,184,4204,4601,8805,3124,1578,4700,31627,31185,62818
LGA11730,20634,21248,41886,1310,1385,2693,1381,1492,2879,100,101,198,257,282,532,3,6,13,26,30,56,15,12,24,19,20,42,9,6,17,0,0,0,1815,1954,3766,71,73,148,63,70,129,3251,3479,6733,2960,2094,5048,26842,26825,53666
LGA11750,1435,1372,2808,119,138,252,97,103,196,15,14,29,22,16,38,7,3,14,4,3,10,6,10,13,0,0,0,0,0,0,0,0,0,143,152,297,4,6,5,3,6,4,272,292,566,328,305,634,2037,1974,4013
LGA11800,29759,31824,61579,1434,1617,3052,3059,3320,6383,178,193,367,287,316,599,24,21,49,36,20,59,44,46,86,22,20,38,37,50,86,0,0,4,3681,3991,7671,179,210,393,143,134,278,5433,5957,11391,2442,2589,5030,37635,40365,78000
LGA12000,1739,1771,3506,98,126,223,128,138,267,22,20,40,0,5,9,5,0,8,0,0,0,0,0,5,0,0,0,5,4,8,0,0,0,165,164,327,3,3,4,5,0,9,267,291,559,140,142,279,2146,2206,4348
LGA12150,1352,1322,2674,97,107,207,96,108,200,3,3,8,6,11,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,120,228,9,0,8,7,4,14,212,237,452,268,285,553,1836,1843,3681
LGA12160,4456,4562,9019,269,319,583,235,221,456,15,16,29,18,24,46,7,0,7,0,7,6,0,5,5,0,0,0,24,17,40,0,0,0,299,285,587,43,14,58,11,11,18,618,623,1243,529,496,1022,5608,5682,11293
LGA12350,4969,5014,9980,260,342,603,354,340,692,22,19,38,28,28,53,0,0,0,4,0,4,0,0,0,0,0,0,15,10,22,0,0,0,418,401,817,10,7,23,12,5,18,700,759,1460,577,574,1142,6243,6341,12585
LGA12380,92791,89006,181794,4424,3699,8120,11550,10065,21616,291,189,480,119,115,233,62,65,127,29,35,62,34,39,74,23,20,36,56,31,80,0,0,0,12168,10545,22709,1242,1283,2527,410,267,681,18242,15794,34039,8869,7582,16455,119899,112386,232289
LGA12390,19729,20977,40706,986,1101,2086,2318,2451,4772,74,51,123,98,103,207,7,11,18,13,15,25,4,6,14,15,14,33,16,14,30,0,0,0,2558,2668,5223,127,106,237,106,84,192,3772,3964,7736,3241,2465,5708,26747,27404,54154
LGA12700,4015,3982,7996,144,163,306,305,330,632,3,9,10,18,13,25,0,0,0,0,4,6,0,0,4,0,0,0,3,0,9,0,0,0,331,352,682,9,11,18,13,7,21,491,533,1027,213,230,441,4717,4743,9458
LGA12730,3213,3337,6557,254,267,515,104,104,201,68,71,142,14,10,21,3,7,7,10,9,13,0,0,0,0,0,0,3,9,7,0,0,0,194,199,392,20,16,35,9,7,18,475,491,965,438,410,847,4124,4242,8363
LGA12750,15489,16115,31601,782,825,1608,1309,1440,2746,63,77,141,57,76,133,14,12,27,15,13,28,0,13,15,7,3,9,211,230,437,3,0,3,1683,1860,3540,54,67,121,57,30,85,2578,2779,5352,1669,1654,3327,19738,20547,40281
LGA12850,86348,89025,175368,1996,2063,4057,6463,6571,13032,133,119,252,66,68,133,25,13,35,20,18,37,5,6,10,0,0,3,15,9,25,0,0,0,6728,6810,13531,544,589,1138,148,143,288,9415,9598,19015,6097,6019,12111,101860,104640,206504
LGA12870,5036,5106,10144,276,272,547,182,177,363,277,298,573,35,21,52,4,3,5,3,7,11,0,0,0,6,0,9,5,4,6,0,0,0,501,522,1027,12,16,25,16,14,28,810,819,1624,521,499,1014,6358,6425,12785
LGA12900,3599,3686,7284,302,318,620,180,195,375,9,11,19,14,15,28,0,0,0,0,0,0,0,0,0,3,5,9,11,6,14,0,0,0,224,231,450,3,14,15,18,10,27,539,574,1115,413,419,828,4557,4670,9229
LGA12930,59938,62314,122248,2249,2142,4393,7906,7593,15493,106,96,197,75,79,147,32,34,63,14,24,37,19,26,45,14,11,27,29,22,53,0,0,0,8179,7880,16065,592,614,1202,212,140,354,11230,10776,22009,3091,3449,6535,74261,76536,150796
LGA12950,1641,1662,3299,79,108,189,70,98,172,0,0,0,4,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,106,188,3,0,4,7,5,8,173,215,387,275,271,549,2090,2148,4238
LGA13010,3291,3397,6684,247,318,560,168,199,364,5,0,9,65,62,123,0,0,0,4,4,3,5,0,8,0,0,4,0,3,4,0,0,0,247,267,517,3,10,15,7,4,11,507,601,1105,576,482,1064,4377,4481,8859
LGA13310,12164,12396,24558,959,1069,2028,942,931,1878,29,33,60,50,48,99,4,3,11,8,9,17,3,0,3,0,0,5,98,97,195,0,0,0,1142,1127,2272,90,65,149,51,41,86,2239,2296,4542,1560,1052,2613,15963,15746,31710
LGA13340,4474,4283,8758,214,235,450,266,287,553,83,81,164,13,16,31,5,0,8,3,0,0,0,0,5,0,5,3,4,3,11,0,0,0,380,399,776,8,16,28,11,5,11,608,649,1266,528,487,1016,5612,5427,11035
LGA13450,10722,10734,21456,755,776,1531,499,499,998,92,71,162,42,45,90,12,10,20,6,12,17,3,5,12,5,3,8,12,13,27,0,0,0,674,668,1342,72,74,146,17,11,30,1519,1526,3045,1167,1065,2232,13407,13327,26734
LGA13550,4861,4903,9760,384,425,812,383,386,770,7,6,11,46,47,94,0,0,0,4,3,5,0,0,0,0,0,0,0,3,5,0,0,0,431,449,881,19,18,35,26,40,64,863,928,1793,602,570,1173,6327,6400,12725
LGA13660,1933,1944,3880,92,85,176,106,131,240,3,4,7,24,22,47,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,138,162,296,8,0,7,0,8,14,238,256,492,257,237,490,2430,2433,4858
LGA13800,27526,27752,55269,918,906,1831,2766,2936,5701,34,39,70,59,43,98,9,8,17,3,9,15,4,0,3,5,3,15,9,7,15,0,0,0,2888,3052,5933,74,91,166,100,80,176,3977,4129,8107,1558,1471,3024,33061,33343,66405
LGA13850,1082,1078,2160,81,86,162,53,60,112,10,17,27,0,3,3,0,0,0,0,3,7,0,0,0,0,0,3,0,0,4,0,0,0,67,85,151,10,3,12,0,0,0,156,169,326,193,177,369,1428,1424,2859
LGA13910,7507,7796,15297,478,449,933,416,496,907,29,31,65,27,25,56,3,9,17,3,4,8,6,9,22,0,10,10,47,51,97,0,0,0,542,635,1173,21,19,44,13,9,19,1058,1114,2173,796,780,1574,9353,9686,19045
LGA14000,62519,65237,127757,1884,1910,3797,6291,6372,12665,100,93,195,66,86,149,34,33,61,17,21,38,8,14,21,9,8,17,29,21,48,0,0,0,6559,6643,13200,600,661,1262,97,75,175,9135,9297,18430,2038,2319,4359,73698,76852,150548
LGA14100,5458,5626,11086,147,172,320,495,522,1013,7,8,14,7,5,16,0,0,0,3,3,7,0,0,4,0,0,0,0,0,0,0,0,0,519,538,1057,55,52,105,6,7,13,723,770,1493,354,503,855,6530,6900,13440
LGA14170,67026,70596,137623,2898,3150,6042,12202,13087,25286,313,338,655,215,237,451,40,49,91,73,82,155,34,44,75,21,16,40,100,122,221,4,0,3,12992,13978,26969,919,922,1838,242,197,437,17048,18245,35294,4083,3756,7837,88152,92596,180753
LGA14220,6556,6802,13363,577,611,1193,434,476,908,19,10,27,106,107,210,4,4,10,0,0,6,0,0,0,0,4,3,5,0,5,0,0,0,567,600,1169,56,46,93,17,14,27,1212,1272,2488,914,909,1824,8684,8985,17667
LGA14300,2246,2214,4456,150,154,310,135,133,261,24,18,44,10,12,19,0,0,0,0,0,5,0,0,0,0,0,0,10,6,16,0,0,0,180,168,342,35,3,42,6,6,12,373,329,700,1008,184,1190,3631,2721,6346
LGA14350,11607,12027,23636,620,703,1313,845,845,1695,22,26,52,99,108,202,7,9,13,9,3,9,0,0,0,0,6,9,4,3,8,0,0,0,991,998,1985,39,32,69,55,26,79,1696,1760,3451,1988,1341,3325,15292,15126,30409
LGA14400,9217,9674,18896,348,375,726,873,982,1852,24,24,45,22,17,35,0,5,5,7,9,16,4,4,10,0,3,4,14,20,34,0,0,0,944,1055,1995,44,44,85,21,19,40,1355,1495,2846,546,576,1123,11127,11741,22866
LGA14500,50188,53805,103997,1372,1544,2916,5347,5757,11108,115,117,226,74,70,142,19,12,31,27,25,50,8,16,28,0,3,4,36,47,84,0,0,0,5639,6040,11677,827,861,1693,48,52,98,7888,8501,16387,1285,1509,2793,59361,63814,123179
LGA14550,3623,3636,7262,171,193,370,200,217,415,7,15,26,59,80,135,5,4,10,6,4,10,6,4,5,0,0,0,0,3,5,0,0,0,284,327,610,18,19,35,14,10,19,487,544,1034,507,490,1001,4617,4674,9298
LGA14600,2300,2253,4555,175,187,366,108,126,230,18,13,27,7,9,15,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,131,147,279,14,7,22,11,9,22,333,348,685,379,409,784,3014,3010,6029
LGA14650,86011,90033,176041,2490,2635,5124,9110,10009,19120,163,167,330,204,226,432,43,43,87,60,57,118,22,28,57,35,35,65,50,60,110,3,10,12,9697,10630,20329,327,341,666,278,274,552,12795,13876,26675,4296,4507,8797,103097,108415,211514
LGA14700,14991,15663,30650,648,665,1320,2366,2344,4707,66,71,141,34,27,58,9,0,11,13,14,30,5,3,8,3,6,3,18,19,38,0,0,0,2509,2488,5004,248,268,515,28,38,64,3439,3457,6898,632,748,1380,19061,19862,38921
LGA14750,4383,4502,8884,337,351,683,261,288,544,29,42,72,25,21,45,3,0,5,0,0,0,0,0,0,4,4,9,8,7,13,0,0,0,331,366,703,15,14,26,14,7,24,696,738,1437,493,512,1007,5573,5745,11322
LGA14850,17073,17677,34748,652,755,1412,1564,1707,3277,96,109,206,214,192,404,21,9,26,28,22,46,17,7,28,9,11,24,13,11,31,0,0,0,1966,2073,4041,89,82,172,73,68,139,2782,2977,5761,1707,1727,3438,21562,22388,43952
LGA14870,8222,8272,16494,405,422,829,593,646,1244,5,8,12,35,31,63,0,5,5,8,3,10,3,6,6,4,4,5,0,9,5,0,0,0,644,702,1344,18,26,47,16,12,26,1086,1167,2255,1120,794,1914,10433,10230,20659
LGA14900,94658,95876,190530,1871,1937,3806,9547,9907,19450,202,157,362,258,202,459,60,41,96,49,43,93,23,20,44,39,34,77,67,47,118,0,0,0,10246,10452,20702,543,603,1148,196,154,358,12854,13147,26007,7013,6738,13750,114527,115767,230292
LGA14920,2850,2810,5653,184,203,384,235,231,466,8,3,15,12,16,25,0,0,0,0,0,4,0,0,0,6,0,6,0,0,0,0,0,0,258,251,510,0,6,9,13,3,15,452,467,919,462,457,913,3762,3726,7492
LGA14950,1353,1355,2709,49,59,112,77,79,164,8,13,18,3,0,5,0,0,0,0,5,4,0,3,3,0,0,0,0,3,0,0,0,0,91,105,197,5,0,3,0,3,4,146,169,312,130,130,263,1629,1650,3285
LGA15050,34851,36714,71568,1101,1137,2233,4885,5459,10345,90,71,159,134,148,279,19,29,52,38,29,63,14,17,28,44,34,77,31,31,57,0,0,0,5248,5810,11060,114,127,247,124,129,252,6586,7201,13787,1818,1796,3616,43257,45710,88973
LGA15240,36852,38656,75504,1971,2251,4218,3582,3724,7312,77,89,165,172,163,338,15,14,29,19,34,51,18,15,34,17,21,40,20,22,39,0,0,0,3916,4085,8003,96,103,202,119,121,238,6105,6562,12668,3766,3914,7672,46712,49136,95845
LGA15270,9989,9836,19833,698,777,1474,895,867,1758,15,17,34,42,51,86,3,3,9,5,5,11,6,5,14,3,0,7,6,9,14,0,0,0,973,961,1935,30,23,56,38,25,63,1737,1791,3531,1055,988,2039,12782,12620,25404
LGA15300,4161,4177,8337,308,305,614,285,271,560,17,12,33,80,101,185,3,6,14,0,0,6,0,0,5,0,0,3,4,3,4,0,0,0,399,406,805,9,9,19,9,14,21,726,733,1461,1406,1393,2794,6294,6303,12598
LGA15350,10322,12144,22465,405,490,901,1364,1620,2981,40,32,77,28,47,78,11,7,17,5,4,15,3,0,7,3,0,4,14,17,28,0,0,0,1475,1734,3211,244,256,500,25,24,48,2145,2508,4656,449,522,970,12914,15178,28090
LGA15520,4934,5007,9940,242,245,482,94,105,206,432,431,863,16,14,33,5,4,5,5,6,7,0,0,0,0,0,10,3,0,3,0,0,0,555,573,1131,29,9,37,9,13,23,832,838,1669,559,532,1094,6326,6376,12707
LGA15560,1352,1235,2591,76,74,151,78,76,157,15,17,32,11,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,102,212,4,0,10,0,5,4,192,182,379,187,168,357,1734,1587,3324
LGA15650,6246,6126,12369,548,536,1083,526,566,1099,4,14,21,55,43,94,4,0,7,5,4,6,0,0,0,3,5,6,0,0,0,0,0,0,602,633,1236,31,26,50,35,21,56,1209,1220,2426,828,529,1353,8276,7876,16148
LGA15700,7899,8271,16168,286,331,620,608,683,1285,35,39,70,65,64,128,5,4,6,10,11,19,3,3,10,4,8,12,11,10,21,0,0,0,739,818,1559,18,22,42,34,23,60,1075,1199,2273,879,902,1783,9852,10373,20229
LGA15750,4869,4778,9651,291,308,597,313,340,654,8,10,22,43,52,96,3,4,7,0,4,5,0,3,0,0,0,0,0,0,3,0,0,0,375,421,797,8,17,18,16,9,28,689,752,1446,755,700,1456,6313,6239,12554
LGA15800,2192,2238,4429,150,150,305,105,126,229,17,21,39,7,3,12,3,6,9,0,0,0,3,4,4,0,0,0,5,4,6,0,0,0,137,163,294,5,3,13,11,5,15,300,326,623,291,285,580,2784,2846,5628
LGA15850,2393,2299,4685,137,144,282,170,170,334,5,4,11,10,7,25,4,0,10,0,0,7,0,0,5,0,4,4,0,0,0,0,0,0,195,194,387,5,7,10,8,5,6,337,348,687,447,455,903,3177,3105,6278
LGA15900,63770,65809,129582,2222,2371,4597,10166,11038,21208,280,260,536,280,302,583,49,47,96,54,49,97,49,47,96,39,54,97,101,92,198,0,0,0,11026,11887,22915,564,558,1115,340,246,586,14149,15064,29212,4118,4099,8220,82033,84978,167015
LGA15950,23204,25987,49189,1342,1539,2881,4961,5733,10697,164,166,329,130,158,286,25,34,58,46,47,93,3,9,17,11,8,20,55,70,125,4,0,4,5408,6219,11629,666,741,1405,70,65,137,7488,8564,16054,1337,1527,2860,32026,36071,68100
LGA15990,105429,110078,215507,3728,3876,7599,11991,12549,24540,204,226,429,194,217,410,34,35,68,37,41,82,10,16,28,9,15,21,63,62,125,0,0,4,12548,13160,25703,1165,1272,2434,243,250,496,17683,18556,36241,4277,4606,8883,127382,133246,260626
LGA16100,2158,2042,4199,96,100,194,178,175,357,10,6,15,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,187,380,5,3,6,0,4,5,295,299,594,438,296,735,2893,2636,5529
LGA16150,16380,17404,33779,1002,1074,2077,1864,1946,3811,53,46,99,69,79,149,16,11,25,20,16,38,7,3,9,7,11,17,18,18,35,0,0,0,2047,2138,4180,88,98,185,53,50,103,3191,3358,6550,1244,1324,2564,20814,22081,42897
LGA16200,5598,5712,11308,419,428,843,361,356,716,16,7,31,25,25,48,0,0,0,4,4,7,0,0,0,3,0,5,6,0,0,0,0,0,418,402,818,9,28,35,13,23,34,855,873,1728,606,540,1149,7057,7129,14186
LGA16260,95639,96909,192542,5120,4967,10088,16481,15905,32384,502,382,883,294,331,628,97,100,193,67,68,135,28,27,55,31,27,61,94,83,175,0,0,0,17589,16934,34520,1696,1854,3550,283,229,511,24682,23980,48662,6779,5593,12368,127098,126477,253574
LGA16350,86132,88123,174252,2302,2449,4750,9866,10547,20410,84,95,181,166,167,336,31,19,52,31,24,58,19,18,40,15,6,24,25,39,66,0,0,0,10236,10925,21160,425,449,869,264,185,453,13224,14004,27227,6597,6499,13096,105953,108625,214577
LGA16380,33037,35943,68982,1565,1630,3193,3657,4210,7870,129,143,271,198,210,411,24,14,36,39,41,72,14,16,36,14,16,35,49,45,89,3,5,7,4132,4696,8821,148,150,296,130,128,254,5969,6603,12569,2184,2273,4459,41191,44817,86010
