LGA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA20830,4705,3865,1833,505,28290
LGA20910,11196,7873,4373,1881,59043
LGA21010,1446,1263,686,229,7319
LGA21110,17125,12066,6579,2763,103483
LGA21180,10413,6647,2971,1076,83120
LGA21270,580,426,205,108,2778
LGA21370,3190,2374,1262,520,17448
LGA21450,6890,4411,2131,651,56624
LGA21610,19979,11096,4748,1511,167206
LGA21670,1136,1107,604,149,5895
LGA21750,1912,1667,680,219,10530
LGA21830,1390,1015,492,198,7278
LGA21890,9763,5252,2232,1149,84397
LGA22110,4748,4836,2443,683,24247
LGA22170,10121,6869,3436,1337,69705
LGA22250,847,788,357,127,4519
LGA22310,12326,8903,3941,1847,89018
LGA22410,1837,1486,601,201,9210
LGA22490,2045,1461,505,113,12253
LGA22620,9448,7363,3660,1398,59679
LGA22670,7135,5128,2689,985,67159
LGA22750,20284,16649,8154,2878,140374
LGA22830,4620,3303,1710,695,30320
LGA22910,2040,1841,740,227,9435
LGA22980,495,321,181,102,2452
LGA23110,6886,4000,1661,672,47436
LGA23190,1547,1100,548,232,9430
LGA23270,12064,6532,2628,736,104702
LGA23350,1918,1542,632,151,9292
LGA23430,12292,8308,4156,1791,84692
LGA23670,12753,8560,4228,1607,83315
LGA23810,6176,4652,2271,847,36372
LGA23940,788,614,274,123,3599
LGA24130,4898,3698,1657,419,27195
LGA24210,11013,7769,4989,1846,68630
LGA24250,1130,991,385,114,5378
LGA24330,4839,2442,901,470,49395
LGA24410,8923,6146,3416,1431,61320
LGA24600,7095,4757,2204,698,109335
LGA24650,7821,4416,1577,408,78940
LGA24780,3912,2733,1301,483,24978
LGA24850,3347,2175,950,283,22802
LGA24900,2316,2051,1114,353,13438
LGA24970,14104,9411,5915,2762,108717
LGA25060,9351,5986,2715,1003,67124
LGA25150,2792,2001,854,205,18154
LGA25250,9971,5318,2347,1254,98711
LGA25340,15849,14588,8590,3019,89268
LGA25430,2326,2261,1108,377,11623
LGA25490,1576,1271,506,154,8492
LGA25620,1714,1430,610,165,8153
LGA25710,6699,4434,1693,399,34599
LGA25810,1048,972,480,187,5667
LGA25900,8977,5705,2615,817,70260
LGA25990,675,681,259,75,3606
LGA26080,465,617,364,106,2205
LGA26170,2973,2658,1183,318,15123
LGA26260,1409,1221,578,241,7877
LGA26350,8561,6600,3783,1450,70989
LGA26430,1176,1178,514,184,5854
LGA26490,3708,3214,1325,438,21680
LGA26610,1421,1006,475,201,8897
LGA26670,739,546,251,97,3220
LGA26700,2607,2097,1052,395,14786
LGA26730,2770,2071,1049,430,17334
LGA26810,3892,3377,1363,425,21862
LGA26890,346,291,123,43,1791
LGA26980,13403,9372,5604,2632,97578
LGA27070,11267,6825,2841,1005,105361
LGA27170,3046,2338,1043,302,20736
LGA27260,12292,6911,2448,667,143573
LGA27350,6343,4328,1855,477,63285
LGA27450,13141,9477,4323,1178,80367
LGA27630,610,465,248,119,2920
LGA29399,59,39,11,6,648
LGA29499,779,411,85,18,5907
LGA29799,15,4,0,0,40
LGA30250,28,9,0,0,197
LGA30300,279,151,71,31,1747
LGA30370,932,564,282,101,6314
LGA30410,211,134,78,18,1257
LGA30450,19,11,4,0,145
LGA30760,141,98,53,27,775
LGA30900,22,21,3,0,178
LGA31000,89566,56389,26918,10019,710063
LGA31750,28,9,5,0,149
LGA31820,8287,6911,3568,933,44910
LGA31900,1197,876,431,134,7120
LGA31950,43,26,4,0,206
LGA32080,13949,8992,3687,1062,87099
LGA32250,119,85,34,6,811
LGA32260,2675,1948,836,254,13176
LGA32270,1747,801,298,77,12566
LGA32310,814,639,304,81,4994
LGA32330,43,6,0,0,238
LGA32450,250,107,36,4,1759
LGA32500,486,326,119,12,2422
LGA32600,15,16,0,0,120
LGA32750,18,8,0,0,145
LGA32770,46,13,6,0,283
LGA32810,1306,977,387,87,6832
LGA33100,51,46,26,0,315
LGA33200,110,64,28,13,624
LGA33220,10307,9868,4755,1307,52313
LGA33360,5025,2755,1030,287,29410
LGA33430,47533,34692,17620,6067,332536
LGA33610,685,445,248,72,4282
LGA33620,5023,4040,1741,414,24864
LGA33800,964,730,379,155,4830
LGA33830,38,17,8,0,340
LGA33960,12905,7564,3275,986,103378
LGA33980,1371,475,137,27,11391
LGA34420,51,17,7,0,354
LGA34530,3719,2491,1030,286,18880
LGA34570,22,13,6,0,158
LGA34580,2983,1999,846,220,18132
LGA34590,19909,13451,5861,1703,152918
LGA34710,337,189,70,35,1844
LGA34770,9330,5259,2256,754,57390
LGA34800,67,25,8,4,428
LGA34830,25,16,0,0,195
LGA34860,867,503,212,87,5761
LGA34880,1970,1396,684,156,10395
LGA35010,34400,25530,12093,3608,230729
LGA35250,37,15,7,0,244
LGA35300,1187,421,183,37,8537
LGA35600,359,192,64,25,1697
LGA35670,47,24,0,0,295
LGA35740,6501,5667,2836,907,31939
LGA35760,749,641,332,84,4275
LGA35780,170,59,8,0,1154
LGA35790,74,26,3,0,409
LGA35800,125,81,31,7,628
LGA36070,28,5,0,0,224
LGA36150,54,29,13,8,320
LGA36250,14261,10764,5142,1808,81214
LGA36300,51,32,17,3,346
LGA36370,5449,3376,1648,699,36314
LGA36510,4014,3103,1416,423,21050
LGA36580,2129,1645,702,127,11354
LGA36630,2728,2434,1084,254,14526
LGA36660,3059,2735,1310,370,16411
LGA36720,30969,24156,12147,4229,183699
LGA36820,2582,2314,1057,325,13069
LGA36910,12583,9212,4777,1612,82807
LGA36950,229,91,20,4,1558
LGA36960,222,82,12,3,1481
LGA37010,14056,8638,3657,1021,93823
LGA37300,246,54,11,5,2156
LGA37310,2168,1356,606,192,14695
LGA37340,3019,2014,810,151,18645
LGA37400,76,60,36,3,504
LGA37550,30,8,0,0,228
LGA37570,12,7,0,0,100
LGA37600,102,34,9,0,722
LGA39499,1684,1277,239,26,9143
LGA39799,5,3,0,0,170
LGA40070,1745,1678,814,283,17006
LGA40120,4527,3505,1433,375,23073
LGA40150,707,388,166,26,4097
LGA40220,2868,3093,1585,419,14655
LGA40250,82,24,8,3,570
LGA40310,2156,1719,751,227,12027
LGA40430,226,224,113,24,1096
LGA40520,745,612,258,104,4368
LGA40700,4587,4043,2325,806,27235
LGA40910,3909,2699,1709,667,28684
LGA41010,241,153,64,18,1434
LGA41060,9096,6440,2970,1065,62094
LGA41140,868,722,291,89,4391
LGA41190,141,86,46,28,734
LGA41330,142,148,83,21,830
LGA41560,1270,1239,639,223,6525
LGA41750,90,70,15,4,416
LGA41830,159,154,56,13,781
LGA41960,109,116,47,15,605
LGA42030,1866,1306,754,328,11396
LGA42110,368,316,150,38,1771
LGA42250,710,507,198,57,3829
LGA42600,3891,3494,1723,698,21694
LGA42750,511,417,200,57,2427
LGA43080,84,58,35,7,419
LGA43220,59,48,28,13,404
LGA43360,178,198,83,22,967
LGA43650,1277,779,283,96,7163
LGA43710,474,337,133,28,2641
LGA43790,825,702,354,99,4895
LGA44000,8,6,0,0,50
LGA44060,6999,5364,2382,880,50134
LGA44210,911,879,324,72,4104
LGA44340,6432,5100,2709,965,38791
LGA44550,3164,2498,1039,321,20243
LGA44620,1678,1389,714,273,11404
LGA44830,353,246,106,24,1345
LGA45040,1498,1127,584,205,8744
LGA45090,578,422,208,73,3558
LGA45120,388,292,130,37,1992
LGA45290,3301,2631,1313,541,22228
LGA45340,13678,10886,5064,1605,85654
LGA45400,89,56,25,14,389
LGA45540,146,137,53,15,681
LGA45680,4914,3057,1397,551,37739
LGA45890,8395,5574,2373,868,65099
LGA46090,981,628,289,56,5587
LGA46300,1019,753,356,140,6339
LGA46450,1185,856,446,129,6740
LGA46510,1892,1277,399,169,12684
LGA46670,606,532,229,68,3958
LGA46860,169,126,65,16,761
LGA46970,204,27,3,3,1937
LGA47140,7631,5260,2584,967,59692
LGA47290,141,97,52,22,856
LGA47490,170,175,56,21,960
LGA47630,471,309,127,48,2970
LGA47700,7574,5943,3112,988,50526
LGA47800,439,323,177,52,2356
LGA47910,235,215,96,38,1195
LGA47980,3588,3199,1544,681,23152
LGA48050,1485,2013,1142,349,8040
LGA48130,483,383,155,69,2646
LGA48260,738,693,404,179,4820
LGA48340,948,744,337,97,5043
LGA48410,4175,2647,1399,717,33629
LGA48540,1605,999,573,201,9173
LGA48640,76,48,15,14,425
LGA48750,679,752,285,67,2963
LGA48830,1094,1099,528,151,5103
LGA49399,272,155,43,11,1468
LGA49499,345,212,26,9,1909
LGA49799,0,0,0,0,9
LGA50080,3428,2744,1346,498,18875
LGA50210,5457,3545,1547,423,44561
LGA50250,479,114,21,0,4031
LGA50280,1538,1225,433,142,9161
LGA50350,1259,854,389,113,8444
LGA50420,4833,3570,1736,594,37944
LGA50490,2618,1668,803,366,23059
LGA50560,153,177,71,25,811
LGA50630,148,106,42,7,754
LGA50770,159,122,71,11,835
LGA50840,565,566,218,31,2730
LGA50910,68,55,23,9,365
LGA50980,1205,568,149,33,8716
LGA51080,91,59,22,0,431
LGA51120,80,64,30,9,432
LGA51190,2640,1994,955,383,15922
LGA51260,3491,3045,1508,443,20567
LGA51310,3050,1999,1108,567,17620
LGA51330,6677,4623,2172,635,52320
LGA51400,1545,969,316,53,8887
LGA51470,40,48,9,6,274
LGA51540,396,261,94,23,2448
LGA51610,141,91,28,5,766
LGA51680,619,333,172,31,2892
LGA51710,121,72,4,0,968
LGA51750,1091,970,730,344,7186
LGA51820,8053,4876,1983,735,61177
LGA51860,54,15,13,0,249
LGA51890,664,511,243,79,3788
LGA51960,272,137,43,4,1600
LGA52030,105,109,50,14,492
LGA52100,66,59,27,16,414
LGA52170,978,763,428,166,5167
LGA52240,88,63,32,10,476
LGA52310,94,69,31,8,411
LGA52380,21,31,3,0,121
LGA52450,68,57,25,10,489
LGA52520,92,43,24,12,569
LGA52590,311,304,112,18,1623
LGA52660,1033,723,374,175,6854
LGA52730,783,682,333,80,3553
LGA52800,413,236,46,6,2655
LGA52870,593,528,229,49,3021
LGA52940,32,60,14,6,271
LGA53010,51,45,14,0,301
LGA53080,66,37,16,0,292
LGA53150,884,655,308,166,4705
LGA53220,672,122,21,0,5602
LGA53290,1006,668,431,104,6269
LGA53360,249,131,54,9,1724
LGA53430,3404,2473,1064,367,19746
LGA53570,495,491,245,37,2614
LGA53640,89,63,8,6,472
LGA53710,81,75,19,3,412
LGA53780,7137,4788,2252,768,57919
LGA53800,2981,1925,890,370,18394
LGA53920,150,70,27,3,1110
LGA53990,2297,1573,624,153,13320
LGA54060,346,316,165,33,1682
LGA54130,95,46,16,5,500
LGA54170,15336,10911,4069,1205,86272
LGA54200,4507,3549,1883,633,29184
LGA54280,1889,876,284,92,13572
LGA54310,1257,333,69,3,11532
LGA54340,237,157,87,34,1557
LGA54410,99,59,46,14,474
LGA54480,25,20,7,0,204
LGA54550,141,98,67,29,824
LGA54620,55,38,21,6,331
LGA54690,24,23,12,0,128
LGA54760,51,38,8,3,326
LGA54830,2230,1278,492,145,20817
LGA54900,85,43,24,6,519
LGA54970,134,29,4,0,794
LGA55040,109,43,12,0,909
LGA55110,7286,6336,3627,1245,42731
LGA55180,813,592,272,83,4071
LGA55250,96,35,12,0,619
LGA55320,9679,7769,3867,1635,59574
LGA55390,46,20,6,0,337
LGA55460,226,163,66,22,1366
LGA55530,33,28,16,4,190
LGA55600,167,140,56,23,970
LGA55670,46,55,20,7,303
LGA55740,916,746,415,128,5604
LGA55810,77,45,18,4,404
LGA55880,36,14,3,3,181
LGA55950,38,19,11,4,223
LGA56090,3681,2757,1339,387,19721
LGA56160,4,4,0,0,36
LGA56230,1370,1188,631,205,8084
LGA56300,175,211,83,12,821
LGA56370,56,30,32,20,310
LGA56460,367,289,151,77,2218
LGA56580,2411,2028,1097,447,13617
LGA56620,58,12,0,0,272
LGA56730,910,725,305,92,5101
LGA56790,318,310,113,28,1473
LGA56860,28,23,6,0,118
LGA56930,184,143,69,30,881
LGA57000,73,27,7,5,347
LGA57080,1897,1308,576,153,20650
LGA57140,85,75,37,8,416
LGA57210,514,443,173,60,2541
LGA57280,1009,267,55,11,7840
LGA57350,99,103,39,19,480
LGA57420,169,106,58,3,972
LGA57490,9423,5397,2844,920,63713
LGA57630,18,6,9,0,76
LGA57700,1957,1051,411,89,14409
LGA57770,96,72,30,5,567
LGA57840,3971,3188,1544,750,26957
LGA57910,16108,11643,6298,2477,127047
LGA57980,1680,1514,816,254,11580
LGA58050,9466,5362,2302,736,70630
LGA58190,36,15,7,3,162
LGA58260,34,35,17,0,248
LGA58330,625,492,193,27,2374
LGA58400,21,21,8,0,124
LGA58470,10,7,0,0,62
LGA58510,2521,1709,875,594,22798
LGA58540,66,47,18,3,344
LGA58570,2860,1634,589,221,23641
LGA58610,133,129,53,7,702
LGA58680,46,42,17,0,258
LGA58760,12932,7273,3428,1171,97322
LGA58820,374,270,141,51,1943
LGA58890,76,37,12,3,326
LGA59030,23,11,6,3,108
LGA59100,68,32,19,4,291
LGA59170,75,49,26,7,465
LGA59250,27,20,5,0,296
LGA59310,94,84,26,9,540
LGA59320,40,40,12,0,208
LGA59330,30,35,21,5,200
LGA59340,564,246,75,18,3629
LGA59350,22,18,7,0,227
LGA59360,97,42,14,8,579
LGA59370,348,385,195,52,1666
LGA59499,876,505,105,20,5668
LGA59799,48,15,0,0,428
LGA60210,815,721,302,58,3368
LGA60410,947,743,302,65,7419
LGA60610,1478,980,545,178,8927
LGA60810,2135,1628,769,203,10810
LGA61010,252,216,79,14,1139
LGA61210,596,436,171,48,3449
LGA61410,5094,3990,2040,716,31860
LGA61510,815,533,242,63,4515
LGA61610,1936,1642,827,293,11906
LGA61810,586,478,229,115,2962
LGA62010,101,111,53,14,475
LGA62210,627,553,256,55,3051
LGA62410,579,570,263,71,2656
LGA62610,3089,2084,1198,478,24481
LGA62810,4958,4232,1922,694,35503
LGA63010,1960,1465,596,141,9389
LGA63210,715,476,186,37,3226
LGA63410,138,136,62,18,811
LGA63610,3604,3112,1466,422,22451
LGA63810,1069,1009,476,128,5855
LGA64010,4982,3744,2008,706,34024
LGA64210,1747,1380,660,160,9452
LGA64610,1121,995,444,102,6216
LGA64810,1536,1113,438,111,8362
LGA65010,542,362,145,30,2828
LGA65210,357,328,124,33,1400
LGA65410,1328,1016,522,135,6587
LGA65610,417,282,120,33,1976
LGA65810,2450,2003,974,283,12974
LGA69499,137,108,14,3,760
LGA69799,0,0,0,0,14
LGA70200,2024,995,295,75,13353
LGA70420,332,142,40,3,2169
LGA70540,5,0,0,0,23
LGA70620,151,44,15,0,937
LGA70700,172,135,52,6,689
LGA71000,5870,3498,1303,276,45917
LGA71150,38,15,0,0,230
LGA71300,290,100,13,3,1796
LGA72200,662,349,98,20,4985
LGA72300,1916,1087,340,44,10717
LGA72330,195,79,10,4,1236
LGA72800,1978,925,255,72,18134
LGA73600,280,124,25,0,1996
LGA74050,82,33,0,0,516
LGA74550,143,81,20,0,992
LGA74560,71,47,23,0,246
LGA74660,244,76,11,0,1642
LGA74680,48,21,3,0,503
LGA79399,513,255,41,0,3838
LGA79499,441,228,30,0,2351
LGA79799,12,0,0,0,71
LGA89399,34056,24589,12068,3939,264899
LGA89499,64,24,8,4,368
LGA89799,0,0,0,0,0
LGA99399,296,238,119,33,1390
LGA99499,3,0,0,0,11
LGA99799,0,0,0,0,0
