LGA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA10050,4,5,13,41,57,92,6,0,9,0,0,3,31,28,65,9735,8758,18494,546,653,1196,137,3,142,76,17,86,167,47,211,57,18,71,357,355,714,11149,9950,21098,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,5,4,6,7,10,11,0,0,0,12,11,24,75,51,126,87,63,148,0,0,0,0,0,0,7,0,8,10,5,10,993,1399,2392,890,1675,2565,72,51,131,13209,13142,26344
LGA10180,0,3,3,37,10,45,0,0,0,0,0,0,12,16,25,3445,2975,6412,261,311,572,94,0,94,59,12,70,46,18,70,39,32,73,239,230,470,4240,3603,7841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,6,13,0,17,3,0,3,16,4,21,42,30,74,59,35,93,0,0,0,0,6,0,4,0,3,5,3,8,1308,1578,2888,796,1049,1846,42,43,87,6453,6317,12765
LGA10250,8,3,8,39,28,64,0,0,0,0,0,0,6,3,8,6441,5822,12260,331,403,737,177,10,184,63,7,71,164,60,225,64,21,88,280,294,576,7563,6657,14215,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,7,0,3,3,3,6,0,0,3,5,9,16,80,43,123,90,55,145,0,0,0,0,0,0,3,3,7,0,3,5,1472,1992,3467,1139,1686,2826,61,52,114,10332,10440,20775
LGA10300,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,347,252,598,31,20,54,6,0,10,0,0,0,3,0,4,9,6,13,40,53,94,443,337,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,4,3,9,0,0,0,0,0,0,3,0,3,3,0,3,67,57,117,27,39,63,0,3,0,538,435,973
LGA10470,4,0,9,25,29,53,5,0,4,0,0,0,31,31,60,7020,6378,13402,514,584,1100,182,4,189,48,7,60,42,12,50,51,20,67,355,292,647,8286,7353,15633,0,0,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,5,3,6,0,0,0,0,0,0,0,0,0,4,0,6,0,6,6,6,5,9,68,40,104,75,49,125,0,0,0,0,0,4,7,0,7,8,8,9,996,1398,2396,899,1293,2195,52,45,92,10307,10143,20457
LGA10500,2408,2396,4807,639,882,1522,4,3,5,11,9,20,95,96,186,17972,10613,28586,847,1726,2579,443,7,448,549,58,605,301,80,378,315,200,513,1037,1214,2246,24609,17284,41892,708,894,1605,0,3,5,31,45,69,166,88,251,36,79,118,55,32,83,997,1138,2139,7,0,7,9,16,23,34,18,51,16,64,80,17,27,45,73,131,206,234,102,331,1302,1370,2671,145,188,332,10,19,28,5,0,10,166,206,364,13139,15797,28934,4722,6109,10830,251,187,435,44186,40946,85131
LGA10550,0,0,0,20,16,41,0,6,6,0,0,0,8,3,12,4854,4572,9431,288,320,606,192,8,202,53,4,60,46,17,61,60,33,87,346,347,696,5861,5336,11199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,4,0,4,0,0,0,5,5,14,57,22,82,62,31,97,0,0,0,0,0,0,0,0,3,0,0,3,814,1071,1885,630,1008,1636,88,69,158,7463,7511,14975
LGA10600,0,0,0,4,11,12,0,0,0,0,0,0,0,0,0,1567,1546,3111,95,106,197,64,0,64,28,8,34,24,11,37,14,9,21,116,128,242,1907,1809,3727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,21,10,31,24,10,36,0,0,0,0,0,0,0,0,0,0,0,0,467,513,976,214,366,580,21,25,43,2635,2730,5365
LGA10650,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1195,1059,2255,70,74,147,51,3,50,12,0,10,6,5,16,16,0,17,87,77,169,1438,1230,2662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,36,23,13,38,0,0,0,0,0,0,0,0,0,0,0,0,186,203,389,120,206,324,21,18,34,1792,1664,3454
LGA10750,2050,2243,4291,596,914,1505,6,4,11,12,10,19,151,147,293,41689,28288,69985,2219,3903,6123,1020,22,1037,383,31,413,176,25,201,519,334,852,538,689,1231,49353,36602,85954,737,1139,1877,0,0,0,17,13,32,468,262,728,69,176,246,66,33,104,1360,1627,2987,0,0,0,0,6,10,56,51,105,43,120,167,16,33,50,117,207,331,451,259,715,1931,2096,4030,350,441,791,17,34,50,13,9,20,381,489,865,27720,30252,57975,12688,12575,25253,472,373,849,92549,82378,174929
