LGA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA18020,0,0,0,59,17,0,0,16,0,0,0,0,0,9,26,78,0,0,0,0,0,0,0,0,0,0,0,3,190,24,5,230,34,78,13,41,14,85,34,744
LGA18050,29,60,10,4309,79,18,9,62,15,49,3,19,6,34,149,459,8,0,3,9,0,5,0,0,3,3,33,64,1916,359,105,1971,468,1189,117,343,92,367,195,7114
LGA18100,0,0,0,28,7,0,0,18,0,0,0,0,0,0,19,45,0,0,0,0,0,0,0,0,0,0,0,0,75,13,9,114,7,32,3,13,4,30,20,310
LGA18200,0,0,0,94,18,0,0,20,0,8,0,0,0,9,48,112,0,0,0,0,0,0,0,0,0,3,0,8,202,35,9,232,35,92,14,24,7,55,57,767
LGA18250,37,131,8,5676,71,18,4,59,14,70,3,19,14,39,275,603,8,5,0,0,0,3,0,0,0,5,39,65,2961,536,123,2420,545,1996,146,515,153,815,340,10550
LGA18350,13,30,0,1370,77,17,7,66,15,38,3,21,6,30,205,488,7,0,4,3,0,0,0,0,0,0,13,25,1319,359,65,1805,255,760,112,263,88,368,226,5623
LGA18400,17,27,3,1849,109,10,9,74,32,31,13,13,6,36,181,516,4,0,12,6,10,3,0,0,0,10,26,84,1792,429,180,2072,598,959,265,335,177,535,228,7557
LGA18450,44,120,4,6096,195,50,24,205,65,130,26,67,30,124,603,1511,3,0,6,22,10,11,3,0,3,20,64,150,4987,1321,400,7149,1901,3439,690,1372,488,2330,713,24785
LGA18500,27,104,10,3617,53,14,6,68,22,67,9,22,13,30,185,484,8,0,4,3,0,0,0,3,3,9,12,49,1387,297,71,1297,294,1161,85,320,73,303,212,5501
LGA18710,10,14,0,776,53,4,0,28,5,20,0,6,0,6,75,195,3,0,0,0,0,0,0,0,0,6,0,11,783,95,23,723,94,235,17,72,30,110,82,2260
LGA19399,0,0,0,6,3,0,0,0,0,3,0,0,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0,3,39,12,3,17,0,14,3,9,4,3,10,108
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,8,0,0,146,12,8,6,28,4,6,0,3,0,0,48,119,0,0,0,0,0,0,0,0,5,0,11,14,247,95,27,466,58,125,33,71,20,60,58,1261
