LGA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA21670,36,67,33,28,31,6,0,193,0,6,6,0,6,0,0,21,0,9,0,0,0,0,0,7,47,105,66,49,52,12,3,329,0,6,5,4,5,0,0,26,3,6,5,4,0,0,0,16,6,12,11,9,6,0,0,42,56,118,77,56,51,12,3,373,88,90,55,49,30,9,0,323,0,3,4,0,0,0,0,11,138,216,139,101,84,19,3,704
LGA21750,47,85,51,42,63,7,10,298,8,5,4,3,4,0,0,25,0,0,4,5,3,0,0,12,62,140,104,81,115,23,9,533,0,0,3,0,0,0,0,4,3,6,6,0,0,0,0,16,3,4,7,0,5,0,0,25,65,141,110,84,115,23,9,555,79,88,45,25,24,6,0,268,0,3,0,3,0,0,0,4,144,234,155,114,145,28,8,828
LGA21830,17,69,40,39,38,11,0,208,3,10,0,4,0,0,0,18,0,3,0,0,0,0,0,4,36,101,59,65,67,23,0,350,0,0,0,3,0,0,0,4,3,3,3,3,0,0,0,16,3,3,3,5,0,0,0,17,37,105,63,76,67,23,4,367,45,58,35,18,18,3,0,181,5,3,0,0,0,0,0,10,87,162,97,93,83,25,7,562
LGA21890,147,302,206,156,231,125,52,1215,32,19,15,9,15,12,5,107,11,14,3,3,5,0,0,36,285,611,482,379,570,288,163,2786,15,14,16,9,13,6,8,83,11,29,20,17,16,8,3,107,26,49,33,28,29,18,13,188,309,663,510,408,604,308,177,2978,291,337,203,150,155,92,76,1313,10,10,8,3,0,0,0,33,612,1007,723,562,760,406,256,4319
LGA22110,89,190,109,86,89,11,4,582,23,12,11,17,15,4,0,86,0,3,4,7,4,0,0,23,156,297,222,183,213,36,7,1107,4,13,13,4,9,0,0,46,10,11,9,9,8,0,0,50,15,32,18,13,15,0,0,91,172,321,237,195,227,37,7,1196,186,217,109,82,70,10,0,671,6,12,9,3,9,0,0,39,359,551,357,286,300,44,11,1911
LGA22170,294,624,415,271,353,122,56,2141,61,53,34,24,33,10,11,220,10,21,13,13,13,5,3,85,534,1117,801,602,860,344,166,4422,14,34,15,25,28,6,0,125,24,56,28,20,16,5,0,146,34,88,49,48,45,15,0,276,565,1203,849,648,905,355,172,4690,589,596,362,263,265,89,39,2199,10,15,19,9,9,0,0,66,1164,1820,1229,914,1169,450,212,6957
LGA22250,22,41,23,16,16,0,0,121,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,6,27,48,41,28,37,0,0,195,3,5,9,0,3,0,0,19,0,6,0,0,0,0,0,8,9,6,8,0,6,0,0,28,31,53,55,34,43,0,0,222,48,46,27,21,16,0,0,157,0,0,5,0,0,0,0,10,83,109,79,53,60,0,0,388
LGA22310,141,267,229,200,230,136,94,1286,21,22,22,12,22,7,9,113,0,10,0,7,4,4,5,24,283,614,576,479,640,450,263,3311,5,13,11,14,10,6,4,60,5,18,10,9,12,8,10,71,11,29,15,22,24,14,10,129,292,648,591,500,669,464,278,3443,120,169,142,117,159,120,63,895,0,3,8,14,10,0,0,29,413,812,742,630,836,587,347,4362
LGA22410,35,67,44,46,51,10,4,257,3,8,4,0,0,0,0,23,0,0,0,0,0,0,0,4,51,106,92,88,108,12,7,462,0,6,3,0,5,0,0,14,3,14,6,0,3,0,0,27,11,17,15,4,5,3,0,46,59,121,106,88,109,18,7,509,82,107,43,33,31,7,0,302,3,4,6,0,0,0,0,16,147,232,154,119,140,25,7,825
LGA22490,42,52,54,36,35,11,9,241,5,3,4,0,9,0,0,19,0,4,0,0,0,0,0,7,61,111,101,64,91,35,10,478,0,3,0,0,4,0,0,4,3,5,6,4,0,0,0,25,3,9,6,4,8,0,0,34,67,116,104,67,100,35,14,503,56,44,37,30,19,4,0,195,5,0,4,0,0,0,0,11,130,160,143,106,119,39,14,709
