LGA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA23430,172,422,316,230,293,180,74,1679,44,31,23,17,21,16,9,154,9,13,3,7,10,7,0,53,356,827,707,510,773,478,249,3901,15,14,15,15,24,11,4,98,19,34,19,11,12,3,8,105,31,52,28,25,37,20,11,202,392,878,733,538,812,497,260,4109,214,292,158,134,171,89,54,1113,4,9,7,4,0,0,0,35,616,1183,904,671,987,587,315,5255
LGA23670,204,390,278,231,303,171,86,1666,34,34,27,18,34,20,9,178,9,19,6,3,7,7,3,53,367,777,659,534,823,455,269,3876,10,22,24,8,20,3,5,94,30,44,20,11,19,10,0,134,33,65,43,14,41,15,6,228,398,838,703,544,869,467,277,4106,342,397,215,153,218,71,60,1458,10,10,3,6,3,0,0,28,749,1244,918,707,1087,543,340,5586
LGA23810,187,339,231,131,167,43,15,1121,30,31,24,13,13,4,0,114,6,22,10,0,7,0,0,47,311,581,469,275,376,108,33,2147,19,37,33,20,21,3,5,142,37,48,26,11,16,4,0,140,48,89,57,31,36,6,6,276,364,669,527,309,413,114,38,2426,541,497,247,183,165,38,11,1683,15,26,20,7,3,0,0,74,914,1190,791,497,582,149,50,4184
LGA23940,4,0,12,7,8,0,0,29,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,16,17,14,25,4,0,94,0,7,4,0,0,0,0,13,0,0,0,0,0,0,0,3,0,10,4,0,0,0,0,15,15,28,26,14,25,4,6,110,40,33,15,11,5,5,0,113,0,0,0,0,0,0,0,0,48,61,46,26,30,8,6,223
LGA24130,63,155,98,89,103,39,17,566,12,22,11,0,7,3,0,62,0,4,0,0,5,0,0,12,99,302,217,188,265,99,37,1208,3,4,4,0,4,0,0,22,5,13,9,5,5,3,4,37,3,17,11,7,12,3,4,61,104,320,226,194,275,102,39,1268,105,113,66,41,48,21,11,406,3,5,0,3,0,0,0,16,215,436,296,240,322,124,53,1683
LGA24210,94,251,189,160,239,134,87,1157,17,21,20,8,17,13,8,108,0,6,13,3,5,3,0,30,188,535,430,371,563,370,222,2671,5,10,7,3,9,16,11,61,10,39,21,9,12,12,5,104,14,52,26,18,20,27,12,157,202,585,453,384,587,396,235,2833,106,222,167,118,190,128,105,1036,9,10,0,0,4,6,0,25,314,814,624,504,776,531,339,3900
LGA24250,19,39,22,16,12,0,0,113,0,6,0,3,5,0,0,13,0,0,0,0,0,0,0,3,22,65,40,28,33,4,0,204,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,6,30,66,40,28,33,4,0,205,16,16,6,0,4,0,0,46,0,0,0,0,0,0,0,0,40,85,48,30,43,4,0,253
LGA24330,98,147,111,69,81,69,36,617,18,23,12,8,12,9,5,86,5,6,3,3,6,0,0,25,195,402,297,206,293,195,111,1688,5,14,20,7,12,13,0,74,13,27,11,11,8,6,7,91,18,37,31,19,20,18,12,158,208,438,326,223,315,213,118,1843,168,212,132,95,123,71,49,838,0,0,5,7,5,0,0,26,380,647,458,327,445,282,165,2708
LGA24410,138,353,248,166,232,144,59,1344,17,19,18,14,27,10,3,117,8,7,3,6,10,0,0,42,262,670,539,398,599,370,174,3013,4,13,4,7,17,0,6,48,15,10,9,13,18,4,0,80,20,24,14,23,33,10,6,128,277,697,553,420,627,382,182,3142,199,254,145,111,138,68,35,951,6,7,3,0,3,6,0,17,481,955,701,534,768,451,224,4109
LGA24600,87,122,71,79,100,65,50,571,17,17,4,13,7,9,6,70,7,5,0,4,8,0,6,29,195,326,220,191,277,199,115,1520,11,10,3,10,0,11,3,47,17,24,11,3,15,14,7,91,28,35,13,11,15,23,11,135,223,360,232,198,286,221,122,1658,181,197,103,89,144,140,108,969,12,13,4,4,3,4,0,39,414,565,349,299,432,371,236,2663
LGA24650,300,567,371,266,372,114,68,2067,80,89,52,29,38,13,10,311,36,45,27,15,18,6,6,150,684,1217,882,652,916,381,217,4951,38,67,59,38,48,15,15,285,78,129,50,52,47,15,8,376,122,193,109,92,94,36,17,655,803,1410,988,745,1014,420,235,5604,961,1006,549,343,358,134,85,3445,21,27,10,13,3,4,3,82,1791,2433,1553,1103,1374,557,321,9128
LGA24780,127,228,156,102,122,30,4,773,28,28,11,8,12,0,0,87,5,15,9,13,9,0,0,57,240,438,330,252,332,80,18,1684,14,15,10,3,6,0,0,52,16,25,17,6,6,0,0,71,27,40,27,17,13,0,0,125,267,479,357,263,344,77,15,1810,309,331,170,119,84,27,5,1054,10,14,6,7,7,3,0,50,590,824,533,394,439,107,27,2913
LGA24850,98,170,128,70,89,34,15,595,19,12,9,8,9,0,0,65,8,4,6,9,4,4,0,38,178,326,262,171,236,80,38,1291,0,18,11,7,6,0,0,39,14,35,9,3,9,4,0,76,16,51,14,6,15,5,0,115,191,374,276,184,251,82,38,1407,241,250,127,77,83,25,16,812,6,15,0,0,5,0,0,23,441,640,404,257,339,109,54,2243
LGA24900,73,132,96,77,59,14,3,456,16,9,5,0,0,0,0,33,0,11,3,0,8,0,0,23,114,228,162,126,149,21,6,804,0,4,11,4,0,0,0,19,8,8,9,7,0,0,0,32,8,13,16,9,3,0,0,53,121,239,184,132,156,19,6,855,118,115,68,38,39,8,3,382,8,3,8,0,0,0,0,17,238,360,255,172,189,25,9,1246
LGA24970,146,341,289,215,305,239,113,1629,27,19,20,21,18,21,10,140,9,9,13,14,21,13,6,76,319,744,637,511,741,581,294,3818,4,24,10,10,22,12,5,87,16,33,23,11,28,22,13,144,20,50,27,25,50,37,12,225,342,796,668,531,792,620,310,4050,210,283,226,194,325,207,178,1620,15,11,10,12,5,6,5,61,564,1095,903,730,1120,831,490,5731
LGA25060,98,197,180,153,182,128,63,994,16,13,10,13,18,14,7,94,4,6,7,0,3,3,3,26,220,496,430,365,507,356,182,2552,10,13,8,15,14,14,3,76,16,15,12,7,13,3,0,67,29,25,21,18,25,16,7,143,244,527,451,381,530,373,186,2695,233,223,144,88,116,67,61,931,5,10,8,6,7,0,0,33,484,756,607,473,651,438,244,3660
LGA25150,54,142,117,63,73,25,6,472,15,6,14,11,5,6,0,61,3,4,6,0,0,0,0,15,111,257,240,159,174,71,33,1046,6,7,10,5,4,0,0,34,11,14,4,7,5,0,0,33,19,22,11,6,12,0,0,66,128,278,253,165,182,77,33,1114,142,150,89,51,58,18,10,519,0,0,0,4,4,0,0,15,269,425,342,218,242,96,47,1643
LGA25250,149,286,254,148,211,119,61,1228,38,25,18,18,26,19,10,137,4,10,0,11,3,3,0,37,313,656,548,355,593,368,194,3027,8,24,12,21,22,12,12,102,18,52,30,20,12,11,0,145,29,77,42,41,33,21,12,244,339,726,590,398,627,389,205,3272,292,359,188,157,207,112,81,1389,13,9,6,0,0,0,0,27,640,1099,778,551,833,508,284,4690
LGA25340,235,556,445,311,466,144,59,2211,50,90,42,32,40,25,6,283,9,12,12,7,21,3,0,63,428,996,815,633,940,347,164,4319,10,26,8,14,14,5,5,77,14,42,21,16,18,0,0,113,29,66,33,29,28,5,0,191,451,1063,850,660,975,350,163,4508,385,479,255,214,195,74,26,1623,5,11,14,9,4,0,0,52,848,1555,1121,877,1177,424,191,6187
LGA25430,25,93,63,45,48,10,0,292,7,10,8,3,4,0,0,29,0,0,0,0,0,0,0,6,40,134,117,83,112,27,7,519,0,0,0,3,0,0,0,5,4,4,4,0,3,0,0,14,6,10,4,6,6,0,0,23,42,143,118,89,110,29,7,536,61,51,25,28,28,6,0,200,0,0,0,0,5,0,0,4,112,195,144,115,140,30,10,748
LGA25490,25,64,43,31,29,6,0,201,0,5,5,0,6,0,0,14,0,0,0,0,0,0,0,3,43,92,88,63,63,13,6,366,0,0,4,0,0,0,0,9,0,4,0,0,0,0,0,5,0,4,3,0,4,0,0,10,41,97,85,64,67,11,6,377,41,43,33,24,18,3,0,156,0,3,3,0,0,0,0,11,86,139,121,89,85,12,5,538
LGA25620,26,37,25,24,28,4,3,151,0,6,0,0,9,0,0,20,3,4,0,0,0,0,0,6,36,71,63,37,63,12,8,295,4,5,0,0,5,0,0,9,0,3,0,0,6,0,0,12,5,8,0,0,9,0,0,24,39,79,61,41,66,14,8,318,26,22,35,29,29,10,3,151,3,0,0,0,0,0,0,3,71,104,93,71,104,24,14,475
LGA25710,40,107,102,90,118,50,27,533,6,13,3,8,7,5,4,41,0,0,3,0,4,0,0,12,91,235,238,199,320,155,104,1334,0,4,4,0,6,0,5,21,5,7,4,5,3,0,4,24,4,10,10,7,9,3,4,46,91,243,241,208,321,160,106,1382,88,88,64,37,50,32,17,370,3,5,0,4,0,0,0,16,181,330,313,251,377,191,124,1767
LGA25810,17,37,32,21,22,11,4,140,3,0,5,0,4,0,0,18,0,0,0,0,0,0,0,0,33,56,42,39,48,13,4,240,0,4,5,0,0,0,0,9,3,4,0,0,0,0,0,9,3,7,5,0,0,0,0,17,38,69,50,39,54,13,4,260,50,65,23,16,14,5,0,171,0,5,0,4,0,0,0,9,85,128,73,58,63,14,0,436
LGA25900,85,150,96,72,99,74,38,618,17,12,13,10,6,11,8,76,12,12,5,8,3,3,0,42,203,379,284,250,310,207,107,1741,12,13,8,5,4,5,6,52,9,25,8,4,12,4,4,60,19,37,16,10,20,14,3,111,221,411,304,265,322,221,112,1857,99,137,103,65,85,71,35,600,5,3,0,0,4,0,0,10,321,554,411,325,406,291,148,2462
LGA25990,8,24,16,9,11,0,0,75,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,7,18,44,37,20,17,3,0,143,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,7,6,5,0,3,0,0,0,11,16,49,37,24,17,3,0,149,29,17,15,12,10,0,5,82,3,0,0,0,0,0,0,5,51,66,53,33,23,3,6,238
LGA26080,6,4,5,3,7,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,18,3,15,4,4,53,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3,3,9,8,5,16,3,17,4,6,56,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,8,3,16,11,22,4,6,69
LGA26170,39,117,90,55,79,8,6,387,3,10,8,3,7,0,0,29,3,3,4,0,8,0,0,21,68,192,148,105,149,32,12,700,0,7,7,7,0,0,0,22,13,12,7,12,0,3,0,46,13,16,16,20,4,3,0,63,81,209,165,125,154,34,12,767,94,98,44,35,37,12,0,322,0,0,3,5,0,0,0,10,169,307,211,160,187,48,18,1097
LGA26260,35,57,51,33,35,5,0,220,9,10,5,3,0,0,0,33,0,0,0,0,0,0,0,0,47,105,82,66,85,14,4,403,0,0,0,0,0,0,0,3,0,3,6,4,0,0,0,15,0,3,6,8,0,0,0,20,49,109,86,73,86,15,4,426,47,55,23,20,16,5,0,176,6,4,4,0,0,0,0,11,104,170,114,92,108,21,4,611
LGA26350,67,141,97,85,115,89,59,650,18,10,7,5,10,9,0,63,4,6,7,5,0,3,0,27,171,315,260,210,322,242,145,1659,3,13,6,3,6,3,0,42,3,11,5,6,10,4,5,46,12,21,16,5,21,8,12,89,175,335,270,216,341,251,157,1750,80,117,103,81,124,99,75,671,0,4,4,0,3,0,0,13,264,451,375,299,464,350,232,2429
LGA26430,18,36,20,19,25,0,0,116,0,5,3,0,3,0,0,13,0,0,0,0,0,0,0,5,31,57,45,38,59,3,4,239,6,0,0,0,0,0,0,3,0,0,4,0,0,0,0,8,6,0,4,0,0,0,0,17,35,59,46,43,59,3,4,249,54,36,24,13,9,3,0,135,0,0,0,0,0,0,0,0,89,87,80,52,66,7,4,390
LGA26490,42,93,78,46,64,22,10,357,7,5,11,6,6,0,0,43,0,0,6,4,3,0,0,10,76,173,175,117,176,55,29,790,0,3,3,4,6,4,0,18,0,5,0,0,0,0,0,10,5,10,4,4,6,4,0,23,81,175,180,121,180,59,28,815,39,43,37,23,33,10,3,195,0,0,0,3,0,0,0,11,116,222,219,146,211,65,36,1017
LGA26610,47,71,45,44,39,11,0,262,12,8,4,0,5,0,0,31,0,0,0,0,0,0,0,5,74,145,97,76,84,31,4,510,0,4,8,0,4,0,0,14,0,11,0,3,0,0,0,15,3,8,7,3,3,0,0,28,79,154,107,81,88,27,6,540,101,105,66,57,38,8,0,374,0,0,0,3,0,0,0,5,179,266,170,134,123,35,6,918
LGA26670,8,13,12,8,11,4,0,53,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,10,15,26,23,21,25,3,0,109,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,26,25,21,29,3,0,111,8,13,4,12,0,0,0,39,0,0,0,0,0,0,0,0,25,42,35,26,26,7,0,157
LGA26700,70,106,106,63,65,14,4,424,10,12,9,3,3,3,0,40,3,7,6,0,3,0,0,21,116,211,189,140,158,40,10,863,4,9,11,7,0,0,0,27,7,9,6,6,3,0,0,31,7,16,16,13,7,0,0,52,118,230,206,152,162,40,10,922,103,111,68,29,46,6,3,365,0,0,0,3,0,0,0,5,227,335,272,185,212,45,13,1291
LGA26730,89,181,139,88,112,23,10,635,24,21,4,0,0,0,0,49,4,0,5,4,0,0,0,16,140,301,241,169,209,46,13,1123,3,11,0,5,4,0,0,23,4,11,9,3,7,0,0,28,7,16,14,9,11,0,0,59,154,321,254,178,218,46,15,1180,112,134,76,38,39,14,4,411,7,3,0,0,0,0,0,7,264,455,327,215,265,65,11,1600
LGA26810,87,165,93,81,98,18,6,546,13,18,14,10,7,0,0,66,0,9,8,5,8,0,0,25,137,271,201,183,194,42,15,1037,4,8,14,9,13,4,0,46,12,26,8,6,9,6,0,63,16,36,21,16,22,3,0,111,155,310,221,192,214,50,15,1151,173,183,101,69,65,20,12,619,3,4,5,5,0,0,0,13,333,490,326,271,276,65,22,1786
LGA26890,4,13,6,7,4,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,10,13,10,0,0,65,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,15,14,9,13,10,0,0,68,9,12,12,11,4,0,0,48,0,0,0,0,0,0,0,0,26,31,25,22,14,0,0,116
LGA26980,121,295,259,197,303,181,139,1503,20,23,13,14,20,14,8,113,0,7,7,3,3,4,8,31,267,637,553,451,743,525,347,3525,7,19,9,11,15,17,11,70,20,30,14,19,14,11,10,117,21,45,21,30,33,28,19,187,288,673,578,478,774,553,365,3714,197,275,189,184,278,196,123,1452,3,5,5,7,0,0,0,20,490,956,780,667,1049,754,486,5185
LGA27070,310,629,488,373,486,213,107,2599,60,69,40,28,44,13,9,268,15,29,17,7,14,5,3,86,603,1259,987,745,1105,525,298,5523,32,56,43,31,34,27,12,233,43,92,38,23,39,13,3,262,75,151,85,56,70,42,13,492,676,1408,1073,798,1182,568,318,6013,764,947,559,405,472,234,110,3478,31,33,19,16,3,6,3,94,1465,2380,1644,1218,1654,799,424,9588
LGA27170,133,221,147,93,123,20,10,752,16,18,9,5,6,6,0,60,4,10,10,7,0,0,0,39,203,441,307,193,263,70,26,1504,8,16,3,4,9,3,0,46,14,17,12,6,4,4,0,57,21,34,15,8,11,9,0,99,229,474,321,202,273,78,26,1604,238,267,157,91,113,24,4,902,0,3,3,9,8,0,0,19,462,750,482,301,391,107,33,2525
LGA27260,462,774,511,371,477,193,106,2891,89,119,72,53,64,32,14,445,32,57,39,17,26,14,3,190,969,1837,1290,915,1270,586,310,7171,68,124,63,45,59,19,26,404,96,151,74,63,53,16,13,456,169,275,135,108,109,32,35,868,1132,2111,1428,1025,1378,618,344,8033,1241,1287,663,491,569,236,144,4628,51,55,28,23,17,3,5,177,2426,3453,2118,1538,1957,857,486,12845
LGA27350,64,121,93,55,70,56,27,478,9,13,11,7,8,7,6,54,3,3,9,4,3,4,0,17,135,288,223,156,178,161,80,1213,9,10,15,10,14,7,0,61,12,17,9,3,5,9,6,65,21,32,26,14,20,14,5,129,154,317,252,172,201,172,78,1345,192,207,129,83,119,66,44,840,11,6,7,0,6,0,3,37,365,534,389,253,324,235,125,2216
LGA27450,212,488,367,268,363,125,66,1892,36,37,34,34,36,16,15,215,10,19,16,5,23,3,3,78,353,824,721,574,838,330,188,3827,7,22,14,15,13,8,3,74,16,22,20,20,15,5,0,93,18,44,38,30,30,13,3,172,378,869,757,606,863,341,186,3999,349,423,249,164,186,76,25,1468,7,4,6,9,3,0,0,28,732,1297,1012,773,1055,415,212,5499
LGA27630,9,26,21,14,16,4,0,94,5,0,3,0,3,0,0,11,0,0,0,0,0,0,0,4,11,37,31,28,34,5,0,152,5,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,5,0,0,0,5,0,0,9,12,37,39,33,37,5,0,162,25,32,24,16,12,4,0,115,0,0,0,0,0,0,0,0,39,72,57,45,51,4,5,278
LGA29399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,3,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,6,3,0,0,0,0,11,30,32,11,8,0,0,0,85,0,6,0,0,0,0,0,4,35,36,22,11,0,0,0,105
LGA30300,14,13,10,6,10,0,0,50,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,17,30,16,15,12,0,0,101,0,3,3,3,0,0,0,17,0,0,6,0,0,0,0,6,4,7,6,3,0,0,0,26,29,36,24,22,13,0,0,124,32,36,20,16,6,0,0,108,0,0,0,0,0,0,0,5,63,73,47,36,15,0,0,236
LGA30370,17,34,34,19,16,4,0,115,0,7,0,3,0,0,0,11,0,0,3,0,0,0,0,6,34,88,70,49,44,3,0,291,0,0,0,0,4,0,0,16,0,0,0,0,0,0,0,11,0,5,6,0,3,0,0,24,41,90,74,52,46,3,0,310,54,43,33,7,11,0,0,156,3,3,0,0,0,0,0,9,101,136,109,60,64,7,0,473
LGA30410,0,12,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,20,13,8,12,3,0,60,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,4,0,6,0,0,0,0,0,4,5,23,12,8,12,3,0,64,12,12,3,3,0,0,0,32,0,0,0,0,0,0,0,0,19,40,17,11,17,3,0,103
LGA30450,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
LGA30760,8,8,8,6,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,13,4,3,0,0,39,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,4,0,0,0,0,0,6,10,10,13,4,3,0,0,37,14,0,5,6,0,0,0,23,0,0,0,0,0,0,0,0,17,10,17,15,4,0,0,61
LGA30900,5,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,7,0,3,4,0,0,0,0,7,5,14,6,0,0,0,0,28,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,9,15,13,0,0,0,0,34
LGA31000,1318,2724,1966,1430,1883,830,405,10558,379,531,386,272,345,160,62,2127,74,116,81,59,51,33,11,438,3150,7048,5628,4141,5989,2800,1324,30081,132,296,205,135,198,74,28,1069,178,330,189,124,142,58,30,1040,309,625,390,260,338,126,59,2105,3459,7674,6018,4399,6328,2923,1385,32188,2607,2918,1821,1406,1575,756,420,11509,89,91,58,44,26,14,14,340,6164,10684,7905,5849,7932,3697,1811,44035
LGA31750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA31820,190,456,310,201,233,18,9,1421,33,28,10,15,16,7,0,108,22,22,18,18,11,0,0,84,372,786,625,436,532,61,25,2834,29,51,29,27,25,3,0,165,36,86,41,26,23,4,0,220,69,136,73,52,53,7,0,387,438,924,698,486,579,63,25,3221,558,519,339,229,183,14,9,1845,12,22,16,11,0,0,0,68,1011,1464,1051,731,765,82,28,5134
LGA31900,23,60,33,28,14,0,0,162,0,0,4,5,5,0,0,17,4,5,0,3,0,0,0,18,47,108,78,80,66,4,0,380,0,5,5,0,3,0,0,11,3,8,6,0,3,0,0,23,4,14,8,4,5,0,0,39,48,123,88,84,70,4,0,419,57,56,37,16,22,0,0,191,0,0,0,4,0,0,0,7,108,187,126,103,87,10,0,620
LGA31950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5
LGA32080,383,742,544,382,422,69,27,2574,60,71,30,28,29,0,6,216,11,24,13,20,14,4,0,85,691,1516,1162,909,1112,180,77,5655,40,90,82,48,43,14,4,319,74,104,72,48,48,13,3,360,120,192,148,96,92,24,8,677,810,1711,1313,1006,1201,205,88,6334,820,837,475,319,287,61,17,2819,25,38,27,17,7,0,0,108,1658,2576,1810,1338,1493,268,110,9254
LGA32250,0,9,3,0,0,0,0,18,3,0,0,0,0,0,0,9,4,3,3,0,0,0,0,10,8,24,17,13,0,0,0,66,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,11,8,30,20,13,0,0,0,72,28,33,11,5,0,0,0,81,3,3,8,0,0,0,0,10,44,61,33,22,0,0,0,165
LGA32260,50,117,94,61,64,0,3,399,4,6,9,5,6,0,0,31,3,5,4,4,6,0,0,23,87,188,183,122,153,9,6,745,8,20,16,10,7,0,0,62,21,27,11,6,5,4,0,64,24,43,27,20,15,4,0,125,111,231,210,140,164,13,6,869,160,152,87,49,46,7,0,502,6,7,4,4,0,0,0,20,274,387,297,198,212,21,5,1389
LGA32270,47,65,54,27,32,0,0,234,11,13,10,0,3,0,0,40,0,8,0,0,3,0,0,15,108,197,157,126,127,7,0,726,3,17,3,3,4,0,0,34,8,14,5,0,0,0,0,22,13,28,8,8,4,0,0,62,123,221,168,135,134,7,0,780,112,97,66,25,21,3,0,330,9,0,6,3,0,0,0,13,238,323,243,158,153,8,3,1125
LGA32310,19,45,40,12,23,0,0,143,8,7,0,0,9,0,0,26,0,4,0,5,0,0,0,14,43,116,95,75,73,10,0,404,6,5,0,0,0,0,0,17,10,10,9,5,6,0,0,34,13,21,7,10,3,0,0,54,58,130,99,74,79,10,0,455,53,48,31,21,9,4,0,161,4,10,0,0,0,0,0,9,109,182,135,99,94,11,0,628
LGA32330,5,8,5,0,5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,11,7,5,3,0,53,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,3,5,9,0,0,0,0,0,12,12,23,14,7,6,3,0,62,55,83,40,26,4,0,0,213,0,0,0,0,0,0,0,0,68,108,51,30,11,3,0,278
