LGA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA10800,2232,2223,4458,1061,540,1607,210,558,772,93,78,168,47,27,77,1410,1215,2623,597,818,1410,3.2,2.5,2.9,63.1,54.5,58.8,61.1,53.2,57.2,17,31,46,16,38,54,113,248,363,97,191,288,609,322,930,19,59,77,21,49,75,649,428,1073,2201,2186,4391,242,262,504,1620,1546,3166,701,769,1469
LGA10850,2949,3030,5977,1363,814,2171,344,756,1098,122,107,226,89,69,159,1914,1743,3658,811,1084,1893,4.6,4,4.3,65,57.6,61.2,62,55.3,58.6,62,92,152,35,82,116,238,428,662,167,310,475,871,490,1367,35,72,116,52,81,136,964,647,1614,2956,3017,5974,450,463,916,2061,2070,4133,1145,1247,2392
LGA10900,30905,33588,64491,11582,7616,19204,4788,8028,12816,1896,2377,4272,863,592,1456,19133,18616,37749,10713,13814,24528,4.5,3.2,3.9,61.9,55.4,58.5,59.1,53.7,56.3,2539,3266,5806,849,1592,2438,5352,7475,12828,3119,4358,7471,7285,3666,10950,280,478,757,628,962,1587,8197,5101,13297,32110,34285,66388,4086,4265,8351,23092,24729,47827,11448,12165,23613
LGA10950,1008,980,1988,542,291,836,70,214,287,37,46,79,23,26,40,671,567,1241,243,324,566,3.3,3.9,3.5,66.6,57.9,62.3,64.4,55.7,60.1,14,21,33,6,15,23,51,119,169,38,63,103,251,128,380,6,14,18,11,26,42,272,162,439,960,943,1905,136,149,290,701,676,1379,343,349,699
LGA11150,898,921,1820,402,306,705,66,140,207,34,39,76,15,15,27,522,495,1016,206,265,473,2.7,2.6,2.7,58.3,53.5,55.9,56.8,52.1,54.4,18,21,34,4,12,20,56,126,180,51,76,127,154,89,248,12,9,18,10,13,23,177,113,290,799,775,1582,124,148,273,578,584,1157,277,279,558
LGA11200,528,551,1080,166,136,302,37,68,108,12,20,38,20,10,34,242,237,481,193,226,413,9.1,5.1,7.1,46,43.1,44.5,41.8,40.9,41.4,8,15,19,7,8,9,20,50,75,16,35,53,74,42,115,5,18,15,5,4,6,78,55,133,479,481,965,80,65,150,366,361,727,153,156,311
LGA11250,7073,7516,14592,2589,1832,4422,748,1433,2178,274,300,572,267,153,419,3870,3720,7586,2618,3161,5778,6.9,4,5.5,54.7,49.4,52,50.9,47.4,49.1,99,157,252,60,167,224,326,717,1042,338,552,893,1951,1041,2989,71,130,198,84,169,254,2106,1342,3446,6690,7005,13696,954,1060,2020,5029,5163,10186,2218,2534,4761
LGA11300,17309,18109,35414,5412,4318,9734,2868,3657,6533,1261,1238,2502,851,582,1433,10397,9800,20193,5801,7177,12977,8.2,5.9,7.1,60.1,54.1,57,55.2,50.9,53,1977,2140,4118,236,433,674,4073,4529,8604,1756,1981,3740,1541,923,2465,82,155,237,208,290,498,1835,1369,3198,14016,14957,28975,4430,4381,8812,8521,9350,17868,9256,9316,18573
LGA11350,14389,15912,30299,4225,2726,6949,3301,5152,8455,601,722,1328,457,447,901,8584,9049,17631,4298,5308,9606,5.3,5,5.1,59.7,56.9,58.2,56.5,54,55.2,762,1123,1881,272,542,814,2653,3840,6491,1259,2108,3359,2982,1410,4395,92,193,281,251,378,629,3329,1981,5306,12501,13307,25808,2902,3486,6383,7879,8158,16032,6773,7911,14689
LGA11400,5424,5551,10970,2606,1396,4002,641,1503,2151,169,208,379,93,78,174,3517,3184,6701,1500,1963,3462,2.7,2.4,2.6,64.8,57.4,61.1,63.1,56,59.5,148,204,354,51,130,185,494,872,1367,347,590,939,1509,749,2255,54,115,173,75,138,216,1638,1006,2644,5581,5693,11272,649,611,1265,4054,4023,8074,1878,1966,3836
