LGA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA12850,83678,87551,171228,18956,13723,32677,7980,10518,18496,7249,5413,12658,3519,2550,6070,37699,32203,69900,40198,49496,89693,9.3,7.9,8.7,45,36.8,40.8,40.8,33.9,37.3,1585,1801,3386,371,748,1117,8406,9865,18272,5321,7021,12338,10849,6305,17150,619,1115,1735,1074,1625,2697,12540,9043,21583,86348,89025,175368,9415,9598,19015,61763,63924,125692,29227,30084,59309
LGA12870,5374,5505,10875,2105,1102,3210,549,1292,1844,183,227,411,105,85,189,2940,2712,5654,2020,2389,4413,3.6,3.1,3.4,54.7,49.3,52,52.8,47.8,50.2,57,82,145,41,105,143,267,521,786,276,497,776,1618,830,2450,36,102,140,72,104,181,1729,1038,2770,5036,5106,10144,810,819,1624,3492,3523,7015,2082,2166,4249
LGA12900,3702,3767,7469,1680,943,2631,386,878,1272,125,132,254,88,73,164,2282,2034,4312,1101,1416,2507,3.8,3.7,3.7,61.6,54,57.7,59.2,52,55.6,46,89,138,22,74,91,227,475,698,175,322,494,983,525,1508,40,77,118,60,114,184,1085,721,1806,3599,3686,7284,539,574,1115,2543,2574,5116,1379,1444,2825
LGA12930,62451,65558,128007,21349,16424,37777,9046,12942,21989,5787,4921,10699,2231,1641,3874,38409,35929,74332,21026,26257,47285,5.8,4.6,5.2,61.5,54.8,58.1,57.9,52.3,55,6096,5921,12013,902,1535,2434,13803,15448,29250,5985,7497,13483,8572,4216,12788,395,703,1103,1042,1666,2702,10005,6581,16594,59938,62314,122248,11230,10776,22009,40436,43011,83447,27290,27008,54298
LGA12950,1697,1778,3472,716,385,1096,136,425,562,52,76,129,49,42,90,959,927,1883,530,647,1177,5,4.4,4.7,56.4,52.1,54.2,53.6,49.8,51.6,10,28,39,10,19,27,71,238,308,56,149,201,422,260,686,16,26,43,26,37,65,471,326,792,1641,1662,3299,173,215,387,1257,1243,2498,444,539,986
LGA13010,3721,3839,7563,1126,759,1892,435,779,1214,108,125,236,129,98,227,1805,1763,3564,1544,1686,3228,7.1,5.6,6.4,48.4,45.9,47.1,44.9,43.3,44.1,45,63,105,35,74,108,220,400,617,178,349,527,885,559,1442,52,91,141,58,90,142,990,736,1730,3291,3397,6684,507,601,1105,2337,2399,4739,1285,1446,2730
LGA13310,13150,13120,26268,5429,3375,8798,1529,2996,4525,470,554,1024,351,287,641,7785,7204,14988,4496,5086,9585,4.5,4,4.3,59.2,54.9,57.1,56.5,52.7,54.6,337,422,758,152,324,475,955,1534,2490,906,1465,2377,3639,2058,5695,117,224,344,226,368,594,3986,2648,6637,12164,12396,24558,2239,2296,4542,8086,8045,16134,5535,5913,11451
LGA13340,4491,4416,8911,1951,1023,2978,491,1183,1670,176,183,355,90,60,150,2703,2452,5152,1394,1589,2981,3.4,2.5,2.9,60.2,55.5,57.9,58.1,54.1,56.2,78,107,186,33,103,137,299,597,895,263,461,719,1229,680,1910,46,73,122,54,104,154,1334,858,2190,4474,4283,8758,608,649,1266,3164,2981,6139,1655,1706,3365
LGA13450,10908,10917,21827,5712,3188,8895,1205,2859,4070,325,404,729,241,186,423,7481,6634,14114,2459,3389,5847,3.2,2.8,3,68.6,60.7,64.7,66.4,59.1,62.7,234,279,516,68,187,252,887,1347,2237,582,883,1466,2608,1345,3955,73,200,270,137,270,410,2819,1815,4634,10722,10734,21456,1519,1526,3045,7068,7127,14199,4464,4427,8891
LGA13550,4940,5096,10037,2444,1370,3818,471,1208,1679,170,206,377,132,131,259,3219,2918,6134,1241,1751,2988,4,4.5,4.2,65.1,57.2,61.1,62.5,54.7,58.5,76,100,176,29,92,121,313,593,904,208,458,664,1377,821,2197,62,94,151,74,139,211,1508,1055,2565,4861,4903,9760,863,928,1793,3197,3165,6360,2154,2320,4473
LGA13660,2003,2041,4047,814,427,1236,167,442,607,54,59,107,50,39,85,1080,959,2041,736,896,1632,4.5,3.9,4.2,53.8,47.1,50.4,51.4,45.3,48.3,24,31,55,9,31,39,102,234,338,81,183,265,442,264,712,25,35,58,36,41,76,504,339,846,1933,1944,3880,238,256,492,1424,1449,2878,660,665,1315
LGA13800,26791,27572,54359,11565,7097,18658,3818,6673,10495,1996,2216,4210,614,498,1109,17991,16479,34476,7462,9811,17279,3.4,3,3.2,67.2,59.8,63.4,64.9,58,61.4,770,1162,1936,259,661,918,2069,3694,5764,2021,3392,5408,8928,4094,13024,203,558,755,438,797,1237,9574,5444,15017,27526,27752,55269,3977,4129,8107,18902,19058,37963,10781,11145,21926
LGA13850,1211,1205,2417,524,269,793,117,289,407,41,46,84,29,18,54,713,621,1337,336,445,778,4.3,3.2,3.8,59,51.8,55.4,56.4,50.1,53.3,5,16,22,3,26,29,62,87,147,58,99,158,276,164,443,8,22,31,9,9,23,294,199,498,1082,1078,2160,156,169,326,800,790,1589,378,391,766
LGA13910,7579,8033,15611,3072,1719,4793,811,1866,2680,263,318,582,202,173,370,4348,4075,8424,2583,3331,5912,4.6,4.2,4.4,57.4,50.7,54,54.7,48.6,51.6,138,160,299,36,123,159,459,917,1369,398,768,1164,1944,1113,3055,81,153,235,125,200,322,2140,1470,3615,7507,7796,15297,1058,1114,2173,5218,5372,10594,2845,3100,5945
LGA14000,59362,63592,122954,26942,18305,45247,8357,14457,22812,3031,3722,6744,1740,1463,3210,40071,37943,78017,17418,23425,40843,4.4,3.9,4.1,67.5,59.7,63.5,64.6,57.4,60.8,8804,8001,16802,1497,2406,3898,15601,18077,33678,5469,7281,12755,7967,3939,11905,377,633,1008,1018,1756,2774,9351,6333,15685,62519,65237,127757,9135,9297,18430,43060,44962,88022,25250,26336,51583
LGA14100,5372,5870,11237,2228,1440,3665,762,1186,1948,289,328,611,106,113,217,3383,3057,6439,1680,2360,4042,3.1,3.6,3.3,62.9,52.1,57.3,61,50.2,55.4,770,714,1483,124,236,360,1578,1633,3211,407,681,1090,485,241,725,26,52,79,81,139,222,597,438,1028,5458,5626,11086,723,770,1493,3845,4083,7932,2118,2077,4195
LGA14170,75515,80601,156117,35096,30520,65611,10933,16111,27039,4379,5175,9555,2497,2125,4623,52905,53925,106832,18679,23063,41745,4.7,3.9,4.3,70.1,66.9,68.4,66.7,64.3,65.5,9782,12287,22071,2070,3513,5577,21873,25787,47658,6517,7714,14231,8047,4127,12178,461,663,1117,1050,1423,2470,9557,6210,15767,67026,70596,137623,17048,18245,35294,41179,44334,85516,38974,40895,79865
LGA14220,7042,7390,14430,2625,1631,4251,742,1602,2340,220,258,470,260,209,469,3839,3693,7534,2491,3034,5524,6.8,5.6,6.2,54.6,50,52.2,50.9,47.2,49,60,100,162,44,123,164,383,747,1130,348,621,966,1804,1170,2975,81,159,234,87,195,278,1970,1523,3487,6556,6802,13363,1212,1272,2488,4569,4696,9265,2741,2979,5723
LGA14300,3128,2236,5363,1077,529,1608,193,525,721,81,100,180,75,42,112,1424,1195,2629,1543,904,2445,5,3.6,4.4,45.6,53.6,49,43.3,51.7,46.8,20,43,63,19,48,63,126,256,384,124,199,325,632,376,1010,36,44,78,36,64,96,701,486,1191,2246,2214,4456,373,329,700,1541,1536,3076,939,869,1808
LGA14350,12864,12745,25614,3268,2210,5479,1579,2732,4311,407,474,881,490,343,827,5738,5760,11495,6177,5972,12151,8.5,5.9,7.2,44.6,45.2,44.9,40.8,42.5,41.7,136,216,356,100,224,320,684,1251,1940,609,1193,1804,3609,2048,5655,139,264,407,191,370,562,3940,2678,6621,11607,12027,23636,1696,1760,3451,7991,8116,16108,4613,5037,9650
LGA14400,9238,10036,19277,3559,1893,5448,1237,2583,3820,404,539,941,187,173,361,5388,5185,10573,3377,4356,7732,3.5,3.3,3.4,58.3,51.7,54.9,56.3,49.9,53,596,705,1299,233,479,707,1691,2115,3805,930,1344,2278,2506,999,3507,79,176,257,187,361,551,2781,1536,4317,9217,9674,18896,1355,1495,2846,6372,6621,12989,3689,4096,7781
LGA14500,47410,52508,99922,21054,14121,35175,6815,11559,18373,2090,2948,5037,1438,1135,2572,31393,29764,61155,14849,21343,36191,4.6,3.8,4.2,66.2,56.7,61.2,63.2,54.5,58.6,9300,8228,17532,1376,2172,3549,15473,17073,32538,3650,5656,9307,2968,1656,4623,201,358,559,685,1222,1909,3857,3235,7088,50188,53805,103997,7888,8501,16387,34125,36748,70869,21449,23133,44589
LGA14550,3912,3967,7875,1157,693,1847,507,913,1422,128,125,251,123,94,220,1918,1815,3740,1605,1756,3364,6.6,5.1,5.8,49.1,45.9,47.5,45.8,43.6,44.7,71,84,154,45,92,133,278,497,775,232,447,678,951,563,1511,50,89,140,66,99,170,1068,752,1820,3623,3636,7262,487,544,1034,2627,2540,5168,1309,1459,2766
LGA14600,2377,2418,4797,1052,552,1610,216,543,758,75,81,160,73,62,144,1424,1245,2664,680,885,1570,5.4,5.1,5.2,59.9,51.4,55.6,56.7,48.8,52.7,35,42,78,13,45,54,107,248,359,84,194,275,484,280,764,23,39,60,49,51,95,555,372,923,2300,2253,4555,333,348,685,1702,1637,3339,779,816,1594
LGA14650,84390,90692,175079,34823,20259,55083,11087,23884,34971,3160,4198,7361,2656,1999,4662,51731,50336,102070,29042,36529,65574,5.1,4,4.6,61.3,55.5,58.3,58.1,53.3,55.6,3154,3508,6663,1097,2315,3412,9257,14008,23269,6846,10031,16882,26234,13446,39671,854,1619,2472,1514,2817,4330,28596,17882,46482,86011,90033,176041,12795,13876,26675,58731,60889,119615,34878,37974,72852
LGA14700,15599,16661,32254,8173,6372,14550,2202,3407,5602,709,970,1681,425,382,814,11516,11132,22651,3531,4860,8392,3.7,3.5,3.6,73.8,66.8,70.2,71.1,64.5,67.7,2894,2834,5726,477,736,1209,5302,6041,11341,1249,1664,2912,1206,678,1885,71,118,190,205,340,549,1484,1134,2620,14991,15663,30650,3439,3457,6898,8711,9262,17971,8777,8938,17712
LGA14750,4431,4608,9041,2136,1187,3321,415,1062,1475,127,145,276,105,100,202,2784,2494,5274,1249,1721,2965,3.7,4,3.8,62.8,54.1,58.4,60.4,52,56.1,62,65,131,35,69,99,268,475,745,183,332,514,1191,663,1851,44,88,133,58,103,162,1285,855,2141,4383,4502,8884,696,738,1437,2900,2866,5766,1890,2111,3998
LGA14850,17838,18917,36751,6398,4244,10636,3026,5091,8115,567,730,1291,631,456,1087,10615,10521,21135,5879,7002,12878,5.9,4.3,5.1,59.5,55.6,57.5,56,53.2,54.6,684,800,1484,284,640,922,2059,3206,5266,1231,2030,3263,4457,2700,7153,211,355,564,280,532,812,4950,3585,8534,17073,17677,34748,2782,2977,5761,11484,11819,23306,7459,8009,15467
LGA14870,8777,8650,17426,3058,1661,4718,900,1932,2829,351,404,753,298,189,483,4603,4189,8790,3511,3881,7389,6.4,4.5,5.5,52.4,48.4,50.4,49.1,46.2,47.7,164,206,365,78,185,265,522,870,1389,520,799,1314,2642,1284,3923,109,201,311,124,219,343,2879,1693,4573,8222,8272,16494,1086,1167,2255,5909,5927,11832,2968,3098,6068
LGA14900,89578,92294,181869,28631,21073,49704,10057,14801,24858,8939,6457,15394,3545,2813,6361,51175,45142,96313,32331,41208,73540,6.9,6.2,6.6,57.1,48.9,53,53.2,45.9,49.5,3994,4365,8360,695,1350,2044,11427,14754,26180,7378,9862,17243,15740,8442,24180,644,1305,1946,1314,2172,3489,17696,11920,29620,94658,95876,190530,12854,13147,26007,62250,63312,125559,38192,39219,77413
LGA14920,3078,3138,6222,1224,659,1887,284,664,947,102,106,211,102,91,189,1713,1523,3236,992,1243,2234,5.8,6,5.9,55.6,48.5,52,52.4,45.6,49,36,44,83,7,34,48,135,305,449,121,252,371,759,433,1187,38,78,109,56,80,135,850,586,1438,2850,2810,5653,452,467,919,2060,2017,4079,1068,1101,2173
LGA14950,1304,1327,2636,601,299,904,104,317,417,43,49,90,23,26,43,767,684,1452,423,537,965,2.5,3.3,2.9,58.9,51.7,55.3,57.5,50,53.7,14,24,36,6,32,40,53,163,218,79,135,209,372,183,559,22,37,57,30,33,62,426,251,675,1353,1355,2709,146,169,312,975,1016,1991,433,432,865
LGA15050,34033,36923,70959,16265,9613,25878,4419,9851,14271,1295,1836,3131,1133,982,2118,23114,22283,45403,9460,13188,22645,4.9,4.4,4.7,67.9,60.4,64,64.6,57.7,61,888,1105,1991,349,832,1183,2857,4918,7774,2676,4008,6688,10811,6688,17493,381,734,1109,507,929,1437,11700,8349,20041,34851,36714,71568,6586,7201,13787,21366,22212,43576,17477,19222,36695
LGA15240,39941,42566,82510,10733,6643,17379,4913,8986,13894,1314,1435,2750,1294,933,2231,18252,17993,36246,18707,21424,40128,7.1,5.2,6.1,45.7,42.3,43.9,42.5,40.1,41.2,833,936,1773,393,766,1164,2799,4406,7201,2582,4357,6937,11785,6157,17943,444,890,1331,741,1304,2041,12974,8340,21313,36852,38656,75504,6105,6562,12668,24715,25629,50344,16498,17845,34343
LGA15270,10305,10293,20595,4533,2260,6792,1101,2696,3794,379,464,841,248,216,470,6261,5640,11895,3216,3882,7096,4,3.9,4,60.7,54.8,57.8,58.3,52.6,55.5,174,289,464,67,195,263,748,1284,2024,575,1019,1595,3366,1694,5060,121,209,325,165,312,476,3651,2208,5862,9989,9836,19833,1737,1791,3531,6387,6096,12493,4700,4911,9609
LGA15300,5018,5109,10132,2159,1356,3510,392,958,1353,148,188,334,115,92,209,2812,2594,5408,1117,1437,2556,4.1,3.5,3.8,56,50.8,53.4,53.7,49,51.3,54,78,129,26,97,122,317,598,914,242,423,661,984,557,1543,41,88,129,34,93,125,1061,741,1798,4161,4177,8337,726,733,1461,3006,2949,5953,1560,1702,3264
LGA15350,10707,13010,23719,5039,3964,9002,1560,2457,4017,476,662,1132,236,286,522,7307,7368,14676,3027,5192,8220,3.2,3.9,3.6,68.2,56.6,61.9,66,54.4,59.7,1917,1902,3823,307,522,832,3812,4475,8289,810,1508,2323,698,407,1103,34,71,107,137,305,445,868,779,1650,10322,12144,22465,2145,2508,4656,6626,7860,14484,5322,6270,11597
LGA15520,5296,5384,10681,2160,1097,3253,581,1370,1953,189,257,448,102,86,181,3027,2806,5834,1817,2160,3970,3.4,3,3.2,57.2,52.1,54.6,55.2,50.6,52.9,67,92,155,41,134,172,339,657,998,329,506,828,1461,671,2125,36,65,98,72,88,156,1567,822,2382,4934,5007,9940,832,838,1669,3279,3285,6564,2193,2324,4518
LGA15560,1442,1345,2785,739,352,1089,102,345,451,58,49,108,26,19,49,930,772,1698,367,440,805,3.2,2.9,3.1,64.4,57.3,61,62.3,55.6,59.1,15,24,40,4,32,39,79,142,226,67,120,184,347,149,494,11,37,48,19,29,48,374,217,587,1352,1235,2591,192,182,379,1002,896,1897,460,452,914
LGA15650,6568,6324,12894,3047,1630,4676,638,1522,2161,248,269,517,220,181,397,4158,3593,7751,1947,2328,4276,5.3,4.9,5.1,63.3,56.8,60.1,59.9,54,57,81,90,175,41,88,127,259,564,827,340,528,871,2097,1161,3264,75,141,214,89,155,242,2264,1456,3714,6246,6126,12369,1209,1220,2426,3958,3822,7782,3042,3116,6160
LGA15700,8320,8873,17188,2069,1354,3429,1154,1953,3108,268,281,553,309,202,519,3808,3799,7602,3849,4399,8244,8.2,5.4,6.8,45.8,42.8,44.2,42,40.5,41.2,147,197,342,80,202,284,621,973,1590,471,904,1374,2357,1340,3694,106,220,322,117,251,366,2578,1804,4385,7899,8271,16168,1075,1199,2273,5315,5496,10809,3245,3539,6784
LGA15750,5095,5067,10166,2443,1377,3825,484,1105,1591,168,197,364,132,109,245,3228,2796,6022,1280,1735,3015,4.1,3.9,4,63.3,55.2,59.3,60.7,53,56.9,87,85,172,31,79,106,280,552,827,223,408,629,1205,774,1980,47,94,141,71,119,190,1319,982,2303,4869,4778,9651,689,752,1446,3491,3430,6926,1738,1801,3536
LGA15800,2237,2313,4551,941,510,1450,223,525,744,59,73,139,81,48,128,1304,1158,2463,710,945,1648,6,4.2,5.2,58.4,50,54.1,54.9,47.9,51.3,35,28,59,17,40,56,112,260,370,102,190,292,523,300,817,33,53,78,27,50,80,573,406,978,2192,2238,4429,300,326,623,1552,1580,3130,785,856,1640
LGA15850,2488,2520,5013,1113,621,1734,211,522,737,73,105,181,65,60,121,1466,1310,2773,706,873,1579,4.3,4.5,4.4,58.7,51.9,55.3,56.2,49.6,52.9,18,35,57,11,38,53,137,311,448,102,221,316,624,328,946,29,51,79,31,57,87,676,436,1112,2393,2299,4685,337,348,687,1747,1670,3416,796,855,1653
LGA15900,68894,72624,141514,29004,19451,48453,11308,20204,31512,2637,3462,6096,2638,1757,4392,45583,44873,90454,19656,24050,43710,5.8,3.9,4.9,66.2,61.8,63.9,62.3,59.4,60.8,4505,4968,9473,1197,2321,3516,11693,15388,27087,5283,7203,12487,15701,8680,24387,692,1065,1753,1017,1584,2598,17409,11329,28740,63770,65809,129582,14149,15064,29212,40108,41374,81482,33973,35815,69781
LGA15950,28029,32198,60221,15362,13817,29180,3567,5572,9139,1148,1720,2861,784,712,1487,20859,21809,42671,5913,8974,14888,3.7,3.2,3.5,74.4,67.7,70.9,71.6,65.5,68.4,5327,5696,11020,893,1549,2443,10330,12011,22342,2358,3358,5713,1923,1165,3089,119,189,312,369,624,991,2404,1984,4390,23204,25987,49189,7488,8564,16054,12174,14270,26448,17151,19020,36170
LGA15990,103861,110961,214822,47514,31470,78987,16555,27543,44098,5432,7711,13145,2473,2034,4513,71976,68759,140732,28054,37880,65932,3.4,3,3.2,69.3,62,65.5,66.9,60.1,63.4,9780,9541,19314,2110,3927,6038,25514,30221,55730,10105,14773,24872,18495,7604,26095,621,1311,1930,2103,3453,5561,21223,12362,33585,105429,110078,215507,17683,18556,36241,70824,74510,145337,46415,48355,94773
LGA16100,2435,2190,4626,1025,532,1557,225,475,700,105,88,193,48,40,89,1402,1135,2539,754,806,1565,3.5,3.5,3.5,57.6,52,54.9,55.6,50.2,53,60,49,112,17,46,67,158,283,435,114,197,312,688,277,957,27,37,59,35,60,97,742,370,1111,2158,2042,4199,295,299,594,1476,1394,2866,862,858,1715
LGA16150,16253,17878,34134,7721,5218,12940,1999,4340,6343,482,681,1165,407,339,748,10613,10581,21195,4636,6256,10891,3.8,3.2,3.5,65.3,59.2,62.1,62.8,57.3,59.9,737,805,1539,228,496,724,1916,3076,4994,1166,1872,3043,4177,2624,6803,175,316,495,233,507,738,4585,3450,8032,16380,17404,33779,3191,3358,6550,9815,10474,20284,8443,9147,17590
LGA16200,5636,5792,11429,2480,1466,3947,570,1310,1882,176,186,366,211,117,336,3440,3088,6528,1730,2294,4017,6.2,3.9,5.1,61.1,53.3,57.1,57.3,51.2,54.2,85,115,200,44,87,129,329,661,992,273,473,747,1491,966,2454,64,107,170,84,174,253,1638,1238,2880,5598,5712,11308,855,873,1728,3820,3891,7711,2221,2359,4573
LGA16260,104821,105266,210087,42916,31251,74165,14082,19240,33328,8346,7201,15548,3788,3689,7470,69135,61379,130510,30431,38869,69297,5.5,6,5.7,66,58.3,62.1,62.3,54.8,58.6,15926,15197,31116,1894,2896,4783,27543,29388,56928,9345,10730,20074,11489,6005,17501,603,957,1566,1352,2133,3480,13446,9098,22545,95639,96909,192542,24682,23980,48662,53897,56080,109980,59595,58238,117835
LGA16350,83835,87711,171550,35756,24496,60248,11132,17608,28740,6306,6792,13100,2578,2304,4881,55771,51202,106975,23141,31313,54453,4.6,4.5,4.6,66.5,58.4,62.4,63.5,55.7,59.5,3221,3838,7065,762,1570,2333,8107,12151,20257,6105,9096,15202,21759,12262,34023,776,1528,2300,1343,2112,3452,23876,15895,39772,86132,88123,174252,13224,14004,27227,55857,56921,112772,36910,39084,75991
LGA16380,34462,38436,72905,11512,7745,19259,4822,9235,14061,995,1281,2275,982,805,1789,18309,19073,37384,14335,17488,31821,5.4,4.2,4.8,53.1,49.6,51.3,50.3,47.5,48.8,1076,1212,2291,476,943,1419,3346,5320,8667,2691,4372,7064,10169,5806,15970,361,771,1140,707,1221,1926,11232,7799,19035,33037,35943,68982,5969,6603,12569,20737,22290,43029,16525,18677,35207
LGA16400,30471,31914,62387,10924,5866,16790,3726,7658,11384,1296,1510,2812,940,686,1632,16887,15724,32614,11843,14466,26308,5.6,4.4,5,55.4,49.3,52.3,52.3,47.1,49.7,759,844,1602,326,676,1002,2341,3618,5961,2486,3542,6028,9700,5082,14782,323,659,981,524,1005,1527,10550,6745,17292,29552,30568,60121,5042,5249,10283,18962,19447,38408,14089,14825,28913
LGA16490,25445,25495,50943,13845,9710,23555,3266,5851,9123,872,1237,2114,601,500,1096,18590,17299,35883,5515,6957,12475,3.2,2.9,3.1,73,67.9,70.4,70.7,65.9,68.3,2313,2057,4370,585,1037,1628,3487,4866,8353,2373,2957,5325,5820,2983,8805,228,369,596,338,568,903,6385,3921,10301,25185,24923,50104,4652,4572,9226,15716,15469,31188,12371,12364,24740
LGA16550,54825,58759,113579,23269,19409,42675,7733,11901,19636,2964,3804,6764,1677,1405,3083,35640,36520,72162,15808,18974,34775,4.7,3.9,4.3,65,62.1,63.5,62,59.8,60.8,7179,7689,14866,989,1938,2931,13812,17565,31380,4133,6056,10189,7391,3063,10458,285,481,770,764,1208,1971,8438,4756,13192,47705,51147,98850,12492,13433,25927,29968,32778,62750,27330,29080,56407
LGA16610,9466,9788,19254,3074,1924,4999,1251,2176,3428,331,369,699,244,208,449,4904,4669,9571,3612,4192,7810,5,4.4,4.7,51.8,47.7,49.7,49.2,45.6,47.4,121,142,259,61,148,214,465,913,1375,401,844,1245,2476,1624,4101,113,189,297,135,260,400,2724,2077,4799,8953,9237,18188,1357,1406,2766,6257,6349,12606,3562,3843,7403
LGA16700,52218,55936,108154,22917,17480,40389,7435,10832,18269,3205,3702,6904,1845,1651,3495,35400,33658,69053,14525,19793,34314,5.2,4.9,5.1,67.8,60.2,63.8,64.3,57.2,60.6,8024,8216,16245,949,1729,2680,14786,16489,31273,4547,5684,10236,5907,2959,8869,273,484,763,733,1297,2022,6914,4740,11651,48222,50912,99139,11669,11913,23585,28597,30404,59001,28271,29474,57745
LGA16900,29670,31983,61655,11918,6880,18795,3742,7713,11455,1836,2443,4277,881,685,1565,18371,17720,36088,9760,12772,22532,4.8,3.9,4.3,61.9,55.4,58.5,59,53.3,56,696,848,1547,261,656,918,2216,3704,5923,2319,3583,5899,9583,5382,14966,292,628,927,489,1057,1544,10366,7067,17434,30240,31606,61845,4687,5099,9790,20281,21098,41375,12682,13798,26482
LGA16950,44814,46375,91186,14070,8226,22299,5895,10776,16673,1505,1823,3329,1235,945,2181,22701,21770,44471,19307,21770,41077,5.4,4.3,4.9,50.7,46.9,48.8,47.9,44.9,46.4,1338,1620,2964,540,1286,1825,3809,5816,9628,3228,5038,8263,13759,6814,20570,450,906,1358,821,1483,2300,15021,9204,24224,41770,43238,85014,7066,7439,14501,27754,28442,56193,18710,20112,38826
LGA17000,10055,9446,19501,5184,2357,7534,1041,2552,3592,442,535,975,251,216,467,6917,5658,12574,2391,3266,5655,3.6,3.9,3.7,68.8,59.9,64.5,66.3,57.6,62.1,180,186,365,65,164,229,661,1023,1682,630,869,1495,3443,1885,5322,126,200,329,114,303,414,3679,2385,6062,9660,9493,19155,1957,1647,3603,6154,5939,12090,4830,4600,9428
LGA17040,9297,8818,18112,4050,2540,6589,1417,2411,3826,332,326,652,179,138,320,5977,5412,11382,2604,2735,5341,3,2.6,2.8,64.3,61.4,62.8,62.4,59.8,61.1,320,367,688,114,252,361,997,1413,2413,630,959,1585,2672,1233,3905,90,159,249,146,226,371,2901,1615,4521,8391,8032,16427,1681,1618,3295,5693,5361,11057,3930,3862,7787
LGA17080,6127,6024,12150,2632,1333,3960,611,1524,2133,222,230,454,164,126,289,3627,3212,6842,2054,2335,4388,4.5,4,4.3,59.2,53.3,56.3,56.5,51.2,53.9,83,113,199,44,153,201,404,661,1059,294,546,841,1685,882,2564,55,114,170,85,139,221,1823,1135,2959,5882,5848,11733,782,846,1627,4168,4044,8208,2167,2293,4464
LGA17100,19932,18896,38823,7532,5311,12843,3559,3831,7383,1342,1231,2570,901,668,1566,13334,11038,24366,5393,6868,12265,6.8,6.1,6.4,66.9,58.4,62.8,62.4,54.9,58.7,2998,2431,5424,306,456,765,5605,5548,11152,1940,1947,3886,1568,890,2460,78,130,206,243,320,557,1887,1337,3226,16773,16526,33296,5148,4470,9616,9347,9677,19023,11532,10348,21878
LGA17150,90573,97105,187676,40822,26813,67629,12927,23818,36744,5678,7390,13067,2113,1635,3742,61535,59650,121182,25835,33904,59740,3.4,2.7,3.1,67.9,61.4,64.6,65.6,59.7,62.6,5661,6015,11680,1571,3069,4643,15744,20711,36450,9296,12987,22290,23795,9421,33218,647,1379,2029,2000,3506,5509,26454,14309,40759,94005,98277,192286,13475,14151,27618,65858,69018,134877,36118,38067,74187
LGA17200,102401,93203,195604,47278,35593,82867,14950,16549,31499,6097,6428,12521,4061,3412,7468,72388,61972,134357,22021,24725,46744,5.6,5.5,5.6,70.7,66.5,68.7,66.7,62.8,64.9,16087,15559,31649,2519,3024,5547,33137,32521,65657,9437,9301,18735,7746,3918,11669,511,598,1104,1188,1278,2468,9439,5793,15235,67768,61399,129171,33754,32058,65808,32029,28977,61002,66252,61591,127839
