LGA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA10050,60,118,240,200,169,135,39,4,0,970,58,109,229,191,192,170,47,15,4,1015,1788,2550,5711,5369,5174,4308,1307,134,12,26344
LGA10180,31,38,100,74,78,73,21,4,0,411,38,34,74,77,66,55,21,22,0,381,892,1261,2622,2357,2368,2273,809,166,16,12765
LGA10250,39,80,154,163,166,138,49,8,0,793,59,67,135,166,156,109,51,12,6,754,1425,1444,3302,4217,4646,4148,1363,199,20,20775
LGA10300,3,0,10,6,4,4,0,0,0,25,4,9,6,10,3,10,11,0,0,51,48,75,188,149,198,216,90,6,6,973
LGA10470,55,89,189,154,153,119,21,0,0,780,49,82,133,129,141,120,38,8,4,701,1464,2084,4260,3939,4150,3358,1040,150,16,20457
LGA10500,76,211,764,602,511,399,115,13,0,2697,87,436,1507,956,675,450,154,24,3,4289,2388,8360,26547,19822,14931,10113,2691,255,17,85131
LGA10550,42,52,98,114,102,105,33,3,0,548,30,33,86,105,103,158,53,13,3,578,910,938,2308,2625,3329,3513,1149,174,21,14975
LGA10600,12,12,32,39,43,30,13,0,0,182,6,17,26,45,50,51,14,14,0,224,291,267,735,933,1290,1324,439,71,8,5365
LGA10650,6,11,22,24,35,17,7,0,0,124,16,10,15,23,23,28,14,10,0,143,217,200,553,622,714,744,333,71,0,3454
LGA10750,222,505,1210,1262,1043,750,168,20,0,5174,330,981,2584,2721,1825,1136,263,38,3,9882,7389,16400,40953,50094,33731,21312,4736,298,21,174929
LGA10800,11,15,19,15,12,18,8,0,0,102,7,5,10,13,22,20,11,6,4,108,160,197,457,464,496,505,207,52,7,2545
LGA10850,10,8,29,18,28,21,0,0,0,130,12,5,17,16,30,32,15,4,0,130,232,225,620,617,788,690,267,57,9,3503
LGA10900,67,100,216,264,279,219,79,13,0,1234,66,84,179,241,252,200,65,20,4,1112,1924,2501,5531,7757,8811,7148,2334,265,21,36295
LGA10950,0,0,0,0,5,12,0,0,0,23,5,8,4,7,6,10,7,4,0,56,73,98,252,168,262,222,86,27,3,1199
LGA11150,3,8,0,0,7,7,5,0,0,26,3,3,10,3,17,7,5,7,0,58,38,77,202,176,194,203,79,14,3,992
LGA11200,0,0,5,4,0,0,0,0,0,9,0,0,3,0,0,3,0,0,0,11,10,31,114,73,88,98,42,3,0,446
LGA11250,20,34,51,47,43,62,19,0,0,285,15,26,40,44,44,53,15,5,0,242,480,607,1573,1291,1334,1446,395,36,5,7172
LGA11300,5,59,117,83,93,83,23,8,0,469,19,182,405,192,168,115,26,4,6,1117,511,2877,5949,3466,3048,2239,584,83,12,18768
LGA11350,20,37,126,125,121,85,24,3,0,547,52,55,286,292,185,123,58,16,3,1077,806,978,3466,3670,3683,2898,1088,125,12,16724
LGA11400,26,27,42,41,45,49,12,0,0,238,15,14,34,43,50,52,34,6,3,248,398,461,882,1275,1484,1360,516,134,22,6525
LGA11450,145,240,614,500,403,247,69,4,0,2215,127,236,772,688,501,279,87,12,0,2706,3437,5218,15584,15325,11568,6725,1500,113,3,59482
LGA11500,91,250,536,506,387,379,121,6,4,2278,185,460,1025,1035,757,548,136,17,4,4166,3263,6783,17189,18327,13624,10823,2583,184,10,72788
LGA11520,32,79,299,279,304,253,90,7,0,1346,37,156,605,549,381,241,97,26,5,2097,1360,3700,11760,11059,9342,6627,2157,291,23,46315
LGA11570,181,446,1150,1130,1130,816,221,30,0,5104,221,817,2142,1900,1567,1115,307,34,5,8105,5150,13528,32747,30428,26950,19756,4608,405,15,133597
LGA11600,0,0,8,5,3,3,4,0,0,29,3,8,31,7,8,11,4,0,0,72,64,106,355,258,276,269,109,21,0,1468
LGA11650,283,568,1224,1244,1226,963,257,26,0,5803,302,549,1220,1283,1314,957,316,103,24,6083,9822,13198,28595,31960,33265,26378,6729,815,73,150834
LGA11700,0,0,0,0,4,0,0,0,0,13,4,3,0,3,6,4,0,0,0,29,18,34,96,78,103,98,54,24,0,510
LGA11720,88,164,387,220,215,130,28,10,0,1243,85,134,291,226,217,170,53,14,5,1187,1794,2649,6503,5701,5440,3945,962,111,12,27120
LGA11730,45,69,150,134,189,149,35,0,0,763,66,70,153,152,166,154,62,17,6,840,1303,1480,3286,3583,4353,4307,1260,177,21,19770
LGA11750,0,8,14,11,5,14,6,0,0,61,10,7,8,10,11,13,3,0,0,63,94,145,419,361,324,359,109,16,7,1844
LGA11800,87,129,305,293,282,198,61,3,0,1364,83,123,272,310,263,203,83,21,3,1368,2347,2547,6436,7098,7478,6177,1790,162,20,34050
LGA12000,11,9,18,17,6,11,4,0,0,68,5,10,16,11,19,10,6,4,3,75,137,139,352,356,410,384,152,43,7,1982
LGA12150,0,5,8,7,7,8,3,0,0,39,8,3,10,16,16,15,4,0,0,74,62,88,281,241,278,281,123,29,3,1386
LGA12160,13,22,34,27,25,12,10,0,0,147,16,18,23,33,40,39,22,10,0,197,262,339,730,824,941,977,330,83,10,4497
LGA12350,11,22,32,27,48,39,18,0,0,205,23,18,44,45,45,25,33,10,0,242,341,430,916,880,1087,981,410,103,7,5158
LGA12380,71,211,593,515,481,371,102,7,0,2339,153,793,2160,1397,970,698,159,17,10,6347,2714,9990,24953,21319,14088,10334,2452,162,20,86028
LGA12390,61,113,245,178,163,144,59,8,4,972,67,83,261,186,173,133,64,32,0,1004,1643,2105,6168,5032,4641,4176,1346,233,29,25386
LGA12700,12,25,49,35,37,38,9,0,0,201,11,16,21,25,55,43,12,5,0,190,254,304,674,877,994,944,294,65,11,4403
LGA12730,7,8,17,31,30,32,15,0,0,135,8,11,29,26,31,27,20,7,0,157,245,269,642,637,773,813,333,61,9,3773
LGA12750,47,51,94,103,146,115,47,3,0,605,50,48,105,100,121,143,64,15,0,651,973,909,2316,2643,3370,3569,1186,118,10,15097
LGA12850,68,255,570,576,618,403,103,10,0,2591,174,513,1068,1015,1113,857,182,18,3,4950,2687,7513,14904,12216,13096,10775,2454,162,10,63831
LGA12870,11,16,52,33,38,33,17,0,0,193,15,14,43,36,59,49,22,3,3,243,392,415,864,908,1186,1195,419,77,11,5466
LGA12900,21,23,36,31,25,33,13,0,0,174,18,16,26,27,27,31,17,6,3,177,284,358,769,763,799,787,308,63,15,4150
LGA12930,66,197,423,471,487,441,93,22,0,2198,56,367,922,808,652,486,137,23,8,3456,2380,7525,17416,15422,13917,10750,2711,322,22,70462
LGA12950,0,5,15,9,11,11,3,5,0,56,10,4,13,9,16,24,10,5,0,92,85,88,316,316,368,389,185,36,3,1792
LGA13010,10,7,34,27,24,31,7,0,0,157,9,13,31,32,25,35,17,6,3,164,235,219,516,552,690,724,321,76,14,3336
LGA13310,29,65,140,114,121,91,23,4,0,585,36,55,139,90,103,98,29,5,3,559,925,1217,3002,2815,2869,2641,775,99,12,14350
LGA13340,6,15,27,41,37,34,14,0,0,186,26,18,23,35,39,46,10,14,3,213,326,323,730,965,1048,1081,412,93,16,5001
LGA13450,41,59,120,100,71,70,29,0,0,497,52,88,187,143,132,101,42,18,4,764,942,1145,3045,2686,2652,2293,771,134,12,13690
