LGA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA40310,116,119,42,101,64,27,9,16,4,496,179,128,72,188,141,59,28,49,12,852,448,147,1114,393,364,171,219,445,51,3353,31,9,20,30,36,27,13,51,0,229,51,26,23,37,59,29,14,36,0,291,15,10,9,3,5,0,6,14,0,57,29,19,17,30,21,15,12,31,14,190,1369,1845,1387,972,875,400,324,725,100,7998
LGA40430,3,11,6,10,9,0,0,0,0,36,19,10,3,9,5,0,3,0,0,51,53,7,58,44,21,4,13,34,4,230,0,0,0,0,3,0,3,3,0,14,13,4,0,3,4,0,0,3,0,29,3,3,0,0,0,0,0,0,0,8,5,0,0,0,0,4,0,8,0,19,118,130,76,76,46,14,15,51,6,531
LGA40520,19,26,3,28,16,4,3,11,0,116,43,34,20,85,40,8,5,17,7,255,130,58,363,233,124,96,89,177,15,1275,0,9,10,12,9,11,9,23,0,85,14,10,13,27,12,3,5,21,0,98,3,6,3,0,4,0,5,3,0,23,12,9,9,20,6,3,5,26,12,111,312,590,439,460,255,148,124,304,49,2683
LGA40700,199,281,72,103,157,71,13,31,10,942,220,211,104,154,150,84,22,36,18,1008,308,136,487,286,235,160,69,137,24,1838,12,11,15,16,34,18,4,13,0,118,50,45,22,44,83,43,4,11,7,301,25,58,18,7,14,13,0,5,0,149,33,71,10,27,35,17,4,16,33,243,3174,8468,1111,1276,1925,796,226,494,239,17700
LGA40910,179,260,102,164,170,67,29,58,15,1038,252,323,226,347,321,138,75,92,21,1806,429,219,1513,608,528,267,193,324,42,4136,23,17,26,40,36,24,9,26,6,201,58,45,53,79,101,57,27,42,6,460,17,52,17,27,20,15,8,24,8,181,35,61,30,43,54,42,13,26,36,345,2516,7003,2524,2353,2531,1055,598,1001,250,19829
LGA41010,12,17,6,15,7,0,0,0,0,64,23,13,3,37,9,6,0,12,0,100,63,33,99,65,41,14,26,50,4,390,0,6,0,0,3,4,0,9,0,20,5,0,0,8,3,3,3,4,0,35,0,0,0,0,0,0,0,0,3,7,8,5,4,5,3,3,4,11,8,50,147,213,118,168,85,39,35,85,12,903
LGA41060,445,611,242,420,373,125,75,97,25,2420,738,707,531,910,662,249,206,215,54,4278,1306,702,3905,1608,1469,776,648,848,192,11448,59,61,78,108,150,84,55,100,12,710,134,96,96,174,256,92,55,77,16,986,47,85,31,60,51,35,24,22,10,363,87,134,75,112,112,68,66,94,106,863,6032,13855,5902,5324,5334,2193,1557,2127,650,42969
LGA41140,44,43,19,31,25,10,0,7,6,192,45,26,26,73,41,16,5,14,4,251,188,37,347,143,91,64,81,134,23,1109,12,3,5,5,11,7,5,21,0,79,25,4,3,16,13,5,8,12,0,81,6,5,3,3,3,0,0,0,0,17,19,8,6,11,12,0,7,16,11,97,548,628,442,333,259,139,120,250,46,2773
LGA41190,4,3,0,5,0,0,0,0,0,21,14,0,0,16,9,0,0,4,0,47,56,3,70,19,18,16,14,24,7,224,3,0,0,0,0,0,0,0,0,14,10,0,3,4,0,5,0,3,0,20,3,0,0,0,0,0,0,0,0,5,3,0,0,3,7,0,0,8,5,25,119,72,86,53,44,29,22,42,7,467
LGA41330,0,0,0,6,6,0,0,0,0,16,5,4,3,15,0,0,0,5,0,46,24,3,40,20,12,9,8,5,3,117,0,0,0,0,0,0,0,4,0,6,3,0,0,3,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,5,7,4,4,3,0,6,28,49,60,52,70,36,32,21,22,12,355
