LGA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
LGA10050,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,7,0,10,0,13,0,23,0,3,0,3,0,12,0,18,0,31,3,65,5,13,0,5,0,23,0,19,0,34,0,101,6,16,0,23,5,57,5,28,9,45,0,182,12,34,0,73,3,99,9,34,4,43,5,338,19,26,4,143,10,74,6,33,8,36,0,366,57,33,0,157,20,90,4,13,4,25,0,412,219,47,9,378,62,145,16,28,9,28,0,944,224,32,0,349,47,55,5,15,4,20,0,758,220,16,6,292,50,44,12,17,4,11,0,660,192,8,0,159,19,20,4,6,0,6,0,420,399,28,0,296,59,59,8,8
LGA10180,0,0,0,0,0,0,0,3,0,11,0,19,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,3,0,9,0,18,0,0,0,0,0,4,0,10,4,11,0,28,0,4,0,0,0,5,0,5,5,29,0,45,5,7,3,5,0,13,0,10,0,27,0,70,0,9,0,17,0,24,0,21,5,24,0,111,14,18,0,32,9,25,6,25,0,17,0,155,15,16,4,46,0,44,0,8,3,6,0,163,25,13,3,64,9,39,5,9,7,12,0,179,89,24,8,133,19,66,0,12,0,17,0,371,102,12,0,118,18,25,11,15,5,11,0,311,111,5,3,75,18,12,0,8,4,3,0,242,105,7,0,45,3,9,3,0,0,5,0,182,211,9,3,100,13,49,6,7
LGA10250,0,0,0,0,4,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,3,0,9,0,0,0,0,0,0,0,3,0,8,0,13,0,0,0,0,0,3,6,11,0,17,0,43,4,11,0,7,0,19,0,16,5,20,0,79,10,20,3,15,10,28,5,22,5,54,0,168,13,43,9,53,9,51,8,48,13,48,0,281,24,37,5,74,4,55,3,32,0,36,0,282,34,31,0,115,11,44,0,22,7,27,0,301,117,73,5,267,49,80,17,48,3,43,3,709,141,43,3,281,41,43,7,16,8,24,0,616,160,37,3,195,27,52,10,18,5,8,0,523,130,9,0,111,12,26,7,6,0,4,0,309,320,35,11,285,33,58,12,20
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,9,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,4,0,0,0,3,0,11,4,0,0,4,3,0,0,0,0,0,0,16,13,0,0,12,0,6,0,0,0,3,0,36,5,0,0,6,0,0,0,0,0,0,0,24,9,0,0,7,0,4,0,0,0,0,0,15,3,0,0,3,0,0,0,0,0,0,0,7,11,0,0,5,3,0,0,0
LGA10470,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,3,0,0,0,3,0,9,0,16,0,0,0,3,0,6,0,13,0,17,0,45,0,0,0,3,0,26,0,14,4,24,0,72,0,14,0,23,6,36,4,27,0,42,0,149,12,22,0,50,5,63,3,36,7,29,0,219,20,14,4,71,3,68,5,15,5,21,0,227,37,11,4,116,16,55,4,15,4,26,0,274,170,24,8,240,30,101,18,23,10,26,0,654,214,31,0,267,31,45,14,16,3,13,0,628,206,12,0,193,46,41,0,5,3,8,0,531,200,9,5,132,28,18,0,3,0,5,0,403,432,19,7,221,36,45,11,3
LGA10500,0,0,3,0,0,5,0,0,0,107,3,123,0,0,0,0,0,0,0,0,0,14,0,25,0,0,0,0,0,4,0,9,3,42,0,61,0,0,0,0,0,0,0,7,4,28,4,40,0,6,4,0,0,9,0,20,5,69,0,108,0,4,0,0,0,11,0,46,15,81,0,152,0,15,5,0,0,32,0,70,24,177,0,329,6,25,7,13,6,69,14,106,48,186,6,485,11,47,13,34,16,177,29,174,64,283,0,840,13,83,33,114,28,258,40,179,75,316,3,1137,25,74,19,149,41,238,50,134,63,239,4,1026,69,69,31,204,66,269,42,117,43,195,0,1099,316,212,64,503,166,549,132,223,92,341,5,2604,418,152,36,604,204,295,87,120,82,207,4,2215,550,112,40,570,194,295,65,85,40,136,3,2086,504,66,21,387,142,162,50,42,16,82,0,1493,2087,189,50,1216,413,617,92,112
LGA10550,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,9,0,6,0,0,0,0,0,7,0,4,0,13,0,0,0,3,0,0,0,0,0,6,0,15,0,3,0,3,0,5,0,21,0,16,0,54,4,11,0,16,0,6,0,16,0,28,0,85,7,21,4,24,10,33,0,20,3,42,0,158,19,26,3,76,7,38,5,42,6,28,6,259,16,24,9,80,12,26,6,20,4,27,0,218,42,27,0,98,11,28,5,10,3,15,0,249,120,46,13,207,29,54,13,19,6,38,0,539,113,25,5,154,20,26,11,8,3,16,0,387,105,13,3,114,9,13,3,13,4,5,0,286,80,9,0,63,6,9,6,0,0,4,0,170,125,17,3,72,13,30,5,5
LGA10600,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,4,0,0,0,8,0,9,0,20,0,7,0,4,0,3,0,12,3,5,0,39,0,11,0,22,0,9,3,13,0,20,0,82,4,18,0,32,4,15,0,13,5,9,0,98,0,14,0,28,3,18,0,8,3,14,0,91,10,14,0,28,0,23,0,10,0,8,0,97,28,22,0,71,6,32,0,10,0,15,0,188,31,10,5,67,7,5,0,8,0,5,0,139,32,7,0,42,4,12,5,0,0,8,0,108,23,5,0,23,6,3,0,0,0,5,0,64,44,3,0,28,10,3,0,0
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,4,0,0,0,0,0,0,0,11,3,0,0,3,0,3,4,0,0,5,0,19,0,0,0,9,0,3,0,3,0,3,0,23,7,0,0,8,0,8,0,8,3,6,0,36,6,5,0,20,0,17,0,6,3,6,0,59,5,0,0,21,0,5,0,7,0,9,0,50,10,5,0,26,0,4,0,0,0,7,0,51,28,3,0,55,0,11,3,3,0,4,0,115,35,0,0,48,9,8,0,0,0,0,0,96,30,0,0,31,4,0,6,0,0,0,0,82,17,0,0,14,0,0,0,0,0,0,0,38,30,0,0,15,4,6,0,3
LGA10750,0,0,7,6,0,3,0,4,0,232,3,258,0,3,0,0,0,0,0,0,7,39,0,55,0,0,0,0,0,0,0,11,13,66,0,90,0,0,0,0,0,3,0,24,11,71,0,105,0,4,3,0,0,13,4,35,12,177,3,251,0,6,0,4,0,28,0,84,29,223,7,383,0,16,9,5,5,103,7,176,53,455,9,829,12,44,15,17,8,233,10,234,105,483,6,1173,20,89,30,65,20,607,45,334,162,709,14,2091,53,189,86,278,89,885,95,458,231,738,16,3131,120,154,67,458,139,1002,123,334,199,526,10,3143,296,185,85,566,181,938,136,234,180,464,12,3270,1564,410,234,1750,594,2353,349,484,278,841,33,8882,2132,335,191,1945,723,988,267,302,144,500,20,7557,2414,222,128,1666,614,1064,208,211,117,310,21,6959,2202,134,69,1057,506,474,106,108,61,161,13,4884,6164,261,182,2163,902,1450,180,209
