LGA_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
LGA11600,0,3,6,114,131,0,10,13,0,158,1046,0,27,54,21,1155
LGA11650,544,34,15,3399,4670,1290,994,187,45,7178,107480,16745,12438,1200,313,138174
LGA11700,3,4,25,74,135,5,9,11,8,170,630,30,13,45,102,822
LGA11720,9,4,0,322,931,162,36,22,7,1160,21311,1861,335,87,60,23659
LGA11730,33,19,14,381,1144,150,106,137,17,1545,19147,1506,1070,998,137,22849
LGA11750,6,0,0,61,234,11,20,17,0,293,1524,67,105,60,15,1779
LGA11800,78,25,7,624,1123,287,297,165,21,1885,23607,3783,3379,926,176,31859
LGA12000,0,3,0,66,108,3,0,0,0,111,1689,24,13,12,6,1748
LGA12150,7,0,0,75,223,4,12,27,0,261,1429,28,57,29,15,1560
LGA12160,3,5,0,176,328,27,8,24,6,385,4460,238,100,62,14,4876
LGA12350,3,0,0,133,382,20,20,18,0,442,5028,308,109,52,19,5509
LGA12380,358,6,4,1161,2993,903,2245,31,46,6217,39614,11504,25021,208,276,76629
LGA12390,59,7,5,474,1373,205,184,44,40,1851,17750,1681,1344,178,117,21070
LGA12700,0,4,0,91,186,0,0,4,0,195,3654,54,8,47,21,3788
LGA12730,0,3,0,104,283,63,4,21,18,392,3269,335,22,36,43,3707
LGA12750,30,9,5,446,999,139,86,112,8,1342,15101,1513,1093,515,78,18305
LGA12850,150,6,8,973,2587,516,898,60,39,4102,45944,8000,9725,224,217,64125
LGA12870,0,0,0,147,351,47,0,11,0,413,4929,586,30,70,23,5626
