LGA_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
LGA41060,220,5,6,1010,847,589,322,113,14,1884,32931,12114,5475,246,127,50898
LGA41140,0,0,0,121,201,7,0,47,6,263,3732,181,0,78,20,4012
LGA41190,0,0,0,44,58,0,0,0,0,62,723,18,0,17,9,762
LGA41330,0,4,7,52,151,7,10,51,0,220,752,17,52,160,24,1001
LGA41560,0,4,0,183,361,35,0,21,5,426,6154,435,24,122,33,6767
LGA41750,0,0,5,24,38,0,0,17,0,56,413,0,0,63,22,500
LGA41830,0,0,0,28,66,3,0,8,10,81,685,31,13,70,24,829
LGA41960,6,0,5,31,30,20,0,5,0,52,447,93,7,23,9,587
LGA42030,9,3,17,265,261,130,17,12,4,422,8423,1768,135,76,51,10460
LGA42110,0,0,6,78,114,3,3,4,0,126,1741,77,4,6,4,1833
LGA42250,0,3,3,79,189,0,0,23,9,219,2864,20,4,83,33,3003
LGA42600,229,13,10,664,157,179,127,13,0,485,8848,4876,2752,119,33,16631
LGA42750,0,0,0,100,162,17,0,3,8,192,2086,73,25,19,30,2236
LGA43080,0,0,0,32,38,0,0,5,0,37,422,0,0,7,0,434
LGA43220,0,0,0,29,16,0,0,0,0,20,401,8,6,9,0,433
LGA43360,0,0,0,59,61,4,0,5,0,64,994,37,9,12,3,1055
LGA43650,0,0,0,83,223,9,3,3,0,237,5497,78,10,27,15,5630
LGA43710,0,3,0,87,124,0,0,16,5,144,2177,26,4,80,17,2296
LGA43790,0,3,0,215,310,43,0,35,0,392,4442,416,49,109,29,5040
LGA44000,0,5,0,5,7,0,0,0,0,8,19,12,0,5,4,36
LGA44060,163,0,0,739,616,414,137,11,16,1192,27463,8879,2713,26,96,39173
LGA44210,0,4,6,142,352,8,8,30,0,389,3970,74,27,193,47,4313
LGA44340,113,0,3,757,334,122,81,18,3,554,20141,2900,2422,86,62,25615
LGA44550,13,6,3,369,543,43,5,9,5,599,14126,718,75,101,34,15055
LGA44620,22,0,5,360,296,209,63,20,33,620,8781,1692,996,31,63,11568
LGA44830,0,8,0,60,83,0,0,72,0,158,1239,3,10,155,20,1429
LGA45040,0,0,0,244,438,98,4,35,3,573,7832,895,37,125,42,8931
LGA45090,0,0,0,113,205,16,3,15,29,275,3303,153,3,32,41,3535
LGA45120,0,0,0,84,103,4,0,0,0,109,1926,53,0,26,11,2013
LGA45290,259,0,7,768,194,183,189,9,8,577,8408,4863,3154,71,48,16546
LGA45340,131,12,4,1793,2000,499,116,101,11,2725,62445,6125,1336,508,112,70520
LGA45400,0,3,0,16,20,0,0,9,0,29,355,6,0,28,3,390
LGA45540,0,0,0,16,121,0,0,3,4,128,809,27,0,22,10,865
LGA45680,0,3,0,388,1495,650,52,20,9,2226,30818,5752,326,98,64,37070
LGA45890,59,3,5,896,1226,695,298,14,38,2266,37133,11244,4157,179,184,52900
LGA46090,14,7,5,103,250,89,73,162,9,583,4402,678,447,322,66,5912
LGA46300,23,0,5,128,243,82,35,79,3,452,4948,730,386,103,27,6199
LGA46450,0,0,3,141,269,130,16,34,6,450,6349,983,121,107,27,7590
LGA46510,13,0,0,165,117,45,67,0,0,228,5799,1690,1320,18,15,8842
LGA46670,0,0,0,137,206,27,8,32,13,292,3486,441,85,137,42,4197
LGA46860,0,7,0,33,34,4,3,0,0,42,680,22,4,15,20,741
LGA46970,0,4,0,61,129,0,8,3,4,141,1365,0,46,14,7,1433
LGA47140,50,0,0,1023,1647,440,210,84,18,2404,45043,6554,2370,259,124,54350
LGA47290,0,0,0,69,70,0,0,9,0,79,847,5,11,26,6,884
LGA47490,0,4,3,49,65,0,6,21,0,90,834,8,12,107,14,974
LGA47630,0,5,0,142,229,10,0,8,0,248,2645,90,4,47,10,2798
LGA47700,161,0,3,1123,760,150,64,0,3,976,35003,3280,1004,17,49,39342
LGA47800,4,0,5,167,216,14,0,4,0,233,2310,66,9,27,9,2421
LGA47910,0,10,4,61,63,11,0,13,0,86,1102,66,53,73,18,1307
LGA47980,250,0,4,560,136,96,153,0,0,390,9307,2814,3739,18,38,15917
LGA48050,11,0,7,296,207,60,10,4,0,277,6564,713,138,49,39,7499
LGA48130,0,0,0,125,155,19,0,8,0,175,2610,179,10,46,7,2849
LGA48260,10,0,0,96,41,23,53,0,0,119,2132,706,449,25,11,3323
LGA48340,0,4,0,143,274,25,15,7,3,329,4596,257,129,31,22,5035
LGA48410,146,0,6,732,389,239,188,3,4,825,16479,5387,3836,22,112,25839
LGA48540,8,7,0,99,191,403,50,29,9,677,5244,3848,473,96,81,9746
LGA48640,0,0,0,34,51,0,4,4,3,53,449,7,4,9,8,483
LGA48750,0,7,0,92,120,3,5,12,0,141,2452,90,55,60,11,2670
LGA48830,0,7,0,182,309,16,0,83,4,414,5130,142,29,266,22,5586
LGA49399,10,18,47,254,118,0,9,44,27,198,1073,17,35,311,280,1716
LGA49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50080,6,14,0,408,604,105,0,115,8,835,13967,1175,74,401,53,15664
LGA50210,24,8,7,391,1277,259,35,81,10,1663,30340,3014,252,312,43,33956
LGA50250,14,42,30,280,230,10,3,120,54,414,1702,100,54,808,192,2862
LGA50280,9,13,5,200,419,23,5,79,13,535,5972,307,44,231,56,6612
LGA50350,9,0,0,100,214,85,15,4,0,323,5174,1137,305,8,10,6632
LGA50420,32,0,0,384,629,316,199,24,14,1182,20382,5655,2961,34,38,29068
LGA50490,19,0,0,204,591,255,181,15,12,1049,11613,3697,2604,42,41,17996
LGA50560,0,0,0,38,83,7,0,0,0,91,724,15,0,18,4,767
LGA50630,0,0,0,19,52,11,0,5,0,66,629,28,0,15,6,670
LGA50770,0,0,0,42,79,0,0,4,0,81,753,7,0,7,0,763
LGA50840,0,5,4,79,128,8,0,7,4,145,2106,60,7,37,11,2217
LGA50910,0,0,0,29,34,0,0,0,0,36,358,9,0,0,0,370
LGA50980,0,80,28,288,597,153,21,161,70,1006,4694,886,147,2461,310,8495
LGA51080,0,0,0,37,46,0,0,0,0,46,406,3,0,3,5,421
LGA51120,0,0,4,27,48,0,0,0,5,60,340,20,0,11,21,393
LGA51190,20,5,0,280,497,261,66,74,8,912,10653,2785,561,190,38,14228
LGA51260,19,24,4,468,639,130,4,105,14,897,14056,1507,85,438,50,16136
LGA51310,107,0,0,312,132,43,80,4,0,256,7750,1234,1626,3,16,10634
LGA51330,62,0,3,670,788,372,120,22,15,1311,27272,5751,1425,65,72,34578
LGA51400,6,4,5,77,240,25,12,10,0,286,6186,203,75,25,12,6496
LGA51470,0,0,3,30,34,0,0,13,0,48,253,24,5,13,7,300
LGA51540,0,39,10,116,229,77,15,69,36,422,1593,310,71,1207,133,3306
LGA51610,0,0,0,30,71,0,0,0,0,70,548,0,0,44,3,594
LGA51680,0,0,0,52,145,0,0,3,4,154,2052,6,17,11,7,2092
LGA51710,11,0,3,53,18,9,24,0,0,59,223,111,152,3,6,499
LGA51750,106,0,0,155,48,50,90,0,0,187,2115,1042,1434,0,3,4603
LGA51820,38,8,5,492,1066,339,185,126,16,1733,36329,5387,3030,361,64,45173
LGA51860,0,0,0,24,35,0,0,0,5,36,159,0,4,0,10,168
LGA51890,0,0,0,47,242,17,8,8,3,280,3374,123,112,32,12,3653
LGA51960,0,0,4,29,239,41,6,10,16,307,1238,128,32,29,30,1456
LGA52030,0,0,0,38,61,0,0,3,3,70,475,17,0,19,9,519
LGA52100,0,0,0,29,23,10,0,0,0,29,398,24,0,8,0,427
LGA52170,4,0,0,57,50,20,39,0,0,110,2111,391,642,0,3,3138
LGA52240,0,0,5,55,43,0,0,6,0,53,442,0,0,11,8,468
LGA52310,0,0,0,20,36,0,0,0,0,39,388,3,0,5,0,397
LGA52380,0,0,0,11,18,0,0,50,3,72,88,0,0,66,13,161
LGA52450,0,0,0,26,32,0,0,0,0,35,469,13,0,11,0,492
LGA52520,0,3,6,36,68,3,0,8,0,81,471,14,0,22,8,519
LGA52590,0,9,0,76,92,8,3,23,0,127,1295,44,5,125,21,1496
LGA52660,0,9,0,197,209,22,3,50,4,283,5084,322,16,151,9,5578
LGA52730,0,3,0,104,202,14,0,81,4,302,2417,184,3,124,13,2745
LGA52800,0,47,17,214,340,60,0,172,38,609,1976,201,4,729,134,3043
LGA52870,0,0,5,73,136,0,5,6,0,152,2361,43,6,35,18,2470
LGA52940,0,0,0,26,30,0,0,0,0,30,298,4,0,14,0,322
LGA53010,0,0,0,32,46,0,0,0,0,43,266,6,0,3,3,279
LGA53080,0,5,8,33,51,0,0,9,3,68,292,0,4,38,34,372
LGA53150,9,0,0,31,51,22,23,3,0,95,1982,570,449,18,3,3022
LGA53220,14,16,21,263,195,19,20,14,25,269,1817,73,82,371,119,2456
LGA53290,3,3,27,251,463,68,26,56,5,622,4837,478,115,207,78,5720
LGA53360,0,35,7,80,91,3,9,49,13,160,1082,42,71,1177,37,2404
LGA53430,32,3,3,246,283,194,210,106,10,797,8152,3115,2391,297,46,14005
LGA53570,0,4,0,92,166,7,0,15,3,191,2104,53,28,72,9,2268
LGA53640,0,0,6,66,37,0,0,3,0,45,470,4,0,8,3,488
LGA53710,0,0,0,25,43,9,0,0,0,50,397,28,0,11,0,429
LGA53780,15,18,5,808,1673,298,56,57,11,2099,39238,3983,855,247,56,44372
LGA53800,14,8,9,354,967,227,48,89,15,1354,13318,1757,299,447,90,15910
LGA53920,0,32,15,169,114,10,0,47,35,205,862,91,10,355,105,1430
LGA53990,0,7,0,207,348,31,0,116,3,490,9835,379,50,341,22,10626
LGA54060,0,5,0,52,133,24,9,26,9,198,1378,159,39,137,24,1746
LGA54130,0,0,0,56,36,5,0,0,0,38,447,17,0,35,11,503
LGA54170,37,0,4,628,1011,233,151,124,28,1546,51879,5074,1595,247,48,58848
LGA54200,9,3,0,387,657,71,8,85,8,817,20462,1093,96,262,29,21938
LGA54280,4,18,0,189,695,229,10,412,18,1362,8778,1837,141,688,54,11495
LGA54310,52,18,33,476,714,274,88,196,50,1311,5730,1177,501,684,199,8287
LGA54340,0,0,0,55,130,26,0,0,0,156,1439,144,7,3,6,1602
LGA54410,0,0,0,33,46,0,0,5,0,47,440,13,18,13,10,487
LGA54480,0,0,0,32,16,3,0,0,0,24,186,4,0,0,0,200
LGA54550,0,0,0,60,73,5,0,4,0,77,760,28,0,9,10,810
LGA54620,0,3,0,31,46,4,4,0,0,49,345,7,4,25,3,381
LGA54690,0,0,0,9,10,0,0,0,0,5,168,0,0,3,0,170
LGA54760,0,3,0,30,34,0,0,0,0,36,292,3,0,5,5,303
LGA54830,0,3,0,126,716,34,80,31,5,874,15129,584,603,38,19,16373
LGA54900,0,0,0,67,39,0,6,0,0,47,486,18,9,26,6,537
LGA54970,0,0,13,42,29,9,3,7,8,49,193,24,4,20,37,287
LGA55040,3,4,5,88,64,25,23,29,4,155,334,52,39,88,36,547
LGA55110,21,10,0,1210,1136,319,84,98,9,1649,30586,4807,1087,305,42,36833
LGA55180,0,4,3,128,247,17,7,16,19,300,3533,213,29,44,52,3877
LGA55250,0,11,0,45,55,5,3,16,14,96,279,21,18,89,44,444
LGA55320,335,0,0,1091,650,294,156,16,10,1121,29867,7432,2219,20,50,39588
LGA55390,0,0,13,23,4,0,6,20,3,33,53,0,12,41,26,138
LGA55460,0,0,0,43,124,19,3,26,0,172,1239,65,6,32,7,1351
LGA55530,0,0,0,29,29,0,0,28,0,59,171,3,0,62,5,239
LGA55600,0,4,0,53,98,18,0,19,0,131,857,64,0,36,10,963
LGA55670,0,0,0,23,24,0,0,21,0,49,230,6,0,32,13,278
LGA55740,10,0,0,62,62,24,79,3,0,168,2231,538,925,3,4,3702
LGA55810,0,0,0,24,107,0,0,19,4,142,253,6,0,50,10,316
LGA55880,0,0,0,22,22,0,0,0,0,19,190,6,0,3,4,205
LGA55950,0,0,0,29,29,0,0,3,0,33,242,0,0,9,0,256
LGA56090,0,0,3,182,424,47,0,7,0,479,13365,539,22,30,18,13971
LGA56160,0,7,4,14,3,0,0,0,4,10,21,4,0,32,12,72
LGA56230,0,7,0,285,354,29,3,45,3,434,6488,286,19,251,18,7075
LGA56300,0,0,3,22,79,0,4,12,0,96,661,10,24,24,3,722
LGA56370,0,0,0,23,36,0,0,0,0,38,298,22,0,3,0,325
LGA56460,0,0,0,75,153,28,0,19,0,197,1834,159,5,26,0,2026
LGA56580,62,0,0,196,107,33,36,0,7,180,6309,940,509,4,11,7771
LGA56620,0,6,20,74,49,9,0,0,3,62,360,27,0,11,37,436
LGA56730,0,4,0,71,367,35,0,8,10,415,4188,186,17,46,18,4456
LGA56790,0,11,14,83,150,37,15,27,23,248,1244,134,16,404,83,1880
LGA56860,0,0,0,9,25,0,0,0,0,26,106,0,0,0,0,115
LGA56930,0,0,0,6,17,7,0,0,0,14,415,62,67,0,0,540
LGA57000,0,0,0,14,31,0,0,23,3,62,164,0,0,35,9,209
LGA57080,141,0,3,179,18,35,911,360,15,1344,389,861,12228,366,54,13900
LGA57140,0,0,0,15,35,0,0,0,0,35,459,8,0,0,0,468
LGA57210,0,0,0,95,190,0,3,8,0,197,2114,29,11,34,9,2187
LGA57280,38,27,19,412,455,193,153,222,29,1062,3944,1129,705,514,127,6418
LGA57350,0,0,0,22,111,0,0,0,0,115,406,9,0,6,9,426
LGA57420,0,4,0,165,65,0,0,6,0,81,840,11,12,44,8,910
LGA57490,20,4,0,606,1794,197,133,93,19,2241,45323,2882,1720,392,64,50382
LGA57630,0,6,3,15,6,0,0,0,0,12,44,0,0,25,3,75
LGA57700,0,10,4,134,386,3,0,14,0,411,10290,82,35,127,27,10555
LGA57770,0,22,4,61,48,7,0,143,23,224,355,34,8,695,42,1133
LGA57840,168,0,0,527,250,261,173,0,8,693,8956,6466,2996,6,30,18454
LGA57910,447,9,3,1715,1842,1601,668,46,28,4184,53935,30285,9550,166,82,94013
LGA57980,200,0,0,265,72,33,178,14,0,291,3513,1406,2922,22,4,7872
LGA58050,22,7,0,514,1755,394,92,450,48,2738,48282,4931,1025,715,117,55068
LGA58190,0,0,0,14,25,0,0,0,0,29,168,0,0,0,0,165
LGA58260,0,0,0,33,30,0,0,4,0,35,218,14,0,10,7,253
LGA58330,0,0,0,38,226,5,0,21,0,260,1897,12,0,45,13,1970
LGA58400,0,0,0,12,15,0,0,0,0,15,141,3,0,0,9,150
LGA58470,0,7,9,24,3,0,0,14,6,14,39,3,0,73,16,136
LGA58510,194,0,0,493,337,225,287,16,8,872,8677,3938,3545,21,27,16209
LGA58540,0,0,0,33,35,0,0,11,0,46,321,4,0,15,7,349
LGA58570,39,0,0,246,211,140,363,53,3,771,7610,3536,4935,108,28,16224
LGA58610,0,0,0,24,65,6,4,0,0,77,707,38,4,5,4,760
LGA58680,0,0,0,17,42,0,0,0,0,44,222,0,0,4,0,228
LGA58760,11,10,0,1364,2311,327,22,51,15,2731,67535,5310,323,244,53,73463
LGA58820,0,0,0,49,74,17,0,7,5,101,1536,105,0,35,15,1692
LGA58890,0,0,0,28,41,0,0,0,0,41,323,11,0,5,5,336
LGA59030,0,0,0,17,10,0,0,0,0,10,113,0,0,0,0,115
LGA59100,0,0,0,14,46,0,0,0,0,46,269,5,0,0,0,279
LGA59170,0,0,0,42,40,4,0,0,0,51,388,14,4,3,5,412
LGA59250,0,0,6,36,26,4,0,0,7,36,112,13,0,10,18,156
LGA59310,0,0,0,29,41,6,0,0,0,47,527,25,0,15,3,577
LGA59320,0,0,0,19,14,0,0,0,0,15,180,0,0,0,0,174
LGA59330,0,0,0,16,23,0,0,0,0,23,232,6,0,0,0,240
LGA59340,5,69,21,207,306,70,36,416,65,891,1798,311,153,1354,190,3806
LGA59350,0,0,6,12,21,0,0,0,8,30,61,0,0,23,28,116
LGA59360,0,3,4,51,42,6,0,0,0,49,422,32,3,22,14,485
LGA59370,0,6,6,60,131,3,0,3,0,144,1485,46,9,23,27,1587
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,4,4,0,0,0,0,0,0,0,0,0,5,8,13
LGA60210,0,4,0,89,185,8,3,21,0,224,2973,95,95,125,24,3313
LGA60410,6,0,0,61,311,11,54,0,0,376,6359,133,701,6,4,7206
LGA60610,0,0,0,99,318,65,15,25,0,420,7593,689,161,46,13,8491
LGA60810,0,7,0,149,365,83,10,48,5,519,8650,781,33,185,18,9671
LGA61010,0,0,0,73,100,0,0,7,0,109,1105,0,16,33,14,1166
LGA61210,0,7,0,190,280,27,10,7,0,321,3140,131,33,34,7,3342
LGA61410,11,5,4,453,664,90,20,22,8,809,22610,1256,301,150,49,24363
LGA61510,0,4,0,78,205,29,6,24,7,266,4083,151,71,69,7,4375
LGA61610,0,3,0,126,336,116,4,58,0,512,9683,1320,30,172,17,11220
LGA61810,0,4,0,121,200,13,6,3,0,222,2837,84,33,28,4,2985
LGA62010,0,0,0,31,36,0,0,6,0,42,438,13,0,7,4,463
LGA62210,0,0,0,56,146,25,0,20,0,197,2751,264,26,35,4,3085
LGA62410,0,8,9,79,113,8,0,0,0,125,2227,42,9,50,34,2363
LGA62610,98,6,3,298,637,108,217,26,10,992,16686,1155,2664,120,47,20667
LGA62810,147,4,0,445,347,121,245,81,13,812,15221,2575,4334,204,102,22434
LGA63010,0,6,3,155,394,9,0,37,5,454,7127,125,29,133,23,7427
LGA63210,0,0,0,51,162,5,0,3,0,177,2514,82,4,22,14,2639
LGA63410,0,0,0,43,71,0,0,0,0,72,689,23,6,3,4,729
LGA63610,8,5,3,309,380,39,17,28,0,461,14410,774,247,137,23,15594
LGA63810,0,5,3,87,194,21,0,7,0,224,4760,264,33,66,10,5132
LGA64010,35,3,3,504,896,341,182,67,7,1496,23037,3120,2555,177,75,28965
LGA64210,4,4,0,152,313,34,21,7,0,387,7723,422,378,78,18,8620
LGA64610,14,5,0,185,240,12,27,9,0,289,5187,144,360,51,9,5754
LGA64810,0,4,0,92,375,10,0,5,0,401,6738,108,10,27,18,6900
LGA65010,0,5,0,78,180,5,0,6,0,186,2585,16,22,8,4,2642
LGA65210,0,0,0,32,94,3,0,15,0,112,1221,20,8,48,13,1302
LGA65410,0,4,0,95,288,39,4,5,0,334,5691,384,25,62,20,6186
LGA65610,6,0,5,94,194,13,3,24,0,238,2032,77,29,46,34,2217
LGA65810,13,4,0,132,394,3,20,38,5,458,9747,125,202,90,22,10174
LGA69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA70200,20,32,23,301,337,184,37,307,51,914,6048,2701,434,941,316,10445
LGA70420,12,27,15,379,151,11,7,63,24,250,1546,135,66,444,117,2304
LGA70540,0,0,0,0,4,0,0,0,0,4,32,0,10,0,0,46
LGA70620,5,12,15,180,69,3,0,27,4,103,745,27,13,116,48,950
LGA70700,4,21,5,58,120,7,0,52,6,181,491,30,9,306,38,875
LGA71000,140,22,22,472,917,325,816,416,65,2535,15630,3986,10800,1074,219,31716
LGA71150,5,0,0,4,0,0,4,0,4,6,0,0,205,0,0,207
LGA71300,0,6,11,248,98,6,0,17,7,126,1413,113,7,57,52,1641
LGA72200,0,16,19,122,310,105,26,105,48,590,2543,528,63,496,302,3936
LGA72300,6,25,12,212,605,31,17,317,40,1008,6389,140,136,1178,136,7985
LGA72330,12,55,19,323,84,8,0,74,19,185,1082,68,25,483,90,1752
LGA72800,10,0,3,136,728,158,259,24,17,1184,10032,1301,2009,39,38,13416
LGA73600,3,64,32,265,97,6,0,223,58,390,950,193,35,1140,226,2538
LGA74050,8,11,14,82,33,0,15,3,4,56,525,33,69,23,20,672
LGA74550,0,18,12,108,70,3,0,44,28,145,529,91,4,245,136,1003
LGA74560,0,0,0,0,17,0,0,0,0,17,188,0,0,10,0,197
LGA74660,10,29,15,285,61,19,3,85,29,199,1059,141,41,452,99,1797
LGA74680,0,9,3,63,30,5,0,0,5,40,427,83,0,13,9,541
LGA79399,42,27,20,459,312,81,93,155,28,664,1875,407,267,633,175,3352
LGA79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA79799,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,7
LGA89399,843,4,25,2790,2982,1253,1972,181,25,6414,109097,30145,35098,367,275,174972
LGA89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99399,0,4,0,46,142,4,8,0,7,158,1077,14,19,5,21,1143
LGA99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
