LGA_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
LGA27070,34,34,35,1859,1798,1900,519,591,737,301,331,371,1375,1569,1970,0.9,0.9,0.8,1275,1444,1768,3,3,2.9
LGA27170,35,36,38,1488,1430,1479,577,674,805,210,250,290,1316,1550,1938,0.8,0.8,0.7,1075,1273,1498,2.5,2.5,2.4
LGA27260,32,32,32,1800,1733,1930,635,685,839,280,321,370,1556,1714,2129,0.8,0.9,0.8,1424,1620,2023,2.9,3.1,3.1
LGA27350,33,33,34,2258,2167,2321,866,1039,1324,375,430,451,2199,2509,3138,1,1,1,1682,1958,2270,2.2,2.1,2
LGA27450,38,40,40,1647,1733,1950,579,667,808,275,330,380,1491,1770,2203,0.8,0.8,0.8,1282,1501,1881,2.7,2.7,2.7
LGA27630,48,50,52,650,665,672,426,491,625,120,150,166,991,1179,1491,0.7,0.7,0.7,769,885,1102,2.3,2.2,2.1
LGA29399,30,31,30,1727,775,1300,710,741,843,743,300,385,1125,1430,1766,0.9,1,1,958,1087,1382,2,2,2.2
LGA29499,32,34,37,0,0,0,352,398,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,48,49,50,0,0,0,1949,9954,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,25,28,29,0,1517,0,259,260,331,80,100,125,638,678,785,1.6,1.4,1.2,1129,992,1069,5,4.2,3.9
LGA30300,36,40,40,1200,1161,1169,569,662,780,150,200,200,1202,1485,1704,0.8,0.8,0.8,1021,1230,1358,2.6,2.5,2.4
LGA30370,35,37,38,1547,1517,1300,630,714,856,180,220,240,1643,1895,2138,0.8,0.8,0.8,1395,1575,1766,2.6,2.6,2.5
LGA30410,39,42,43,867,1040,1083,569,684,858,100,140,163,1252,1514,1962,0.8,0.8,0.7,1026,1149,1418,2.4,2.3,2.3
LGA30450,42,46,38,552,338,2000,664,774,991,80,90,100,1267,1687,2374,0.7,0.8,0.8,992,1187,1875,2.3,2.1,2.3
LGA30760,41,47,48,927,850,867,503,548,729,126,142,157,1152,1266,1557,0.8,0.7,0.8,878,978,1254,2.3,2.2,2.3
LGA30900,30,34,33,603,867,1020,568,753,1006,100,145,125,1208,1553,1875,1,0.9,1,1059,1271,1490,2.7,2.4,2.5
LGA31000,34,35,36,2100,2000,2019,696,770,947,350,395,408,1873,2091,2474,0.8,0.8,0.8,1547,1746,2068,2.6,2.6,2.5
LGA31750,32,40,36,650,715,696,713,883,960,115,140,153,1375,1430,1968,0.8,0.8,0.9,1109,1359,1625,2.5,2.2,2.5
LGA31820,43,45,47,1365,1322,1300,423,490,594,235,265,285,980,1185,1427,0.8,0.8,0.8,833,973,1157,2.4,2.4,2.4
LGA31900,41,44,45,1300,1300,1220,541,617,723,190,220,222,1285,1489,1804,0.8,0.8,0.8,1010,1177,1345,2.5,2.4,2.3
LGA31950,36,38,35,867,650,477,855,742,884,115,150,150,1388,1458,2125,1.1,1.1,1,1176,1047,1312,2.5,2.5,2.3
