LGA_CODE_2021,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_SDRTHT1S_FH_CF_no_ch,C11_SDRTHT1S_FH_CF_w_ch,C11_SDRTHT1S_FH_One_PFam,C11_SDRTHT1S_FH_oth_fa,C11_SDRTHT1S_FH_Tot,C11_SDRTHT1S_LP_H,C11_SDRTHT1S_GH,C11_SDRTHT1S_OH,C11_SDRTHT1S_Tot,C11_SDRTHT2S_FH_CF_no_ch,C11_SDRTHT2S_FH_CF_w_ch,C11_SDRTHT2S_FH_One_PFam,C11_SDRTHT2S_FH_oth_fa,C11_SDRTHT2S_FH_Tot,C11_SDRTHT2S_LP_H,C11_SDRTHT2S_GH,C11_SDRTHT2S_OH,C11_SDRTHT2S_Tot,C11_SDRTHT_FH_CF_no_ch,C11_SDRTHT_FH_CF_w_ch,C11_SDRTHT_FH_One_PFam,C11_SDRTHT_FH_oth_fa,C11_SDRTHT_FH_Tot,C11_SDRTHT_LP_H,C11_SDRTHT_GH,C11_SDRTHT_OH,C11_SDRTHT_Tot,C11_F_a_1_2_FH_CF_no_ch,C11_F_a_1_2_FH_CF_w_ch,C11_F_a_1_2_FH_One_PFam,C11_F_a_1_2_FH_oth_fa,C11_F_a_1_2_FH_Tot,C11_F_a_1_2_LP_H,C11_F_a_1_2_GH,C11_F_a_1_2_OH,C11_F_a_1_2_Tot,C11_F_a_3_FH_CF_no_ch,C11_F_a_3_FH_CF_w_ch,C11_F_a_3_FH_One_PFam,C11_F_a_3_FH_oth_fa,C11_F_a_3_FH_Tot,C11_F_a_3_LP_H,C11_F_a_3_GH,C11_F_a_3_OH,C11_F_a_3_Tot,C11_F_a_4_8_FH_CF_no_ch,C11_F_a_4_8_FH_CF_w_ch,C11_F_a_4_8_FH_One_PFam,C11_F_a_4_8_FH_oth_fa,C11_F_a_4_8_FH_Tot,C11_F_a_4_8_LP_H,C11_F_a_4_8_GH,C11_F_a_4_8_OH,C11_F_a_4_8_Tot,C11_F_a_9m_FH_CF_no_ch,C11_F_a_9m_FH_CF_w_ch,C11_F_a_9m_FH_One_PFam,C11_F_a_9m_FH_oth_fa,C11_F_a_9m_FH_Tot,C11_F_a_9m_LP_H,C11_F_a_9m_GH,C11_F_a_9m_OH,C11_F_a_9m_Tot,C11_F_a_a_h_FH_CF_no_ch,C11_F_a_a_h_FH_CF_w_ch,C11_F_a_a_h_FH_One_PFam,C11_F_a_a_h_FH_oth_fa,C11_F_a_a_h_FH_Tot,C11_F_a_a_h_LP_H,C11_F_a_a_h_GH,C11_F_a_a_h_OH,C11_F_a_a_h_Tot,C11_F_a_Tot_FH_CF_no_ch,C11_F_a_Tot_FH_CF_w_ch,C11_F_a_Tot_FH_One_PFam,C11_F_a_Tot_FH_oth_fa,C11_F_a_Tot_FH_Tot,C11_F_a_Tot_LP_H,C11_F_a_Tot_GH,C11_F_a_Tot_OH,C11_F_a_Tot_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_Tot_FH_CF_no_ch,C11_OD_Tot_FH_CF_w_ch,C11_OD_Tot_FH_One_PFam,C11_OD_Tot_FH_oth_fa,C11_OD_Tot_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_Tot_Tot,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_Tot,C11_Tot_FH_CF_no_ch,C11_Tot_FH_CF_w_ch,C11_Tot_FH_One_PFam,C11_Tot_FH_oth_fa,C11_Tot_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_Tot_Tot,C16_SH_FH_CF_no_ch,C16_SH_FH_CF_w_ch,C16_SH_FH_One_PFam,C16_SH_FH_oth_fa,C16_SH_FH_Tot,C16_SH_LP_H,C16_SH_GH,C16_SH_OH,C16_SH_Tot,C16_SDRTHT1S_FH_CF_no_ch,C16_SDRTHT1S_FH_CF_w_ch,C16_SDRTHT1S_FH_One_PFam,C16_SDRTHT1S_FH_oth_fa,C16_SDRTHT1S_FH_Tot,C16_SDRTHT1S_LP_H,C16_SDRTHT1S_GH,C16_SDRTHT1S_OH,C16_SDRTHT1S_Tot,C16_SDRTHT2S_FH_CF_no_ch,C16_SDRTHT2S_FH_CF_w_ch,C16_SDRTHT2S_FH_One_PFam,C16_SDRTHT2S_FH_oth_fa,C16_SDRTHT2S_FH_Tot,C16_SDRTHT2S_LP_H,C16_SDRTHT2S_GH,C16_SDRTHT2S_OH,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_FH_CF_no_ch,C16_SDRTHT_Tot_FH_CF_w_ch,C16_SDRTHT_Tot_FH_One_PFam,C16_SDRTHT_Tot_FH_oth_fa,C16_SDRTHT_Tot_FH_Tot,C16_SDRTHT_Tot_LP_H,C16_SDRTHT_Tot_GH,C16_SDRTHT_Tot_OH,C16_SDRTHT_Tot_Tot,C16_F_a_1_2_FH_CF_no_ch,C16_F_a_1_2_FH_CF_w_ch,C16_F_a_1_2_FH_One_PFam,C16_F_a_1_2_FH_oth_fa,C16_F_a_1_2_FH_Tot,C16_F_a_1_2_LP_H,C16_F_a_1_2_GH,C16_F_a_1_2_OH,C16_F_a_1_2_Tot,C16_F_a_3_FH_CF_no_ch,C16_F_a_3_FH_CF_w_ch,C16_F_a_3_FH_One_PFam,C16_F_a_3_FH_oth_fa,C16_F_a_3_FH_Tot,C16_F_a_3_LP_H,C16_F_a_3_GH,C16_F_a_3_OH,C16_F_a_3_Tot,C16_F_a_4_8_FH_CF_no_ch,C16_F_a_4_8_FH_CF_w_ch
LGA10050,4186,4697,1798,130,10810,3048,552,448,14856,200,59,90,15,361,532,60,48,1000,19,13,17,0,55,33,16,9,113,216,69,104,19,409,567,76,54,1112,421,186,265,31,903,1824,184,217,3126,13,4,6,0,21,70,10,13,118,3,3,0,0,7,10,3,0,26,..,..,..,..,..,..,..,..,..,4,0,0,0,5,8,0,5,13,442,194,269,31,937,1911,195,239,3286,17,5,0,0,23,43,0,36,104,0,0,0,0,0,0,0,7,7,8,9,0,0,12,8,0,0,26,24,12,0,0,38,54,0,41,135,0,3,3,0,8,5,0,4,17,4873,4980,2179,178,12204,5582,828,787,19401,4567,4828,1878,128,11395,3660,577,863,16498,432,241,276,22,967,1781,162,276,3184,72,22,31,4,130,248,31,86,492,505,264,305,28,1099,2030,198,354,3679,27,22,22,5,75,196,20,87,388,9,7,0,0,18,38,0,20,78,8,0
LGA10180,2443,2501,1006,74,6023,1905,318,350,8592,90,35,42,3,167,251,28,38,488,14,6,4,0,21,39,5,10,72,96,39,50,3,191,295,35,41,561,131,78,70,15,300,527,96,125,1054,0,5,5,3,12,17,4,16,44,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,16,4,4,20,137,87,79,15,312,563,104,140,1119,9,3,3,0,9,27,3,67,111,0,0,0,0,0,0,0,0,0,7,7,3,0,16,10,0,5,28,9,9,6,0,31,37,3,76,139,0,3,0,0,6,7,0,0,13,2687,2641,1136,93,6555,2803,460,608,10424,2445,2420,1033,93,5995,2023,348,545,8912,126,93,70,8,297,408,62,61,832,15,12,13,7,45,84,11,16,156,138,102,82,11,344,491,76,81,991,66,33,33,6,138,305,36,72,556,10,3,0,0,12,28,6,3,52,0,0
LGA10250,3770,3516,1260,88,8627,2136,326,288,11384,301,125,210,15,646,567,61,67,1337,173,135,148,6,455,212,62,30,758,473,258,357,15,1103,776,115,99,2090,369,149,224,13,759,994,85,86,1920,32,9,11,0,51,22,4,14,88,17,8,9,0,30,32,4,26,95,..,..,..,..,..,..,..,..,..,0,0,4,0,4,20,0,0,25,420,162,240,13,835,1060,95,130,2125,140,22,27,5,188,267,8,209,670,0,0,0,0,0,3,5,53,62,8,7,4,0,16,10,3,0,35,143,30,34,5,205,283,14,256,761,0,0,0,0,0,6,0,0,5,4806,3966,1884,121,10781,4263,555,776,16371,3927,3487,1186,102,8703,2182,344,646,11874,474,249,285,17,1017,1038,74,160,2284,359,206,197,7,769,639,80,117,1600,829,456,478,22,1789,1677,148,276,3887,112,52,95,11,266,279,31,56,632,39,7,26,0,72,73,13,13,169,21,0
LGA10300,244,248,74,11,574,184,13,58,823,0,0,0,0,0,17,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,3,22,5,3,0,0,5,18,0,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,5,3,0,0,5,18,0,11,34,0,0,0,0,0,7,0,32,38,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,6,4,0,0,0,3,6,0,34,46,0,0,0,0,0,0,0,0,0,247,255,69,11,592,220,13,102,930,231,226,73,9,539,181,16,79,818,0,0,0,0,5,11,0,0,18,5,0,0,0,5,0,0,0,3,0,0,0,0,9,11,0,5,24,5,0,6,0,12,17,0,11,42,0,0,0,0,0,0,0,0,0,0,0
LGA10470,3376,3954,1380,118,8829,2437,395,433,12095,133,77,114,11,342,408,63,58,863,41,31,32,6,103,73,26,17,219,174,106,142,16,438,481,85,77,1082,124,36,48,10,221,551,60,112,942,0,0,0,0,0,25,6,5,37,5,0,0,0,5,3,0,0,3,..,..,..,..,..,..,..,..,..,5,10,7,0,21,21,0,6,46,131,39,60,8,245,589,62,123,1024,10,0,3,0,12,21,0,16,45,0,0,0,0,0,0,0,11,18,4,0,3,0,14,11,3,4,25,10,4,5,0,25,30,0,25,81,6,5,3,0,12,12,0,5,33,3705,4110,1598,148,9554,3552,558,665,14320,3435,4100,1493,99,9131,2607,426,647,12813,198,90,142,15,451,598,80,103,1236,38,19,62,5,125,174,28,33,359,239,117,206,20,572,778,113,136,1598,74,37,44,8,168,359,46,94,673,3,0,0,0,3,8,0,6,15,0,4
LGA10500,5193,10110,2697,348,18350,3640,587,823,23409,921,1232,503,59,2722,1237,139,152,4247,502,1048,310,32,1894,400,63,125,2481,1421,2282,813,90,4610,1639,196,277,6725,596,595,306,68,1567,1167,156,247,3135,2079,2271,1110,201,5665,2931,551,651,9801,1961,1421,620,210,4204,2088,642,623,7557,..,..,..,..,..,..,..,..,..,16,13,6,0,46,33,9,10,97,4651,4307,2043,476,11481,6220,1360,1527,20595,9,0,3,0,13,55,0,26,101,0,0,0,0,0,0,0,5,6,65,65,35,14,174,62,28,46,316,78,66,36,11,197,115,34,79,422,18,23,11,0,51,33,4,4,97,11365,16787,5600,936,34688,11661,2183,2712,51237,4819,9822,2583,378,17602,3278,651,783,22315,987,1363,504,65,2918,1386,174,204,4683,654,1299,394,45,2398,658,100,149,3306,1644,2663,897,110,5315,2038,276,358,7988,503,662,322,66,1560,1099,213,200,3070,1482,1719,858,144,4203,2156,396,534,7297,4673,3280
LGA10550,3877,2875,1102,61,7917,2325,263,427,10927,116,26,49,0,193,269,15,18,498,158,43,36,0,234,148,9,31,419,276,64,82,0,425,413,28,51,918,211,71,105,8,399,566,43,88,1099,4,0,0,0,4,9,0,0,11,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3,0,3,0,13,17,0,3,33,217,73,112,8,415,584,43,93,1142,55,11,7,0,73,100,0,170,351,6,10,0,0,13,14,0,11,44,17,5,5,0,29,14,0,8,50,73,27,11,0,116,130,3,191,439,7,4,5,0,10,7,0,0,17,4456,3039,1310,71,8876,3467,337,757,13438,4096,2729,1065,72,7959,2728,248,807,11745,196,37,56,6,296,510,29,51,888,144,34,59,3,247,240,13,50,549,344,73,115,9,544,746,41,107,1435,93,31,43,4,170,334,19,67,593,9,0,0,0,12,13,3,0,24,0,0
LGA10600,1461,1185,634,24,3310,1035,150,134,4626,5,6,3,0,22,44,5,0,70,9,4,0,0,14,23,3,0,43,16,8,8,0,34,68,8,3,109,19,3,17,0,34,130,0,7,177,3,0,0,0,9,15,0,0,25,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,3,0,4,21,0,0,24,23,4,19,0,46,167,0,6,227,30,3,8,0,50,98,6,78,227,4,3,0,0,4,12,0,5,27,7,3,7,0,12,9,6,0,22,42,14,17,0,72,117,9,85,277,0,3,0,0,3,0,0,0,7,1549,1212,680,25,3463,1381,170,230,5240,1455,1086,590,27,3155,1162,148,292,4755,34,27,18,0,82,95,7,11,193,13,15,3,0,33,19,0,4,53,49,38,26,0,112,114,7,14,245,15,4,15,3,40,83,0,20,143,0,0,0,0,0,7,0,0,9,0,0
LGA10650,1045,709,243,27,2025,783,51,80,2936,31,4,0,0,37,94,0,8,138,5,10,0,0,11,3,0,0,15,33,8,0,0,50,95,0,8,152,31,10,13,0,49,109,3,14,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,31,10,13,0,49,109,3,14,176,18,0,0,0,22,36,0,33,87,0,0,0,0,0,4,0,0,3,5,6,4,0,15,7,0,0,23,27,10,9,0,40,45,0,33,113,0,3,0,0,8,0,0,0,8,1136,739,264,27,2168,1026,54,130,3378,1017,697,258,15,1990,851,64,291,3195,22,3,0,0,27,79,3,7,114,0,0,0,0,0,0,0,0,0,22,3,0,0,27,79,3,7,114,22,0,10,0,31,82,9,29,144,0,0,0,0,0,3,0,0,3,0,0
LGA10750,15440,36841,12078,970,65333,10753,1586,2006,79680,706,1239,674,62,2679,1104,89,131,4004,1154,2986,1314,93,5550,1128,176,249,7097,1860,4226,1987,158,8233,2233,266,382,11101,136,57,54,8,264,916,26,94,1292,303,429,203,43,978,482,86,98,1633,490,616,242,53,1399,419,99,117,2030,..,..,..,..,..,..,..,..,..,30,15,21,0,68,67,8,12,155,962,1114,515,115,2708,1881,216,314,5120,35,12,32,0,88,175,8,30,299,0,4,0,0,3,3,0,7,15,18,24,21,5,71,29,3,8,111,61,36,55,6,162,209,17,44,426,12,24,3,0,41,24,6,0,69,18336,42247,14647,1246,76476,15095,2087,2744,96403,15113,38399,11761,1132,66402,10579,1790,3292,82060,1175,2795,806,72,4848,1251,137,259,6492,1591,4967,1621,145,8328,1512,224,482,10538,2763,7765,2427,218,13171,2760,354,742,17031,221,342,147,19,729,807,30,162,1727,131,165,86,16,399,252,35,124,808,750,1065
