LGA_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
LGA72200,8,4,46,6314,1756,147,34,1936,1392,9643
LGA72300,6,6,97,16923,1159,211,10,1386,3098,21411
LGA72330,8,0,14,902,3301,601,124,4025,821,5748
LGA72800,22,16,159,27015,6212,679,94,6991,3240,37247
LGA73600,7,0,12,1587,3721,470,39,4236,668,6486
LGA74050,0,0,0,291,1842,67,34,1942,113,2348
LGA74550,7,0,13,945,1433,109,32,1569,301,2815
LGA74560,0,0,0,354,32,0,0,32,37,423
LGA74660,4,0,4,1037,3996,839,106,4942,309,6281
LGA74680,10,0,7,355,1922,504,96,2529,90,2973
LGA79399,0,0,12,4442,861,119,17,990,1364,6802
LGA79499,0,0,7,1605,567,70,42,678,1214,3500
LGA79799,0,0,0,63,7,4,0,11,24,99
LGA89399,1364,519,7180,323454,101167,11334,1104,113607,16824,453890
LGA89499,0,0,4,400,76,10,0,83,125,605
LGA89799,0,0,0,0,0,0,0,0,0,0
LGA99399,14,3,54,1341,778,27,18,822,333,2494
LGA99499,0,0,0,5,3,3,0,5,3,11
LGA99799,0,0,0,0,0,0,0,0,0,0
