LGA_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
LGA40120,69,56,768,37020,2128,162,27,2314,1540,40879
LGA40150,18,13,98,8678,482,92,14,589,572,9835
LGA40220,49,57,941,26552,759,57,22,833,1341,28730
LGA40250,10,3,17,256,1640,248,117,2004,74,2333
LGA40310,38,55,671,23436,631,54,14,706,927,25066
LGA40430,4,6,107,2391,32,5,3,41,192,2619
LGA40520,67,24,358,8895,858,187,14,1057,530,10484
LGA40700,300,58,1609,32387,11294,1395,116,12800,845,46030
LGA40910,793,156,1929,33390,17277,2454,181,19906,1509,54800
LGA41010,0,3,53,2904,327,9,18,352,244,3505
LGA41060,1469,163,3732,84630,28145,4960,302,33402,3816,121840
LGA41140,11,14,260,8406,244,27,4,275,505,9187
LGA41190,0,10,58,1588,30,0,0,30,132,1742
LGA41330,9,14,29,910,328,29,6,370,285,1566
LGA41560,8,75,527,13674,336,37,8,388,998,15050
LGA41750,0,0,20,922,15,0,0,19,76,1014
LGA41830,4,3,52,1397,87,0,0,87,153,1646
LGA41960,3,0,35,1147,15,0,0,15,128,1293
LGA42030,44,67,831,22849,1093,138,15,1238,905,24988
LGA42110,3,0,107,3669,91,11,4,104,286,4060
LGA42250,0,46,133,7246,140,17,0,157,1229,8636
LGA42600,123,66,1548,32245,3766,377,43,4188,1113,37543
LGA42750,5,16,119,4294,182,20,0,203,397,4894
LGA43080,0,6,41,901,26,0,0,26,79,1007
LGA43220,0,5,39,950,18,3,0,18,69,1037
LGA43360,0,4,86,2155,37,4,0,41,131,2326
LGA43650,15,40,211,14676,385,31,0,417,698,15792
LGA43710,3,6,83,5267,110,3,9,120,522,5910
LGA43790,13,35,392,10327,479,115,8,599,740,11666
LGA44000,0,0,0,15,60,0,11,75,8,96
LGA44060,398,118,2729,72015,17475,2506,216,20197,2512,94721
LGA44210,9,20,214,8053,185,14,0,200,915,9164
LGA44340,330,104,2220,55762,9303,1027,108,10439,1411,67617
LGA44550,26,47,740,35652,1863,175,28,2067,1497,39217
LGA44620,66,109,802,23553,1522,376,29,1927,1397,26878
LGA44830,4,6,83,2567,59,4,0,61,234,2862
LGA45040,39,41,615,18145,1518,322,10,1849,1651,21644
LGA45090,7,24,220,7179,662,270,11,948,567,8686
LGA45120,3,10,130,4188,93,11,4,100,269,4559
LGA45290,504,76,1377,26290,8752,1228,88,10063,1133,37487
LGA45340,352,305,3887,155870,11459,1300,159,12917,6411,175204
LGA45400,0,12,49,784,12,0,0,12,73,874
LGA45540,0,5,49,1395,31,4,0,35,210,1638
LGA45680,180,184,1574,78212,11938,3611,200,15750,5232,99190
LGA45890,916,136,2988,79095,38901,8348,480,47726,5575,132400
LGA46090,12,16,250,11202,938,91,22,1049,1581,13829
LGA46300,26,35,432,12821,643,56,11,709,879,14404
LGA46450,42,44,521,15527,732,97,10,834,920,17282
LGA46510,203,30,474,15298,5657,688,43,6391,586,22272
LGA46670,59,28,275,7804,1074,297,13,1391,591,9783
LGA46860,0,6,30,1412,36,11,0,49,84,1542
LGA46970,0,0,3,3170,325,22,5,356,453,3976
LGA47140,616,216,2607,91663,37946,10257,464,48662,5481,145806
LGA47290,0,8,69,1648,152,22,4,177,156,1979
LGA47490,0,7,59,1953,38,7,0,42,173,2165
LGA47630,0,8,172,5774,472,144,3,621,497,6891
LGA47700,415,218,2482,83214,13597,1742,174,15513,2450,101174
LGA47800,0,17,142,4734,206,13,0,221,512,5463
LGA47910,6,10,117,2602,38,8,0,43,172,2817
LGA47980,319,77,1572,30220,6723,834,60,7616,805,38641
LGA48050,26,49,909,14965,548,42,9,592,579,16139
LGA48130,0,11,184,6137,262,18,5,289,351,6780
LGA48260,52,14,339,5868,1692,181,16,1888,258,8023
LGA48340,25,18,305,10740,313,54,11,377,769,11888
LGA48410,760,94,2317,40510,16836,2420,190,19451,1737,61699
LGA48540,49,35,451,18491,1324,113,22,1456,1293,21244
LGA48640,0,5,48,1013,11,6,0,10,110,1136
LGA48750,3,13,174,5391,131,13,4,146,308,5834
LGA48830,6,56,427,10500,209,9,5,225,875,11598
LGA49399,0,7,25,2124,465,17,22,504,382,3006
LGA49499,3,0,11,2261,300,34,11,343,770,3377
LGA49799,0,0,0,0,8,0,0,8,5,12
LGA50080,50,86,1164,34040,2210,262,14,2492,2235,38763
LGA50210,134,114,1006,66921,20153,2276,309,22739,4528,94184
LGA50250,0,0,10,5167,783,43,14,847,1384,7391
LGA50280,11,19,286,14155,1134,145,20,1305,1326,16791
LGA50350,60,23,360,12856,1966,284,37,2285,794,15932
LGA50420,476,162,1634,47267,15975,3052,199,19225,2794,69283
LGA50490,151,126,902,26130,11448,1749,174,13380,2751,42257
LGA50560,0,9,58,1442,55,10,0,55,193,1694
LGA50630,0,4,20,1475,67,6,6,83,148,1705
LGA50770,0,3,35,1598,43,3,0,45,190,1834
LGA50840,5,6,104,4675,170,10,7,187,379,5238
LGA50910,0,4,41,785,43,8,0,47,95,929
LGA50980,11,15,75,12426,2079,127,37,2246,2286,16959
LGA51080,0,0,13,892,39,0,0,39,118,1046
LGA51120,0,9,26,795,37,6,0,41,147,979
LGA51190,79,88,968,27619,2601,330,24,2964,2406,32987
LGA51260,47,66,1045,36188,1999,213,29,2241,2214,40640
LGA51310,161,37,969,23810,3996,302,36,4331,733,28876
LGA51330,328,90,1591,50748,35939,5363,397,41698,3412,95860
LGA51400,9,10,136,15709,1528,93,22,1648,820,18175
LGA51470,0,0,11,442,20,0,0,20,84,552
LGA51540,11,12,70,3674,526,150,11,688,881,5251
LGA51610,0,0,9,1306,41,3,0,44,202,1556
LGA51680,8,9,77,5208,256,17,3,278,449,5930
LGA51710,3,0,4,495,539,206,14,763,431,1692
LGA51750,25,49,529,9326,1305,125,15,1447,514,11284
LGA51820,519,165,1811,87418,22781,3044,290,26112,4565,118091
LGA51860,11,0,11,113,257,128,4,386,93,593
LGA51890,5,49,183,7873,233,29,0,266,670,8812
LGA51960,0,4,14,2503,200,10,0,212,772,3478
LGA52030,0,10,23,895,22,0,0,23,137,1055
LGA52100,0,9,42,916,30,0,0,28,56,1007
LGA52170,10,41,219,7113,485,27,4,518,337,7970
LGA52240,0,0,15,936,42,4,0,45,118,1100
LGA52310,0,0,12,803,20,0,0,24,71,902
LGA52380,0,0,0,174,14,0,0,18,31,215
LGA52450,0,3,27,1124,72,0,7,85,91,1302
LGA52520,0,6,36,1036,130,6,3,139,204,1379
LGA52590,0,8,65,2885,129,9,0,141,330,3355
LGA52660,12,74,347,12934,867,88,16,971,782,14686
LGA52730,3,18,155,5481,237,14,5,249,576,6310
LGA52800,12,4,29,3128,2250,338,63,2644,1301,7075
LGA52870,9,3,127,5482,266,43,0,309,367,6155
LGA52940,0,0,10,637,12,0,0,14,61,715
LGA53010,0,0,0,546,12,5,0,13,119,681
LGA53080,0,0,3,498,44,0,0,45,129,677
LGA53150,41,40,254,6902,553,51,3,609,308,7819
LGA53220,4,3,13,5386,1913,163,22,2091,2283,9760
LGA53290,4,22,284,11815,619,49,8,675,1395,13883
LGA53360,0,0,16,2584,188,14,7,211,287,3085
LGA53430,283,92,849,25861,3627,526,49,4197,1874,31930
LGA53570,5,9,88,4615,424,100,19,536,420,5576
LGA53640,0,0,8,1026,88,4,0,87,99,1215
LGA53710,0,3,24,833,10,0,0,10,110,955
LGA53780,313,236,1869,73536,38522,7009,470,46002,6840,126376
LGA53800,50,146,839,32606,2813,305,44,3157,3734,39489
LGA53920,4,3,11,1440,1566,133,73,1773,362,3574
LGA53990,36,29,400,24905,2037,257,34,2331,1332,28567
LGA54060,0,11,78,3207,78,8,0,84,387,3680
LGA54130,0,0,12,1009,40,3,0,51,102,1160
LGA54170,328,168,2782,137864,16092,1477,169,17741,4401,160003
LGA54200,138,89,1292,48865,6771,743,99,7617,2274,58762
LGA54280,16,31,202,22298,3628,289,56,3969,3037,29306
LGA54310,0,0,12,15589,2711,186,41,2932,3668,22199
LGA54340,14,7,100,2839,540,270,17,823,397,4057
LGA54410,0,6,46,964,55,0,0,57,125,1138
LGA54480,0,0,0,420,20,0,0,20,47,491
LGA54550,3,3,54,1644,88,12,9,103,154,1901
LGA54620,0,9,18,705,24,6,0,29,111,847
LGA54690,0,0,6,349,3,4,0,6,12,361
LGA54760,0,0,11,670,14,3,0,19,84,769
LGA54830,40,21,416,32453,8980,909,146,10036,3374,45867
LGA54900,5,0,13,1105,74,3,0,75,80,1265
LGA54970,0,0,5,631,230,8,0,236,464,1333
