LGA_CODE_2021,C11_Neg_Ni_inc_CF_1C,C11_Neg_Ni_inc_CF_2C,C11_Neg_Ni_inc_CF_3C,C11_Neg_Ni_inc_Cou_fa_4mor_c,C11_Neg_Ni_inc_Tot,C11_1_149_CF_1C,C11_1_149_CF_2C,C11_1_149_CF_3C,C11_1_149_CF_4mC,C11_1_149_Tot,C11_150_299_CF_1C,C11_150_299_CF_2C,C11_150_299_CF_3C,C11_150_299_CF_4mC,C11_150_299_Tot,C11_300_399_CF_1C,C11_300_399_CF_2C,C11_300_399_CF_3C,C11_300_399_CF_4mC,C11_300_399_Tot,C11_400_499_CF_1C,C11_400_499_CF_2C,C11_400_499_CF_3C,C11_400_499_CF_4mC,C11_400_499_Tot,C11_500_649_CF_1C,C11_500_649_CF_2C,C11_500_649_CF_3C,C11_500_649_CF_4mC,C11_500_649_Tot,C11_650_799_CF_1C,C11_650_799_CF_2C,C11_650_799_CF_3C,C11_650_799_CF_4mC,C11_650_799_Tot,C11_800_999_CF_1C,C11_800_999_CF_2C,C11_800_999_CF_3C,C11_800_999_CF_4mC,C11_800_999_Tot,C11_1000_1499_CF_1C,C11_1000_1499_CF_2C,C11_1000_1499_CF_3C,C11_1000_1499_CF_4mC,C11_1000_1499_Tot,C11_1500_1999_CF_1C,C11_1500_1999_CF_2C,C11_1500_1999_CF_3C,C11_1500_1999_CF_4mC,C11_1500_1999_Tot,C11_2000_2499_CF_1C,C11_2000_2499_CF_2C,C11_2000_2499_CF_3C,C11_2000_2499_CF_4mC,C11_2000_2499_Tot,C11_2500_2999_CF_1C,C11_2500_2999_CF_2C,C11_2500_2999_CF_3C,C11_2500_2999_CF_4mC,C11_2500_2999_Tot,C11_3000_3999_CF_1C,C11_3000_3999_CF_2C,C11_3000_3999_CF_3C,C11_3000_3999_CF_4mC,C11_3000_3999_Tot,C11_4000more_CF_1C,C11_4000more_CF_2C,C11_4000more_CF_3C,C11_4000more_Cou_fa_4mo_ch,C11_4000more_Tot,C11_Par_inc_st_CF_1C,C11_Par_inc_st_CF_2C,C11_Par_inc_st_CF_3C,C11_Par_inc_st_CF_4mC,C11_Par_inc_st_Tot,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_Tot,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_Tot,C16_Neg_Ni_inc_CF_1C,C16_Neg_Ni_inc_CF_2C,C16_Neg_Ni_inc_CF_3C,C16_Neg_Ni_inc_Cou_fa_4mor_c,C16_Neg_Ni_inc_Tot,C16_1_149_CF_1C,C16_1_149_CF_2C,C16_1_149_CF_3C,C16_1_149_CF_4mC,C16_1_149_Tot,C16_150_299_CF_1C,C16_150_299_CF_2C,C16_150_299_CF_3C,C16_150_299_CF_4mC,C16_150_299_Tot,C16_300_399_CF_1C,C16_300_399_CF_2C,C16_300_399_CF_3C,C16_300_399_CF_4mC,C16_300_399_Tot,C16_400_499_CF_1C,C16_400_499_CF_2C,C16_400_499_CF_3C,C16_400_499_CF_4mC,C16_400_499_Tot,C16_500_649_CF_1C,C16_500_649_CF_2C,C16_500_649_CF_3C,C16_500_649_CF_4mC,C16_500_649_Tot,C16_650_799_CF_1C,C16_650_799_CF_2C,C16_650_799_CF_3C,C16_650_799_CF_4mC,C16_650_799_Tot,C16_800_999_CF_1C,C16_800_999_CF_2C,C16_800_999_CF_3C,C16_800_999_CF_4mC,C16_800_999_Tot,C16_1000_1499_CF_1C,C16_1000_1499_CF_2C,C16_1000_1499_CF_3C,C16_1000_1499_CF_4mC,C16_1000_1499_Tot,C16_1500_1999_CF_1C,C16_1500_1999_CF_2C,C16_1500_1999_CF_3C,C16_1500_1999_CF_4mC,C16_1500_1999_Tot,C16_2000_2499_CF_1C,C16_2000_2499_CF_2C,C16_2000_2499_CF_3C,C16_2000_2499_CF_4mC,C16_2000_2499_Tot,C16_2500_2999_CF_1C,C16_2500_2999_CF_2C,C16_2500_2999_CF_3C,C16_2500_2999_CF_4mC,C16_2500_2999_Tot,C16_3000_3999_CF_1C,C16_3000_3999_CF_2C,C16_3000_3999_CF_3C,C16_3000_3999_CF_4mC,C16_3000_3999_Tot,C16_4000more_CF_1C,C16_4000more_CF_2C,C16_4000more_CF_3C,C16_4000more_Cou_fa_4mo_ch,C16_4000more_Tot,C16_Par_inc_st_CF_1C,C16_Par_inc_st_CF_2C,C16_Par_inc_st_CF_3C,C16_Par_inc_st_CF_4mC,C16_Par_inc_st_Tot,C16_All_inc_ns_CF_1Ch,C16_All_inc_ns_CF_2C,C16_All_inc_ns_CF_3C,C16_All_inc_ns_CF_4mC,C16_All_inc_ns_Tot,C16_Tot_CF_1C,C16_Tot_CF_2C,C16_Tot_CF_3C,C16_Tot_CF_4mC,C16_Tot_Tot,C21_Neg_Ni_inc_CF_1C,C21_Neg_Ni_inc_CF_2C,C21_Neg_Ni_inc_CF_3C,C21_Neg_Ni_inc_Cou_fa_4mor_c,C21_Neg_Ni_inc_Tot,C21_1_149_CF_1C,C21_1_149_CF_2C,C21_1_149_CF_3C,C21_1_149_CF_4mC,C21_1_149_Tot,C21_150_299_CF_1C,C21_150_299_CF_2C,C21_150_299_CF_3C,C21_150_299_CF_4mC,C21_150_299_Tot,C21_300_399_CF_1C,C21_300_399_CF_2C,C21_300_399_CF_3C,C21_300_399_CF_4mC,C21_300_399_Tot,C21_400_499_CF_1C,C21_400_499_CF_2C,C21_400_499_CF_3C,C21_400_499_CF_4mC,C21_400_499_Tot,C21_500_649_CF_1C,C21_500_649_CF_2C,C21_500_649_CF_3C,C21_500_649_CF_4mC,C21_500_649_Tot
LGA10050,7,5,0,0,18,0,6,0,0,10,7,7,0,4,21,7,6,0,0,14,17,9,0,0,24,44,26,13,10,90,71,58,26,6,160,102,96,38,16,251,358,351,143,53,907,286,400,167,71,920,274,353,145,36,802,151,204,87,21,470,143,209,77,21,454,56,73,42,9,172,217,223,116,43,602,30,25,13,4,73,1767,2055,865,304,4990,0,11,0,0,10,5,0,0,0,3,3,0,3,0,11,0,0,0,0,0,16,17,5,4,40,37,29,9,3,75,56,36,13,4,110,94,66,29,13,203,329,302,109,47,781,313,326,150,53,844,293,389,130,38,849,217,254,106,25,606,183,283,123,42,627,106,141,75,15,344,205,230,115,32,585,23,28,4,4,62,1893,2104,873,289,5159,0,0,0,0,8,0,0,0,0,0,5,0,4,0,7,0,0,0,0,4,9,3,0,0,10,9,8,0,0,23
LGA10180,6,0,0,0,8,0,0,0,3,11,4,4,0,0,14,8,3,5,0,17,7,3,0,0,16,31,34,11,3,76,50,37,16,8,114,49,80,30,14,174,199,190,106,38,529,150,172,90,26,433,104,133,59,19,316,59,97,41,17,219,65,114,36,15,231,24,30,19,7,77,119,147,87,21,378,21,9,8,6,42,895,1052,513,188,2651,5,3,3,0,12,7,0,0,0,3,3,0,0,0,6,0,0,0,3,0,10,0,3,3,20,11,12,10,3,35,43,29,9,0,83,53,40,11,8,116,149,154,74,42,410,145,166,82,40,429,131,153,63,11,361,92,100,36,13,241,95,121,62,22,302,50,92,40,8,197,105,157,72,23,354,7,3,7,4,19,905,1039,464,177,2593,6,7,8,0,19,0,0,0,3,5,0,0,0,0,0,0,0,0,0,6,4,3,3,5,18,7,3,0,4,28
LGA10250,12,5,0,4,18,0,0,0,0,0,5,3,0,0,13,7,6,6,0,12,13,13,0,0,34,56,41,22,3,114,61,59,25,12,151,98,116,46,18,273,341,346,114,45,842,235,307,94,44,678,177,192,95,24,486,104,131,63,12,301,99,135,51,20,307,38,61,20,4,116,200,230,103,51,586,13,13,13,4,41,1453,1647,642,241,3978,4,0,3,0,7,0,6,0,0,10,9,6,0,0,9,0,0,0,0,8,10,11,3,0,30,20,19,0,0,39,43,31,16,3,91,72,62,23,8,163,279,280,81,34,677,266,282,103,34,684,244,283,105,34,654,133,179,81,21,417,132,208,74,4,421,102,143,65,16,317,203,199,83,30,523,18,11,8,4,39,1538,1712,641,192,4087,5,3,3,0,12,4,0,0,0,3,4,0,0,0,4,4,0,0,0,6,4,4,0,3,9,8,5,0,0,13
LGA10300,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,3,6,0,0,0,0,0,6,4,4,5,11,5,6,3,0,19,10,6,0,0,17,21,20,12,8,58,15,15,8,3,45,11,12,7,0,27,0,3,0,3,9,7,6,0,0,6,6,0,0,0,11,9,10,8,5,37,7,0,0,0,7,92,86,47,27,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,5,5,3,3,5,12,13,10,11,7,40,17,15,6,6,46,10,7,11,7,29,6,6,9,3,24,3,0,3,4,14,0,3,5,0,7,8,9,15,3,43,0,0,0,0,6,74,60,67,27,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA10470,3,0,4,0,10,0,3,0,0,3,7,3,0,0,20,3,3,9,0,13,9,5,0,4,23,34,29,15,8,83,53,39,20,9,121,75,90,31,19,216,249,253,130,52,684,248,260,130,62,696,212,269,102,46,628,118,209,81,33,445,141,193,94,27,457,43,70,33,17,160,161,200,112,54,519,20,24,10,6,55,1387,1647,755,332,4128,5,3,0,0,14,0,0,0,0,3,3,0,0,0,3,5,0,0,0,0,11,5,3,4,22,26,9,5,5,45,38,25,8,6,73,75,48,23,13,157,234,201,118,44,599,202,241,104,66,618,260,275,115,44,700,172,278,83,30,557,192,270,116,28,606,95,148,73,16,330,167,220,94,50,524,17,11,8,3,41,1500,1742,751,307,4306,4,0,0,0,7,0,5,0,0,5,3,0,0,0,6,0,0,0,0,0,3,3,0,0,8,5,8,4,0,16
LGA10500,65,35,15,4,116,27,19,10,4,60,73,46,17,0,130,64,36,21,7,129,113,77,21,18,236,215,156,70,37,474,334,242,80,42,695,446,359,150,76,1028,1266,991,325,136,2715,1042,1059,318,110,2527,904,899,263,66,2131,607,808,244,59,1719,715,957,283,66,2019,283,448,162,40,929,689,772,302,140,1897,111,81,42,15,242,6948,6981,2319,805,17049,41,24,8,9,91,23,10,6,0,42,43,21,5,5,72,37,23,9,6,73,65,48,28,6,149,141,107,55,25,320,233,147,60,28,465,396,250,89,36,774,1133,931,252,119,2423,1164,963,304,93,2516,1162,1091,312,81,2648,784,911,230,52,1978,924,1188,365,89,2560,672,1145,394,80,2289,780,768,348,136,2032,69,67,26,11,176,7667,7689,2466,778,18604,66,40,18,4,123,7,6,3,5,25,31,16,5,4,61,21,13,3,3,40,51,45,17,0,108,77,52,21,7,152
LGA10550,6,7,0,0,8,7,0,0,0,5,12,8,0,3,23,8,10,8,0,21,8,18,5,0,28,53,41,18,10,120,78,60,26,14,171,97,106,40,12,257,265,261,119,51,698,186,185,95,34,489,134,144,68,24,368,57,77,23,9,167,55,68,24,7,159,20,12,4,5,44,179,161,87,19,451,15,13,6,7,44,1166,1172,521,191,3046,0,7,0,0,11,5,3,0,0,8,6,0,0,0,0,4,0,0,0,3,10,8,6,4,27,25,27,4,6,56,43,24,9,7,86,69,52,17,12,151,248,215,89,33,583,173,195,72,39,481,168,185,70,15,435,82,98,31,20,225,65,97,34,17,213,36,55,21,4,122,177,169,69,37,459,6,5,4,3,19,1119,1147,428,194,2888,4,4,0,0,9,4,0,0,0,7,9,0,0,0,4,9,0,0,0,9,3,4,0,0,13,7,9,0,0,15
LGA10600,4,4,0,0,8,0,0,0,0,4,3,0,0,0,10,4,0,0,0,10,6,12,4,3,23,26,26,5,3,61,37,25,18,4,86,45,53,25,10,136,102,98,42,16,258,49,82,28,10,165,48,54,17,9,131,13,33,18,3,57,17,13,11,3,46,6,5,0,3,16,84,67,36,21,207,5,8,0,6,14,450,481,213,84,1222,0,7,0,0,7,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,5,6,4,3,16,8,9,5,0,23,23,26,6,0,53,36,22,11,5,68,88,108,43,11,247,85,77,24,11,201,68,65,29,0,161,29,35,21,3,90,33,41,10,6,86,18,25,9,0,49,51,66,27,18,158,8,0,3,0,14,445,483,175,67,1168,4,3,0,0,7,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,6,0,0,7,0,3,0,0,5
LGA10650,0,0,0,0,4,0,0,0,0,0,3,5,0,4,8,0,0,5,0,9,0,0,3,0,6,10,4,11,4,31,13,20,8,0,45,22,28,10,5,65,62,52,30,17,167,22,43,20,11,100,36,33,14,0,87,9,15,13,7,41,20,8,3,6,35,0,3,3,0,10,43,49,26,17,130,0,0,0,3,9,255,267,140,79,741,0,3,0,0,4,0,0,0,0,0,0,0,0,0,6,3,0,0,0,5,0,0,0,0,5,5,9,0,0,11,4,4,3,3,15,20,15,4,3,41,46,56,29,9,142,50,43,28,16,141,32,54,28,10,126,26,24,13,0,59,8,15,11,0,42,13,16,8,0,32,29,32,14,17,93,6,6,0,0,11,238,272,149,64,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,3,4,11
LGA10750,121,83,29,18,261,44,45,31,7,129,139,118,58,41,353,103,90,50,33,270,175,138,78,36,421,403,328,156,113,1007,595,505,270,148,1518,837,883,401,209,2330,2640,2693,1189,625,7147,2541,3027,1149,505,7219,2334,2783,954,325,6390,1496,2189,777,271,4732,1484,2178,718,217,4594,491,816,362,104,1778,1260,1621,831,553,4271,235,229,131,84,678,14901,17720,7181,3287,43086,97,97,33,24,250,36,28,13,13,89,70,54,23,17,173,58,32,21,13,127,179,123,79,36,418,260,206,119,88,672,444,366,179,95,1094,712,667,300,148,1823,2492,2449,1016,483,6434,2698,3082,1120,475,7378,3007,3629,1149,469,8244,2106,2700,874,306,5989,2240,3317,1031,323,6906,1199,2227,816,287,4533,1418,1790,810,510,4532,163,153,82,64,460,17174,20933,7669,3356,49126,104,75,45,34,258,21,21,7,4,55,35,35,11,18,90,47,38,17,6,105,105,66,45,37,251,142,119,76,39,383
